,SCAPER_DEL,LOC283914_AMP,MIR4473_DEL,ZBTB20_AMP,ADAMTSL1_DEL,HLA-DRB1_AMP,AKAP12_MUT,HLA-DRB6_AMP,KRAS.G12_13_MUT,MIR3152_DEL,GLI3_MUT,LOC146481_AMP,LINGO2_AMP,SCYL2_MUT,UPK3B_AMP,PIRT_DEL,FBXL7_DEL,SLC2A9_DEL,DAP3_AMP,DENND4C_DEL,HLA-DRB5_AMP,CSPG4_MUT,MCM3AP_MUT,ITPR1_MUT,ACOT1_DEL,KRAS_MUT,OR4C11_DEL,THOC3_AMP,NAALADL2_AMP,FAM154A_DEL
812,39.0,220.0,101.0,12770.0,16.0,282.0,852.0,63.0,9.0,30.0,29.0,556.0,115.0,16771.0,70.0,615.0,31.0,447.0,112.0,15.0,14987.0,16360.0,16620.0,110.0,13.0,656.0,6940.0,19400.0,919.0,267.0
861,3.0,366.0,25.0,12747.0,172.0,7.0,2.0,1724.0,18.0,20759.0,9.0,111.0,422.0,1196.0,340.0,44.0,6724.0,12371.0,22715.0,11895.0,14974.0,16357.0,16609.0,16170.0,28.0,1.0,123.0,23.0,13765.0,4702.0
910,194.0,179.0,853.0,12821.0,134.0,15002.0,1.0,401.0,113.0,294.0,77.0,0.0,644.0,16809.0,633.0,53.0,6820.0,44.0,22781.0,10246.0,1855.0,16404.0,1367.0,16210.0,269.0,1126.0,3.0,780.0,496.0,3980.0
959,10398.0,98.0,21084.0,12865.0,8326.0,72.0,8.0,6.0,1210.0,20.0,91.0,2.0,1242.0,16749.0,28.0,11213.0,4.0,12090.0,22855.0,152.0,1167.0,148.0,175.0,368.0,32.0,16193.0,14.0,17.0,7.0,13.0
1008,786.0,198.0,21085.0,8.0,8395.0,7.0,582.0,1632.0,24134.0,523.0,16243.0,452.0,17305.0,139.0,162.0,0.0,10.0,365.0,19.0,23.0,14935.0,16350.0,16540.0,16192.0,11119.0,32.0,28.0,526.0,412.0,4698.0
1057,10526.0,660.0,348.0,34.0,470.0,14906.0,5.0,634.0,912.0,1.0,16229.0,408.0,371.0,263.0,23128.0,9.0,283.0,406.0,1514.0,10186.0,188.0,19.0,16602.0,655.0,11114.0,559.0,299.0,110.0,13804.0,727.0
1106,848.0,34.0,21195.0,61.0,457.0,1482.0,842.0,14916.0,24134.0,268.0,16197.0,17009.0,846.0,16776.0,23049.0,0.0,2.0,592.0,22782.0,10153.0,14917.0,39.0,16559.0,157.0,11079.0,73.0,578.0,29.0,13709.0,6.0
1155,19.0,13094.0,21207.0,129.0,119.0,295.0,134.0,0.0,24134.0,25.0,16220.0,17057.0,1416.0,185.0,296.0,52.0,6624.0,16.0,523.0,32.0,1791.0,274.0,16592.0,16171.0,11113.0,22.0,926.0,31.0,147.0,6.0
1204,1288.0,436.0,159.0,1056.0,388.0,901.0,13.0,153.0,24134.0,200.0,16209.0,496.0,23.0,647.0,570.0,11447.0,28.0,1202.0,186.0,10169.0,132.0,16341.0,307.0,16192.0,11106.0,238.0,6355.0,401.0,13723.0,228.0
1253,10515.0,123.0,404.0,12876.0,15.0,106.0,450.0,14904.0,16.0,480.0,16222.0,63.0,1758.0,16762.0,6.0,11458.0,205.0,185.0,1784.0,25.0,847.0,1.0,17.0,16170.0,54.0,112.0,6413.0,19402.0,634.0,467.0
1302,0.0,42.0,11.0,528.0,8366.0,1691.0,64.0,14877.0,24134.0,20725.0,16198.0,323.0,17539.0,263.0,26.0,37.0,6449.0,11851.0,712.0,10093.0,14878.0,864.0,999.0,16155.0,132.0,18.0,1177.0,1372.0,13765.0,792.0
1351,791.0,13098.0,132.0,12905.0,8373.0,120.0,517.0,14903.0,24134.0,219.0,1149.0,56.0,11.0,260.0,255.0,11692.0,138.0,12125.0,85.0,10178.0,14904.0,1231.0,323.0,4.0,25.0,37.0,1600.0,937.0,224.0,243.0
1400,10377.0,37.0,32.0,12844.0,281.0,24.0,73.0,630.0,24134.0,404.0,16206.0,17046.0,5.0,66.0,274.0,47.0,904.0,33.0,207.0,266.0,181.0,16339.0,448.0,59.0,243.0,355.0,1576.0,171.0,444.0,294.0
1449,3310.0,14159.0,445.0,13736.0,1005.0,13031.0,38.0,803.0,688.0,839.0,2912.0,45.0,18358.0,5024.0,132.0,11614.0,6907.0,864.0,23818.0,809.0,219.0,7455.0,84.0,56.0,180.0,1603.0,6589.0,44.0,154.0,1619.0
1498,7.0,279.0,83.0,102.0,100.0,14995.0,21.0,35.0,24134.0,25.0,22.0,343.0,17555.0,689.0,259.0,11724.0,6716.0,12149.0,164.0,119.0,1334.0,16365.0,16611.0,16201.0,15.0,16213.0,6366.0,19396.0,13823.0,3968.0
1547,2.0,591.0,21094.0,100.0,796.0,529.0,980.0,807.0,24134.0,254.0,125.0,492.0,17566.0,1.0,23106.0,11703.0,4758.0,12126.0,1785.0,11.0,388.0,962.0,29.0,973.0,11109.0,107.0,5214.0,926.0,293.0,0.0
1596,7.0,148.0,24.0,54.0,8436.0,671.0,963.0,112.0,1050.0,489.0,0.0,252.0,17564.0,36.0,23352.0,11269.0,496.0,33.0,22711.0,10228.0,48.0,501.0,25.0,11.0,1023.0,1.0,243.0,745.0,521.0,218.0
1645,1582.0,111.0,1008.0,12815.0,187.0,737.0,365.0,14969.0,26.0,61.0,2.0,32.0,17.0,105.0,1162.0,11463.0,1073.0,1351.0,1.0,10188.0,1225.0,42.0,115.0,16181.0,0.0,16172.0,146.0,543.0,479.0,1751.0
1694,194.0,13117.0,1507.0,12766.0,66.0,17.0,531.0,4.0,771.0,190.0,34.0,1237.0,1232.0,16290.0,23117.0,11232.0,6726.0,240.0,1811.0,10168.0,733.0,85.0,1.0,138.0,0.0,7.0,3.0,103.0,719.0,246.0
1743,1157.0,1242.0,21068.0,12897.0,1513.0,1280.0,16581.0,1499.0,400.0,75.0,254.0,12.0,64.0,25.0,598.0,11243.0,4550.0,443.0,6.0,1807.0,14991.0,73.0,632.0,16221.0,0.0,1001.0,1375.0,19405.0,127.0,5079.0
1792,53.0,235.0,490.0,949.0,6.0,587.0,143.0,1657.0,0.0,82.0,8.0,52.0,17533.0,652.0,23096.0,625.0,6734.0,54.0,1779.0,136.0,14965.0,1069.0,1244.0,1719.0,63.0,266.0,1290.0,44.0,13769.0,283.0
1841,10537.0,13175.0,21086.0,1548.0,8393.0,14983.0,2.0,584.0,24.0,20739.0,773.0,0.0,343.0,100.0,330.0,11222.0,750.0,12116.0,57.0,182.0,14982.0,498.0,201.0,635.0,111.0,268.0,73.0,209.0,49.0,444.0
1890,10431.0,430.0,218.0,12892.0,596.0,14957.0,8.0,14955.0,225.0,18825.0,1.0,53.0,4.0,898.0,354.0,299.0,242.0,110.0,1640.0,433.0,194.0,26.0,11.0,16182.0,48.0,18.0,6398.0,10.0,13818.0,3927.0
1939,544.0,13077.0,21201.0,12.0,443.0,14900.0,16532.0,316.0,153.0,310.0,166.0,89.0,1.0,16760.0,181.0,96.0,1731.0,7.0,35.0,1744.0,1725.0,80.0,17.0,16168.0,872.0,16158.0,6091.0,19329.0,13786.0,4059.0
1988,19.0,161.0,21062.0,17.0,1.0,1232.0,255.0,1753.0,16.0,232.0,20.0,17056.0,959.0,0.0,23136.0,11242.0,75.0,12115.0,10.0,58.0,723.0,454.0,160.0,16185.0,1217.0,16198.0,7.0,19419.0,13782.0,4917.0
2037,778.0,713.0,11.0,2.0,24.0,5.0,60.0,161.0,855.0,19074.0,10376.0,18100.0,29.0,424.0,46.0,33.0,28.0,10358.0,1264.0,1645.0,174.0,632.0,921.0,20.0,86.0,3434.0,4812.0,517.0,771.0,4561.0
2086,139.0,96.0,21142.0,13.0,46.0,9.0,16629.0,1655.0,60.0,835.0,16253.0,102.0,2.0,44.0,264.0,11508.0,133.0,12158.0,198.0,10237.0,49.0,16382.0,16613.0,16209.0,274.0,3.0,4717.0,23.0,82.0,5361.0
2135,1572.0,13176.0,623.0,10.0,8402.0,22.0,19.0,0.0,23.0,20781.0,16229.0,16941.0,17574.0,16353.0,3.0,11710.0,6269.0,12141.0,117.0,2.0,703.0,830.0,16588.0,368.0,205.0,11.0,4463.0,100.0,361.0,859.0
2184,66.0,13117.0,16.0,1.0,8410.0,101.0,69.0,0.0,24134.0,1763.0,26.0,17037.0,145.0,574.0,2.0,11717.0,14.0,434.0,5.0,193.0,1819.0,16361.0,389.0,56.0,11121.0,484.0,6359.0,832.0,8.0,4117.0
2233,140.0,53.0,21098.0,2.0,68.0,14979.0,16541.0,598.0,1016.0,20772.0,16227.0,178.0,12.0,770.0,23111.0,11720.0,653.0,1.0,933.0,1477.0,1033.0,755.0,28.0,442.0,45.0,16211.0,6354.0,149.0,617.0,111.0
2282,10857.0,13151.0,428.0,12834.0,10.0,1613.0,25.0,79.0,134.0,35.0,16236.0,415.0,183.0,1055.0,349.0,8326.0,6016.0,11422.0,569.0,12530.0,373.0,972.0,104.0,16182.0,14.0,16216.0,189.0,19404.0,13803.0,4861.0
2331,60.0,13136.0,83.0,5.0,1.0,14911.0,362.0,14910.0,24134.0,88.0,46.0,17066.0,1782.0,678.0,22.0,11712.0,10.0,12131.0,141.0,10144.0,61.0,1086.0,73.0,16193.0,1800.0,1821.0,1483.0,295.0,13801.0,35.0
2380,1.0,10.0,0.0,12760.0,5.0,1478.0,16544.0,1769.0,46.0,149.0,1062.0,576.0,84.0,16768.0,16.0,348.0,1059.0,311.0,22712.0,9.0,309.0,16363.0,16616.0,21.0,11226.0,18.0,6406.0,506.0,870.0,125.0
2429,735.0,13179.0,222.0,44.0,520.0,644.0,921.0,38.0,24134.0,101.0,654.0,95.0,17542.0,9.0,23344.0,11242.0,21.0,1747.0,1455.0,4.0,883.0,16380.0,7.0,52.0,1714.0,16211.0,4209.0,6.0,13790.0,5013.0
2478,148.0,13125.0,102.0,15.0,561.0,24.0,32.0,55.0,209.0,20750.0,25.0,851.0,7.0,51.0,1725.0,56.0,139.0,11932.0,979.0,240.0,14989.0,400.0,18.0,90.0,89.0,584.0,53.0,19408.0,1388.0,17.0
2527,123.0,562.0,21085.0,12866.0,8374.0,13.0,754.0,1756.0,24134.0,328.0,850.0,17051.0,48.0,24.0,23128.0,6.0,47.0,12125.0,120.0,36.0,14902.0,16348.0,4.0,134.0,875.0,1426.0,35.0,1000.0,13795.0,27.0
2576,11.0,38.0,19025.0,165.0,8771.0,1.0,6214.0,0.0,1672.0,18607.0,41.0,115.0,228.0,1017.0,23831.0,19.0,58.0,200.0,23473.0,420.0,42.0,9895.0,6350.0,11756.0,12592.0,421.0,4932.0,23004.0,17468.0,3.0
2625,10597.0,180.0,46.0,15.0,8661.0,92.0,642.0,674.0,409.0,20764.0,1406.0,16936.0,3.0,164.0,23329.0,11779.0,6603.0,251.0,71.0,12112.0,28.0,608.0,201.0,318.0,1440.0,861.0,6219.0,19294.0,79.0,218.0
2674,69.0,13163.0,21094.0,12758.0,25.0,5.0,16554.0,71.0,381.0,84.0,16230.0,17051.0,4.0,16762.0,23106.0,11226.0,523.0,155.0,840.0,10199.0,74.0,16361.0,417.0,946.0,11131.0,16208.0,4627.0,27.0,13781.0,91.0
2723,2.0,13101.0,21199.0,36.0,346.0,14964.0,1648.0,357.0,24134.0,20714.0,1334.0,1495.0,17552.0,16772.0,23127.0,11210.0,90.0,411.0,23.0,114.0,14941.0,16355.0,466.0,16165.0,3.0,16201.0,4433.0,144.0,13804.0,1532.0
2772,110.0,388.0,21077.0,194.0,13.0,14963.0,23.0,8.0,179.0,203.0,1535.0,47.0,482.0,217.0,23100.0,8400.0,5804.0,295.0,15.0,70.0,1766.0,16361.0,655.0,16167.0,8050.0,1155.0,7086.0,1173.0,48.0,4.0
2821,1448.0,27.0,174.0,75.0,2.0,20.0,48.0,10.0,13.0,472.0,19.0,17059.0,5.0,16772.0,23102.0,110.0,6709.0,12130.0,42.0,418.0,45.0,328.0,39.0,16175.0,11157.0,936.0,16.0,120.0,13815.0,351.0
2870,196.0,68.0,2.0,9.0,0.0,14992.0,968.0,14993.0,24134.0,187.0,16248.0,761.0,1.0,29.0,23348.0,11259.0,4.0,16.0,90.0,10192.0,240.0,16384.0,10.0,172.0,1790.0,887.0,55.0,19350.0,92.0,4689.0
2919,48.0,26.0,21197.0,45.0,38.0,1197.0,189.0,14881.0,60.0,20705.0,420.0,90.0,7.0,16771.0,57.0,11680.0,629.0,11975.0,8.0,10124.0,288.0,16337.0,16521.0,16180.0,499.0,16171.0,24.0,129.0,13716.0,506.0
2968,10410.0,249.0,178.0,43.0,8390.0,11.0,115.0,14988.0,24134.0,20759.0,904.0,490.0,22.0,244.0,4.0,15.0,13.0,381.0,22723.0,10173.0,599.0,1009.0,16623.0,228.0,11192.0,16217.0,135.0,19396.0,110.0,3918.0
3017,1385.0,14154.0,20882.0,233.0,1733.0,6.0,23.0,3.0,39.0,19120.0,755.0,41.0,1505.0,134.0,54.0,27.0,958.0,408.0,0.0,10525.0,716.0,9426.0,1103.0,498.0,11600.0,3086.0,6630.0,12.0,17513.0,4582.0
3066,5.0,1635.0,35.0,4.0,74.0,0.0,6560.0,2.0,55.0,269.0,1170.0,16094.0,201.0,1159.0,708.0,107.0,89.0,24.0,778.0,287.0,1696.0,72.0,1528.0,233.0,12602.0,586.0,1230.0,23042.0,17451.0,5707.0
3115,429.0,127.0,21122.0,17.0,138.0,140.0,436.0,1.0,93.0,5.0,1225.0,298.0,4.0,846.0,202.0,3.0,37.0,275.0,22831.0,1643.0,22.0,362.0,831.0,16187.0,819.0,16198.0,65.0,19412.0,13780.0,1803.0
3164,10541.0,89.0,346.0,17.0,8396.0,68.0,204.0,76.0,125.0,20768.0,16233.0,1565.0,30.0,368.0,114.0,1.0,6726.0,4.0,22731.0,10188.0,173.0,395.0,16581.0,27.0,11116.0,239.0,9.0,138.0,13815.0,4070.0
3213,141.0,104.0,840.0,12.0,13.0,402.0,718.0,38.0,45.0,37.0,1086.0,17058.0,378.0,75.0,1579.0,10.0,1302.0,12143.0,71.0,10193.0,14982.0,16366.0,16621.0,16179.0,11120.0,16216.0,527.0,102.0,368.0,139.0
3262,586.0,146.0,21082.0,7.0,160.0,0.0,16573.0,1.0,24134.0,20780.0,603.0,268.0,264.0,16768.0,307.0,51.0,985.0,126.0,761.0,10202.0,21.0,76.0,1520.0,80.0,495.0,16209.0,45.0,1682.0,13747.0,3935.0
3311,197.0,105.0,406.0,2.0,8487.0,13272.0,149.0,0.0,41.0,18885.0,174.0,18145.0,202.0,200.0,23310.0,51.0,8.0,12107.0,23021.0,10203.0,13271.0,163.0,925.0,668.0,3.0,732.0,15.0,399.0,13950.0,4145.0
3360,681.0,0.0,622.0,1.0,8400.0,604.0,483.0,574.0,24134.0,20777.0,551.0,17060.0,38.0,16792.0,23108.0,2.0,220.0,793.0,82.0,10191.0,14980.0,439.0,1061.0,16202.0,11112.0,520.0,52.0,1669.0,474.0,4072.0
3409,0.0,13076.0,83.0,180.0,764.0,14886.0,84.0,51.0,470.0,20716.0,16229.0,17036.0,105.0,16776.0,785.0,7.0,240.0,25.0,22845.0,12007.0,92.0,560.0,16583.0,16179.0,437.0,16169.0,867.0,135.0,13739.0,4598.0
3458,11.0,13649.0,20794.0,17565.0,8.0,698.0,437.0,40.0,1244.0,18.0,33.0,17944.0,17930.0,104.0,696.0,203.0,1366.0,475.0,24125.0,403.0,259.0,267.0,99.0,150.0,613.0,184.0,4779.0,55.0,186.0,4521.0
3507,2.0,218.0,62.0,582.0,8374.0,19.0,499.0,100.0,24134.0,20736.0,20.0,17046.0,17429.0,104.0,23127.0,120.0,48.0,269.0,0.0,321.0,1195.0,75.0,202.0,961.0,1643.0,7.0,6311.0,19406.0,401.0,4011.0
3556,19.0,17.0,76.0,849.0,126.0,294.0,225.0,0.0,211.0,589.0,11.0,456.0,1692.0,71.0,487.0,14.0,120.0,12103.0,118.0,1607.0,326.0,16364.0,16609.0,16175.0,11173.0,828.0,749.0,90.0,13810.0,4626.0
3605,2.0,90.0,826.0,12878.0,2172.0,1444.0,53.0,555.0,948.0,935.0,5.0,17066.0,17560.0,184.0,23061.0,8.0,13.0,55.0,17.0,12261.0,14912.0,95.0,803.0,16205.0,7918.0,1171.0,7060.0,42.0,26.0,201.0
3654,864.0,701.0,21090.0,838.0,8375.0,50.0,16537.0,14952.0,24134.0,88.0,212.0,17048.0,17565.0,370.0,311.0,11.0,6700.0,12094.0,222.0,10189.0,14944.0,332.0,192.0,491.0,223.0,16197.0,6318.0,19421.0,51.0,301.0
3703,670.0,221.0,1369.0,558.0,105.0,7.0,10.0,14963.0,24134.0,20737.0,42.0,823.0,17545.0,64.0,99.0,0.0,1279.0,235.0,1722.0,10144.0,602.0,16352.0,947.0,130.0,11104.0,16196.0,868.0,5.0,215.0,689.0
3752,10387.0,20.0,21077.0,409.0,8368.0,256.0,342.0,1510.0,107.0,300.0,138.0,16988.0,17302.0,58.0,23123.0,4.0,212.0,12117.0,22821.0,10174.0,350.0,16346.0,956.0,47.0,205.0,16189.0,387.0,19346.0,0.0,4023.0
3801,6.0,1.0,13.0,13678.0,157.0,12975.0,23712.0,391.0,361.0,42.0,5.0,17816.0,18359.0,6807.0,22991.0,0.0,6942.0,10311.0,59.0,1636.0,12974.0,183.0,11.0,3384.0,594.0,690.0,6632.0,17.0,46.0,4588.0
3850,10513.0,12.0,45.0,260.0,1712.0,20.0,16549.0,14901.0,24134.0,499.0,16246.0,16985.0,529.0,1046.0,1.0,3.0,552.0,10.0,22845.0,39.0,638.0,42.0,16542.0,217.0,11107.0,602.0,5297.0,6.0,25.0,4427.0
3899,10384.0,125.0,86.0,39.0,30.0,11.0,496.0,485.0,1701.0,565.0,0.0,283.0,17305.0,299.0,23120.0,214.0,4707.0,3.0,672.0,707.0,910.0,16343.0,860.0,346.0,622.0,431.0,5223.0,295.0,13.0,165.0
3948,557.0,13108.0,53.0,12886.0,439.0,1770.0,3.0,478.0,24134.0,20769.0,26.0,903.0,9.0,16782.0,23111.0,73.0,6709.0,733.0,990.0,49.0,14993.0,91.0,1085.0,1237.0,11114.0,427.0,570.0,12.0,20.0,4057.0
3997,3.0,1089.0,9.0,147.0,740.0,2.0,900.0,89.0,1400.0,20735.0,409.0,17022.0,1659.0,1299.0,23131.0,339.0,579.0,773.0,22857.0,12475.0,27.0,22.0,1129.0,406.0,7848.0,1616.0,6931.0,19408.0,51.0,178.0
4046,26.0,0.0,96.0,12773.0,22.0,14989.0,242.0,6.0,17.0,20764.0,16.0,507.0,254.0,24.0,23350.0,11706.0,6216.0,12147.0,22729.0,10198.0,528.0,16364.0,415.0,111.0,11159.0,399.0,4394.0,1748.0,13797.0,29.0
4095,10552.0,294.0,21072.0,169.0,0.0,198.0,3.0,25.0,896.0,339.0,46.0,17066.0,1020.0,16767.0,544.0,51.0,202.0,12142.0,18.0,101.0,14997.0,263.0,16610.0,516.0,1507.0,4.0,1605.0,37.0,239.0,2.0
4144,382.0,102.0,20840.0,128.0,3.0,1755.0,5333.0,145.0,462.0,323.0,768.0,16084.0,530.0,120.0,471.0,584.0,41.0,698.0,17.0,7.0,14256.0,9770.0,51.0,677.0,22.0,1050.0,5169.0,117.0,17204.0,89.0
4193,3.0,1446.0,12.0,12895.0,165.0,86.0,409.0,4.0,1075.0,364.0,16238.0,17069.0,17450.0,46.0,78.0,304.0,0.0,1801.0,166.0,119.0,30.0,16378.0,357.0,1043.0,7950.0,689.0,6415.0,19431.0,552.0,169.0
4242,269.0,5.0,307.0,12875.0,15.0,1401.0,96.0,2.0,24134.0,49.0,396.0,1218.0,9.0,118.0,21.0,36.0,51.0,210.0,1772.0,129.0,72.0,360.0,16572.0,678.0,1715.0,22.0,291.0,137.0,13801.0,0.0
4291,685.0,19.0,17.0,61.0,266.0,1800.0,16551.0,24.0,24134.0,283.0,16228.0,1303.0,52.0,308.0,23116.0,11475.0,1234.0,406.0,22826.0,10190.0,515.0,744.0,0.0,16197.0,824.0,16210.0,120.0,1000.0,13804.0,80.0
4340,151.0,163.0,280.0,483.0,14.0,873.0,4.0,14963.0,24134.0,296.0,351.0,17053.0,38.0,16787.0,0.0,11272.0,6467.0,531.0,22793.0,2.0,14964.0,649.0,683.0,689.0,11105.0,16187.0,50.0,19340.0,745.0,18.0
4389,10402.0,20.0,79.0,12747.0,8380.0,296.0,49.0,14966.0,152.0,130.0,16217.0,17024.0,17530.0,308.0,8.0,11201.0,646.0,12094.0,1559.0,129.0,1736.0,531.0,3.0,1719.0,456.0,16160.0,6.0,1628.0,119.0,245.0
4438,10544.0,6.0,94.0,1803.0,8388.0,151.0,16543.0,41.0,1125.0,20781.0,26.0,234.0,17529.0,1441.0,23113.0,11708.0,53.0,651.0,22777.0,337.0,1703.0,1079.0,16613.0,16176.0,11132.0,1804.0,154.0,25.0,13814.0,134.0
4487,2.0,13159.0,356.0,125.0,8423.0,54.0,424.0,278.0,1.0,1728.0,171.0,235.0,1064.0,16292.0,69.0,11241.0,4630.0,12119.0,857.0,161.0,137.0,713.0,48.0,16194.0,229.0,16185.0,1816.0,1424.0,13684.0,5436.0
4536,379.0,121.0,44.0,4.0,131.0,20.0,169.0,14960.0,66.0,1477.0,16224.0,57.0,936.0,307.0,997.0,238.0,435.0,12105.0,273.0,10166.0,14961.0,16370.0,792.0,746.0,2.0,900.0,5337.0,1768.0,624.0,579.0
4585,10484.0,288.0,194.0,12776.0,5.0,1756.0,279.0,14990.0,34.0,20770.0,16223.0,406.0,220.0,72.0,1810.0,249.0,186.0,132.0,760.0,814.0,223.0,610.0,1020.0,16194.0,1776.0,30.0,293.0,19419.0,270.0,4428.0
4634,1673.0,13093.0,236.0,1.0,486.0,16.0,627.0,1672.0,84.0,1826.0,16215.0,60.0,17562.0,16757.0,250.0,11277.0,1819.0,514.0,674.0,10194.0,1798.0,16356.0,688.0,16168.0,984.0,52.0,6367.0,19350.0,357.0,4088.0
4683,34.0,13131.0,23.0,12.0,91.0,38.0,72.0,198.0,44.0,102.0,30.0,248.0,87.0,16771.0,23118.0,11700.0,6722.0,12124.0,7.0,49.0,812.0,1443.0,16612.0,1479.0,981.0,0.0,1543.0,19382.0,13771.0,4087.0
4732,122.0,13626.0,693.0,32.0,8739.0,934.0,19677.0,511.0,38.0,83.0,205.0,18113.0,42.0,3.0,0.0,11745.0,1056.0,1204.0,24090.0,141.0,1132.0,735.0,18860.0,10814.0,442.0,465.0,4811.0,206.0,17479.0,4541.0
4781,10.0,115.0,79.0,179.0,10704.0,14961.0,16540.0,14960.0,989.0,80.0,970.0,152.0,162.0,618.0,447.0,7752.0,1200.0,12200.0,656.0,124.0,280.0,16347.0,1208.0,16198.0,77.0,16188.0,6432.0,19419.0,13760.0,198.0
4830,1807.0,123.0,135.0,2.0,42.0,14975.0,89.0,705.0,198.0,20780.0,56.0,17031.0,511.0,584.0,20.0,11459.0,6719.0,12129.0,596.0,324.0,14974.0,49.0,47.0,35.0,3.0,150.0,6336.0,15.0,13767.0,4079.0
