,Gab2,p70S6K_pT389,PKC-alpha,XBP1,Caspase-7_cleavedD198,AMPK_alpha,c-Jun_pS73,Bax,4E-BP1_pS65,PKC-delta_pS664,B-Raf,GSK-3-BETA,IGFBP2,GSK3_pS9,JNK2,Smac,CDK1,c-Kit,Rictor_pT1135,TIGAR,Fibronectin,RAD51,GAPDH,N-Cadherin,ADAR1,ACVRL1,FRA1,p38_pT180_Y182,IRS1,HSP70
1670,0.0,4.0,3.0,1.0,2.0,18.0,17.0,35.0,33.0,24.0,10.0,44.0,5.0,132.0,27.0,48.0,8.0,7.0,15.0,12.0,20.0,6.0,58.0,31.0,39.0,79.0,23.0,82.0,75.0,136.0
1719,1.0,2.0,7.0,0.0,4.0,51.0,57.0,3.0,25.0,49.0,13.0,6.0,18.0,28.0,22.0,16.0,14.0,11.0,8.0,9.0,5.0,86.0,10.0,138.0,67.0,44.0,65.0,69.0,118.0,45.0
1768,0.0,1.0,2.0,3.0,14.0,20.0,10.0,7.0,29.0,60.0,4.0,9.0,15.0,118.0,41.0,23.0,8.0,5.0,13.0,28.0,17.0,6.0,33.0,42.0,11.0,37.0,32.0,25.0,22.0,121.0
1817,0.0,2.0,5.0,7.0,3.0,9.0,1.0,74.0,71.0,11.0,4.0,16.0,54.0,34.0,49.0,50.0,31.0,66.0,32.0,14.0,27.0,46.0,22.0,159.0,10.0,15.0,123.0,60.0,6.0,163.0
1866,1.0,5.0,0.0,2.0,17.0,49.0,6.0,4.0,3.0,12.0,7.0,27.0,26.0,15.0,44.0,10.0,8.0,22.0,52.0,13.0,11.0,21.0,18.0,28.0,9.0,32.0,56.0,55.0,34.0,90.0
1915,2.0,9.0,0.0,10.0,3.0,5.0,6.0,1.0,4.0,22.0,12.0,17.0,30.0,131.0,73.0,11.0,8.0,15.0,93.0,21.0,70.0,118.0,34.0,96.0,32.0,18.0,42.0,16.0,134.0,113.0
1964,0.0,2.0,4.0,3.0,6.0,14.0,10.0,1.0,9.0,7.0,38.0,20.0,19.0,5.0,137.0,34.0,81.0,32.0,35.0,13.0,116.0,31.0,155.0,103.0,51.0,48.0,15.0,39.0,115.0,16.0
2013,0.0,6.0,18.0,1.0,42.0,5.0,3.0,7.0,4.0,56.0,10.0,20.0,2.0,31.0,14.0,49.0,23.0,8.0,76.0,44.0,80.0,39.0,68.0,16.0,67.0,45.0,25.0,29.0,134.0,35.0
2062,0.0,2.0,18.0,1.0,9.0,8.0,7.0,3.0,21.0,11.0,99.0,22.0,13.0,10.0,34.0,16.0,6.0,35.0,53.0,17.0,23.0,63.0,43.0,104.0,5.0,73.0,57.0,97.0,59.0,130.0
2111,0.0,1.0,2.0,14.0,58.0,9.0,4.0,5.0,8.0,30.0,22.0,16.0,17.0,11.0,125.0,151.0,84.0,25.0,44.0,53.0,13.0,3.0,60.0,54.0,18.0,20.0,56.0,50.0,41.0,37.0
2160,0.0,1.0,8.0,2.0,52.0,21.0,9.0,4.0,19.0,38.0,12.0,5.0,45.0,10.0,17.0,13.0,86.0,31.0,37.0,15.0,61.0,43.0,64.0,85.0,65.0,83.0,46.0,104.0,26.0,157.0
2209,0.0,5.0,6.0,3.0,15.0,36.0,43.0,9.0,12.0,32.0,29.0,1.0,38.0,2.0,101.0,96.0,19.0,23.0,46.0,154.0,72.0,18.0,120.0,85.0,22.0,17.0,11.0,20.0,10.0,25.0
2258,0.0,2.0,5.0,44.0,1.0,18.0,20.0,6.0,57.0,96.0,7.0,22.0,62.0,102.0,36.0,37.0,11.0,86.0,80.0,13.0,133.0,4.0,42.0,66.0,31.0,76.0,71.0,25.0,95.0,24.0
2307,0.0,11.0,2.0,1.0,17.0,6.0,7.0,3.0,36.0,57.0,29.0,94.0,50.0,26.0,30.0,164.0,72.0,21.0,34.0,9.0,37.0,23.0,55.0,38.0,71.0,41.0,33.0,15.0,63.0,10.0
2356,0.0,1.0,3.0,5.0,93.0,10.0,11.0,6.0,8.0,28.0,46.0,14.0,16.0,4.0,36.0,49.0,18.0,115.0,111.0,27.0,44.0,26.0,37.0,13.0,61.0,114.0,2.0,15.0,94.0,23.0
2405,1.0,8.0,2.0,0.0,16.0,5.0,15.0,20.0,18.0,11.0,4.0,7.0,6.0,14.0,52.0,82.0,100.0,32.0,69.0,12.0,58.0,9.0,23.0,13.0,60.0,24.0,54.0,61.0,21.0,3.0
2454,0.0,4.0,1.0,6.0,23.0,19.0,8.0,11.0,5.0,7.0,10.0,18.0,25.0,9.0,3.0,53.0,20.0,103.0,21.0,48.0,150.0,2.0,118.0,82.0,114.0,51.0,12.0,38.0,106.0,164.0
2503,1.0,3.0,4.0,0.0,6.0,14.0,17.0,2.0,19.0,8.0,43.0,42.0,34.0,16.0,11.0,70.0,10.0,119.0,13.0,12.0,22.0,18.0,7.0,26.0,67.0,25.0,112.0,23.0,68.0,145.0
2552,0.0,4.0,3.0,2.0,12.0,15.0,24.0,10.0,23.0,5.0,19.0,6.0,62.0,22.0,1.0,38.0,20.0,134.0,27.0,28.0,8.0,13.0,7.0,18.0,30.0,77.0,26.0,88.0,78.0,44.0
2601,0.0,4.0,3.0,1.0,10.0,17.0,6.0,7.0,14.0,12.0,9.0,5.0,33.0,11.0,2.0,19.0,20.0,25.0,23.0,49.0,27.0,112.0,15.0,68.0,45.0,88.0,76.0,66.0,131.0,40.0
2650,2.0,1.0,4.0,0.0,3.0,26.0,9.0,5.0,25.0,20.0,11.0,24.0,28.0,57.0,10.0,65.0,7.0,27.0,6.0,14.0,60.0,16.0,18.0,93.0,129.0,39.0,64.0,13.0,127.0,86.0
2699,0.0,6.0,4.0,1.0,10.0,36.0,2.0,7.0,18.0,19.0,13.0,15.0,16.0,24.0,3.0,8.0,5.0,30.0,11.0,63.0,46.0,38.0,22.0,98.0,20.0,43.0,101.0,33.0,64.0,9.0
2748,0.0,2.0,1.0,10.0,13.0,38.0,3.0,8.0,21.0,9.0,6.0,35.0,70.0,11.0,4.0,45.0,87.0,120.0,27.0,77.0,90.0,7.0,14.0,76.0,17.0,62.0,40.0,78.0,22.0,106.0
2797,2.0,0.0,6.0,3.0,9.0,16.0,8.0,7.0,12.0,37.0,25.0,13.0,18.0,11.0,1.0,39.0,5.0,104.0,31.0,26.0,85.0,23.0,22.0,160.0,53.0,24.0,21.0,14.0,80.0,103.0
2846,1.0,2.0,0.0,3.0,5.0,10.0,34.0,69.0,126.0,11.0,14.0,83.0,15.0,73.0,6.0,31.0,51.0,7.0,58.0,30.0,25.0,4.0,8.0,156.0,114.0,18.0,76.0,78.0,55.0,56.0
2895,0.0,1.0,2.0,6.0,30.0,32.0,5.0,17.0,11.0,3.0,33.0,23.0,12.0,8.0,7.0,70.0,14.0,4.0,10.0,29.0,54.0,47.0,153.0,72.0,9.0,60.0,110.0,41.0,98.0,16.0
2944,0.0,1.0,2.0,9.0,41.0,5.0,8.0,3.0,14.0,22.0,35.0,62.0,4.0,15.0,16.0,23.0,111.0,78.0,30.0,122.0,126.0,91.0,24.0,12.0,60.0,21.0,55.0,7.0,28.0,13.0
2993,2.0,3.0,0.0,9.0,6.0,12.0,22.0,20.0,1.0,5.0,13.0,42.0,8.0,101.0,19.0,11.0,37.0,18.0,16.0,24.0,30.0,90.0,4.0,7.0,25.0,58.0,118.0,60.0,68.0,26.0
3042,4.0,0.0,3.0,10.0,1.0,27.0,8.0,21.0,2.0,108.0,5.0,16.0,25.0,88.0,35.0,92.0,44.0,89.0,28.0,30.0,12.0,68.0,17.0,19.0,22.0,18.0,15.0,7.0,14.0,9.0
3091,7.0,11.0,4.0,0.0,31.0,8.0,16.0,3.0,2.0,6.0,13.0,10.0,12.0,30.0,64.0,27.0,15.0,95.0,129.0,58.0,22.0,60.0,48.0,76.0,29.0,34.0,112.0,63.0,5.0,17.0
3140,3.0,2.0,0.0,7.0,8.0,12.0,10.0,102.0,1.0,5.0,16.0,14.0,76.0,22.0,24.0,20.0,67.0,35.0,15.0,33.0,59.0,100.0,4.0,19.0,84.0,13.0,43.0,31.0,18.0,6.0
3189,2.0,8.0,0.0,1.0,18.0,14.0,4.0,12.0,3.0,6.0,11.0,63.0,37.0,9.0,13.0,7.0,62.0,97.0,59.0,39.0,33.0,158.0,5.0,38.0,21.0,24.0,76.0,26.0,22.0,95.0
3238,3.0,2.0,1.0,0.0,4.0,11.0,17.0,12.0,6.0,9.0,5.0,10.0,8.0,60.0,7.0,26.0,49.0,37.0,19.0,111.0,20.0,62.0,43.0,34.0,54.0,23.0,53.0,122.0,14.0,13.0
3287,0.0,3.0,1.0,2.0,16.0,17.0,10.0,8.0,11.0,61.0,39.0,62.0,12.0,42.0,14.0,9.0,47.0,26.0,31.0,113.0,15.0,25.0,6.0,7.0,76.0,109.0,35.0,23.0,19.0,13.0
3336,7.0,6.0,0.0,2.0,64.0,1.0,19.0,48.0,3.0,28.0,5.0,25.0,70.0,58.0,15.0,8.0,34.0,50.0,59.0,42.0,10.0,51.0,17.0,21.0,20.0,53.0,44.0,18.0,4.0,16.0
