,FBLN2,SUSD5,TRIM58,GSTM3,CYB5R2,LPHN2,GGT6,CMTM7,RP11-8L2.1,IL20RA,EIF5AL1,AP000783.1,CCL28,AGFG2,WRNIP1,CTB-36O1.3,CORO2A,SERTAD4-AS1,LTBP2,ALDH1L1,RP11-408B11.2,LINC00960,CYTH1,B3GALT4,ARHGDIB,NCALD,GPRIN2,APH1B,GNG11,ARHGEF17
499,44.0,0.0,27.0,15.0,1.0,2.0,116.0,12.0,89.0,5.0,9.0,102.0,71.0,23.0,17.0,26.0,13.0,118.0,3.0,147.0,16.0,134.0,290.0,18.0,29.0,389.0,1227.0,10.0,31.0,99.0
548,3.0,0.0,121.0,12.0,17.0,7.0,67.0,11.0,68.0,6.0,40.0,29.0,54.0,71.0,133.0,2190.0,9.0,66.0,47.0,244.0,2.0,84.0,37.0,25.0,173.0,65.0,732.0,35.0,14.0,45.0
597,16.0,0.0,629.0,325.0,3.0,7.0,65.0,10.0,12.0,6.0,34.0,43.0,104.0,15.0,8.0,257.0,4.0,48.0,38.0,126.0,2.0,458.0,105.0,37.0,18.0,227.0,402.0,23.0,19.0,67.0
646,19.0,1.0,112.0,12.0,14.0,75.0,122.0,17.0,10.0,2.0,0.0,37.0,146.0,26.0,8.0,11.0,35.0,76.0,23.0,42.0,3.0,375.0,429.0,15.0,51.0,39.0,194.0,5.0,265.0,40.0
695,28.0,1.0,98.0,13.0,5.0,140.0,74.0,30.0,47.0,2.0,4.0,139.0,113.0,24.0,12.0,26.0,15.0,76.0,31.0,93.0,3.0,18.0,27.0,51.0,401.0,49.0,57.0,23.0,436.0,440.0
744,6.0,5.0,22.0,84.0,3.0,15.0,222.0,4.0,27.0,1.0,0.0,28.0,53.0,39.0,43.0,219.0,7.0,21.0,302.0,144.0,49.0,63.0,200.0,19.0,285.0,73.0,315.0,30.0,58.0,23.0
793,46.0,13.0,12.0,74.0,0.0,20.0,68.0,1.0,16.0,30.0,35.0,17.0,52.0,113.0,41.0,18.0,26.0,54.0,15.0,11.0,25.0,130.0,102.0,2.0,72.0,28.0,358.0,19.0,3.0,48.0
842,18.0,10.0,110.0,318.0,17.0,3.0,388.0,6.0,94.0,4.0,0.0,15.0,121.0,248.0,47.0,72.0,64.0,152.0,46.0,58.0,154.0,165.0,86.0,16.0,167.0,174.0,309.0,53.0,79.0,133.0
891,5.0,0.0,401.0,218.0,8.0,1.0,142.0,12.0,77.0,6.0,3.0,257.0,14.0,66.0,37.0,38.0,4.0,18.0,30.0,284.0,2.0,285.0,78.0,23.0,204.0,20.0,345.0,10.0,24.0,72.0
940,12.0,0.0,108.0,106.0,3.0,1.0,102.0,6.0,40.0,5.0,23.0,224.0,42.0,25.0,70.0,143.0,21.0,114.0,48.0,123.0,53.0,57.0,32.0,10.0,120.0,149.0,164.0,7.0,14.0,52.0
989,0.0,2.0,20.0,4.0,9.0,35.0,1.0,13.0,12.0,209.0,43.0,7.0,21.0,309.0,17.0,558.0,967.0,29.0,40.0,5.0,343.0,37.0,71.0,58.0,188.0,72.0,63.0,54.0,14.0,41.0
1038,1.0,4.0,41.0,9.0,0.0,50.0,22.0,3.0,34.0,51.0,80.0,7.0,12.0,14.0,132.0,156.0,49.0,8.0,374.0,53.0,302.0,26.0,30.0,60.0,112.0,58.0,199.0,66.0,37.0,17.0
1087,0.0,4.0,101.0,226.0,16.0,21.0,5.0,3.0,1.0,36.0,19.0,40.0,27.0,14.0,114.0,8.0,181.0,18.0,59.0,64.0,254.0,9.0,119.0,48.0,41.0,17.0,120.0,465.0,147.0,10.0
1136,4.0,1.0,44.0,21.0,0.0,110.0,6.0,23.0,3.0,29.0,47.0,14.0,2.0,24.0,58.0,13.0,50.0,8.0,188.0,42.0,528.0,5.0,37.0,197.0,40.0,10.0,202.0,189.0,36.0,81.0
1185,0.0,12.0,563.0,126.0,15.0,17.0,35.0,75.0,2.0,70.0,21.0,1.0,23.0,3.0,34.0,7.0,65.0,37.0,152.0,92.0,1376.0,22.0,40.0,47.0,10.0,9.0,296.0,138.0,5.0,72.0
1234,0.0,9.0,148.0,40.0,2.0,14.0,4.0,84.0,7.0,31.0,6.0,17.0,5.0,65.0,51.0,3.0,12.0,20.0,333.0,11.0,526.0,41.0,38.0,104.0,62.0,16.0,50.0,188.0,19.0,32.0
1283,1.0,2.0,45.0,1247.0,0.0,57.0,8.0,10.0,29.0,38.0,144.0,14.0,243.0,25.0,47.0,35.0,305.0,48.0,89.0,99.0,4709.0,9.0,49.0,41.0,72.0,33.0,78.0,393.0,122.0,133.0
1332,1.0,3.0,202.0,63.0,0.0,17.0,5.0,34.0,10.0,75.0,77.0,8.0,58.0,15.0,86.0,57.0,303.0,50.0,125.0,32.0,503.0,7.0,193.0,69.0,45.0,99.0,176.0,26.0,2.0,135.0
1381,6.0,1.0,10.0,185.0,36.0,25.0,16.0,47.0,4.0,273.0,77.0,18.0,79.0,20.0,60.0,3.0,62.0,8.0,54.0,184.0,198.0,5.0,56.0,122.0,53.0,13.0,222.0,82.0,37.0,59.0
1430,0.0,3.0,109.0,72.0,2.0,83.0,7.0,9.0,11.0,18.0,13.0,4.0,12.0,14.0,35.0,64.0,146.0,26.0,259.0,20.0,2155.0,170.0,29.0,61.0,8.0,119.0,60.0,231.0,76.0,250.0
1479,15.0,0.0,2.0,3.0,10.0,4.0,36.0,102.0,30.0,27.0,19.0,65.0,17.0,20.0,12.0,49.0,6.0,1.0,118.0,162.0,31.0,167.0,24.0,132.0,26.0,37.0,114.0,1257.0,33.0,29.0
1528,4.0,0.0,42.0,12.0,1.0,3.0,38.0,27.0,21.0,10.0,5.0,2.0,19.0,7.0,54.0,302.0,32.0,8.0,169.0,174.0,23.0,16.0,67.0,124.0,18.0,66.0,254.0,557.0,52.0,58.0
1577,2.0,34.0,3.0,1.0,152.0,18.0,23.0,69.0,21.0,162.0,0.0,47.0,178.0,13.0,8.0,59.0,55.0,19.0,111.0,130.0,4.0,5.0,65.0,32.0,66.0,57.0,113.0,253.0,254.0,76.0
1626,3.0,8.0,2.0,74.0,13.0,0.0,9.0,33.0,60.0,7.0,1.0,35.0,37.0,59.0,18.0,6.0,216.0,10.0,119.0,20.0,15.0,4.0,151.0,32.0,31.0,77.0,45.0,916.0,264.0,122.0
1675,2.0,96.0,3.0,1.0,26.0,12.0,58.0,17.0,55.0,19.0,0.0,9.0,24.0,10.0,4.0,74.0,88.0,7.0,28.0,64.0,5.0,34.0,48.0,108.0,105.0,16.0,21.0,234.0,6.0,29.0
1724,0.0,10.0,77.0,4.0,7.0,1.0,14.0,6.0,30.0,3.0,2.0,11.0,8.0,5.0,9.0,49.0,129.0,68.0,39.0,224.0,21.0,280.0,36.0,199.0,408.0,38.0,189.0,1134.0,91.0,19.0
1773,2.0,0.0,48.0,9.0,74.0,10.0,142.0,71.0,21.0,251.0,5.0,26.0,135.0,8.0,29.0,6.0,77.0,3.0,115.0,32.0,65.0,39.0,45.0,137.0,51.0,20.0,60.0,2517.0,392.0,24.0
1822,10.0,3.0,5.0,6.0,12.0,92.0,39.0,4.0,11.0,26.0,7.0,31.0,20.0,2.0,18.0,43.0,1.0,57.0,35.0,50.0,8.0,25.0,37.0,64.0,77.0,354.0,93.0,245.0,73.0,48.0
1871,0.0,28.0,48.0,17.0,97.0,5.0,108.0,7.0,9.0,31.0,3.0,82.0,29.0,8.0,16.0,56.0,35.0,6.0,24.0,298.0,18.0,55.0,114.0,109.0,41.0,4.0,60.0,134.0,267.0,32.0
1920,2.0,0.0,5.0,34.0,11.0,13.0,103.0,14.0,22.0,77.0,25.0,62.0,98.0,12.0,6.0,32.0,3.0,9.0,140.0,202.0,4.0,58.0,87.0,49.0,68.0,29.0,154.0,820.0,24.0,39.0
1969,21.0,344.0,126.0,74.0,8.0,0.0,60.0,13.0,2.0,3.0,6.0,14.0,205.0,91.0,55.0,75.0,570.0,17.0,84.0,25.0,16.0,161.0,39.0,4.0,588.0,18.0,15.0,20.0,23.0,45.0
2018,49.0,266.0,5.0,6.0,65.0,11.0,16.0,91.0,2.0,92.0,0.0,13.0,198.0,44.0,43.0,79.0,51.0,26.0,14.0,31.0,29.0,1.0,42.0,3.0,170.0,25.0,4.0,98.0,165.0,33.0
2067,47.0,225.0,40.0,33.0,11.0,0.0,149.0,4.0,3.0,21.0,1.0,52.0,6.0,66.0,19.0,17.0,10.0,45.0,2.0,191.0,152.0,29.0,69.0,7.0,54.0,23.0,28.0,16.0,146.0,123.0
2116,12.0,46.0,5.0,116.0,14.0,0.0,4.0,31.0,2.0,17.0,1.0,11.0,28.0,167.0,20.0,19.0,363.0,75.0,3.0,7.0,39.0,70.0,29.0,32.0,56.0,66.0,27.0,22.0,49.0,40.0
2165,63.0,241.0,18.0,6.0,4.0,1.0,16.0,17.0,0.0,12.0,2.0,28.0,36.0,29.0,22.0,19.0,157.0,34.0,3.0,31.0,7.0,10.0,319.0,8.0,45.0,113.0,11.0,55.0,35.0,53.0
2214,81.0,22.0,4.0,6.0,9.0,0.0,8.0,44.0,1.0,19.0,3.0,34.0,66.0,100.0,50.0,20.0,64.0,58.0,5.0,53.0,11.0,47.0,169.0,7.0,21.0,55.0,18.0,32.0,97.0,57.0
2263,34.0,27.0,8.0,20.0,40.0,1.0,19.0,5.0,2.0,72.0,0.0,3.0,17.0,37.0,16.0,144.0,208.0,21.0,4.0,100.0,47.0,13.0,62.0,24.0,26.0,86.0,58.0,91.0,41.0,51.0
2312,19.0,110.0,10.0,12.0,17.0,7.0,14.0,6.0,0.0,1.0,13.0,16.0,8.0,29.0,18.0,5.0,250.0,70.0,4.0,20.0,112.0,9.0,47.0,2.0,61.0,174.0,15.0,69.0,81.0,52.0
2361,74.0,3.0,14.0,98.0,13.0,0.0,16.0,5.0,1.0,8.0,4.0,17.0,40.0,111.0,34.0,10.0,19.0,11.0,2.0,44.0,26.0,9.0,178.0,37.0,30.0,57.0,42.0,41.0,54.0,65.0
2410,12.0,23.0,18.0,95.0,1.0,0.0,35.0,6.0,2.0,36.0,3.0,16.0,103.0,39.0,11.0,17.0,128.0,14.0,5.0,7.0,64.0,84.0,154.0,13.0,240.0,30.0,4.0,133.0,116.0,77.0
2459,18.0,7.0,1.0,0.0,8.0,56.0,12.0,2.0,19.0,16.0,1110.0,26.0,89.0,9.0,31.0,43.0,69.0,28.0,4.0,131.0,41.0,66.0,55.0,63.0,47.0,87.0,178.0,144.0,13.0,21.0
2508,0.0,3.0,1.0,28.0,169.0,13.0,4.0,17.0,19.0,23.0,65.0,5.0,74.0,15.0,26.0,29.0,12.0,7.0,45.0,58.0,18.0,88.0,49.0,40.0,120.0,61.0,48.0,167.0,24.0,6.0
2557,1.0,7.0,6.0,5.0,40.0,2.0,19.0,4.0,20.0,11.0,23.0,139.0,45.0,15.0,47.0,27.0,26.0,60.0,52.0,51.0,12.0,1661.0,271.0,22.0,382.0,31.0,30.0,63.0,44.0,24.0
2606,0.0,4.0,6.0,5.0,74.0,7.0,14.0,3.0,19.0,47.0,55.0,31.0,8.0,133.0,25.0,38.0,9.0,30.0,10.0,13.0,116.0,58.0,71.0,20.0,207.0,168.0,62.0,17.0,49.0,12.0
2655,6.0,1.0,4.0,33.0,871.0,0.0,5.0,11.0,21.0,23.0,8.0,17.0,3.0,64.0,9.0,26.0,139.0,14.0,7.0,35.0,30.0,100.0,193.0,60.0,439.0,94.0,82.0,109.0,39.0,13.0
2704,5.0,4.0,0.0,2.0,82.0,22.0,3.0,7.0,8.0,12.0,27.0,155.0,6.0,195.0,43.0,105.0,14.0,56.0,39.0,24.0,19.0,75.0,64.0,101.0,563.0,175.0,17.0,55.0,30.0,10.0
2753,0.0,3.0,18.0,8.0,6.0,2.0,9.0,1.0,4.0,84.0,154.0,115.0,20.0,38.0,23.0,15.0,95.0,61.0,11.0,25.0,45.0,102.0,228.0,33.0,63.0,325.0,41.0,66.0,117.0,43.0
2802,2.0,0.0,12.0,1.0,9.0,18.0,8.0,15.0,7.0,4.0,5.0,20.0,3.0,13.0,84.0,24.0,52.0,129.0,76.0,11.0,424.0,235.0,109.0,34.0,85.0,23.0,49.0,162.0,108.0,27.0
2851,4.0,6.0,35.0,47.0,11.0,3.0,36.0,0.0,2.0,20.0,29.0,5.0,248.0,56.0,133.0,54.0,156.0,7.0,15.0,14.0,38.0,87.0,266.0,18.0,272.0,64.0,13.0,166.0,275.0,59.0
2900,1.0,7.0,17.0,38.0,1003.0,0.0,36.0,13.0,6.0,76.0,39.0,129.0,46.0,22.0,47.0,521.0,2.0,130.0,21.0,26.0,49.0,163.0,84.0,3.0,31.0,132.0,462.0,275.0,225.0,169.0
2949,13.0,12.0,18.0,2.0,612.0,53.0,145.0,608.0,55.0,67.0,58.0,81.0,4.0,41.0,37.0,6.0,32.0,10.0,33.0,103.0,159.0,8.0,42.0,516.0,60.0,16.0,14.0,19.0,7.0,40.0
2998,7.0,17.0,49.0,8.0,13.0,25.0,10.0,103.0,104.0,342.0,58.0,29.0,2.0,38.0,39.0,28.0,61.0,12.0,160.0,31.0,866.0,0.0,79.0,604.0,81.0,82.0,5.0,111.0,278.0,166.0
3047,18.0,450.0,20.0,1.0,156.0,821.0,3.0,313.0,364.0,9.0,95.0,4.0,27.0,94.0,26.0,100.0,59.0,13.0,22.0,30.0,24.0,15.0,8.0,209.0,70.0,80.0,17.0,181.0,7.0,36.0
3096,2.0,5.0,148.0,1.0,6.0,71.0,9.0,51.0,44.0,8.0,23.0,83.0,0.0,16.0,88.0,10.0,13.0,15.0,20.0,11.0,46.0,17.0,45.0,291.0,22.0,30.0,4.0,61.0,3.0,40.0
3145,3.0,1.0,204.0,28.0,120.0,27.0,532.0,121.0,29.0,21.0,799.0,14.0,11.0,17.0,22.0,62.0,72.0,2.0,166.0,671.0,30.0,179.0,5.0,46.0,50.0,16.0,45.0,430.0,8.0,119.0
3194,2.0,10.0,233.0,3.0,53.0,21.0,23.0,16.0,64.0,12.0,42.0,27.0,0.0,207.0,113.0,6.0,99.0,9.0,33.0,15.0,283.0,8.0,38.0,396.0,5.0,133.0,11.0,36.0,105.0,17.0
3243,4.0,6.0,23.0,5.0,0.0,102.0,9.0,49.0,26.0,34.0,156.0,1.0,2.0,42.0,59.0,123.0,14.0,13.0,314.0,16.0,51.0,105.0,7.0,178.0,19.0,69.0,79.0,41.0,10.0,8.0
3292,25.0,13.0,303.0,2.0,24.0,34.0,8.0,29.0,125.0,22.0,80.0,4.0,28.0,33.0,26.0,9.0,16.0,5.0,27.0,74.0,30.0,11.0,38.0,278.0,189.0,52.0,7.0,89.0,3.0,42.0
3341,35.0,44.0,48.0,1.0,434.0,49.0,0.0,9.0,37.0,61.0,10.0,13.0,19.0,999.0,27.0,903.0,7.0,26.0,105.0,18.0,3.0,6.0,40.0,264.0,100.0,195.0,24.0,31.0,20.0,66.0
3390,16.0,43.0,31.0,2.0,155.0,19.0,34.0,253.0,51.0,17.0,56.0,15.0,26.0,6.0,12.0,4.0,139.0,39.0,97.0,137.0,58.0,21.0,3.0,166.0,38.0,5.0,8.0,52.0,0.0,114.0
3439,0.0,9.0,1.0,15.0,53.0,16.0,32.0,72.0,57.0,77.0,29.0,135.0,47.0,8.0,48.0,322.0,2.0,50.0,19.0,44.0,754.0,10.0,61.0,105.0,3.0,91.0,99.0,102.0,431.0,122.0
3488,2.0,25.0,0.0,27.0,14.0,1.0,258.0,466.0,31.0,24.0,18.0,11.0,71.0,6.0,29.0,8.0,7.0,17.0,45.0,15.0,221.0,3.0,147.0,106.0,65.0,74.0,23.0,210.0,107.0,32.0
3537,0.0,4.0,3.0,383.0,162.0,2.0,1045.0,63.0,6.0,207.0,18.0,24.0,7.0,34.0,5.0,47.0,20.0,103.0,59.0,163.0,520.0,1.0,27.0,57.0,9.0,8.0,192.0,141.0,61.0,50.0
3586,1.0,5.0,0.0,71.0,87.0,8.0,18.0,86.0,26.0,118.0,44.0,2.0,103.0,89.0,102.0,9.0,7.0,68.0,48.0,34.0,409.0,3.0,25.0,196.0,11.0,12.0,6.0,166.0,128.0,186.0
3635,3.0,36.0,0.0,6.0,38.0,70.0,122.0,143.0,10.0,137.0,206.0,56.0,21.0,26.0,35.0,67.0,12.0,16.0,201.0,33.0,22.0,14.0,18.0,313.0,53.0,25.0,20.0,68.0,451.0,69.0
3684,1.0,5.0,10.0,2.0,12.0,47.0,48.0,306.0,7.0,36.0,6.0,3.0,73.0,11.0,76.0,26.0,0.0,124.0,44.0,16.0,630.0,25.0,13.0,59.0,58.0,75.0,23.0,30.0,223.0,204.0
3733,3.0,50.0,1.0,145.0,72.0,0.0,443.0,748.0,14.0,151.0,16.0,12.0,79.0,10.0,81.0,9.0,4.0,59.0,26.0,94.0,32.0,2.0,63.0,58.0,44.0,15.0,13.0,20.0,68.0,182.0
3782,2.0,3.0,0.0,10.0,1.0,55.0,50.0,88.0,28.0,17.0,14.0,24.0,52.0,5.0,80.0,124.0,43.0,102.0,76.0,20.0,266.0,16.0,62.0,164.0,25.0,8.0,18.0,51.0,53.0,58.0
3831,7.0,19.0,0.0,29.0,3.0,18.0,109.0,559.0,11.0,210.0,104.0,2.0,77.0,42.0,48.0,1.0,54.0,24.0,28.0,85.0,233.0,20.0,40.0,13.0,6.0,12.0,27.0,36.0,62.0,241.0
3880,2.0,0.0,3.0,180.0,326.0,13.0,94.0,54.0,12.0,7.0,11.0,32.0,82.0,22.0,16.0,92.0,29.0,79.0,37.0,84.0,159.0,35.0,6.0,585.0,70.0,150.0,45.0,104.0,50.0,192.0
3929,8.0,36.0,3.0,5.0,22.0,950.0,6.0,13.0,24.0,7.0,0.0,23.0,21.0,127.0,34.0,11.0,156.0,92.0,80.0,15.0,9.0,47.0,44.0,45.0,26.0,111.0,16.0,18.0,231.0,1047.0
3978,0.0,5.0,4.0,30.0,26.0,28.0,9.0,34.0,6.0,2.0,38.0,77.0,16.0,22.0,32.0,126.0,91.0,56.0,925.0,61.0,1.0,60.0,7.0,21.0,65.0,96.0,138.0,94.0,24.0,555.0
4027,6.0,37.0,1.0,3.0,96.0,15.0,9.0,51.0,17.0,16.0,47.0,30.0,40.0,626.0,28.0,61.0,32.0,7.0,63.0,60.0,4.0,31.0,36.0,34.0,24.0,65.0,89.0,122.0,20.0,672.0
4076,11.0,43.0,2.0,9.0,19.0,93.0,3.0,41.0,45.0,0.0,1.0,7.0,18.0,76.0,28.0,67.0,39.0,48.0,152.0,38.0,5.0,46.0,26.0,23.0,27.0,70.0,12.0,66.0,13.0,390.0
4125,0.0,117.0,1.0,33.0,261.0,30.0,51.0,18.0,8.0,42.0,11.0,36.0,269.0,64.0,37.0,80.0,24.0,131.0,214.0,15.0,135.0,4.0,14.0,54.0,150.0,6.0,58.0,551.0,264.0,114.0
4174,1.0,17.0,5.0,4.0,79.0,11.0,14.0,21.0,33.0,2.0,29.0,92.0,111.0,31.0,16.0,18.0,138.0,81.0,104.0,96.0,6.0,662.0,44.0,3.0,71.0,30.0,25.0,159.0,37.0,1434.0
4223,32.0,8.0,1.0,65.0,40.0,120.0,35.0,3.0,56.0,0.0,50.0,4.0,67.0,82.0,6.0,22.0,213.0,28.0,14.0,257.0,2.0,11.0,5.0,80.0,95.0,9.0,193.0,47.0,17.0,381.0
4272,0.0,259.0,81.0,8.0,921.0,19.0,3.0,77.0,15.0,11.0,5.0,60.0,21.0,25.0,30.0,7.0,48.0,23.0,154.0,12.0,4.0,69.0,88.0,40.0,31.0,139.0,34.0,56.0,53.0,582.0
4321,1.0,13.0,6.0,4.0,3.0,22.0,32.0,68.0,8.0,24.0,11.0,56.0,93.0,161.0,218.0,62.0,15.0,63.0,58.0,46.0,10.0,94.0,82.0,52.0,2.0,9.0,50.0,17.0,235.0,1019.0
4370,0.0,41.0,67.0,54.0,16.0,144.0,14.0,40.0,33.0,6.0,44.0,7.0,185.0,8.0,26.0,11.0,36.0,134.0,58.0,21.0,5.0,1.0,18.0,70.0,52.0,57.0,96.0,35.0,99.0,181.0
4419,0.0,1.0,22.0,43.0,25.0,35.0,18.0,15.0,26.0,13.0,32.0,9.0,34.0,91.0,20.0,951.0,120.0,68.0,6.0,196.0,5.0,172.0,111.0,4.0,16.0,253.0,525.0,23.0,12.0,570.0
4468,0.0,205.0,67.0,1.0,64.0,45.0,2.0,15.0,81.0,6.0,48.0,3.0,9.0,20.0,16.0,218.0,153.0,26.0,14.0,21.0,23.0,418.0,147.0,8.0,25.0,104.0,97.0,94.0,88.0,27.0
4517,0.0,11.0,5.0,6.0,14.0,7.0,8.0,28.0,3.0,37.0,42.0,25.0,4.0,20.0,2.0,167.0,12.0,63.0,27.0,19.0,69.0,507.0,91.0,9.0,144.0,55.0,241.0,17.0,65.0,184.0
4566,10.0,0.0,17.0,12.0,14.0,3.0,2.0,11.0,19.0,82.0,425.0,27.0,7.0,277.0,47.0,1299.0,23.0,35.0,5.0,87.0,13.0,293.0,37.0,205.0,44.0,247.0,239.0,52.0,6.0,53.0
4615,6.0,0.0,10.0,66.0,1.0,111.0,26.0,11.0,44.0,28.0,204.0,5.0,236.0,9.0,32.0,1033.0,113.0,17.0,4.0,82.0,60.0,19.0,46.0,7.0,76.0,174.0,78.0,42.0,90.0,129.0
4664,3.0,1.0,5.0,11.0,24.0,22.0,0.0,2.0,21.0,59.0,171.0,134.0,17.0,173.0,25.0,141.0,480.0,7.0,13.0,12.0,15.0,354.0,417.0,14.0,6.0,208.0,107.0,8.0,132.0,101.0
4713,7.0,4.0,8.0,2.0,30.0,49.0,0.0,27.0,59.0,24.0,121.0,16.0,3.0,28.0,19.0,432.0,12.0,73.0,18.0,32.0,105.0,50.0,123.0,10.0,5.0,350.0,118.0,44.0,39.0,325.0
4762,1.0,0.0,47.0,40.0,6.0,10.0,3.0,78.0,4.0,20.0,207.0,12.0,25.0,27.0,11.0,138.0,17.0,124.0,7.0,31.0,24.0,443.0,26.0,16.0,50.0,145.0,434.0,35.0,65.0,59.0
4811,5.0,1.0,16.0,2.0,0.0,13.0,7.0,6.0,18.0,20.0,61.0,17.0,34.0,24.0,26.0,218.0,9.0,31.0,3.0,22.0,30.0,211.0,50.0,28.0,14.0,123.0,127.0,10.0,63.0,41.0
4860,1.0,0.0,9.0,20.0,10.0,11.0,6.0,58.0,13.0,16.0,52.0,3.0,7.0,46.0,76.0,1698.0,35.0,5.0,18.0,32.0,25.0,372.0,39.0,22.0,30.0,218.0,70.0,97.0,65.0,431.0
