,guanosine,2-deoxycytidine,inosine,glutamine,uridine,inositol,GABA,C18:0 LPC,C22:6 LPE,pantothenate,C16:0 LPE,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,leucine,serine,cystathionine,valerylcarnitine,C22:6 LPC,hypoxanthine,creatine,C34:4 PC,sarcosine,3-phosphoglycerate,PEP,C36:1 DAG,N-carbamoyl-beta-alanine,C22:6 CE,niacinamide,taurodeoxycholate,palmitoylcarnitine
511,1.0,0.0,2.0,4.0,18.0,6.0,5.0,16.0,11.0,3.0,24.0,17.0,31.0,10.0,43.0,21.0,20.0,7.0,45.0,44.0,35.0,42.0,28.0,25.0,12.0,49.0,9.0,47.0,27.0,33.0
560,0.0,2.0,1.0,3.0,4.0,31.0,11.0,43.0,36.0,10.0,12.0,8.0,37.0,7.0,48.0,52.0,26.0,23.0,9.0,5.0,29.0,24.0,18.0,25.0,45.0,61.0,41.0,20.0,21.0,33.0
609,0.0,1.0,2.0,21.0,4.0,16.0,7.0,3.0,11.0,32.0,9.0,10.0,22.0,12.0,66.0,27.0,37.0,24.0,5.0,25.0,18.0,54.0,8.0,34.0,29.0,62.0,28.0,26.0,35.0,19.0
658,0.0,1.0,2.0,15.0,7.0,10.0,4.0,31.0,37.0,5.0,8.0,26.0,22.0,23.0,11.0,6.0,16.0,24.0,17.0,21.0,3.0,57.0,19.0,33.0,9.0,61.0,20.0,46.0,50.0,52.0
707,0.0,1.0,2.0,25.0,6.0,8.0,59.0,44.0,32.0,12.0,5.0,15.0,19.0,3.0,29.0,27.0,30.0,28.0,9.0,11.0,14.0,37.0,4.0,35.0,13.0,43.0,38.0,10.0,16.0,60.0
756,0.0,1.0,2.0,10.0,6.0,3.0,5.0,52.0,20.0,7.0,12.0,8.0,17.0,21.0,22.0,13.0,36.0,31.0,4.0,53.0,25.0,55.0,9.0,37.0,14.0,63.0,11.0,33.0,27.0,30.0
805,0.0,1.0,2.0,19.0,3.0,20.0,9.0,50.0,39.0,36.0,12.0,17.0,7.0,34.0,18.0,41.0,49.0,21.0,30.0,5.0,8.0,28.0,6.0,44.0,10.0,64.0,24.0,38.0,14.0,54.0
854,1.0,0.0,2.0,5.0,11.0,9.0,43.0,30.0,27.0,23.0,8.0,4.0,10.0,7.0,41.0,19.0,13.0,17.0,33.0,6.0,16.0,42.0,28.0,29.0,21.0,15.0,12.0,3.0,61.0,51.0
903,1.0,0.0,2.0,7.0,5.0,3.0,8.0,24.0,25.0,22.0,27.0,9.0,4.0,33.0,32.0,11.0,35.0,17.0,12.0,14.0,18.0,61.0,6.0,62.0,44.0,37.0,16.0,56.0,23.0,38.0
952,0.0,1.0,2.0,3.0,14.0,9.0,4.0,22.0,48.0,15.0,26.0,5.0,11.0,29.0,7.0,8.0,24.0,31.0,12.0,21.0,18.0,54.0,6.0,34.0,42.0,40.0,23.0,17.0,28.0,41.0
1001,0.0,2.0,3.0,1.0,36.0,32.0,34.0,9.0,12.0,14.0,16.0,7.0,41.0,35.0,8.0,17.0,20.0,18.0,28.0,39.0,10.0,29.0,4.0,19.0,6.0,37.0,46.0,27.0,15.0,38.0
1050,0.0,2.0,1.0,3.0,38.0,13.0,7.0,28.0,24.0,10.0,4.0,6.0,42.0,33.0,20.0,12.0,25.0,52.0,36.0,21.0,18.0,59.0,23.0,32.0,8.0,43.0,46.0,63.0,22.0,37.0
