,FAM21A_DEL,GSTTP1_AMP,HLA-DRB1_AMP,PTCH1_AMP,HLA-DRB6_AMP,ADAM5_DEL,SLC25A37_AMP,MRGPRX1_DEL,RBFOX1_DEL,ASTN1_MUT,CES1_AMP,KCNG2_DEL,ADAM3A_DEL,LOC100506776_DEL,LOC390660_AMP,GOLGA6L10_AMP,PBX1_MUT,CADM2_DEL,KIAA1217_DEL,GOLGA8A_DEL,OR51A2_DEL,HDHD1_DEL,MLL_MUT,GSTT1_AMP,CES1P1_DEL,BCAS1_AMP,LOC391322_AMP,FMN2_AMP,ZBTB20_AMP,UNC13C_MUT
715,12.0,13.0,15.0,7.0,22.0,40.0,0.0,2.0,4.0,3.0,14.0,11.0,45.0,10.0,20.0,21.0,8.0,26.0,271.0,9.0,5.0,16.0,35.0,27.0,30.0,25.0,28.0,131.0,1.0,31.0
764,6.0,22.0,1.0,0.0,4.0,80.0,9.0,17.0,8.0,11.0,7.0,24.0,106.0,3.0,45.0,44.0,12.0,25.0,66.0,15.0,2.0,5.0,16.0,94.0,65.0,29.0,93.0,36.0,14.0,82.0
813,0.0,6.0,3.0,4.0,2.0,30.0,11.0,24.0,40.0,68.0,14.0,18.0,42.0,12.0,22.0,23.0,5.0,16.0,8.0,28.0,13.0,65.0,29.0,125.0,499.0,34.0,126.0,205.0,7.0,91.0
862,0.0,4.0,2.0,22.0,20.0,114.0,6.0,11.0,5.0,18.0,8.0,30.0,139.0,1.0,28.0,29.0,15.0,26.0,53.0,3.0,19.0,7.0,9.0,104.0,871.0,46.0,103.0,160.0,10.0,40.0
911,1.0,3.0,4.0,0.0,7.0,15.0,10.0,8.0,12.0,2.0,52.0,29.0,19.0,11.0,28.0,27.0,6.0,43.0,24.0,13.0,9.0,5.0,22.0,75.0,85.0,135.0,76.0,26.0,30.0,34.0
960,1.0,7.0,16.0,8.0,25.0,42.0,0.0,15.0,2.0,20.0,9.0,12.0,56.0,3.0,81.0,82.0,13.0,40.0,70.0,31.0,44.0,11.0,10.0,18.0,49.0,29.0,19.0,6.0,5.0,64.0
1009,3.0,4.0,10.0,9.0,5.0,0.0,25.0,34.0,12.0,24.0,6.0,36.0,1.0,45.0,20.0,21.0,23.0,44.0,4397.0,14.0,2646.0,40.0,19.0,7.0,16.0,15.0,8.0,18.0,39.0,28.0
1058,0.0,9.0,6.0,5.0,7.0,1.0,4.0,28.0,40.0,21.0,3.0,14.0,2.0,41.0,17.0,16.0,30.0,18.0,165.0,46.0,873.0,8.0,36.0,31.0,10.0,20.0,32.0,19.0,74.0,115.0
1107,0.0,14.0,33.0,4.0,27.0,2.0,25.0,36.0,15.0,3.0,8.0,20.0,1.0,31.0,35.0,34.0,21.0,28.0,43.0,22.0,94.0,146.0,26.0,5.0,9.0,24.0,6.0,10.0,16.0,374.0
1156,0.0,13.0,8.0,3.0,4.0,1.0,23.0,28.0,15.0,6.0,7.0,14.0,2.0,144.0,19.0,20.0,35.0,24.0,1306.0,32.0,67.0,102.0,84.0,11.0,5.0,16.0,10.0,12.0,43.0,53.0
1205,0.0,4.0,68.0,26.0,21.0,3.0,17.0,366.0,20.0,27.0,28.0,2.0,14.0,5.0,42.0,43.0,142.0,12.0,97.0,55.0,234.0,40.0,85.0,7.0,1.0,18.0,8.0,16.0,67.0,220.0
1254,2.0,23.0,18.0,14.0,11.0,0.0,73.0,63.0,19.0,12.0,7.0,10.0,1.0,32.0,28.0,29.0,24.0,6.0,31.0,30.0,955.0,36.0,44.0,17.0,4.0,61.0,16.0,3.0,266.0,58.0
1303,1.0,6.0,15.0,29.0,7.0,3.0,14.0,17.0,11.0,16.0,2.0,5.0,4.0,119.0,13.0,12.0,67.0,76.0,217.0,35.0,84.0,18.0,482.0,10.0,0.0,28.0,9.0,20.0,33.0,355.0
1352,2.0,6.0,124.0,8.0,117.0,0.0,26.0,38.0,34.0,3.0,17.0,10.0,1.0,46.0,45.0,44.0,24.0,66.0,30.0,14.0,32.0,39.0,62.0,5.0,20.0,23.0,4.0,11.0,33.0,51.0
1401,0.0,10.0,12.0,11.0,13.0,1.0,53.0,20.0,7.0,6.0,5.0,15.0,2.0,16.0,39.0,38.0,17.0,28.0,1250.0,29.0,57.0,31.0,33.0,9.0,3.0,24.0,8.0,48.0,954.0,43.0
1450,13.0,14.0,10.0,7.0,9.0,6.0,55.0,173.0,17.0,8.0,2.0,35.0,11.0,133.0,38.0,37.0,18.0,119.0,27.0,73.0,140.0,40.0,15.0,1.0,5.0,34.0,0.0,12.0,76.0,749.0
1499,0.0,1.0,2.0,3.0,4.0,7.0,6.0,9.0,15.0,5.0,19.0,16.0,12.0,22.0,21.0,20.0,18.0,46.0,454.0,44.0,27.0,25.0,10.0,34.0,29.0,40.0,35.0,286.0,30.0,14.0
1548,0.0,4.0,7.0,26.0,22.0,1.0,334.0,5.0,11.0,3.0,24.0,12.0,2.0,9.0,19.0,20.0,21.0,14.0,68.0,17.0,119.0,25.0,13.0,390.0,46.0,282.0,389.0,31.0,388.0,8.0
1597,1.0,7.0,0.0,6.0,4.0,22.0,56.0,27.0,16.0,5.0,3.0,15.0,35.0,12.0,25.0,26.0,37.0,55.0,2088.0,36.0,2.0,32.0,33.0,21.0,14.0,49.0,20.0,54.0,13.0,66.0
1646,0.0,3.0,7.0,4.0,19.0,8.0,2.0,1.0,20.0,6.0,15.0,32.0,9.0,21.0,14.0,13.0,67.0,42.0,30.0,26.0,5.0,29.0,44.0,22.0,18.0,34.0,23.0,1010.0,52.0,11.0
1695,6.0,0.0,4.0,15.0,9.0,35.0,341.0,1.0,3.0,8.0,28.0,40.0,50.0,38.0,26.0,25.0,39.0,705.0,812.0,432.0,249.0,41.0,14.0,46.0,116.0,278.0,45.0,159.0,20.0,5.0
1744,6.0,2.0,0.0,44.0,4.0,22.0,9.0,1.0,5.0,15.0,7.0,29.0,32.0,38.0,13.0,14.0,61.0,814.0,28.0,19.0,17.0,10.0,34.0,25.0,11.0,117.0,24.0,78.0,8.0,72.0
1793,0.0,2.0,1.0,4.0,3.0,6.0,32.0,13.0,9.0,5.0,8.0,28.0,10.0,20.0,18.0,19.0,14.0,36.0,139.0,7.0,41.0,105.0,25.0,16.0,26.0,47.0,17.0,436.0,11.0,15.0
1842,0.0,2.0,1.0,5.0,3.0,8.0,28.0,7.0,11.0,13.0,6.0,67.0,14.0,30.0,17.0,18.0,22.0,31.0,592.0,39.0,10.0,26.0,16.0,20.0,12.0,68.0,19.0,234.0,21.0,9.0
1891,2.0,0.0,3.0,1.0,5.0,22.0,160.0,14.0,62.0,8.0,9.0,12.0,31.0,119.0,16.0,15.0,13.0,64.0,84.0,34.0,19.0,246.0,4.0,6.0,83.0,28.0,7.0,114.0,10.0,30.0
1940,1.0,0.0,11.0,7.0,32.0,5.0,80.0,12.0,19.0,2.0,23.0,56.0,6.0,27.0,29.0,30.0,24.0,121.0,42.0,47.0,31.0,353.0,22.0,3.0,9.0,45.0,4.0,28.0,14.0,44.0
1989,0.0,5.0,6.0,1.0,9.0,120.0,18.0,17.0,24.0,96.0,4.0,8.0,121.0,30.0,28.0,29.0,10.0,84.0,21.0,791.0,19.0,35.0,12.0,32.0,113.0,15.0,31.0,2.0,14.0,27.0
2038,0.0,11.0,2.0,1.0,3.0,5.0,4.0,16.0,6.0,22.0,13.0,49.0,7.0,54.0,27.0,26.0,8.0,328.0,52.0,372.0,18.0,17.0,29.0,15.0,12.0,111.0,14.0,10.0,38.0,105.0
2087,0.0,6.0,23.0,1.0,34.0,30.0,3.0,2.0,16.0,25.0,131.0,11.0,35.0,138.0,8.0,9.0,89.0,49.0,216.0,835.0,26.0,21.0,5.0,68.0,18.0,10.0,69.0,22.0,4.0,12.0
2136,0.0,15.0,1.0,6.0,3.0,8.0,11.0,21.0,10.0,12.0,35.0,13.0,16.0,17.0,46.0,45.0,9.0,82.0,26.0,20.0,51.0,60.0,27.0,87.0,19.0,72.0,88.0,2.0,5.0,4.0
2185,0.0,5.0,7.0,2.0,1.0,61.0,3.0,15.0,8.0,167.0,17.0,14.0,86.0,23.0,12.0,13.0,40.0,24.0,6.0,113.0,55.0,18.0,33.0,92.0,27.0,16.0,93.0,28.0,42.0,29.0
2234,0.0,14.0,10.0,1.0,9.0,18.0,12.0,34.0,4.0,29.0,17.0,32.0,23.0,2.0,43.0,44.0,8.0,194.0,256.0,31.0,11.0,15.0,16.0,21.0,68.0,22.0,20.0,5.0,3.0,13.0
2283,0.0,6.0,3.0,2.0,8.0,4.0,1.0,17.0,5.0,70.0,15.0,12.0,7.0,23.0,22.0,21.0,16.0,132.0,24.0,9.0,20.0,14.0,46.0,873.0,1064.0,25.0,872.0,10.0,13.0,51.0
2332,2.0,5.0,1.0,13.0,0.0,15.0,6.0,17.0,3.0,45.0,10.0,9.0,22.0,117.0,24.0,23.0,61.0,57.0,74.0,70.0,11.0,12.0,272.0,21.0,4.0,16.0,20.0,29.0,7.0,100.0
2381,0.0,6.0,3.0,1.0,2.0,5.0,4.0,14.0,13.0,69.0,19.0,29.0,7.0,8.0,22.0,21.0,12.0,48.0,153.0,43.0,30.0,11.0,76.0,24.0,10.0,17.0,23.0,37.0,20.0,9.0
2430,0.0,1.0,2.0,5.0,11.0,64.0,6.0,17.0,4.0,112.0,19.0,13.0,99.0,10.0,15.0,16.0,8.0,127.0,31.0,67.0,65.0,21.0,18.0,29.0,159.0,42.0,28.0,9.0,3.0,12.0
2479,8.0,1.0,20.0,46.0,6.0,2.0,4.0,7.0,11.0,5.0,25.0,17.0,9.0,40.0,30.0,29.0,80.0,10.0,3.0,41.0,56.0,13.0,21.0,86.0,37.0,33.0,87.0,131.0,15.0,34.0
2528,0.0,1.0,53.0,12.0,4.0,14.0,28.0,17.0,18.0,7.0,77.0,46.0,21.0,19.0,52.0,51.0,29.0,6.0,16.0,130.0,400.0,39.0,38.0,42.0,8.0,24.0,43.0,66.0,30.0,61.0
2577,1.0,2.0,20.0,9.0,3.0,7.0,49.0,5.0,4.0,6.0,16.0,150.0,12.0,131.0,84.0,85.0,79.0,13.0,60.0,626.0,67.0,40.0,15.0,30.0,11.0,72.0,31.0,87.0,48.0,43.0
2626,5.0,4.0,23.0,7.0,1.0,2.0,3.0,0.0,22.0,26.0,11.0,12.0,6.0,10.0,61.0,62.0,31.0,92.0,25.0,597.0,344.0,18.0,9.0,168.0,64.0,27.0,167.0,35.0,8.0,63.0
2675,0.0,4.0,38.0,8.0,10.0,2.0,16.0,24.0,6.0,3.0,12.0,18.0,5.0,7.0,65.0,66.0,34.0,9.0,60.0,155.0,84.0,15.0,25.0,76.0,58.0,31.0,74.0,13.0,19.0,105.0
2724,0.0,7.0,32.0,70.0,15.0,2.0,40.0,23.0,11.0,3.0,66.0,4.0,5.0,20.0,56.0,55.0,45.0,8.0,10.0,118.0,538.0,6.0,14.0,132.0,31.0,80.0,133.0,16.0,21.0,9.0
2773,0.0,7.0,27.0,23.0,17.0,26.0,3.0,33.0,12.0,8.0,20.0,15.0,34.0,22.0,71.0,70.0,30.0,14.0,21.0,191.0,534.0,10.0,5.0,502.0,66.0,39.0,501.0,43.0,4.0,24.0
2822,0.0,1.0,147.0,27.0,16.0,23.0,14.0,12.0,105.0,35.0,36.0,13.0,32.0,17.0,33.0,34.0,404.0,10.0,8.0,767.0,50.0,44.0,224.0,39.0,2.0,24.0,40.0,284.0,5.0,236.0
2871,0.0,5.0,110.0,21.0,27.0,1.0,22.0,18.0,50.0,3.0,35.0,13.0,2.0,4.0,99.0,100.0,48.0,9.0,42.0,159.0,32.0,54.0,78.0,25.0,6.0,12.0,26.0,82.0,15.0,375.0
2920,2.0,8.0,52.0,23.0,6.0,0.0,15.0,21.0,20.0,4.0,31.0,3.0,1.0,25.0,26.0,27.0,36.0,7.0,24.0,308.0,108.0,22.0,49.0,45.0,35.0,30.0,46.0,80.0,18.0,13.0
2969,0.0,4.0,5.0,18.0,16.0,175.0,6.0,17.0,27.0,23.0,11.0,2.0,311.0,22.0,42.0,43.0,67.0,12.0,68.0,24.0,9.0,111.0,3.0,15.0,114.0,8.0,14.0,83.0,10.0,7.0
3018,0.0,1.0,3.0,2.0,4.0,34.0,6.0,5.0,13.0,28.0,43.0,14.0,54.0,15.0,18.0,19.0,26.0,9.0,72.0,31.0,12.0,21.0,33.0,11.0,418.0,40.0,10.0,159.0,104.0,7.0
3067,0.0,2.0,9.0,3.0,1.0,17.0,5.0,4.0,20.0,94.0,19.0,38.0,25.0,66.0,24.0,23.0,42.0,7.0,11.0,26.0,18.0,28.0,21.0,13.0,54.0,29.0,12.0,43.0,110.0,6.0
3116,0.0,3.0,26.0,4.0,22.0,12.0,8.0,15.0,33.0,29.0,50.0,7.0,19.0,16.0,14.0,13.0,32.0,17.0,23.0,24.0,11.0,51.0,28.0,1.0,66.0,27.0,2.0,37.0,43.0,10.0
3165,5.0,6.0,2.0,0.0,1.0,8.0,13.0,16.0,27.0,21.0,10.0,18.0,15.0,76.0,49.0,48.0,28.0,101.0,12.0,26.0,9.0,24.0,32.0,3.0,901.0,46.0,4.0,444.0,154.0,38.0
3214,1.0,2.0,3.0,12.0,4.0,11.0,0.0,5.0,35.0,30.0,25.0,8.0,15.0,42.0,22.0,23.0,40.0,18.0,14.0,6.0,39.0,13.0,63.0,16.0,90.0,45.0,17.0,82.0,206.0,7.0
3263,3.0,4.0,1.0,9.0,2.0,55.0,0.0,5.0,16.0,37.0,41.0,17.0,56.0,19.0,27.0,28.0,133.0,14.0,36.0,32.0,47.0,20.0,10.0,11.0,151.0,35.0,12.0,253.0,63.0,8.0
3312,0.0,10.0,1.0,21.0,34.0,22.0,18.0,16.0,6.0,20.0,15.0,2.0,31.0,5.0,24.0,25.0,33.0,11.0,3.0,4.0,76.0,39.0,14.0,8.0,3697.0,71.0,7.0,28.0,61.0,12.0
3361,1.0,0.0,7.0,2.0,8.0,40.0,5.0,22.0,103.0,1952.0,30.0,3.0,61.0,19.0,9.0,10.0,47.0,46.0,14.0,42.0,6.0,54.0,11.0,43.0,1626.0,12.0,44.0,177.0,53.0,28.0
3410,1.0,0.0,2.0,5.0,4.0,154.0,3.0,13.0,14.0,46.0,22.0,6.0,257.0,45.0,21.0,20.0,113.0,8.0,7.0,24.0,9.0,25.0,42.0,10.0,32.0,12.0,11.0,123.0,23.0,33.0
3459,4.0,5.0,81.0,0.0,23.0,33.0,6.0,15.0,10.0,3.0,275.0,8.0,32.0,16.0,48.0,47.0,38.0,11.0,22.0,26.0,55.0,13.0,27.0,9053.0,194.0,30.0,9052.0,9.0,24.0,1.0
3508,0.0,26.0,42.0,2.0,18.0,11.0,14.0,119.0,47.0,4.0,37.0,41.0,10.0,13.0,268.0,267.0,5.0,21.0,16.0,1.0,23.0,157.0,182.0,71.0,592.0,34.0,72.0,12.0,52.0,24.0
3557,0.0,74.0,32.0,14.0,393.0,11.0,76.0,55.0,42.0,7.0,49.0,4.0,12.0,25.0,204.0,203.0,5.0,19.0,13.0,8.0,797.0,43.0,39.0,656.0,14269.0,200.0,655.0,9.0,119.0,3.0
3606,3.0,10.0,41.0,1.0,18.0,6.0,0.0,19.0,22.0,2.0,30.0,23.0,7.0,26.0,114.0,115.0,4.0,27.0,16.0,5.0,44.0,21.0,63.0,343.0,25.0,53.0,344.0,109.0,192.0,13.0
3655,0.0,23.0,18.0,2.0,5.0,12.0,20.0,38.0,108.0,22.0,31.0,26.0,13.0,25.0,110.0,111.0,3.0,113.0,1.0,7.0,4.0,286.0,10.0,255.0,14784.0,97.0,254.0,148.0,75.0,34.0
3704,5.0,15.0,72.0,9.0,34.0,19.0,3.0,17.0,16.0,23.0,6.0,21.0,18.0,43.0,91.0,92.0,113.0,20.0,22.0,0.0,11.0,25.0,513.0,237.0,26.0,31.0,238.0,4.0,252.0,48.0
3753,3.0,11.0,69.0,1.0,29.0,8.0,5.0,33.0,23.0,14.0,18.0,19.0,7.0,2.0,87.0,88.0,4.0,93.0,40.0,13.0,6.0,36.0,17.0,74.0,285.0,31.0,75.0,20.0,15.0,10.0
3802,0.0,15.0,628.0,6.0,25.0,2.0,12.0,34.0,11.0,3.0,17.0,31.0,1.0,30.0,129.0,128.0,10.0,4.0,19.0,5.0,16.0,21.0,41.0,1677.0,100.0,39.0,1676.0,24.0,1653.0,18.0
3851,1.0,36.0,11.0,18.0,6.0,16.0,0.0,29.0,24.0,7.0,43.0,10.0,17.0,51.0,74.0,73.0,20.0,19.0,3.0,4.0,15.0,8.0,5.0,605.0,174.0,68.0,604.0,14.0,61.0,31.0
3900,3.0,19.0,25.0,0.0,12.0,5.0,7.0,23.0,47.0,21.0,37.0,38.0,4.0,15.0,63.0,62.0,13.0,39.0,88.0,2.0,40.0,17.0,24.0,188.0,64.0,32.0,189.0,26.0,22.0,6.0
3949,0.0,1.0,2.0,24.0,3.0,12.0,641.0,5.0,14.0,7.0,25.0,8.0,15.0,34.0,64.0,65.0,76.0,105.0,35.0,120.0,33.0,82.0,395.0,19.0,39.0,10.0,18.0,6.0,13.0,77.0
3998,33.0,0.0,12.0,220.0,10.0,51.0,72.0,8.0,1.0,19.0,17.0,5.0,84.0,13.0,3.0,4.0,117.0,166.0,171.0,101.0,156.0,67.0,546.0,26.0,6.0,11.0,25.0,49.0,2.0,115.0
4047,1.0,0.0,5.0,32.0,3.0,4.0,38.0,7.0,27.0,31.0,22.0,25.0,10.0,51.0,13.0,14.0,29.0,18.0,16.0,19.0,21.0,54.0,211.0,12.0,8.0,6.0,11.0,47.0,2.0,65.0
4096,5.0,3.0,4.0,31.0,0.0,7.0,155.0,14.0,15.0,11.0,22.0,9.0,13.0,25.0,19.0,18.0,35.0,10.0,1.0,37.0,1309.0,97.0,62.0,48.0,12.0,8.0,49.0,46.0,152.0,58.0
4145,3.0,1.0,4.0,38.0,9.0,8.0,285.0,6.0,18.0,10.0,56.0,5.0,16.0,34.0,11.0,12.0,41.0,42.0,23.0,46.0,95.0,40.0,143.0,13.0,24.0,7.0,14.0,0.0,26.0,62.0
4194,0.0,12.0,5.0,60.0,43.0,8.0,281.0,2.0,15.0,11.0,23.0,10.0,7.0,1.0,18.0,17.0,22.0,33.0,3.0,14.0,164.0,27.0,109.0,72.0,64.0,42.0,71.0,20.0,38.0,85.0
4243,3.0,1.0,14.0,23.0,12.0,4.0,50.0,2.0,35.0,7.0,60.0,10.0,6.0,24.0,30.0,29.0,38.0,53.0,9.0,17.0,480.0,86.0,87.0,19.0,13.0,22.0,18.0,33.0,25.0,88.0
4292,4.0,3.0,0.0,95.0,1.0,17.0,52.0,5.0,161.0,47.0,53.0,24.0,25.0,51.0,12.0,13.0,59.0,216.0,2.0,29.0,41.0,287.0,164.0,303.0,297.0,28.0,304.0,770.0,6.0,5478.0
4341,2.0,1.0,9.0,65.0,16.0,52.0,7.0,0.0,28.0,22.0,21.0,6.0,85.0,26.0,33.0,32.0,122.0,101.0,15.0,12.0,336.0,100.0,896.0,104.0,10.0,8.0,103.0,19.0,88.0,37.0
4390,4.0,1.0,6.0,12.0,3.0,34.0,73.0,18.0,29.0,8.0,36.0,31.0,50.0,82.0,43.0,42.0,49.0,127.0,2.0,17.0,255.0,24.0,102.0,327.0,27.0,44.0,328.0,23.0,87.0,170.0
4439,5.0,133.0,1.0,157.0,23.0,145.0,107.0,19.0,12.0,8.0,3.0,18.0,276.0,22.0,46.0,47.0,20.0,17.0,0.0,193.0,21.0,49.0,24.0,2666.0,1773.0,85.0,2667.0,16.0,50.0,184.0
4488,0.0,37.0,3.0,42.0,5.0,8.0,342.0,35.0,63.0,29.0,4.0,30.0,15.0,9.0,23.0,22.0,16.0,2.0,7.0,54.0,28.0,177.0,27.0,1044.0,179.0,161.0,1043.0,1056.0,100.0,402.0
4537,1.0,6.0,3.0,47.0,31.0,14.0,818.0,27.0,23.0,16.0,5.0,57.0,18.0,59.0,8.0,9.0,34.0,22.0,12.0,25.0,121.0,384.0,438.0,276.0,32.0,147.0,277.0,40.0,68.0,297.0
4586,0.0,13.0,37.0,15.0,339.0,50.0,957.0,9.0,20.0,27.0,1.0,32.0,86.0,4.0,46.0,45.0,19.0,16.0,8.0,21.0,63.0,144.0,256.0,450.0,14.0,590.0,451.0,29.0,2779.0,88.0
4635,0.0,33.0,37.0,38.0,789.0,85.0,17638.0,47.0,4.0,2.0,10.0,41.0,140.0,6.0,19.0,20.0,5.0,69.0,8.0,42.0,13.0,53.0,14.0,3583.0,1915.0,1131.0,3584.0,319.0,43.0,351.0
4684,0.0,5.0,1.0,37.0,3.0,31.0,740.0,49.0,17.0,4.0,10.0,7.0,52.0,16.0,35.0,34.0,8.0,9.0,2.0,112.0,158.0,93.0,22.0,88.0,775.0,316.0,87.0,83.0,182.0,147.0
4733,0.0,13.0,1.0,170.0,39.0,268.0,49.0,19.0,14.0,20.0,4.0,33.0,582.0,25.0,15.0,16.0,8.0,41.0,18.0,75.0,212.0,141.0,12.0,782.0,437.0,129.0,781.0,296.0,114.0,102.0
4782,0.0,27.0,7.0,38.0,105.0,5.0,8044.0,3.0,49.0,14.0,41.0,24.0,9.0,15.0,17.0,16.0,28.0,34.0,40.0,18.0,92.0,136.0,59.0,160.0,218.0,174.0,161.0,100.0,66.0,35.0
4831,0.0,37.0,2.0,63.0,27.0,40.0,3541.0,26.0,23.0,7.0,9.0,19.0,59.0,3.0,47.0,48.0,4.0,18.0,20.0,197.0,123.0,132.0,30.0,250.0,118.0,229.0,249.0,594.0,242.0,34.0
4880,0.0,23.0,2.0,15.0,11.0,57.0,2883.0,7.0,6.0,18.0,1.0,14.0,58.0,51.0,19.0,20.0,28.0,61.0,25.0,94.0,65.0,202.0,9.0,646.0,1648.0,86.0,645.0,54.0,113.0,45.0
