,YAP_pS127,E-Cadherin,G6PD,SETD2,CD49b,Transglutaminase,Caveolin-1,RAD51,PTEN,AR,XBP1,GAPDH,Annexin 1,MSH6,alpha-Catenin,beta-Catenin,Akt_pS473,Porin,Tuberin_pT1462,PDCD4,RBM15,AMPK_pT172,Fibronectin,A-Raf_pS299,PRAS40_pT246,GATA3,Src,c-Myc,PAI-1,MAPK_pT202_Y204
490,29.0,0.0,24.0,8.0,1.0,39.0,15.0,4.0,18.0,7.0,30.0,37.0,51.0,11.0,3.0,6.0,17.0,111.0,5.0,53.0,35.0,25.0,114.0,26.0,10.0,56.0,13.0,100.0,54.0,46.0
539,17.0,8.0,1.0,19.0,7.0,44.0,14.0,5.0,30.0,35.0,0.0,39.0,26.0,34.0,56.0,12.0,16.0,106.0,3.0,43.0,21.0,70.0,160.0,115.0,10.0,114.0,9.0,31.0,6.0,23.0
588,0.0,7.0,17.0,12.0,2.0,77.0,4.0,5.0,25.0,45.0,36.0,114.0,6.0,35.0,49.0,1.0,20.0,42.0,16.0,44.0,31.0,118.0,34.0,96.0,13.0,66.0,10.0,28.0,129.0,11.0
637,13.0,1.0,4.0,5.0,2.0,10.0,18.0,0.0,6.0,27.0,57.0,20.0,14.0,41.0,49.0,9.0,30.0,26.0,15.0,53.0,45.0,73.0,35.0,43.0,3.0,99.0,29.0,44.0,17.0,62.0
686,11.0,0.0,8.0,17.0,52.0,37.0,6.0,4.0,1.0,12.0,65.0,77.0,5.0,60.0,46.0,7.0,9.0,39.0,2.0,34.0,16.0,62.0,47.0,15.0,68.0,43.0,27.0,21.0,22.0,42.0
735,9.0,7.0,5.0,15.0,11.0,41.0,2.0,19.0,1.0,36.0,33.0,132.0,6.0,16.0,18.0,10.0,40.0,24.0,0.0,54.0,3.0,23.0,26.0,83.0,14.0,79.0,51.0,22.0,29.0,32.0
784,25.0,3.0,21.0,23.0,0.0,1.0,2.0,16.0,41.0,11.0,31.0,15.0,8.0,29.0,5.0,4.0,38.0,24.0,45.0,20.0,46.0,40.0,12.0,27.0,55.0,161.0,14.0,57.0,26.0,139.0
833,8.0,6.0,3.0,15.0,13.0,4.0,14.0,20.0,0.0,50.0,44.0,42.0,5.0,17.0,61.0,89.0,9.0,29.0,84.0,11.0,71.0,30.0,26.0,2.0,48.0,19.0,69.0,57.0,1.0,74.0
882,7.0,1.0,8.0,6.0,91.0,30.0,25.0,2.0,0.0,5.0,19.0,31.0,23.0,10.0,159.0,12.0,15.0,16.0,38.0,13.0,14.0,81.0,162.0,36.0,24.0,33.0,121.0,147.0,58.0,41.0
931,2.0,51.0,5.0,3.0,38.0,10.0,1.0,0.0,27.0,4.0,91.0,37.0,28.0,21.0,80.0,15.0,35.0,8.0,25.0,7.0,54.0,62.0,41.0,42.0,17.0,13.0,12.0,140.0,34.0,69.0
980,13.0,7.0,11.0,1.0,0.0,5.0,12.0,25.0,14.0,16.0,21.0,19.0,10.0,3.0,8.0,20.0,26.0,31.0,62.0,42.0,6.0,93.0,56.0,17.0,74.0,44.0,53.0,2.0,57.0,41.0
1029,10.0,48.0,30.0,63.0,7.0,3.0,20.0,27.0,55.0,13.0,2.0,1.0,8.0,0.0,72.0,36.0,5.0,12.0,98.0,15.0,44.0,108.0,9.0,4.0,21.0,59.0,17.0,6.0,24.0,16.0
1078,9.0,11.0,21.0,23.0,5.0,20.0,60.0,13.0,48.0,3.0,31.0,1.0,87.0,7.0,33.0,75.0,8.0,85.0,53.0,86.0,45.0,109.0,15.0,2.0,12.0,17.0,43.0,22.0,37.0,14.0
1127,17.0,21.0,3.0,6.0,14.0,25.0,15.0,7.0,37.0,63.0,1.0,47.0,96.0,10.0,22.0,43.0,67.0,18.0,48.0,20.0,29.0,113.0,8.0,2.0,11.0,36.0,31.0,0.0,111.0,55.0
1176,9.0,5.0,14.0,140.0,15.0,42.0,8.0,38.0,3.0,29.0,16.0,0.0,50.0,7.0,92.0,26.0,2.0,17.0,52.0,24.0,67.0,74.0,66.0,13.0,4.0,43.0,58.0,82.0,76.0,31.0
1225,5.0,8.0,0.0,7.0,13.0,2.0,4.0,16.0,14.0,9.0,28.0,40.0,43.0,6.0,56.0,76.0,17.0,110.0,39.0,11.0,91.0,32.0,3.0,27.0,10.0,88.0,23.0,1.0,26.0,37.0
1274,5.0,51.0,29.0,3.0,24.0,10.0,31.0,81.0,11.0,60.0,4.0,16.0,12.0,27.0,21.0,37.0,62.0,72.0,8.0,7.0,6.0,35.0,14.0,1.0,2.0,19.0,52.0,15.0,48.0,9.0
1323,4.0,12.0,19.0,0.0,10.0,32.0,2.0,30.0,104.0,36.0,63.0,1.0,53.0,83.0,7.0,38.0,108.0,34.0,43.0,18.0,8.0,29.0,3.0,11.0,13.0,22.0,49.0,24.0,97.0,17.0
1372,4.0,14.0,8.0,2.0,1.0,6.0,11.0,44.0,22.0,17.0,61.0,3.0,56.0,51.0,12.0,76.0,5.0,60.0,68.0,36.0,38.0,46.0,10.0,0.0,31.0,53.0,20.0,7.0,113.0,9.0
1421,3.0,21.0,2.0,4.0,5.0,7.0,43.0,8.0,35.0,23.0,89.0,1.0,20.0,56.0,32.0,25.0,16.0,13.0,62.0,0.0,57.0,94.0,114.0,27.0,6.0,86.0,38.0,11.0,33.0,14.0
1470,1.0,0.0,75.0,7.0,51.0,70.0,10.0,34.0,62.0,4.0,6.0,95.0,25.0,2.0,27.0,3.0,11.0,8.0,76.0,46.0,47.0,12.0,83.0,17.0,98.0,13.0,24.0,86.0,21.0,54.0
1519,2.0,0.0,109.0,1.0,8.0,25.0,7.0,19.0,53.0,13.0,15.0,11.0,44.0,22.0,28.0,4.0,9.0,40.0,42.0,67.0,112.0,123.0,35.0,47.0,89.0,14.0,16.0,63.0,6.0,81.0
1568,4.0,7.0,42.0,22.0,5.0,71.0,40.0,6.0,26.0,23.0,1.0,15.0,35.0,0.0,21.0,2.0,28.0,37.0,16.0,31.0,18.0,77.0,33.0,14.0,34.0,25.0,24.0,99.0,27.0,59.0
1617,6.0,4.0,8.0,9.0,0.0,43.0,3.0,10.0,11.0,7.0,1.0,42.0,14.0,18.0,13.0,2.0,38.0,16.0,36.0,65.0,21.0,23.0,109.0,47.0,62.0,51.0,115.0,107.0,19.0,148.0
1666,16.0,1.0,61.0,35.0,10.0,39.0,17.0,37.0,21.0,72.0,0.0,14.0,62.0,3.0,32.0,4.0,8.0,33.0,54.0,26.0,6.0,55.0,53.0,25.0,57.0,41.0,40.0,108.0,87.0,80.0
1715,17.0,0.0,70.0,9.0,20.0,50.0,5.0,21.0,2.0,40.0,4.0,115.0,41.0,31.0,3.0,10.0,7.0,38.0,126.0,11.0,1.0,32.0,35.0,29.0,48.0,60.0,18.0,64.0,33.0,98.0
1764,15.0,16.0,64.0,44.0,14.0,6.0,10.0,36.0,12.0,43.0,0.0,19.0,118.0,30.0,24.0,21.0,102.0,3.0,40.0,4.0,2.0,11.0,66.0,7.0,79.0,75.0,145.0,5.0,133.0,100.0
1813,4.0,5.0,41.0,18.0,6.0,1.0,3.0,15.0,34.0,23.0,0.0,20.0,48.0,11.0,30.0,2.0,13.0,54.0,126.0,21.0,130.0,45.0,7.0,101.0,103.0,9.0,104.0,8.0,132.0,36.0
1862,65.0,1.0,56.0,24.0,10.0,61.0,3.0,14.0,22.0,72.0,7.0,6.0,161.0,81.0,12.0,4.0,126.0,2.0,36.0,9.0,54.0,20.0,26.0,97.0,76.0,8.0,29.0,0.0,107.0,27.0
1911,11.0,28.0,49.0,3.0,1.0,8.0,14.0,34.0,89.0,90.0,0.0,25.0,120.0,13.0,12.0,5.0,9.0,18.0,24.0,2.0,76.0,4.0,46.0,51.0,163.0,99.0,39.0,30.0,92.0,29.0
1960,6.0,2.0,15.0,22.0,24.0,4.0,27.0,17.0,57.0,85.0,104.0,20.0,0.0,12.0,35.0,7.0,107.0,3.0,36.0,31.0,5.0,1.0,9.0,16.0,66.0,11.0,19.0,18.0,103.0,56.0
2009,2.0,3.0,5.0,4.0,14.0,1.0,22.0,6.0,75.0,13.0,111.0,39.0,9.0,25.0,117.0,11.0,78.0,17.0,16.0,83.0,32.0,0.0,23.0,129.0,7.0,38.0,12.0,50.0,66.0,54.0
2058,0.0,1.0,11.0,29.0,2.0,16.0,4.0,14.0,35.0,12.0,20.0,7.0,9.0,43.0,15.0,5.0,34.0,118.0,22.0,24.0,3.0,8.0,65.0,68.0,137.0,69.0,46.0,18.0,40.0,135.0
2107,7.0,10.0,1.0,0.0,23.0,6.0,17.0,36.0,37.0,5.0,44.0,40.0,4.0,30.0,52.0,13.0,28.0,99.0,25.0,15.0,38.0,9.0,16.0,49.0,2.0,11.0,67.0,3.0,19.0,26.0
2156,0.0,7.0,1.0,20.0,28.0,25.0,11.0,65.0,81.0,41.0,103.0,66.0,3.0,27.0,13.0,46.0,37.0,5.0,2.0,49.0,4.0,126.0,12.0,79.0,71.0,6.0,57.0,69.0,32.0,116.0
2205,1.0,4.0,3.0,14.0,57.0,16.0,2.0,5.0,24.0,8.0,44.0,117.0,0.0,20.0,22.0,28.0,55.0,21.0,11.0,29.0,7.0,13.0,23.0,110.0,113.0,17.0,49.0,39.0,34.0,35.0
2254,2.0,14.0,8.0,33.0,17.0,45.0,70.0,25.0,10.0,9.0,74.0,37.0,3.0,19.0,5.0,62.0,1.0,24.0,4.0,158.0,0.0,27.0,53.0,56.0,30.0,43.0,31.0,54.0,99.0,11.0
2303,0.0,35.0,5.0,30.0,20.0,1.0,11.0,25.0,111.0,9.0,32.0,16.0,2.0,42.0,50.0,52.0,3.0,4.0,7.0,70.0,19.0,29.0,65.0,12.0,93.0,144.0,67.0,6.0,101.0,27.0
2352,3.0,12.0,0.0,28.0,7.0,4.0,18.0,23.0,40.0,6.0,15.0,29.0,10.0,2.0,26.0,73.0,33.0,1.0,42.0,76.0,52.0,13.0,5.0,50.0,8.0,81.0,16.0,53.0,22.0,98.0
2401,0.0,27.0,3.0,28.0,10.0,13.0,16.0,19.0,39.0,7.0,41.0,26.0,2.0,9.0,18.0,34.0,6.0,4.0,50.0,86.0,1.0,5.0,11.0,35.0,24.0,33.0,12.0,38.0,60.0,95.0
2450,5.0,0.0,24.0,7.0,12.0,6.0,14.0,15.0,31.0,10.0,2.0,57.0,82.0,50.0,4.0,34.0,18.0,22.0,16.0,33.0,137.0,25.0,41.0,36.0,21.0,1.0,13.0,8.0,66.0,3.0
2499,7.0,11.0,5.0,3.0,23.0,2.0,17.0,0.0,6.0,18.0,28.0,4.0,9.0,22.0,36.0,88.0,40.0,1.0,13.0,12.0,21.0,32.0,27.0,107.0,33.0,29.0,46.0,10.0,25.0,8.0
2548,6.0,1.0,9.0,0.0,20.0,7.0,14.0,10.0,8.0,51.0,11.0,4.0,13.0,43.0,24.0,99.0,46.0,5.0,28.0,120.0,70.0,17.0,67.0,48.0,55.0,16.0,58.0,2.0,3.0,18.0
2597,17.0,3.0,9.0,13.0,12.0,5.0,61.0,10.0,48.0,7.0,58.0,19.0,8.0,22.0,134.0,30.0,37.0,11.0,4.0,34.0,32.0,20.0,137.0,42.0,44.0,1.0,14.0,0.0,2.0,50.0
2646,15.0,3.0,8.0,10.0,19.0,26.0,12.0,128.0,18.0,22.0,29.0,5.0,115.0,9.0,47.0,27.0,36.0,7.0,2.0,108.0,20.0,11.0,88.0,45.0,14.0,1.0,32.0,4.0,0.0,66.0
2695,9.0,3.0,17.0,96.0,4.0,26.0,6.0,21.0,8.0,36.0,5.0,2.0,43.0,42.0,48.0,37.0,14.0,101.0,1.0,11.0,72.0,20.0,119.0,116.0,22.0,0.0,19.0,7.0,10.0,15.0
2744,4.0,2.0,23.0,0.0,9.0,6.0,25.0,21.0,56.0,20.0,52.0,39.0,19.0,153.0,24.0,11.0,7.0,3.0,16.0,67.0,49.0,28.0,139.0,34.0,53.0,8.0,45.0,12.0,17.0,5.0
2793,5.0,10.0,8.0,1.0,39.0,18.0,35.0,7.0,32.0,22.0,38.0,4.0,19.0,33.0,20.0,67.0,9.0,2.0,26.0,49.0,40.0,15.0,17.0,101.0,105.0,0.0,12.0,11.0,14.0,24.0
2842,63.0,2.0,1.0,5.0,14.0,24.0,6.0,8.0,12.0,15.0,0.0,33.0,31.0,97.0,10.0,92.0,39.0,19.0,4.0,55.0,51.0,11.0,13.0,21.0,56.0,38.0,28.0,25.0,50.0,41.0
2891,57.0,0.0,5.0,8.0,92.0,2.0,65.0,7.0,6.0,9.0,1.0,42.0,60.0,31.0,13.0,68.0,12.0,93.0,16.0,15.0,46.0,20.0,18.0,21.0,28.0,11.0,3.0,4.0,52.0,50.0
2940,0.0,8.0,1.0,90.0,30.0,68.0,11.0,12.0,2.0,15.0,29.0,65.0,17.0,20.0,18.0,62.0,5.0,23.0,51.0,46.0,108.0,3.0,56.0,25.0,9.0,7.0,28.0,4.0,60.0,55.0
2989,1.0,0.0,13.0,7.0,8.0,36.0,4.0,72.0,2.0,9.0,16.0,18.0,10.0,44.0,154.0,111.0,57.0,52.0,69.0,81.0,140.0,19.0,45.0,3.0,49.0,11.0,47.0,14.0,5.0,12.0
3038,0.0,6.0,1.0,50.0,37.0,22.0,5.0,3.0,11.0,51.0,92.0,42.0,9.0,4.0,27.0,8.0,52.0,111.0,99.0,159.0,25.0,60.0,150.0,2.0,127.0,65.0,41.0,7.0,13.0,29.0
3087,0.0,30.0,4.0,16.0,51.0,21.0,44.0,43.0,1.0,35.0,8.0,19.0,14.0,12.0,36.0,15.0,59.0,66.0,2.0,109.0,61.0,13.0,6.0,5.0,57.0,11.0,37.0,89.0,34.0,39.0
3136,0.0,5.0,19.0,12.0,114.0,28.0,1.0,8.0,3.0,79.0,13.0,42.0,10.0,108.0,9.0,38.0,73.0,7.0,18.0,81.0,66.0,31.0,53.0,14.0,27.0,4.0,105.0,80.0,30.0,36.0
3185,1.0,33.0,0.0,8.0,128.0,3.0,4.0,5.0,27.0,2.0,58.0,31.0,12.0,6.0,10.0,106.0,17.0,7.0,67.0,140.0,39.0,21.0,93.0,65.0,18.0,14.0,64.0,117.0,74.0,129.0
3234,1.0,8.0,0.0,22.0,32.0,41.0,6.0,4.0,7.0,2.0,19.0,66.0,15.0,21.0,16.0,44.0,9.0,45.0,40.0,35.0,42.0,57.0,33.0,13.0,29.0,5.0,104.0,3.0,38.0,93.0
3283,0.0,4.0,1.0,44.0,47.0,8.0,146.0,12.0,5.0,14.0,3.0,86.0,30.0,6.0,20.0,18.0,2.0,120.0,63.0,159.0,19.0,154.0,83.0,46.0,60.0,24.0,50.0,9.0,107.0,15.0
3332,1.0,6.0,2.0,23.0,12.0,34.0,5.0,14.0,55.0,10.0,43.0,9.0,99.0,151.0,80.0,4.0,15.0,37.0,79.0,39.0,3.0,122.0,46.0,24.0,52.0,20.0,102.0,29.0,119.0,38.0
3381,0.0,7.0,36.0,26.0,25.0,48.0,2.0,31.0,20.0,9.0,28.0,41.0,19.0,10.0,12.0,3.0,132.0,11.0,106.0,52.0,8.0,44.0,39.0,89.0,1.0,15.0,109.0,70.0,134.0,76.0
3430,0.0,1.0,5.0,29.0,2.0,26.0,91.0,6.0,30.0,79.0,23.0,95.0,19.0,7.0,24.0,12.0,4.0,22.0,39.0,3.0,27.0,37.0,109.0,36.0,33.0,15.0,44.0,117.0,25.0,13.0
3479,2.0,5.0,1.0,25.0,12.0,30.0,49.0,17.0,8.0,51.0,34.0,11.0,58.0,0.0,157.0,24.0,14.0,9.0,16.0,4.0,106.0,39.0,94.0,111.0,19.0,3.0,42.0,143.0,41.0,21.0
3528,0.0,5.0,3.0,25.0,26.0,1.0,63.0,6.0,15.0,12.0,16.0,32.0,91.0,2.0,112.0,42.0,129.0,33.0,8.0,21.0,67.0,19.0,98.0,103.0,31.0,10.0,66.0,157.0,37.0,77.0
3577,5.0,3.0,2.0,35.0,1.0,11.0,36.0,6.0,15.0,41.0,8.0,148.0,14.0,10.0,47.0,0.0,127.0,17.0,22.0,33.0,16.0,60.0,43.0,13.0,24.0,12.0,4.0,65.0,49.0,55.0
3626,3.0,1.0,0.0,68.0,7.0,20.0,34.0,4.0,8.0,5.0,14.0,6.0,69.0,2.0,58.0,63.0,17.0,102.0,115.0,9.0,41.0,107.0,19.0,28.0,21.0,111.0,36.0,116.0,66.0,29.0
3675,41.0,2.0,3.0,18.0,20.0,4.0,55.0,0.0,105.0,8.0,47.0,6.0,127.0,19.0,122.0,120.0,37.0,12.0,7.0,1.0,22.0,24.0,28.0,77.0,25.0,31.0,66.0,155.0,124.0,16.0
3724,6.0,0.0,3.0,26.0,10.0,30.0,32.0,9.0,2.0,107.0,19.0,20.0,7.0,1.0,13.0,44.0,18.0,27.0,42.0,15.0,47.0,25.0,17.0,14.0,11.0,4.0,39.0,12.0,128.0,24.0
3773,0.0,1.0,6.0,15.0,3.0,19.0,43.0,5.0,9.0,12.0,40.0,14.0,90.0,2.0,33.0,25.0,27.0,29.0,41.0,7.0,18.0,4.0,30.0,21.0,20.0,34.0,99.0,17.0,107.0,48.0
3822,0.0,1.0,33.0,44.0,5.0,12.0,47.0,8.0,36.0,82.0,106.0,28.0,25.0,30.0,58.0,45.0,52.0,40.0,19.0,6.0,15.0,29.0,135.0,14.0,17.0,59.0,50.0,26.0,130.0,43.0
3871,1.0,12.0,7.0,4.0,11.0,3.0,69.0,15.0,28.0,29.0,5.0,9.0,22.0,25.0,17.0,77.0,13.0,52.0,63.0,0.0,24.0,36.0,27.0,31.0,8.0,90.0,39.0,58.0,19.0,20.0
3920,0.0,29.0,2.0,17.0,19.0,12.0,18.0,10.0,5.0,20.0,4.0,28.0,33.0,7.0,3.0,1.0,14.0,24.0,90.0,6.0,26.0,39.0,130.0,36.0,75.0,51.0,9.0,68.0,25.0,85.0
3969,29.0,24.0,10.0,7.0,58.0,47.0,8.0,34.0,14.0,4.0,42.0,32.0,30.0,133.0,23.0,18.0,2.0,22.0,59.0,9.0,11.0,84.0,64.0,38.0,6.0,5.0,16.0,108.0,40.0,82.0
4018,10.0,2.0,11.0,1.0,8.0,5.0,4.0,7.0,9.0,24.0,30.0,6.0,81.0,65.0,0.0,19.0,31.0,21.0,23.0,14.0,13.0,113.0,15.0,68.0,33.0,109.0,50.0,56.0,37.0,142.0
4067,16.0,1.0,58.0,5.0,3.0,8.0,97.0,9.0,20.0,4.0,18.0,6.0,35.0,22.0,0.0,10.0,131.0,26.0,59.0,32.0,31.0,53.0,71.0,38.0,65.0,51.0,12.0,33.0,27.0,94.0
4116,7.0,12.0,0.0,8.0,18.0,2.0,32.0,4.0,3.0,5.0,11.0,6.0,20.0,35.0,13.0,10.0,14.0,21.0,30.0,55.0,58.0,76.0,38.0,71.0,39.0,46.0,118.0,72.0,23.0,83.0
4165,4.0,18.0,36.0,1.0,9.0,20.0,17.0,6.0,33.0,13.0,11.0,2.0,31.0,62.0,0.0,3.0,21.0,7.0,27.0,26.0,51.0,15.0,105.0,126.0,69.0,117.0,50.0,19.0,37.0,93.0
4214,5.0,6.0,7.0,15.0,12.0,21.0,14.0,41.0,34.0,3.0,36.0,1.0,83.0,57.0,0.0,2.0,22.0,28.0,46.0,18.0,4.0,53.0,52.0,88.0,73.0,124.0,10.0,84.0,51.0,100.0
4263,0.0,45.0,1.0,5.0,47.0,16.0,7.0,70.0,29.0,6.0,128.0,2.0,76.0,27.0,11.0,15.0,19.0,42.0,3.0,9.0,73.0,26.0,51.0,4.0,28.0,90.0,91.0,64.0,40.0,88.0
4312,4.0,7.0,0.0,6.0,8.0,13.0,45.0,51.0,5.0,11.0,9.0,3.0,71.0,42.0,14.0,68.0,1.0,10.0,2.0,30.0,28.0,36.0,137.0,18.0,23.0,50.0,78.0,53.0,34.0,54.0
4361,16.0,14.0,0.0,21.0,48.0,23.0,3.0,4.0,6.0,66.0,30.0,20.0,63.0,29.0,15.0,160.0,5.0,90.0,92.0,79.0,52.0,7.0,37.0,47.0,10.0,9.0,131.0,64.0,50.0,88.0
4410,0.0,1.0,22.0,7.0,3.0,6.0,81.0,51.0,13.0,50.0,19.0,4.0,32.0,24.0,57.0,17.0,123.0,27.0,18.0,44.0,2.0,38.0,14.0,84.0,149.0,53.0,15.0,9.0,31.0,5.0
4459,5.0,27.0,23.0,4.0,2.0,0.0,16.0,1.0,12.0,46.0,37.0,76.0,14.0,35.0,61.0,8.0,65.0,97.0,7.0,34.0,13.0,114.0,15.0,32.0,83.0,9.0,50.0,29.0,18.0,38.0
4508,0.0,4.0,17.0,1.0,3.0,50.0,47.0,25.0,80.0,39.0,35.0,58.0,18.0,7.0,72.0,6.0,55.0,27.0,9.0,32.0,87.0,92.0,11.0,21.0,44.0,69.0,34.0,49.0,97.0,37.0
4557,2.0,71.0,22.0,0.0,11.0,6.0,5.0,52.0,12.0,13.0,92.0,60.0,59.0,66.0,10.0,61.0,23.0,15.0,14.0,18.0,39.0,32.0,3.0,43.0,29.0,53.0,9.0,69.0,4.0,7.0
4606,0.0,6.0,31.0,2.0,1.0,13.0,27.0,16.0,54.0,43.0,8.0,34.0,5.0,25.0,12.0,19.0,15.0,81.0,18.0,78.0,90.0,39.0,28.0,108.0,82.0,77.0,17.0,40.0,72.0,10.0
4655,0.0,59.0,25.0,2.0,1.0,27.0,8.0,11.0,3.0,60.0,10.0,45.0,6.0,13.0,81.0,104.0,5.0,17.0,4.0,16.0,21.0,97.0,23.0,86.0,20.0,90.0,79.0,7.0,119.0,57.0
4704,2.0,16.0,67.0,8.0,0.0,3.0,64.0,50.0,5.0,27.0,10.0,31.0,34.0,7.0,1.0,9.0,91.0,52.0,20.0,19.0,104.0,4.0,6.0,60.0,59.0,42.0,44.0,11.0,93.0,123.0
4753,2.0,12.0,7.0,15.0,0.0,41.0,16.0,42.0,1.0,11.0,6.0,54.0,9.0,19.0,25.0,10.0,88.0,82.0,13.0,3.0,62.0,29.0,26.0,52.0,28.0,5.0,95.0,97.0,39.0,27.0
4802,0.0,7.0,10.0,5.0,1.0,12.0,20.0,2.0,32.0,8.0,56.0,51.0,4.0,92.0,21.0,9.0,113.0,13.0,71.0,72.0,30.0,67.0,58.0,81.0,91.0,131.0,39.0,23.0,28.0,27.0
4851,9.0,1.0,39.0,16.0,2.0,8.0,3.0,26.0,72.0,18.0,31.0,22.0,7.0,51.0,36.0,5.0,34.0,61.0,53.0,93.0,50.0,78.0,58.0,137.0,60.0,40.0,33.0,83.0,21.0,10.0
