,RP11-490M8.1,EGFR,RP11-818F20.5,ARSJ,TNFRSF12A,RP11-224O19.2,ITGB1,LAMB2,PLS3,IFITM3,OSMR,AJUBA,DCBLD2,RP11-783K16.5,EPHX1,KBTBD8,RP11-1069G10.2,AL353791.1,CCL26,PSORS1C1,GPC1,CLCF1,RP11-680F8.3,4-Mar,UBTD1,KIRREL,DNAJB2,PTPN14,CELSR1,SFXN2
1183,70.0,7.0,94.0,19.0,15.0,23.0,24.0,39.0,8311.0,41.0,665.0,1.0,14371.0,56.0,0.0,629.0,3500.0,121.0,210.0,22953.0,13.0,3831.0,10.0,13212.0,21.0,17168.0,66.0,17615.0,8985.0,61.0
1232,19.0,106.0,4970.0,12.0,5.0,4.0,16.0,28.0,31.0,58.0,78.0,2.0,20.0,3521.0,1.0,152.0,3433.0,107.0,18672.0,86.0,13.0,42.0,97.0,13231.0,0.0,17185.0,6.0,81.0,134.0,22.0
1281,57.0,8.0,5038.0,21.0,2251.0,2.0,29.0,13.0,34.0,32.0,21431.0,4.0,1.0,3527.0,3.0,12466.0,3464.0,12.0,20.0,23004.0,14.0,3582.0,2951.0,13240.0,18.0,17199.0,54.0,97.0,9092.0,4362.0
1330,71.0,35.0,4935.0,49.0,2250.0,11.0,19723.0,16.0,39.0,7.0,69.0,2.0,8.0,60.0,1.0,562.0,55.0,10.0,9.0,64.0,12305.0,56.0,3084.0,13199.0,0.0,17197.0,5.0,17644.0,9085.0,4248.0
1379,12.0,3.0,5033.0,47.0,3208.0,7.0,31.0,12664.0,38.0,32.0,21424.0,6.0,4.0,33.0,0.0,12470.0,28.0,15.0,603.0,67.0,35.0,3571.0,85.0,13210.0,11.0,17206.0,36.0,17652.0,9099.0,4471.0
1428,57.0,22478.0,4985.0,38.0,2267.0,34.0,29.0,10.0,23.0,6.0,562.0,68.0,3.0,36.0,0.0,12463.0,58.0,7.0,15.0,40.0,12289.0,226.0,2971.0,13245.0,1.0,17207.0,63.0,689.0,54.0,60.0
1477,70.0,22366.0,5276.0,4.0,884.0,90.0,6.0,63.0,103.0,0.0,21430.0,45.0,14370.0,4615.0,67.0,8.0,13.0,19972.0,35.0,77.0,12345.0,3823.0,57.0,13206.0,74.0,17177.0,38.0,17619.0,8978.0,5400.0
1526,16436.0,22364.0,4936.0,11.0,2266.0,3.0,5.0,30.0,8320.0,8.0,21396.0,4.0,79.0,3846.0,37.0,9.0,14.0,19975.0,52.0,22891.0,101.0,3657.0,3392.0,13245.0,4528.0,900.0,33.0,17638.0,8868.0,4554.0
1575,3.0,22366.0,5029.0,4.0,8.0,55.0,9.0,26.0,8295.0,159.0,1053.0,1.0,17.0,3533.0,0.0,13.0,14.0,189.0,40.0,22950.0,12277.0,10.0,3065.0,13204.0,457.0,49.0,46.0,17640.0,101.0,4246.0
1624,75.0,22339.0,4949.0,11.0,65.0,47.0,13.0,38.0,8318.0,29.0,131.0,2.0,89.0,3672.0,9.0,12519.0,7.0,55.0,17.0,22868.0,12343.0,152.0,3079.0,13228.0,170.0,44.0,4.0,17648.0,9107.0,4498.0
1673,3.0,22368.0,6087.0,1.0,7.0,4.0,19746.0,39.0,173.0,8.0,21417.0,47.0,81.0,113.0,61.0,9.0,14.0,20016.0,30.0,1098.0,12355.0,4889.0,1554.0,13220.0,2627.0,70.0,6.0,17654.0,9104.0,3246.0
1722,7.0,22353.0,76.0,3.0,30.0,0.0,19710.0,35.0,8325.0,2.0,21401.0,71.0,14415.0,73.0,9.0,228.0,19.0,19867.0,5.0,22894.0,12302.0,3655.0,3084.0,13254.0,4410.0,82.0,103.0,17655.0,9114.0,4502.0
1771,1.0,39.0,5042.0,6.0,12.0,3.0,16.0,58.0,8304.0,30.0,21424.0,67.0,14371.0,3771.0,155.0,504.0,11.0,19979.0,10.0,23002.0,12346.0,3643.0,3077.0,13233.0,4388.0,50.0,77.0,17639.0,9102.0,4479.0
1820,0.0,20.0,207.0,9.0,37.0,4.0,19738.0,61.0,8310.0,450.0,898.0,2021.0,14373.0,93.0,80.0,163.0,29.0,19985.0,82.0,98.0,14.0,18.0,83.0,13224.0,4405.0,17175.0,7.0,558.0,8872.0,4500.0
1869,1.0,22.0,5038.0,15.0,40.0,9.0,52.0,18.0,162.0,29.0,21421.0,2001.0,10.0,135.0,7.0,12486.0,39.0,30.0,53.0,91.0,12331.0,35.0,55.0,103.0,269.0,26.0,13191.0,17636.0,154.0,4247.0
1918,1.0,3.0,181.0,4.0,48.0,86.0,19732.0,177.0,72.0,167.0,21431.0,79.0,0.0,3544.0,28.0,32.0,3457.0,19980.0,49.0,561.0,12318.0,12.0,85.0,13231.0,8.0,20.0,13204.0,966.0,19.0,4488.0
1967,25.0,19.0,68.0,9.0,20.0,3.0,40.0,146.0,51.0,59.0,24.0,7.0,0.0,37.0,130.0,166.0,3437.0,1.0,27.0,47.0,17.0,3567.0,54.0,13198.0,4485.0,42.0,13152.0,5.0,9078.0,189.0
2016,49.0,20.0,3.0,16.0,43.0,7.0,24.0,19.0,318.0,65.0,45.0,2108.0,0.0,39.0,17429.0,11.0,30.0,90.0,18653.0,2.0,12367.0,3668.0,48.0,113.0,119.0,17196.0,1.0,17636.0,9110.0,140.0
2065,6.0,5.0,7.0,27.0,9.0,3.0,74.0,12672.0,81.0,61.0,32.0,2192.0,15.0,50.0,17362.0,64.0,257.0,143.0,20.0,19.0,12318.0,3807.0,30.0,8.0,1678.0,17171.0,69.0,17654.0,553.0,3863.0
2114,5.0,25.0,14.0,27.0,24.0,17.0,310.0,65.0,46.0,33.0,49.0,23.0,1.0,29.0,1175.0,70.0,188.0,19878.0,26.0,22900.0,12353.0,234.0,31.0,99.0,110.0,40.0,13180.0,17640.0,98.0,220.0
2163,1.0,15.0,12.0,49.0,2253.0,27.0,8.0,58.0,8279.0,31.0,28.0,48.0,0.0,34.0,17347.0,155.0,216.0,19971.0,65.0,1116.0,23.0,106.0,3.0,13227.0,46.0,17197.0,93.0,17642.0,9093.0,111.0
2212,8.0,11.0,1.0,103.0,2228.0,0.0,27.0,12642.0,8294.0,2.0,21433.0,45.0,3.0,26.0,62.0,12445.0,3443.0,78.0,17.0,889.0,46.0,3605.0,33.0,29.0,4495.0,17200.0,100.0,17637.0,9082.0,4235.0
2261,22.0,12.0,9.0,13866.0,2258.0,0.0,25.0,97.0,71.0,5.0,21423.0,48.0,20.0,77.0,50.0,37.0,3442.0,59.0,18658.0,81.0,40.0,34.0,1.0,13245.0,82.0,17206.0,105.0,17644.0,8888.0,4467.0
2310,13.0,21.0,0.0,131.0,2262.0,11.0,5.0,6.0,43.0,1.0,51.0,1999.0,26.0,72.0,45.0,31.0,3429.0,38.0,36.0,1133.0,32.0,23.0,24.0,149.0,61.0,17172.0,81.0,17655.0,84.0,3.0
2359,28.0,5.0,7.0,33.0,3475.0,13.0,106.0,82.0,51.0,26.0,45.0,2261.0,24.0,80.0,22.0,10.0,2391.0,31.0,30.0,22867.0,47.0,38.0,1.0,85.0,4402.0,17203.0,12.0,17647.0,83.0,4489.0
2408,28.0,14.0,3.0,22.0,665.0,19.0,4.0,46.0,32.0,15.0,21400.0,11.0,35.0,72.0,43.0,12521.0,3485.0,59.0,44.0,74.0,12334.0,23.0,0.0,88.0,4773.0,17166.0,5.0,17610.0,76.0,4513.0
2457,3.0,28.0,12.0,13842.0,16.0,17640.0,52.0,66.0,13.0,4783.0,34.0,1985.0,31.0,22.0,8.0,29.0,26.0,35.0,18653.0,54.0,12282.0,36.0,92.0,55.0,50.0,105.0,13190.0,57.0,4.0,82.0
2506,1.0,24.0,0.0,32.0,5.0,17516.0,19674.0,10.0,18.0,54.0,44.0,8.0,14382.0,19.0,9.0,21.0,39.0,19995.0,18656.0,67.0,12275.0,61.0,99.0,13233.0,37.0,91.0,106.0,97.0,3.0,117.0
2555,9.0,19.0,0.0,17.0,2228.0,17631.0,19668.0,36.0,13.0,30.0,66.0,7.0,29.0,21.0,121.0,60.0,3416.0,489.0,18660.0,56.0,12273.0,6.0,3034.0,43.0,33.0,52.0,13180.0,17643.0,1.0,118.0
2604,10.0,36.0,0.0,7.0,2195.0,17619.0,19650.0,38.0,8.0,4734.0,86.0,1585.0,14359.0,13.0,73.0,33.0,47.0,11.0,18647.0,59.0,221.0,79.0,95.0,44.0,46.0,74.0,13142.0,667.0,52.0,151.0
2653,10.0,28.0,1.0,9.0,102.0,17417.0,19659.0,26.0,18.0,3.0,52.0,1909.0,14338.0,17.0,17333.0,29.0,31.0,32.0,18653.0,6.0,12249.0,3550.0,0.0,42.0,81.0,83.0,13162.0,209.0,5.0,192.0
2702,1.0,56.0,2.0,30.0,165.0,17387.0,19660.0,10.0,12.0,4740.0,67.0,1577.0,14369.0,7.0,26.0,17.0,3395.0,0.0,18649.0,5.0,12253.0,58.0,102.0,42.0,98.0,17176.0,13166.0,71.0,32.0,160.0
2751,0.0,71.0,2.0,28.0,7.0,55.0,19727.0,22.0,24.0,85.0,21406.0,47.0,15.0,25.0,58.0,34.0,3456.0,19.0,18639.0,20.0,327.0,57.0,53.0,45.0,141.0,72.0,13180.0,69.0,39.0,102.0
2800,1.0,71.0,2.0,7.0,83.0,17626.0,19652.0,22.0,21.0,0.0,12.0,1771.0,27.0,33.0,34.0,50.0,8.0,23.0,300.0,23003.0,313.0,3550.0,395.0,32.0,4482.0,44.0,13179.0,76.0,29.0,10.0
2849,3.0,2.0,5.0,64.0,185.0,73.0,19736.0,24.0,25.0,0.0,34.0,2048.0,19.0,39.0,12.0,33.0,114.0,18.0,18644.0,4.0,12321.0,3624.0,3405.0,65.0,4435.0,23.0,13206.0,82.0,27.0,68.0
2898,0.0,3.0,8.0,1.0,134.0,24.0,26.0,17.0,267.0,9.0,21364.0,59.0,18.0,6.0,47.0,37.0,56.0,11.0,18653.0,2.0,12279.0,4355.0,86.0,53.0,99.0,30.0,13189.0,17640.0,29.0,3082.0
2947,69.0,2.0,0.0,70.0,46.0,67.0,19727.0,39.0,30.0,4.0,427.0,63.0,74.0,3553.0,50.0,34.0,14.0,5.0,75.0,23014.0,12348.0,23.0,2859.0,13218.0,4402.0,17173.0,13170.0,17624.0,9100.0,4493.0
2996,7.0,2.0,0.0,43.0,25.0,17630.0,9.0,27.0,23.0,50.0,35.0,88.0,59.0,3539.0,65.0,12484.0,2827.0,98.0,105.0,51.0,12333.0,30.0,415.0,1.0,4504.0,17201.0,3.0,17642.0,9088.0,66.0
3045,0.0,3.0,2.0,13842.0,54.0,17646.0,12.0,41.0,10.0,8.0,4.0,95.0,14411.0,3777.0,79.0,24.0,3394.0,6.0,89.0,22894.0,12349.0,29.0,3054.0,5.0,4395.0,17181.0,69.0,67.0,1.0,4488.0
3094,2.0,1.0,0.0,63.0,36.0,17406.0,26.0,8.0,40.0,11.0,20.0,1890.0,79.0,48.0,78.0,12520.0,3106.0,18.0,60.0,22905.0,12311.0,28.0,1507.0,5.0,3504.0,62.0,46.0,16.0,74.0,84.0
3143,2.0,0.0,1.0,13861.0,7.0,17638.0,38.0,25.0,6.0,76.0,22.0,5.0,66.0,14.0,80.0,735.0,2521.0,4.0,95.0,22894.0,265.0,21.0,3352.0,13245.0,4537.0,60.0,61.0,49.0,50.0,4475.0
3192,18.0,13.0,8.0,78.0,21.0,17520.0,33.0,4.0,31.0,70.0,27.0,2027.0,16.0,26.0,185.0,84.0,3477.0,0.0,18669.0,22999.0,9.0,22.0,3082.0,13242.0,2.0,73.0,92.0,52.0,8970.0,4247.0
3241,0.0,2.0,9.0,74.0,17.0,17429.0,24.0,5.0,8294.0,71.0,21.0,41.0,69.0,36.0,34.0,272.0,3436.0,3.0,18662.0,23000.0,12281.0,29.0,56.0,46.0,556.0,67.0,13192.0,28.0,8968.0,4.0
3290,1.0,22335.0,0.0,13852.0,30.0,662.0,4.0,8.0,56.0,11.0,14.0,1556.0,14399.0,49.0,54.0,211.0,25.0,3.0,61.0,23040.0,28.0,21.0,5.0,72.0,4529.0,57.0,52.0,47.0,53.0,4469.0
3339,0.0,22480.0,16.0,51.0,20.0,17400.0,1.0,6.0,43.0,318.0,11.0,37.0,52.0,47.0,17343.0,12447.0,29.0,84.0,80.0,19.0,8.0,7.0,5.0,13225.0,4481.0,25.0,12708.0,27.0,8965.0,17.0
3388,0.0,22353.0,5036.0,46.0,9.0,17626.0,17.0,14.0,11.0,88.0,26.0,54.0,31.0,61.0,17349.0,12444.0,44.0,109.0,82.0,21.0,5.0,19.0,58.0,13195.0,4486.0,17190.0,69.0,40.0,50.0,3.0
3437,80.0,22331.0,7.0,10.0,4.0,94.0,19726.0,65.0,12.0,155.0,389.0,1634.0,19.0,54.0,5.0,20.0,45.0,19972.0,18643.0,35.0,28.0,3590.0,2.0,13201.0,4514.0,46.0,0.0,179.0,9107.0,4257.0
3486,4.0,14.0,5046.0,32.0,21.0,44.0,20.0,42.0,19.0,4787.0,751.0,25.0,46.0,3549.0,1.0,36.0,8.0,20003.0,233.0,61.0,27.0,3562.0,9.0,13235.0,62.0,75.0,2.0,206.0,0.0,4227.0
3535,58.0,20.0,1.0,9.0,43.0,22.0,7.0,32.0,8294.0,11.0,593.0,260.0,26.0,4552.0,0.0,16.0,3114.0,19985.0,17.0,23034.0,14.0,4356.0,1471.0,45.0,49.0,24.0,2.0,245.0,9098.0,207.0
3584,5.0,10.0,4951.0,13855.0,59.0,1.0,77.0,18.0,8327.0,178.0,28.0,353.0,65.0,3793.0,43.0,46.0,3403.0,48.0,12.0,22893.0,15.0,3644.0,3058.0,33.0,70.0,17188.0,0.0,17646.0,243.0,180.0
3633,91.0,1.0,45.0,13848.0,6.0,94.0,68.0,41.0,17.0,4775.0,14.0,52.0,14382.0,16.0,2.0,35.0,62.0,66.0,4.0,34.0,5.0,3550.0,3404.0,69.0,23.0,17249.0,55.0,17390.0,9084.0,165.0
3682,14.0,1.0,24.0,13857.0,39.0,17411.0,49.0,54.0,16.0,62.0,17.0,1972.0,14390.0,8.0,3.0,11.0,55.0,19992.0,10.0,23040.0,15.0,3640.0,3080.0,57.0,12.0,17209.0,6.0,17645.0,70.0,4483.0
3731,4.0,0.0,24.0,13799.0,2568.0,59.0,65.0,29.0,28.0,4767.0,16.0,79.0,81.0,11.0,2.0,18.0,51.0,5.0,893.0,23.0,12.0,3598.0,2993.0,45.0,14.0,63.0,1.0,17631.0,49.0,4255.0
3780,1.0,0.0,56.0,13829.0,297.0,6.0,51.0,46.0,28.0,30.0,13.0,1698.0,74.0,3523.0,4.0,41.0,15.0,185.0,39.0,16.0,10.0,9.0,3026.0,3.0,12.0,17200.0,5.0,17518.0,7.0,175.0
3829,72.0,0.0,2.0,13866.0,21.0,558.0,60.0,12651.0,30.0,4764.0,21434.0,2194.0,14389.0,189.0,81.0,43.0,13.0,25.0,35.0,23013.0,9.0,3582.0,2992.0,7.0,1.0,17202.0,70.0,17641.0,67.0,95.0
3878,99.0,0.0,39.0,13834.0,21.0,77.0,30.0,12456.0,8303.0,64.0,17.0,2168.0,6.0,3735.0,87.0,56.0,7.0,28.0,34.0,62.0,3.0,3598.0,3520.0,43.0,1.0,17177.0,12723.0,17647.0,86.0,44.0
3927,1.0,0.0,2.0,11.0,22.0,9.0,45.0,74.0,8302.0,66.0,21422.0,32.0,62.0,48.0,17358.0,5.0,3429.0,19985.0,19.0,3.0,20.0,96.0,1083.0,13241.0,4377.0,17198.0,13194.0,17642.0,52.0,55.0
3976,0.0,15.0,1.0,10.0,20.0,17398.0,56.0,40.0,8297.0,7.0,32.0,35.0,61.0,47.0,17387.0,12492.0,3421.0,19985.0,43.0,2.0,18.0,3594.0,95.0,31.0,4431.0,68.0,11.0,70.0,9099.0,52.0
4025,24.0,0.0,1.0,7.0,6.0,9.0,19.0,12622.0,18.0,38.0,39.0,33.0,47.0,29.0,17360.0,226.0,3050.0,19987.0,4.0,3.0,13.0,69.0,58.0,62.0,129.0,95.0,77.0,45.0,36.0,8.0
4074,9.0,0.0,23.0,12.0,17.0,1.0,21.0,12664.0,6.0,122.0,37.0,48.0,52.0,36.0,66.0,108.0,2799.0,19987.0,45.0,62.0,7.0,125.0,65.0,81.0,4395.0,60.0,102.0,79.0,39.0,47.0
4123,13.0,0.0,1.0,2.0,12.0,3.0,15.0,12669.0,21.0,114.0,39.0,24.0,20.0,45.0,17360.0,7.0,3456.0,19989.0,35.0,4.0,14.0,90.0,64.0,47.0,4399.0,17199.0,106.0,43.0,36.0,41.0
4172,28.0,0.0,48.0,4.0,23.0,44.0,63.0,12652.0,17.0,88.0,26.0,55.0,9.0,34.0,17353.0,30.0,47.0,19980.0,18669.0,2.0,14.0,8.0,93.0,46.0,11.0,17206.0,106.0,85.0,573.0,53.0
4221,42.0,9.0,57.0,11.0,32.0,40.0,19715.0,55.0,33.0,52.0,39.0,7.0,38.0,79.0,17364.0,23.0,4.0,19872.0,21.0,2.0,10.0,3619.0,67.0,13257.0,4407.0,90.0,71.0,17658.0,9113.0,43.0
4270,51.0,11.0,6038.0,8.0,19.0,12.0,54.0,12689.0,17.0,2.0,26.0,0.0,45.0,16.0,61.0,52.0,66.0,19869.0,25.0,1.0,14.0,38.0,72.0,48.0,2549.0,90.0,58.0,17660.0,9119.0,3714.0
4319,39.0,2.0,5050.0,16.0,5.0,36.0,61.0,12672.0,20.0,91.0,45.0,4.0,104.0,94.0,75.0,12471.0,33.0,19983.0,44.0,3.0,25.0,106.0,35.0,13244.0,4397.0,17211.0,17.0,79.0,18.0,4494.0
4368,45.0,2.0,6069.0,6.0,18.0,32.0,53.0,12644.0,20.0,16.0,30.0,1.0,14370.0,4.0,3.0,22.0,15.0,19983.0,204.0,25.0,23.0,110.0,31.0,50.0,3506.0,17203.0,34.0,44.0,9100.0,1216.0
4417,22.0,1.0,5034.0,21.0,2223.0,67.0,4.0,12671.0,38.0,7.0,5.0,35.0,3.0,73.0,17359.0,9.0,56.0,124.0,71.0,106.0,146.0,435.0,52.0,47.0,4445.0,43.0,39.0,78.0,29.0,111.0
4466,11.0,1.0,4.0,25.0,7.0,59.0,52.0,94.0,8306.0,8.0,26.0,0.0,2.0,55.0,17350.0,18.0,39.0,20.0,61.0,23002.0,49.0,458.0,66.0,13210.0,33.0,21.0,5.0,88.0,62.0,152.0
4515,6.0,1.0,5.0,16.0,12.0,85.0,70.0,77.0,8287.0,9.0,37.0,46.0,7.0,65.0,17378.0,36.0,26.0,94.0,63.0,0.0,271.0,151.0,61.0,50.0,4484.0,17178.0,83.0,84.0,8.0,116.0
4564,24.0,0.0,22.0,13862.0,12.0,117.0,5.0,155.0,8310.0,6.0,74.0,69.0,14.0,281.0,53.0,12463.0,19.0,3.0,60.0,23015.0,534.0,3649.0,3054.0,36.0,23.0,17.0,13198.0,55.0,57.0,112.0
4613,480.0,0.0,33.0,13868.0,5.0,17639.0,25.0,63.0,8302.0,9.0,23.0,41.0,1.0,7.0,32.0,42.0,50.0,8.0,26.0,6.0,685.0,449.0,87.0,13228.0,17.0,24.0,13195.0,75.0,8980.0,107.0
4662,16435.0,2.0,4938.0,243.0,13.0,17410.0,5.0,9.0,8309.0,93.0,20.0,39.0,3.0,0.0,31.0,62.0,53.0,64.0,6.0,1.0,10.0,60.0,7.0,23.0,49.0,17202.0,487.0,82.0,8895.0,24.0
4711,4.0,3.0,5.0,332.0,6.0,17403.0,29.0,45.0,968.0,21.0,8.0,77.0,2.0,13.0,67.0,116.0,28.0,19.0,10.0,1.0,16.0,3570.0,3066.0,7.0,44.0,52.0,13191.0,70.0,37.0,258.0
4760,16.0,19.0,47.0,14088.0,33.0,17658.0,259.0,17.0,850.0,45.0,37.0,111.0,13.0,3807.0,2.0,69.0,58.0,63.0,0.0,12.0,24.0,3679.0,2910.0,28.0,6.0,17187.0,13245.0,80.0,3.0,79.0
4809,106.0,24.0,5018.0,56.0,279.0,17639.0,134.0,13.0,8274.0,4782.0,59.0,5.0,0.0,9.0,17356.0,12515.0,14.0,4.0,1.0,17.0,27.0,34.0,968.0,39.0,28.0,17169.0,13198.0,82.0,50.0,10.0
4858,0.0,19.0,3.0,146.0,35.0,17643.0,19729.0,20.0,8295.0,92.0,82.0,25.0,30.0,24.0,17359.0,75.0,1.0,62.0,14.0,52.0,731.0,12.0,3077.0,5.0,8.0,17171.0,13170.0,76.0,43.0,257.0
