, H2O2, MAPK_PI3K, MAPK_only, JAK-STAT, Wnt, TLR, PI3K_only, VEGF, IL-1, TGFB, TNFa
3030,0.0,5.0,3.0,4.0,9.0,6.0,7.0,8.0,10.0,1.0,2.0
3079,3.0,9.0,0.0,5.0,1.0,6.0,2.0,8.0,4.0,10.0,7.0
3128,0.0,4.0,1.0,3.0,2.0,9.0,5.0,10.0,8.0,6.0,7.0
3177,0.0,4.0,7.0,1.0,10.0,2.0,5.0,3.0,6.0,8.0,9.0
3226,1.0,10.0,2.0,6.0,5.0,9.0,0.0,4.0,3.0,7.0,8.0
3275,0.0,1.0,9.0,5.0,10.0,7.0,3.0,2.0,6.0,8.0,4.0
3324,2.0,6.0,5.0,3.0,0.0,9.0,4.0,1.0,10.0,7.0,8.0
3373,0.0,3.0,5.0,1.0,4.0,6.0,2.0,8.0,10.0,7.0,9.0
3422,1.0,10.0,3.0,0.0,4.0,8.0,2.0,7.0,5.0,6.0,9.0
3471,5.0,1.0,2.0,6.0,0.0,7.0,3.0,9.0,10.0,4.0,8.0
3520,0.0,2.0,1.0,3.0,6.0,4.0,8.0,5.0,7.0,9.0,10.0
3569,2.0,3.0,8.0,6.0,1.0,0.0,7.0,4.0,5.0,10.0,9.0
3618,1.0,6.0,5.0,4.0,3.0,8.0,2.0,0.0,10.0,9.0,7.0
3667,2.0,6.0,4.0,1.0,0.0,5.0,3.0,7.0,8.0,9.0,10.0
3716,4.0,6.0,1.0,8.0,3.0,0.0,5.0,2.0,7.0,10.0,9.0
3765,5.0,6.0,9.0,8.0,0.0,3.0,4.0,1.0,2.0,7.0,10.0
3814,4.0,2.0,1.0,0.0,3.0,8.0,5.0,9.0,7.0,6.0,10.0
3863,3.0,4.0,8.0,5.0,0.0,9.0,2.0,7.0,1.0,6.0,10.0
3912,1.0,5.0,4.0,0.0,2.0,7.0,8.0,3.0,10.0,9.0,6.0
3961,0.0,6.0,3.0,2.0,1.0,4.0,7.0,5.0,9.0,10.0,8.0
4010,0.0,2.0,5.0,7.0,4.0,1.0,6.0,3.0,9.0,10.0,8.0
4059,5.0,2.0,0.0,1.0,7.0,3.0,4.0,6.0,8.0,9.0,10.0
4108,3.0,2.0,1.0,0.0,10.0,4.0,6.0,5.0,7.0,9.0,8.0
4157,1.0,4.0,3.0,2.0,6.0,7.0,8.0,0.0,9.0,5.0,10.0
4206,6.0,3.0,5.0,4.0,2.0,7.0,0.0,9.0,10.0,1.0,8.0
4255,4.0,7.0,0.0,2.0,3.0,1.0,5.0,6.0,10.0,8.0,9.0
4304,0.0,2.0,1.0,5.0,3.0,4.0,7.0,6.0,10.0,9.0,8.0
4353,3.0,0.0,7.0,4.0,9.0,5.0,8.0,2.0,1.0,6.0,10.0
4402,6.0,2.0,1.0,0.0,9.0,7.0,3.0,8.0,10.0,4.0,5.0
4451,1.0,4.0,7.0,3.0,6.0,5.0,0.0,10.0,2.0,8.0,9.0
4500,7.0,1.0,9.0,8.0,3.0,0.0,2.0,6.0,5.0,10.0,4.0
4549,9.0,5.0,3.0,2.0,4.0,1.0,0.0,10.0,8.0,6.0,7.0
4598,3.0,1.0,6.0,4.0,5.0,8.0,0.0,10.0,7.0,9.0,2.0
4647,7.0,6.0,3.0,1.0,5.0,4.0,0.0,9.0,10.0,8.0,2.0
4696,6.0,3.0,1.0,2.0,9.0,4.0,0.0,8.0,7.0,10.0,5.0
4745,0.0,5.0,4.0,1.0,6.0,8.0,7.0,2.0,3.0,10.0,9.0
4794,2.0,5.0,3.0,9.0,4.0,0.0,1.0,7.0,8.0,6.0,10.0
4843,1.0,9.0,5.0,7.0,0.0,4.0,2.0,10.0,6.0,3.0,8.0
4892,0.0,3.0,6.0,4.0,2.0,10.0,5.0,8.0,9.0,7.0,1.0
