,hsa-miR-30a,hsa-miR-21,hsa-miR-22,hsa-let-7e,hsa-miR-766,hsa-miR-30d,hsa-miR-30e,hsa-miR-199b-5p,hsa-miR-30c,hsa-miR-142-5p,hsa-miR-34a,hsa-miR-220b,hsa-miR-574-5p,hsa-miR-371-3p,hsa-miR-607,hsa-miR-1246,hcmv-miR-US5-1,hsa-miR-10a,hsa-miR-548a-3p,hsa-miR-150,hcmv-miR-US5-2,hsa-miR-200a,hsa-miR-24,hsa-miR-214,hsa-miR-96,hsa-miR-190b,hsa-miR-643,hsa-miR-675,hsa-miR-210,hsa-miR-2115
553,8.0,5.0,1.0,13.0,3.0,4.0,6.0,20.0,11.0,0.0,14.0,9.0,25.0,110.0,28.0,162.0,101.0,2.0,34.0,53.0,42.0,52.0,12.0,17.0,30.0,16.0,67.0,160.0,54.0,46.0
602,0.0,2.0,1.0,3.0,7.0,19.0,5.0,13.0,9.0,4.0,30.0,8.0,15.0,319.0,88.0,345.0,36.0,18.0,74.0,52.0,616.0,20.0,46.0,12.0,43.0,29.0,6.0,218.0,396.0,26.0
651,1.0,3.0,0.0,5.0,13.0,2.0,10.0,180.0,8.0,7.0,11.0,4.0,9.0,93.0,138.0,31.0,15.0,47.0,21.0,26.0,121.0,28.0,6.0,54.0,100.0,74.0,63.0,440.0,177.0,69.0
700,0.0,3.0,1.0,5.0,23.0,2.0,7.0,8.0,4.0,6.0,50.0,11.0,33.0,20.0,191.0,146.0,49.0,9.0,69.0,15.0,100.0,59.0,18.0,13.0,82.0,37.0,25.0,48.0,175.0,60.0
749,1.0,2.0,0.0,8.0,32.0,3.0,6.0,9.0,357.0,7.0,4.0,17.0,12.0,24.0,23.0,158.0,51.0,5.0,59.0,20.0,108.0,14.0,11.0,222.0,33.0,15.0,44.0,135.0,41.0,201.0
798,0.0,1.0,2.0,17.0,3.0,4.0,13.0,8.0,55.0,5.0,14.0,6.0,9.0,7.0,37.0,69.0,26.0,21.0,30.0,43.0,626.0,119.0,10.0,86.0,151.0,20.0,16.0,67.0,11.0,169.0
847,0.0,3.0,1.0,4.0,7.0,5.0,10.0,22.0,25.0,6.0,35.0,12.0,26.0,102.0,20.0,72.0,38.0,11.0,24.0,65.0,544.0,63.0,8.0,49.0,436.0,121.0,29.0,92.0,13.0,58.0
896,0.0,1.0,2.0,33.0,17.0,5.0,3.0,26.0,9.0,4.0,10.0,8.0,21.0,14.0,30.0,165.0,144.0,39.0,28.0,12.0,239.0,34.0,6.0,78.0,207.0,93.0,7.0,47.0,16.0,116.0
945,1.0,0.0,2.0,5.0,4.0,11.0,3.0,15.0,20.0,8.0,6.0,9.0,10.0,81.0,116.0,627.0,72.0,18.0,14.0,12.0,492.0,68.0,7.0,22.0,71.0,324.0,79.0,42.0,297.0,70.0
994,4.0,1.0,0.0,6.0,3.0,5.0,165.0,13.0,378.0,23.0,37.0,84.0,2.0,12.0,31.0,193.0,21.0,141.0,7.0,598.0,14.0,8.0,11.0,364.0,71.0,417.0,136.0,81.0,45.0,244.0
1043,0.0,1.0,42.0,3.0,4.0,2.0,13.0,15.0,38.0,22.0,55.0,20.0,369.0,28.0,5.0,184.0,40.0,188.0,7.0,374.0,48.0,6.0,77.0,176.0,137.0,46.0,135.0,243.0,147.0,18.0
1092,0.0,1.0,2.0,6.0,9.0,3.0,85.0,33.0,96.0,22.0,17.0,76.0,41.0,12.0,11.0,42.0,13.0,61.0,63.0,107.0,37.0,7.0,16.0,19.0,604.0,528.0,145.0,106.0,101.0,105.0
1141,3.0,0.0,2.0,4.0,5.0,1.0,23.0,7.0,12.0,11.0,24.0,8.0,281.0,525.0,130.0,21.0,207.0,91.0,76.0,120.0,500.0,6.0,20.0,116.0,19.0,519.0,136.0,334.0,32.0,379.0
1190,0.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,13.0,44.0,74.0,90.0,193.0,152.0,25.0,262.0,33.0,97.0,26.0,29.0,242.0,9.0,102.0,186.0,113.0,137.0,151.0,112.0,22.0,504.0
1239,1.0,2.0,0.0,3.0,5.0,36.0,79.0,6.0,15.0,4.0,107.0,22.0,60.0,26.0,148.0,61.0,98.0,13.0,114.0,40.0,12.0,7.0,14.0,78.0,63.0,192.0,51.0,348.0,39.0,89.0
1288,0.0,2.0,6.0,4.0,5.0,7.0,357.0,1.0,25.0,27.0,101.0,26.0,134.0,11.0,8.0,172.0,15.0,21.0,30.0,12.0,33.0,151.0,19.0,80.0,90.0,323.0,16.0,75.0,113.0,59.0
1337,0.0,2.0,4.0,8.0,1.0,24.0,17.0,3.0,23.0,9.0,14.0,190.0,174.0,19.0,5.0,34.0,37.0,32.0,11.0,16.0,96.0,7.0,10.0,15.0,54.0,272.0,25.0,102.0,6.0,42.0
1386,0.0,3.0,1.0,5.0,8.0,29.0,4.0,10.0,41.0,2.0,64.0,198.0,12.0,30.0,9.0,32.0,16.0,54.0,60.0,410.0,21.0,7.0,67.0,6.0,24.0,15.0,56.0,84.0,17.0,37.0
1435,1.0,0.0,2.0,7.0,3.0,12.0,5.0,8.0,508.0,4.0,9.0,282.0,49.0,10.0,6.0,83.0,11.0,18.0,89.0,93.0,41.0,36.0,157.0,301.0,17.0,22.0,15.0,47.0,80.0,62.0
1484,0.0,14.0,6.0,7.0,3.0,1.0,9.0,19.0,8.0,111.0,29.0,5.0,48.0,266.0,2.0,13.0,21.0,24.0,26.0,33.0,259.0,22.0,39.0,28.0,142.0,4.0,76.0,177.0,11.0,12.0
1533,0.0,5.0,4.0,22.0,1.0,3.0,6.0,17.0,7.0,15.0,9.0,30.0,10.0,417.0,14.0,225.0,21.0,487.0,16.0,11.0,627.0,8.0,121.0,57.0,64.0,2.0,74.0,216.0,18.0,323.0
1582,0.0,7.0,8.0,2.0,1.0,6.0,5.0,275.0,9.0,38.0,194.0,49.0,36.0,400.0,71.0,100.0,53.0,149.0,3.0,88.0,32.0,4.0,41.0,12.0,74.0,15.0,60.0,66.0,21.0,26.0
1631,0.0,1.0,6.0,9.0,3.0,12.0,5.0,10.0,4.0,8.0,7.0,16.0,14.0,447.0,45.0,164.0,36.0,94.0,2.0,18.0,206.0,17.0,20.0,80.0,26.0,19.0,28.0,245.0,46.0,144.0
1680,0.0,1.0,5.0,6.0,3.0,22.0,9.0,20.0,2.0,4.0,8.0,35.0,13.0,86.0,11.0,36.0,44.0,27.0,19.0,18.0,43.0,7.0,25.0,309.0,10.0,23.0,16.0,48.0,32.0,42.0
1729,0.0,4.0,6.0,3.0,24.0,10.0,1.0,7.0,17.0,11.0,9.0,49.0,12.0,506.0,13.0,191.0,25.0,55.0,21.0,27.0,104.0,237.0,15.0,238.0,18.0,19.0,5.0,43.0,103.0,34.0
1778,0.0,2.0,10.0,79.0,1.0,16.0,3.0,7.0,4.0,6.0,17.0,286.0,18.0,67.0,36.0,246.0,29.0,24.0,12.0,11.0,188.0,338.0,90.0,8.0,46.0,47.0,20.0,32.0,85.0,174.0
1827,0.0,1.0,7.0,4.0,9.0,10.0,2.0,5.0,24.0,3.0,54.0,82.0,328.0,352.0,51.0,373.0,13.0,41.0,284.0,35.0,28.0,11.0,16.0,66.0,109.0,263.0,17.0,25.0,84.0,262.0
1876,0.0,5.0,16.0,12.0,1.0,34.0,11.0,62.0,3.0,27.0,13.0,47.0,83.0,600.0,51.0,111.0,17.0,42.0,222.0,53.0,7.0,8.0,20.0,46.0,45.0,41.0,2.0,88.0,126.0,71.0
1925,0.0,1.0,2.0,6.0,11.0,13.0,4.0,43.0,3.0,17.0,5.0,10.0,27.0,177.0,37.0,105.0,26.0,19.0,131.0,55.0,41.0,106.0,14.0,340.0,12.0,8.0,23.0,51.0,62.0,121.0
1974,0.0,10.0,4.0,2.0,3.0,1.0,12.0,13.0,16.0,111.0,18.0,24.0,29.0,206.0,8.0,6.0,54.0,129.0,151.0,21.0,46.0,185.0,270.0,7.0,19.0,23.0,154.0,37.0,14.0,35.0
2023,2.0,6.0,5.0,1.0,0.0,3.0,9.0,4.0,21.0,69.0,14.0,199.0,203.0,99.0,10.0,209.0,41.0,294.0,156.0,317.0,26.0,104.0,181.0,58.0,23.0,38.0,526.0,20.0,126.0,15.0
2072,0.0,4.0,8.0,2.0,1.0,6.0,17.0,20.0,10.0,12.0,75.0,56.0,422.0,386.0,9.0,49.0,19.0,215.0,254.0,253.0,15.0,7.0,29.0,30.0,248.0,21.0,11.0,51.0,24.0,27.0
2121,0.0,2.0,8.0,1.0,3.0,5.0,12.0,51.0,17.0,592.0,18.0,336.0,53.0,76.0,41.0,6.0,9.0,278.0,36.0,159.0,10.0,142.0,66.0,7.0,79.0,306.0,61.0,25.0,91.0,108.0
2170,0.0,5.0,4.0,1.0,2.0,17.0,18.0,13.0,36.0,145.0,20.0,90.0,93.0,8.0,7.0,29.0,39.0,10.0,286.0,242.0,45.0,117.0,42.0,22.0,16.0,252.0,317.0,33.0,102.0,6.0
2219,0.0,10.0,8.0,1.0,2.0,6.0,14.0,5.0,88.0,199.0,101.0,20.0,66.0,7.0,24.0,4.0,76.0,9.0,168.0,18.0,32.0,330.0,201.0,11.0,85.0,31.0,47.0,61.0,340.0,19.0
2268,0.0,1.0,10.0,7.0,17.0,21.0,5.0,3.0,4.0,2.0,28.0,49.0,330.0,52.0,22.0,38.0,37.0,25.0,58.0,39.0,19.0,47.0,11.0,48.0,18.0,78.0,67.0,34.0,26.0,13.0
2317,0.0,3.0,9.0,8.0,1.0,19.0,5.0,2.0,20.0,17.0,18.0,226.0,592.0,7.0,10.0,6.0,33.0,39.0,23.0,26.0,408.0,156.0,193.0,153.0,53.0,70.0,89.0,42.0,297.0,22.0
2366,0.0,2.0,3.0,1.0,4.0,22.0,23.0,19.0,41.0,91.0,63.0,380.0,92.0,16.0,12.0,6.0,179.0,38.0,39.0,8.0,300.0,80.0,5.0,28.0,33.0,185.0,161.0,58.0,116.0,59.0
2415,0.0,2.0,8.0,3.0,1.0,38.0,11.0,15.0,234.0,91.0,33.0,82.0,24.0,4.0,16.0,20.0,265.0,13.0,95.0,46.0,409.0,370.0,62.0,17.0,135.0,310.0,187.0,42.0,50.0,10.0
2464,0.0,3.0,7.0,6.0,9.0,1.0,2.0,199.0,4.0,49.0,87.0,5.0,16.0,104.0,23.0,35.0,12.0,15.0,17.0,21.0,270.0,510.0,28.0,95.0,18.0,600.0,22.0,43.0,46.0,531.0
2513,0.0,4.0,2.0,3.0,6.0,7.0,11.0,21.0,1.0,27.0,158.0,17.0,24.0,116.0,15.0,72.0,54.0,156.0,12.0,23.0,316.0,139.0,26.0,85.0,29.0,68.0,53.0,39.0,42.0,192.0
2562,0.0,1.0,8.0,19.0,4.0,12.0,3.0,5.0,11.0,10.0,136.0,64.0,22.0,264.0,23.0,20.0,21.0,16.0,27.0,93.0,52.0,87.0,53.0,13.0,14.0,464.0,49.0,24.0,2.0,242.0
2611,0.0,1.0,3.0,4.0,6.0,2.0,5.0,280.0,20.0,12.0,28.0,67.0,105.0,402.0,30.0,101.0,36.0,8.0,22.0,93.0,107.0,60.0,10.0,174.0,23.0,58.0,73.0,21.0,7.0,202.0
2660,0.0,7.0,5.0,3.0,1.0,4.0,104.0,55.0,2.0,396.0,25.0,6.0,20.0,391.0,23.0,15.0,232.0,19.0,9.0,13.0,483.0,77.0,27.0,373.0,29.0,142.0,439.0,49.0,18.0,165.0
2709,0.0,7.0,14.0,2.0,3.0,1.0,13.0,24.0,4.0,6.0,87.0,44.0,74.0,309.0,19.0,9.0,12.0,57.0,5.0,141.0,30.0,146.0,39.0,33.0,20.0,481.0,40.0,60.0,426.0,121.0
2758,0.0,2.0,3.0,4.0,7.0,6.0,8.0,85.0,5.0,24.0,121.0,10.0,13.0,118.0,11.0,75.0,188.0,59.0,1.0,360.0,307.0,162.0,9.0,31.0,174.0,60.0,32.0,96.0,44.0,212.0
2807,0.0,2.0,1.0,3.0,4.0,25.0,18.0,11.0,14.0,19.0,207.0,85.0,9.0,20.0,31.0,12.0,6.0,24.0,23.0,47.0,7.0,56.0,130.0,32.0,51.0,68.0,65.0,17.0,15.0,335.0
2856,0.0,1.0,4.0,2.0,7.0,33.0,14.0,17.0,8.0,3.0,21.0,29.0,18.0,9.0,5.0,13.0,27.0,189.0,23.0,101.0,43.0,35.0,15.0,98.0,30.0,480.0,38.0,80.0,22.0,26.0
2905,0.0,3.0,5.0,2.0,1.0,4.0,9.0,16.0,6.0,12.0,37.0,19.0,33.0,8.0,21.0,143.0,23.0,485.0,448.0,381.0,13.0,47.0,59.0,29.0,67.0,276.0,220.0,45.0,51.0,302.0
2954,0.0,3.0,1.0,26.0,12.0,2.0,4.0,90.0,16.0,14.0,10.0,31.0,23.0,24.0,56.0,38.0,167.0,22.0,239.0,61.0,152.0,469.0,427.0,68.0,80.0,224.0,436.0,205.0,34.0,44.0
3003,1.0,0.0,2.0,38.0,5.0,4.0,3.0,17.0,16.0,7.0,39.0,74.0,8.0,26.0,11.0,59.0,21.0,145.0,117.0,40.0,12.0,50.0,93.0,22.0,32.0,73.0,154.0,420.0,28.0,18.0
3052,3.0,1.0,5.0,8.0,2.0,0.0,29.0,58.0,10.0,6.0,52.0,87.0,4.0,111.0,46.0,13.0,254.0,11.0,99.0,159.0,35.0,22.0,92.0,9.0,54.0,199.0,296.0,422.0,71.0,21.0
3101,1.0,0.0,2.0,10.0,5.0,15.0,11.0,13.0,17.0,9.0,6.0,43.0,4.0,35.0,49.0,18.0,73.0,3.0,242.0,314.0,302.0,278.0,193.0,14.0,51.0,20.0,38.0,219.0,231.0,47.0
3150,1.0,0.0,2.0,55.0,31.0,4.0,6.0,34.0,46.0,5.0,3.0,36.0,18.0,9.0,579.0,129.0,7.0,61.0,37.0,35.0,235.0,341.0,23.0,43.0,17.0,123.0,157.0,50.0,30.0,29.0
3199,0.0,14.0,4.0,2.0,9.0,5.0,3.0,90.0,13.0,6.0,10.0,27.0,1.0,46.0,446.0,8.0,15.0,102.0,87.0,45.0,358.0,28.0,7.0,218.0,20.0,19.0,18.0,31.0,63.0,30.0
3248,2.0,0.0,42.0,10.0,21.0,4.0,1.0,9.0,23.0,17.0,13.0,3.0,11.0,12.0,31.0,15.0,5.0,126.0,18.0,290.0,107.0,85.0,80.0,55.0,6.0,14.0,338.0,161.0,146.0,47.0
3297,9.0,3.0,2.0,0.0,1.0,7.0,4.0,41.0,10.0,18.0,35.0,6.0,33.0,59.0,81.0,14.0,5.0,248.0,194.0,150.0,145.0,366.0,31.0,66.0,8.0,12.0,21.0,42.0,205.0,65.0
3346,0.0,2.0,3.0,5.0,7.0,6.0,17.0,162.0,55.0,1.0,29.0,86.0,9.0,12.0,50.0,10.0,4.0,66.0,132.0,122.0,44.0,15.0,237.0,313.0,43.0,22.0,13.0,88.0,14.0,143.0
3395,0.0,1.0,3.0,2.0,4.0,5.0,6.0,61.0,43.0,9.0,14.0,11.0,17.0,25.0,281.0,35.0,28.0,33.0,130.0,18.0,58.0,110.0,169.0,78.0,22.0,10.0,31.0,71.0,7.0,90.0
3444,1.0,0.0,3.0,5.0,11.0,2.0,13.0,12.0,9.0,87.0,7.0,16.0,215.0,28.0,68.0,97.0,131.0,574.0,4.0,437.0,59.0,136.0,90.0,33.0,153.0,115.0,196.0,35.0,24.0,34.0
3493,1.0,0.0,2.0,4.0,97.0,3.0,22.0,150.0,16.0,15.0,6.0,8.0,167.0,520.0,58.0,24.0,26.0,155.0,14.0,105.0,94.0,7.0,29.0,12.0,483.0,49.0,93.0,157.0,17.0,43.0
3542,1.0,2.0,0.0,42.0,9.0,5.0,12.0,30.0,11.0,21.0,7.0,14.0,305.0,20.0,24.0,13.0,6.0,410.0,3.0,538.0,534.0,8.0,97.0,68.0,150.0,114.0,4.0,191.0,16.0,104.0
3591,0.0,2.0,6.0,5.0,4.0,1.0,7.0,8.0,14.0,17.0,3.0,13.0,466.0,16.0,24.0,216.0,212.0,257.0,45.0,201.0,11.0,12.0,123.0,50.0,32.0,179.0,175.0,386.0,66.0,23.0
3640,0.0,3.0,5.0,33.0,30.0,1.0,9.0,7.0,10.0,14.0,6.0,2.0,552.0,20.0,16.0,118.0,36.0,265.0,79.0,84.0,40.0,37.0,96.0,24.0,31.0,92.0,29.0,78.0,70.0,15.0
3689,0.0,5.0,1.0,6.0,4.0,2.0,8.0,47.0,14.0,12.0,10.0,17.0,585.0,15.0,34.0,19.0,62.0,51.0,43.0,26.0,20.0,48.0,461.0,162.0,572.0,3.0,7.0,84.0,85.0,41.0
3738,1.0,0.0,4.0,11.0,15.0,2.0,65.0,70.0,17.0,8.0,7.0,3.0,281.0,21.0,12.0,32.0,38.0,36.0,9.0,20.0,22.0,19.0,69.0,386.0,113.0,48.0,84.0,35.0,34.0,39.0
3787,0.0,3.0,6.0,17.0,15.0,4.0,1.0,2.0,5.0,16.0,22.0,42.0,286.0,13.0,25.0,14.0,150.0,100.0,20.0,425.0,8.0,26.0,136.0,29.0,274.0,7.0,38.0,108.0,33.0,123.0
3836,0.0,2.0,11.0,10.0,41.0,3.0,9.0,48.0,18.0,33.0,6.0,1.0,62.0,16.0,19.0,22.0,290.0,25.0,13.0,219.0,7.0,4.0,232.0,122.0,99.0,5.0,47.0,119.0,323.0,55.0
3885,0.0,1.0,5.0,30.0,16.0,2.0,4.0,7.0,37.0,6.0,24.0,12.0,57.0,8.0,147.0,71.0,72.0,18.0,335.0,198.0,23.0,39.0,175.0,40.0,15.0,54.0,78.0,349.0,167.0,11.0
3934,1.0,0.0,2.0,3.0,25.0,8.0,15.0,13.0,9.0,4.0,10.0,5.0,74.0,213.0,35.0,6.0,23.0,7.0,21.0,59.0,508.0,191.0,95.0,53.0,432.0,48.0,12.0,45.0,119.0,233.0
3983,0.0,1.0,5.0,2.0,14.0,6.0,193.0,20.0,11.0,19.0,9.0,10.0,23.0,17.0,29.0,7.0,35.0,3.0,175.0,33.0,345.0,78.0,161.0,47.0,104.0,27.0,201.0,297.0,245.0,22.0
4032,2.0,0.0,1.0,3.0,5.0,12.0,63.0,224.0,14.0,6.0,4.0,26.0,53.0,27.0,57.0,9.0,41.0,7.0,23.0,42.0,21.0,129.0,93.0,29.0,226.0,50.0,11.0,54.0,36.0,32.0
4081,0.0,1.0,2.0,23.0,10.0,4.0,26.0,8.0,3.0,5.0,22.0,11.0,88.0,6.0,12.0,14.0,32.0,7.0,108.0,74.0,9.0,29.0,181.0,52.0,82.0,27.0,210.0,15.0,79.0,147.0
4130,3.0,1.0,0.0,6.0,19.0,18.0,49.0,12.0,31.0,249.0,2.0,17.0,51.0,143.0,5.0,4.0,23.0,35.0,41.0,45.0,145.0,29.0,120.0,39.0,28.0,67.0,97.0,151.0,26.0,96.0
4179,1.0,0.0,2.0,3.0,13.0,10.0,18.0,17.0,67.0,34.0,4.0,15.0,71.0,72.0,33.0,51.0,60.0,11.0,14.0,32.0,62.0,8.0,200.0,9.0,361.0,75.0,195.0,7.0,68.0,205.0
4228,0.0,1.0,5.0,9.0,23.0,2.0,43.0,12.0,4.0,178.0,6.0,32.0,15.0,34.0,74.0,14.0,313.0,25.0,488.0,105.0,164.0,29.0,31.0,7.0,274.0,24.0,269.0,8.0,207.0,48.0
4277,1.0,0.0,3.0,25.0,43.0,9.0,58.0,40.0,14.0,322.0,7.0,6.0,15.0,2.0,20.0,4.0,213.0,5.0,63.0,29.0,72.0,17.0,51.0,26.0,12.0,8.0,22.0,16.0,524.0,27.0
4326,0.0,1.0,3.0,100.0,10.0,6.0,4.0,7.0,2.0,163.0,20.0,28.0,50.0,21.0,81.0,15.0,348.0,14.0,8.0,313.0,455.0,57.0,89.0,62.0,23.0,5.0,166.0,18.0,22.0,157.0
4375,0.0,1.0,3.0,584.0,2.0,4.0,54.0,181.0,27.0,64.0,26.0,23.0,8.0,6.0,36.0,15.0,61.0,104.0,7.0,345.0,120.0,90.0,39.0,77.0,93.0,5.0,44.0,73.0,66.0,21.0
4424,1.0,17.0,2.0,0.0,5.0,61.0,16.0,13.0,3.0,20.0,181.0,33.0,68.0,38.0,73.0,49.0,254.0,370.0,431.0,4.0,10.0,82.0,48.0,40.0,102.0,116.0,23.0,29.0,7.0,6.0
4473,0.0,2.0,7.0,3.0,5.0,6.0,54.0,110.0,1.0,94.0,311.0,257.0,15.0,8.0,29.0,25.0,9.0,16.0,267.0,55.0,62.0,321.0,65.0,624.0,27.0,280.0,58.0,19.0,179.0,31.0
4522,0.0,2.0,5.0,1.0,3.0,6.0,21.0,57.0,51.0,96.0,103.0,11.0,80.0,48.0,60.0,4.0,15.0,88.0,197.0,41.0,23.0,43.0,13.0,217.0,33.0,16.0,34.0,40.0,7.0,8.0
4571,0.0,4.0,2.0,1.0,5.0,7.0,313.0,3.0,185.0,34.0,28.0,100.0,101.0,19.0,74.0,16.0,29.0,55.0,260.0,26.0,32.0,44.0,81.0,470.0,157.0,77.0,57.0,10.0,98.0,82.0
4620,0.0,1.0,5.0,6.0,9.0,4.0,212.0,48.0,92.0,55.0,12.0,11.0,41.0,56.0,28.0,10.0,99.0,50.0,484.0,13.0,34.0,65.0,8.0,289.0,7.0,187.0,164.0,37.0,2.0,24.0
4669,1.0,0.0,2.0,3.0,9.0,10.0,86.0,16.0,27.0,44.0,59.0,15.0,327.0,35.0,8.0,5.0,103.0,19.0,300.0,21.0,166.0,65.0,7.0,336.0,243.0,17.0,95.0,30.0,239.0,201.0
4718,0.0,3.0,2.0,5.0,4.0,1.0,87.0,114.0,26.0,29.0,8.0,12.0,300.0,162.0,203.0,22.0,23.0,124.0,24.0,7.0,11.0,64.0,153.0,131.0,17.0,112.0,35.0,119.0,10.0,9.0
4767,0.0,3.0,1.0,7.0,8.0,2.0,18.0,52.0,44.0,9.0,162.0,123.0,13.0,27.0,147.0,30.0,105.0,91.0,41.0,47.0,19.0,15.0,92.0,106.0,83.0,25.0,82.0,46.0,23.0,6.0
4816,1.0,25.0,0.0,2.0,3.0,13.0,98.0,30.0,165.0,111.0,219.0,238.0,18.0,23.0,14.0,32.0,277.0,131.0,115.0,22.0,20.0,33.0,261.0,58.0,137.0,90.0,104.0,8.0,4.0,27.0
4865,0.0,13.0,2.0,15.0,9.0,1.0,31.0,10.0,14.0,6.0,163.0,16.0,12.0,11.0,94.0,38.0,560.0,289.0,43.0,5.0,17.0,34.0,138.0,295.0,8.0,40.0,24.0,57.0,22.0,145.0
