,FAM190A_DEL,BRAF.V600E_MUT,BRAF_MUT,SGCZ_DEL,PRCP_AMP,FARS2_DEL,SNORA70E_AMP,SETD9_DEL,TRIM37_MUT,CACNA2D3_DEL,MAST4_DEL,KSR2_DEL,MIR4490_DEL,C11orf82_AMP,ZNF705G_AMP,TET2_DEL,PCF11_AMP,FLT1_MUT,ANKRD42_AMP,PAPPA_MUT,LOC100506233_AMP,GLB1L2_DEL,RGPD4_AMP,CCDC90B_AMP,HDAC2_MUT,JARID2_DEL,EGFR_MUT,PAXIP1_MUT,SH3KBP1_DEL,SNX19_DEL
816,1.0,25.0,5.0,57.0,46.0,21083.0,89.0,1000.0,16594.0,58.0,4.0,21.0,414.0,895.0,7.0,3.0,72.0,1149.0,526.0,87.0,22.0,9120.0,1213.0,320.0,229.0,41.0,28.0,181.0,44.0,4558.0
865,6.0,0.0,2.0,1.0,730.0,21.0,15833.0,125.0,16499.0,468.0,20.0,7230.0,207.0,314.0,3.0,2016.0,284.0,121.0,43.0,50.0,15871.0,132.0,1135.0,40.0,173.0,71.0,27.0,28.0,182.0,51.0
914,0.0,88.0,33.0,14.0,14363.0,51.0,3937.0,35.0,2152.0,651.0,65.0,402.0,21.0,16998.0,9.0,36.0,14850.0,205.0,18792.0,194.0,3977.0,10835.0,46.0,16019.0,13.0,215.0,2.0,10881.0,60.0,3886.0
963,0.0,4.0,2.0,1.0,268.0,141.0,115.0,218.0,1089.0,688.0,3559.0,204.0,37.0,49.0,96.0,69.0,103.0,3111.0,372.0,273.0,229.0,17.0,15.0,82.0,112.0,86.0,1799.0,61.0,182.0,158.0
1012,928.0,37.0,103.0,1.0,1787.0,36.0,1759.0,2.0,1319.0,9.0,368.0,35.0,3.0,90.0,53.0,65.0,258.0,0.0,47.0,378.0,43.0,61.0,1405.0,203.0,391.0,40.0,546.0,122.0,511.0,23.0
1061,152.0,1.0,6.0,24.0,4.0,256.0,90.0,3.0,54.0,63.0,14.0,29.0,100.0,38.0,7.0,27.0,39.0,0.0,147.0,11.0,126.0,107.0,196.0,75.0,200.0,193.0,2353.0,13.0,94.0,65.0
1110,31.0,20.0,1.0,8.0,457.0,16.0,190.0,3.0,90.0,2891.0,10.0,6.0,17.0,44.0,0.0,35.0,139.0,9.0,306.0,182.0,117.0,32.0,224.0,458.0,316.0,1597.0,1384.0,18.0,177.0,257.0
1159,1.0,0.0,2.0,115.0,1666.0,123.0,634.0,12.0,237.0,65.0,104.0,16.0,3.0,125.0,5.0,26.0,276.0,45.0,91.0,190.0,981.0,2991.0,316.0,381.0,389.0,18.0,2926.0,4.0,408.0,367.0
1208,102.0,33.0,1646.0,1.0,518.0,81.0,29.0,11.0,16526.0,46.0,63.0,5.0,10.0,158.0,0.0,6.0,427.0,41.0,40.0,431.0,69.0,283.0,128.0,37.0,1489.0,1230.0,146.0,1251.0,315.0,151.0
1257,125.0,145.0,26.0,0.0,11.0,1207.0,30.0,15.0,21.0,12900.0,4872.0,60.0,354.0,2.0,34.0,612.0,265.0,57.0,22.0,36.0,59.0,129.0,883.0,21925.0,16526.0,570.0,2756.0,13.0,678.0,128.0
1306,55.0,35.0,31.0,3.0,53.0,1700.0,380.0,8.0,896.0,5.0,19.0,199.0,115.0,148.0,2.0,14.0,131.0,13.0,18386.0,11.0,414.0,20.0,2527.0,118.0,219.0,659.0,178.0,0.0,234.0,63.0
1355,119.0,3.0,31.0,2814.0,21.0,176.0,136.0,12.0,42.0,11892.0,44.0,5.0,73.0,32.0,7.0,112.0,411.0,6.0,66.0,249.0,521.0,137.0,3173.0,21436.0,740.0,396.0,1865.0,103.0,4152.0,68.0
1404,12.0,320.0,54.0,30.0,70.0,26.0,610.0,19.0,16455.0,9.0,98.0,6701.0,8.0,144.0,92.0,4.0,82.0,3.0,185.0,21.0,890.0,228.0,868.0,21927.0,2751.0,303.0,27.0,49.0,97.0,178.0
1453,0.0,1.0,4.0,18.0,56.0,13.0,34.0,5.0,16554.0,68.0,33.0,80.0,17.0,647.0,8.0,11.0,401.0,3024.0,15223.0,2925.0,846.0,98.0,3.0,397.0,171.0,3813.0,16613.0,333.0,3410.0,72.0
1502,4.0,1.0,2.0,9.0,14.0,51.0,12.0,41.0,878.0,134.0,15.0,81.0,328.0,28.0,3.0,19.0,31.0,1221.0,40.0,3172.0,664.0,491.0,17.0,539.0,481.0,283.0,6.0,286.0,1526.0,4005.0
1551,32.0,33.0,3.0,192.0,19.0,36.0,45.0,5845.0,24.0,272.0,277.0,477.0,75.0,8.0,57.0,1208.0,27.0,4.0,67.0,1690.0,0.0,22.0,94.0,43.0,1129.0,484.0,58.0,203.0,69.0,16.0
1600,0.0,48.0,4.0,34.0,77.0,250.0,66.0,9.0,15.0,19.0,67.0,253.0,280.0,29.0,2.0,476.0,80.0,84.0,1106.0,361.0,24.0,28.0,27.0,6.0,53.0,89.0,46.0,346.0,184.0,87.0
1649,232.0,1.0,0.0,121.0,45.0,69.0,141.0,375.0,127.0,3104.0,171.0,719.0,60.0,294.0,14.0,116.0,12.0,1419.0,24.0,2.0,1045.0,372.0,16.0,122.0,487.0,4276.0,385.0,462.0,198.0,248.0
1698,1.0,3.0,2.0,3173.0,31.0,416.0,78.0,4.0,9.0,67.0,638.0,29.0,95.0,116.0,42.0,10783.0,104.0,109.0,63.0,241.0,607.0,9049.0,19.0,196.0,426.0,274.0,11.0,25.0,440.0,4460.0
1747,3.0,169.0,2.0,13.0,17.0,4.0,20.0,0.0,361.0,14.0,95.0,373.0,12.0,5.0,130.0,12040.0,49.0,1798.0,77.0,101.0,6611.0,47.0,183.0,299.0,1934.0,100.0,175.0,421.0,292.0,3313.0
1796,804.0,949.0,53.0,180.0,78.0,22.0,13.0,72.0,5.0,12569.0,115.0,212.0,16.0,195.0,8.0,463.0,161.0,6.0,15294.0,179.0,68.0,9059.0,4.0,131.0,21.0,700.0,26.0,1.0,425.0,99.0
1845,1.0,8.0,27.0,74.0,13.0,190.0,34.0,17.0,32.0,1211.0,18.0,6.0,35.0,2.0,0.0,137.0,96.0,142.0,21.0,111.0,351.0,834.0,183.0,4.0,78.0,69.0,100.0,72.0,235.0,3423.0
1894,0.0,15.0,16.0,545.0,88.0,17.0,289.0,4643.0,16591.0,692.0,276.0,96.0,12.0,9.0,19.0,337.0,37.0,332.0,384.0,902.0,300.0,76.0,22.0,244.0,45.0,578.0,3.0,185.0,1266.0,265.0
1943,4.0,6.0,0.0,80.0,9.0,32.0,36.0,19.0,12.0,12515.0,3.0,22.0,39.0,8.0,315.0,413.0,17.0,70.0,15.0,435.0,159.0,24.0,1766.0,272.0,2.0,62.0,97.0,182.0,3670.0,244.0
1992,4.0,6.0,0.0,12.0,851.0,42.0,15797.0,5645.0,88.0,16.0,1753.0,29.0,479.0,63.0,677.0,2.0,56.0,204.0,81.0,241.0,15834.0,9005.0,193.0,115.0,25.0,224.0,334.0,90.0,10.0,185.0
2041,1.0,2.0,0.0,453.0,8.0,40.0,23.0,162.0,16641.0,10.0,72.0,37.0,21.0,49.0,15987.0,10847.0,44.0,35.0,488.0,1176.0,16.0,5.0,3473.0,228.0,48.0,66.0,316.0,18.0,74.0,133.0
2090,7.0,4.0,6.0,13.0,476.0,2.0,968.0,648.0,289.0,27.0,32.0,20.0,96.0,111.0,2822.0,1.0,26.0,408.0,893.0,234.0,72.0,44.0,5.0,118.0,125.0,12.0,19.0,2394.0,5359.0,55.0
2139,0.0,2.0,1.0,51.0,22623.0,12.0,383.0,907.0,26.0,3.0,843.0,20.0,66.0,180.0,3333.0,119.0,273.0,70.0,406.0,16617.0,15853.0,5163.0,38.0,21693.0,447.0,44.0,6.0,683.0,227.0,1153.0
2188,8.0,1.0,0.0,1005.0,1754.0,55.0,1157.0,21220.0,38.0,236.0,4449.0,7412.0,2285.0,453.0,541.0,12013.0,407.0,1569.0,18409.0,151.0,7579.0,10848.0,1263.0,548.0,1214.0,400.0,319.0,3182.0,134.0,335.0
2237,0.0,10.0,3.0,2.0,13.0,4.0,123.0,42.0,14.0,68.0,684.0,15.0,359.0,120.0,895.0,135.0,252.0,133.0,963.0,34.0,283.0,309.0,56.0,155.0,31.0,38.0,70.0,88.0,16.0,149.0
2286,2.0,1.0,0.0,47.0,63.0,28.0,65.0,172.0,48.0,110.0,129.0,6.0,144.0,290.0,14.0,44.0,78.0,2337.0,13438.0,45.0,12.0,424.0,133.0,54.0,263.0,53.0,215.0,260.0,9.0,1333.0
2335,0.0,24.0,17.0,4.0,92.0,3.0,101.0,750.0,20.0,11.0,44.0,963.0,997.0,96.0,124.0,13.0,276.0,16743.0,102.0,399.0,18.0,9073.0,14.0,15.0,380.0,1.0,3151.0,23.0,39.0,3531.0
2384,40.0,11.0,3.0,19.0,24.0,4.0,796.0,460.0,9.0,0.0,279.0,3545.0,20949.0,106.0,3278.0,21.0,101.0,77.0,70.0,7.0,339.0,97.0,126.0,21425.0,909.0,229.0,841.0,10.0,750.0,259.0
2433,0.0,3.0,63.0,2.0,88.0,18.0,331.0,1526.0,22.0,303.0,21.0,30.0,242.0,17345.0,13.0,11601.0,330.0,414.0,2258.0,8977.0,386.0,10700.0,59.0,108.0,1094.0,23.0,1531.0,412.0,264.0,265.0
2482,1.0,9.0,36.0,44.0,32.0,8.0,35.0,169.0,15.0,73.0,17.0,4.0,34.0,396.0,103.0,10788.0,388.0,484.0,52.0,943.0,39.0,108.0,399.0,558.0,16522.0,978.0,217.0,363.0,94.0,197.0
2531,8.0,2.0,0.0,14.0,22.0,10.0,7.0,56.0,42.0,4.0,27.0,796.0,68.0,9.0,5.0,1119.0,366.0,54.0,17.0,3116.0,13.0,128.0,424.0,158.0,141.0,1133.0,1661.0,15.0,132.0,30.0
2580,1.0,98.0,3.0,468.0,307.0,0.0,7.0,728.0,15.0,74.0,8.0,155.0,269.0,25.0,381.0,10777.0,96.0,32.0,466.0,26.0,15897.0,5.0,83.0,106.0,81.0,287.0,89.0,6.0,132.0,131.0
2629,4.0,10.0,7.0,14.0,21.0,0.0,37.0,651.0,47.0,32.0,63.0,70.0,8.0,68.0,3320.0,253.0,294.0,69.0,23.0,25.0,376.0,44.0,3.0,146.0,16519.0,3502.0,103.0,27.0,74.0,132.0
2678,1.0,4.0,3.0,67.0,5.0,0.0,53.0,31.0,12.0,30.0,10.0,6693.0,75.0,299.0,13.0,28.0,85.0,2.0,396.0,108.0,6.0,149.0,460.0,35.0,114.0,595.0,38.0,95.0,276.0,192.0
2727,0.0,40.0,8.0,4.0,46.0,3.0,88.0,28.0,73.0,53.0,4605.0,114.0,18.0,62.0,1.0,7.0,79.0,148.0,31.0,26.0,141.0,54.0,39.0,1911.0,16505.0,89.0,16671.0,138.0,1454.0,213.0
2776,10.0,45.0,19.0,181.0,377.0,2.0,527.0,44.0,61.0,1441.0,314.0,58.0,20834.0,569.0,99.0,10847.0,110.0,77.0,13473.0,5.0,15888.0,174.0,13580.0,1084.0,98.0,3836.0,16679.0,30.0,25.0,173.0
2825,31.0,12.0,32.0,124.0,22615.0,96.0,15798.0,48.0,577.0,557.0,1477.0,616.0,276.0,529.0,19.0,201.0,954.0,1.0,15268.0,17.0,15838.0,26.0,140.0,21448.0,24.0,210.0,846.0,137.0,467.0,46.0
2874,0.0,18.0,4.0,109.0,125.0,76.0,54.0,21214.0,1487.0,1.0,108.0,84.0,15.0,64.0,19.0,2020.0,1201.0,20.0,111.0,288.0,9.0,110.0,52.0,163.0,177.0,4372.0,2.0,30.0,58.0,205.0
2923,0.0,29.0,65.0,30.0,1313.0,13.0,214.0,125.0,2.0,8.0,85.0,6617.0,229.0,555.0,1.0,10784.0,14751.0,142.0,102.0,418.0,666.0,5.0,13539.0,21442.0,1949.0,3870.0,16657.0,16793.0,3784.0,167.0
2972,9.0,21072.0,1.0,87.0,22600.0,0.0,577.0,527.0,140.0,14.0,77.0,134.0,20909.0,89.0,670.0,12900.0,361.0,1019.0,138.0,168.0,163.0,16.0,61.0,584.0,754.0,92.0,64.0,238.0,462.0,270.0
3021,1.0,17.0,145.0,50.0,103.0,1889.0,12.0,176.0,74.0,61.0,70.0,19.0,22.0,40.0,0.0,57.0,135.0,190.0,3.0,20.0,60.0,10669.0,1989.0,5.0,209.0,162.0,9.0,3055.0,561.0,5087.0
3070,0.0,237.0,12.0,93.0,74.0,1235.0,11.0,6.0,242.0,211.0,195.0,75.0,20105.0,48.0,3.0,139.0,40.0,44.0,220.0,76.0,719.0,31.0,89.0,41.0,30.0,72.0,10888.0,24.0,178.0,53.0
3119,0.0,83.0,55.0,120.0,62.0,383.0,9.0,15.0,354.0,203.0,30.0,23.0,16.0,118.0,77.0,1.0,33.0,210.0,78.0,24.0,18.0,3.0,31.0,80.0,93.0,4877.0,81.0,16822.0,3560.0,365.0
3168,0.0,298.0,41.0,44.0,77.0,21146.0,50.0,4721.0,4.0,57.0,10.0,186.0,40.0,289.0,76.0,11.0,20.0,19.0,26.0,32.0,2.0,939.0,1188.0,52.0,200.0,265.0,225.0,214.0,145.0,79.0
3217,0.0,3.0,11.0,3071.0,25.0,4.0,30.0,263.0,16485.0,199.0,15.0,9.0,401.0,46.0,1.0,112.0,14746.0,339.0,77.0,41.0,23.0,776.0,2778.0,7.0,1885.0,20.0,187.0,14.0,125.0,812.0
3266,0.0,8.0,11.0,284.0,22158.0,1.0,25.0,2311.0,93.0,33.0,173.0,28.0,46.0,49.0,2604.0,120.0,75.0,5.0,856.0,2.0,94.0,154.0,31.0,163.0,16532.0,23.0,6.0,7.0,267.0,290.0
3315,0.0,145.0,17.0,67.0,16.0,49.0,4.0,136.0,1271.0,608.0,894.0,19.0,23.0,18.0,169.0,567.0,106.0,108.0,44.0,8.0,15.0,34.0,3187.0,120.0,253.0,48.0,16632.0,848.0,1855.0,103.0
3364,0.0,1887.0,19.0,1389.0,62.0,161.0,11.0,20479.0,1947.0,95.0,109.0,18.0,19868.0,87.0,119.0,2252.0,324.0,47.0,15.0,71.0,280.0,111.0,1736.0,46.0,2632.0,3600.0,182.0,736.0,30.0,5315.0
3413,3.0,62.0,83.0,0.0,14.0,15.0,11.0,5673.0,466.0,2948.0,30.0,8.0,112.0,79.0,872.0,9.0,44.0,144.0,19.0,1.0,222.0,9060.0,13086.0,163.0,24.0,4656.0,7.0,108.0,1319.0,389.0
3462,0.0,11.0,7.0,1.0,51.0,54.0,2.0,41.0,6.0,24.0,156.0,49.0,28.0,33.0,257.0,101.0,78.0,208.0,9.0,86.0,20.0,244.0,16.0,657.0,75.0,267.0,27.0,1723.0,133.0,243.0
3511,11.0,2.0,0.0,7.0,57.0,44.0,40.0,5.0,16599.0,18.0,55.0,46.0,52.0,104.0,604.0,689.0,126.0,112.0,45.0,51.0,41.0,9031.0,27.0,124.0,80.0,1969.0,22.0,78.0,235.0,4693.0
3560,0.0,11.0,3.0,6.0,23.0,661.0,53.0,2.0,156.0,37.0,16.0,56.0,146.0,382.0,26.0,1366.0,139.0,18.0,261.0,76.0,14.0,10879.0,25.0,677.0,1360.0,52.0,54.0,10916.0,1521.0,182.0
3609,32.0,5.0,2.0,0.0,47.0,11.0,90.0,1.0,43.0,866.0,4789.0,212.0,370.0,15.0,1972.0,18.0,36.0,177.0,258.0,128.0,114.0,8998.0,17.0,395.0,16500.0,851.0,621.0,228.0,81.0,594.0
3658,1.0,3.0,25.0,0.0,29.0,34.0,17.0,2.0,6.0,8.0,21.0,39.0,33.0,61.0,7238.0,12.0,321.0,14.0,134.0,30.0,20694.0,10585.0,118.0,18.0,11.0,31.0,7.0,8581.0,3720.0,1233.0
3707,126.0,11.0,4.0,0.0,6.0,13.0,16.0,25.0,7.0,32.0,325.0,6783.0,67.0,70.0,968.0,58.0,20.0,252.0,43.0,760.0,12.0,9091.0,450.0,22.0,94.0,1374.0,31.0,40.0,169.0,211.0
3756,2.0,155.0,0.0,12.0,14041.0,9.0,411.0,7.0,77.0,11.0,6.0,129.0,252.0,423.0,5545.0,132.0,40.0,107.0,20.0,171.0,334.0,28.0,22.0,384.0,135.0,112.0,102.0,250.0,1636.0,30.0
3805,3.0,6.0,14.0,87.0,19.0,275.0,20.0,0.0,40.0,2.0,9.0,2152.0,30.0,34.0,2263.0,128.0,37.0,598.0,25.0,12.0,85.0,1173.0,7.0,22.0,154.0,1252.0,47.0,220.0,190.0,96.0
3854,4.0,1.0,3.0,13.0,30.0,94.0,0.0,2.0,18.0,32.0,66.0,377.0,69.0,96.0,3096.0,42.0,6.0,168.0,40.0,23.0,21.0,439.0,35.0,21523.0,73.0,130.0,16706.0,5.0,610.0,340.0
3903,1132.0,131.0,66.0,13.0,6.0,31.0,21.0,53.0,7.0,11.0,14.0,311.0,23.0,121.0,1255.0,10678.0,91.0,0.0,245.0,124.0,15848.0,234.0,4.0,41.0,8.0,60.0,82.0,219.0,176.0,105.0
3952,1.0,28.0,20.0,681.0,15.0,81.0,22.0,10.0,1510.0,255.0,74.0,443.0,20862.0,44.0,907.0,1888.0,33.0,507.0,130.0,0.0,15923.0,9055.0,65.0,67.0,323.0,120.0,910.0,4.0,697.0,223.0
4001,0.0,157.0,67.0,13.0,1.0,21142.0,3.0,6.0,33.0,2094.0,503.0,418.0,20845.0,38.0,948.0,260.0,63.0,16800.0,77.0,76.0,37.0,757.0,4.0,21477.0,70.0,21.0,227.0,3156.0,367.0,3001.0
4050,0.0,83.0,291.0,1.0,18.0,2.0,5.0,17.0,99.0,15.0,112.0,100.0,198.0,8.0,928.0,191.0,21.0,16753.0,159.0,2615.0,82.0,4644.0,105.0,131.0,1166.0,53.0,16681.0,80.0,49.0,11323.0
4099,14.0,83.0,287.0,208.0,941.0,17.0,70.0,19.0,111.0,44.0,4742.0,6686.0,20903.0,170.0,15946.0,60.0,134.0,2989.0,925.0,9.0,41.0,8998.0,1256.0,22.0,219.0,71.0,16651.0,675.0,54.0,3782.0
4148,68.0,26.0,12.0,45.0,17.0,73.0,4.0,33.0,1.0,353.0,4651.0,1150.0,662.0,15.0,2212.0,548.0,14879.0,640.0,106.0,10.0,216.0,9098.0,13566.0,21919.0,2155.0,36.0,16679.0,141.0,480.0,59.0
4197,0.0,18.0,12.0,15.0,2.0,33.0,6.0,11.0,44.0,61.0,633.0,637.0,20863.0,178.0,3286.0,5.0,57.0,16770.0,94.0,4.0,19.0,9077.0,279.0,21456.0,73.0,63.0,697.0,325.0,258.0,4279.0
4246,3.0,44.0,28.0,27.0,19.0,46.0,8.0,96.0,51.0,18.0,185.0,57.0,357.0,45.0,401.0,7.0,94.0,658.0,126.0,1.0,40.0,9135.0,354.0,93.0,16539.0,442.0,284.0,391.0,55.0,4600.0
4295,19.0,145.0,318.0,2.0,258.0,82.0,108.0,645.0,61.0,317.0,257.0,161.0,551.0,13888.0,773.0,693.0,259.0,16746.0,822.0,4.0,44.0,9078.0,241.0,21475.0,216.0,598.0,2592.0,135.0,190.0,3715.0
4344,0.0,99.0,831.0,90.0,50.0,638.0,54.0,874.0,937.0,21.0,361.0,522.0,1160.0,13.0,15984.0,6.0,43.0,188.0,47.0,71.0,476.0,4224.0,285.0,73.0,169.0,1506.0,805.0,123.0,67.0,11150.0
4393,139.0,3.0,18.0,0.0,76.0,368.0,13.0,9.0,90.0,67.0,1843.0,812.0,20832.0,13951.0,106.0,54.0,286.0,102.0,70.0,5.0,7.0,8971.0,462.0,33.0,980.0,214.0,119.0,436.0,148.0,3699.0
4442,10.0,1.0,1401.0,2.0,22341.0,1214.0,15806.0,373.0,5.0,124.0,19.0,72.0,20838.0,379.0,1820.0,0.0,135.0,60.0,32.0,3206.0,708.0,128.0,56.0,27.0,140.0,14.0,336.0,426.0,448.0,4040.0
4491,124.0,9.0,0.0,162.0,42.0,21073.0,16.0,233.0,7.0,90.0,50.0,54.0,331.0,25.0,3170.0,450.0,102.0,16701.0,149.0,51.0,15847.0,79.0,508.0,21903.0,213.0,243.0,1373.0,16774.0,36.0,220.0
4540,46.0,11.0,4.0,2.0,32.0,730.0,102.0,5.0,34.0,36.0,65.0,1.0,183.0,17.0,275.0,26.0,93.0,220.0,15295.0,3234.0,15924.0,144.0,140.0,228.0,8.0,2165.0,92.0,2027.0,20.0,5085.0
4589,0.0,140.0,2.0,10.0,109.0,2066.0,16060.0,511.0,108.0,118.0,524.0,3581.0,14.0,33.0,344.0,11.0,14770.0,244.0,529.0,289.0,227.0,12.0,220.0,196.0,161.0,320.0,4.0,1036.0,24.0,11255.0
4638,4.0,3.0,5.0,0.0,365.0,437.0,888.0,45.0,158.0,624.0,8.0,33.0,91.0,24.0,1.0,14.0,367.0,11.0,887.0,16.0,15832.0,128.0,13038.0,29.0,6.0,1143.0,2532.0,424.0,28.0,77.0
4687,52.0,2.0,0.0,1.0,1174.0,127.0,792.0,26.0,31.0,4.0,60.0,493.0,297.0,13954.0,6.0,13.0,14829.0,1284.0,14329.0,1232.0,723.0,88.0,647.0,21453.0,41.0,218.0,2976.0,16770.0,53.0,338.0
4736,176.0,2.0,4.0,0.0,502.0,96.0,103.0,157.0,27.0,15.0,56.0,8.0,187.0,110.0,25.0,42.0,820.0,6.0,15281.0,2296.0,768.0,296.0,822.0,21906.0,65.0,548.0,123.0,714.0,46.0,393.0
4785,1.0,6.0,155.0,103.0,22626.0,21144.0,90.0,6473.0,15.0,56.0,4.0,26.0,211.0,14.0,16009.0,9.0,136.0,5.0,13.0,623.0,274.0,209.0,45.0,21693.0,951.0,786.0,52.0,16801.0,547.0,36.0
4834,86.0,32.0,13.0,2.0,22163.0,21131.0,154.0,22.0,16587.0,159.0,11.0,425.0,377.0,96.0,25.0,3.0,132.0,141.0,313.0,16554.0,15846.0,46.0,143.0,2567.0,1.0,180.0,54.0,16788.0,3503.0,372.0
4883,0.0,15.0,1.0,3.0,45.0,21034.0,52.0,195.0,78.0,764.0,32.0,8.0,161.0,55.0,43.0,10555.0,58.0,162.0,117.0,222.0,15884.0,14.0,27.0,68.0,59.0,143.0,112.0,387.0,10.0,153.0
