,ENPP1,DDB2,VILL,EMB,EDA2R,FAM127C,HSBP1,VASN,RAB18,COQ7,MORF4L2,RP6-109B7.3,ABCB6,DGKA,CTD-2616J11.2,AC092574.2,TNNC1,ABTB1,CTD-2022H16.3,PTCHD4,GPD2,TRIM22,RP11-175P19.2,TRGV5P,C16orf54,FAM65C,HLA-E,UPK1B,INPP5B,ARID3A
2510,284.0,2.0,4.0,21661.0,0.0,3.0,18.0,25.0,1209.0,289.0,340.0,142.0,468.0,6549.0,1420.0,182.0,6.0,586.0,33.0,1.0,7.0,19765.0,306.0,22094.0,10714.0,76.0,21316.0,2716.0,424.0,1071.0
2559,1.0,0.0,421.0,189.0,90.0,14.0,5.0,103.0,2443.0,284.0,349.0,198.0,73.0,1066.0,135.0,176.0,161.0,14827.0,3799.0,106.0,15.0,19824.0,552.0,447.0,10729.0,88.0,21365.0,47.0,272.0,887.0
2608,31.0,2.0,24.0,35.0,240.0,7.0,47.0,9.0,3.0,3489.0,131.0,14.0,1.0,1126.0,8490.0,142.0,110.0,14832.0,674.0,22964.0,13.0,19840.0,65.0,22302.0,1536.0,147.0,21329.0,13067.0,151.0,100.0
2657,0.0,13.0,256.0,2.0,171.0,19.0,54.0,8.0,10.0,3502.0,73.0,43.0,14.0,433.0,62.0,322.0,41.0,728.0,1635.0,367.0,13266.0,57.0,114.0,88.0,10703.0,17.0,21338.0,563.0,16324.0,480.0
2706,23307.0,125.0,0.0,21666.0,819.0,21.0,3.0,201.0,931.0,15.0,346.0,150.0,294.0,435.0,277.0,110.0,113.0,14838.0,11.0,119.0,557.0,778.0,1449.0,461.0,10742.0,763.0,21347.0,307.0,16452.0,1678.0
2755,0.0,29.0,13.0,47.0,17.0,38.0,111.0,6.0,112.0,50.0,5.0,165.0,351.0,46.0,3.0,209.0,143.0,14825.0,649.0,447.0,311.0,862.0,15127.0,596.0,10737.0,7738.0,1641.0,535.0,16357.0,913.0
2804,10.0,1.0,9.0,181.0,458.0,0.0,42.0,51.0,319.0,3620.0,44.0,37.0,118.0,656.0,121.0,71.0,239.0,14788.0,4383.0,386.0,117.0,19760.0,241.0,351.0,506.0,7673.0,21359.0,13040.0,16441.0,619.0
2853,39.0,0.0,14.0,1.0,193.0,17.0,123.0,41.0,931.0,215.0,335.0,4.0,9.0,89.0,8519.0,15265.0,753.0,657.0,4198.0,420.0,231.0,171.0,6.0,590.0,10795.0,7791.0,1202.0,13060.0,16466.0,11407.0
2902,32.0,19.0,25.0,39.0,5.0,0.0,50.0,162.0,15.0,37.0,10.0,47.0,4.0,6785.0,8518.0,108.0,13052.0,834.0,342.0,206.0,211.0,515.0,97.0,600.0,291.0,7722.0,21325.0,136.0,16320.0,1364.0
2951,4.0,1.0,0.0,129.0,81.0,162.0,51.0,28.0,156.0,24.0,800.0,3.0,13.0,696.0,8497.0,520.0,3014.0,427.0,113.0,22959.0,653.0,33.0,315.0,22297.0,11.0,55.0,87.0,13025.0,271.0,2744.0
3000,34.0,255.0,0.0,289.0,4497.0,161.0,50.0,159.0,1337.0,131.0,1203.0,24.0,13634.0,7374.0,9573.0,519.0,125.0,563.0,420.0,31.0,37.0,19821.0,463.0,22317.0,11173.0,907.0,1647.0,434.0,16338.0,488.0
3049,5.0,3.0,474.0,8.0,79.0,14.0,39.0,159.0,166.0,141.0,48.0,45.0,70.0,11.0,10.0,17.0,271.0,14789.0,3570.0,661.0,961.0,13.0,117.0,369.0,253.0,408.0,316.0,826.0,16326.0,170.0
3098,45.0,9.0,2.0,102.0,17.0,22.0,43.0,5191.0,204.0,58.0,9514.0,13.0,1620.0,5718.0,352.0,5.0,466.0,18286.0,4235.0,158.0,561.0,20572.0,46.0,83.0,4.0,1905.0,14684.0,81.0,11089.0,191.0
3147,0.0,4.0,3.0,1.0,14.0,351.0,44.0,643.0,100.0,115.0,400.0,51.0,110.0,666.0,8456.0,340.0,38.0,14782.0,386.0,22903.0,13266.0,102.0,15085.0,22209.0,35.0,561.0,210.0,2.0,16318.0,131.0
3196,0.0,8.0,13.0,102.0,585.0,86.0,67.0,70.0,101.0,75.0,318.0,1.0,31.0,6064.0,272.0,292.0,279.0,648.0,123.0,22953.0,599.0,15.0,247.0,191.0,10759.0,412.0,21283.0,4.0,234.0,264.0
3245,1.0,7.0,13.0,6.0,3.0,321.0,0.0,4976.0,209.0,120.0,9290.0,10005.0,80.0,189.0,203.0,19.0,579.0,233.0,3822.0,123.0,16782.0,20048.0,772.0,421.0,8.0,460.0,53.0,2.0,22741.0,18.0
3294,0.0,12.0,18.0,21551.0,1532.0,10.0,11.0,4526.0,134.0,98.0,500.0,1.0,13.0,5353.0,502.0,9.0,13078.0,12976.0,24.0,22970.0,13263.0,31.0,15153.0,737.0,8.0,7693.0,255.0,19.0,421.0,113.0
3343,0.0,5230.0,8.0,206.0,6.0,106.0,9.0,4111.0,64.0,26.0,113.0,16.0,19.0,40.0,518.0,10.0,13207.0,489.0,24.0,833.0,13294.0,19762.0,346.0,22322.0,7.0,7714.0,302.0,12982.0,101.0,123.0
3392,36.0,1.0,12.0,3.0,0.0,476.0,35.0,169.0,33.0,184.0,7002.0,2.0,14.0,600.0,2398.0,234.0,4.0,1171.0,3420.0,78.0,17844.0,6.0,151.0,22828.0,59.0,9232.0,21793.0,14040.0,1988.0,210.0
