,NERVOUS,SKIN,OESOPHAGUS,BONE,OVARY,LUNG,LIVER,HAEMATOPOIETIC,PANCREAS,LARGE_INTESTINE,BREAST,STOMACH,GANGLIA,AERODIGESTIVE,PROSTATE,PLEURA,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,URINARY,ENDOMETRIUM,BILIARY
1125,0.0,2.0,3.0,1.0,4.0,5.0,10.0,6.0,9.0,7.0,11.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,0.0,1.0,2.0,3.0,4.0,7.0,8.0,5.0,6.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1223,0.0,3.0,2.0,16.0,4.0,7.0,8.0,9.0,6.0,10.0,12.0,11.0,13.0,14.0,15.0,21.0,17.0,1.0,18.0,19.0,20.0,5.0,22.0
1272,1.0,4.0,2.0,5.0,3.0,9.0,10.0,8.0,6.0,12.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,0.0,18.0,19.0,20.0,7.0,22.0
1321,0.0,2.0,1.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,1.0,3.0,2.0,4.0,5.0,9.0,7.0,6.0,10.0,8.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,4.0,3.0,1.0,5.0,7.0,12.0,8.0,10.0,6.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,2.0,18.0,19.0,20.0,21.0,22.0
1468,1.0,4.0,3.0,2.0,6.0,11.0,10.0,7.0,8.0,9.0,13.0,12.0,14.0,15.0,16.0,21.0,17.0,0.0,18.0,19.0,20.0,5.0,22.0
1517,1.0,0.0,4.0,3.0,2.0,8.0,5.0,7.0,6.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
1566,0.0,3.0,4.0,5.0,2.0,12.0,9.0,7.0,8.0,11.0,10.0,13.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,20.0,6.0,22.0
1615,0.0,2.0,4.0,3.0,1.0,7.0,6.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,5.0,22.0
1664,1.0,3.0,4.0,17.0,2.0,8.0,5.0,7.0,6.0,9.0,12.0,10.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,11.0,21.0,22.0
1713,0.0,2.0,4.0,3.0,19.0,8.0,9.0,6.0,5.0,10.0,12.0,11.0,13.0,14.0,15.0,21.0,16.0,1.0,17.0,18.0,20.0,7.0,22.0
1762,0.0,3.0,4.0,1.0,2.0,6.0,7.0,5.0,8.0,9.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
1811,1.0,3.0,5.0,4.0,2.0,11.0,10.0,8.0,9.0,6.0,14.0,12.0,15.0,16.0,17.0,21.0,18.0,0.0,19.0,20.0,13.0,7.0,22.0
1860,0.0,3.0,4.0,16.0,2.0,8.0,6.0,7.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,1.0,5.0,22.0
1909,1.0,3.0,5.0,4.0,2.0,13.0,7.0,6.0,8.0,9.0,12.0,11.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,10.0,21.0,22.0
1958,0.0,3.0,1.0,15.0,2.0,10.0,8.0,5.0,6.0,7.0,11.0,9.0,12.0,13.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,4.0,22.0
2007,0.0,2.0,4.0,1.0,3.0,8.0,9.0,7.0,6.0,12.0,10.0,11.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,5.0,22.0
2056,1.0,2.0,3.0,17.0,4.0,6.0,7.0,5.0,8.0,9.0,11.0,10.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,12.0,21.0,22.0
2105,1.0,2.0,4.0,3.0,5.0,8.0,10.0,6.0,7.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,1.0,2.0,3.0,4.0,9.0,11.0,6.0,10.0,8.0,7.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,13.0,5.0,22.0
2203,0.0,1.0,3.0,4.0,2.0,8.0,5.0,6.0,7.0,11.0,10.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
2252,1.0,0.0,4.0,3.0,5.0,9.0,11.0,7.0,8.0,10.0,12.0,13.0,15.0,16.0,17.0,21.0,18.0,2.0,19.0,20.0,14.0,6.0,22.0
2301,1.0,3.0,4.0,2.0,5.0,8.0,14.0,7.0,9.0,12.0,10.0,11.0,15.0,16.0,17.0,21.0,18.0,0.0,19.0,20.0,13.0,6.0,22.0
2350,1.0,3.0,5.0,4.0,2.0,8.0,9.0,7.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,21.0,17.0,0.0,18.0,19.0,20.0,6.0,22.0
2399,0.0,1.0,3.0,15.0,2.0,6.0,9.0,4.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
2448,0.0,2.0,1.0,3.0,4.0,8.0,10.0,5.0,7.0,9.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,13.0,6.0,22.0
2497,1.0,2.0,3.0,0.0,4.0,6.0,8.0,7.0,5.0,9.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
2546,0.0,2.0,1.0,15.0,4.0,3.0,6.0,5.0,10.0,7.0,9.0,8.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
2595,1.0,2.0,3.0,17.0,4.0,7.0,6.0,5.0,12.0,8.0,11.0,10.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,9.0,21.0,22.0
2644,2.0,3.0,4.0,0.0,5.0,7.0,6.0,8.0,9.0,10.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,11.0,21.0,22.0
2693,2.0,1.0,4.0,0.0,5.0,6.0,8.0,7.0,12.0,10.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,3.0,21.0,22.0
2742,2.0,3.0,5.0,0.0,4.0,7.0,6.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,11.0,21.0,22.0
2791,2.0,3.0,5.0,0.0,4.0,8.0,6.0,7.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,10.0,21.0,22.0
2840,1.0,2.0,3.0,16.0,4.0,7.0,5.0,6.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
2889,1.0,3.0,5.0,0.0,4.0,7.0,8.0,6.0,12.0,9.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,2.0,21.0,22.0
2938,1.0,2.0,5.0,17.0,4.0,6.0,7.0,8.0,9.0,12.0,10.0,3.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,11.0,21.0,22.0
2987,0.0,2.0,6.0,16.0,7.0,3.0,4.0,8.0,11.0,10.0,9.0,12.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,1.0,5.0,22.0
3036,0.0,2.0,4.0,16.0,5.0,3.0,7.0,9.0,8.0,11.0,10.0,12.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,1.0,6.0,22.0
3085,0.0,2.0,4.0,1.0,6.0,3.0,7.0,8.0,5.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3134,0.0,2.0,4.0,1.0,5.0,3.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,0.0,2.0,3.0,1.0,5.0,4.0,6.0,9.0,8.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,0.0,2.0,4.0,16.0,3.0,6.0,8.0,9.0,7.0,11.0,10.0,12.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,1.0,5.0,22.0
3281,0.0,2.0,3.0,16.0,4.0,5.0,8.0,6.0,7.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,1.0,21.0,22.0
3330,0.0,2.0,6.0,3.0,5.0,4.0,9.0,10.0,8.0,12.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,1.0,7.0,22.0
3379,0.0,4.0,5.0,1.0,3.0,7.0,12.0,9.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,2.0,6.0,22.0
3428,1.0,0.0,4.0,2.0,5.0,6.0,8.0,9.0,13.0,10.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,7.0,22.0
3477,0.0,2.0,4.0,1.0,5.0,6.0,3.0,8.0,7.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,0.0,2.0,3.0,1.0,5.0,8.0,4.0,10.0,7.0,12.0,9.0,11.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
3575,0.0,2.0,5.0,1.0,3.0,8.0,4.0,9.0,6.0,12.0,10.0,11.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,7.0,22.0
3624,0.0,1.0,5.0,16.0,4.0,6.0,3.0,7.0,9.0,11.0,10.0,8.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,2.0,21.0,22.0
3673,0.0,1.0,3.0,2.0,5.0,7.0,9.0,8.0,11.0,12.0,10.0,4.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,6.0,22.0
3722,0.0,2.0,3.0,1.0,4.0,6.0,5.0,11.0,8.0,9.0,7.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,0.0,2.0,3.0,1.0,4.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,5.0,22.0
3820,0.0,1.0,5.0,16.0,4.0,3.0,7.0,10.0,9.0,11.0,12.0,6.0,13.0,14.0,15.0,21.0,17.0,18.0,19.0,20.0,2.0,8.0,22.0
3869,0.0,1.0,3.0,2.0,4.0,6.0,5.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,7.0,22.0
3918,0.0,1.0,6.0,15.0,4.0,3.0,2.0,7.0,5.0,10.0,8.0,9.0,11.0,12.0,14.0,21.0,16.0,17.0,18.0,19.0,20.0,13.0,22.0
3967,0.0,1.0,3.0,2.0,4.0,6.0,5.0,10.0,9.0,7.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
4016,1.0,2.0,5.0,3.0,20.0,4.0,11.0,9.0,7.0,10.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,6.0,21.0,22.0
4065,2.0,1.0,4.0,3.0,5.0,6.0,7.0,9.0,12.0,8.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
4114,2.0,1.0,4.0,3.0,5.0,6.0,8.0,12.0,11.0,7.0,13.0,9.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,10.0,21.0,22.0
4163,1.0,0.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
4212,1.0,0.0,5.0,4.0,6.0,7.0,3.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,2.0,18.0,19.0,20.0,21.0,22.0
4261,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,2.0,0.0,3.0,17.0,4.0,5.0,8.0,7.0,10.0,6.0,9.0,11.0,13.0,14.0,15.0,16.0,18.0,1.0,19.0,20.0,12.0,21.0,22.0
4359,1.0,0.0,3.0,2.0,4.0,6.0,5.0,8.0,11.0,7.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
4408,0.0,1.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,2.0,18.0,19.0,20.0,21.0,22.0
4457,1.0,2.0,4.0,16.0,3.0,6.0,5.0,9.0,11.0,7.0,8.0,10.0,12.0,13.0,14.0,15.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
4506,1.0,2.0,3.0,17.0,4.0,7.0,6.0,8.0,12.0,9.0,11.0,10.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,5.0,21.0,22.0
4555,0.0,2.0,4.0,1.0,3.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,3.0,4.0,2.0,5.0,7.0,6.0,8.0,13.0,9.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,10.0,21.0,22.0
4653,1.0,3.0,2.0,17.0,6.0,5.0,4.0,11.0,8.0,9.0,12.0,7.0,13.0,14.0,15.0,16.0,18.0,0.0,19.0,20.0,10.0,21.0,22.0
4702,2.0,0.0,4.0,17.0,5.0,7.0,6.0,8.0,12.0,10.0,9.0,11.0,13.0,14.0,15.0,16.0,18.0,1.0,19.0,20.0,3.0,21.0,22.0
4751,1.0,3.0,5.0,2.0,4.0,7.0,6.0,10.0,13.0,9.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,8.0,21.0,22.0
4800,0.0,2.0,3.0,1.0,19.0,5.0,4.0,7.0,10.0,6.0,9.0,8.0,11.0,12.0,14.0,21.0,15.0,16.0,17.0,18.0,20.0,13.0,22.0
4849,1.0,2.0,3.0,16.0,4.0,6.0,5.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,0.0,18.0,19.0,20.0,21.0,22.0
4898,0.0,1.0,3.0,2.0,4.0,9.0,6.0,5.0,11.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,7.0,21.0,22.0
