,MEK1_pS217_S221,Caveolin-1,GAPDH,p90RSK_pT359_S363,Bcl-2,Gab2,CD31,HER3,FoxM1,IGFBP2,CDK1,VAV1,N-Cadherin,RAD51,G6PD,Collagen_VI,RSK1-2-3,Cyclin_E2,MIG-6,XBP1,Cyclin_B1,p38_MAPK,4E-BP1_pS65,YAP_pS127,IRS1,PREX1,14-3-3_zeta,beta Actin,Beclin,Bid
1423,6.0,1.0,7.0,0.0,2.0,3.0,8.0,14.0,11.0,5.0,17.0,26.0,13.0,20.0,10.0,4.0,12.0,15.0,54.0,21.0,16.0,34.0,27.0,52.0,66.0,9.0,24.0,19.0,45.0,30.0
1472,1.0,2.0,7.0,0.0,4.0,15.0,3.0,5.0,11.0,18.0,23.0,14.0,12.0,24.0,9.0,36.0,10.0,6.0,35.0,30.0,46.0,19.0,17.0,62.0,21.0,32.0,8.0,43.0,59.0,50.0
1521,1.0,0.0,7.0,2.0,3.0,5.0,31.0,28.0,9.0,12.0,6.0,8.0,64.0,38.0,16.0,10.0,18.0,15.0,60.0,17.0,50.0,22.0,30.0,65.0,59.0,24.0,4.0,27.0,25.0,69.0
1570,0.0,2.0,6.0,3.0,1.0,5.0,13.0,8.0,18.0,23.0,4.0,10.0,27.0,47.0,12.0,20.0,7.0,31.0,57.0,16.0,37.0,15.0,19.0,46.0,9.0,22.0,11.0,14.0,44.0,79.0
1619,1.0,0.0,4.0,2.0,3.0,11.0,9.0,17.0,20.0,6.0,7.0,10.0,19.0,62.0,5.0,21.0,12.0,27.0,53.0,16.0,47.0,14.0,23.0,35.0,15.0,37.0,18.0,28.0,43.0,64.0
1668,4.0,1.0,2.0,0.0,3.0,7.0,11.0,5.0,17.0,20.0,6.0,10.0,16.0,51.0,9.0,18.0,13.0,33.0,53.0,12.0,21.0,28.0,14.0,24.0,35.0,15.0,8.0,30.0,47.0,39.0
1717,3.0,0.0,5.0,1.0,2.0,13.0,10.0,16.0,33.0,7.0,6.0,17.0,15.0,64.0,8.0,42.0,22.0,14.0,67.0,4.0,53.0,27.0,18.0,74.0,11.0,25.0,9.0,50.0,24.0,66.0
1766,4.0,0.0,13.0,1.0,3.0,17.0,11.0,14.0,6.0,23.0,12.0,10.0,20.0,28.0,8.0,46.0,7.0,15.0,51.0,9.0,19.0,5.0,31.0,35.0,34.0,32.0,2.0,38.0,26.0,74.0
1815,0.0,2.0,4.0,1.0,3.0,7.0,14.0,10.0,9.0,15.0,11.0,5.0,58.0,30.0,17.0,33.0,6.0,21.0,55.0,19.0,26.0,20.0,27.0,28.0,13.0,38.0,8.0,12.0,36.0,49.0
1864,2.0,1.0,9.0,0.0,3.0,35.0,6.0,25.0,12.0,13.0,10.0,16.0,38.0,19.0,7.0,4.0,8.0,5.0,29.0,14.0,32.0,17.0,23.0,21.0,56.0,34.0,11.0,27.0,40.0,70.0
