,hsa-miR-584,hsa-miR-137,hsa-miR-155,hsa-miR-921,hsa-miR-541,hsa-miR-103,hsa-miR-15b,hsa-miR-223,hsa-miR-630,hsa-miR-330-3p,hsa-miR-642,hsa-miR-142-5p,hsa-miR-1293,hsa-miR-105,hsa-miR-934,hsa-miR-27b,hsa-miR-491-3p,hsa-miR-148b,hsa-miR-181c,hsa-miR-1245,hsa-miR-205,hsa-miR-301b,hsa-miR-1226,hsa-miR-601,hsa-miR-888,hsa-miR-762,hsa-miR-590-5p,hsa-miR-132,hsa-miR-125a-3p,hsa-miR-143
4182,2.0,1.0,3.0,5.0,0.0,6.0,7.0,28.0,9.0,4.0,16.0,15.0,24.0,22.0,38.0,17.0,10.0,13.0,102.0,20.0,37.0,8.0,11.0,36.0,32.0,25.0,34.0,12.0,53.0,29.0
4231,2.0,0.0,1.0,22.0,5.0,7.0,10.0,6.0,8.0,29.0,12.0,19.0,47.0,18.0,32.0,11.0,9.0,26.0,68.0,16.0,40.0,17.0,4.0,28.0,63.0,72.0,65.0,30.0,83.0,20.0
4280,3.0,0.0,1.0,5.0,6.0,4.0,9.0,24.0,2.0,14.0,28.0,12.0,43.0,33.0,13.0,22.0,7.0,41.0,61.0,16.0,98.0,8.0,39.0,19.0,37.0,44.0,18.0,23.0,26.0,10.0
4329,0.0,2.0,4.0,22.0,1.0,3.0,10.0,29.0,12.0,8.0,23.0,7.0,16.0,5.0,11.0,55.0,6.0,36.0,24.0,9.0,28.0,14.0,13.0,17.0,21.0,48.0,63.0,39.0,406.0,26.0
4378,2.0,1.0,4.0,0.0,5.0,3.0,30.0,16.0,19.0,13.0,10.0,51.0,9.0,43.0,36.0,27.0,8.0,22.0,76.0,14.0,18.0,11.0,58.0,31.0,25.0,46.0,17.0,7.0,70.0,49.0
4427,0.0,3.0,2.0,11.0,17.0,23.0,18.0,21.0,4.0,5.0,1.0,32.0,31.0,73.0,8.0,27.0,33.0,7.0,13.0,26.0,99.0,41.0,39.0,10.0,50.0,22.0,36.0,30.0,12.0,24.0
4476,3.0,1.0,9.0,0.0,16.0,17.0,14.0,22.0,7.0,11.0,2.0,24.0,49.0,99.0,21.0,72.0,48.0,4.0,12.0,61.0,10.0,39.0,54.0,18.0,32.0,29.0,30.0,26.0,42.0,23.0
4525,0.0,12.0,2.0,3.0,4.0,7.0,18.0,33.0,11.0,8.0,1.0,19.0,83.0,35.0,28.0,91.0,9.0,6.0,21.0,61.0,37.0,17.0,29.0,16.0,57.0,20.0,67.0,41.0,34.0,15.0
4574,0.0,1.0,3.0,2.0,16.0,13.0,19.0,23.0,5.0,38.0,7.0,44.0,33.0,91.0,57.0,10.0,85.0,4.0,6.0,69.0,37.0,32.0,30.0,20.0,35.0,17.0,135.0,53.0,29.0,18.0
4623,1.0,0.0,3.0,2.0,19.0,21.0,13.0,33.0,6.0,26.0,4.0,40.0,36.0,45.0,57.0,49.0,14.0,7.0,22.0,58.0,73.0,23.0,28.0,8.0,37.0,20.0,66.0,31.0,18.0,25.0
4672,1.0,0.0,5.0,4.0,8.0,37.0,19.0,7.0,2.0,12.0,15.0,9.0,56.0,23.0,36.0,17.0,11.0,3.0,6.0,69.0,77.0,27.0,51.0,73.0,47.0,20.0,87.0,32.0,61.0,22.0
4721,1.0,0.0,15.0,6.0,3.0,27.0,8.0,34.0,5.0,9.0,2.0,16.0,77.0,72.0,14.0,68.0,4.0,7.0,20.0,87.0,12.0,78.0,92.0,41.0,83.0,11.0,73.0,35.0,65.0,40.0
4770,1.0,2.0,4.0,0.0,11.0,12.0,25.0,21.0,3.0,9.0,5.0,80.0,26.0,35.0,16.0,19.0,18.0,6.0,8.0,43.0,10.0,15.0,52.0,77.0,47.0,22.0,55.0,20.0,30.0,41.0
4819,0.0,2.0,4.0,3.0,7.0,11.0,25.0,40.0,12.0,58.0,1.0,10.0,28.0,31.0,46.0,57.0,32.0,5.0,21.0,73.0,41.0,76.0,35.0,18.0,69.0,9.0,52.0,66.0,22.0,51.0
4868,1.0,2.0,5.0,0.0,13.0,24.0,19.0,48.0,4.0,23.0,3.0,21.0,14.0,15.0,60.0,30.0,12.0,6.0,8.0,63.0,38.0,26.0,85.0,41.0,34.0,17.0,65.0,52.0,27.0,29.0
