,VHL,Shc_pY317,Bax,YAP_pS127,GSK3-alpha-beta_pS21_S9,c-Kit,PI3K-p85,Annexin 1,Transglutaminase,Raptor,Lck,p53,CDK1,ACVRL1,GATA3,Akt_pS473,VAV1,p14 Arf(BetA300-340A),4E-BP1_pT70,beta-Catenin,Beclin,AR,FRA1,AMPK_alpha,PRAS40_pT246,ADAR1,Acetyl-a-Tubulin (Lys40),p38_pT180_Y182,RAD51,N-Cadherin
1230,54.0,2.0,32.0,1.0,43.0,20.0,0.0,53.0,21.0,8.0,92.0,13.0,41.0,17.0,51.0,77.0,63.0,117.0,55.0,14.0,24.0,139.0,18.0,36.0,106.0,5.0,48.0,60.0,15.0,85.0
1279,22.0,6.0,15.0,4.0,160.0,32.0,144.0,73.0,35.0,33.0,86.0,7.0,89.0,13.0,40.0,71.0,42.0,54.0,90.0,1.0,48.0,21.0,44.0,60.0,115.0,63.0,31.0,56.0,0.0,23.0
1328,56.0,4.0,12.0,1.0,2.0,30.0,5.0,128.0,17.0,10.0,29.0,21.0,44.0,26.0,68.0,120.0,50.0,45.0,75.0,72.0,101.0,36.0,28.0,24.0,121.0,7.0,89.0,69.0,64.0,13.0
1377,134.0,3.0,14.0,17.0,16.0,2.0,155.0,48.0,7.0,15.0,101.0,67.0,36.0,124.0,5.0,32.0,56.0,143.0,23.0,41.0,136.0,22.0,44.0,49.0,104.0,30.0,94.0,35.0,40.0,113.0
1426,7.0,12.0,13.0,1.0,71.0,36.0,5.0,26.0,103.0,91.0,51.0,19.0,29.0,31.0,85.0,89.0,65.0,46.0,70.0,148.0,104.0,27.0,74.0,145.0,75.0,25.0,63.0,76.0,50.0,49.0
1475,10.0,122.0,31.0,15.0,8.0,22.0,3.0,28.0,61.0,159.0,64.0,30.0,84.0,118.0,6.0,33.0,34.0,73.0,86.0,60.0,77.0,32.0,52.0,24.0,19.0,65.0,114.0,81.0,78.0,91.0
1524,6.0,63.0,39.0,68.0,61.0,24.0,9.0,65.0,5.0,30.0,85.0,33.0,37.0,130.0,95.0,14.0,132.0,80.0,103.0,46.0,8.0,10.0,110.0,47.0,88.0,87.0,66.0,60.0,57.0,142.0
1573,24.0,14.0,26.0,22.0,7.0,29.0,5.0,49.0,52.0,18.0,40.0,41.0,47.0,119.0,61.0,58.0,21.0,85.0,25.0,8.0,27.0,73.0,54.0,38.0,60.0,100.0,74.0,44.0,34.0,134.0
1622,8.0,10.0,28.0,4.0,0.0,23.0,16.0,62.0,124.0,118.0,51.0,29.0,30.0,116.0,107.0,67.0,125.0,18.0,40.0,39.0,55.0,36.0,34.0,65.0,3.0,93.0,74.0,58.0,27.0,148.0
1671,15.0,12.0,30.0,3.0,89.0,41.0,26.0,45.0,7.0,59.0,14.0,19.0,87.0,136.0,20.0,50.0,48.0,77.0,78.0,8.0,72.0,109.0,52.0,67.0,51.0,84.0,60.0,68.0,133.0,120.0
1720,15.0,27.0,28.0,87.0,35.0,21.0,11.0,25.0,74.0,79.0,49.0,99.0,46.0,40.0,38.0,26.0,124.0,157.0,84.0,12.0,72.0,138.0,59.0,67.0,60.0,115.0,51.0,47.0,57.0,13.0
1769,20.0,83.0,13.0,10.0,62.0,18.0,73.0,16.0,126.0,86.0,132.0,45.0,47.0,22.0,2.0,23.0,95.0,63.0,71.0,89.0,56.0,14.0,81.0,67.0,38.0,105.0,57.0,78.0,61.0,107.0
1818,7.0,14.0,40.0,23.0,39.0,12.0,15.0,16.0,141.0,104.0,63.0,21.0,95.0,74.0,110.0,67.0,48.0,27.0,17.0,36.0,77.0,34.0,5.0,75.0,35.0,55.0,52.0,72.0,32.0,98.0
1867,7.0,116.0,12.0,87.0,153.0,64.0,101.0,48.0,68.0,6.0,39.0,44.0,33.0,97.0,19.0,29.0,49.0,35.0,67.0,13.0,59.0,25.0,42.0,80.0,21.0,20.0,30.0,88.0,46.0,27.0
1916,4.0,24.0,23.0,7.0,27.0,51.0,8.0,98.0,3.0,9.0,112.0,36.0,43.0,89.0,56.0,50.0,13.0,52.0,26.0,54.0,33.0,17.0,67.0,20.0,63.0,47.0,35.0,39.0,79.0,82.0
1965,64.0,5.0,25.0,49.0,67.0,27.0,91.0,24.0,140.0,10.0,107.0,81.0,54.0,6.0,22.0,32.0,57.0,51.0,65.0,29.0,99.0,80.0,151.0,75.0,63.0,105.0,20.0,87.0,43.0,53.0
2014,18.0,13.0,22.0,14.0,8.0,42.0,50.0,39.0,62.0,69.0,70.0,28.0,48.0,31.0,84.0,78.0,49.0,45.0,59.0,11.0,15.0,6.0,16.0,24.0,7.0,51.0,30.0,55.0,23.0,9.0
2063,21.0,9.0,33.0,132.0,14.0,40.0,55.0,18.0,29.0,53.0,58.0,38.0,78.0,67.0,16.0,34.0,91.0,73.0,64.0,19.0,85.0,92.0,84.0,70.0,15.0,42.0,101.0,86.0,97.0,39.0
2112,4.0,20.0,19.0,120.0,42.0,83.0,81.0,29.0,31.0,160.0,6.0,108.0,52.0,40.0,116.0,41.0,50.0,28.0,111.0,113.0,27.0,51.0,64.0,103.0,119.0,23.0,109.0,78.0,84.0,69.0
