,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
1596,14.0,0.0,570.0,1054.0,655.0,10365.0,20751.0,1655.0,80.0,22859.0,46.0,564.0,12445.0,5.0,16662.0,204.0,6.0,16801.0,20659.0,129.0,2.0,289.0,4282.0,2465.0,1912.0,10610.0,49.0,20.0,3907.0,317.0
1645,23.0,8.0,20.0,3631.0,3061.0,10282.0,182.0,1.0,203.0,22869.0,3604.0,24075.0,12408.0,4961.0,16651.0,25.0,3568.0,17024.0,20651.0,171.0,1451.0,7.0,468.0,2430.0,3611.0,10622.0,13815.0,2.0,231.0,39.0
1694,10.0,24.0,312.0,3874.0,2264.0,86.0,35.0,12.0,12642.0,22772.0,19.0,58.0,926.0,4829.0,21.0,186.0,924.0,16804.0,1030.0,6.0,677.0,2129.0,3982.0,2715.0,3872.0,795.0,13.0,3.0,1324.0,161.0
1743,5.0,23.0,2593.0,3876.0,3.0,125.0,20751.0,0.0,16.0,48.0,2571.0,438.0,12471.0,12.0,253.0,126.0,19.0,16779.0,2665.0,51.0,473.0,174.0,1366.0,732.0,888.0,10.0,13842.0,282.0,4193.0,185.0
1792,26.0,2.0,67.0,3667.0,1.0,388.0,12.0,816.0,12592.0,22872.0,1201.0,18.0,12467.0,23.0,1130.0,112.0,3569.0,642.0,20662.0,50.0,13263.0,368.0,243.0,407.0,3669.0,10591.0,218.0,54.0,96.0,12276.0
1841,33.0,2.0,127.0,3799.0,408.0,40.0,3.0,10.0,98.0,22877.0,745.0,2030.0,96.0,156.0,16531.0,106.0,103.0,16794.0,288.0,20.0,62.0,504.0,36.0,553.0,287.0,378.0,9.0,29.0,2665.0,1941.0
1890,27.0,7.0,101.0,2626.0,177.0,42.0,8.0,995.0,1121.0,22889.0,3896.0,13.0,2351.0,1036.0,676.0,16.0,3901.0,16785.0,39.0,329.0,17.0,55.0,3895.0,15378.0,384.0,222.0,25.0,85.0,2006.0,12279.0
1939,2.0,6.0,3.0,3904.0,161.0,11202.0,0.0,191.0,11665.0,22757.0,3876.0,24.0,12484.0,83.0,1336.0,1.0,3878.0,17017.0,7.0,7620.0,700.0,16538.0,3874.0,625.0,3902.0,2618.0,13821.0,2093.0,4159.0,12289.0
1988,11088.0,10833.0,1055.0,24.0,14.0,511.0,15.0,8637.0,1358.0,22727.0,3701.0,985.0,1944.0,6909.0,9.0,7.0,1793.0,155.0,56.0,552.0,13499.0,16552.0,3706.0,577.0,3.0,26.0,13901.0,23744.0,20.0,239.0
2037,4615.0,3149.0,12.0,2130.0,226.0,11243.0,19357.0,8489.0,48.0,3.0,2950.0,1906.0,2716.0,5649.0,2815.0,324.0,2973.0,6950.0,19237.0,533.0,805.0,254.0,63.0,400.0,2254.0,11565.0,162.0,1269.0,10.0,596.0
