,FAM190A_DEL,ZNF705G_AMP,SGCZ_DEL,SCN3B_DEL,BRAF.V600E_MUT,ADAMTSL3_DEL,FOXN3-AS2_DEL,GRIK4_DEL,GRIN2A_DEL,TMEM230_DEL,GRIN2B_DEL,WDR91_DEL,ABR_DEL,GRIN2D_DEL,ZBTB44_DEL,CCDC113_DEL,ZCCHC4_DEL,STXBP6_DEL,CCDC59_DEL,CHMP4A_DEL,MRPL15_DEL,SETD2_DEL,LINC00339_DEL,THYN1_DEL,MED4_DEL,LINC00652_DEL,NDUFAF4_DEL,TIMM21_DEL,MRPL18_DEL,HIPK2_DEL
524,1758.0,4.0,3111.0,39.0,34.0,11378.0,61.0,59.0,64.0,66.0,65.0,48.0,57.0,73.0,72.0,69.0,74.0,56.0,67.0,70.0,68.0,62.0,54.0,71.0,58.0,51.0,75.0,60.0,55.0,52.0
573,19.0,15.0,36.0,9448.0,20115.0,1.0,101.0,102.0,100.0,96.0,79.0,47.0,103.0,65.0,55.0,56.0,51.0,71.0,72.0,46.0,75.0,57.0,64.0,60.0,70.0,66.0,69.0,73.0,59.0,104.0
622,18.0,15399.0,6.0,4.0,35.0,2.0,70.0,114.0,48.0,52.0,49.0,54.0,72.0,53.0,60.0,61.0,55.0,65.0,59.0,66.0,47.0,62.0,64.0,67.0,58.0,63.0,50.0,68.0,69.0,95.0
671,8.0,26.0,1.0,34.0,2.0,22.0,62.0,48.0,64.0,81.0,65.0,77.0,49.0,78.0,82.0,74.0,75.0,60.0,73.0,63.0,52.0,72.0,85.0,50.0,66.0,70.0,67.0,57.0,71.0,51.0
720,8.0,9.0,2.0,42.0,39.0,11381.0,52.0,54.0,58.0,61.0,49.0,63.0,55.0,62.0,65.0,69.0,64.0,53.0,68.0,67.0,60.0,73.0,50.0,66.0,70.0,72.0,71.0,74.0,51.0,56.0
769,2.0,15400.0,3.0,24.0,37.0,11377.0,49.0,53.0,47.0,51.0,50.0,54.0,76.0,52.0,48.0,75.0,56.0,61.0,68.0,66.0,63.0,59.0,60.0,64.0,71.0,73.0,72.0,62.0,58.0,115.0
818,27.0,33.0,3.0,9442.0,20114.0,11375.0,52.0,53.0,50.0,48.0,54.0,44.0,74.0,45.0,73.0,57.0,55.0,60.0,66.0,64.0,62.0,72.0,59.0,63.0,67.0,69.0,68.0,61.0,71.0,96.0
867,3.0,0.0,2.0,41.0,40.0,4.0,51.0,50.0,70.0,61.0,58.0,66.0,49.0,62.0,68.0,56.0,71.0,47.0,59.0,57.0,45.0,69.0,54.0,53.0,60.0,64.0,63.0,46.0,65.0,55.0
916,0.0,15403.0,42.0,23.0,38.0,40.0,99.0,101.0,78.0,77.0,106.0,55.0,104.0,75.0,51.0,49.0,52.0,69.0,60.0,74.0,71.0,48.0,68.0,72.0,76.0,46.0,44.0,70.0,47.0,105.0
965,24.0,11.0,37.0,9445.0,45.0,1.0,60.0,55.0,54.0,50.0,51.0,77.0,56.0,49.0,76.0,75.0,61.0,63.0,69.0,68.0,66.0,74.0,116.0,67.0,70.0,72.0,71.0,64.0,73.0,57.0
1014,1763.0,8.0,2.0,42.0,20116.0,44.0,72.0,54.0,61.0,65.0,63.0,67.0,52.0,66.0,71.0,70.0,69.0,55.0,51.0,56.0,50.0,68.0,57.0,58.0,60.0,62.0,59.0,53.0,64.0,73.0
1063,2.0,1.0,3114.0,9.0,43.0,11384.0,62.0,75.0,61.0,59.0,60.0,57.0,86.0,58.0,55.0,54.0,56.0,66.0,47.0,46.0,64.0,53.0,84.0,63.0,49.0,51.0,50.0,65.0,52.0,87.0
1112,0.0,15405.0,3109.0,9445.0,32.0,27.0,46.0,48.0,49.0,47.0,45.0,70.0,65.0,50.0,69.0,68.0,52.0,56.0,61.0,60.0,58.0,67.0,55.0,59.0,62.0,64.0,63.0,57.0,66.0,71.0
1161,28.0,15.0,34.0,9445.0,40.0,11378.0,54.0,52.0,55.0,59.0,56.0,76.0,51.0,60.0,73.0,72.0,75.0,189.0,62.0,100.0,167.0,71.0,188.0,118.0,65.0,68.0,66.0,120.0,78.0,57.0
1210,15.0,12.0,4.0,40.0,20116.0,11375.0,51.0,49.0,55.0,59.0,71.0,62.0,56.0,60.0,66.0,69.0,65.0,53.0,64.0,63.0,52.0,70.0,57.0,50.0,67.0,58.0,68.0,48.0,61.0,54.0
1259,21.0,15400.0,3108.0,29.0,37.0,4.0,48.0,52.0,56.0,57.0,46.0,50.0,59.0,49.0,55.0,79.0,53.0,61.0,78.0,67.0,64.0,76.0,60.0,65.0,72.0,74.0,73.0,62.0,75.0,119.0
1308,1745.0,13.0,3.0,44.0,20116.0,11376.0,53.0,51.0,55.0,60.0,59.0,67.0,57.0,63.0,70.0,50.0,69.0,48.0,71.0,68.0,72.0,73.0,46.0,66.0,58.0,64.0,65.0,54.0,61.0,47.0
1357,9.0,14.0,42.0,30.0,1.0,11383.0,52.0,49.0,54.0,59.0,71.0,63.0,48.0,62.0,70.0,68.0,69.0,57.0,66.0,72.0,56.0,61.0,50.0,60.0,58.0,51.0,67.0,53.0,64.0,47.0
1406,1743.0,26.0,5.0,9446.0,35.0,31.0,54.0,53.0,56.0,78.0,67.0,75.0,51.0,76.0,72.0,71.0,74.0,59.0,64.0,63.0,61.0,70.0,110.0,62.0,65.0,77.0,68.0,60.0,69.0,50.0
1455,17.0,15402.0,3108.0,9442.0,3.0,1.0,53.0,54.0,51.0,49.0,50.0,46.0,94.0,48.0,43.0,55.0,44.0,61.0,67.0,66.0,63.0,65.0,60.0,64.0,68.0,72.0,74.0,62.0,58.0,75.0
1504,0.0,2.0,3114.0,9449.0,20121.0,11383.0,49.0,48.0,50.0,71.0,57.0,61.0,46.0,60.0,66.0,70.0,64.0,68.0,53.0,62.0,44.0,56.0,65.0,67.0,52.0,55.0,51.0,69.0,58.0,45.0
1553,1761.0,2.0,10.0,25.0,3.0,39.0,53.0,44.0,46.0,52.0,47.0,56.0,49.0,55.0,60.0,62.0,58.0,48.0,61.0,59.0,69.0,65.0,45.0,57.0,63.0,67.0,54.0,68.0,66.0,50.0
1602,1742.0,16.0,3113.0,9447.0,20129.0,11380.0,52.0,47.0,50.0,46.0,48.0,54.0,49.0,72.0,70.0,68.0,71.0,57.0,62.0,61.0,59.0,67.0,56.0,60.0,63.0,65.0,64.0,58.0,66.0,51.0
1651,16.0,2.0,38.0,20.0,1.0,39.0,62.0,63.0,61.0,59.0,60.0,57.0,64.0,58.0,54.0,53.0,55.0,84.0,77.0,67.0,86.0,50.0,83.0,68.0,65.0,48.0,47.0,85.0,49.0,88.0
1700,1.0,11.0,3108.0,9445.0,3.0,11378.0,45.0,47.0,48.0,68.0,52.0,55.0,46.0,54.0,57.0,58.0,53.0,51.0,64.0,61.0,59.0,63.0,50.0,60.0,65.0,67.0,56.0,44.0,66.0,49.0
1749,25.0,2.0,18.0,43.0,20115.0,42.0,49.0,53.0,46.0,48.0,47.0,52.0,117.0,50.0,54.0,51.0,55.0,65.0,60.0,61.0,63.0,56.0,66.0,62.0,73.0,58.0,59.0,64.0,72.0,75.0
1798,24.0,0.0,3111.0,9447.0,40.0,38.0,97.0,79.0,75.0,46.0,51.0,55.0,101.0,56.0,52.0,49.0,53.0,66.0,72.0,70.0,68.0,54.0,63.0,69.0,73.0,59.0,74.0,67.0,60.0,103.0
1847,32.0,33.0,3116.0,17.0,46.0,11379.0,50.0,51.0,49.0,68.0,67.0,70.0,52.0,69.0,87.0,86.0,88.0,74.0,89.0,80.0,77.0,85.0,73.0,78.0,81.0,83.0,82.0,76.0,84.0,53.0
1896,13.0,12.0,3112.0,48.0,20116.0,11375.0,74.0,59.0,61.0,60.0,62.0,68.0,51.0,64.0,52.0,73.0,71.0,56.0,65.0,63.0,50.0,72.0,106.0,54.0,66.0,69.0,67.0,58.0,70.0,53.0
1945,18.0,1.0,44.0,28.0,20118.0,11378.0,78.0,99.0,79.0,49.0,106.0,52.0,100.0,51.0,57.0,58.0,56.0,98.0,76.0,66.0,64.0,68.0,116.0,65.0,73.0,71.0,72.0,63.0,69.0,101.0
1994,1.0,15401.0,0.0,9443.0,20115.0,11375.0,44.0,43.0,48.0,59.0,68.0,61.0,42.0,60.0,66.0,67.0,62.0,45.0,58.0,57.0,69.0,53.0,47.0,56.0,63.0,65.0,64.0,54.0,55.0,92.0
2043,2.0,9.0,3082.0,9442.0,45.0,0.0,116.0,117.0,115.0,112.0,114.0,88.0,118.0,89.0,63.0,62.0,65.0,49.0,56.0,55.0,51.0,61.0,48.0,53.0,57.0,59.0,58.0,50.0,60.0,119.0
2092,2.0,15401.0,32.0,9444.0,40.0,11376.0,54.0,75.0,53.0,56.0,50.0,45.0,98.0,47.0,59.0,58.0,66.0,60.0,67.0,65.0,63.0,73.0,113.0,64.0,74.0,70.0,68.0,62.0,72.0,99.0
2141,1.0,3.0,3109.0,9448.0,40.0,36.0,44.0,45.0,43.0,77.0,59.0,74.0,47.0,75.0,71.0,70.0,73.0,184.0,125.0,126.0,186.0,69.0,183.0,187.0,60.0,66.0,62.0,185.0,67.0,49.0
2190,1.0,15402.0,3109.0,9443.0,20116.0,40.0,79.0,101.0,78.0,57.0,62.0,54.0,102.0,55.0,50.0,47.0,60.0,65.0,73.0,71.0,68.0,53.0,64.0,70.0,74.0,76.0,75.0,66.0,61.0,103.0
2239,4.0,9.0,1.0,9446.0,20118.0,11379.0,50.0,58.0,49.0,47.0,48.0,45.0,92.0,44.0,52.0,68.0,43.0,62.0,55.0,53.0,59.0,70.0,63.0,56.0,57.0,64.0,69.0,60.0,67.0,72.0
2288,7.0,26.0,25.0,9448.0,45.0,11381.0,83.0,63.0,65.0,80.0,84.0,78.0,55.0,79.0,75.0,74.0,77.0,188.0,66.0,116.0,201.0,73.0,187.0,127.0,67.0,69.0,68.0,128.0,70.0,48.0
2337,12.0,31.0,3108.0,9443.0,38.0,34.0,81.0,58.0,60.0,78.0,79.0,76.0,51.0,77.0,74.0,73.0,75.0,124.0,65.0,64.0,83.0,70.0,187.0,62.0,66.0,68.0,67.0,123.0,69.0,44.0
2386,1.0,15407.0,31.0,3.0,47.0,11384.0,80.0,81.0,79.0,77.0,78.0,75.0,82.0,76.0,68.0,66.0,70.0,182.0,189.0,188.0,185.0,87.0,181.0,186.0,190.0,129.0,130.0,184.0,128.0,83.0
2435,27.0,8.0,28.0,9445.0,37.0,39.0,113.0,71.0,52.0,53.0,47.0,55.0,94.0,54.0,57.0,59.0,56.0,46.0,48.0,49.0,60.0,63.0,67.0,51.0,62.0,66.0,61.0,65.0,64.0,95.0
2484,5.0,15402.0,3108.0,9443.0,42.0,11378.0,48.0,49.0,62.0,81.0,82.0,78.0,50.0,80.0,76.0,75.0,77.0,127.0,69.0,67.0,65.0,74.0,192.0,66.0,70.0,72.0,71.0,108.0,73.0,51.0
2533,7.0,15405.0,8.0,9445.0,31.0,11377.0,48.0,54.0,71.0,60.0,59.0,63.0,49.0,61.0,69.0,70.0,64.0,47.0,62.0,56.0,51.0,55.0,58.0,57.0,65.0,67.0,66.0,50.0,68.0,52.0
2582,22.0,15400.0,21.0,9458.0,20112.0,6.0,44.0,48.0,70.0,52.0,51.0,68.0,47.0,69.0,66.0,65.0,67.0,54.0,59.0,58.0,56.0,64.0,53.0,57.0,60.0,62.0,61.0,55.0,63.0,46.0
2631,4.0,15402.0,5.0,22.0,20113.0,11374.0,79.0,61.0,78.0,75.0,76.0,73.0,53.0,74.0,80.0,71.0,72.0,181.0,62.0,83.0,124.0,67.0,180.0,122.0,63.0,65.0,64.0,183.0,66.0,44.0
2680,0.0,10.0,13.0,37.0,20118.0,32.0,55.0,52.0,49.0,72.0,65.0,70.0,53.0,71.0,66.0,64.0,67.0,56.0,73.0,68.0,74.0,62.0,48.0,69.0,57.0,60.0,59.0,58.0,61.0,54.0
2729,0.0,3.0,3108.0,9442.0,20129.0,1.0,54.0,52.0,58.0,63.0,59.0,66.0,51.0,64.0,70.0,67.0,69.0,56.0,65.0,68.0,44.0,60.0,55.0,61.0,45.0,57.0,53.0,62.0,71.0,49.0
2778,0.0,12.0,3111.0,9446.0,33.0,11380.0,66.0,51.0,58.0,60.0,59.0,45.0,50.0,64.0,63.0,53.0,56.0,100.0,57.0,55.0,52.0,46.0,115.0,54.0,67.0,65.0,61.0,49.0,62.0,48.0
2827,16.0,14.0,3113.0,9445.0,20118.0,11377.0,56.0,50.0,57.0,58.0,61.0,65.0,52.0,63.0,67.0,73.0,66.0,51.0,68.0,64.0,59.0,71.0,48.0,60.0,69.0,62.0,70.0,72.0,49.0,53.0
2876,0.0,10.0,37.0,15.0,5.0,6.0,86.0,109.0,85.0,83.0,84.0,58.0,110.0,59.0,56.0,55.0,57.0,61.0,47.0,46.0,43.0,54.0,62.0,45.0,48.0,60.0,49.0,50.0,52.0,111.0
2925,15.0,20.0,3113.0,9444.0,20129.0,44.0,53.0,50.0,52.0,56.0,65.0,73.0,54.0,74.0,55.0,70.0,72.0,59.0,64.0,63.0,61.0,69.0,58.0,62.0,66.0,67.0,75.0,60.0,68.0,51.0
2974,19.0,15405.0,3108.0,30.0,20115.0,11380.0,48.0,53.0,47.0,50.0,44.0,52.0,72.0,51.0,66.0,71.0,70.0,67.0,59.0,60.0,64.0,62.0,68.0,61.0,58.0,69.0,57.0,65.0,54.0,94.0
3023,0.0,1.0,28.0,44.0,20118.0,11382.0,67.0,70.0,48.0,51.0,47.0,58.0,105.0,69.0,61.0,62.0,59.0,50.0,60.0,56.0,54.0,68.0,55.0,57.0,63.0,65.0,64.0,52.0,66.0,72.0
3072,3.0,15404.0,3110.0,9444.0,20114.0,5.0,49.0,48.0,51.0,55.0,53.0,58.0,47.0,69.0,68.0,67.0,64.0,56.0,57.0,44.0,60.0,66.0,54.0,70.0,65.0,61.0,63.0,59.0,62.0,46.0
3121,0.0,12.0,5.0,32.0,33.0,11374.0,50.0,53.0,55.0,57.0,56.0,63.0,58.0,60.0,66.0,71.0,65.0,52.0,62.0,70.0,49.0,61.0,106.0,54.0,64.0,69.0,67.0,51.0,59.0,68.0
3170,1.0,5.0,40.0,11.0,44.0,22.0,64.0,65.0,63.0,61.0,62.0,59.0,69.0,60.0,56.0,66.0,58.0,87.0,49.0,57.0,78.0,55.0,86.0,67.0,50.0,53.0,52.0,68.0,54.0,89.0
3219,20.0,0.0,3114.0,4.0,20119.0,11381.0,48.0,51.0,47.0,53.0,73.0,71.0,49.0,72.0,52.0,68.0,70.0,57.0,62.0,61.0,59.0,67.0,56.0,60.0,63.0,65.0,64.0,58.0,66.0,50.0
3268,2.0,15406.0,3114.0,9447.0,41.0,11379.0,56.0,120.0,55.0,47.0,52.0,46.0,81.0,58.0,50.0,51.0,49.0,69.0,74.0,73.0,71.0,53.0,68.0,72.0,75.0,78.0,77.0,70.0,48.0,104.0
3317,1.0,2.0,3117.0,25.0,20121.0,11384.0,59.0,78.0,55.0,57.0,54.0,52.0,107.0,53.0,47.0,49.0,56.0,67.0,72.0,71.0,69.0,48.0,66.0,70.0,75.0,58.0,76.0,68.0,77.0,80.0
3366,1740.0,15406.0,47.0,27.0,20119.0,24.0,105.0,106.0,104.0,101.0,103.0,98.0,107.0,81.0,68.0,59.0,79.0,66.0,51.0,49.0,78.0,57.0,67.0,61.0,52.0,55.0,53.0,65.0,56.0,108.0
3415,1.0,15420.0,5.0,37.0,20129.0,3.0,55.0,72.0,70.0,67.0,69.0,59.0,51.0,62.0,71.0,58.0,57.0,50.0,68.0,56.0,54.0,60.0,52.0,49.0,66.0,64.0,65.0,48.0,63.0,46.0
3464,0.0,15405.0,3.0,19.0,41.0,11381.0,52.0,53.0,59.0,50.0,51.0,47.0,54.0,49.0,62.0,79.0,81.0,65.0,71.0,70.0,67.0,78.0,64.0,68.0,72.0,74.0,73.0,66.0,77.0,55.0
3513,16.0,14.0,2.0,37.0,39.0,42.0,55.0,53.0,58.0,74.0,62.0,67.0,50.0,66.0,59.0,63.0,69.0,54.0,64.0,61.0,73.0,72.0,52.0,60.0,65.0,70.0,68.0,56.0,71.0,51.0
3562,1.0,3.0,11.0,9446.0,2.0,43.0,97.0,98.0,73.0,71.0,94.0,49.0,99.0,50.0,47.0,52.0,46.0,65.0,64.0,69.0,67.0,54.0,63.0,68.0,62.0,59.0,61.0,66.0,70.0,100.0
3611,4.0,27.0,0.0,38.0,3.0,11380.0,52.0,51.0,53.0,55.0,45.0,62.0,50.0,58.0,70.0,56.0,64.0,71.0,63.0,61.0,59.0,60.0,46.0,72.0,65.0,68.0,66.0,57.0,69.0,48.0
3660,2.0,19.0,0.0,9448.0,28.0,39.0,44.0,69.0,46.0,48.0,47.0,45.0,104.0,49.0,52.0,67.0,68.0,57.0,62.0,61.0,59.0,66.0,56.0,60.0,63.0,64.0,51.0,58.0,65.0,71.0
3709,4.0,0.0,15.0,7.0,3.0,11376.0,47.0,67.0,46.0,49.0,45.0,44.0,91.0,48.0,51.0,65.0,58.0,55.0,60.0,66.0,57.0,64.0,54.0,59.0,61.0,50.0,62.0,56.0,63.0,69.0
3758,21.0,15399.0,0.0,9443.0,20115.0,29.0,59.0,70.0,57.0,51.0,60.0,48.0,81.0,50.0,62.0,63.0,47.0,64.0,71.0,68.0,66.0,77.0,84.0,67.0,78.0,74.0,72.0,65.0,76.0,100.0
3807,24.0,9.0,4.0,6.0,3.0,1.0,103.0,104.0,102.0,77.0,78.0,54.0,105.0,56.0,47.0,45.0,48.0,63.0,71.0,70.0,66.0,44.0,62.0,68.0,72.0,59.0,73.0,64.0,49.0,107.0
3856,29.0,15401.0,1.0,25.0,2.0,3.0,59.0,47.0,48.0,51.0,49.0,56.0,57.0,55.0,50.0,60.0,58.0,64.0,72.0,70.0,66.0,62.0,63.0,67.0,74.0,61.0,75.0,65.0,77.0,79.0
3905,8.0,15402.0,0.0,9446.0,40.0,25.0,59.0,58.0,60.0,79.0,61.0,77.0,43.0,78.0,75.0,73.0,76.0,125.0,63.0,62.0,123.0,71.0,184.0,83.0,65.0,68.0,66.0,124.0,69.0,44.0
3954,32.0,1.0,3115.0,25.0,39.0,9.0,56.0,57.0,55.0,53.0,54.0,51.0,58.0,52.0,61.0,63.0,48.0,66.0,73.0,76.0,47.0,65.0,62.0,77.0,72.0,68.0,70.0,78.0,67.0,59.0
4003,17.0,11.0,22.0,16.0,20129.0,11378.0,110.0,89.0,76.0,61.0,62.0,59.0,113.0,60.0,56.0,63.0,57.0,66.0,48.0,47.0,64.0,53.0,86.0,55.0,49.0,51.0,50.0,88.0,52.0,114.0
4052,17.0,15405.0,29.0,34.0,0.0,11374.0,63.0,81.0,82.0,77.0,79.0,75.0,61.0,76.0,73.0,72.0,74.0,125.0,66.0,64.0,124.0,71.0,185.0,84.0,67.0,69.0,68.0,198.0,70.0,60.0
4101,1.0,15398.0,0.0,37.0,40.0,36.0,96.0,97.0,95.0,116.0,70.0,50.0,98.0,68.0,51.0,45.0,48.0,63.0,62.0,64.0,46.0,44.0,60.0,66.0,61.0,55.0,58.0,65.0,67.0,99.0
4150,8.0,15404.0,3088.0,31.0,20115.0,11374.0,51.0,52.0,50.0,63.0,49.0,79.0,61.0,64.0,77.0,76.0,78.0,128.0,66.0,65.0,126.0,81.0,184.0,104.0,67.0,70.0,68.0,188.0,73.0,55.0
4199,15.0,15403.0,0.0,20.0,3.0,11379.0,115.0,116.0,114.0,112.0,113.0,88.0,117.0,89.0,76.0,63.0,87.0,51.0,56.0,55.0,53.0,62.0,50.0,54.0,58.0,60.0,59.0,52.0,61.0,118.0
4248,3.0,15404.0,24.0,11.0,20129.0,37.0,74.0,75.0,73.0,70.0,71.0,68.0,76.0,69.0,64.0,61.0,67.0,175.0,122.0,181.0,179.0,65.0,174.0,180.0,120.0,78.0,57.0,177.0,66.0,77.0
4297,1742.0,15404.0,1.0,36.0,37.0,11378.0,48.0,49.0,47.0,62.0,52.0,66.0,51.0,67.0,70.0,61.0,64.0,71.0,58.0,60.0,65.0,59.0,55.0,63.0,56.0,54.0,69.0,68.0,57.0,115.0
4346,0.0,7.0,1.0,25.0,31.0,11378.0,95.0,73.0,65.0,53.0,46.0,50.0,98.0,51.0,49.0,52.0,54.0,69.0,63.0,64.0,67.0,70.0,55.0,66.0,62.0,71.0,57.0,68.0,56.0,99.0
4395,1765.0,16.0,11.0,27.0,37.0,1.0,81.0,101.0,58.0,56.0,57.0,60.0,103.0,55.0,50.0,48.0,53.0,70.0,76.0,75.0,72.0,47.0,69.0,73.0,63.0,52.0,62.0,71.0,46.0,117.0
4444,2.0,0.0,9.0,39.0,20112.0,5.0,62.0,61.0,64.0,66.0,52.0,63.0,54.0,65.0,59.0,58.0,60.0,183.0,43.0,99.0,209.0,57.0,182.0,113.0,45.0,55.0,50.0,115.0,56.0,53.0
4493,6.0,29.0,3108.0,35.0,20116.0,0.0,81.0,63.0,80.0,78.0,79.0,76.0,82.0,77.0,74.0,73.0,75.0,186.0,201.0,129.0,188.0,72.0,185.0,128.0,105.0,67.0,65.0,187.0,68.0,62.0
4542,1758.0,12.0,13.0,28.0,41.0,34.0,54.0,56.0,52.0,51.0,50.0,48.0,77.0,49.0,76.0,60.0,58.0,63.0,69.0,68.0,65.0,75.0,62.0,67.0,70.0,72.0,71.0,64.0,74.0,117.0
4591,13.0,15403.0,6.0,35.0,44.0,32.0,55.0,56.0,47.0,51.0,49.0,70.0,53.0,52.0,62.0,63.0,60.0,50.0,67.0,64.0,58.0,65.0,48.0,59.0,61.0,69.0,57.0,54.0,66.0,68.0
4640,4.0,0.0,1.0,6.0,30.0,2.0,44.0,49.0,46.0,48.0,51.0,42.0,50.0,45.0,47.0,69.0,43.0,58.0,63.0,62.0,60.0,53.0,57.0,61.0,64.0,66.0,65.0,59.0,68.0,67.0
4689,1755.0,9.0,2.0,25.0,20116.0,0.0,78.0,77.0,105.0,54.0,76.0,50.0,99.0,51.0,47.0,57.0,48.0,66.0,59.0,72.0,69.0,49.0,65.0,71.0,60.0,55.0,67.0,75.0,52.0,100.0
4738,26.0,2.0,8.0,38.0,1.0,0.0,50.0,48.0,54.0,56.0,69.0,61.0,46.0,60.0,63.0,64.0,62.0,47.0,59.0,58.0,52.0,65.0,45.0,57.0,67.0,68.0,55.0,51.0,66.0,49.0
4787,4.0,30.0,28.0,18.0,20115.0,21.0,79.0,60.0,78.0,76.0,77.0,73.0,70.0,74.0,80.0,71.0,72.0,186.0,62.0,83.0,167.0,68.0,185.0,124.0,63.0,65.0,64.0,125.0,66.0,59.0
4836,1739.0,15404.0,2.0,30.0,20118.0,43.0,106.0,107.0,105.0,103.0,104.0,101.0,108.0,102.0,79.0,57.0,100.0,68.0,48.0,47.0,64.0,55.0,69.0,62.0,49.0,61.0,50.0,65.0,54.0,109.0
4885,1761.0,3.0,40.0,22.0,20119.0,35.0,101.0,102.0,116.0,96.0,78.0,74.0,107.0,76.0,44.0,54.0,50.0,72.0,47.0,46.0,57.0,56.0,71.0,53.0,48.0,49.0,55.0,73.0,52.0,115.0
