,STOMACH,URINARY,OESOPHAGUS,LARGE_INTESTINE,HAEMATOPOIETIC,AERODIGESTIVE,THYROID,SKIN,SOFT_TISSUE,PANCREAS,PROSTATE,BILIARY,SALIVARY,BONE,PLEURA,ENDOMETRIUM,BREAST,KIDNEY,OVARY,GANGLIA,NERVOUS,LIVER,LUNG
2542,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,9.0,14.0,10.0,11.0,15.0,22.0,13.0,12.0,17.0,18.0,21.0,19.0,16.0,20.0
2591,0.0,9.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,11.0,13.0,8.0,10.0,21.0,12.0,14.0,15.0,17.0,18.0,19.0,20.0,16.0,22.0
2640,0.0,6.0,1.0,3.0,2.0,5.0,7.0,8.0,4.0,12.0,15.0,9.0,10.0,11.0,16.0,21.0,14.0,18.0,19.0,13.0,20.0,17.0,22.0
2689,0.0,1.0,2.0,7.0,3.0,6.0,8.0,4.0,5.0,9.0,14.0,10.0,11.0,15.0,22.0,20.0,13.0,17.0,18.0,12.0,19.0,16.0,21.0
2738,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,22.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,0.0
2787,0.0,1.0,2.0,6.0,5.0,4.0,8.0,3.0,7.0,11.0,14.0,9.0,10.0,15.0,22.0,20.0,13.0,17.0,18.0,12.0,19.0,16.0,21.0
2836,0.0,1.0,2.0,3.0,7.0,4.0,9.0,5.0,6.0,11.0,12.0,8.0,10.0,15.0,17.0,18.0,19.0,21.0,13.0,22.0,14.0,20.0,16.0
2885,0.0,1.0,2.0,4.0,5.0,3.0,7.0,8.0,6.0,11.0,14.0,9.0,10.0,15.0,22.0,13.0,12.0,20.0,17.0,21.0,18.0,16.0,19.0
2934,5.0,0.0,6.0,2.0,1.0,4.0,8.0,3.0,7.0,11.0,14.0,9.0,10.0,15.0,22.0,20.0,13.0,17.0,18.0,12.0,19.0,16.0,21.0
2983,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,13.0,14.0,16.0,12.0,15.0,11.0,18.0,19.0,20.0,21.0,17.0,22.0
3032,0.0,1.0,6.0,2.0,3.0,4.0,7.0,8.0,5.0,9.0,10.0,12.0,13.0,16.0,11.0,14.0,15.0,19.0,20.0,21.0,22.0,18.0,17.0
3081,0.0,1.0,2.0,3.0,4.0,5.0,6.0,14.0,8.0,7.0,10.0,12.0,13.0,15.0,11.0,16.0,9.0,18.0,19.0,20.0,21.0,17.0,22.0
3130,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,13.0,14.0,16.0,15.0,12.0,10.0,19.0,20.0,21.0,22.0,18.0,17.0
3179,1.0,15.0,2.0,3.0,5.0,4.0,14.0,7.0,8.0,6.0,0.0,12.0,13.0,11.0,10.0,16.0,9.0,17.0,18.0,20.0,19.0,21.0,22.0
3228,2.0,0.0,3.0,4.0,5.0,6.0,1.0,7.0,8.0,9.0,11.0,13.0,14.0,16.0,12.0,15.0,10.0,21.0,17.0,22.0,18.0,20.0,19.0
3277,0.0,1.0,6.0,2.0,3.0,4.0,7.0,8.0,5.0,9.0,15.0,10.0,11.0,12.0,13.0,17.0,14.0,19.0,20.0,21.0,16.0,18.0,22.0
3326,3.0,0.0,4.0,5.0,6.0,1.0,2.0,14.0,8.0,7.0,10.0,12.0,13.0,22.0,11.0,15.0,9.0,17.0,18.0,19.0,20.0,16.0,21.0
3375,0.0,3.0,4.0,5.0,6.0,1.0,2.0,7.0,8.0,9.0,10.0,13.0,14.0,22.0,12.0,15.0,11.0,17.0,18.0,19.0,20.0,16.0,21.0
3424,0.0,1.0,7.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,13.0,14.0,16.0,12.0,11.0,19.0,20.0,21.0,22.0,15.0,18.0,17.0
3473,0.0,7.0,1.0,2.0,3.0,4.0,11.0,12.0,6.0,5.0,8.0,10.0,9.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,13.0,14.0,22.0
3522,3.0,11.0,0.0,4.0,1.0,5.0,7.0,8.0,2.0,6.0,9.0,10.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,13.0,14.0,22.0
3571,3.0,6.0,0.0,4.0,1.0,9.0,7.0,8.0,2.0,5.0,15.0,10.0,11.0,17.0,16.0,21.0,14.0,19.0,20.0,13.0,12.0,18.0,22.0
3620,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3669,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3718,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,22.0,14.0,17.0,11.0,19.0,20.0,21.0,15.0,18.0,16.0
3767,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,17.0,14.0,18.0,19.0,20.0,15.0,21.0,13.0,22.0,16.0
3816,2.0,14.0,3.0,4.0,6.0,5.0,0.0,8.0,9.0,7.0,1.0,15.0,13.0,22.0,11.0,20.0,10.0,21.0,17.0,19.0,18.0,16.0,12.0
3865,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,13.0,14.0,17.0,16.0,12.0,11.0,19.0,20.0,15.0,21.0,18.0,22.0
3914,0.0,4.0,5.0,1.0,6.0,7.0,2.0,8.0,3.0,9.0,11.0,12.0,13.0,16.0,14.0,17.0,10.0,18.0,19.0,20.0,15.0,22.0,21.0
3963,2.0,3.0,0.0,5.0,4.0,1.0,6.0,7.0,8.0,9.0,10.0,13.0,14.0,16.0,17.0,15.0,12.0,19.0,20.0,11.0,21.0,18.0,22.0
4012,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4061,0.0,1.0,2.0,4.0,3.0,8.0,5.0,6.0,7.0,9.0,15.0,10.0,11.0,16.0,21.0,12.0,14.0,18.0,19.0,13.0,20.0,17.0,22.0
4110,0.0,6.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,12.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4159,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,17.0,13.0,21.0,22.0
4208,0.0,11.0,3.0,4.0,6.0,5.0,7.0,8.0,2.0,1.0,9.0,10.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,21.0,14.0,13.0
4257,0.0,1.0,2.0,4.0,3.0,8.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,11.0,21.0,18.0,22.0
4306,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4355,0.0,1.0,2.0,3.0,5.0,4.0,14.0,7.0,8.0,6.0,9.0,12.0,13.0,11.0,10.0,15.0,17.0,18.0,19.0,16.0,20.0,21.0,22.0
4404,0.0,11.0,1.0,2.0,4.0,3.0,7.0,12.0,5.0,6.0,8.0,10.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,13.0,22.0
4453,1.0,2.0,3.0,4.0,8.0,5.0,6.0,7.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,17.0,22.0,18.0,16.0,19.0,20.0,21.0
4502,3.0,7.0,4.0,5.0,0.0,1.0,8.0,6.0,2.0,10.0,9.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,13.0
4551,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4600,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4649,0.0,11.0,1.0,2.0,4.0,3.0,8.0,6.0,7.0,5.0,9.0,10.0,12.0,14.0,21.0,15.0,16.0,22.0,17.0,19.0,18.0,13.0,20.0
4698,0.0,1.0,3.0,4.0,5.0,6.0,7.0,2.0,8.0,9.0,10.0,13.0,14.0,15.0,12.0,11.0,17.0,22.0,18.0,19.0,20.0,16.0,21.0
4747,0.0,1.0,2.0,3.0,5.0,6.0,4.0,14.0,8.0,7.0,9.0,12.0,13.0,11.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
4796,0.0,7.0,1.0,3.0,2.0,6.0,8.0,4.0,5.0,9.0,14.0,10.0,11.0,15.0,21.0,19.0,13.0,22.0,17.0,12.0,18.0,16.0,20.0
4845,0.0,11.0,1.0,8.0,3.0,2.0,12.0,6.0,5.0,4.0,7.0,10.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,20.0,13.0,22.0
4894,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
