,TMC6,RP11-93B14.5,RP11-973F15.1,ETV4,CTSE,CTD-2231H16.1,RP11-114H23.1,RP11-712B9.2,SH3TC2,EML1,KLF3,DBN1,MBP,C15orf59,MYLK,TOR4A,CACNA1G,SAMD11,ENAH,EVPL,FUT4,UBALD2,ETV5-AS1,ETV5,MAGEE1,ALPL,PRPS1,CMTM7,CAPNS2,ACY1
497,11591.0,37.0,2.0,1.0,118.0,87.0,0.0,4.0,20625.0,145.0,13621.0,378.0,11755.0,2414.0,70.0,19422.0,6.0,20.0,17369.0,5.0,325.0,88.0,57.0,128.0,7932.0,15742.0,8314.0,8.0,10146.0,3.0
546,2.0,7.0,25.0,0.0,17683.0,17.0,5152.0,4171.0,101.0,9.0,13628.0,21162.0,185.0,35.0,62.0,100.0,1.0,15.0,289.0,12.0,56.0,288.0,41.0,14599.0,7939.0,15714.0,73.0,484.0,104.0,20.0
595,10.0,9.0,18119.0,1.0,31.0,27.0,7.0,105.0,116.0,16.0,13709.0,21167.0,11707.0,25.0,14432.0,13.0,0.0,14.0,17421.0,82.0,49.0,11627.0,119.0,14686.0,7931.0,15738.0,40.0,8.0,10121.0,15.0
644,0.0,5.0,10.0,1.0,3.0,21.0,5282.0,87.0,98.0,53.0,1205.0,54.0,846.0,24.0,46.0,88.0,80.0,9.0,17359.0,50.0,3931.0,751.0,156.0,14514.0,7925.0,15737.0,48.0,12607.0,246.0,14.0
693,1.0,0.0,2.0,3.0,86.0,17.0,5.0,160.0,20578.0,99.0,13510.0,11.0,204.0,3225.0,14461.0,19430.0,4.0,6.0,17368.0,11639.0,49.0,30.0,198.0,14595.0,7949.0,15744.0,33.0,12158.0,10.0,39.0
742,1.0,0.0,3.0,5.0,92.0,11.0,4.0,3935.0,127.0,109.0,145.0,46.0,8.0,3228.0,2.0,19187.0,9625.0,13.0,17425.0,11660.0,29.0,327.0,14554.0,14555.0,887.0,15736.0,23.0,12112.0,61.0,12448.0
791,0.0,2.0,3.0,9787.0,7.0,21599.0,5246.0,43.0,64.0,4.0,13499.0,21100.0,38.0,49.0,106.0,126.0,1.0,10.0,17370.0,61.0,3917.0,13.0,170.0,14586.0,7929.0,15709.0,25.0,923.0,5.0,12397.0
840,0.0,1.0,2.0,8.0,34.0,21584.0,25.0,4051.0,20620.0,44.0,13757.0,21173.0,21.0,2349.0,5.0,19439.0,53.0,10.0,17378.0,27.0,6.0,11640.0,71.0,14575.0,459.0,15716.0,17.0,191.0,50.0,12469.0
889,0.0,2.0,3.0,9733.0,36.0,21575.0,474.0,24.0,12.0,77.0,4.0,21128.0,27.0,2727.0,35.0,52.0,100.0,10.0,87.0,67.0,32.0,353.0,93.0,119.0,7940.0,46.0,8321.0,12139.0,8.0,172.0
938,0.0,3.0,1.0,77.0,9.0,21538.0,78.0,18.0,2.0,6.0,23.0,462.0,27.0,3543.0,14438.0,33.0,8.0,17.0,17358.0,11645.0,49.0,11639.0,129.0,14574.0,7913.0,15730.0,8344.0,12119.0,42.0,12433.0
987,1.0,9.0,2.0,0.0,3.0,110.0,330.0,107.0,1067.0,28.0,13498.0,13.0,11748.0,254.0,14444.0,19193.0,783.0,31.0,17367.0,11624.0,20.0,11653.0,153.0,69.0,7922.0,201.0,6.0,145.0,220.0,12386.0
1036,0.0,3.0,6.0,2.0,5.0,83.0,1.0,20.0,844.0,515.0,115.0,4.0,11697.0,2568.0,14428.0,81.0,9592.0,50.0,17429.0,23.0,3945.0,104.0,152.0,12.0,534.0,15745.0,40.0,12125.0,208.0,1020.0
1085,70.0,4.0,8.0,6.0,17555.0,109.0,176.0,34.0,20628.0,55.0,13737.0,11.0,11804.0,2827.0,690.0,19189.0,9627.0,37.0,17368.0,11643.0,3966.0,11656.0,14558.0,18.0,7943.0,15737.0,194.0,10.0,10139.0,12452.0
1134,9.0,5.0,7.0,0.0,216.0,77.0,1.0,51.0,185.0,2.0,75.0,26.0,11760.0,442.0,14465.0,58.0,9597.0,248.0,17432.0,11633.0,4180.0,11650.0,184.0,15.0,7932.0,15737.0,32.0,12126.0,94.0,12461.0
1183,4.0,10.0,18113.0,1.0,12.0,21615.0,0.0,14.0,67.0,180.0,13744.0,8.0,205.0,1159.0,266.0,19192.0,9623.0,347.0,17430.0,11656.0,289.0,11649.0,131.0,250.0,7937.0,15731.0,8345.0,12150.0,9.0,12419.0
1232,9.0,6.0,7.0,1.0,17580.0,21616.0,14.0,2.0,31.0,170.0,13764.0,4.0,86.0,3233.0,14454.0,145.0,0.0,15820.0,68.0,11644.0,4203.0,11682.0,96.0,14702.0,73.0,15751.0,8361.0,398.0,19.0,12452.0
1281,8.0,4.0,41.0,10.0,109.0,1.0,0.0,13.0,64.0,1574.0,13633.0,21099.0,76.0,3283.0,14467.0,19440.0,43.0,15831.0,17372.0,11649.0,4195.0,56.0,14601.0,310.0,7943.0,15720.0,8329.0,3.0,7.0,96.0
1330,0.0,15.0,18360.0,9.0,17683.0,3.0,1.0,2.0,325.0,3080.0,5.0,67.0,27.0,2424.0,14457.0,24.0,9571.0,15806.0,17366.0,11659.0,152.0,110.0,109.0,150.0,7947.0,15747.0,8333.0,12150.0,21.0,107.0
1379,1.0,12.0,8.0,9.0,17565.0,27.0,2.0,0.0,70.0,3198.0,3.0,21098.0,26.0,2351.0,181.0,30.0,52.0,15831.0,17380.0,11662.0,3977.0,11677.0,162.0,374.0,41.0,15752.0,8325.0,552.0,24.0,12413.0
1428,0.0,1.0,9.0,9799.0,241.0,21613.0,53.0,3.0,20634.0,577.0,4.0,74.0,51.0,2324.0,110.0,13.0,27.0,15816.0,8.0,11677.0,210.0,11670.0,80.0,19.0,35.0,149.0,519.0,12155.0,32.0,12455.0
1477,0.0,1.0,26.0,30.0,195.0,62.0,17.0,25.0,2.0,72.0,74.0,4.0,11708.0,148.0,14443.0,3.0,55.0,8.0,1188.0,11592.0,28.0,115.0,14573.0,21.0,23.0,15754.0,31.0,275.0,33.0,20.0
1526,5.0,0.0,7.0,28.0,144.0,21611.0,3.0,14.0,2.0,86.0,921.0,1.0,58.0,3257.0,14429.0,6.0,196.0,17.0,799.0,31.0,13.0,786.0,14561.0,14562.0,36.0,15710.0,29.0,336.0,18.0,19.0
1575,1.0,3.0,0.0,27.0,17681.0,23.0,5.0,6.0,24.0,114.0,308.0,2.0,11696.0,4.0,14210.0,15.0,240.0,22.0,55.0,8.0,17.0,76.0,14577.0,14578.0,7927.0,84.0,14.0,12372.0,58.0,20.0
1624,1.0,0.0,19.0,9782.0,17669.0,20.0,8.0,3927.0,11.0,106.0,13506.0,3.0,11809.0,5.0,14443.0,2.0,9614.0,28.0,17385.0,11659.0,30.0,11653.0,14580.0,14581.0,124.0,15682.0,232.0,283.0,27.0,15.0
1673,67.0,1.0,0.0,32.0,11.0,3.0,18.0,78.0,41.0,1329.0,619.0,34.0,11686.0,2.0,343.0,107.0,9584.0,27.0,17363.0,11625.0,51.0,84.0,14579.0,212.0,64.0,12.0,6.0,12141.0,28.0,12415.0
1722,4.0,1.0,0.0,29.0,17567.0,2.0,198.0,5.0,39.0,127.0,1148.0,19.0,11704.0,20.0,82.0,19430.0,532.0,22.0,17377.0,11638.0,59.0,109.0,14599.0,14600.0,858.0,15746.0,51.0,12127.0,94.0,9.0
1771,2.0,7.0,0.0,9725.0,17706.0,32.0,10.0,94.0,99.0,114.0,19.0,1.0,11806.0,3.0,14208.0,54.0,9600.0,36.0,17361.0,11653.0,51.0,11646.0,14550.0,300.0,7912.0,5.0,138.0,12135.0,10107.0,12384.0
1820,3.0,0.0,4.0,24.0,17.0,44.0,83.0,96.0,15.0,3340.0,5.0,1.0,105.0,38.0,14433.0,110.0,87.0,21.0,17437.0,124.0,4298.0,11974.0,11.0,14559.0,2893.0,74.0,18.0,119.0,143.0,22.0
1869,81.0,10.0,1.0,16.0,17708.0,46.0,4.0,70.0,20629.0,34.0,0.0,6.0,57.0,5.0,65.0,19194.0,9585.0,20.0,8.0,7.0,3849.0,11640.0,14594.0,403.0,7921.0,83.0,8307.0,12150.0,150.0,12420.0
1918,11656.0,43.0,3.0,0.0,17565.0,10.0,2.0,105.0,741.0,66.0,1.0,4.0,30.0,69.0,80.0,19428.0,35.0,22.0,15.0,5.0,732.0,11639.0,14568.0,14569.0,412.0,15747.0,57.0,246.0,10158.0,12464.0
1967,4.0,5.0,29.0,17.0,10.0,33.0,67.0,80.0,9.0,0.0,91.0,21117.0,24.0,3.0,695.0,19184.0,9609.0,6.0,95.0,85.0,2.0,11.0,615.0,14583.0,30.0,7.0,8328.0,283.0,10142.0,12416.0
2016,0.0,17.0,24.0,9728.0,9.0,11.0,8.0,48.0,42.0,1.0,144.0,21105.0,46.0,2.0,14415.0,19177.0,9602.0,23.0,17419.0,11632.0,36.0,105.0,212.0,14.0,6.0,5.0,8307.0,12110.0,85.0,12448.0
2065,1.0,0.0,11.0,23.0,13.0,37.0,5236.0,32.0,17.0,4.0,2.0,21115.0,47.0,20.0,375.0,19171.0,9556.0,8.0,17347.0,11617.0,3.0,11601.0,76.0,64.0,7899.0,15719.0,8328.0,127.0,71.0,12363.0
2114,7.0,3.0,65.0,17.0,19.0,873.0,5255.0,20.0,14.0,4.0,62.0,0.0,2.0,13.0,14430.0,19310.0,134.0,6.0,999.0,11642.0,67.0,11644.0,14566.0,145.0,7904.0,15739.0,8371.0,12182.0,48.0,12428.0
2163,0.0,7.0,120.0,9779.0,48.0,21605.0,5218.0,46.0,12.0,2.0,34.0,3.0,4.0,30.0,14451.0,19184.0,14.0,15.0,17368.0,11622.0,324.0,58.0,115.0,87.0,7905.0,15701.0,8293.0,157.0,67.0,12439.0
2212,0.0,1.0,2.0,9786.0,3.0,21601.0,75.0,22.0,17.0,6.0,18.0,20.0,7.0,8.0,14454.0,19187.0,526.0,31.0,17368.0,11627.0,3928.0,12.0,14552.0,68.0,7924.0,92.0,8328.0,149.0,55.0,12447.0
2261,0.0,6.0,1.0,9722.0,5.0,21603.0,5247.0,2.0,17.0,3.0,19.0,21127.0,12.0,24.0,78.0,19304.0,22.0,26.0,17356.0,11614.0,3925.0,60.0,14586.0,41.0,58.0,15731.0,416.0,12122.0,45.0,12437.0
2310,0.0,8.0,4.0,1067.0,6.0,34.0,19.0,3931.0,9.0,1.0,17.0,3.0,7.0,5.0,27.0,19190.0,58.0,25.0,17363.0,11570.0,3937.0,674.0,143.0,14587.0,7915.0,286.0,8301.0,136.0,10144.0,12443.0
2359,0.0,4.0,30.0,61.0,10.0,21597.0,5263.0,3937.0,6.0,20.0,13488.0,1.0,25.0,21.0,14446.0,143.0,7.0,9.0,37.0,972.0,3953.0,131.0,14584.0,15.0,7915.0,15731.0,336.0,699.0,40.0,12439.0
2408,0.0,4.0,9.0,9781.0,57.0,68.0,5268.0,3947.0,8.0,24.0,16.0,2.0,25.0,21.0,40.0,19190.0,106.0,7.0,15.0,83.0,3936.0,1.0,14557.0,14566.0,448.0,152.0,8304.0,91.0,43.0,365.0
2457,0.0,4.0,2.0,9763.0,26.0,1.0,12.0,24.0,119.0,3098.0,72.0,9.0,16.0,77.0,1289.0,84.0,9613.0,88.0,21.0,120.0,3959.0,3.0,14573.0,37.0,44.0,27.0,66.0,25.0,10116.0,12450.0
2506,1.0,0.0,2.0,15.0,14.0,3.0,8.0,13.0,20621.0,1529.0,7.0,106.0,24.0,73.0,152.0,125.0,9622.0,15818.0,6.0,79.0,3914.0,31.0,181.0,14587.0,7941.0,9.0,228.0,12145.0,131.0,12390.0
2555,0.0,1.0,2.0,11607.0,36.0,4.0,5792.0,5.0,20573.0,3537.0,669.0,3.0,27.0,2734.0,46.0,141.0,374.0,15815.0,40.0,45.0,6187.0,16.0,14.0,14586.0,3832.0,18.0,2308.0,12115.0,112.0,824.0
2604,0.0,18.0,23.0,21.0,6.0,2.0,135.0,26.0,16.0,1.0,374.0,123.0,10678.0,3512.0,104.0,646.0,11679.0,15827.0,17402.0,41.0,116.0,10.0,9.0,115.0,11762.0,37.0,46.0,186.0,10024.0,30.0
2653,2.0,0.0,4.0,30.0,34.0,18.0,6246.0,5.0,21.0,60.0,13498.0,144.0,11707.0,38.0,14330.0,6.0,103.0,15817.0,17356.0,11622.0,4798.0,147.0,154.0,289.0,7929.0,26.0,165.0,461.0,10138.0,12419.0
2702,0.0,24.0,14.0,23.0,6.0,17.0,3.0,1.0,13.0,78.0,571.0,42.0,11708.0,21.0,18.0,16.0,8.0,15827.0,17377.0,85.0,12.0,294.0,4.0,53.0,940.0,46.0,8369.0,481.0,261.0,12402.0
2751,0.0,3.0,9.0,11.0,37.0,1.0,54.0,4.0,40.0,64.0,27.0,25.0,11693.0,5.0,46.0,22.0,257.0,166.0,17359.0,11634.0,16.0,170.0,150.0,14588.0,7929.0,51.0,108.0,12144.0,10147.0,89.0
2800,2.0,3.0,0.0,8.0,72.0,1.0,94.0,18.0,24.0,43.0,50.0,5.0,11705.0,3252.0,4.0,13.0,9617.0,92.0,17375.0,11641.0,7.0,10.0,14580.0,23.0,7937.0,160.0,712.0,12137.0,210.0,12445.0
2849,0.0,6906.0,1.0,7.0,17636.0,5.0,23.0,20.0,20641.0,16.0,13759.0,31.0,11731.0,116.0,19.0,17.0,9614.0,15840.0,385.0,11671.0,91.0,24.0,14587.0,272.0,414.0,122.0,107.0,12163.0,10176.0,12478.0
2898,0.0,57.0,126.0,1.0,17683.0,21.0,5145.0,4.0,439.0,54.0,2.0,12.0,11838.0,2723.0,6.0,14.0,9604.0,15834.0,17376.0,11650.0,3.0,11664.0,249.0,9.0,7944.0,15700.0,8334.0,241.0,10174.0,402.0
2947,0.0,8.0,18131.0,44.0,29.0,2.0,3.0,3922.0,27.0,3046.0,9.0,83.0,11850.0,2524.0,26.0,1.0,4.0,128.0,1019.0,11652.0,102.0,518.0,14599.0,23.0,444.0,15739.0,8309.0,14.0,10146.0,124.0
2996,0.0,1.0,10.0,4.0,24.0,110.0,38.0,13.0,11.0,2961.0,17.0,92.0,105.0,2716.0,20.0,5.0,3.0,788.0,17376.0,107.0,9.0,11659.0,256.0,111.0,7948.0,15717.0,8354.0,154.0,10132.0,12470.0
3045,0.0,1.0,20.0,2.0,26.0,5.0,867.0,65.0,60.0,3145.0,15.0,7.0,10897.0,3406.0,4.0,3.0,8.0,217.0,618.0,13.0,4027.0,9.0,93.0,14585.0,8310.0,15733.0,46.0,142.0,10201.0,16.0
3094,0.0,1.0,34.0,2.0,22.0,5.0,5116.0,43.0,20621.0,1080.0,6.0,21094.0,11713.0,15.0,8.0,3.0,9593.0,15824.0,118.0,74.0,4023.0,11640.0,216.0,11.0,89.0,15714.0,8337.0,12160.0,10153.0,12403.0
3143,0.0,1.0,20.0,3.0,5.0,43.0,109.0,16.0,28.0,1343.0,10.0,21105.0,11701.0,25.0,13.0,6.0,12.0,15824.0,125.0,7.0,11.0,56.0,14582.0,103.0,7934.0,15737.0,8347.0,12140.0,10159.0,4.0
3192,0.0,1.0,8.0,2.0,15.0,41.0,5259.0,33.0,394.0,1539.0,783.0,21099.0,11817.0,17.0,68.0,88.0,31.0,15821.0,89.0,3.0,10.0,252.0,274.0,14590.0,16.0,15711.0,8319.0,69.0,10143.0,12449.0
3241,0.0,1.0,10.0,7.0,21.0,45.0,499.0,302.0,2.0,37.0,20.0,83.0,11814.0,5.0,14.0,55.0,4.0,40.0,48.0,3.0,9.0,11661.0,14573.0,213.0,39.0,15731.0,8340.0,354.0,10141.0,52.0
3290,0.0,1.0,52.0,2.0,17569.0,24.0,5266.0,3982.0,20641.0,22.0,64.0,3.0,109.0,79.0,4.0,159.0,9628.0,25.0,12.0,42.0,7.0,11658.0,180.0,14692.0,28.0,15741.0,114.0,12184.0,10155.0,12446.0
3339,0.0,1.0,12.0,9.0,60.0,54.0,5270.0,3951.0,20635.0,3.0,13753.0,4.0,81.0,71.0,52.0,19429.0,9603.0,40.0,5.0,64.0,100.0,11639.0,181.0,14574.0,18.0,675.0,146.0,273.0,10167.0,12440.0
3388,0.0,1.0,10.0,2.0,66.0,38.0,232.0,112.0,20619.0,129.0,13732.0,65.0,58.0,3.0,14417.0,19172.0,9570.0,16.0,7.0,20.0,82.0,282.0,14556.0,14557.0,22.0,15722.0,140.0,12161.0,91.0,53.0
3437,11643.0,2.0,21.0,0.0,15.0,14.0,5153.0,5.0,1.0,1378.0,9.0,104.0,11839.0,3198.0,3.0,22.0,152.0,15834.0,28.0,13.0,4183.0,6.0,253.0,113.0,7949.0,15747.0,8332.0,12159.0,10171.0,32.0
3486,1.0,5.0,18.0,3.0,9.0,8.0,49.0,14.0,237.0,3046.0,27.0,152.0,76.0,2511.0,0.0,20.0,61.0,19.0,2.0,4.0,3910.0,144.0,14583.0,14584.0,71.0,15736.0,8304.0,227.0,10142.0,96.0
3535,8.0,5.0,1.0,0.0,18.0,78.0,5281.0,11.0,20620.0,2888.0,3.0,95.0,11830.0,3348.0,2.0,23.0,9644.0,15813.0,26.0,6.0,265.0,151.0,14588.0,86.0,1119.0,66.0,420.0,12201.0,10145.0,509.0
3584,28.0,5.0,4.0,0.0,22.0,21619.0,5158.0,2.0,786.0,3197.0,3.0,21170.0,6.0,2467.0,1.0,35.0,9.0,17.0,13.0,44.0,4175.0,81.0,82.0,12.0,11.0,15745.0,8326.0,219.0,10132.0,12471.0
3633,14.0,40.0,90.0,1.0,2.0,187.0,318.0,9.0,53.0,121.0,0.0,21093.0,3.0,2671.0,6.0,12.0,23.0,15798.0,41.0,78.0,8.0,10.0,14594.0,5.0,47.0,15736.0,412.0,26.0,10142.0,591.0
3682,33.0,3.0,2.0,0.0,5.0,109.0,5902.0,13.0,20627.0,168.0,10.0,21107.0,31.0,2818.0,8.0,54.0,15.0,816.0,12.0,7.0,206.0,16.0,116.0,26.0,1890.0,15735.0,2009.0,12146.0,10116.0,18.0
3731,18.0,2.0,3.0,0.0,15.0,10.0,303.0,17.0,79.0,3159.0,8.0,184.0,4.0,43.0,93.0,32.0,25.0,15819.0,20.0,13.0,4164.0,9.0,36.0,23.0,7927.0,28.0,8314.0,614.0,10154.0,39.0
3780,11664.0,3.0,1.0,0.0,4.0,233.0,5153.0,19.0,48.0,1412.0,8.0,21166.0,6.0,132.0,74.0,35.0,11.0,390.0,22.0,11584.0,4171.0,11646.0,86.0,20.0,126.0,15744.0,71.0,12121.0,10133.0,55.0
3829,910.0,6.0,2.0,0.0,7.0,143.0,5248.0,8.0,37.0,1331.0,1.0,21092.0,3.0,3164.0,40.0,96.0,9604.0,15817.0,23.0,142.0,3924.0,11.0,14586.0,251.0,7932.0,15732.0,47.0,12148.0,10143.0,5.0
3878,15.0,2.0,0.0,1.0,22.0,26.0,5250.0,40.0,20609.0,80.0,69.0,21162.0,32.0,71.0,50.0,19425.0,5.0,15821.0,31.0,7.0,3906.0,127.0,14598.0,176.0,83.0,15744.0,30.0,12123.0,10117.0,12459.0
3927,0.0,5.0,1.0,17.0,14.0,21532.0,2.0,6.0,36.0,37.0,1117.0,26.0,28.0,3.0,101.0,19305.0,71.0,19.0,4.0,11653.0,3927.0,108.0,85.0,14572.0,917.0,16.0,8300.0,12117.0,10103.0,155.0
3976,1.0,4.0,0.0,8.0,6.0,21614.0,16.0,2.0,20630.0,70.0,541.0,7.0,3.0,69.0,50.0,135.0,9612.0,40.0,14.0,11636.0,3939.0,11.0,14770.0,14683.0,362.0,48.0,642.0,12119.0,10107.0,127.0
4025,0.0,17.0,1.0,11.0,16.0,21612.0,62.0,7.0,20635.0,43.0,13747.0,4.0,57.0,8.0,1098.0,105.0,20.0,19.0,3.0,11630.0,3938.0,21.0,409.0,14568.0,1052.0,23.0,8312.0,12109.0,10149.0,102.0
4074,2.0,0.0,3.0,15.0,29.0,57.0,1.0,17.0,20602.0,99.0,13745.0,6.0,7.0,122.0,14453.0,138.0,21.0,15824.0,5.0,11635.0,3911.0,18.0,179.0,245.0,256.0,35.0,533.0,58.0,10140.0,12399.0
4123,2.0,1.0,5.0,0.0,8.0,21575.0,21.0,20.0,1072.0,54.0,203.0,7.0,6.0,137.0,14329.0,159.0,121.0,30.0,4.0,11652.0,55.0,3.0,14585.0,14586.0,940.0,62.0,8367.0,12139.0,235.0,935.0
4172,0.0,1.0,70.0,4.0,10.0,8.0,5.0,32.0,20569.0,39.0,13508.0,17.0,3.0,1040.0,46.0,89.0,9582.0,15820.0,11.0,11630.0,113.0,122.0,14588.0,14589.0,755.0,56.0,445.0,639.0,1011.0,12396.0
4221,0.0,11.0,50.0,1.0,14.0,21604.0,2.0,18.0,20621.0,12.0,113.0,3.0,4.0,3180.0,21.0,57.0,9616.0,31.0,13.0,11633.0,3955.0,93.0,14587.0,14568.0,24.0,87.0,29.0,12102.0,10135.0,130.0
4270,0.0,77.0,5.0,10.0,9.0,21548.0,1.0,55.0,685.0,14.0,8.0,21090.0,3.0,112.0,11.0,31.0,9610.0,30.0,16.0,11624.0,3912.0,4.0,14584.0,317.0,7922.0,74.0,42.0,126.0,10137.0,57.0
4319,2.0,75.0,0.0,1.0,4.0,722.0,3.0,9.0,20632.0,23.0,13.0,745.0,11685.0,67.0,21.0,50.0,9610.0,15801.0,19.0,11622.0,4786.0,5.0,14559.0,14560.0,43.0,59.0,11.0,12114.0,10147.0,28.0
4368,20.0,123.0,6.0,14.0,2.0,40.0,3.0,26.0,585.0,11.0,17.0,21156.0,56.0,2674.0,23.0,41.0,9629.0,15825.0,4.0,11526.0,3915.0,22.0,14580.0,14605.0,33.0,15741.0,8339.0,12132.0,99.0,49.0
4417,0.0,2.0,1.0,1167.0,17540.0,27.0,12.0,3932.0,9.0,6.0,13470.0,21085.0,8.0,3226.0,11.0,19174.0,210.0,21.0,238.0,82.0,20.0,23.0,14563.0,330.0,5.0,90.0,8291.0,12118.0,1125.0,25.0
4466,0.0,6897.0,3.0,9779.0,17672.0,6.0,1.0,3919.0,2.0,145.0,13496.0,23.0,123.0,76.0,21.0,154.0,242.0,29.0,41.0,7.0,54.0,11641.0,14576.0,270.0,214.0,40.0,20.0,9.0,10141.0,22.0
4515,0.0,10.0,2.0,9787.0,28.0,13.0,1.0,4147.0,3.0,4.0,536.0,8.0,11814.0,563.0,88.0,113.0,9618.0,15807.0,17366.0,11.0,104.0,11641.0,14590.0,379.0,72.0,15709.0,8306.0,12131.0,10144.0,38.0
4564,0.0,6.0,2.0,9796.0,57.0,12.0,1.0,3903.0,8.0,3.0,119.0,58.0,116.0,92.0,260.0,19307.0,9585.0,122.0,17430.0,4.0,3911.0,753.0,14558.0,412.0,36.0,64.0,620.0,12121.0,10114.0,41.0
4613,0.0,6.0,1.0,9730.0,28.0,15.0,12.0,3891.0,5.0,8.0,13477.0,7.0,56.0,3165.0,14429.0,26.0,11.0,433.0,17351.0,9.0,88.0,11623.0,14567.0,14568.0,47.0,30.0,8280.0,58.0,10114.0,68.0
4662,0.0,6.0,105.0,9793.0,74.0,13.0,4.0,3932.0,1.0,5.0,13617.0,21106.0,85.0,3178.0,14451.0,47.0,112.0,15816.0,17367.0,90.0,147.0,11637.0,14560.0,14552.0,20.0,15733.0,21.0,101.0,53.0,57.0
4711,0.0,1.0,2.0,5.0,17622.0,22.0,4.0,3936.0,381.0,51.0,88.0,635.0,11695.0,3289.0,14456.0,55.0,9584.0,15809.0,17373.0,8.0,48.0,11632.0,14577.0,503.0,41.0,18.0,8306.0,510.0,150.0,12450.0
4760,0.0,5.0,10.0,9726.0,17558.0,44.0,1.0,53.0,20560.0,3.0,13494.0,96.0,65.0,59.0,14445.0,822.0,66.0,15805.0,17420.0,123.0,3941.0,220.0,14581.0,14582.0,107.0,62.0,8301.0,12109.0,743.0,12443.0
4809,1.0,2.0,14.0,0.0,79.0,41.0,27.0,3960.0,20625.0,61.0,60.0,65.0,33.0,3195.0,14452.0,19185.0,9621.0,15814.0,303.0,11655.0,3959.0,465.0,212.0,14570.0,39.0,15728.0,8312.0,512.0,870.0,12439.0
4858,3.0,1.0,4.0,0.0,77.0,21580.0,5274.0,3950.0,2.0,1304.0,16.0,37.0,11765.0,3212.0,14442.0,113.0,84.0,15825.0,12.0,10.0,3957.0,13.0,14578.0,14579.0,64.0,44.0,225.0,102.0,10171.0,12443.0
