,CES1P1_DEL,LCE3C_DEL,ME3_DEL,FFAR3_DEL,SIRPB1_AMP,HLA-H_DEL,FMN2_AMP,GSTTP2_DEL,HLA-DQB1_DEL,LCE3B_DEL,FHIT_DEL,CDH13_DEL,ARSB_DEL,LOC284260_DEL,ZBTB20_AMP,CADM2_DEL,SORD_AMP,PRH1-PRR4_DEL,SORL1_MUT,TP53_MUT,GSTT1_DEL,PCCB_DEL,AMY2A_AMP,LOC391322_DEL,RBFOX1_DEL,GOLPH3_AMP,CDC73_DEL,GSTTP1_AMP,NCOA3_MUT,NRAS_MUT
1009,1.0,21.0,24.0,0.0,26.0,4.0,7.0,3.0,52.0,63.0,29.0,8.0,69.0,27.0,48.0,25.0,346.0,2.0,18.0,5600.0,5.0,64.0,68.0,6.0,38.0,34.0,500.0,97.0,12.0,17.0
1058,0.0,1.0,18.0,15.0,13.0,2.0,10.0,12.0,11.0,19.0,14.0,16.0,24.0,108.0,384.0,6.0,3758.0,7.0,9.0,173.0,4.0,107.0,363.0,5.0,152.0,21.0,1659.0,115.0,25.0,50.0
1107,0.0,2.0,9.0,3.0,5.0,21.0,17.0,13.0,18.0,11.0,1.0,4.0,38.0,77.0,12.0,14.0,19.0,25.0,15.0,16919.0,8.0,144.0,108.0,7.0,29.0,20.0,284.0,157.0,40.0,22.0
1156,0.0,32.0,16.0,2.0,1.0,118.0,17.0,25.0,196.0,108.0,3.0,4.0,35.0,381.0,67.0,15.0,18.0,24.0,44.0,2778.0,19.0,2792.0,156.0,20.0,14.0,30.0,47.0,59.0,22.0,21.0
1205,0.0,29.0,98.0,4.0,12.0,5.0,2.0,15.0,11.0,23.0,3.0,1.0,39.0,24.0,73.0,14.0,220.0,13.0,16.0,1165.0,7.0,149.0,65.0,8.0,22.0,19.0,69.0,464.0,157.0,18.0
1254,0.0,20.0,13.0,4.0,24.0,3.0,15.0,6.0,66.0,42.0,7.0,5.0,53.0,35.0,34.0,11.0,43.0,10.0,12.0,5715.0,1.0,60.0,77.0,2.0,25.0,18.0,69.0,202.0,23.0,19.0
1303,5.0,8.0,7.0,6.0,130.0,2.0,397.0,4.0,139.0,28.0,3.0,16.0,113.0,82.0,49.0,21.0,16878.0,9.0,10.0,22622.0,1.0,163.0,31.0,0.0,71.0,18.0,34.0,140.0,13.0,39.0
1352,0.0,33.0,11.0,10.0,13.0,30.0,3.0,4.0,8.0,72.0,5.0,12.0,49.0,54.0,34.0,19.0,55.0,59.0,14.0,156.0,1.0,112.0,26.0,2.0,25.0,16.0,21.0,41.0,48.0,29.0
1401,0.0,4.0,6.0,1.0,35.0,9.0,150.0,5.0,19.0,11.0,7.0,10.0,89.0,22.0,21.0,71.0,17.0,31.0,268.0,23797.0,3.0,66.0,34.0,2.0,8.0,219.0,24.0,102.0,43.0,54.0
1450,6.0,34.0,13.0,5.0,9.0,3.0,12.0,7.0,29.0,299.0,4.0,0.0,109.0,102.0,131.0,19.0,11.0,27.0,21.0,10472.0,2.0,197.0,35.0,1.0,39.0,23.0,25.0,342.0,15.0,18.0
1499,2.0,4.0,27.0,3.0,0.0,1.0,64.0,9.0,10.0,18.0,2414.0,48.0,8.0,14.0,7.0,30.0,5.0,13.0,66.0,449.0,42.0,31.0,57.0,41.0,210.0,77.0,132.0,28.0,20.0,50.0
1548,1.0,0.0,8.0,6.0,4.0,51.0,180.0,69.0,39.0,2.0,23.0,95.0,38.0,16.0,17.0,10.0,66.0,101.0,376.0,13.0,1923.0,36.0,33.0,1922.0,151.0,140.0,5.0,93.0,21.0,7.0
1597,0.0,4.0,36.0,3.0,1.0,30.0,91.0,11.0,7.0,12.0,46.0,8.0,79.0,78.0,106.0,5.0,2.0,157.0,43.0,37.0,22.0,27.0,10.0,23.0,131.0,16.0,26.0,56.0,47.0,76.0
1646,1.0,3.0,6.0,4.0,0.0,239.0,53.0,32.0,13.0,5.0,41.0,48.0,8.0,14.0,26.0,15.0,20.0,9.0,322.0,74.0,42.0,23.0,12.0,43.0,37.0,34.0,54.0,35.0,63.0,78.0
1695,0.0,6.0,44.0,7.0,2.0,27.0,80.0,23.0,17.0,4.0,1241.0,20.0,78.0,1.0,774.0,49.0,28.0,42.0,183.0,13.0,47.0,3.0,32.0,48.0,314.0,16.0,26.0,130.0,526.0,62.0
1744,0.0,4.0,6.0,1.0,3.0,12.0,11.0,54.0,98.0,20.0,11823.0,18.0,9.0,10.0,72.0,8.0,14.0,90.0,164.0,3174.0,111.0,47.0,24.0,112.0,38.0,25.0,302.0,32.0,23.0,74.0
1793,0.0,2.0,53.0,4.0,1.0,7.0,8.0,30.0,12.0,3.0,463.0,316.0,13.0,5.0,20.0,10.0,27.0,17.0,67.0,24.0,92.0,11.0,14.0,93.0,120.0,18.0,34.0,59.0,66.0,28.0
1842,0.0,1.0,26.0,7.0,4.0,5.0,74.0,132.0,35.0,3.0,28.0,50.0,45.0,11.0,33.0,56.0,8.0,6.0,39.0,1110.0,151.0,63.0,25.0,150.0,65.0,36.0,15.0,86.0,27.0,43.0
1891,0.0,3.0,24.0,5.0,2.0,1.0,135.0,10.0,8.0,6.0,218.0,73.0,13.0,43.0,39.0,9.0,7.0,20.0,70.0,64.0,53.0,60.0,16.0,54.0,89.0,23.0,37.0,11.0,65.0,62.0
1940,2.0,1.0,14.0,3.0,0.0,22.0,175.0,7.0,15.0,8.0,5888.0,20.0,18.0,10.0,50.0,11.0,6.0,304.0,41.0,43.0,16.0,19.0,51.0,17.0,83.0,25.0,74.0,12.0,40.0,187.0
1989,0.0,3.0,19.0,8.0,11.0,15.0,4.0,14.0,10.0,2.0,13.0,9.0,116.0,7.0,34.0,31.0,2495.0,32.0,18.0,1.0,5.0,44.0,47.0,6.0,38.0,51.0,39.0,27.0,110.0,17.0
2038,3.0,0.0,8.0,6.0,14.0,30.0,2.0,16.0,37.0,1.0,17.0,7.0,11.0,4.0,10.0,40.0,52.0,97.0,19.0,5.0,43.0,31.0,18.0,44.0,24.0,71.0,27.0,20.0,164.0,29.0
2087,2.0,6.0,26.0,16.0,12.0,1.0,28.0,21.0,18.0,3.0,24.0,9.0,33.0,19.0,106.0,23.0,13.0,27.0,11.0,0.0,29.0,20.0,34.0,30.0,396.0,22.0,17.0,162.0,172.0,10.0
2136,0.0,10.0,2.0,5.0,19.0,1.0,4.0,25.0,6.0,8.0,9.0,7.0,22.0,12.0,23.0,66.0,52.0,15.0,20.0,3.0,62.0,24.0,16.0,61.0,34.0,36.0,67.0,45.0,38.0,13.0
2185,1.0,0.0,33.0,4.0,62.0,11.0,3.0,22.0,15.0,2.0,7.0,20.0,151.0,17.0,57.0,8.0,269.0,13.0,10.0,14.0,36.0,6.0,40.0,35.0,25.0,28.0,146.0,31.0,69.0,24.0
2234,0.0,12.0,24.0,3.0,10.0,2.0,4.0,11.0,34.0,15.0,1.0,8.0,6.0,7.0,14.0,37.0,277.0,16.0,5.0,13.0,31.0,50.0,17.0,30.0,71.0,26.0,64.0,45.0,66.0,22.0
2283,0.0,18.0,13.0,8.0,2.0,1.0,3.0,5.0,15.0,23.0,19.0,9.0,21.0,12.0,104.0,28.0,239.0,22.0,41.0,60.0,6.0,20.0,24.0,7.0,36.0,35.0,38.0,25.0,274.0,43.0
2332,2.0,1.0,7.0,3.0,32.0,11.0,37.0,73.0,5.0,0.0,6.0,63.0,17.0,14.0,71.0,36.0,693.0,16.0,109.0,4.0,130.0,10.0,18.0,131.0,15.0,147.0,13.0,47.0,65.0,12.0
2381,0.0,3.0,63.0,24.0,6.0,2.0,10.0,20.0,12.0,4.0,14.0,37.0,13.0,9.0,25.0,76.0,679.0,5.0,8.0,1.0,34.0,18.0,36.0,35.0,28.0,52.0,32.0,30.0,187.0,15.0
2430,0.0,1.0,36.0,8.0,26.0,9.0,10.0,17.0,4.0,2.0,106.0,5.0,7.0,6.0,14.0,200.0,237.0,21.0,20.0,3.0,33.0,13.0,11.0,34.0,31.0,15.0,28.0,68.0,228.0,27.0
2479,1.0,7.0,20.0,11.0,14.0,99.0,18.0,76.0,3.0,55.0,54.0,2.0,4.0,43.0,8.0,118.0,0.0,16.0,28.0,363.0,149.0,61.0,74.0,148.0,15.0,87.0,420.0,17.0,154.0,85.0
2528,0.0,24.0,21.0,12.0,1.0,77.0,7.0,45.0,2.0,165.0,550.0,3.0,5.0,53.0,26.0,14.0,11.0,29.0,4.0,109.0,92.0,36.0,61.0,91.0,27.0,22.0,71.0,28.0,97.0,52.0
2577,0.0,3.0,93.0,1.0,21.0,60.0,78.0,31.0,4.0,30.0,23.0,2.0,219.0,272.0,8.0,6.0,11.0,12.0,5.0,48.0,17.0,99.0,138.0,18.0,20.0,25.0,26.0,56.0,28.0,14.0
2626,1.0,0.0,5.0,6.0,111.0,203.0,95.0,18.0,11.0,2.0,177.0,47.0,8.0,55.0,3.0,73.0,4.0,7.0,24.0,15.0,138.0,50.0,120.0,137.0,23.0,387.0,32.0,16.0,13.0,37.0
2675,0.0,53.0,29.0,12.0,1.0,37.0,10.0,14.0,8.0,1120.0,420.0,2.0,32.0,59.0,72.0,71.0,3.0,129.0,5.0,23.0,19.0,22.0,110.0,20.0,116.0,28.0,2076.0,25.0,30.0,295.0
2724,0.0,70.0,27.0,69.0,8.0,29.0,2.0,161.0,6.0,1223.0,193.0,28.0,14.0,13.0,23.0,96.0,80.0,1.0,7.0,21.0,264.0,30.0,187.0,265.0,17.0,45.0,22.0,16.0,35.0,24.0
2773,0.0,6.0,18.0,4.0,1.0,46.0,2.0,19.0,7.0,103.0,35.0,10.0,5.0,182.0,13.0,11.0,3.0,12.0,8.0,123.0,28.0,89.0,47.0,29.0,24.0,25.0,141.0,23.0,60.0,67.0
2822,0.0,12.0,17.0,8.0,14.0,27.0,11.0,16.0,4.0,53.0,82.0,3.0,5.0,35.0,55.0,34.0,2.0,1.0,6.0,112.0,20.0,36.0,43.0,19.0,33.0,21.0,218.0,28.0,69.0,40.0
2871,0.0,12.0,141.0,2.0,1.0,28.0,8.0,11.0,25.0,77.0,171.0,5.0,9.0,40.0,7.0,20.0,14.0,4.0,3.0,31.0,36.0,52.0,165.0,37.0,21.0,53.0,182.0,22.0,51.0,26.0
2920,0.0,13.0,358.0,2.0,19.0,562.0,1.0,5.0,3.0,20.0,88.0,4.0,27.0,22.0,319.0,15.0,11.0,29.0,6.0,23.0,9.0,21.0,70.0,8.0,17.0,46.0,43.0,67.0,227.0,62.0
2969,0.0,7.0,1.0,6.0,16.0,9.0,12.0,4.0,56.0,29.0,45.0,13.0,61.0,5.0,21.0,183.0,46.0,58.0,205.0,676.0,2.0,19.0,59.0,3.0,8.0,151.0,25.0,34.0,51.0,138.0
3018,0.0,10.0,11.0,22.0,23.0,2.0,1.0,5.0,29.0,64.0,3.0,38.0,12.0,19.0,6.0,89.0,15.0,16.0,52.0,53.0,8.0,20.0,47.0,7.0,33.0,18.0,13.0,48.0,21.0,14.0
3067,0.0,7.0,21.0,24.0,166.0,2.0,3.0,50.0,10.0,34.0,11.0,26.0,4.0,12.0,13.0,201.0,301.0,1.0,51.0,58.0,136.0,16.0,36.0,135.0,22.0,19.0,38.0,45.0,65.0,15.0
3116,0.0,1.0,3.0,69.0,9.0,28.0,58.0,7.0,8.0,6.0,68.0,175.0,4.0,21.0,13.0,59.0,10.0,36.0,123.0,5.0,33.0,26.0,46.0,34.0,11.0,83.0,2.0,19.0,148.0,27.0
3165,0.0,9.0,14.0,28.0,3.0,63.0,6.0,20.0,2.0,49.0,5.0,80.0,8.0,29.0,4.0,75.0,27.0,11.0,19.0,10.0,35.0,23.0,12.0,34.0,40.0,17.0,1.0,156.0,82.0,7.0
3214,0.0,86.0,35.0,13.0,6.0,4.0,10.0,21.0,15.0,105.0,1.0,20.0,7.0,9.0,3.0,246.0,345.0,33.0,301.0,22.0,42.0,28.0,18.0,41.0,2.0,17.0,8.0,700.0,241.0,5.0
3263,0.0,7.0,1.0,10.0,3.0,4.0,2.0,13.0,6.0,42.0,21.0,20.0,8.0,17.0,11.0,204.0,25.0,48.0,18.0,16.0,29.0,9.0,14.0,30.0,12.0,15.0,33.0,54.0,39.0,51.0
3312,0.0,10.0,2.0,114.0,8.0,1.0,11.0,14.0,22.0,145.0,17.0,27.0,75.0,28.0,9.0,113.0,55.0,738.0,23.0,6.0,25.0,4.0,24.0,26.0,230.0,36.0,3.0,34.0,37.0,15.0
3361,0.0,3.0,9.0,19.0,5.0,1.0,2.0,21.0,4.0,12.0,7.0,86.0,6.0,20.0,8.0,152.0,50.0,13.0,45.0,15.0,48.0,10.0,36.0,47.0,16.0,11.0,24.0,54.0,166.0,37.0
3410,0.0,430.0,6.0,72.0,4.0,12.0,7.0,45.0,11.0,2247.0,19.0,10.0,3.0,20.0,61.0,432.0,5.0,2.0,49.0,9.0,30.0,8.0,22.0,31.0,37.0,67.0,62.0,33.0,64.0,23.0
3459,0.0,1.0,2.0,3.0,8.0,4.0,62.0,9.0,16.0,7.0,43.0,51.0,11.0,6.0,13.0,19.0,10.0,119.0,70.0,252.0,15.0,5.0,59.0,14.0,35.0,311.0,108.0,20.0,33.0,53.0
3508,1.0,9.0,3.0,59.0,72.0,0.0,32.0,2.0,40.0,28.0,13.0,10.0,21.0,102.0,5.0,27.0,6.0,31.0,18.0,372.0,7.0,11.0,249.0,8.0,24.0,56.0,147.0,70.0,19.0,155.0
3557,1.0,12.0,13.0,53.0,8.0,0.0,6.0,10.0,38.0,83.0,179.0,4.0,20.0,3.0,21.0,55.0,2.0,7.0,27.0,111.0,24.0,18.0,61.0,25.0,14.0,35.0,43.0,74.0,23.0,22.0
3606,0.0,17.0,1.0,20.0,3.0,2.0,22.0,7.0,28.0,69.0,38.0,4.0,9.0,16.0,23.0,26.0,8.0,18.0,25.0,169.0,12.0,109.0,74.0,13.0,5.0,37.0,761.0,21.0,10.0,32.0
3655,0.0,55.0,2.0,15.0,12.0,1.0,11.0,3.0,69.0,387.0,2088.0,9.0,13.0,4.0,5.0,49.0,19.0,129.0,33.0,1441.0,7.0,8.0,35.0,6.0,16.0,26.0,121.0,21.0,90.0,553.0
3704,0.0,3.0,2.0,28.0,20.0,1.0,7.0,9.0,89.0,16.0,207.0,13.0,23.0,4.0,242.0,35.0,34.0,24.0,22.0,411.0,5.0,52.0,44.0,6.0,10.0,17.0,116.0,68.0,8.0,93.0
3753,0.0,2.0,4.0,20.0,7.0,1.0,3.0,10.0,18.0,9.0,83.0,8.0,11.0,5.0,13.0,19.0,17.0,16.0,30.0,122.0,14.0,6.0,44.0,15.0,28.0,26.0,52.0,31.0,23.0,119.0
3802,1.0,3.0,4.0,22.0,11.0,0.0,9.0,2.0,43.0,12.0,121.0,18.0,17.0,7.0,27.0,48.0,24.0,19.0,55.0,16714.0,6.0,20.0,152.0,5.0,60.0,44.0,1540.0,33.0,25.0,113.0
3851,0.0,36.0,2.0,15.0,3.0,1.0,12.0,4.0,53.0,31.0,107.0,5.0,10.0,8.0,187.0,40.0,13.0,28.0,24.0,18.0,6.0,16.0,68.0,7.0,25.0,35.0,673.0,1056.0,80.0,52.0
3900,0.0,22.0,1.0,4.0,3.0,15.0,26.0,6.0,25.0,44.0,24.0,11.0,13.0,9.0,1882.0,19.0,783.0,32.0,37.0,21210.0,18.0,8.0,29.0,17.0,10.0,34.0,1111.0,33.0,21.0,190.0
3949,2.0,0.0,4.0,15.0,20.0,21.0,25.0,7.0,16.0,1.0,10.0,26.0,54.0,70.0,36.0,9.0,18.0,73.0,22.0,6.0,38.0,41.0,5.0,37.0,110.0,33.0,13.0,27.0,19.0,100.0
3998,4.0,11.0,3.0,23.0,21.0,0.0,38.0,1.0,20.0,31.0,14.0,10.0,57.0,981.0,106.0,5.0,2.0,6.0,17.0,15.0,9.0,12.0,19.0,8.0,47.0,41.0,22.0,53.0,16.0,30.0
4047,2.0,3.0,11.0,17.0,15.0,0.0,10.0,4.0,5.0,1.0,20.0,14.0,24.0,59.0,831.0,16.0,23.0,12.0,26.0,13.0,8.0,27.0,9.0,7.0,47.0,19.0,21.0,105.0,65.0,64.0
4096,6.0,0.0,2.0,18.0,69.0,4.0,174.0,13.0,3.0,1.0,199.0,28.0,83.0,56.0,9290.0,7.0,21.0,931.0,113.0,5.0,10.0,23.0,16.0,9.0,39.0,26.0,24.0,15.0,30.0,36.0
4145,0.0,14.0,2.0,13.0,3.0,1.0,7.0,10.0,6.0,43.0,11.0,12.0,23.0,124.0,90.0,4.0,8.0,38.0,9.0,5.0,17.0,21.0,32.0,18.0,46.0,19.0,22.0,15.0,47.0,31.0
4194,1.0,7.0,0.0,15.0,10.0,2.0,24.0,9.0,16.0,12.0,79.0,8.0,65.0,93.0,44.0,3.0,6.0,88.0,11.0,5.0,33.0,31.0,13.0,34.0,105.0,18.0,4.0,41.0,22.0,85.0
4243,1.0,10.0,2.0,25.0,17.0,5.0,3.0,4.0,39.0,23.0,15.0,299.0,9.0,168.0,77.0,32.0,6.0,12.0,16.0,0.0,20.0,14.0,7.0,19.0,345.0,28.0,8.0,41.0,18.0,44.0
4292,2.0,18.0,8.0,16.0,30.0,0.0,14.0,7.0,10.0,47.0,17.0,6.0,55.0,37.0,12.0,3.0,1.0,59.0,11.0,68.0,33.0,13.0,22.0,34.0,51.0,28.0,9.0,25.0,27.0,39.0
4341,4.0,5.0,0.0,2.0,22.0,1.0,39.0,12.0,10.0,14.0,9.0,19.0,37.0,2133.0,116.0,3.0,6.0,13.0,8.0,17.0,33.0,18.0,7.0,32.0,91.0,16.0,24.0,230.0,21.0,122.0
4390,0.0,18.0,4.0,10.0,2.0,17.0,126.0,5.0,30.0,44.0,471.0,38.0,23.0,477.0,536.0,3.0,1.0,98.0,33.0,7.0,12.0,45.0,25.0,11.0,1064.0,46.0,15.0,13.0,20.0,56.0
4439,0.0,2.0,3.0,4.0,14.0,11.0,13.0,76.0,27.0,16.0,6.0,173.0,1.0,10.0,12.0,5.0,436.0,44.0,367.0,15.0,110.0,22.0,36.0,109.0,21.0,320.0,974.0,68.0,71.0,30.0
4488,3.0,119.0,16.0,4.0,17.0,19.0,1.0,11.0,5.0,409.0,0.0,96.0,13.0,36.0,2.0,18.0,2931.0,8.0,43.0,49.0,15.0,68.0,9.0,14.0,23.0,45.0,2489.0,28.0,30.0,34.0
4537,0.0,1.0,3.0,9.0,123.0,7.0,4.0,22.0,32.0,8.0,5.0,11.0,119.0,37.0,68.0,57.0,54.0,6.0,16.0,2.0,24.0,210.0,17.0,25.0,78.0,26.0,257.0,73.0,12.0,19.0
4586,1.0,3.0,12.0,5.0,4.0,6.0,0.0,11.0,8.0,30.0,21.0,37.0,9.0,20.0,29.0,19.0,1667.0,17.0,22.0,2.0,26.0,10.0,13.0,27.0,265.0,48.0,4955.0,63.0,36.0,46.0
4635,0.0,1.0,28.0,2.0,510.0,3.0,4.0,5.0,23.0,10.0,24.0,80.0,11.0,16.0,7.0,31.0,180.0,19.0,27.0,35.0,9.0,50.0,37.0,8.0,30.0,117.0,862.0,48.0,6.0,36.0
4684,0.0,5.0,8.0,9.0,12.0,10.0,1.0,3.0,69.0,19.0,14.0,11.0,102.0,52.0,404.0,17.0,50.0,67.0,27.0,4.0,7.0,70.0,24.0,6.0,33.0,31.0,56.0,2.0,22.0,195.0
4733,0.0,38.0,28.0,14.0,20.0,66.0,5.0,4.0,8.0,137.0,10.0,70.0,13.0,45.0,72.0,16.0,18.0,9.0,37.0,1.0,2.0,39.0,17.0,3.0,46.0,44.0,270.0,33.0,40.0,50.0
4782,8.0,16.0,58.0,2.0,17.0,13.0,0.0,23.0,3.0,19.0,4.0,20.0,5.0,12.0,89.0,6.0,157.0,7.0,48.0,1.0,39.0,15.0,9.0,38.0,42.0,46.0,220.0,78.0,2230.0,41.0
4831,1.0,0.0,10.0,8.0,14.0,151.0,4.0,16.0,13.0,2.0,7.0,111.0,6.0,25.0,3.0,24.0,12.0,19.0,49.0,5.0,37.0,21.0,9.0,36.0,35.0,88.0,130.0,39.0,73.0,90.0
4880,1.0,3.0,5.0,29.0,16.0,9.0,0.0,7.0,11.0,18.0,17.0,23.0,4.0,10.0,8.0,30.0,2.0,53.0,65.0,12.0,13.0,6.0,15.0,14.0,74.0,52.0,208.0,50.0,71.0,27.0
