,hsa-miR-34c-5p,hsa-miR-486-3p,hsa-miR-545,hsa-miR-151-3p,hsa-miR-765,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-1307,hsa-miR-483-3p,hsa-miR-587,hsa-miR-576-3p,hsa-miR-589,hsa-miR-582-5p,hsa-miR-583,hsa-miR-581,hsa-miR-584,hsa-miR-582-3p,hsa-miR-580,hsa-miR-577,hsa-miR-579,hsa-miR-576-5p,hsa-miR-578,hsa-miR-586,hsa-miR-588,hsa-miR-591,hsa-miR-574-5p,hsa-miR-573,hsa-miR-590-5p,hsa-miR-590-3p
510,19.0,4.0,10.0,31.0,18.0,2.0,120.0,41.0,357.0,40.0,1.0,61.0,95.0,20.0,48.0,52.0,45.0,50.0,55.0,58.0,56.0,60.0,57.0,68.0,96.0,92.0,25.0,63.0,93.0,94.0
559,19.0,1.0,3.0,2.0,311.0,33.0,34.0,5.0,4.0,27.0,22.0,55.0,48.0,43.0,56.0,54.0,52.0,58.0,44.0,42.0,45.0,57.0,46.0,21.0,49.0,28.0,53.0,51.0,95.0,47.0
608,3.0,38.0,13.0,5.0,20.0,17.0,35.0,429.0,355.0,549.0,45.0,60.0,49.0,51.0,54.0,56.0,53.0,55.0,57.0,23.0,26.0,59.0,58.0,63.0,50.0,48.0,62.0,11.0,46.0,47.0
657,24.0,3.0,155.0,365.0,23.0,0.0,30.0,430.0,34.0,547.0,18.0,58.0,47.0,54.0,55.0,50.0,44.0,51.0,49.0,60.0,45.0,59.0,56.0,53.0,46.0,1.0,57.0,38.0,62.0,79.0
706,1.0,33.0,8.0,19.0,0.0,28.0,39.0,38.0,356.0,31.0,30.0,60.0,15.0,49.0,53.0,51.0,47.0,50.0,67.0,55.0,56.0,59.0,57.0,68.0,69.0,95.0,61.0,62.0,96.0,97.0
755,10.0,37.0,1.0,4.0,23.0,19.0,40.0,35.0,8.0,546.0,64.0,2.0,3.0,69.0,67.0,45.0,66.0,70.0,68.0,21.0,58.0,105.0,55.0,65.0,63.0,56.0,142.0,143.0,57.0,60.0
804,11.0,1.0,119.0,26.0,314.0,0.0,6.0,429.0,16.0,4.0,5.0,21.0,27.0,61.0,58.0,64.0,57.0,63.0,65.0,22.0,66.0,69.0,67.0,71.0,43.0,47.0,104.0,154.0,46.0,45.0
853,1.0,4.0,124.0,0.0,316.0,2.0,89.0,430.0,355.0,548.0,28.0,70.0,52.0,60.0,59.0,64.0,57.0,62.0,65.0,68.0,66.0,69.0,67.0,71.0,47.0,49.0,106.0,140.0,27.0,51.0
902,9.0,1.0,18.0,23.0,24.0,0.0,2.0,33.0,357.0,14.0,22.0,52.0,25.0,57.0,7.0,59.0,54.0,58.0,50.0,55.0,60.0,53.0,56.0,61.0,49.0,64.0,51.0,48.0,80.0,46.0
951,21.0,0.0,155.0,1.0,311.0,5.0,39.0,429.0,27.0,29.0,20.0,57.0,17.0,50.0,45.0,46.0,51.0,43.0,63.0,55.0,53.0,56.0,52.0,48.0,54.0,15.0,58.0,26.0,93.0,65.0
1000,19.0,0.0,15.0,386.0,24.0,2.0,36.0,430.0,4.0,31.0,26.0,49.0,45.0,56.0,54.0,59.0,53.0,48.0,58.0,52.0,57.0,51.0,55.0,50.0,46.0,63.0,60.0,44.0,97.0,47.0
1049,2.0,550.0,154.0,3.0,314.0,604.0,34.0,43.0,27.0,35.0,17.0,60.0,15.0,21.0,48.0,55.0,49.0,45.0,56.0,25.0,54.0,59.0,58.0,47.0,82.0,91.0,61.0,62.0,92.0,93.0
1098,512.0,3.0,4.0,366.0,23.0,604.0,43.0,35.0,31.0,1.0,51.0,42.0,18.0,58.0,56.0,59.0,53.0,49.0,57.0,2.0,55.0,50.0,54.0,52.0,60.0,45.0,96.0,97.0,46.0,47.0
1147,17.0,5.0,157.0,11.0,19.0,606.0,35.0,427.0,1.0,0.0,44.0,2.0,9.0,49.0,48.0,65.0,47.0,46.0,53.0,59.0,56.0,60.0,57.0,45.0,81.0,91.0,61.0,28.0,92.0,93.0
1196,513.0,0.0,138.0,16.0,313.0,603.0,41.0,32.0,3.0,6.0,56.0,1.0,54.0,62.0,49.0,60.0,58.0,61.0,59.0,50.0,52.0,45.0,64.0,57.0,55.0,63.0,44.0,89.0,51.0,53.0
1245,1.0,0.0,136.0,44.0,312.0,32.0,26.0,33.0,3.0,9.0,13.0,36.0,17.0,52.0,51.0,53.0,48.0,41.0,54.0,57.0,55.0,58.0,56.0,50.0,49.0,25.0,59.0,27.0,45.0,60.0
1294,0.0,47.0,15.0,31.0,318.0,35.0,9.0,45.0,2.0,42.0,65.0,20.0,33.0,60.0,61.0,142.0,62.0,107.0,111.0,36.0,110.0,148.0,146.0,64.0,67.0,72.0,151.0,153.0,71.0,68.0
1343,10.0,5.0,19.0,2.0,22.0,33.0,0.0,3.0,353.0,28.0,50.0,17.0,57.0,56.0,53.0,60.0,47.0,58.0,61.0,63.0,59.0,44.0,55.0,45.0,51.0,54.0,97.0,164.0,62.0,52.0
1392,20.0,5.0,13.0,363.0,18.0,608.0,33.0,4.0,27.0,549.0,68.0,60.0,94.0,21.0,45.0,52.0,44.0,50.0,54.0,58.0,55.0,59.0,56.0,96.0,97.0,14.0,61.0,62.0,91.0,92.0
1441,12.0,37.0,173.0,17.0,20.0,603.0,29.0,35.0,1.0,7.0,14.0,53.0,55.0,61.0,57.0,48.0,59.0,46.0,51.0,62.0,58.0,54.0,60.0,52.0,56.0,6.0,49.0,0.0,47.0,50.0
1490,0.0,23.0,7.0,2.0,314.0,604.0,28.0,31.0,43.0,5.0,44.0,38.0,40.0,50.0,49.0,52.0,48.0,62.0,53.0,56.0,54.0,57.0,55.0,61.0,45.0,98.0,58.0,32.0,51.0,46.0
1539,33.0,2.0,0.0,19.0,13.0,3.0,11.0,41.0,29.0,548.0,53.0,32.0,84.0,61.0,60.0,65.0,57.0,64.0,55.0,31.0,67.0,52.0,30.0,54.0,50.0,96.0,46.0,172.0,97.0,98.0
1588,0.0,5.0,160.0,362.0,24.0,4.0,123.0,427.0,352.0,549.0,27.0,58.0,61.0,15.0,48.0,41.0,47.0,57.0,50.0,51.0,52.0,53.0,46.0,44.0,95.0,22.0,56.0,55.0,81.0,80.0
1637,2.0,1.0,31.0,10.0,9.0,604.0,133.0,3.0,16.0,28.0,38.0,36.0,78.0,47.0,46.0,51.0,58.0,48.0,52.0,56.0,53.0,57.0,55.0,68.0,95.0,100.0,59.0,61.0,99.0,98.0
1686,1.0,26.0,15.0,21.0,312.0,40.0,0.0,32.0,39.0,547.0,51.0,42.0,25.0,57.0,56.0,54.0,53.0,59.0,58.0,48.0,61.0,36.0,50.0,52.0,49.0,82.0,55.0,44.0,63.0,79.0
1735,4.0,2.0,156.0,20.0,313.0,29.0,34.0,37.0,356.0,42.0,44.0,60.0,22.0,66.0,49.0,54.0,48.0,67.0,55.0,58.0,56.0,59.0,57.0,47.0,50.0,17.0,61.0,62.0,68.0,97.0
1784,4.0,34.0,9.0,20.0,30.0,3.0,42.0,43.0,353.0,548.0,98.0,61.0,95.0,45.0,44.0,53.0,49.0,50.0,67.0,59.0,55.0,60.0,56.0,68.0,70.0,15.0,62.0,63.0,91.0,94.0
1833,514.0,0.0,18.0,13.0,19.0,28.0,43.0,32.0,36.0,549.0,17.0,53.0,20.0,62.0,57.0,60.0,55.0,59.0,50.0,56.0,61.0,54.0,58.0,52.0,46.0,27.0,51.0,48.0,47.0,49.0
1882,0.0,4.0,5.0,386.0,13.0,26.0,2.0,37.0,356.0,549.0,46.0,25.0,97.0,54.0,64.0,58.0,50.0,57.0,59.0,24.0,60.0,53.0,61.0,47.0,45.0,95.0,56.0,51.0,66.0,96.0
1931,7.0,536.0,5.0,6.0,19.0,3.0,4.0,31.0,352.0,9.0,44.0,37.0,23.0,52.0,51.0,57.0,50.0,55.0,49.0,45.0,53.0,46.0,60.0,48.0,43.0,81.0,59.0,58.0,62.0,96.0
1980,19.0,39.0,11.0,18.0,17.0,603.0,45.0,428.0,27.0,548.0,97.0,59.0,95.0,22.0,54.0,51.0,71.0,46.0,55.0,58.0,49.0,57.0,70.0,72.0,96.0,92.0,62.0,65.0,93.0,94.0
2029,7.0,1.0,130.0,361.0,277.0,620.0,3.0,46.0,476.0,501.0,22.0,117.0,77.0,72.0,79.0,69.0,73.0,70.0,68.0,65.0,67.0,116.0,66.0,74.0,76.0,41.0,118.0,119.0,64.0,78.0
2078,1.0,36.0,14.0,0.0,315.0,602.0,37.0,43.0,4.0,39.0,20.0,109.0,22.0,19.0,66.0,69.0,65.0,68.0,70.0,107.0,71.0,167.0,72.0,64.0,62.0,51.0,108.0,144.0,73.0,58.0
2127,8.0,2.0,3.0,342.0,312.0,33.0,38.0,43.0,4.0,546.0,45.0,51.0,48.0,58.0,57.0,50.0,55.0,59.0,52.0,36.0,60.0,53.0,56.0,54.0,46.0,102.0,61.0,44.0,62.0,49.0
2176,4.0,32.0,138.0,5.0,14.0,28.0,41.0,431.0,0.0,549.0,68.0,58.0,94.0,53.0,44.0,47.0,55.0,46.0,48.0,56.0,18.0,57.0,66.0,67.0,95.0,89.0,61.0,63.0,90.0,91.0
2225,31.0,1.0,27.0,3.0,10.0,2.0,0.0,429.0,355.0,549.0,92.0,44.0,95.0,53.0,54.0,50.0,65.0,52.0,49.0,37.0,55.0,45.0,56.0,75.0,76.0,98.0,43.0,42.0,97.0,96.0
2274,2.0,17.0,127.0,12.0,26.0,9.0,5.0,38.0,464.0,15.0,23.0,58.0,72.0,66.0,67.0,64.0,68.0,65.0,63.0,60.0,62.0,59.0,61.0,69.0,71.0,55.0,110.0,111.0,56.0,57.0
2323,9.0,550.0,13.0,31.0,3.0,600.0,84.0,42.0,18.0,545.0,63.0,146.0,30.0,68.0,67.0,70.0,66.0,69.0,71.0,143.0,75.0,109.0,108.0,64.0,61.0,58.0,147.0,148.0,73.0,60.0
2372,18.0,45.0,0.0,30.0,36.0,33.0,43.0,2.0,19.0,547.0,48.0,32.0,54.0,69.0,70.0,73.0,72.0,67.0,66.0,62.0,64.0,61.0,63.0,65.0,55.0,29.0,60.0,59.0,50.0,51.0
2421,21.0,0.0,158.0,19.0,17.0,30.0,123.0,41.0,1.0,547.0,48.0,28.0,100.0,69.0,25.0,57.0,51.0,58.0,59.0,62.0,60.0,63.0,61.0,50.0,55.0,97.0,66.0,67.0,99.0,71.0
2470,3.0,5.0,156.0,387.0,22.0,29.0,37.0,430.0,2.0,39.0,96.0,56.0,93.0,44.0,54.0,47.0,83.0,46.0,49.0,67.0,51.0,55.0,45.0,69.0,94.0,16.0,57.0,58.0,91.0,92.0
2519,3.0,32.0,8.0,4.0,313.0,1.0,40.0,34.0,23.0,42.0,5.0,58.0,14.0,47.0,45.0,66.0,46.0,44.0,53.0,56.0,67.0,57.0,55.0,48.0,69.0,93.0,59.0,24.0,95.0,96.0
2568,4.0,1.0,19.0,365.0,18.0,3.0,43.0,429.0,34.0,28.0,14.0,61.0,48.0,49.0,56.0,59.0,54.0,51.0,58.0,35.0,57.0,53.0,55.0,52.0,60.0,63.0,50.0,45.0,90.0,47.0
2617,19.0,3.0,1.0,363.0,17.0,0.0,123.0,38.0,29.0,2.0,31.0,26.0,16.0,96.0,67.0,47.0,94.0,66.0,44.0,23.0,50.0,65.0,51.0,92.0,90.0,10.0,54.0,55.0,87.0,88.0
2666,1.0,551.0,16.0,381.0,32.0,29.0,124.0,0.0,352.0,41.0,4.0,62.0,92.0,61.0,97.0,50.0,96.0,47.0,51.0,55.0,52.0,57.0,54.0,95.0,93.0,88.0,63.0,66.0,89.0,91.0
2715,1.0,3.0,16.0,7.0,313.0,33.0,37.0,0.0,356.0,36.0,31.0,53.0,91.0,54.0,67.0,51.0,69.0,48.0,25.0,42.0,46.0,66.0,47.0,68.0,92.0,11.0,55.0,56.0,89.0,90.0
2764,0.0,29.0,16.0,21.0,20.0,34.0,1.0,5.0,31.0,2.0,48.0,47.0,44.0,52.0,51.0,46.0,12.0,58.0,56.0,53.0,55.0,50.0,54.0,49.0,57.0,60.0,43.0,86.0,78.0,45.0
2813,18.0,6.0,2.0,382.0,11.0,603.0,28.0,32.0,355.0,546.0,50.0,43.0,62.0,53.0,8.0,55.0,48.0,54.0,56.0,59.0,57.0,60.0,58.0,51.0,49.0,45.0,61.0,87.0,47.0,46.0
2862,1.0,39.0,155.0,8.0,0.0,603.0,3.0,4.0,358.0,548.0,93.0,26.0,12.0,48.0,49.0,45.0,51.0,46.0,52.0,24.0,65.0,58.0,56.0,57.0,92.0,84.0,61.0,62.0,86.0,87.0
2911,514.0,1.0,2.0,364.0,316.0,42.0,30.0,429.0,34.0,27.0,62.0,40.0,84.0,47.0,57.0,50.0,60.0,45.0,49.0,56.0,51.0,55.0,58.0,100.0,83.0,61.0,54.0,53.0,86.0,85.0
2960,5.0,0.0,36.0,15.0,276.0,622.0,1.0,44.0,16.0,520.0,72.0,3.0,74.0,68.0,69.0,66.0,70.0,67.0,65.0,34.0,64.0,115.0,63.0,71.0,73.0,77.0,116.0,168.0,76.0,75.0
3009,3.0,534.0,19.0,2.0,16.0,605.0,126.0,36.0,349.0,548.0,25.0,63.0,41.0,57.0,55.0,62.0,54.0,61.0,50.0,49.0,64.0,52.0,47.0,53.0,48.0,24.0,59.0,60.0,66.0,100.0
3058,5.0,551.0,135.0,22.0,312.0,35.0,2.0,3.0,34.0,8.0,13.0,33.0,53.0,55.0,56.0,47.0,44.0,54.0,48.0,38.0,50.0,57.0,58.0,52.0,59.0,46.0,27.0,88.0,49.0,51.0
3107,0.0,551.0,13.0,27.0,28.0,21.0,2.0,39.0,5.0,546.0,60.0,20.0,57.0,23.0,66.0,69.0,65.0,68.0,44.0,46.0,64.0,73.0,58.0,63.0,70.0,53.0,107.0,18.0,55.0,56.0
3156,0.0,550.0,1.0,344.0,313.0,602.0,3.0,32.0,352.0,545.0,42.0,2.0,53.0,49.0,48.0,54.0,47.0,66.0,55.0,59.0,56.0,61.0,58.0,44.0,45.0,95.0,64.0,83.0,96.0,67.0
3205,0.0,39.0,127.0,2.0,29.0,8.0,1.0,3.0,476.0,520.0,34.0,37.0,75.0,36.0,35.0,67.0,71.0,68.0,66.0,63.0,65.0,96.0,64.0,72.0,74.0,61.0,115.0,116.0,62.0,76.0
3254,3.0,2.0,13.0,24.0,23.0,5.0,41.0,4.0,356.0,546.0,47.0,8.0,51.0,58.0,67.0,60.0,55.0,59.0,61.0,64.0,62.0,65.0,63.0,66.0,52.0,46.0,96.0,163.0,48.0,50.0
3303,3.0,551.0,12.0,1.0,312.0,33.0,42.0,44.0,4.0,45.0,32.0,18.0,30.0,68.0,67.0,70.0,66.0,69.0,71.0,106.0,72.0,156.0,102.0,65.0,63.0,56.0,143.0,26.0,57.0,60.0
3352,1.0,41.0,137.0,0.0,315.0,26.0,2.0,42.0,355.0,547.0,59.0,23.0,30.0,53.0,48.0,49.0,50.0,46.0,54.0,21.0,66.0,55.0,57.0,51.0,67.0,93.0,24.0,61.0,5.0,69.0
3401,1.0,551.0,133.0,16.0,312.0,601.0,0.0,429.0,356.0,4.0,46.0,26.0,18.0,53.0,50.0,57.0,49.0,64.0,58.0,62.0,59.0,63.0,61.0,48.0,45.0,55.0,52.0,27.0,43.0,44.0
3450,10.0,1.0,13.0,21.0,0.0,2.0,38.0,36.0,7.0,546.0,20.0,32.0,56.0,19.0,62.0,65.0,61.0,64.0,66.0,69.0,67.0,73.0,68.0,60.0,58.0,43.0,153.0,139.0,47.0,70.0
3499,5.0,3.0,18.0,4.0,22.0,0.0,120.0,32.0,355.0,549.0,25.0,57.0,23.0,26.0,46.0,65.0,45.0,48.0,53.0,24.0,54.0,56.0,55.0,50.0,49.0,94.0,20.0,59.0,66.0,95.0
3548,5.0,0.0,14.0,3.0,316.0,32.0,41.0,37.0,357.0,44.0,30.0,169.0,29.0,66.0,65.0,68.0,63.0,67.0,69.0,103.0,70.0,105.0,71.0,62.0,58.0,46.0,107.0,106.0,56.0,72.0
3597,9.0,3.0,14.0,5.0,312.0,1.0,38.0,4.0,18.0,548.0,24.0,139.0,56.0,23.0,64.0,67.0,63.0,66.0,68.0,104.0,69.0,106.0,70.0,62.0,59.0,54.0,107.0,142.0,55.0,71.0
3646,5.0,32.0,15.0,7.0,6.0,25.0,30.0,1.0,355.0,27.0,0.0,53.0,66.0,43.0,40.0,41.0,39.0,44.0,63.0,51.0,64.0,52.0,50.0,45.0,94.0,91.0,54.0,55.0,92.0,93.0
3695,0.0,7.0,5.0,4.0,19.0,8.0,38.0,6.0,25.0,14.0,20.0,58.0,66.0,41.0,42.0,65.0,44.0,40.0,53.0,56.0,54.0,57.0,52.0,50.0,49.0,67.0,59.0,60.0,68.0,98.0
3744,2.0,4.0,39.0,1.0,35.0,605.0,117.0,3.0,357.0,548.0,14.0,58.0,16.0,50.0,49.0,52.0,46.0,51.0,53.0,56.0,54.0,57.0,55.0,47.0,60.0,42.0,59.0,87.0,43.0,44.0
3793,1.0,4.0,14.0,0.0,28.0,32.0,92.0,2.0,17.0,546.0,29.0,106.0,57.0,30.0,63.0,65.0,62.0,64.0,66.0,69.0,67.0,74.0,68.0,61.0,59.0,49.0,156.0,142.0,46.0,71.0
3842,2.0,0.0,1.0,3.0,14.0,6.0,31.0,35.0,355.0,4.0,62.0,61.0,53.0,26.0,11.0,50.0,57.0,48.0,51.0,41.0,54.0,55.0,56.0,59.0,63.0,47.0,44.0,60.0,49.0,52.0
3891,0.0,41.0,7.0,386.0,19.0,609.0,1.0,34.0,356.0,547.0,98.0,67.0,17.0,52.0,51.0,56.0,49.0,54.0,58.0,26.0,62.0,47.0,63.0,61.0,70.0,94.0,65.0,59.0,95.0,97.0
3940,3.0,1.0,0.0,5.0,315.0,2.0,32.0,432.0,26.0,18.0,70.0,64.0,19.0,50.0,49.0,53.0,46.0,51.0,55.0,60.0,57.0,63.0,59.0,45.0,71.0,92.0,65.0,67.0,99.0,96.0
3989,0.0,551.0,7.0,365.0,14.0,22.0,45.0,37.0,25.0,546.0,21.0,32.0,51.0,58.0,57.0,60.0,56.0,66.0,61.0,24.0,62.0,53.0,63.0,55.0,52.0,59.0,135.0,99.0,47.0,50.0
4038,16.0,22.0,154.0,41.0,318.0,2.0,1.0,30.0,358.0,8.0,46.0,54.0,12.0,17.0,18.0,59.0,58.0,48.0,49.0,52.0,50.0,53.0,51.0,45.0,44.0,81.0,55.0,56.0,61.0,78.0
4087,497.0,0.0,23.0,381.0,312.0,18.0,1.0,2.0,3.0,31.0,56.0,32.0,15.0,59.0,43.0,55.0,61.0,57.0,30.0,53.0,40.0,52.0,54.0,58.0,50.0,47.0,51.0,60.0,45.0,44.0
4136,497.0,35.0,0.0,4.0,32.0,604.0,3.0,41.0,31.0,548.0,20.0,5.0,94.0,49.0,44.0,54.0,51.0,53.0,56.0,30.0,57.0,62.0,59.0,47.0,82.0,91.0,64.0,65.0,92.0,93.0
4185,510.0,551.0,138.0,340.0,4.0,38.0,28.0,32.0,42.0,546.0,15.0,30.0,48.0,57.0,59.0,52.0,60.0,55.0,49.0,39.0,54.0,53.0,56.0,58.0,51.0,90.0,50.0,47.0,61.0,46.0
4234,21.0,38.0,2.0,386.0,17.0,607.0,123.0,34.0,356.0,550.0,97.0,59.0,94.0,47.0,48.0,52.0,14.0,49.0,67.0,56.0,68.0,57.0,55.0,69.0,95.0,11.0,60.0,61.0,92.0,93.0
4283,2.0,4.0,14.0,6.0,36.0,13.0,7.0,0.0,356.0,1.0,18.0,45.0,41.0,46.0,49.0,52.0,48.0,51.0,53.0,56.0,54.0,57.0,55.0,47.0,24.0,42.0,58.0,84.0,43.0,44.0
4332,499.0,1.0,10.0,23.0,315.0,16.0,38.0,3.0,0.0,43.0,46.0,17.0,24.0,60.0,58.0,62.0,70.0,61.0,63.0,67.0,20.0,68.0,65.0,55.0,54.0,25.0,103.0,139.0,50.0,51.0
4381,24.0,3.0,20.0,6.0,309.0,1.0,0.0,5.0,4.0,548.0,45.0,42.0,22.0,11.0,53.0,56.0,49.0,60.0,48.0,51.0,57.0,50.0,52.0,59.0,43.0,58.0,55.0,44.0,47.0,46.0
4430,0.0,551.0,155.0,27.0,17.0,7.0,34.0,431.0,358.0,1.0,19.0,25.0,64.0,42.0,43.0,50.0,47.0,41.0,52.0,56.0,54.0,57.0,55.0,48.0,53.0,93.0,58.0,6.0,94.0,65.0
4479,0.0,39.0,131.0,387.0,27.0,26.0,2.0,33.0,358.0,43.0,45.0,25.0,90.0,50.0,19.0,54.0,47.0,53.0,55.0,59.0,56.0,60.0,57.0,46.0,67.0,86.0,63.0,1.0,88.0,89.0
4528,3.0,536.0,12.0,365.0,4.0,22.0,39.0,43.0,355.0,1.0,26.0,68.0,47.0,59.0,58.0,62.0,72.0,61.0,63.0,66.0,64.0,67.0,65.0,71.0,50.0,45.0,69.0,70.0,54.0,55.0
4577,4.0,16.0,23.0,41.0,12.0,32.0,28.0,429.0,35.0,1.0,0.0,39.0,47.0,51.0,50.0,53.0,61.0,52.0,54.0,56.0,49.0,57.0,55.0,48.0,44.0,62.0,58.0,59.0,46.0,45.0
4626,511.0,42.0,16.0,32.0,29.0,19.0,1.0,3.0,354.0,0.0,30.0,141.0,49.0,73.0,33.0,64.0,69.0,66.0,63.0,59.0,62.0,107.0,61.0,70.0,57.0,51.0,108.0,144.0,52.0,54.0
4675,0.0,40.0,137.0,22.0,27.0,3.0,120.0,430.0,35.0,1.0,24.0,6.0,45.0,53.0,8.0,46.0,48.0,55.0,54.0,50.0,52.0,49.0,51.0,47.0,56.0,77.0,57.0,37.0,44.0,43.0
4724,499.0,37.0,124.0,31.0,1.0,5.0,79.0,430.0,358.0,0.0,32.0,2.0,46.0,18.0,66.0,70.0,65.0,69.0,71.0,139.0,17.0,108.0,106.0,64.0,61.0,56.0,107.0,144.0,48.0,47.0
4773,1.0,552.0,168.0,365.0,307.0,603.0,31.0,41.0,13.0,0.0,22.0,25.0,50.0,44.0,45.0,42.0,52.0,43.0,47.0,54.0,53.0,24.0,62.0,48.0,49.0,71.0,67.0,66.0,55.0,51.0
4822,512.0,1.0,159.0,21.0,19.0,27.0,33.0,429.0,25.0,0.0,18.0,61.0,72.0,50.0,49.0,54.0,55.0,51.0,48.0,58.0,69.0,60.0,57.0,52.0,100.0,95.0,62.0,26.0,15.0,99.0
4871,3.0,549.0,134.0,10.0,41.0,38.0,2.0,4.0,357.0,1.0,60.0,50.0,48.0,52.0,24.0,54.0,56.0,57.0,47.0,58.0,44.0,49.0,43.0,55.0,59.0,96.0,51.0,53.0,45.0,46.0
