,FAM21A_DEL,GSTTP1_AMP,SLC25A37_AMP,HLA-DRB1_AMP,MRGPRX1_DEL,HLA-DRB6_AMP,CES1_AMP,ADAM5_DEL,KCNG2_DEL,RBFOX1_DEL,PTCH1_AMP,GOLGA6L10_AMP,LOC390660_AMP,ADAM3A_DEL,LOC100506776_DEL,CES1P1_DEL,CADM2_DEL,KIAA1217_DEL,ASTN1_MUT,HDHD1_DEL,MLL_MUT,BCAS1_AMP,ZNF705G_AMP,UGT2B17_DEL,FMN2_AMP,PBX1_MUT,GSTT1_AMP,LOC391322_AMP,CACNB2_DEL,FBXL7_DEL
1059,0.0,10.0,2.0,6.0,13.0,7.0,3.0,1.0,19.0,44.0,17.0,15.0,16.0,4.0,48.0,5.0,18.0,116.0,38.0,8.0,34.0,21.0,33.0,1086.0,20.0,35.0,36.0,37.0,28.0,14.0
1108,0.0,12.0,19.0,33.0,24.0,35.0,4.0,2.0,22.0,17.0,5.0,28.0,29.0,1.0,38.0,3.0,25.0,34.0,8.0,177.0,27.0,21.0,164.0,106.0,7.0,37.0,9.0,10.0,50.0,16.0
1157,1.0,9.0,16.0,6.0,19.0,4.0,5.0,0.0,14.0,15.0,8.0,18.0,17.0,2.0,178.0,3.0,20.0,1054.0,13.0,115.0,90.0,21.0,33.0,1017.0,10.0,56.0,12.0,11.0,24.0,22.0
1206,1.0,3.0,11.0,55.0,210.0,24.0,20.0,6.0,2.0,18.0,57.0,30.0,31.0,15.0,5.0,0.0,7.0,116.0,60.0,34.0,86.0,21.0,27.0,708.0,13.0,250.0,9.0,10.0,12.0,28.0
1255,3.0,15.0,35.0,14.0,41.0,10.0,6.0,0.0,11.0,17.0,16.0,30.0,29.0,1.0,36.0,2.0,7.0,27.0,24.0,42.0,48.0,47.0,53.0,34.0,4.0,28.0,19.0,20.0,32.0,9.0
1304,2.0,5.0,9.0,13.0,14.0,6.0,1.0,3.0,4.0,12.0,41.0,10.0,11.0,8.0,120.0,0.0,46.0,231.0,25.0,19.0,411.0,26.0,39.0,6519.0,18.0,94.0,15.0,16.0,21.0,27.0
1353,2.0,3.0,24.0,179.0,28.0,192.0,13.0,0.0,11.0,33.0,21.0,38.0,37.0,1.0,57.0,8.0,49.0,29.0,7.0,41.0,81.0,27.0,12.0,1219.0,9.0,30.0,5.0,4.0,22.0,10.0
1402,1.0,8.0,43.0,7.0,14.0,9.0,3.0,2.0,10.0,6.0,21.0,39.0,38.0,4.0,16.0,0.0,23.0,1147.0,13.0,32.0,33.0,26.0,15.0,777.0,46.0,29.0,12.0,11.0,27.0,19.0
1451,13.0,10.0,35.0,4.0,105.0,6.0,0.0,5.0,31.0,18.0,11.0,33.0,32.0,9.0,163.0,1.0,101.0,26.0,16.0,42.0,14.0,34.0,25.0,40.0,12.0,24.0,3.0,2.0,21.0,19.0
1500,0.0,1.0,4.0,2.0,5.0,3.0,14.0,10.0,15.0,18.0,7.0,19.0,20.0,13.0,28.0,17.0,35.0,306.0,12.0,30.0,11.0,38.0,16.0,6.0,233.0,29.0,32.0,31.0,40.0,143.0
1549,1.0,3.0,126.0,10.0,4.0,19.0,9.0,0.0,8.0,14.0,40.0,12.0,11.0,2.0,13.0,22.0,15.0,77.0,6.0,33.0,16.0,165.0,18.0,7.0,34.0,32.0,402.0,401.0,47.0,407.0
1598,2.0,6.0,35.0,0.0,15.0,4.0,1.0,20.0,13.0,23.0,9.0,18.0,19.0,31.0,16.0,8.0,46.0,3134.0,10.0,36.0,34.0,41.0,7.0,5.0,51.0,49.0,28.0,27.0,30.0,330.0
1647,2.0,3.0,1.0,9.0,0.0,22.0,4.0,11.0,25.0,28.0,13.0,8.0,7.0,10.0,19.0,12.0,38.0,24.0,16.0,34.0,41.0,32.0,5.0,14.0,1091.0,109.0,26.0,27.0,29.0,45.0
1696,6.0,1.0,163.0,5.0,0.0,10.0,11.0,23.0,27.0,4.0,29.0,13.0,14.0,33.0,44.0,34.0,794.0,608.0,21.0,81.0,20.0,289.0,7.0,2.0,166.0,97.0,69.0,70.0,19.0,2641.0
1745,10.0,2.0,7.0,0.0,1.0,3.0,5.0,16.0,26.0,8.0,104.0,12.0,11.0,20.0,39.0,6.0,465.0,21.0,28.0,14.0,36.0,111.0,13.0,51.0,106.0,114.0,29.0,30.0,19.0,308.0
1794,0.0,2.0,18.0,1.0,8.0,3.0,4.0,5.0,24.0,10.0,11.0,16.0,15.0,6.0,25.0,9.0,31.0,120.0,13.0,161.0,27.0,51.0,17.0,23.0,634.0,28.0,22.0,21.0,33.0,576.0
1843,0.0,3.0,24.0,2.0,6.0,5.0,4.0,8.0,36.0,15.0,10.0,12.0,11.0,13.0,34.0,7.0,29.0,377.0,18.0,27.0,16.0,74.0,9.0,1.0,263.0,32.0,22.0,21.0,86.0,1060.0
1892,1.0,0.0,104.0,3.0,6.0,7.0,5.0,12.0,11.0,73.0,2.0,13.0,14.0,22.0,144.0,39.0,51.0,98.0,21.0,370.0,4.0,29.0,15.0,36.0,100.0,25.0,9.0,8.0,32.0,540.0
1941,1.0,0.0,45.0,12.0,8.0,34.0,15.0,2.0,50.0,20.0,16.0,22.0,21.0,7.0,33.0,3.0,133.0,35.0,6.0,409.0,19.0,44.0,40.0,11.0,39.0,42.0,4.0,5.0,58.0,475.0
1990,0.0,5.0,14.0,6.0,11.0,9.0,4.0,121.0,8.0,24.0,2.0,18.0,19.0,122.0,39.0,53.0,44.0,21.0,161.0,36.0,16.0,15.0,2287.0,172.0,1.0,10.0,34.0,33.0,35.0,28.0
2039,0.0,10.0,2.0,1.0,13.0,3.0,11.0,7.0,46.0,6.0,4.0,17.0,16.0,9.0,68.0,8.0,238.0,32.0,36.0,20.0,28.0,105.0,292.0,39.0,12.0,14.0,21.0,22.0,15.0,67.0
2088,0.0,4.0,2.0,16.0,3.0,30.0,75.0,36.0,12.0,17.0,1.0,6.0,5.0,54.0,139.0,9.0,25.0,169.0,42.0,28.0,13.0,8.0,109.0,78.0,21.0,128.0,89.0,91.0,15.0,22.0
2137,0.0,8.0,5.0,1.0,14.0,3.0,29.0,11.0,13.0,10.0,16.0,40.0,41.0,22.0,19.0,4.0,64.0,28.0,23.0,90.0,32.0,51.0,406.0,21.0,2.0,17.0,150.0,149.0,56.0,30.0
2186,0.0,6.0,1.0,7.0,8.0,2.0,15.0,78.0,18.0,14.0,3.0,10.0,9.0,112.0,26.0,16.0,23.0,5.0,228.0,22.0,40.0,17.0,122.0,24.0,34.0,61.0,149.0,148.0,43.0,28.0
2235,0.0,11.0,7.0,8.0,19.0,12.0,10.0,13.0,36.0,4.0,2.0,33.0,34.0,16.0,1.0,40.0,112.0,159.0,55.0,23.0,20.0,17.0,87.0,745.0,5.0,14.0,21.0,22.0,26.0,59.0
2284,0.0,2.0,1.0,4.0,9.0,12.0,11.0,5.0,14.0,3.0,7.0,15.0,16.0,8.0,22.0,364.0,91.0,20.0,123.0,21.0,61.0,19.0,111.0,143.0,10.0,24.0,1560.0,1559.0,29.0,18.0
2333,4.0,3.0,6.0,1.0,10.0,0.0,8.0,19.0,9.0,5.0,22.0,21.0,20.0,26.0,106.0,2.0,42.0,76.0,88.0,16.0,280.0,12.0,1348.0,41.0,30.0,89.0,17.0,18.0,13.0,28.0
2382,0.0,6.0,4.0,2.0,11.0,1.0,12.0,5.0,24.0,13.0,3.0,16.0,17.0,7.0,10.0,8.0,35.0,99.0,93.0,14.0,90.0,15.0,134.0,4093.0,29.0,23.0,31.0,32.0,70.0,33.0
2431,0.0,1.0,3.0,2.0,13.0,9.0,16.0,86.0,12.0,5.0,15.0,11.0,10.0,118.0,14.0,82.0,90.0,24.0,217.0,26.0,20.0,47.0,133.0,50.0,7.0,18.0,32.0,31.0,35.0,23.0
2480,6.0,2.0,1.0,19.0,3.0,8.0,20.0,4.0,14.0,11.0,94.0,27.0,26.0,9.0,38.0,25.0,7.0,5.0,12.0,18.0,29.0,35.0,89.0,40.0,111.0,140.0,123.0,124.0,23.0,10.0
2529,0.0,1.0,19.0,43.0,10.0,9.0,48.0,12.0,37.0,17.0,25.0,35.0,34.0,22.0,18.0,8.0,6.0,20.0,13.0,39.0,44.0,23.0,1747.0,16.0,71.0,45.0,59.0,60.0,79.0,82.0
2578,2.0,1.0,20.0,18.0,5.0,7.0,9.0,10.0,98.0,4.0,16.0,74.0,75.0,14.0,128.0,6.0,12.0,47.0,8.0,48.0,15.0,66.0,29.0,3.0,54.0,121.0,37.0,36.0,73.0,96.0
2627,5.0,4.0,1.0,17.0,0.0,2.0,8.0,3.0,10.0,27.0,14.0,58.0,57.0,6.0,9.0,37.0,70.0,22.0,53.0,24.0,11.0,30.0,1344.0,19.0,25.0,52.0,300.0,299.0,67.0,50.0
2676,0.0,2.0,5.0,46.0,17.0,19.0,6.0,3.0,15.0,10.0,18.0,53.0,54.0,9.0,8.0,37.0,7.0,67.0,11.0,13.0,31.0,30.0,174.0,150.0,12.0,64.0,120.0,122.0,36.0,34.0
2725,0.0,4.0,16.0,41.0,17.0,21.0,66.0,3.0,2.0,12.0,124.0,51.0,52.0,8.0,22.0,19.0,7.0,15.0,6.0,5.0,14.0,59.0,328.0,13.0,9.0,64.0,191.0,192.0,43.0,25.0
2774,1.0,6.0,0.0,27.0,23.0,25.0,12.0,24.0,9.0,16.0,55.0,53.0,52.0,42.0,22.0,39.0,14.0,18.0,20.0,11.0,8.0,46.0,142.0,4.0,38.0,59.0,728.0,729.0,49.0,26.0
2823,0.0,1.0,14.0,108.0,10.0,25.0,24.0,23.0,16.0,110.0,46.0,27.0,26.0,36.0,19.0,2.0,13.0,9.0,61.0,40.0,242.0,31.0,297.0,38.0,159.0,582.0,47.0,48.0,44.0,30.0
2872,0.0,6.0,8.0,101.0,12.0,38.0,27.0,1.0,13.0,55.0,35.0,98.0,97.0,2.0,5.0,4.0,9.0,34.0,7.0,62.0,102.0,15.0,140.0,57.0,56.0,67.0,33.0,32.0,48.0,25.0
2921,3.0,7.0,6.0,71.0,13.0,15.0,29.0,0.0,2.0,24.0,59.0,22.0,21.0,1.0,32.0,28.0,4.0,30.0,11.0,25.0,65.0,37.0,182.0,41.0,70.0,57.0,66.0,67.0,33.0,53.0
2970,1.0,3.0,6.0,4.0,8.0,14.0,7.0,283.0,2.0,26.0,32.0,28.0,27.0,676.0,25.0,83.0,10.0,63.0,50.0,131.0,5.0,9.0,20.0,0.0,79.0,84.0,15.0,16.0,33.0,88.0
3019,1.0,0.0,3.0,2.0,5.0,6.0,29.0,46.0,8.0,15.0,4.0,13.0,14.0,70.0,20.0,238.0,11.0,53.0,54.0,22.0,28.0,48.0,17.0,7.0,148.0,42.0,10.0,9.0,25.0,35.0
3068,0.0,4.0,2.0,6.0,3.0,1.0,13.0,26.0,28.0,27.0,8.0,20.0,19.0,34.0,85.0,52.0,7.0,10.0,157.0,24.0,22.0,33.0,102.0,12.0,42.0,51.0,15.0,16.0,90.0,48.0
3117,0.0,3.0,8.0,19.0,10.0,20.0,36.0,26.0,5.0,33.0,7.0,11.0,12.0,34.0,17.0,52.0,18.0,15.0,55.0,50.0,22.0,27.0,25.0,9.0,45.0,44.0,1.0,2.0,49.0,13.0
3166,7.0,4.0,8.0,0.0,12.0,1.0,9.0,13.0,16.0,33.0,6.0,39.0,38.0,14.0,139.0,519.0,88.0,10.0,43.0,24.0,28.0,52.0,32.0,40.0,537.0,42.0,3.0,2.0,30.0,77.0
3215,2.0,1.0,0.0,3.0,4.0,5.0,22.0,19.0,7.0,37.0,29.0,16.0,15.0,25.0,57.0,56.0,20.0,13.0,59.0,11.0,66.0,47.0,6.0,8.0,94.0,55.0,17.0,18.0,30.0,1004.0
3264,6.0,3.0,0.0,1.0,4.0,2.0,24.0,75.0,16.0,18.0,15.0,20.0,19.0,74.0,21.0,95.0,14.0,35.0,69.0,23.0,9.0,42.0,12.0,7.0,221.0,199.0,10.0,11.0,29.0,97.0
3313,0.0,4.0,6.0,1.0,12.0,23.0,13.0,36.0,2.0,7.0,30.0,19.0,18.0,49.0,3.0,3001.0,15.0,5.0,47.0,34.0,16.0,62.0,14.0,39.0,28.0,46.0,9.0,10.0,21.0,212.0
3362,1.0,0.0,2.0,4.0,18.0,10.0,22.0,44.0,3.0,94.0,9.0,7.0,8.0,63.0,23.0,517.0,34.0,16.0,5431.0,43.0,12.0,15.0,31.0,14.0,173.0,70.0,39.0,40.0,61.0,26.0
3411,2.0,0.0,3.0,1.0,6.0,4.0,18.0,273.0,5.0,17.0,8.0,13.0,14.0,491.0,51.0,24.0,7.0,9.0,84.0,27.0,38.0,12.0,47.0,25.0,111.0,169.0,11.0,10.0,32.0,30.0
3460,13.0,5.0,3.0,89.0,10.0,32.0,148.0,29.0,4.0,7.0,0.0,35.0,34.0,28.0,16.0,84.0,9.0,18.0,11.0,17.0,27.0,30.0,45.0,73.0,6.0,50.0,13130.0,13129.0,174.0,55.0
3509,0.0,18.0,6.0,39.0,74.0,21.0,30.0,8.0,33.0,41.0,9.0,153.0,152.0,7.0,10.0,276.0,17.0,20.0,16.0,130.0,262.0,35.0,190.0,2319.0,4.0,14.0,89.0,88.0,50.0,38.0
3558,1.0,39.0,32.0,33.0,35.0,324.0,37.0,8.0,2.0,40.0,19.0,171.0,172.0,9.0,36.0,3796.0,13.0,7.0,15.0,57.0,41.0,131.0,27.0,30.0,5.0,10.0,747.0,748.0,34.0,4.0
3607,3.0,9.0,0.0,51.0,5.0,26.0,25.0,16.0,23.0,20.0,1.0,92.0,91.0,15.0,30.0,12.0,27.0,13.0,2.0,22.0,43.0,58.0,44.0,197.0,76.0,11.0,665.0,664.0,60.0,24.0
3656,1.0,14.0,7.0,16.0,17.0,6.0,33.0,21.0,18.0,90.0,5.0,87.0,88.0,22.0,23.0,7560.0,84.0,0.0,56.0,358.0,13.0,99.0,24.0,41.0,101.0,3.0,336.0,337.0,52.0,102.0
3705,11.0,13.0,0.0,62.0,8.0,39.0,3.0,20.0,14.0,16.0,18.0,76.0,77.0,21.0,33.0,22.0,15.0,17.0,35.0,24.0,422.0,31.0,42.0,116.0,2.0,165.0,489.0,490.0,65.0,4.0
3754,5.0,4.0,2.0,99.0,18.0,55.0,13.0,7.0,14.0,22.0,3.0,59.0,60.0,8.0,1.0,128.0,50.0,23.0,30.0,38.0,21.0,34.0,46.0,31.0,10.0,9.0,84.0,85.0,62.0,33.0
3803,3.0,8.0,6.0,1035.0,24.0,42.0,11.0,2.0,26.0,10.0,9.0,85.0,86.0,1.0,30.0,51.0,0.0,14.0,7.0,21.0,49.0,41.0,64.0,109.0,22.0,15.0,3183.0,3184.0,53.0,46.0
3852,2.0,30.0,0.0,12.0,21.0,11.0,35.0,14.0,6.0,22.0,33.0,50.0,51.0,13.0,46.0,91.0,10.0,3.0,20.0,7.0,5.0,80.0,24.0,1427.0,9.0,26.0,1284.0,1285.0,68.0,58.0
3901,8.0,14.0,2.0,29.0,19.0,15.0,36.0,4.0,28.0,56.0,1.0,49.0,48.0,5.0,12.0,45.0,42.0,60.0,35.0,17.0,26.0,32.0,13.0,61.0,20.0,16.0,228.0,229.0,220.0,70.0
3950,0.0,1.0,387.0,3.0,2.0,8.0,15.0,7.0,5.0,14.0,52.0,47.0,46.0,10.0,32.0,30.0,140.0,33.0,17.0,78.0,411.0,11.0,13.0,3673.0,4.0,134.0,22.0,21.0,25.0,147.0
3999,44.0,0.0,58.0,15.0,8.0,16.0,13.0,53.0,4.0,3.0,570.0,2.0,1.0,80.0,9.0,5.0,115.0,166.0,41.0,94.0,584.0,10.0,30.0,114.0,55.0,155.0,39.0,38.0,14.0,118.0
4048,1.0,0.0,31.0,6.0,3.0,11.0,16.0,5.0,17.0,32.0,79.0,7.0,8.0,13.0,43.0,9.0,18.0,12.0,68.0,65.0,194.0,4.0,49.0,59.0,67.0,42.0,15.0,14.0,41.0,24.0
4097,5.0,3.0,65.0,4.0,11.0,0.0,16.0,8.0,10.0,19.0,61.0,14.0,15.0,12.0,26.0,7.0,9.0,2.0,17.0,132.0,55.0,6.0,53.0,368.0,45.0,41.0,68.0,67.0,28.0,43.0
4146,7.0,0.0,254.0,5.0,4.0,13.0,37.0,11.0,3.0,25.0,65.0,8.0,9.0,14.0,30.0,32.0,40.0,26.0,29.0,42.0,140.0,6.0,49.0,2074.0,1.0,62.0,20.0,19.0,15.0,21.0
4195,0.0,5.0,104.0,7.0,1.0,53.0,16.0,9.0,12.0,21.0,101.0,15.0,14.0,8.0,3.0,36.0,30.0,2.0,27.0,33.0,88.0,32.0,11.0,726.0,25.0,34.0,98.0,99.0,49.0,59.0
4244,4.0,1.0,38.0,14.0,2.0,21.0,46.0,3.0,10.0,66.0,69.0,18.0,19.0,5.0,22.0,11.0,34.0,7.0,25.0,107.0,84.0,24.0,26.0,254.0,36.0,63.0,16.0,17.0,129.0,15.0
4293,4.0,3.0,31.0,1.0,5.0,2.0,32.0,13.0,22.0,174.0,249.0,7.0,6.0,21.0,33.0,229.0,182.0,0.0,104.0,315.0,172.0,30.0,12.0,166.0,608.0,87.0,330.0,329.0,20.0,235.0
4342,4.0,1.0,6.0,10.0,0.0,25.0,13.0,54.0,5.0,32.0,107.0,24.0,23.0,81.0,27.0,7.0,92.0,11.0,47.0,105.0,775.0,9.0,21.0,335.0,14.0,169.0,123.0,122.0,34.0,15.0
4391,6.0,1.0,56.0,7.0,15.0,5.0,16.0,35.0,27.0,40.0,19.0,28.0,29.0,49.0,55.0,20.0,105.0,2.0,18.0,32.0,102.0,43.0,88.0,703.0,21.0,66.0,376.0,375.0,45.0,37.0
4440,7.0,112.0,47.0,5.0,8.0,31.0,2.0,203.0,21.0,12.0,446.0,42.0,43.0,388.0,23.0,304.0,18.0,0.0,10.0,57.0,29.0,55.0,34.0,24.0,22.0,36.0,7309.0,7310.0,13.0,27.0
4489,0.0,27.0,119.0,3.0,20.0,7.0,2.0,15.0,36.0,67.0,65.0,17.0,18.0,23.0,11.0,61.0,4.0,9.0,52.0,263.0,40.0,121.0,10.0,50.0,1893.0,29.0,3378.0,3377.0,63.0,33.0
4538,3.0,5.0,507.0,4.0,16.0,41.0,6.0,14.0,39.0,32.0,99.0,8.0,7.0,24.0,71.0,12.0,22.0,13.0,25.0,595.0,706.0,105.0,10.0,190.0,38.0,48.0,510.0,509.0,31.0,70.0
4587,0.0,11.0,265.0,46.0,9.0,408.0,2.0,66.0,28.0,17.0,27.0,33.0,32.0,117.0,8.0,5.0,14.0,10.0,54.0,211.0,228.0,514.0,19.0,4.0,42.0,26.0,1132.0,1133.0,23.0,37.0
4636,1.0,23.0,5704.0,37.0,21.0,803.0,5.0,207.0,41.0,2.0,90.0,18.0,17.0,357.0,9.0,272.0,76.0,7.0,6.0,70.0,15.0,694.0,36.0,8.0,517.0,14.0,8342.0,8341.0,27.0,1282.0
4685,0.0,4.0,232.0,1.0,26.0,3.0,8.0,50.0,7.0,15.0,77.0,34.0,33.0,81.0,17.0,155.0,9.0,2.0,13.0,84.0,23.0,192.0,12.0,10.0,93.0,16.0,98.0,97.0,25.0,56.0
4734,0.0,9.0,17.0,2.0,8.0,52.0,3.0,674.0,29.0,25.0,863.0,12.0,13.0,1403.0,54.0,80.0,55.0,10.0,35.0,205.0,15.0,86.0,40.0,1.0,398.0,26.0,2083.0,2084.0,38.0,71.0
4783,0.0,18.0,2025.0,12.0,3.0,153.0,33.0,10.0,23.0,47.0,68.0,8.0,9.0,20.0,13.0,77.0,39.0,38.0,29.0,179.0,50.0,132.0,24.0,5.0,131.0,37.0,291.0,290.0,28.0,1.0
4832,1.0,30.0,738.0,2.0,11.0,27.0,5.0,60.0,17.0,21.0,132.0,40.0,39.0,96.0,4.0,29.0,19.0,18.0,16.0,150.0,38.0,156.0,22.0,28.0,557.0,10.0,403.0,404.0,15.0,26.0
4881,0.0,19.0,770.0,2.0,4.0,14.0,1.0,83.0,15.0,9.0,29.0,17.0,18.0,82.0,58.0,195.0,36.0,25.0,30.0,358.0,10.0,63.0,8.0,16.0,73.0,49.0,2134.0,2133.0,11.0,66.0
