,WWTR1,CLCF1,NTN4,AGAP2,OSMR,UBTD1,CPSF6,CTSL,ADRA1B,HRCT1,KBTBD8,CDC14B,IGFBP6,TWSG1,KRT80,SEC14L2,ITPRIPL1,PLEKHN1,PPIC,ATP9A,BCL9L,SLC25A19,UBL7-AS1,RP11-680F8.3,CXCL16,POU2F1,RP11-537E18.1,LEPREL1,TFAP2A,FSTL3
1432,1.0,2.0,33.0,0.0,30.0,7.0,25.0,15.0,39.0,13.0,37.0,14.0,7251.0,19.0,5.0,32.0,3.0,12.0,28.0,8772.0,5325.0,98.0,43.0,4439.0,9.0,35.0,49.0,40.0,29.0,2345.0
1481,0.0,8.0,1.0,4.0,13.0,2.0,52.0,36.0,20.0,5.0,3.0,26.0,61.0,33.0,43.0,50.0,27.0,19.0,30.0,17.0,64.0,18.0,47.0,12.0,7.0,57.0,9.0,63.0,594.0,35.0
1530,0.0,5.0,1.0,7.0,22.0,18.0,30.0,17.0,26.0,46.0,23.0,15.0,29.0,14.0,41.0,35.0,867.0,43.0,11.0,4.0,827.0,34.0,127.0,74.0,106.0,8.0,55.0,12.0,20736.0,33.0
1579,1.0,0.0,2.0,9.0,19.0,17.0,22.0,28.0,26.0,30.0,5.0,32.0,10.0,42.0,11.0,54.0,8.0,21.0,41.0,12.0,38.0,47.0,20.0,25.0,48.0,62.0,44.0,53.0,16.0,27.0
1628,0.0,10.0,1.0,15.0,5.0,3.0,56.0,20.0,14.0,6.0,89.0,32.0,41.0,25.0,36.0,21.0,16908.0,48.0,35.0,18.0,60.0,42.0,28.0,52.0,7.0,26.0,16988.0,30.0,2.0,29.0
1677,0.0,1.0,11.0,12.0,19.0,4.0,41.0,20.0,23.0,30.0,6.0,42.0,7236.0,21.0,18.0,13.0,5.0,24.0,33.0,16.0,5315.0,47.0,49.0,76.0,69.0,36.0,39.0,38.0,20821.0,50.0
1726,0.0,2.0,3.0,1.0,6.0,19.0,9.0,26.0,46.0,7.0,5.0,20.0,39.0,29.0,18.0,56.0,14.0,40.0,37.0,16.0,32.0,41.0,48.0,62.0,44.0,10.0,28.0,65.0,17.0,45.0
1775,0.0,5.0,10.0,9.0,16.0,6.0,42.0,32.0,39.0,3.0,17.0,44.0,30.0,12325.0,13.0,57.0,43.0,29.0,38.0,4.0,37.0,2.0,36.0,71.0,83.0,21.0,61.0,41.0,2084.0,15.0
1824,0.0,17.0,2.0,4.0,5.0,14.0,34.0,26.0,33.0,35.0,8.0,20.0,38.0,39.0,29.0,6.0,47.0,36.0,12.0,16.0,49.0,50.0,25.0,37.0,10499.0,43.0,53.0,30.0,540.0,28.0
1873,0.0,11.0,13.0,10.0,14.0,3.0,35.0,18.0,6.0,22.0,1.0,9.0,38.0,26.0,36.0,30.0,2.0,19.0,25.0,7.0,40.0,27.0,64.0,47.0,46.0,55.0,29.0,45.0,37.0,31.0
1922,0.0,2.0,7.0,4.0,15.0,6.0,1.0,19.0,22.0,39.0,3.0,16.0,26.0,29.0,37.0,17.0,72.0,23.0,35.0,111.0,14.0,33.0,51.0,55.0,42.0,13.0,16985.0,44.0,24.0,34.0
1971,0.0,1.0,4.0,5.0,2.0,7.0,31.0,8.0,18.0,11.0,28.0,43.0,34.0,24.0,38.0,10.0,16976.0,22.0,40.0,85.0,41.0,45.0,12.0,29.0,51.0,47.0,42.0,13.0,53.0,69.0
2020,0.0,2.0,11.0,1.0,32.0,10.0,34.0,6.0,27.0,52.0,104.0,67.0,38.0,31.0,9.0,3.0,92.0,13.0,16.0,24.0,5.0,30.0,19.0,54.0,65.0,15.0,28.0,12.0,850.0,68.0
2069,0.0,25.0,2.0,5.0,10.0,4.0,1.0,22.0,12.0,14.0,119.0,44.0,11.0,12276.0,28.0,45.0,318.0,8.0,43.0,3.0,35.0,27.0,9.0,40.0,13.0,42.0,39.0,67.0,20773.0,17.0
2118,0.0,55.0,7.0,1.0,3.0,11.0,10.0,16.0,9.0,19.0,243.0,45.0,34.0,28.0,29.0,48.0,16925.0,18.0,39.0,124.0,4446.0,41.0,12.0,27.0,54.0,63.0,20.0,8.0,31.0,76.0
2167,0.0,161.0,8.0,1.0,4.0,9.0,37.0,11.0,33.0,58.0,34.0,24.0,20.0,12200.0,39.0,6.0,16989.0,15.0,19.0,88.0,2.0,17.0,27.0,42.0,18.0,26.0,65.0,16.0,69.0,43.0
2216,0.0,2.0,5.0,10.0,14.0,15.0,49.0,19.0,12.0,45.0,92.0,38.0,6.0,430.0,39.0,40.0,16892.0,37.0,29.0,27.0,22.0,51.0,32.0,28.0,18.0,46.0,68.0,30.0,20752.0,72.0
2265,0.0,63.0,9.0,4.0,13.0,15.0,12.0,8.0,21.0,10.0,11.0,16.0,25.0,12249.0,636.0,34.0,30.0,5.0,19.0,41.0,6.0,50.0,29.0,32.0,26.0,2.0,44.0,62.0,20737.0,61.0
2314,0.0,15.0,3.0,11.0,5.0,2.0,12.0,14.0,16.0,62.0,54.0,13.0,34.0,11111.0,19.0,50.0,17020.0,18.0,26.0,107.0,27.0,47.0,21.0,28.0,41.0,20.0,48.0,53.0,20766.0,63.0
2363,0.0,2.0,12.0,4.0,17.0,19.0,91.0,16.0,1.0,50.0,53.0,39.0,2319.0,34.0,4812.0,24.0,8.0,30.0,40.0,10.0,54.0,42.0,33.0,22.0,7.0,18.0,52.0,6.0,433.0,11315.0
2412,0.0,1.0,5.0,2.0,21.0,6.0,29.0,24.0,16.0,32.0,65.0,11.0,9.0,12322.0,45.0,39.0,16874.0,18.0,20.0,7.0,4416.0,51.0,4240.0,17.0,38.0,47.0,33.0,74.0,27.0,31.0
2461,0.0,1027.0,2.0,9.0,17.0,8.0,1.0,23.0,25.0,361.0,15.0,20257.0,24.0,46.0,37.0,43.0,19.0,18.0,35.0,7501.0,54.0,20.0,11.0,29.0,51.0,27.0,16981.0,14.0,283.0,10.0
2510,0.0,3.0,2.0,10.0,17.0,6.0,1.0,22.0,20.0,45.0,8.0,20241.0,24.0,33.0,15.0,37.0,25.0,19.0,14.0,21.0,60.0,50.0,30.0,28.0,41.0,40.0,78.0,27.0,38.0,31.0
2559,0.0,2950.0,8.0,9.0,5.0,4.0,1.0,15.0,6.0,38.0,12763.0,20001.0,5237.0,23.0,5273.0,13.0,46.0,17.0,37.0,261.0,30.0,41.0,44.0,22.0,48.0,7.0,13273.0,3.0,20.0,32.0
2608,0.0,49.0,9.0,6.0,23.0,19.0,1.0,17.0,13.0,151.0,36.0,20239.0,4746.0,34.0,4.0,20.0,2.0,33.0,42.0,434.0,5347.0,32.0,35.0,56.0,64.0,16.0,46.0,38.0,39.0,57.0
2657,1.0,6.0,2.0,15.0,3.0,19945.0,0.0,18.0,12.0,4.0,145.0,17.0,29.0,22.0,25.0,26.0,5.0,9.0,43.0,35.0,37.0,55.0,31.0,14.0,40.0,52.0,30.0,56.0,33.0,13.0
2706,1.0,2.0,3.0,15.0,5.0,19943.0,0.0,20.0,13.0,16.0,110.0,41.0,18.0,23.0,17.0,26.0,90.0,12.0,27.0,246.0,4752.0,51.0,330.0,31.0,14.0,39.0,29.0,11.0,1512.0,30.0
2755,0.0,4.0,3.0,14.0,6.0,12.0,1.0,26.0,16.0,19.0,61.0,20237.0,25.0,42.0,7.0,18.0,2.0,13.0,43.0,66.0,57.0,51.0,48.0,28.0,40.0,27.0,55.0,58.0,33.0,39.0
2804,0.0,3.0,7.0,15.0,6.0,20.0,1.0,12.0,17.0,19.0,54.0,44.0,5233.0,12229.0,31.0,47.0,27.0,29.0,40.0,183.0,37.0,21.0,28.0,25.0,73.0,41.0,13303.0,36.0,33.0,11235.0
2853,0.0,162.0,2.0,10.0,3.0,26.0,1.0,11.0,24.0,40.0,77.0,7.0,8.0,32.0,4.0,15.0,16876.0,27.0,16.0,135.0,41.0,25.0,12.0,13.0,46.0,79.0,44.0,60.0,29.0,37.0
2902,0.0,15.0,2.0,14.0,5.0,29.0,1.0,23.0,11.0,7.0,19.0,26.0,10.0,142.0,5329.0,40.0,3.0,31.0,25.0,360.0,39.0,17.0,24.0,35.0,38.0,27.0,52.0,42.0,44.0,21.0
2951,0.0,18.0,10.0,9.0,3.0,8.0,26.0,13.0,21.0,27.0,98.0,20.0,25.0,12.0,17.0,58.0,44.0,54.0,30.0,34.0,14.0,16.0,39.0,40.0,60.0,29.0,38.0,31.0,32.0,53.0
3000,0.0,21.0,25.0,1.0,7.0,2.0,12.0,11.0,41.0,62.0,4.0,22.0,24.0,9.0,6323.0,32.0,190.0,42.0,33.0,31.0,49.0,30.0,23.0,47.0,43.0,27.0,48.0,78.0,20739.0,37.0
3049,0.0,1.0,9.0,8.0,2.0,4.0,7.0,19.0,23.0,26.0,80.0,36.0,24.0,5.0,41.0,15.0,55.0,30.0,37.0,20.0,29.0,25.0,3.0,40.0,31.0,22.0,33.0,6.0,27.0,44.0
3098,0.0,1.0,19.0,7.0,13.0,6.0,26.0,8.0,17.0,11.0,43.0,46.0,22.0,12246.0,6317.0,38.0,16891.0,15.0,29.0,7438.0,23.0,28.0,21.0,24.0,57.0,25.0,55.0,30.0,1519.0,31.0
3147,0.0,2.0,16.0,7.0,4.0,20.0,1.0,9.0,5.0,33.0,6.0,50.0,24.0,14.0,43.0,30.0,16959.0,31.0,10.0,74.0,21.0,19.0,17.0,42.0,46.0,41.0,51.0,52.0,2446.0,37.0
3196,0.0,2.0,15.0,4.0,5.0,3.0,17.0,10.0,44.0,23.0,9.0,7.0,27.0,13.0,31.0,20.0,118.0,26.0,19.0,14.0,18.0,11.0,3445.0,21.0,49.0,24.0,16981.0,25.0,16.0,48.0
3245,0.0,65.0,12.0,4.0,5.0,6.0,1.0,16.0,20.0,3.0,47.0,30.0,5019.0,9.0,27.0,42.0,28.0,35.0,36.0,104.0,21.0,17.0,18.0,39.0,2.0,43.0,14.0,33.0,20754.0,37.0
3294,0.0,1.0,18.0,6.0,4.0,3.0,10.0,8.0,26.0,50.0,22.0,13.0,4697.0,25.0,4684.0,19.0,80.0,56.0,17.0,7475.0,29.0,12.0,9.0,11.0,38.0,28.0,41.0,16.0,20762.0,52.0
3343,0.0,5.0,21.0,14.0,2.0,1.0,15.0,12.0,27.0,6.0,148.0,31.0,24.0,11.0,48.0,46.0,17019.0,9.0,44.0,107.0,47.0,54.0,32.0,40.0,84.0,33.0,25.0,35.0,20739.0,20.0
3392,0.0,4.0,28.0,7.0,13.0,3.0,10.0,15.0,24.0,11.0,51.0,45.0,20.0,16.0,55.0,17.0,176.0,29.0,19.0,63.0,26.0,12.0,34.0,57.0,82.0,40.0,13317.0,23.0,20741.0,30.0
3441,0.0,7.0,36.0,6.0,11.0,33.0,8.0,21.0,14.0,13.0,12.0,31.0,34.0,27.0,706.0,20.0,4.0,46.0,37.0,16.0,42.0,73.0,40.0,18.0,60.0,41.0,54.0,14982.0,28.0,45.0
3490,0.0,4.0,3.0,10.0,13.0,40.0,5.0,19.0,14.0,15.0,123.0,21.0,32.0,33.0,9.0,26.0,56.0,27.0,31.0,7.0,23.0,25.0,4107.0,16.0,18.0,8.0,37.0,22.0,12.0,51.0
3539,0.0,49.0,16.0,4.0,23.0,11.0,1.0,27.0,10.0,3.0,20.0,13.0,18.0,28.0,397.0,33.0,64.0,47.0,39.0,45.0,32.0,25.0,24.0,57.0,7.0,14.0,60.0,43.0,30.0,59.0
3588,0.0,6.0,8.0,2.0,11.0,23.0,14.0,25.0,7.0,41.0,3.0,33.0,24.0,31.0,29.0,39.0,30.0,16071.0,58.0,28.0,40.0,60.0,10.0,3701.0,57.0,20.0,36.0,5.0,19.0,78.0
3637,0.0,51.0,8.0,7.0,9.0,21.0,35.0,14.0,19.0,42.0,17.0,22.0,49.0,24.0,55.0,36.0,2.0,44.0,37.0,13.0,40.0,5.0,3555.0,64.0,33.0,72.0,41.0,63.0,16.0,70.0
3686,0.0,25.0,21.0,3.0,28.0,1.0,29.0,17.0,12.0,10.0,33.0,22.0,34.0,9.0,16.0,38.0,68.0,55.0,48.0,20.0,952.0,11.0,24.0,31.0,53.0,39.0,41.0,45.0,47.0,65.0
3735,0.0,39.0,31.0,5.0,29.0,12.0,2.0,23.0,8.0,13.0,40.0,30.0,32.0,26.0,14.0,25.0,11.0,71.0,42.0,6.0,36.0,34.0,3563.0,62.0,69.0,16.0,55.0,27.0,18.0,33.0
3784,0.0,2.0,4.0,11.0,14.0,7.0,22.0,8.0,6.0,48.0,27.0,17.0,20.0,13.0,51.0,25.0,1042.0,42.0,26.0,33.0,18.0,50.0,29.0,31.0,38.0,12.0,16981.0,30.0,21.0,46.0
3833,0.0,3.0,6.0,5.0,9.0,18.0,40.0,21.0,12.0,14.0,44.0,17.0,11.0,24.0,8.0,28.0,19.0,2.0,13.0,30.0,33.0,54.0,34.0,63.0,53.0,36.0,56.0,61.0,37.0,79.0
3882,0.0,11.0,25.0,9.0,27.0,21.0,18.0,17.0,13.0,37.0,49.0,24.0,26.0,23.0,36.0,9134.0,80.0,33.0,32.0,34.0,4402.0,70.0,3280.0,51.0,42.0,30.0,59.0,7.0,1.0,46.0
3931,1.0,0.0,3.0,13.0,30.0,19797.0,14.0,22.0,15.0,4.0,37.0,18.0,47.0,42.0,21.0,63.0,17015.0,27.0,49.0,17.0,28.0,61.0,1422.0,51.0,56.0,17492.0,39.0,11.0,12.0,36.0
3980,0.0,1.0,3.0,15.0,6.0,31.0,8.0,24.0,12.0,2.0,4.0,42.0,536.0,25.0,37.0,61.0,14.0,9.0,28.0,195.0,32.0,52.0,40.0,59.0,36.0,41.0,49.0,22.0,18.0,30.0
4029,0.0,1.0,12.0,2.0,13.0,6.0,17.0,20.0,15.0,11.0,26.0,7.0,42.0,12323.0,33.0,9.0,8.0,37.0,39.0,22.0,23.0,46.0,475.0,14.0,29.0,53.0,21.0,71.0,48.0,55.0
4078,1.0,4.0,0.0,10.0,5.0,33.0,7.0,6.0,15.0,12.0,17.0,31.0,6353.0,12255.0,35.0,23.0,92.0,38.0,22.0,3.0,4374.0,42.0,9.0,44.0,45.0,26.0,46.0,96.0,53.0,52.0
4127,0.0,1.0,8.0,7.0,3.0,38.0,31.0,17.0,10.0,22.0,18.0,21.0,42.0,29.0,27.0,39.0,12.0,32.0,37.0,5.0,24.0,49.0,11.0,14.0,13.0,45.0,28.0,46.0,50.0,36.0
4176,0.0,1.0,19.0,9.0,13.0,4.0,21.0,14.0,15.0,29.0,10.0,2.0,6322.0,12229.0,30.0,6.0,75.0,47.0,37.0,109.0,4369.0,20.0,5.0,3723.0,33.0,16.0,22.0,71.0,41.0,17.0
4225,0.0,1.0,13.0,4.0,32.0,7.0,2.0,39.0,30.0,8.0,10.0,24.0,16.0,27.0,28.0,22.0,168.0,23.0,38.0,9.0,35.0,49.0,427.0,44.0,20.0,52.0,34.0,15003.0,17.0,51.0
4274,0.0,8.0,17.0,4.0,6.0,9.0,10.0,22.0,18.0,7.0,16.0,30.0,342.0,12309.0,2.0,24.0,5.0,33.0,37.0,1.0,14.0,53.0,23.0,35.0,31.0,71.0,43.0,32.0,21216.0,38.0
4323,0.0,1.0,9.0,8.0,24.0,19829.0,28.0,20.0,6.0,13.0,48.0,17.0,27.0,42.0,30.0,71.0,37.0,33.0,12.0,4.0,26.0,34.0,7.0,39.0,29.0,66.0,16.0,65.0,81.0,47.0
4372,0.0,8.0,9.0,7.0,4.0,37.0,32.0,19.0,10.0,2.0,3.0,27.0,36.0,33.0,13.0,17.0,101.0,41.0,42.0,110.0,238.0,38.0,11.0,4547.0,34.0,87.0,30.0,99.0,54.0,35.0
4421,0.0,1.0,9.0,11.0,12.0,19826.0,14.0,21.0,10.0,34.0,22.0,23.0,4.0,7.0,38.0,16.0,3.0,56.0,46.0,163.0,4397.0,41.0,779.0,31.0,13.0,78.0,30.0,33.0,5.0,17.0
4470,0.0,3.0,22.0,8.0,15.0,573.0,1.0,25.0,31.0,57.0,4.0,24.0,16.0,12240.0,6294.0,17.0,40.0,33.0,37.0,14.0,4809.0,27.0,10.0,50.0,28.0,38.0,30.0,11.0,20.0,13.0
4519,0.0,1.0,4.0,16.0,13.0,19916.0,25.0,29.0,18.0,8.0,39.0,20.0,27.0,21.0,453.0,37.0,2.0,19.0,12.0,232.0,6634.0,15.0,46.0,36.0,28.0,26.0,22.0,45.0,61.0,48.0
4568,0.0,10.0,2.0,13.0,15.0,488.0,37.0,22.0,17.0,5.0,3.0,16.0,12.0,30.0,6345.0,39.0,67.0,33.0,48.0,253.0,18.0,36.0,49.0,3542.0,11.0,62.0,29.0,21.0,43.0,32.0
4617,0.0,1.0,17.0,13.0,21.0,169.0,9.0,20.0,11.0,33.0,7.0,25.0,26.0,8.0,112.0,46.0,16.0,43.0,66.0,155.0,31.0,58.0,39.0,37.0,56.0,53.0,15.0,14.0,627.0,35.0
4666,0.0,1.0,2.0,10.0,4.0,19798.0,17.0,21.0,12.0,8.0,7.0,16.0,11.0,29.0,51.0,39.0,5.0,31.0,49.0,359.0,28.0,20.0,77.0,34.0,50.0,75.0,19.0,25.0,1241.0,11231.0
4715,0.0,9.0,1.0,14.0,10.0,334.0,20.0,30.0,35.0,17.0,4.0,27.0,11.0,12235.0,143.0,13.0,29.0,44.0,46.0,41.0,4359.0,18.0,40.0,39.0,15.0,51.0,24.0,45.0,20988.0,38.0
4764,0.0,37.0,1.0,5.0,8.0,6.0,38.0,36.0,12.0,2.0,13.0,24.0,17.0,42.0,1429.0,23.0,4.0,16078.0,44.0,197.0,4392.0,21.0,35.0,14.0,71.0,18.0,27.0,74.0,26.0,33.0
4813,0.0,5.0,15.0,2.0,11.0,19813.0,13.0,17.0,10.0,9.0,32.0,7.0,25.0,12259.0,4517.0,21.0,3.0,48.0,44.0,41.0,5378.0,40.0,30.0,49.0,19.0,82.0,31.0,43.0,574.0,37.0
4862,0.0,10.0,1.0,5.0,3.0,80.0,16.0,20.0,15.0,34.0,70.0,2.0,43.0,31.0,32.0,24.0,7.0,33.0,21950.0,6.0,17.0,28.0,54.0,26.0,40.0,78.0,25.0,48.0,42.0,11258.0
