,OR51A4_DEL,OR51A2_DEL,ACACB_MUT,DST_MUT,ZBTB20_AMP,HERC2P2_AMP,APOBEC3A_B_DEL,TNK2_MUT,CTNNA2_MUT,ERBB2_AMP,SIRPB1_AMP,JAK2_AMP,DPP6_DEL,APBA1_AMP,NRXN1_DEL,EP300_MUT,CREBBP_MUT,LINC00226_AMP,MIEN1_AMP,GRB7_AMP,MIR4728_AMP,PGAP3_AMP,ZNF705G_AMP,MYEOV_AMP,ADAM12_MUT,HLA-DRB1_AMP,IKZF3_AMP,ARHGEF5_AMP,HLA-DRB6_AMP,GPATCH2_DEL
521,5.0,2.0,21.0,3.0,29.0,64.0,14.0,24.0,50.0,23.0,0.0,34.0,15.0,105.0,352.0,66.0,143.0,7.0,53.0,54.0,55.0,52.0,38.0,44.0,190.0,174.0,61.0,132.0,152.0,40.0
570,0.0,2.0,8.0,5.0,1.0,12.0,42.0,6.0,20.0,11.0,62.0,29.0,15.0,36.0,113.0,3.0,80.0,19.0,46.0,45.0,47.0,44.0,31.0,56.0,39.0,64.0,55.0,27.0,61.0,16.0
619,0.0,2.0,8.0,23.0,12.0,46.0,11.0,19.0,291.0,10.0,38.0,9.0,66.0,64.0,186.0,1.0,44.0,99.0,59.0,60.0,58.0,61.0,69.0,47.0,219.0,18.0,67.0,730.0,21.0,28.0
668,0.0,3.0,9.0,86.0,10.0,83.0,41.0,84.0,60.0,30.0,2.0,5.0,72.0,18.0,42.0,4.0,110.0,1.0,38.0,37.0,36.0,39.0,6.0,28.0,40.0,2522.0,43.0,312.0,2965.0,32.0
717,0.0,2.0,3.0,16.0,10.0,9.0,44.0,7.0,28.0,12.0,1.0,22.0,39.0,27.0,520.0,4.0,14.0,73.0,88.0,89.0,91.0,90.0,50.0,92.0,150.0,13.0,106.0,146.0,17.0,116.0
766,3.0,1.0,20.0,2.0,0.0,4.0,7.0,12.0,53.0,30.0,5.0,13.0,152.0,184.0,1114.0,17.0,320.0,6.0,115.0,114.0,116.0,117.0,1438.0,19.0,66.0,67.0,138.0,91.0,75.0,25.0
815,2.0,0.0,3.0,6.0,13.0,12.0,20.0,54.0,21.0,22.0,17.0,19.0,4.0,27.0,26.0,1.0,52.0,124.0,39.0,42.0,41.0,43.0,1307.0,35.0,93.0,30.0,40.0,23.0,29.0,123.0
864,5.0,16.0,33.0,14.0,49.0,3.0,24.0,15.0,27.0,26.0,0.0,13.0,92.0,39.0,1198.0,10.0,32.0,30.0,62.0,61.0,63.0,60.0,1.0,96.0,98.0,2.0,75.0,28.0,4.0,31.0
913,0.0,2.0,3.0,6.0,4.0,83.0,11.0,13.0,36.0,9.0,1.0,18.0,16.0,49.0,215.0,12.0,84.0,5.0,25.0,23.0,22.0,24.0,19.0,74.0,105.0,244.0,35.0,207.0,179.0,51.0
962,4.0,11.0,9.0,80.0,1.0,12.0,13.0,19.0,10.0,130.0,0.0,14.0,17.0,160.0,41.0,2.0,39.0,8.0,201.0,199.0,198.0,202.0,60.0,27.0,141.0,66.0,247.0,251.0,86.0,15.0
1011,2.0,0.0,3.0,8.0,9.0,1.0,13.0,29.0,4.0,6.0,5.0,10.0,232.0,11.0,22.0,86.0,210.0,30.0,20.0,18.0,21.0,19.0,153.0,24.0,93.0,251.0,26.0,529.0,471.0,63.0
1060,1.0,17.0,4.0,91.0,2.0,0.0,11.0,13.0,9.0,8.0,22.0,10.0,3.0,19.0,28.0,35.0,32.0,37.0,25.0,23.0,26.0,24.0,7.0,52.0,16.0,111.0,31.0,12.0,141.0,20.0
1109,0.0,3.0,4.0,17.0,10.0,2.0,46.0,13.0,31.0,24.0,1.0,6.0,202.0,7.0,40.0,15.0,12.0,20.0,105.0,104.0,102.0,103.0,9.0,35.0,23.0,111.0,101.0,19.0,45.0,11.0
1158,0.0,1.0,5.0,2.0,16.0,3.0,11.0,12.0,66.0,15.0,13.0,8.0,167.0,7.0,4.0,14.0,62.0,61.0,40.0,38.0,39.0,41.0,6.0,26.0,37.0,380.0,48.0,73.0,387.0,34.0
1207,0.0,2.0,4.0,39.0,7.0,1.0,1292.0,9.0,18.0,6.0,3.0,5.0,68.0,19.0,8.0,11.0,13.0,13207.0,24.0,22.0,21.0,23.0,15.0,38.0,28.0,10.0,27.0,37.0,16.0,99.0
1256,0.0,1.0,4.0,17.0,68.0,3.0,56.0,9.0,8.0,32.0,2.0,92.0,25.0,13.0,66.0,14.0,34.0,6.0,108.0,109.0,106.0,105.0,61.0,27.0,16.0,288.0,118.0,10.0,666.0,40.0
1305,0.0,1.0,3.0,11.0,39.0,2.0,12.0,9.0,5.0,98.0,26.0,50.0,31.0,58.0,46.0,4.0,7.0,436.0,32.0,33.0,34.0,35.0,203.0,43.0,6.0,575.0,45.0,16.0,453.0,131.0
1354,0.0,3.0,4.0,5.0,6.0,1.0,16.0,21.0,9.0,94.0,2.0,7.0,24.0,8.0,10.0,66.0,14.0,44.0,284.0,285.0,286.0,283.0,11.0,15.0,49.0,211.0,323.0,25.0,1054.0,23.0
1403,0.0,4.0,2.0,6.0,238.0,1.0,42.0,40.0,29.0,9.0,8.0,67.0,3.0,20.0,12.0,7.0,5.0,10.0,22.0,24.0,23.0,25.0,135.0,19.0,18.0,361.0,31.0,86.0,563.0,27.0
1452,1.0,2.0,9.0,8.0,32.0,6.0,18.0,11.0,62.0,28.0,0.0,13.0,50.0,35.0,64.0,5.0,397.0,95.0,40.0,42.0,41.0,43.0,4.0,24.0,91.0,12386.0,48.0,197.0,12385.0,23.0
1501,2.0,0.0,6.0,12.0,595.0,33.0,3.0,10.0,9.0,46.0,17.0,120.0,79.0,67.0,28.0,5.0,81.0,4.0,63.0,60.0,58.0,59.0,1.0,31.0,15.0,50.0,77.0,144.0,76.0,44.0
1550,2.0,0.0,5.0,9.0,4.0,34.0,75.0,11.0,6.0,49.0,1.0,33.0,8.0,30.0,27.0,10.0,23.0,198.0,56.0,54.0,57.0,55.0,12.0,45.0,50.0,48.0,70.0,393.0,111.0,22.0
1599,2.0,0.0,8.0,9.0,20.0,12.0,6.0,11.0,5.0,14.0,1.0,85.0,27.0,19.0,25.0,10.0,31.0,23.0,41.0,39.0,40.0,38.0,7.0,32.0,171.0,86.0,47.0,43.0,44.0,36.0
1648,1.0,0.0,4.0,12.0,19.0,16.0,14.0,5.0,6.0,23.0,13.0,36.0,2.0,43.0,65.0,32.0,247.0,97.0,31.0,28.0,29.0,30.0,7.0,27.0,48.0,8.0,34.0,99.0,20.0,25.0
1697,19.0,4.0,20.0,14.0,11.0,0.0,5.0,10.0,13.0,22.0,2.0,31.0,7.0,88.0,17.0,16.0,148.0,151.0,41.0,39.0,40.0,42.0,21.0,37.0,422.0,149.0,44.0,30.0,311.0,27.0
1746,1.0,0.0,13.0,12.0,15.0,19.0,4.0,23.0,9.0,11.0,3.0,253.0,37.0,30.0,556.0,6.0,36.0,82.0,25.0,26.0,27.0,28.0,7.0,32.0,170.0,157.0,29.0,8.0,724.0,59.0
1795,3.0,0.0,13.0,7.0,9.0,6.0,5.0,25.0,8.0,17.0,35.0,44.0,36.0,71.0,22.0,10.0,34.0,156.0,42.0,43.0,41.0,40.0,2.0,39.0,46.0,47.0,45.0,27.0,48.0,15.0
1844,1.0,0.0,8.0,2.0,12.0,3.0,10.0,13.0,4.0,63.0,22.0,31.0,109.0,26.0,19.0,11.0,108.0,52.0,176.0,179.0,177.0,178.0,5.0,65.0,78.0,32.0,199.0,18.0,50.0,140.0
1893,2.0,1.0,8.0,51.0,5.0,0.0,15.0,13.0,6.0,19.0,11.0,85.0,7.0,63.0,92.0,10.0,22.0,29.0,77.0,75.0,78.0,76.0,9.0,133.0,40.0,165.0,79.0,21.0,284.0,38.0
1942,10.0,0.0,17.0,4.0,16.0,6.0,1.0,7.0,2.0,23.0,5.0,49.0,64.0,200.0,83.0,11.0,163.0,28.0,41.0,42.0,43.0,44.0,15.0,24.0,21.0,235.0,48.0,31.0,422.0,80.0
1991,0.0,23.0,7.0,4.0,14.0,1.0,5.0,15.0,17.0,3.0,13.0,12.0,191.0,19.0,6.0,67.0,43.0,2.0,36.0,34.0,33.0,35.0,32.0,44.0,28.0,119.0,40.0,256.0,68.0,37.0
2040,0.0,7.0,125.0,15.0,1.0,12.0,37.0,9.0,92.0,6.0,4.0,8.0,72.0,13.0,1032.0,44.0,57.0,2.0,20.0,21.0,19.0,18.0,16.0,40.0,55.0,10.0,23.0,3.0,11.0,29.0
2089,3.0,28.0,13.0,2.0,6.0,4.0,53.0,7.0,25.0,18.0,468.0,149.0,48.0,10.0,66.0,15.0,37.0,5.0,22.0,21.0,20.0,23.0,35.0,50.0,9.0,1.0,26.0,11.0,0.0,12.0
2138,0.0,1.0,42.0,10.0,8.0,7.0,101.0,4.0,5.0,154.0,12.0,13.0,188.0,17.0,44.0,31.0,20.0,2.0,628.0,629.0,631.0,633.0,21.0,19.0,14.0,202.0,777.0,97.0,198.0,22.0
2187,1.0,6.0,55.0,49.0,9.0,7.0,18.0,10.0,4.0,14.0,23.0,12.0,97.0,21.0,13.0,236.0,39.0,0.0,27.0,28.0,29.0,30.0,2.0,138.0,8.0,17.0,35.0,22.0,19.0,40.0
2236,0.0,6.0,75.0,20.0,1.0,3.0,5.0,7.0,62.0,2.0,163.0,8.0,72.0,23.0,49.0,53.0,80.0,9.0,15.0,12.0,14.0,13.0,4.0,61.0,22.0,50.0,18.0,101.0,54.0,24.0
2285,0.0,3.0,38.0,34.0,2.0,1.0,108.0,8.0,14.0,6.0,17.0,11.0,106.0,48.0,128.0,61.0,22.0,5.0,26.0,25.0,23.0,24.0,7.0,30.0,27.0,69.0,28.0,64.0,60.0,20.0
2334,0.0,1.0,72.0,28.0,2.0,5.0,20.0,19.0,10.0,3.0,100.0,4.0,6.0,8.0,86.0,39.0,146.0,65.0,16.0,17.0,14.0,15.0,2551.0,22.0,105.0,13.0,18.0,7.0,23.0,130.0
2383,3.0,42.0,37.0,7.0,16.0,8.0,33.0,10.0,4.0,2.0,310.0,21.0,22.0,51.0,101.0,58.0,328.0,6.0,13.0,15.0,12.0,14.0,9.0,70.0,41.0,0.0,18.0,5.0,1.0,17.0
2432,0.0,3.0,43.0,2.0,1.0,4.0,13.0,15.0,11.0,7.0,31.0,9.0,37.0,8.0,23.0,90.0,84.0,5.0,16.0,17.0,18.0,19.0,30.0,55.0,10.0,39.0,21.0,122.0,47.0,48.0
2481,3.0,8.0,9.0,4.0,12.0,236.0,0.0,16.0,13.0,37.0,10.0,30.0,1.0,25.0,29.0,34.0,5.0,7.0,23.0,22.0,20.0,21.0,302.0,166.0,15.0,62.0,28.0,2.0,97.0,36.0
2530,2.0,7.0,9.0,1.0,4.0,86.0,6.0,14.0,10.0,15.0,0.0,12.0,5.0,11.0,25.0,82.0,13.0,3.0,62.0,63.0,64.0,65.0,20283.0,26.0,29.0,44.0,61.0,91.0,95.0,35.0
2579,2.0,5.0,1.0,4.0,14.0,19.0,8.0,17.0,18.0,7.0,0.0,13.0,12.0,29.0,33.0,43.0,49.0,37.0,22.0,23.0,24.0,21.0,762.0,52.0,182.0,42.0,27.0,3.0,119.0,67.0
2628,1.0,6.0,9.0,0.0,3.0,22.0,11.0,8.0,19.0,13.0,2.0,16.0,38.0,10.0,7.0,115.0,4.0,55.0,57.0,58.0,56.0,59.0,1324.0,90.0,52.0,18.0,73.0,5.0,17.0,29.0
2677,2.0,15.0,8.0,4.0,232.0,30.0,5.0,14.0,31.0,12.0,0.0,21.0,20.0,11.0,28.0,50.0,3.0,1.0,46.0,45.0,43.0,44.0,1324.0,39.0,42.0,13.0,54.0,6.0,9.0,32.0
2726,2.0,9.0,15.0,1.0,25.0,0.0,5.0,4.0,238.0,7.0,24.0,27.0,3.0,152.0,50.0,32.0,6.0,39.0,34.0,36.0,35.0,37.0,719.0,81.0,107.0,29.0,41.0,16.0,42.0,66.0
2775,1.0,0.0,12.0,20.0,8.0,622.0,3.0,19.0,34.0,9.0,2.0,15.0,17.0,18.0,23.0,13.0,28.0,27.0,51.0,45.0,49.0,47.0,372.0,63.0,623.0,6.0,64.0,4.0,16.0,59.0
2824,1.0,5.0,18.0,6.0,3.0,80.0,4.0,24.0,13.0,36.0,0.0,15.0,26.0,16.0,7.0,32.0,10.0,2.0,51.0,50.0,52.0,49.0,1309.0,121.0,43.0,306.0,57.0,11.0,920.0,23.0
2873,0.0,2.0,4.0,3.0,14.0,18.0,8.0,15.0,19.0,5.0,10.0,16.0,11.0,31.0,22.0,23.0,7.0,9.0,36.0,33.0,35.0,34.0,2725.0,79.0,39.0,1.0,42.0,12.0,6.0,26.0
2922,0.0,1.0,28.0,22.0,7.0,2.0,5.0,56.0,8.0,10.0,3.0,11.0,4.0,12.0,47.0,71.0,17.0,42.0,32.0,34.0,35.0,33.0,292.0,99.0,89.0,18.0,48.0,27.0,43.0,20.0
2971,0.0,1.0,10.0,11.0,141.0,14201.0,23.0,2.0,53.0,77.0,4.0,17.0,19.0,26.0,83.0,204.0,177.0,9.0,343.0,342.0,345.0,341.0,271.0,18.0,530.0,300.0,344.0,174.0,116.0,59.0
3020,0.0,1.0,2.0,7.0,17.0,5.0,10.0,6.0,16.0,13.0,19.0,9.0,123.0,15.0,4.0,74.0,29.0,241.0,71.0,69.0,68.0,70.0,40.0,23.0,194.0,164.0,76.0,82.0,72.0,50.0
3069,1.0,0.0,10.0,7.0,17.0,582.0,3.0,14.0,8.0,49.0,25.0,20.0,99.0,6.0,2.0,1079.0,29.0,1431.0,66.0,64.0,63.0,65.0,275.0,86.0,123.0,30.0,81.0,53.0,12.0,205.0
3118,0.0,1.0,7.0,3.0,21.0,5.0,2.0,13.0,8.0,6.0,14.0,12.0,83.0,17.0,9.0,158.0,10.0,81.0,35.0,37.0,34.0,36.0,287.0,18.0,155.0,100.0,41.0,28.0,44.0,133.0
3167,1.0,0.0,3.0,2.0,21.0,110.0,12.0,20.0,11.0,13.0,6.0,17.0,56.0,25.0,18.0,14.0,24.0,129.0,41.0,42.0,44.0,46.0,879.0,31.0,122.0,7.0,48.0,93.0,5.0,217.0
3216,2.0,0.0,1.0,3.0,901.0,96.0,9.0,5.0,16.0,18.0,13.0,32.0,101.0,12.0,31.0,10.0,14.0,671.0,71.0,70.0,72.0,69.0,25.0,39.0,123.0,58.0,85.0,22.0,27.0,106.0
3265,0.0,2.0,7.0,3.0,5.0,14142.0,22.0,1.0,21.0,43.0,23.0,8.0,44.0,17.0,28.0,151.0,11.0,271.0,75.0,74.0,72.0,73.0,161.0,84.0,78.0,155.0,86.0,57.0,156.0,83.0
3314,0.0,1.0,4.0,2.0,12.0,63.0,14.0,8.0,50.0,17.0,90.0,9.0,42.0,79.0,6.0,541.0,3.0,116.0,101.0,102.0,103.0,104.0,35.0,97.0,100.0,473.0,107.0,18.0,187.0,53.0
3363,1.0,0.0,8.0,26.0,19.0,233.0,22.0,6.0,11.0,14.0,114.0,13.0,23.0,17.0,20.0,45.0,21.0,1425.0,48.0,46.0,47.0,49.0,117.0,18.0,112.0,5.0,53.0,75.0,2.0,295.0
3412,1.0,0.0,2.0,6.0,141.0,365.0,14.0,22.0,89.0,16.0,108.0,8.0,20.0,44.0,10.0,19.0,9.0,12585.0,67.0,66.0,68.0,69.0,27.0,24.0,181.0,12.0,84.0,115.0,7.0,51.0
3461,1.0,3.0,8.0,0.0,113.0,381.0,73.0,22.0,26.0,9.0,31.0,57.0,145.0,21.0,18.0,43.0,6.0,2.0,16.0,14.0,17.0,15.0,50.0,62.0,40.0,7.0,20.0,5.0,10.0,41.0
3510,0.0,1.0,9.0,24.0,20.0,58.0,32.0,7.0,50.0,4.0,45.0,15.0,44.0,30.0,23.0,14.0,61.0,8.0,13.0,10.0,11.0,12.0,22.0,43.0,178.0,5.0,16.0,29.0,6.0,226.0
3559,1.0,0.0,6.0,5.0,923.0,143.0,23.0,14.0,17.0,21.0,40.0,29.0,338.0,55.0,18.0,153.0,20.0,11.0,36.0,37.0,34.0,33.0,2.0,59.0,47.0,56.0,41.0,214.0,22.0,49.0
3608,0.0,1.0,2.0,4.0,662.0,1127.0,48.0,24.0,6.0,22.0,35.0,7.0,10.0,13.0,14.0,12.0,31.0,254.0,37.0,38.0,39.0,40.0,11.0,75.0,15.0,18.0,41.0,218.0,43.0,29.0
3657,0.0,2.0,1.0,38.0,31.0,5.0,6.0,18.0,21.0,27.0,125.0,14.0,67.0,24.0,13.0,7.0,11.0,19.0,37.0,36.0,35.0,34.0,3.0,73.0,28.0,10.0,45.0,104.0,15.0,66.0
3706,1.0,0.0,9.0,2.0,466.0,441.0,112.0,7.0,8.0,4.0,81.0,10.0,162.0,11.0,46.0,86.0,31.0,5.0,17.0,14.0,16.0,15.0,3.0,64.0,6.0,13.0,22.0,44.0,61.0,24.0
3755,0.0,1.0,3.0,21.0,52.0,28.0,9.0,24.0,25.0,11.0,15.0,7.0,26.0,13.0,2.0,62.0,6.0,68.0,16.0,17.0,18.0,19.0,29.0,45.0,30.0,154.0,23.0,22.0,181.0,76.0
3804,0.0,1.0,5.0,48.0,577.0,15.0,22.0,36.0,10.0,25.0,247.0,23.0,250.0,8.0,7.0,3.0,9.0,65.0,18.0,17.0,16.0,19.0,102.0,77.0,86.0,2.0,21.0,61.0,4.0,149.0
3853,0.0,1.0,12.0,8.0,207.0,11.0,92.0,42.0,9.0,5.0,127.0,10.0,48.0,53.0,7.0,32.0,4.0,6.0,14.0,15.0,16.0,13.0,26.0,60.0,44.0,226.0,17.0,36.0,155.0,124.0
3902,1.0,0.0,3.0,9.0,10.0,358.0,69.0,38.0,4.0,28.0,12.0,6.0,37.0,27.0,7.0,30.0,5.0,56.0,21.0,22.0,20.0,19.0,15.0,112.0,14.0,31.0,24.0,95.0,40.0,48.0
3951,4.0,0.0,8.0,34.0,13.0,67.0,3.0,7.0,31.0,11.0,2.0,86.0,9.0,38.0,49.0,1.0,244.0,103.0,22.0,23.0,25.0,24.0,1517.0,48.0,26.0,39.0,27.0,118.0,18.0,253.0
4000,1.0,0.0,6.0,7.0,13.0,160.0,2.0,59.0,27.0,33.0,15.0,103.0,4.0,16.0,12.0,3.0,63.0,36.0,88.0,89.0,91.0,90.0,73.0,14.0,8.0,351.0,100.0,9.0,550.0,45.0
4049,1.0,0.0,4.0,45.0,2.0,17.0,3.0,18.0,12.0,48.0,136.0,497.0,5.0,188.0,82.0,6.0,56.0,66.0,112.0,107.0,108.0,109.0,228.0,34.0,8.0,79.0,126.0,27.0,47.0,401.0
4098,1.0,0.0,3.0,12.0,8.0,311.0,2.0,10.0,30.0,11.0,81.0,454.0,17.0,42.0,62.0,5.0,13.0,96.0,26.0,24.0,23.0,25.0,73.0,29.0,48.0,7.0,31.0,107.0,9.0,268.0
4147,0.0,3.0,5.0,36.0,4.0,56.0,1.0,9.0,14.0,18.0,13.0,469.0,2.0,41.0,25.0,12.0,86.0,100.0,53.0,55.0,54.0,52.0,50.0,98.0,6.0,7.0,68.0,165.0,8.0,65.0
4196,2.0,1.0,5.0,31.0,0.0,117.0,3.0,22.0,40.0,16.0,9.0,92.0,10.0,42.0,8.0,25.0,26.0,625.0,38.0,36.0,39.0,37.0,268.0,56.0,4.0,43.0,49.0,168.0,62.0,126.0
4245,0.0,1.0,3.0,80.0,46.0,283.0,4.0,7.0,61.0,19.0,219.0,286.0,16.0,38.0,5.0,2.0,17.0,102.0,65.0,68.0,67.0,66.0,196.0,51.0,6.0,20.0,73.0,44.0,23.0,319.0
4294,0.0,1.0,2.0,9.0,90.0,116.0,4.0,52.0,22.0,31.0,20.0,103.0,17.0,40.0,13.0,16.0,19.0,479.0,26.0,27.0,29.0,28.0,35.0,38.0,14.0,76.0,36.0,194.0,80.0,108.0
4343,22.0,15.0,5.0,83.0,8.0,60.0,6.0,9.0,27.0,18.0,15179.0,143.0,0.0,31.0,71.0,10.0,70.0,29.0,46.0,50.0,49.0,47.0,32.0,24.0,1.0,2.0,48.0,33.0,3.0,72.0
4392,1.0,0.0,4.0,7.0,9.0,406.0,2.0,51.0,10.0,20.0,25.0,159.0,12.0,90.0,30.0,5.0,99.0,21.0,17.0,18.0,16.0,19.0,61.0,80.0,3.0,13.0,27.0,175.0,24.0,164.0
4441,0.0,1.0,6.0,2.0,3.0,38.0,11.0,5.0,20.0,9.0,161.0,24.0,17.0,107.0,56.0,183.0,124.0,4.0,31.0,33.0,30.0,32.0,181.0,92.0,43.0,12388.0,35.0,1157.0,12387.0,16.0
4490,0.0,1.0,6.0,4.0,2.0,11.0,16.0,10.0,15.0,5.0,3.0,22.0,14.0,19.0,102.0,72.0,59.0,25.0,30.0,29.0,31.0,28.0,8.0,83.0,13.0,1525.0,37.0,1509.0,12132.0,69.0
4539,0.0,1.0,6.0,2.0,7.0,4.0,20.0,24.0,9.0,12.0,371.0,21.0,13.0,23.0,5.0,813.0,94.0,56.0,29.0,27.0,28.0,26.0,302.0,74.0,30.0,35.0,31.0,1598.0,90.0,62.0
4588,0.0,1.0,47.0,5.0,6.0,4.0,11.0,18.0,14.0,16.0,95.0,19.0,35.0,46.0,70.0,83.0,29.0,9.0,34.0,33.0,32.0,31.0,10.0,82.0,15.0,13.0,39.0,97.0,25.0,49.0
4637,1.0,0.0,7.0,4.0,28.0,14.0,19.0,6.0,9.0,39.0,18.0,106.0,2.0,22.0,35.0,56.0,66.0,3.0,54.0,53.0,52.0,51.0,627.0,38.0,32.0,31.0,61.0,3235.0,88.0,23.0
4686,3.0,0.0,48.0,2.0,18.0,200.0,14.0,8.0,374.0,9.0,6.0,13.0,5.0,28.0,29.0,68.0,89.0,1.0,27.0,26.0,24.0,25.0,19.0,16.0,116.0,107.0,32.0,118.0,245.0,106.0
4735,1.0,0.0,24.0,3.0,2.0,51.0,16.0,14.0,9.0,6.0,10.0,11.0,28.0,44.0,35.0,781.0,45.0,5.0,21.0,19.0,20.0,23.0,62.0,39.0,108.0,191.0,22.0,110.0,799.0,102.0
4784,0.0,1.0,12.0,2.0,28.0,30.0,27.0,17.0,9.0,10.0,6.0,29.0,11.0,14.0,39.0,340.0,67.0,7.0,36.0,35.0,34.0,33.0,46.0,50.0,65.0,82.0,40.0,2304.0,89.0,20.0
4833,1.0,0.0,24.0,2.0,5.0,13.0,43.0,14.0,3.0,36.0,20.0,10.0,32.0,19.0,15.0,18354.0,30.0,27.0,144.0,143.0,142.0,140.0,31.0,76.0,38.0,75.0,164.0,953.0,179.0,18.0
4882,0.0,1.0,7.0,3.0,22.0,2.0,264.0,14.0,21.0,8.0,27.0,9.0,11.0,25.0,18.0,261.0,20.0,4.0,32.0,31.0,29.0,30.0,19.0,74.0,15.0,115.0,36.0,1863.0,226.0,42.0
