,hsa-miR-205,hsa-miR-548a-3p,hsa-miR-223,hsa-miR-744,hsa-miR-934,hsa-miR-30c,hsa-miR-148a,hsa-miR-196b,hsa-miR-155,hsa-miR-135b,hsa-miR-921,hsa-miR-31,hsa-miR-578,hsa-miR-662,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-1233,hsa-miR-219-2-3p,hsa-miR-609,hsa-miR-770-5p,hsa-miR-222,kshv-miR-K12-7,hsa-miR-891a,hsa-miR-34a,hsa-miR-603,hsa-miR-628-5p,hsa-miR-220b,hsa-miR-323-5p,hsa-miR-210,hsa-miR-34c-5p
2222,0.0,1.0,6.0,27.0,13.0,5.0,52.0,83.0,19.0,25.0,3.0,49.0,9.0,7.0,11.0,14.0,2.0,22.0,36.0,18.0,12.0,4.0,10.0,99.0,168.0,33.0,20.0,23.0,16.0,63.0
2271,0.0,4.0,1.0,76.0,5.0,3.0,61.0,44.0,21.0,2.0,6.0,13.0,17.0,9.0,34.0,18.0,24.0,22.0,26.0,7.0,8.0,52.0,11.0,10.0,19.0,67.0,16.0,36.0,12.0,20.0
2320,0.0,1.0,5.0,7.0,16.0,3.0,8.0,476.0,23.0,2.0,28.0,14.0,30.0,4.0,33.0,70.0,78.0,24.0,34.0,38.0,21.0,9.0,11.0,6.0,266.0,83.0,12.0,18.0,49.0,15.0
2369,0.0,1.0,2.0,3.0,6.0,5.0,13.0,80.0,14.0,8.0,18.0,35.0,10.0,12.0,38.0,17.0,7.0,30.0,65.0,11.0,15.0,24.0,19.0,28.0,43.0,41.0,42.0,37.0,25.0,16.0
2418,0.0,1.0,2.0,24.0,3.0,5.0,30.0,415.0,25.0,4.0,7.0,11.0,19.0,6.0,37.0,21.0,12.0,9.0,22.0,15.0,18.0,23.0,10.0,41.0,99.0,65.0,8.0,46.0,27.0,32.0
2467,0.0,1.0,3.0,8.0,2.0,18.0,52.0,15.0,11.0,16.0,32.0,20.0,6.0,5.0,7.0,10.0,33.0,4.0,17.0,28.0,68.0,13.0,14.0,29.0,34.0,31.0,35.0,51.0,41.0,42.0
2516,0.0,1.0,3.0,4.0,2.0,10.0,8.0,6.0,14.0,20.0,58.0,5.0,7.0,43.0,16.0,11.0,23.0,17.0,19.0,9.0,34.0,42.0,22.0,37.0,48.0,27.0,36.0,39.0,83.0,76.0
2565,0.0,1.0,2.0,8.0,3.0,4.0,13.0,12.0,11.0,18.0,71.0,9.0,19.0,17.0,98.0,21.0,10.0,7.0,15.0,14.0,43.0,16.0,28.0,5.0,39.0,55.0,20.0,413.0,82.0,92.0
2614,0.0,1.0,2.0,3.0,4.0,7.0,14.0,5.0,8.0,13.0,24.0,6.0,9.0,11.0,21.0,16.0,38.0,10.0,31.0,12.0,87.0,29.0,19.0,53.0,182.0,33.0,49.0,52.0,46.0,32.0
2663,0.0,3.0,2.0,6.0,1.0,4.0,13.0,5.0,15.0,7.0,18.0,36.0,27.0,17.0,41.0,16.0,11.0,12.0,14.0,8.0,65.0,25.0,9.0,10.0,279.0,22.0,20.0,95.0,56.0,28.0
2712,1.0,0.0,2.0,6.0,3.0,5.0,11.0,18.0,13.0,34.0,14.0,9.0,7.0,8.0,16.0,4.0,17.0,12.0,10.0,19.0,23.0,20.0,15.0,38.0,39.0,46.0,43.0,49.0,77.0,63.0
2761,0.0,1.0,4.0,12.0,2.0,6.0,32.0,3.0,7.0,16.0,26.0,17.0,8.0,14.0,11.0,5.0,10.0,13.0,23.0,9.0,489.0,62.0,36.0,93.0,55.0,46.0,37.0,39.0,50.0,38.0
2810,0.0,6.0,1.0,9.0,3.0,2.0,24.0,15.0,7.0,14.0,8.0,5.0,4.0,17.0,26.0,25.0,12.0,10.0,16.0,21.0,35.0,50.0,20.0,39.0,58.0,62.0,29.0,30.0,53.0,451.0
2859,2.0,0.0,1.0,8.0,3.0,4.0,61.0,5.0,7.0,11.0,31.0,15.0,9.0,16.0,21.0,14.0,6.0,18.0,20.0,10.0,38.0,50.0,12.0,19.0,52.0,46.0,57.0,56.0,33.0,35.0
2908,0.0,1.0,3.0,19.0,4.0,2.0,12.0,5.0,7.0,11.0,13.0,21.0,15.0,36.0,29.0,8.0,10.0,6.0,20.0,9.0,75.0,43.0,14.0,28.0,72.0,26.0,17.0,34.0,30.0,64.0
