,hsa-miR-223,hsa-miR-103,hsa-miR-181c,hsa-miR-15b,hsa-miR-608,hsa-miR-584,hsa-miR-339-5p,hsa-miR-27b,hsa-miR-137,hsa-miR-1827,hsa-miR-155,hsa-miR-494,hsa-miR-630,hsa-miR-187,hsa-miR-296-3p,hsa-miR-105,hsa-miR-192,hsa-miR-2276,hsa-miR-1204,hsa-miR-338-5p,hsa-miR-448,hsa-miR-143,hsa-miR-592,hsa-miR-548q,hsa-miR-588,hsa-miR-564,hsa-miR-34a,hsa-miR-590-5p,hsa-miR-301b,hsa-miR-1226
3252,1.0,412.0,7.0,58.0,3.0,61.0,23.0,72.0,80.0,42.0,396.0,40.0,356.0,63.0,47.0,507.0,89.0,0.0,259.0,33.0,2.0,12.0,113.0,246.0,11.0,514.0,386.0,21.0,32.0,173.0
3301,0.0,49.0,1.0,10.0,132.0,45.0,42.0,5.0,3.0,317.0,88.0,150.0,100.0,23.0,24.0,21.0,391.0,270.0,16.0,213.0,18.0,40.0,414.0,173.0,144.0,122.0,283.0,161.0,98.0,37.0
3350,84.0,71.0,41.0,33.0,20.0,96.0,580.0,484.0,172.0,0.0,67.0,101.0,26.0,463.0,66.0,16.0,169.0,12.0,30.0,36.0,205.0,50.0,53.0,8.0,25.0,487.0,9.0,3.0,4.0,213.0
3399,34.0,184.0,1.0,3.0,7.0,342.0,335.0,218.0,133.0,9.0,31.0,5.0,70.0,93.0,10.0,343.0,49.0,13.0,4.0,43.0,37.0,16.0,64.0,131.0,28.0,160.0,98.0,6.0,204.0,29.0
3448,3.0,4.0,0.0,7.0,192.0,1.0,6.0,17.0,5.0,35.0,75.0,110.0,14.0,39.0,51.0,36.0,501.0,494.0,112.0,15.0,607.0,18.0,163.0,20.0,194.0,158.0,10.0,250.0,293.0,29.0
3497,0.0,17.0,106.0,26.0,53.0,69.0,4.0,1.0,13.0,296.0,42.0,48.0,6.0,90.0,74.0,336.0,45.0,186.0,5.0,47.0,121.0,77.0,195.0,174.0,36.0,38.0,2.0,51.0,7.0,3.0
3546,7.0,19.0,3.0,1.0,20.0,0.0,21.0,5.0,57.0,277.0,10.0,38.0,15.0,8.0,4.0,235.0,190.0,231.0,66.0,349.0,110.0,153.0,75.0,43.0,83.0,500.0,42.0,2.0,63.0,6.0
3595,4.0,83.0,0.0,8.0,21.0,2.0,7.0,1.0,369.0,140.0,55.0,87.0,9.0,32.0,51.0,3.0,11.0,30.0,86.0,5.0,476.0,278.0,65.0,59.0,102.0,103.0,12.0,43.0,277.0,79.0
3644,0.0,55.0,3.0,8.0,17.0,11.0,61.0,30.0,1.0,363.0,41.0,21.0,4.0,32.0,18.0,107.0,25.0,15.0,146.0,217.0,24.0,307.0,67.0,51.0,316.0,120.0,105.0,46.0,275.0,22.0
3693,89.0,12.0,8.0,15.0,17.0,0.0,53.0,2.0,22.0,9.0,70.0,66.0,25.0,7.0,4.0,210.0,518.0,278.0,135.0,109.0,42.0,120.0,68.0,85.0,416.0,116.0,138.0,390.0,288.0,429.0
3742,0.0,245.0,1.0,11.0,5.0,61.0,3.0,4.0,311.0,202.0,109.0,78.0,12.0,14.0,602.0,173.0,56.0,195.0,31.0,7.0,276.0,39.0,25.0,290.0,40.0,62.0,55.0,16.0,326.0,20.0
3791,82.0,160.0,10.0,69.0,6.0,0.0,2.0,4.0,284.0,109.0,8.0,162.0,3.0,39.0,1.0,261.0,67.0,72.0,60.0,371.0,338.0,156.0,83.0,110.0,81.0,426.0,74.0,64.0,183.0,36.0
3840,15.0,87.0,7.0,12.0,106.0,0.0,29.0,2.0,134.0,281.0,21.0,10.0,5.0,16.0,124.0,51.0,31.0,4.0,110.0,80.0,251.0,183.0,13.0,45.0,44.0,459.0,158.0,6.0,92.0,120.0
3889,9.0,47.0,2.0,39.0,20.0,0.0,7.0,6.0,49.0,116.0,348.0,4.0,3.0,23.0,346.0,179.0,255.0,95.0,252.0,5.0,256.0,30.0,54.0,80.0,219.0,27.0,75.0,73.0,118.0,160.0
3938,0.0,5.0,2.0,3.0,15.0,114.0,21.0,66.0,7.0,6.0,1.0,14.0,8.0,213.0,29.0,35.0,308.0,535.0,36.0,45.0,95.0,188.0,67.0,13.0,263.0,113.0,12.0,72.0,60.0,134.0
3987,57.0,132.0,268.0,29.0,33.0,60.0,10.0,214.0,37.0,4.0,2.0,11.0,42.0,287.0,13.0,12.0,47.0,325.0,19.0,103.0,49.0,63.0,26.0,219.0,28.0,1.0,24.0,557.0,614.0,112.0
4036,30.0,2.0,7.0,98.0,24.0,16.0,51.0,312.0,1.0,59.0,102.0,362.0,196.0,99.0,168.0,0.0,28.0,49.0,120.0,295.0,565.0,22.0,87.0,271.0,591.0,420.0,60.0,35.0,534.0,108.0
4085,1.0,5.0,75.0,15.0,311.0,17.0,38.0,13.0,23.0,6.0,243.0,11.0,2.0,44.0,85.0,148.0,170.0,101.0,53.0,36.0,73.0,0.0,110.0,60.0,355.0,74.0,94.0,45.0,569.0,87.0
4134,9.0,0.0,24.0,6.0,50.0,20.0,1.0,168.0,226.0,4.0,44.0,74.0,115.0,5.0,8.0,274.0,29.0,213.0,73.0,277.0,151.0,284.0,463.0,276.0,345.0,17.0,3.0,38.0,37.0,94.0
4183,37.0,2.0,40.0,28.0,12.0,58.0,498.0,6.0,15.0,8.0,23.0,18.0,82.0,3.0,19.0,31.0,11.0,196.0,70.0,21.0,376.0,20.0,7.0,69.0,385.0,13.0,43.0,226.0,4.0,81.0
4232,0.0,38.0,82.0,133.0,2.0,43.0,16.0,1.0,32.0,5.0,25.0,289.0,109.0,203.0,126.0,26.0,50.0,350.0,396.0,102.0,20.0,35.0,169.0,271.0,518.0,22.0,7.0,118.0,67.0,17.0
4281,7.0,11.0,190.0,17.0,6.0,14.0,128.0,8.0,1.0,12.0,0.0,4.0,125.0,30.0,97.0,443.0,266.0,275.0,101.0,87.0,389.0,21.0,23.0,245.0,321.0,59.0,93.0,444.0,212.0,404.0
4330,1.0,2.0,36.0,18.0,140.0,3.0,4.0,60.0,125.0,165.0,9.0,487.0,69.0,486.0,27.0,77.0,57.0,152.0,17.0,266.0,206.0,50.0,113.0,141.0,408.0,82.0,107.0,318.0,37.0,41.0
4379,33.0,2.0,80.0,23.0,35.0,26.0,4.0,5.0,1.0,11.0,182.0,298.0,41.0,254.0,319.0,51.0,3.0,547.0,108.0,447.0,15.0,78.0,16.0,90.0,300.0,32.0,92.0,25.0,17.0,157.0
4428,14.0,18.0,8.0,7.0,3.0,19.0,1.0,13.0,28.0,26.0,27.0,9.0,2.0,130.0,83.0,60.0,65.0,331.0,20.0,131.0,190.0,6.0,415.0,151.0,349.0,56.0,5.0,214.0,373.0,198.0
4477,19.0,4.0,1.0,12.0,34.0,40.0,0.0,362.0,20.0,376.0,97.0,118.0,60.0,3.0,300.0,315.0,117.0,16.0,124.0,496.0,35.0,30.0,326.0,51.0,331.0,88.0,31.0,92.0,113.0,81.0
4526,98.0,1.0,16.0,35.0,24.0,31.0,0.0,421.0,229.0,438.0,8.0,102.0,49.0,4.0,240.0,6.0,70.0,120.0,83.0,242.0,106.0,5.0,54.0,209.0,50.0,68.0,597.0,591.0,151.0,238.0
4575,29.0,7.0,0.0,4.0,171.0,1.0,13.0,6.0,2.0,138.0,93.0,21.0,12.0,9.0,252.0,204.0,17.0,61.0,51.0,74.0,217.0,3.0,77.0,16.0,140.0,282.0,54.0,557.0,37.0,32.0
4624,37.0,4.0,10.0,15.0,16.0,0.0,5.0,369.0,1.0,11.0,86.0,12.0,65.0,39.0,97.0,40.0,22.0,14.0,74.0,553.0,131.0,26.0,31.0,264.0,488.0,90.0,2.0,541.0,205.0,32.0
4673,0.0,7.0,3.0,49.0,166.0,22.0,13.0,41.0,5.0,20.0,17.0,246.0,2.0,196.0,47.0,210.0,1.0,282.0,24.0,11.0,479.0,145.0,168.0,26.0,153.0,256.0,147.0,346.0,29.0,186.0
4722,30.0,15.0,102.0,240.0,55.0,53.0,51.0,216.0,5.0,177.0,350.0,1.0,32.0,286.0,362.0,153.0,33.0,75.0,6.0,54.0,99.0,11.0,8.0,38.0,58.0,16.0,436.0,576.0,190.0,274.0
4771,286.0,0.0,12.0,115.0,5.0,245.0,101.0,116.0,9.0,140.0,29.0,6.0,8.0,55.0,23.0,167.0,175.0,65.0,1.0,170.0,126.0,2.0,47.0,120.0,70.0,552.0,128.0,177.0,203.0,265.0
4820,47.0,169.0,9.0,20.0,14.0,2.0,29.0,278.0,24.0,17.0,66.0,32.0,1.0,91.0,3.0,112.0,139.0,126.0,8.0,262.0,116.0,6.0,286.0,15.0,21.0,121.0,43.0,206.0,76.0,623.0
4869,40.0,4.0,1.0,47.0,5.0,22.0,178.0,36.0,14.0,629.0,419.0,34.0,11.0,0.0,373.0,27.0,85.0,37.0,93.0,248.0,100.0,25.0,187.0,130.0,355.0,188.0,308.0,196.0,295.0,7.0
