,Annexin 1,SHP-2_pY542,Shc_pY317,Transglutaminase,p38_pT180_Y182,Rb_pS807_S811,RSK1-2-3,FoxM1,EGFR,Src,TAZ,Caveolin-1,P-Cadherin,Porin,HER2_pY1248,Syk,C-Raf_pS338,AMPK_pT172,Bad_pS112,EGFR_pY1068,Rb,Bcl-2,TSC1,CD31,Annexin_VII,p53,NF2,Rad50,Gab2,VHL
1277,0.0,2.0,12.0,3.0,5.0,6.0,30.0,32.0,20.0,29.0,19.0,22.0,1.0,13.0,8.0,10.0,7.0,4.0,9.0,14.0,65.0,38.0,27.0,26.0,35.0,37.0,36.0,66.0,16.0,47.0
1326,0.0,3.0,15.0,1.0,11.0,7.0,41.0,2.0,6.0,9.0,38.0,26.0,10.0,14.0,20.0,4.0,8.0,17.0,5.0,22.0,43.0,16.0,30.0,13.0,39.0,48.0,32.0,31.0,27.0,59.0
1375,0.0,2.0,1.0,3.0,4.0,14.0,71.0,11.0,5.0,12.0,20.0,32.0,8.0,27.0,24.0,13.0,10.0,15.0,6.0,29.0,40.0,7.0,48.0,30.0,41.0,31.0,58.0,68.0,34.0,25.0
1424,0.0,3.0,22.0,4.0,16.0,14.0,40.0,17.0,12.0,1.0,6.0,24.0,8.0,5.0,13.0,18.0,2.0,35.0,10.0,20.0,38.0,95.0,64.0,19.0,88.0,31.0,49.0,28.0,29.0,7.0
1473,0.0,4.0,1.0,11.0,10.0,5.0,8.0,27.0,17.0,19.0,2.0,18.0,30.0,32.0,12.0,23.0,21.0,9.0,24.0,15.0,16.0,3.0,31.0,25.0,106.0,36.0,26.0,7.0,13.0,34.0
1522,0.0,6.0,5.0,23.0,1.0,10.0,4.0,14.0,13.0,68.0,16.0,2.0,19.0,7.0,11.0,34.0,18.0,20.0,99.0,26.0,30.0,15.0,31.0,95.0,36.0,29.0,24.0,27.0,17.0,9.0
1571,1.0,8.0,0.0,13.0,2.0,39.0,3.0,35.0,12.0,26.0,10.0,5.0,23.0,11.0,19.0,14.0,29.0,7.0,34.0,16.0,68.0,20.0,6.0,31.0,18.0,27.0,48.0,32.0,15.0,25.0
1620,0.0,2.0,1.0,6.0,5.0,13.0,7.0,17.0,9.0,12.0,10.0,3.0,56.0,8.0,22.0,26.0,18.0,36.0,20.0,16.0,32.0,4.0,35.0,30.0,11.0,24.0,58.0,14.0,15.0,51.0
1669,0.0,6.0,1.0,5.0,16.0,65.0,10.0,7.0,14.0,22.0,11.0,8.0,46.0,4.0,3.0,27.0,89.0,18.0,101.0,9.0,30.0,12.0,41.0,28.0,24.0,33.0,32.0,36.0,19.0,51.0
1718,1.0,10.0,0.0,5.0,6.0,11.0,8.0,18.0,7.0,16.0,3.0,4.0,31.0,33.0,12.0,19.0,22.0,39.0,38.0,17.0,25.0,2.0,23.0,24.0,20.0,15.0,37.0,28.0,21.0,58.0
1767,0.0,7.0,1.0,5.0,2.0,12.0,13.0,6.0,8.0,18.0,38.0,4.0,33.0,25.0,10.0,31.0,27.0,40.0,20.0,17.0,11.0,19.0,63.0,99.0,28.0,35.0,49.0,14.0,3.0,37.0
1816,1.0,8.0,0.0,11.0,9.0,17.0,3.0,6.0,20.0,64.0,5.0,4.0,22.0,15.0,2.0,23.0,24.0,28.0,86.0,13.0,35.0,16.0,18.0,36.0,27.0,21.0,45.0,33.0,10.0,34.0
1865,0.0,1.0,2.0,15.0,7.0,3.0,18.0,33.0,8.0,20.0,9.0,17.0,14.0,5.0,22.0,6.0,10.0,39.0,42.0,19.0,31.0,4.0,11.0,34.0,36.0,21.0,41.0,73.0,13.0,40.0
1914,1.0,8.0,0.0,2.0,4.0,29.0,10.0,5.0,11.0,17.0,3.0,12.0,49.0,9.0,7.0,15.0,22.0,21.0,27.0,14.0,20.0,18.0,33.0,23.0,19.0,30.0,13.0,64.0,28.0,25.0
1963,7.0,1.0,2.0,0.0,38.0,28.0,12.0,3.0,23.0,21.0,5.0,13.0,17.0,18.0,10.0,39.0,40.0,4.0,8.0,14.0,25.0,20.0,29.0,26.0,6.0,31.0,11.0,24.0,16.0,52.0
2012,1.0,4.0,5.0,3.0,40.0,23.0,8.0,13.0,31.0,0.0,6.0,19.0,14.0,20.0,9.0,27.0,17.0,61.0,24.0,32.0,26.0,16.0,18.0,35.0,10.0,34.0,2.0,63.0,120.0,101.0
2061,0.0,2.0,1.0,4.0,57.0,26.0,8.0,10.0,122.0,20.0,7.0,24.0,3.0,5.0,12.0,59.0,13.0,16.0,106.0,34.0,27.0,29.0,6.0,19.0,23.0,15.0,11.0,14.0,113.0,51.0
2110,2.0,0.0,1.0,10.0,49.0,23.0,17.0,15.0,18.0,13.0,5.0,7.0,16.0,26.0,6.0,21.0,107.0,46.0,34.0,29.0,9.0,4.0,14.0,22.0,3.0,32.0,11.0,35.0,40.0,103.0
2159,0.0,2.0,5.0,18.0,31.0,10.0,4.0,11.0,24.0,20.0,1.0,7.0,8.0,29.0,6.0,21.0,15.0,27.0,114.0,16.0,12.0,99.0,19.0,35.0,9.0,23.0,3.0,67.0,117.0,36.0
2208,0.0,1.0,2.0,3.0,39.0,38.0,22.0,6.0,116.0,13.0,12.0,9.0,7.0,8.0,14.0,18.0,27.0,23.0,11.0,21.0,10.0,32.0,29.0,28.0,5.0,43.0,4.0,36.0,26.0,51.0
2257,1.0,0.0,2.0,13.0,28.0,22.0,25.0,8.0,12.0,4.0,7.0,20.0,5.0,23.0,19.0,40.0,15.0,14.0,10.0,21.0,11.0,102.0,6.0,26.0,9.0,29.0,3.0,63.0,34.0,49.0
2306,0.0,1.0,7.0,4.0,36.0,32.0,19.0,8.0,21.0,13.0,9.0,14.0,2.0,22.0,10.0,24.0,23.0,26.0,27.0,29.0,30.0,16.0,20.0,43.0,5.0,11.0,6.0,41.0,18.0,42.0
2355,0.0,1.0,4.0,7.0,31.0,17.0,3.0,6.0,102.0,20.0,13.0,11.0,5.0,69.0,12.0,58.0,94.0,16.0,26.0,103.0,15.0,90.0,8.0,93.0,122.0,2.0,9.0,29.0,118.0,53.0
2404,0.0,2.0,1.0,3.0,47.0,11.0,16.0,8.0,31.0,5.0,7.0,35.0,4.0,17.0,6.0,27.0,14.0,13.0,34.0,25.0,29.0,9.0,12.0,28.0,15.0,22.0,10.0,18.0,30.0,55.0
2453,0.0,1.0,10.0,28.0,14.0,8.0,27.0,16.0,30.0,3.0,9.0,5.0,12.0,15.0,33.0,4.0,31.0,19.0,6.0,23.0,24.0,2.0,17.0,94.0,35.0,42.0,20.0,11.0,114.0,36.0
2502,2.0,0.0,3.0,12.0,11.0,4.0,26.0,10.0,9.0,1.0,32.0,5.0,44.0,19.0,17.0,35.0,6.0,31.0,18.0,38.0,33.0,13.0,37.0,14.0,28.0,75.0,41.0,29.0,21.0,7.0
2551,0.0,3.0,4.0,13.0,2.0,1.0,14.0,37.0,30.0,5.0,6.0,11.0,24.0,10.0,32.0,26.0,16.0,27.0,25.0,34.0,12.0,9.0,8.0,20.0,18.0,49.0,19.0,29.0,116.0,15.0
2600,0.0,1.0,3.0,11.0,6.0,2.0,36.0,18.0,26.0,4.0,10.0,9.0,13.0,27.0,7.0,15.0,17.0,109.0,14.0,20.0,28.0,5.0,8.0,21.0,29.0,54.0,12.0,31.0,129.0,25.0
2649,2.0,0.0,6.0,8.0,1.0,4.0,3.0,7.0,33.0,35.0,16.0,19.0,18.0,9.0,14.0,77.0,24.0,25.0,21.0,26.0,20.0,29.0,11.0,13.0,39.0,30.0,10.0,15.0,28.0,12.0
2698,0.0,11.0,4.0,10.0,5.0,13.0,2.0,15.0,12.0,3.0,31.0,8.0,20.0,26.0,39.0,29.0,6.0,25.0,38.0,19.0,16.0,1.0,52.0,27.0,101.0,78.0,9.0,32.0,114.0,17.0
2747,0.0,1.0,3.0,11.0,8.0,2.0,7.0,9.0,39.0,6.0,20.0,15.0,27.0,16.0,36.0,14.0,13.0,19.0,29.0,25.0,12.0,4.0,23.0,17.0,28.0,44.0,5.0,22.0,122.0,35.0
2796,0.0,2.0,3.0,20.0,9.0,1.0,4.0,18.0,14.0,8.0,10.0,12.0,27.0,7.0,35.0,29.0,17.0,16.0,19.0,32.0,21.0,6.0,43.0,23.0,33.0,28.0,15.0,30.0,126.0,11.0
2845,0.0,1.0,2.0,13.0,16.0,3.0,20.0,19.0,32.0,5.0,9.0,27.0,6.0,14.0,18.0,10.0,7.0,100.0,22.0,30.0,33.0,4.0,25.0,11.0,39.0,49.0,34.0,23.0,35.0,12.0
2894,1.0,4.0,5.0,7.0,10.0,0.0,9.0,6.0,126.0,8.0,14.0,2.0,48.0,12.0,13.0,33.0,21.0,18.0,3.0,19.0,25.0,20.0,30.0,34.0,95.0,62.0,29.0,15.0,122.0,11.0
2943,1.0,8.0,5.0,0.0,12.0,11.0,14.0,2.0,3.0,80.0,21.0,10.0,7.0,36.0,116.0,9.0,4.0,19.0,22.0,31.0,26.0,29.0,24.0,15.0,28.0,25.0,50.0,16.0,18.0,6.0
2992,5.0,8.0,2.0,1.0,11.0,4.0,6.0,3.0,9.0,40.0,15.0,0.0,7.0,38.0,12.0,37.0,10.0,22.0,17.0,32.0,23.0,41.0,16.0,96.0,35.0,28.0,48.0,13.0,119.0,101.0
3041,0.0,5.0,3.0,1.0,4.0,28.0,6.0,2.0,13.0,57.0,17.0,11.0,9.0,33.0,30.0,27.0,8.0,18.0,22.0,20.0,64.0,31.0,70.0,21.0,100.0,16.0,7.0,10.0,12.0,43.0
3090,1.0,3.0,5.0,0.0,17.0,7.0,6.0,2.0,12.0,25.0,18.0,8.0,4.0,70.0,34.0,14.0,16.0,10.0,20.0,87.0,19.0,36.0,115.0,11.0,21.0,15.0,53.0,24.0,9.0,27.0
3139,2.0,6.0,4.0,1.0,15.0,7.0,9.0,3.0,11.0,69.0,28.0,14.0,0.0,5.0,35.0,42.0,16.0,8.0,30.0,18.0,23.0,39.0,19.0,27.0,25.0,29.0,44.0,22.0,36.0,37.0
3188,2.0,5.0,3.0,9.0,1.0,13.0,32.0,0.0,11.0,56.0,23.0,6.0,14.0,66.0,36.0,7.0,37.0,8.0,26.0,35.0,22.0,17.0,21.0,30.0,19.0,27.0,52.0,12.0,10.0,16.0
3237,0.0,1.0,4.0,2.0,26.0,6.0,12.0,3.0,11.0,17.0,18.0,5.0,7.0,35.0,24.0,82.0,37.0,40.0,22.0,20.0,28.0,27.0,19.0,23.0,21.0,62.0,41.0,14.0,113.0,32.0
3286,0.0,4.0,7.0,1.0,10.0,6.0,30.0,2.0,13.0,80.0,19.0,3.0,9.0,14.0,27.0,8.0,5.0,46.0,17.0,44.0,21.0,11.0,26.0,24.0,16.0,12.0,22.0,15.0,42.0,25.0
3335,1.0,5.0,3.0,2.0,10.0,12.0,18.0,0.0,8.0,34.0,24.0,4.0,9.0,14.0,36.0,11.0,6.0,98.0,13.0,26.0,17.0,7.0,38.0,15.0,23.0,35.0,27.0,22.0,25.0,29.0
3384,2.0,6.0,4.0,0.0,29.0,3.0,11.0,1.0,14.0,39.0,7.0,9.0,8.0,26.0,25.0,17.0,19.0,24.0,18.0,28.0,38.0,41.0,21.0,16.0,5.0,61.0,49.0,12.0,27.0,52.0
3433,8.0,1.0,11.0,7.0,14.0,3.0,24.0,20.0,13.0,2.0,26.0,6.0,39.0,21.0,19.0,4.0,88.0,0.0,16.0,9.0,17.0,25.0,40.0,35.0,94.0,22.0,18.0,10.0,119.0,52.0
3482,4.0,3.0,0.0,13.0,7.0,6.0,10.0,11.0,1.0,5.0,16.0,19.0,35.0,2.0,24.0,8.0,32.0,12.0,22.0,21.0,17.0,28.0,41.0,98.0,26.0,14.0,31.0,9.0,122.0,29.0
3531,7.0,8.0,6.0,12.0,2.0,1.0,3.0,14.0,17.0,10.0,30.0,5.0,38.0,13.0,35.0,9.0,95.0,0.0,23.0,19.0,11.0,22.0,18.0,41.0,31.0,15.0,39.0,20.0,127.0,21.0
3580,5.0,1.0,10.0,14.0,11.0,9.0,15.0,25.0,13.0,3.0,19.0,2.0,57.0,6.0,20.0,0.0,94.0,8.0,31.0,36.0,7.0,102.0,24.0,32.0,30.0,12.0,59.0,18.0,21.0,22.0
3629,8.0,4.0,7.0,10.0,5.0,0.0,11.0,1.0,21.0,13.0,36.0,3.0,37.0,6.0,14.0,16.0,99.0,9.0,24.0,27.0,15.0,29.0,22.0,20.0,19.0,12.0,54.0,2.0,30.0,60.0
3678,6.0,2.0,7.0,19.0,12.0,0.0,13.0,5.0,16.0,3.0,30.0,4.0,48.0,1.0,25.0,18.0,42.0,8.0,36.0,14.0,10.0,38.0,20.0,34.0,109.0,9.0,27.0,11.0,32.0,61.0
3727,7.0,1.0,2.0,21.0,0.0,11.0,14.0,6.0,13.0,12.0,35.0,10.0,36.0,5.0,15.0,9.0,107.0,18.0,39.0,33.0,8.0,24.0,25.0,82.0,42.0,16.0,31.0,4.0,30.0,58.0
3776,10.0,0.0,8.0,14.0,2.0,6.0,1.0,3.0,19.0,5.0,37.0,7.0,88.0,15.0,17.0,9.0,40.0,4.0,101.0,18.0,12.0,90.0,21.0,89.0,59.0,13.0,20.0,16.0,25.0,38.0
3825,6.0,0.0,1.0,13.0,8.0,2.0,18.0,7.0,11.0,3.0,14.0,21.0,54.0,9.0,12.0,17.0,115.0,10.0,15.0,4.0,5.0,37.0,41.0,100.0,20.0,26.0,30.0,25.0,40.0,43.0
3874,1.0,4.0,0.0,15.0,19.0,12.0,6.0,11.0,10.0,14.0,30.0,5.0,52.0,17.0,36.0,2.0,38.0,3.0,18.0,37.0,8.0,106.0,23.0,35.0,25.0,31.0,13.0,7.0,125.0,42.0
3923,0.0,2.0,5.0,1.0,8.0,3.0,4.0,27.0,42.0,15.0,6.0,14.0,9.0,16.0,12.0,13.0,11.0,24.0,26.0,18.0,29.0,23.0,36.0,17.0,40.0,35.0,25.0,7.0,22.0,34.0
3972,1.0,0.0,9.0,2.0,4.0,11.0,3.0,5.0,28.0,29.0,14.0,15.0,21.0,73.0,7.0,19.0,20.0,13.0,17.0,10.0,69.0,31.0,22.0,25.0,18.0,49.0,26.0,27.0,6.0,54.0
4021,2.0,5.0,11.0,13.0,1.0,12.0,0.0,14.0,8.0,34.0,20.0,6.0,17.0,7.0,9.0,35.0,21.0,3.0,24.0,15.0,40.0,28.0,33.0,39.0,119.0,19.0,10.0,38.0,4.0,18.0
4070,0.0,4.0,5.0,2.0,6.0,15.0,1.0,3.0,32.0,13.0,24.0,17.0,14.0,39.0,9.0,26.0,8.0,19.0,11.0,16.0,83.0,29.0,69.0,20.0,59.0,21.0,54.0,7.0,10.0,12.0
4119,6.0,9.0,3.0,4.0,10.0,0.0,1.0,8.0,14.0,15.0,7.0,18.0,16.0,26.0,13.0,61.0,2.0,5.0,24.0,12.0,32.0,102.0,28.0,90.0,21.0,39.0,33.0,73.0,29.0,56.0
4168,1.0,5.0,11.0,3.0,7.0,8.0,0.0,9.0,24.0,29.0,2.0,21.0,31.0,13.0,10.0,16.0,23.0,4.0,25.0,17.0,26.0,20.0,33.0,18.0,12.0,46.0,39.0,14.0,37.0,6.0
4217,1.0,3.0,5.0,2.0,0.0,4.0,6.0,33.0,36.0,8.0,7.0,10.0,24.0,12.0,22.0,30.0,21.0,31.0,28.0,26.0,9.0,34.0,60.0,11.0,29.0,17.0,48.0,32.0,27.0,23.0
4266,3.0,2.0,5.0,0.0,4.0,12.0,1.0,8.0,40.0,10.0,24.0,6.0,15.0,22.0,16.0,21.0,18.0,9.0,11.0,107.0,17.0,41.0,45.0,7.0,32.0,95.0,14.0,25.0,44.0,31.0
4315,1.0,3.0,18.0,0.0,5.0,15.0,2.0,6.0,123.0,17.0,16.0,4.0,22.0,8.0,12.0,11.0,7.0,13.0,34.0,19.0,68.0,31.0,57.0,14.0,28.0,10.0,46.0,30.0,25.0,76.0
4364,0.0,6.0,9.0,3.0,2.0,5.0,1.0,8.0,29.0,18.0,16.0,11.0,7.0,14.0,4.0,50.0,30.0,22.0,13.0,34.0,33.0,36.0,37.0,12.0,21.0,32.0,17.0,19.0,20.0,26.0
4413,11.0,6.0,9.0,1.0,3.0,5.0,10.0,30.0,12.0,27.0,8.0,25.0,4.0,0.0,22.0,31.0,20.0,7.0,104.0,33.0,21.0,101.0,2.0,19.0,18.0,43.0,50.0,67.0,16.0,36.0
4462,2.0,8.0,1.0,0.0,11.0,9.0,16.0,23.0,12.0,21.0,15.0,96.0,5.0,3.0,25.0,32.0,4.0,26.0,111.0,42.0,40.0,108.0,20.0,10.0,109.0,52.0,29.0,76.0,13.0,28.0
4511,30.0,3.0,6.0,0.0,4.0,7.0,9.0,25.0,8.0,11.0,2.0,13.0,62.0,1.0,32.0,15.0,22.0,39.0,12.0,40.0,16.0,26.0,20.0,17.0,37.0,19.0,29.0,71.0,38.0,42.0
4560,0.0,1.0,9.0,7.0,10.0,8.0,3.0,19.0,6.0,21.0,5.0,17.0,28.0,4.0,22.0,30.0,15.0,24.0,16.0,39.0,29.0,38.0,12.0,99.0,108.0,40.0,13.0,69.0,18.0,37.0
4609,2.0,4.0,5.0,8.0,9.0,3.0,15.0,127.0,1.0,6.0,10.0,24.0,21.0,0.0,29.0,69.0,17.0,23.0,42.0,31.0,11.0,37.0,19.0,18.0,26.0,38.0,56.0,79.0,13.0,28.0
4658,8.0,5.0,0.0,3.0,2.0,4.0,16.0,13.0,12.0,19.0,6.0,17.0,20.0,1.0,23.0,31.0,35.0,10.0,32.0,29.0,21.0,102.0,7.0,92.0,105.0,39.0,38.0,61.0,9.0,22.0
4707,8.0,7.0,9.0,0.0,3.0,22.0,4.0,13.0,10.0,17.0,12.0,5.0,49.0,2.0,16.0,14.0,28.0,27.0,19.0,30.0,61.0,99.0,20.0,15.0,89.0,31.0,35.0,38.0,25.0,26.0
4756,0.0,4.0,6.0,5.0,2.0,7.0,20.0,32.0,13.0,14.0,24.0,11.0,17.0,1.0,25.0,31.0,87.0,101.0,98.0,35.0,10.0,95.0,12.0,15.0,33.0,28.0,48.0,70.0,9.0,16.0
4805,0.0,7.0,3.0,4.0,17.0,2.0,10.0,16.0,8.0,14.0,22.0,19.0,15.0,6.0,98.0,77.0,21.0,48.0,33.0,27.0,12.0,104.0,20.0,31.0,57.0,36.0,28.0,42.0,11.0,34.0
4854,2.0,0.0,9.0,1.0,12.0,10.0,3.0,13.0,6.0,57.0,17.0,5.0,28.0,24.0,14.0,61.0,16.0,11.0,103.0,22.0,25.0,101.0,15.0,7.0,106.0,31.0,39.0,69.0,8.0,29.0
