,ZBTB20_AMP,CDC73_AMP,GSTTP1_AMP,NAALADL2_DEL,PCCB_DEL,SORD_AMP,BTNL3_DEL,GALNTL6_DEL,NRXN1_DEL,CES1P1_DEL,KIR2DL4_AMP,ARHGAP22_DEL,MRGPRX1_DEL,BCAS1_AMP,XKR6_AMP,LRRK1_MUT,UBE2Q2P3_AMP,UBE2Q2P2_AMP,LPA_AMP,GOLGA6L9_AMP,KRT16P2_AMP,CADM2_DEL,RPS17_AMP,KIR3DL1_AMP,RPS17L_AMP,NRG3_DEL,BTNL8_DEL,DEFA1_AMP,DEFA1B_AMP,ADAM3A_AMP
568,0.0,1.0,8.0,2.0,6.0,16.0,5.0,13.0,4.0,9.0,15.0,27.0,10.0,33.0,37.0,30.0,45.0,44.0,62.0,46.0,42.0,11.0,48.0,25.0,47.0,61.0,38.0,22.0,21.0,12.0
617,0.0,8.0,2.0,5.0,20.0,44.0,12.0,22.0,4.0,13.0,34.0,16.0,21.0,46.0,25.0,52.0,789.0,788.0,908.0,807.0,31.0,14.0,808.0,61.0,809.0,60.0,85.0,9.0,10.0,45.0
666,3.0,2.0,6.0,0.0,1.0,101.0,4.0,41.0,17.0,28.0,116.0,35.0,21.0,85.0,44.0,18.0,156.0,155.0,12.0,160.0,79.0,11.0,159.0,221.0,161.0,25.0,30.0,7.0,8.0,57.0
715,0.0,7.0,1.0,11.0,44.0,6.0,3.0,36.0,2.0,49.0,285.0,5.0,13.0,42.0,23.0,16.0,109.0,108.0,276.0,106.0,14.0,8.0,107.0,309.0,105.0,26.0,60.0,21.0,22.0,27.0
764,0.0,2.0,12.0,1.0,47.0,26.0,3.0,10.0,4.0,34.0,14.0,88.0,39.0,46.0,28.0,29.0,178.0,177.0,75.0,180.0,11.0,8.0,179.0,21.0,176.0,36.0,30.0,19.0,18.0,20.0
813,0.0,1.0,2.0,4.0,9.0,16.0,11.0,303.0,8.0,415.0,6.0,7.0,5.0,306.0,27.0,5543.0,33.0,35.0,115.0,36.0,17.0,57.0,34.0,13.0,37.0,194.0,25.0,41.0,40.0,22.0
862,5.0,4.0,1.0,0.0,2.0,11.0,15.0,91.0,28.0,23.0,31.0,3.0,9.0,167.0,119.0,26.0,35.0,34.0,24.0,33.0,38.0,10.0,37.0,47.0,36.0,150.0,94.0,6.0,7.0,30.0
911,10.0,7.0,2.0,1.0,8.0,3.0,5.0,17.0,4.0,23.0,28.0,6.0,0.0,112.0,71.0,13.0,60.0,58.0,87.0,59.0,11.0,14.0,61.0,78.0,62.0,29.0,21.0,16.0,15.0,12.0
960,0.0,9.0,1.0,23.0,17.0,8.0,283.0,2984.0,10.0,11.0,138.0,16.0,4.0,22.0,51.0,42.0,118.0,119.0,5.0,125.0,34.0,236.0,126.0,215.0,127.0,92.0,13024.0,308.0,309.0,29.0
1009,2.0,91.0,93.0,0.0,1.0,214.0,23.0,28.0,158.0,18.0,105.0,12.0,17.0,351.0,157.0,224.0,6.0,5.0,25.0,7.0,43.0,20.0,9.0,181.0,8.0,128.0,85.0,313.0,312.0,38.0
1058,0.0,12.0,7.0,4.0,1.0,5.0,2.0,8.0,55.0,26.0,16.0,13.0,49.0,20.0,236.0,42.0,23.0,22.0,9.0,24.0,45.0,3.0,21.0,44.0,25.0,348.0,33.0,11.0,10.0,48.0
1107,1.0,12.0,91.0,2.0,6.0,7.0,0.0,5.0,31.0,46.0,14.0,287.0,123.0,60.0,654.0,16.0,198.0,196.0,51.0,194.0,20.0,21.0,197.0,43.0,195.0,32.0,3.0,34.0,33.0,56.0
1156,0.0,10.0,9.0,4.0,1.0,67.0,3.0,6.0,19.0,2.0,95.0,18.0,130.0,12.0,749.0,42.0,23.0,25.0,11.0,22.0,92.0,8.0,26.0,255.0,24.0,174.0,17.0,15.0,14.0,83.0
1205,0.0,14.0,21.0,6.0,2.0,8.0,1.0,7.0,41.0,3.0,61.0,11.0,106.0,10.0,214.0,64.0,18.0,20.0,5.0,19.0,28.0,4.0,16.0,137.0,17.0,169.0,27.0,13.0,12.0,80.0
1254,0.0,53.0,72.0,14.0,1.0,30.0,2.0,25.0,35.0,8.0,119.0,13.0,81.0,26.0,224.0,33.0,21.0,23.0,3.0,20.0,42.0,16.0,22.0,467.0,19.0,58.0,27.0,5.0,4.0,17.0
1303,0.0,24.0,6.0,3.0,4.0,2.0,1.0,9.0,31.0,94.0,21.0,5.0,26.0,13.0,427.0,85.0,18.0,17.0,32.0,15.0,45.0,14.0,16.0,35.0,19.0,106.0,12.0,27.0,28.0,52.0
1352,0.0,17.0,4.0,2.0,1.0,7.0,3.0,24.0,297.0,8.0,28.0,21.0,74.0,14.0,136.0,26.0,11.0,10.0,73.0,13.0,259.0,16.0,9.0,37.0,12.0,53.0,35.0,22.0,23.0,25.0
1401,3.0,29.0,12.0,0.0,2.0,17.0,18.0,1.0,51.0,487.0,4.0,37.0,79.0,10.0,128.0,139.0,5.0,9.0,15.0,7.0,46.0,47.0,6.0,11.0,8.0,48.0,21.0,26.0,27.0,25.0
1450,0.0,51.0,11.0,6.0,2.0,3.0,1.0,4.0,114.0,18.0,79.0,36.0,58.0,30.0,147.0,23.0,16.0,14.0,8.0,13.0,67.0,5.0,15.0,104.0,17.0,72.0,12.0,28.0,29.0,60.0
1499,1.0,3.0,4.0,5.0,7.0,9.0,0.0,21.0,18.0,74.0,8.0,24.0,2.0,66.0,16.0,32.0,190.0,189.0,587.0,187.0,55.0,31.0,191.0,14.0,188.0,15.0,6.0,25.0,26.0,19.0
1548,0.0,1.0,5.0,7.0,4.0,95.0,2.0,8.0,56.0,334.0,14.0,29.0,9.0,13.0,11.0,133.0,21.0,18.0,77.0,19.0,62.0,57.0,22.0,51.0,20.0,10.0,6.0,23.0,24.0,17.0
1597,0.0,3.0,7.0,2.0,6.0,13.0,1.0,4.0,23.0,29.0,25.0,34.0,14.0,48.0,12.0,30.0,82.0,81.0,54.0,92.0,64.0,31.0,94.0,27.0,93.0,28.0,8.0,19.0,17.0,32.0
1646,0.0,1.0,3.0,12.0,5.0,8.0,6.0,2.0,28.0,29.0,17.0,44.0,9.0,47.0,16.0,46.0,37.0,36.0,152.0,41.0,98.0,15.0,42.0,38.0,43.0,39.0,191.0,14.0,13.0,60.0
1695,0.0,7.0,4.0,13.0,19.0,8.0,1.0,3.0,23.0,67.0,42.0,30.0,6.0,34.0,11.0,26.0,105.0,106.0,43.0,115.0,65.0,14.0,113.0,58.0,114.0,21.0,24.0,17.0,16.0,18.0
1744,0.0,5.0,21.0,15.0,1.0,242.0,2.0,4.0,19.0,31.0,7.0,27.0,6.0,176.0,10.0,163.0,103.0,102.0,6200.0,112.0,359.0,30.0,111.0,16.0,110.0,23.0,76.0,107.0,106.0,45.0
1793,0.0,15.0,28.0,8.0,6.0,4.0,1.0,18.0,40.0,82.0,7.0,19.0,23.0,32.0,124.0,16.0,51.0,50.0,118.0,48.0,31.0,42.0,49.0,17.0,52.0,244.0,5.0,12.0,13.0,24.0
1842,1.0,2.0,11.0,18.0,10.0,5.0,0.0,3.0,44.0,17.0,28.0,1129.0,64.0,20.0,30.0,19.0,190.0,189.0,126.0,195.0,332.0,24.0,194.0,93.0,193.0,56.0,4.0,7.0,6.0,12.0
1891,0.0,4.0,6.0,8.0,1.0,106.0,3.0,12.0,13.0,5.0,9.0,28.0,11.0,51.0,24.0,16.0,300.0,299.0,25.0,333.0,181.0,89.0,332.0,19.0,331.0,40.0,39.0,17.0,18.0,21.0
1940,1.0,3.0,5.0,8.0,6.0,18.0,2.0,0.0,19.0,4.0,21.0,24.0,37.0,48.0,23.0,62.0,52.0,49.0,312.0,50.0,210.0,36.0,53.0,47.0,51.0,58.0,9.0,16.0,15.0,30.0
1989,0.0,9.0,48.0,2.0,31.0,19.0,60.0,232.0,15.0,17.0,4.0,313.0,28.0,62.0,47.0,123.0,176.0,177.0,27.0,174.0,70.0,3.0,175.0,13.0,178.0,25.0,293.0,162.0,161.0,33.0
2038,1.0,4.0,34.0,2.0,28.0,6.0,10.0,0.0,8.0,11.0,30.0,638.0,183.0,7.0,74.0,12.0,55.0,54.0,15.0,52.0,235.0,5.0,51.0,48.0,53.0,13.0,45.0,38.0,39.0,47.0
2087,1.0,0.0,15.0,52.0,32.0,10.0,8.0,4.0,20.0,9.0,3.0,125.0,24.0,5.0,29.0,21.0,58.0,54.0,30.0,55.0,38.0,6.0,56.0,7.0,57.0,39.0,28.0,26.0,27.0,78.0
2136,0.0,1.0,4.0,6.0,37.0,5.0,19.0,2.0,9.0,14.0,35.0,82.0,60.0,8.0,30.0,12.0,54.0,55.0,44.0,53.0,38.0,3.0,57.0,39.0,56.0,27.0,98.0,31.0,32.0,64.0
2185,0.0,1.0,12.0,7.0,13.0,5.0,37.0,2.0,4.0,68.0,3.0,65.0,9.0,6.0,58.0,132.0,45.0,41.0,31.0,43.0,24.0,35.0,42.0,10.0,44.0,14.0,25.0,40.0,39.0,36.0
2234,0.0,6.0,16.0,4.0,12.0,10.0,2.0,1.0,8.0,5.0,7.0,36.0,25.0,59.0,78.0,58.0,202.0,203.0,26.0,201.0,13.0,18.0,204.0,11.0,205.0,21.0,3.0,24.0,23.0,85.0
2283,0.0,1.0,32.0,4.0,40.0,9.0,2.0,6.0,5.0,7.0,8.0,110.0,31.0,28.0,27.0,20.0,94.0,97.0,64.0,96.0,18.0,12.0,98.0,11.0,95.0,29.0,3.0,17.0,16.0,71.0
2332,0.0,2.0,13.0,3.0,50.0,1.0,6.0,4.0,7.0,11.0,9.0,193.0,43.0,5.0,54.0,12.0,72.0,74.0,60.0,75.0,19.0,8.0,76.0,16.0,73.0,38.0,15.0,58.0,59.0,21.0
2381,0.0,2.0,16.0,3.0,32.0,5.0,1.0,10.0,17.0,4.0,7.0,192.0,113.0,13.0,47.0,36.0,91.0,90.0,55.0,87.0,34.0,6.0,88.0,11.0,89.0,24.0,8.0,28.0,29.0,27.0
2430,0.0,3.0,29.0,1.0,14.0,2.0,4.0,12.0,7.0,6.0,17.0,65.0,120.0,5.0,100.0,9.0,32.0,33.0,11.0,34.0,16.0,20.0,36.0,37.0,35.0,63.0,8.0,352.0,356.0,77.0
2479,0.0,3.0,5.0,1.0,2.0,154.0,99.0,92.0,25.0,9.0,6.0,26.0,46.0,427.0,23.0,118.0,49.0,48.0,4.0,52.0,75.0,364.0,51.0,29.0,53.0,7.0,2807.0,1278.0,1277.0,96.0
2528,0.0,2.0,5.0,1.0,3.0,4.0,8.0,14.0,12.0,17.0,26.0,11.0,248.0,28.0,62.0,6.0,48.0,46.0,7.0,49.0,331.0,197.0,50.0,61.0,47.0,9.0,194.0,20.0,21.0,27.0
2577,1.0,4.0,7.0,9.0,12.0,15.0,0.0,13.0,33.0,94.0,2.0,10.0,17.0,39.0,32.0,37.0,25.0,24.0,3.0,23.0,14.0,148.0,22.0,5.0,26.0,18.0,11.0,108.0,109.0,78.0
2626,0.0,2.0,5.0,1.0,4.0,136.0,12.0,3.0,9.0,15.0,11.0,6.0,30.0,31.0,42.0,304.0,44.0,46.0,8.0,48.0,7.0,5644.0,45.0,18.0,47.0,10.0,14.0,60.0,61.0,86.0
2675,0.0,3.0,12.0,2.0,23.0,4.0,5.0,1.0,7.0,42.0,6.0,52.0,151.0,20.0,35.0,10.0,181.0,182.0,84.0,183.0,26.0,106.0,184.0,11.0,180.0,8.0,67.0,158.0,157.0,70.0
2724,0.0,2.0,7.0,3.0,12.0,1.0,27.0,5.0,11.0,154.0,4.0,16.0,13.0,38.0,70.0,23.0,34.0,32.0,6.0,31.0,15.0,151.0,33.0,10.0,35.0,19.0,601.0,88.0,89.0,41.0
2773,0.0,1.0,3.0,9.0,14.0,6.0,17.0,2.0,8.0,4.0,51.0,13.0,19.0,27.0,29.0,7.0,21.0,22.0,59.0,26.0,12.0,303.0,25.0,58.0,24.0,10.0,72.0,90.0,91.0,55.0
2822,2.0,3.0,0.0,1.0,5.0,6.0,15.0,4.0,10.0,11.0,31.0,8.0,16.0,81.0,30.0,13.0,23.0,24.0,7.0,22.0,17.0,95.0,25.0,35.0,26.0,12.0,191.0,50.0,51.0,34.0
2871,0.0,1.0,3.0,35.0,8.0,5.0,28.0,7.0,2.0,31.0,6.0,14.0,12.0,23.0,29.0,9.0,22.0,19.0,42.0,18.0,30.0,761.0,20.0,17.0,21.0,15.0,321.0,72.0,71.0,248.0
2920,1.0,2.0,14.0,0.0,13.0,6.0,10.0,9.0,24.0,8.0,4.0,5.0,68.0,21.0,89.0,11.0,62.0,64.0,3.0,65.0,18.0,120.0,63.0,12.0,61.0,48.0,29.0,77.0,76.0,34.0
2969,0.0,7.0,12.0,6.0,3.0,16.0,18.0,30.0,43.0,37.0,2.0,21.0,5.0,61.0,17.0,110.0,56.0,58.0,9.0,60.0,54.0,27.0,57.0,11.0,59.0,211.0,47.0,49.0,48.0,122.0
3018,12.0,8.0,11.0,19.0,2.0,0.0,33.0,920.0,21.0,3.0,5.0,1.0,84.0,74.0,62.0,73.0,27.0,26.0,47.0,25.0,17.0,15.0,24.0,20.0,28.0,762.0,221.0,86.0,87.0,14.0
3067,6.0,13.0,22.0,10.0,5.0,155.0,23.0,40.0,14.0,3.0,1.0,17.0,32.0,186.0,34.0,1758.0,76.0,75.0,0.0,73.0,18.0,20.0,72.0,2.0,74.0,144.0,121.0,309.0,308.0,82.0
3116,6.0,20.0,16.0,2.0,3.0,10.0,19.0,110.0,45.0,8.0,9.0,11.0,75.0,70.0,38.0,91.0,26.0,23.0,5.0,22.0,100.0,7.0,25.0,37.0,24.0,61.0,147.0,197.0,196.0,39.0
3165,0.0,25.0,9.0,54.0,8.0,19.0,46.0,14293.0,4.0,16.0,35.0,2.0,10.0,62.0,7.0,117.0,30.0,31.0,42.0,32.0,15.0,21.0,29.0,102.0,33.0,105.0,432.0,189.0,190.0,87.0
3214,0.0,2.0,12.0,4.0,1.0,13.0,344.0,714.0,6.0,14.0,5.0,3.0,24.0,37.0,10.0,125.0,95.0,97.0,7.0,96.0,16.0,26.0,98.0,18.0,99.0,145.0,18706.0,210.0,209.0,80.0
3263,2.0,5.0,9.0,7.0,1.0,57.0,180.0,423.0,8.0,6.0,3.0,0.0,48.0,33.0,14.0,1418.0,16.0,15.0,23.0,20.0,22.0,105.0,19.0,4.0,21.0,80.0,98.0,125.0,126.0,35.0
3312,11.0,1.0,20.0,13.0,0.0,30.0,183.0,506.0,18.0,5.0,2.0,15.0,32.0,193.0,10.0,118.0,37.0,38.0,6.0,39.0,75.0,51.0,40.0,8.0,36.0,180.0,7454.0,309.0,310.0,61.0
3361,0.0,13.0,25.0,18.0,1.0,40.0,3.0,63.0,7.0,6.0,16.0,4.0,65.0,52.0,24.0,131.0,23.0,22.0,2.0,20.0,14.0,62.0,19.0,26.0,21.0,241.0,53.0,81.0,82.0,144.0
3410,7.0,0.0,259.0,19.0,2.0,9.0,3.0,22.0,5.0,13.0,20.0,27.0,92.0,229.0,23.0,76.0,235.0,236.0,84.0,239.0,16.0,29.0,238.0,53.0,237.0,98.0,26.0,220.0,219.0,8.0
3459,0.0,2.0,6.0,12.0,8.0,1.0,9.0,11.0,13.0,5.0,27.0,37.0,4.0,22.0,23.0,7.0,18.0,17.0,3.0,21.0,29.0,47.0,20.0,42.0,19.0,69.0,31.0,128.0,129.0,45.0
3508,1.0,0.0,3.0,10.0,4.0,8.0,11.0,137.0,110.0,25.0,6.0,123.0,37.0,7.0,32.0,5.0,20.0,22.0,2.0,18.0,175.0,34.0,19.0,12.0,21.0,31.0,30.0,182.0,183.0,45.0
3557,0.0,1.0,16.0,6.0,4.0,3.0,31.0,11.0,26.0,15.0,13.0,99.0,40.0,7.0,9.0,5.0,21.0,20.0,2.0,23.0,42.0,27.0,24.0,28.0,22.0,25.0,336.0,128.0,132.0,93.0
3606,0.0,1.0,8.0,5.0,4.0,3.0,9.0,2.0,12.0,20.0,10.0,57.0,18.0,15.0,6.0,7.0,47.0,43.0,13.0,44.0,27.0,22.0,46.0,17.0,45.0,21.0,34.0,177.0,178.0,36.0
3655,0.0,2.0,175.0,4.0,1.0,25.0,9.0,13.0,130.0,22.0,3.0,33.0,20.0,160.0,27.0,37.0,14.0,18.0,68.0,15.0,11.0,36.0,17.0,5.0,16.0,151.0,23.0,2747.0,2750.0,74.0
3704,0.0,1.0,6.0,5.0,10.0,2.0,3.0,12.0,43.0,4.0,8.0,53.0,11.0,13.0,15.0,7.0,37.0,39.0,47.0,38.0,58.0,19.0,40.0,21.0,36.0,20.0,18.0,189.0,188.0,29.0
3753,0.0,1.0,17.0,4.0,16.0,2.0,15.0,6.0,14.0,9.0,8.0,161.0,122.0,5.0,7.0,3.0,610.0,611.0,47.0,613.0,31.0,23.0,612.0,19.0,609.0,11.0,40.0,158.0,156.0,24.0
3802,0.0,1.0,7.0,3.0,2.0,4.0,11.0,30.0,9.0,21.0,13.0,85.0,82.0,12.0,59.0,5.0,45.0,46.0,25.0,50.0,27.0,16.0,48.0,20.0,49.0,31.0,24.0,134.0,131.0,41.0
3851,0.0,1.0,6.0,4.0,2.0,25.0,12.0,7.0,20.0,3.0,16.0,30.0,56.0,8.0,10.0,5.0,34.0,33.0,21.0,31.0,37.0,40.0,32.0,18.0,35.0,24.0,28.0,145.0,143.0,65.0
3900,0.0,1.0,3.0,10.0,11.0,47.0,35.0,54.0,4.0,69.0,44.0,8.0,2.0,17.0,13.0,48.0,30.0,33.0,21.0,32.0,28.0,310.0,31.0,105.0,34.0,20.0,22.0,75.0,76.0,50.0
3949,1.0,4.0,8.0,12.0,63.0,2.0,5.0,0.0,14.0,19.0,102.0,17.0,24.0,16.0,21.0,13.0,436.0,437.0,38.0,564.0,22.0,42.0,565.0,71.0,566.0,37.0,11.0,28.0,27.0,72.0
3998,0.0,1.0,2.0,9.0,6.0,8.0,108.0,7.0,23.0,44.0,14.0,4.0,11.0,12.0,43.0,28.0,16.0,15.0,36.0,21.0,109.0,68.0,19.0,17.0,20.0,53.0,539.0,24.0,25.0,57.0
4047,0.0,3.0,2.0,6.0,11.0,7.0,12.0,5.0,10.0,16.0,88.0,4.0,8.0,13.0,15.0,19.0,26.0,25.0,1.0,30.0,23.0,210.0,29.0,97.0,28.0,20.0,31.0,72.0,71.0,129.0
4096,0.0,7.0,2.0,6.0,8.0,3.0,9.0,5.0,13.0,16.0,14.0,1.0,4.0,19.0,58.0,39.0,24.0,25.0,11.0,26.0,20.0,23.0,27.0,15.0,28.0,49.0,48.0,21.0,22.0,116.0
4145,0.0,11.0,5.0,8.0,10.0,3.0,2.0,1.0,17.0,4.0,246.0,7.0,15.0,9.0,186.0,29.0,28.0,27.0,6.0,37.0,42.0,39.0,36.0,317.0,38.0,51.0,13.0,30.0,31.0,49.0
4194,4.0,9.0,3.0,1.0,2.0,33.0,123.0,47.0,28.0,56.0,8.0,0.0,5.0,85.0,25.0,372.0,31.0,30.0,18.0,35.0,23.0,78.0,36.0,11.0,37.0,46.0,420.0,156.0,155.0,45.0
4243,2.0,4.0,0.0,26.0,10.0,3.0,21.0,13.0,7.0,6.0,60.0,1.0,20.0,12.0,41.0,23.0,15.0,16.0,52.0,18.0,36.0,30.0,17.0,81.0,19.0,304.0,153.0,24.0,25.0,56.0
4292,1.0,8.0,0.0,3.0,5.0,37.0,35.0,4.0,7.0,36.0,56.0,2.0,6.0,12.0,18.0,551.0,29.0,28.0,23.0,31.0,9.0,150.0,33.0,58.0,32.0,42.0,21.0,25.0,24.0,141.0
4341,5.0,12.0,6.0,8.0,10.0,11.0,34.0,44.0,60.0,7.0,87.0,1.0,20.0,9.0,111.0,27.0,14.0,15.0,4.0,17.0,26.0,74.0,18.0,123.0,16.0,324.0,138.0,31.0,32.0,50.0
4390,1.0,9.0,0.0,5.0,8.0,7.0,19.0,6.0,23.0,12.0,20.0,4.0,3.0,32.0,29.0,27.0,17.0,14.0,2.0,13.0,44.0,92.0,16.0,24.0,15.0,45.0,64.0,41.0,39.0,90.0
4439,0.0,3.0,7.0,22.0,1.0,2.0,5.0,51.0,13.0,6.0,548.0,4.0,37.0,28.0,80.0,39.0,17.0,16.0,169.0,20.0,18.0,170.0,21.0,622.0,19.0,683.0,8.0,15.0,14.0,9.0
4488,1.0,0.0,3.0,15.0,5.0,2.0,25.0,12.0,6.0,27.0,168.0,7.0,4.0,39.0,8.0,24.0,16.0,18.0,30.0,19.0,35.0,51.0,17.0,243.0,20.0,31.0,57.0,34.0,33.0,9.0
4537,0.0,1.0,2.0,25.0,5.0,22.0,31.0,153.0,19.0,4.0,750.0,7.0,21.0,37.0,24.0,34.0,13.0,14.0,28.0,16.0,8.0,167.0,15.0,658.0,17.0,60.0,38.0,55.0,56.0,3.0
4586,0.0,1.0,3.0,10.0,2.0,5.0,16.0,219.0,37.0,4.0,149.0,6.0,23.0,15.0,9.0,31.0,13.0,14.0,44.0,18.0,43.0,405.0,17.0,80.0,19.0,22.0,8.0,66.0,65.0,7.0
4635,0.0,1.0,2.0,28.0,3.0,17.0,7.0,5.0,4.0,9.0,85.0,22.0,8.0,50.0,29.0,67.0,12.0,14.0,226.0,15.0,18.0,43.0,16.0,59.0,13.0,30.0,10.0,111.0,110.0,19.0
4684,1.0,4.0,0.0,5.0,8.0,13.0,2.0,3.0,6.0,10.0,48.0,11.0,7.0,47.0,28.0,105.0,24.0,21.0,36.0,25.0,12.0,215.0,23.0,45.0,22.0,20.0,9.0,30.0,31.0,19.0
4733,0.0,1.0,6.0,20.0,2.0,10.0,3.0,21.0,7.0,8.0,593.0,28.0,31.0,57.0,11.0,47.0,15.0,17.0,1249.0,14.0,27.0,191.0,13.0,782.0,16.0,32.0,5.0,39.0,40.0,12.0
4782,3.0,6.0,26.0,4.0,1.0,65.0,33.0,181.0,5.0,121.0,31.0,21.0,18.0,186.0,25.0,550.0,10.0,9.0,28.0,7.0,20.0,47.0,11.0,30.0,8.0,24.0,59.0,321.0,322.0,2.0
4831,0.0,1.0,3.0,4.0,2.0,5.0,15.0,11.0,7.0,13.0,133.0,24.0,12.0,29.0,25.0,44.0,16.0,17.0,38.0,20.0,9.0,88.0,19.0,125.0,18.0,39.0,10.0,35.0,36.0,8.0
4880,1.0,0.0,4.0,25.0,8.0,17.0,2.0,11.0,6.0,7.0,21.0,65.0,105.0,20.0,19.0,52.0,13.0,15.0,149.0,16.0,31.0,68.0,12.0,33.0,14.0,77.0,3.0,34.0,35.0,9.0
