,CD49b,Porin,Caspase-7_cleavedD198,C-Raf_pS338,STAT5-alpha,eEF2,GSK-3-BETA,p90RSK_pT359_S363,Beclin,Transglutaminase,Acetyl-a-Tubulin (Lys40),p27_pT157,A-Raf_pS299,Src,p21,AMPK_alpha,ADAR1,IRS1,4E-BP1_pT70,VAV1,VEGFR2,PDK1_pS241,PEA15_pS116,PDK1,PI3K-p110-alpha,PDCD4,PEA15,PI3K-p85,Paxillin,PAI-1
1280,6.0,2.0,7.0,1.0,8.0,13.0,147.0,21.0,12.0,9.0,0.0,11.0,29.0,22.0,24.0,123.0,127.0,139.0,117.0,28.0,27.0,43.0,41.0,48.0,40.0,49.0,42.0,39.0,53.0,54.0
1329,17.0,0.0,8.0,36.0,3.0,1.0,16.0,14.0,93.0,33.0,27.0,28.0,114.0,57.0,2.0,32.0,35.0,34.0,24.0,7.0,67.0,40.0,37.0,41.0,12.0,42.0,53.0,30.0,43.0,6.0
1378,5.0,92.0,7.0,22.0,40.0,1.0,16.0,10.0,6.0,8.0,27.0,35.0,3.0,74.0,32.0,33.0,120.0,0.0,116.0,64.0,36.0,49.0,41.0,14.0,42.0,51.0,47.0,43.0,52.0,53.0
1427,0.0,1.0,4.0,2.0,7.0,15.0,146.0,6.0,96.0,8.0,35.0,24.0,32.0,34.0,25.0,121.0,117.0,137.0,33.0,41.0,38.0,43.0,49.0,19.0,16.0,40.0,18.0,89.0,39.0,20.0
1476,3.0,2.0,5.0,12.0,36.0,154.0,4.0,9.0,22.0,68.0,8.0,55.0,114.0,6.0,44.0,31.0,7.0,135.0,23.0,65.0,64.0,41.0,39.0,57.0,43.0,45.0,16.0,40.0,58.0,47.0
1525,2.0,41.0,18.0,17.0,0.0,3.0,20.0,13.0,9.0,38.0,33.0,7.0,31.0,72.0,25.0,39.0,36.0,8.0,116.0,5.0,30.0,43.0,45.0,12.0,47.0,59.0,44.0,46.0,49.0,19.0
1574,1.0,8.0,0.0,2.0,27.0,5.0,11.0,6.0,120.0,28.0,44.0,18.0,39.0,26.0,68.0,35.0,37.0,149.0,38.0,73.0,72.0,53.0,65.0,21.0,50.0,54.0,51.0,49.0,55.0,56.0
1623,0.0,8.0,6.0,11.0,1.0,154.0,16.0,7.0,99.0,29.0,31.0,4.0,33.0,3.0,51.0,25.0,2.0,137.0,114.0,58.0,38.0,48.0,89.0,22.0,61.0,43.0,59.0,88.0,42.0,41.0
1672,10.0,9.0,13.0,7.0,3.0,16.0,6.0,4.0,30.0,36.0,117.0,53.0,116.0,1.0,24.0,121.0,8.0,135.0,32.0,43.0,35.0,39.0,41.0,5.0,42.0,44.0,40.0,46.0,45.0,47.0
1721,5.0,15.0,4.0,1.0,7.0,17.0,6.0,21.0,95.0,9.0,115.0,3.0,30.0,2.0,23.0,120.0,38.0,137.0,114.0,40.0,33.0,41.0,45.0,19.0,60.0,43.0,42.0,75.0,44.0,59.0
1770,0.0,6.0,5.0,11.0,4.0,12.0,13.0,8.0,96.0,1.0,29.0,42.0,117.0,2.0,53.0,124.0,30.0,14.0,28.0,32.0,65.0,41.0,43.0,15.0,47.0,48.0,46.0,45.0,52.0,54.0
1819,3.0,5.0,2.0,31.0,27.0,15.0,161.0,20.0,39.0,28.0,34.0,19.0,87.0,25.0,102.0,140.0,35.0,6.0,40.0,29.0,74.0,57.0,55.0,4.0,68.0,58.0,56.0,67.0,59.0,60.0
1868,6.0,2.0,0.0,16.0,5.0,154.0,20.0,19.0,8.0,28.0,117.0,18.0,114.0,1.0,53.0,7.0,33.0,137.0,34.0,41.0,40.0,43.0,17.0,37.0,62.0,36.0,61.0,88.0,38.0,39.0
1917,20.0,3.0,4.0,2.0,0.0,13.0,19.0,47.0,96.0,10.0,118.0,6.0,29.0,73.0,33.0,34.0,1.0,138.0,116.0,30.0,28.0,40.0,38.0,32.0,39.0,57.0,42.0,41.0,44.0,45.0
1966,102.0,3.0,0.0,105.0,6.0,9.0,4.0,13.0,8.0,40.0,34.0,60.0,2.0,5.0,62.0,37.0,33.0,17.0,125.0,30.0,28.0,20.0,47.0,63.0,46.0,51.0,48.0,45.0,52.0,53.0
2015,1.0,22.0,8.0,4.0,0.0,156.0,16.0,44.0,37.0,28.0,11.0,33.0,116.0,23.0,30.0,6.0,7.0,135.0,32.0,9.0,34.0,40.0,41.0,38.0,47.0,20.0,39.0,56.0,19.0,55.0
2064,0.0,5.0,2.0,20.0,1.0,3.0,34.0,12.0,11.0,36.0,31.0,8.0,4.0,14.0,7.0,37.0,32.0,9.0,29.0,6.0,30.0,47.0,42.0,48.0,44.0,23.0,58.0,45.0,49.0,50.0
2113,32.0,34.0,19.0,18.0,22.0,25.0,2.0,50.0,107.0,5.0,33.0,21.0,29.0,8.0,1.0,6.0,118.0,9.0,116.0,30.0,28.0,17.0,44.0,58.0,43.0,47.0,45.0,0.0,48.0,49.0
2162,24.0,40.0,5.0,12.0,1.0,0.0,15.0,53.0,16.0,77.0,3.0,36.0,31.0,27.0,2.0,38.0,121.0,43.0,125.0,32.0,73.0,60.0,21.0,51.0,47.0,11.0,52.0,46.0,57.0,9.0
2211,23.0,5.0,2.0,13.0,3.0,0.0,7.0,11.0,4.0,25.0,37.0,56.0,30.0,73.0,51.0,32.0,117.0,136.0,1.0,35.0,34.0,59.0,44.0,47.0,40.0,12.0,45.0,41.0,48.0,49.0
2260,20.0,7.0,0.0,18.0,1.0,34.0,11.0,49.0,6.0,65.0,30.0,3.0,9.0,72.0,50.0,2.0,120.0,144.0,116.0,62.0,29.0,48.0,45.0,4.0,44.0,52.0,47.0,10.0,37.0,43.0
2309,15.0,1.0,0.0,3.0,32.0,156.0,21.0,4.0,107.0,36.0,7.0,2.0,5.0,37.0,55.0,29.0,8.0,138.0,34.0,40.0,39.0,42.0,62.0,17.0,92.0,6.0,50.0,91.0,43.0,45.0
2358,0.0,8.0,2.0,3.0,10.0,149.0,161.0,11.0,110.0,4.0,6.0,54.0,27.0,12.0,56.0,34.0,31.0,134.0,1.0,38.0,66.0,46.0,43.0,19.0,40.0,17.0,59.0,44.0,47.0,48.0
2407,5.0,0.0,23.0,104.0,6.0,8.0,4.0,17.0,12.0,37.0,3.0,52.0,9.0,24.0,1.0,34.0,31.0,135.0,29.0,63.0,28.0,49.0,47.0,50.0,46.0,20.0,48.0,45.0,54.0,55.0
2456,3.0,2.0,18.0,4.0,34.0,10.0,136.0,5.0,95.0,8.0,11.0,7.0,113.0,69.0,38.0,120.0,9.0,36.0,21.0,61.0,28.0,45.0,42.0,15.0,41.0,56.0,44.0,25.0,48.0,50.0
2505,18.0,6.0,15.0,3.0,32.0,24.0,19.0,1.0,26.0,4.0,5.0,49.0,116.0,39.0,34.0,122.0,120.0,0.0,38.0,65.0,9.0,58.0,42.0,17.0,41.0,52.0,44.0,46.0,54.0,55.0
2554,10.0,0.0,15.0,14.0,5.0,151.0,21.0,25.0,109.0,34.0,37.0,6.0,123.0,75.0,58.0,3.0,2.0,4.0,124.0,40.0,52.0,22.0,42.0,23.0,43.0,45.0,41.0,47.0,46.0,24.0
2603,0.0,16.0,3.0,8.0,2.0,12.0,151.0,53.0,114.0,5.0,4.0,61.0,32.0,68.0,63.0,1.0,40.0,23.0,125.0,95.0,52.0,45.0,48.0,20.0,43.0,21.0,44.0,46.0,47.0,49.0
2652,9.0,1.0,0.0,6.0,26.0,3.0,146.0,18.0,94.0,4.0,7.0,24.0,32.0,21.0,37.0,5.0,116.0,2.0,31.0,34.0,62.0,48.0,10.0,49.0,11.0,50.0,47.0,42.0,54.0,55.0
2701,14.0,1.0,23.0,6.0,0.0,151.0,18.0,57.0,113.0,2.0,31.0,60.0,125.0,77.0,35.0,5.0,26.0,25.0,3.0,68.0,32.0,55.0,49.0,56.0,48.0,58.0,54.0,46.0,52.0,42.0
2750,2.0,3.0,107.0,8.0,32.0,157.0,130.0,0.0,41.0,5.0,4.0,20.0,116.0,77.0,51.0,6.0,126.0,23.0,115.0,54.0,55.0,15.0,87.0,66.0,86.0,16.0,88.0,85.0,52.0,47.0
2799,14.0,7.0,13.0,6.0,41.0,1.0,16.0,57.0,109.0,35.0,36.0,52.0,124.0,75.0,39.0,32.0,27.0,24.0,37.0,34.0,26.0,50.0,49.0,12.0,17.0,51.0,48.0,21.0,54.0,9.0
2848,13.0,0.0,12.0,11.0,70.0,1.0,23.0,53.0,7.0,29.0,28.0,24.0,116.0,14.0,47.0,4.0,34.0,138.0,115.0,32.0,65.0,16.0,18.0,15.0,43.0,59.0,45.0,44.0,49.0,50.0
2897,17.0,0.0,14.0,13.0,73.0,18.0,23.0,42.0,111.0,5.0,33.0,54.0,124.0,76.0,4.0,1.0,3.0,19.0,31.0,66.0,30.0,60.0,55.0,11.0,51.0,59.0,57.0,50.0,56.0,53.0
2946,7.0,85.0,3.0,1.0,36.0,17.0,148.0,52.0,108.0,67.0,6.0,39.0,31.0,73.0,54.0,122.0,119.0,25.0,10.0,5.0,64.0,21.0,48.0,55.0,47.0,16.0,49.0,46.0,57.0,15.0
2995,11.0,3.0,9.0,1.0,27.0,4.0,162.0,50.0,128.0,2.0,30.0,21.0,37.0,16.0,22.0,36.0,29.0,19.0,125.0,40.0,55.0,45.0,48.0,44.0,54.0,51.0,47.0,65.0,46.0,18.0
3044,0.0,21.0,4.0,3.0,76.0,20.0,153.0,44.0,23.0,72.0,1.0,31.0,124.0,80.0,30.0,37.0,33.0,2.0,125.0,68.0,67.0,58.0,41.0,56.0,57.0,8.0,61.0,53.0,50.0,62.0
3093,0.0,44.0,2.0,19.0,75.0,1.0,20.0,53.0,111.0,36.0,29.0,32.0,26.0,10.0,27.0,34.0,31.0,144.0,124.0,66.0,25.0,48.0,18.0,49.0,46.0,21.0,47.0,60.0,61.0,51.0
3142,0.0,79.0,7.0,6.0,35.0,4.0,160.0,57.0,38.0,44.0,36.0,23.0,3.0,1.0,25.0,31.0,119.0,141.0,43.0,39.0,62.0,18.0,17.0,51.0,46.0,52.0,48.0,45.0,53.0,54.0
3191,2.0,0.0,9.0,15.0,11.0,8.0,161.0,13.0,110.0,35.0,7.0,3.0,114.0,33.0,32.0,31.0,28.0,29.0,26.0,64.0,63.0,49.0,43.0,51.0,42.0,52.0,58.0,41.0,53.0,54.0
3240,3.0,22.0,0.0,1.0,37.0,21.0,148.0,60.0,23.0,2.0,38.0,56.0,26.0,75.0,32.0,122.0,120.0,39.0,42.0,31.0,66.0,52.0,43.0,53.0,47.0,54.0,59.0,45.0,55.0,7.0
3289,4.0,25.0,3.0,0.0,36.0,14.0,148.0,49.0,26.0,6.0,32.0,57.0,117.0,41.0,59.0,35.0,33.0,2.0,116.0,65.0,54.0,43.0,16.0,44.0,92.0,18.0,42.0,68.0,45.0,47.0
3338,17.0,34.0,5.0,0.0,26.0,10.0,16.0,50.0,9.0,8.0,6.0,54.0,116.0,15.0,32.0,121.0,33.0,2.0,28.0,31.0,64.0,51.0,49.0,58.0,57.0,23.0,48.0,46.0,55.0,56.0
3387,7.0,1.0,3.0,14.0,8.0,150.0,160.0,18.0,22.0,2.0,6.0,57.0,29.0,73.0,54.0,28.0,0.0,141.0,115.0,25.0,32.0,58.0,9.0,47.0,39.0,15.0,45.0,44.0,48.0,49.0
3436,2.0,8.0,0.0,11.0,10.0,106.0,4.0,29.0,34.0,13.0,33.0,52.0,89.0,86.0,6.0,9.0,35.0,19.0,36.0,73.0,72.0,64.0,49.0,12.0,48.0,62.0,50.0,47.0,61.0,60.0
3485,6.0,3.0,24.0,9.0,1.0,23.0,147.0,51.0,96.0,29.0,5.0,10.0,30.0,0.0,31.0,122.0,7.0,17.0,34.0,39.0,64.0,21.0,57.0,42.0,59.0,43.0,40.0,91.0,44.0,58.0
3534,6.0,7.0,0.0,1.0,72.0,17.0,15.0,16.0,4.0,68.0,30.0,58.0,8.0,75.0,37.0,38.0,117.0,35.0,114.0,64.0,63.0,50.0,46.0,13.0,45.0,55.0,47.0,44.0,56.0,54.0
3583,5.0,0.0,3.0,14.0,76.0,154.0,25.0,42.0,95.0,33.0,37.0,10.0,8.0,72.0,16.0,6.0,116.0,15.0,29.0,60.0,31.0,24.0,62.0,43.0,61.0,41.0,75.0,87.0,38.0,44.0
3632,1.0,4.0,16.0,2.0,3.0,152.0,161.0,14.0,7.0,41.0,33.0,43.0,30.0,73.0,40.0,122.0,35.0,0.0,117.0,34.0,67.0,20.0,51.0,55.0,50.0,56.0,60.0,48.0,61.0,17.0
3681,2.0,7.0,0.0,3.0,35.0,24.0,15.0,13.0,5.0,30.0,27.0,17.0,26.0,68.0,28.0,121.0,117.0,36.0,29.0,62.0,31.0,41.0,44.0,18.0,55.0,40.0,43.0,89.0,56.0,47.0
3730,1.0,8.0,6.0,11.0,5.0,16.0,0.0,46.0,25.0,3.0,2.0,21.0,113.0,47.0,22.0,7.0,117.0,137.0,29.0,42.0,33.0,19.0,50.0,38.0,60.0,39.0,43.0,62.0,41.0,45.0
3779,2.0,18.0,4.0,0.0,3.0,155.0,22.0,23.0,13.0,5.0,6.0,10.0,112.0,7.0,8.0,1.0,27.0,12.0,9.0,30.0,37.0,40.0,24.0,39.0,61.0,43.0,59.0,60.0,38.0,11.0
3828,3.0,1.0,0.0,21.0,23.0,154.0,40.0,48.0,6.0,37.0,30.0,24.0,28.0,10.0,38.0,7.0,118.0,15.0,115.0,66.0,65.0,41.0,31.0,20.0,43.0,58.0,17.0,42.0,45.0,46.0
3877,16.0,2.0,1.0,14.0,71.0,154.0,11.0,55.0,25.0,6.0,116.0,40.0,5.0,74.0,30.0,0.0,118.0,4.0,114.0,64.0,35.0,45.0,43.0,47.0,41.0,12.0,44.0,57.0,52.0,9.0
3926,3.0,27.0,8.0,7.0,37.0,151.0,19.0,2.0,110.0,31.0,0.0,24.0,124.0,92.0,61.0,35.0,122.0,141.0,36.0,46.0,43.0,21.0,47.0,45.0,49.0,48.0,44.0,66.0,50.0,65.0
3975,6.0,4.0,7.0,103.0,1.0,151.0,2.0,12.0,8.0,40.0,31.0,14.0,29.0,5.0,56.0,120.0,33.0,135.0,114.0,64.0,32.0,48.0,46.0,49.0,45.0,50.0,47.0,43.0,16.0,54.0
4024,12.0,7.0,10.0,11.0,6.0,153.0,21.0,23.0,30.0,39.0,4.0,9.0,37.0,67.0,53.0,5.0,120.0,24.0,38.0,0.0,34.0,19.0,3.0,42.0,47.0,43.0,41.0,77.0,44.0,22.0
4073,14.0,1.0,6.0,13.0,28.0,152.0,146.0,44.0,0.0,40.0,2.0,9.0,3.0,64.0,53.0,29.0,119.0,135.0,11.0,7.0,45.0,41.0,47.0,4.0,60.0,38.0,42.0,90.0,43.0,36.0
4122,0.0,8.0,4.0,21.0,97.0,11.0,161.0,22.0,37.0,30.0,1.0,7.0,39.0,28.0,20.0,38.0,43.0,150.0,5.0,73.0,72.0,24.0,52.0,23.0,25.0,56.0,54.0,65.0,57.0,58.0
4171,8.0,7.0,0.0,2.0,83.0,13.0,17.0,59.0,36.0,77.0,4.0,24.0,5.0,27.0,23.0,1.0,163.0,150.0,35.0,73.0,72.0,53.0,51.0,54.0,65.0,55.0,25.0,40.0,56.0,57.0
4220,20.0,0.0,4.0,11.0,34.0,8.0,161.0,1.0,2.0,5.0,115.0,17.0,26.0,72.0,53.0,36.0,31.0,136.0,25.0,33.0,63.0,47.0,45.0,58.0,44.0,10.0,46.0,43.0,50.0,51.0
4269,18.0,10.0,24.0,102.0,56.0,1.0,161.0,47.0,8.0,4.0,117.0,55.0,31.0,49.0,58.0,34.0,27.0,17.0,30.0,32.0,91.0,41.0,39.0,20.0,38.0,43.0,40.0,63.0,44.0,45.0
4318,2.0,4.0,0.0,107.0,1.0,12.0,19.0,53.0,96.0,8.0,5.0,59.0,115.0,28.0,22.0,121.0,29.0,145.0,114.0,46.0,30.0,43.0,62.0,45.0,63.0,18.0,14.0,90.0,49.0,60.0
4367,13.0,30.0,1.0,19.0,83.0,16.0,22.0,25.0,36.0,2.0,42.0,4.0,5.0,80.0,28.0,33.0,118.0,135.0,39.0,35.0,52.0,50.0,53.0,46.0,17.0,23.0,47.0,65.0,48.0,49.0
4416,0.0,10.0,15.0,6.0,1.0,153.0,162.0,51.0,7.0,32.0,30.0,8.0,37.0,72.0,2.0,4.0,35.0,138.0,117.0,36.0,25.0,45.0,40.0,47.0,41.0,46.0,44.0,43.0,48.0,49.0
4465,20.0,1.0,38.0,21.0,5.0,156.0,6.0,10.0,11.0,32.0,7.0,52.0,117.0,39.0,30.0,124.0,127.0,136.0,4.0,65.0,64.0,15.0,41.0,57.0,42.0,44.0,40.0,47.0,45.0,46.0
4514,0.0,93.0,3.0,98.0,1.0,153.0,16.0,61.0,107.0,33.0,36.0,51.0,124.0,76.0,47.0,35.0,31.0,141.0,34.0,67.0,43.0,15.0,44.0,52.0,24.0,53.0,45.0,49.0,56.0,57.0
4563,12.0,28.0,4.0,11.0,1.0,17.0,5.0,44.0,0.0,6.0,35.0,51.0,115.0,68.0,24.0,2.0,126.0,3.0,114.0,31.0,30.0,18.0,76.0,40.0,62.0,45.0,61.0,63.0,46.0,42.0
4612,5.0,1.0,14.0,105.0,2.0,23.0,18.0,12.0,8.0,6.0,33.0,36.0,30.0,74.0,4.0,34.0,118.0,136.0,115.0,28.0,41.0,46.0,45.0,59.0,42.0,47.0,3.0,43.0,51.0,52.0
4661,0.0,4.0,6.0,7.0,3.0,1.0,147.0,18.0,97.0,28.0,27.0,2.0,116.0,59.0,30.0,35.0,120.0,34.0,26.0,8.0,10.0,15.0,46.0,50.0,45.0,51.0,14.0,44.0,52.0,53.0
4710,3.0,40.0,12.0,2.0,45.0,22.0,150.0,58.0,26.0,0.0,33.0,56.0,31.0,77.0,50.0,119.0,39.0,4.0,124.0,69.0,29.0,18.0,53.0,55.0,52.0,60.0,62.0,48.0,11.0,54.0
4759,25.0,2.0,22.0,6.0,65.0,7.0,21.0,9.0,105.0,34.0,3.0,55.0,123.0,62.0,56.0,1.0,120.0,33.0,124.0,72.0,73.0,45.0,42.0,46.0,43.0,47.0,58.0,38.0,44.0,48.0
4808,1.0,12.0,5.0,29.0,3.0,153.0,18.0,19.0,39.0,34.0,44.0,21.0,118.0,32.0,25.0,0.0,4.0,145.0,117.0,59.0,38.0,54.0,67.0,50.0,14.0,45.0,17.0,13.0,46.0,47.0
4857,3.0,26.0,10.0,1.0,43.0,151.0,148.0,51.0,27.0,4.0,0.0,57.0,30.0,15.0,22.0,121.0,118.0,138.0,34.0,32.0,47.0,50.0,49.0,44.0,55.0,45.0,17.0,64.0,46.0,19.0
