, JAK-STAT, MAPK_PI3K, TNFa, VEGF, H2O2, TLR, IL-1, MAPK_only, PI3K_only, Wnt, TGFB
1119,4.0,6.0,3.0,2.0,1.0,0.0,7.0,8.0,5.0,10.0,9.0
1168,4.0,0.0,5.0,9.0,8.0,2.0,6.0,7.0,1.0,3.0,10.0
1217,1.0,6.0,4.0,2.0,5.0,3.0,0.0,7.0,8.0,9.0,10.0
1266,1.0,2.0,6.0,3.0,0.0,5.0,8.0,4.0,7.0,9.0,10.0
1315,0.0,7.0,3.0,4.0,5.0,9.0,1.0,6.0,8.0,2.0,10.0
1364,0.0,1.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,3.0,10.0
1413,0.0,6.0,3.0,4.0,1.0,2.0,5.0,10.0,9.0,8.0,7.0
1462,7.0,3.0,1.0,5.0,6.0,0.0,2.0,9.0,4.0,10.0,8.0
1511,7.0,2.0,0.0,5.0,1.0,3.0,8.0,9.0,4.0,6.0,10.0
1560,3.0,0.0,9.0,7.0,1.0,5.0,4.0,2.0,8.0,10.0,6.0
1609,7.0,1.0,2.0,0.0,6.0,3.0,9.0,8.0,4.0,10.0,5.0
1658,6.0,3.0,8.0,1.0,9.0,0.0,2.0,7.0,4.0,5.0,10.0
1707,2.0,1.0,6.0,4.0,9.0,0.0,7.0,10.0,3.0,5.0,8.0
1756,3.0,7.0,1.0,0.0,4.0,2.0,6.0,5.0,8.0,9.0,10.0
1805,2.0,7.0,3.0,4.0,6.0,0.0,9.0,1.0,8.0,5.0,10.0
1854,3.0,2.0,1.0,8.0,0.0,6.0,5.0,4.0,9.0,10.0,7.0
1903,4.0,0.0,1.0,6.0,9.0,5.0,8.0,2.0,7.0,3.0,10.0
1952,3.0,0.0,1.0,6.0,8.0,5.0,2.0,9.0,4.0,7.0,10.0
2001,0.0,2.0,1.0,5.0,3.0,10.0,9.0,4.0,6.0,7.0,8.0
2050,3.0,7.0,5.0,2.0,0.0,1.0,6.0,4.0,8.0,10.0,9.0
2099,2.0,3.0,0.0,1.0,10.0,4.0,5.0,6.0,7.0,9.0,8.0
2148,0.0,7.0,4.0,1.0,3.0,8.0,5.0,6.0,9.0,2.0,10.0
2197,0.0,3.0,4.0,2.0,8.0,1.0,9.0,6.0,7.0,5.0,10.0
2246,7.0,1.0,5.0,6.0,3.0,10.0,0.0,9.0,2.0,8.0,4.0
2295,1.0,2.0,7.0,0.0,3.0,9.0,4.0,8.0,5.0,10.0,6.0
2344,3.0,4.0,2.0,0.0,1.0,6.0,7.0,5.0,9.0,10.0,8.0
2393,0.0,5.0,8.0,9.0,10.0,2.0,4.0,1.0,6.0,3.0,7.0
2442,0.0,1.0,5.0,10.0,7.0,4.0,8.0,2.0,3.0,6.0,9.0
2491,0.0,1.0,2.0,3.0,6.0,7.0,9.0,5.0,8.0,4.0,10.0
2540,4.0,0.0,1.0,7.0,2.0,5.0,3.0,9.0,10.0,8.0,6.0
2589,0.0,4.0,2.0,1.0,3.0,10.0,5.0,8.0,6.0,9.0,7.0
2638,5.0,2.0,0.0,7.0,3.0,6.0,4.0,1.0,10.0,9.0,8.0
2687,3.0,0.0,2.0,4.0,9.0,5.0,1.0,6.0,7.0,8.0,10.0
2736,5.0,0.0,1.0,7.0,3.0,9.0,4.0,6.0,2.0,8.0,10.0
2785,7.0,0.0,2.0,3.0,5.0,1.0,6.0,10.0,4.0,9.0,8.0
2834,0.0,1.0,3.0,6.0,5.0,10.0,2.0,9.0,8.0,7.0,4.0
2883,5.0,3.0,8.0,2.0,0.0,6.0,4.0,10.0,1.0,9.0,7.0
2932,1.0,2.0,0.0,7.0,5.0,8.0,6.0,3.0,9.0,10.0,4.0
2981,7.0,3.0,1.0,6.0,5.0,2.0,9.0,0.0,4.0,10.0,8.0
3030,1.0,2.0,3.0,4.0,5.0,0.0,7.0,10.0,6.0,8.0,9.0
3079,0.0,9.0,3.0,1.0,4.0,2.0,5.0,8.0,6.0,7.0,10.0
3128,0.0,5.0,7.0,9.0,1.0,3.0,10.0,2.0,4.0,6.0,8.0
3177,3.0,2.0,4.0,0.0,1.0,7.0,9.0,6.0,8.0,5.0,10.0
3226,2.0,3.0,5.0,1.0,6.0,0.0,7.0,8.0,4.0,9.0,10.0
3275,0.0,8.0,6.0,3.0,4.0,1.0,7.0,2.0,5.0,9.0,10.0
3324,7.0,2.0,4.0,1.0,10.0,0.0,6.0,3.0,5.0,9.0,8.0
3373,5.0,3.0,1.0,0.0,2.0,7.0,4.0,9.0,6.0,8.0,10.0
3422,5.0,6.0,4.0,1.0,2.0,7.0,8.0,3.0,0.0,10.0,9.0
3471,2.0,1.0,4.0,5.0,6.0,0.0,8.0,3.0,7.0,10.0,9.0
3520,4.0,3.0,5.0,2.0,6.0,0.0,9.0,1.0,7.0,8.0,10.0
3569,8.0,0.0,2.0,3.0,4.0,6.0,10.0,1.0,7.0,9.0,5.0
3618,3.0,1.0,8.0,7.0,6.0,4.0,10.0,0.0,2.0,9.0,5.0
3667,5.0,6.0,3.0,8.0,4.0,0.0,9.0,7.0,1.0,10.0,2.0
3716,6.0,7.0,5.0,8.0,2.0,0.0,10.0,1.0,3.0,9.0,4.0
3765,9.0,2.0,1.0,5.0,3.0,0.0,6.0,4.0,7.0,8.0,10.0
3814,5.0,0.0,4.0,6.0,7.0,3.0,9.0,1.0,2.0,8.0,10.0
3863,5.0,0.0,3.0,6.0,4.0,2.0,9.0,1.0,7.0,10.0,8.0
3912,7.0,0.0,2.0,3.0,6.0,4.0,9.0,1.0,5.0,10.0,8.0
3961,3.0,1.0,2.0,0.0,8.0,6.0,9.0,4.0,5.0,10.0,7.0
4010,0.0,3.0,5.0,8.0,1.0,7.0,9.0,6.0,4.0,2.0,10.0
4059,3.0,7.0,0.0,1.0,2.0,8.0,5.0,4.0,9.0,6.0,10.0
4108,3.0,6.0,9.0,2.0,5.0,7.0,10.0,4.0,0.0,1.0,8.0
4157,1.0,7.0,4.0,2.0,3.0,0.0,6.0,9.0,8.0,5.0,10.0
4206,3.0,4.0,6.0,0.0,2.0,7.0,10.0,1.0,8.0,5.0,9.0
4255,6.0,7.0,0.0,1.0,5.0,9.0,2.0,8.0,3.0,4.0,10.0
4304,0.0,2.0,3.0,4.0,8.0,9.0,1.0,6.0,7.0,5.0,10.0
4353,4.0,5.0,1.0,2.0,3.0,8.0,7.0,0.0,9.0,10.0,6.0
4402,0.0,4.0,1.0,5.0,6.0,9.0,2.0,3.0,10.0,8.0,7.0
4451,0.0,6.0,4.0,3.0,5.0,2.0,1.0,9.0,7.0,8.0,10.0
4500,0.0,3.0,1.0,6.0,8.0,4.0,2.0,5.0,7.0,9.0,10.0
4549,0.0,6.0,1.0,2.0,8.0,7.0,5.0,9.0,3.0,4.0,10.0
4598,1.0,5.0,9.0,0.0,3.0,7.0,6.0,4.0,2.0,10.0,8.0
4647,2.0,1.0,7.0,0.0,8.0,5.0,4.0,10.0,9.0,3.0,6.0
4696,2.0,5.0,9.0,0.0,4.0,3.0,1.0,7.0,6.0,10.0,8.0
4745,9.0,6.0,0.0,1.0,2.0,7.0,8.0,3.0,4.0,5.0,10.0
4794,0.0,2.0,1.0,4.0,8.0,3.0,5.0,7.0,6.0,10.0,9.0
4843,1.0,2.0,5.0,8.0,9.0,10.0,0.0,3.0,7.0,6.0,4.0
4892,1.0,5.0,0.0,8.0,6.0,3.0,2.0,7.0,4.0,9.0,10.0
