,CDK1,MSH6,HSP70,MIG-6,Beclin,P-Cadherin,C-Raf_pS338,Myosin IIa pS1943,MAPK_pT202_Y204,GSK-3-BETA,MEK1_pS217_S221,STAT5-alpha,Caspase-7_cleavedD198,IRS1,Cyclin_D1,TIGAR,SHP-2_pY542,AMPK_pT172,Porin,p38_MAPK,p38_pT180_Y182,CD49b,p90RSK_pT359_S363,YB-1_pS102,Shc_pY317,Cyclin_B1,p53,Bcl-2,Rb_pS807_S811,p90RSK_pT573
688,0.0,10.0,18.0,5.0,4.0,3.0,14.0,20.0,30.0,6.0,22.0,8.0,9.0,29.0,2.0,1.0,7.0,13.0,19.0,27.0,35.0,15.0,50.0,25.0,23.0,12.0,36.0,53.0,26.0,58.0
737,1.0,2.0,10.0,0.0,5.0,23.0,15.0,12.0,29.0,9.0,4.0,25.0,26.0,3.0,14.0,8.0,7.0,58.0,27.0,43.0,13.0,64.0,24.0,30.0,36.0,16.0,11.0,31.0,41.0,38.0
786,4.0,17.0,7.0,0.0,2.0,8.0,23.0,1.0,5.0,31.0,13.0,21.0,3.0,16.0,36.0,32.0,19.0,14.0,55.0,35.0,25.0,15.0,39.0,27.0,30.0,24.0,71.0,37.0,12.0,34.0
835,0.0,5.0,6.0,1.0,8.0,45.0,3.0,13.0,23.0,14.0,16.0,2.0,15.0,10.0,12.0,9.0,4.0,22.0,49.0,27.0,34.0,29.0,60.0,40.0,11.0,18.0,21.0,53.0,42.0,28.0
884,1.0,3.0,6.0,2.0,5.0,10.0,8.0,16.0,28.0,14.0,11.0,12.0,62.0,21.0,4.0,9.0,18.0,26.0,53.0,23.0,15.0,0.0,19.0,24.0,38.0,45.0,34.0,32.0,13.0,30.0
933,0.0,24.0,5.0,6.0,23.0,2.0,13.0,22.0,50.0,28.0,9.0,1.0,4.0,21.0,18.0,11.0,19.0,17.0,25.0,8.0,36.0,14.0,46.0,10.0,33.0,15.0,27.0,39.0,34.0,37.0
982,1.0,3.0,10.0,20.0,5.0,0.0,2.0,9.0,4.0,6.0,27.0,7.0,31.0,65.0,8.0,12.0,32.0,24.0,22.0,26.0,13.0,11.0,18.0,33.0,15.0,45.0,53.0,14.0,36.0,19.0
1031,1.0,5.0,0.0,2.0,11.0,7.0,3.0,22.0,13.0,8.0,10.0,14.0,18.0,37.0,17.0,9.0,4.0,6.0,36.0,27.0,20.0,42.0,21.0,23.0,12.0,54.0,19.0,15.0,29.0,31.0
1080,1.0,7.0,8.0,5.0,2.0,3.0,11.0,26.0,9.0,0.0,4.0,15.0,19.0,30.0,20.0,13.0,21.0,6.0,14.0,45.0,29.0,57.0,37.0,33.0,66.0,42.0,83.0,17.0,10.0,41.0
1129,0.0,4.0,1.0,10.0,8.0,16.0,12.0,7.0,2.0,3.0,27.0,28.0,19.0,18.0,6.0,20.0,17.0,46.0,34.0,14.0,21.0,25.0,13.0,9.0,39.0,45.0,104.0,29.0,15.0,33.0
1178,2.0,11.0,0.0,8.0,4.0,1.0,3.0,25.0,5.0,17.0,10.0,14.0,13.0,37.0,19.0,22.0,7.0,6.0,46.0,34.0,18.0,50.0,15.0,45.0,27.0,33.0,20.0,24.0,16.0,43.0
1227,0.0,10.0,15.0,14.0,1.0,5.0,3.0,9.0,12.0,8.0,2.0,13.0,25.0,17.0,24.0,6.0,18.0,20.0,21.0,30.0,31.0,40.0,38.0,35.0,19.0,22.0,41.0,23.0,7.0,34.0
1276,0.0,4.0,11.0,17.0,13.0,5.0,2.0,1.0,10.0,6.0,9.0,3.0,19.0,12.0,26.0,8.0,24.0,23.0,36.0,28.0,25.0,30.0,42.0,18.0,35.0,45.0,55.0,15.0,32.0,31.0
1325,4.0,1.0,2.0,9.0,6.0,10.0,0.0,7.0,5.0,8.0,12.0,15.0,43.0,16.0,21.0,28.0,22.0,11.0,17.0,52.0,13.0,23.0,19.0,29.0,33.0,37.0,44.0,48.0,14.0,39.0
1374,3.0,0.0,7.0,10.0,9.0,1.0,4.0,15.0,8.0,2.0,13.0,23.0,5.0,27.0,35.0,18.0,12.0,6.0,19.0,29.0,16.0,17.0,21.0,34.0,33.0,28.0,57.0,24.0,22.0,51.0
1423,0.0,2.0,5.0,17.0,4.0,1.0,7.0,6.0,8.0,9.0,3.0,26.0,11.0,19.0,24.0,14.0,28.0,22.0,34.0,12.0,10.0,20.0,21.0,37.0,35.0,33.0,56.0,27.0,23.0,51.0
1472,1.0,14.0,9.0,5.0,11.0,2.0,21.0,6.0,18.0,7.0,0.0,19.0,3.0,16.0,10.0,20.0,15.0,13.0,42.0,4.0,17.0,52.0,25.0,12.0,33.0,8.0,35.0,68.0,38.0,39.0
1521,0.0,20.0,6.0,1.0,2.0,7.0,9.0,10.0,21.0,12.0,8.0,19.0,13.0,4.0,11.0,5.0,3.0,32.0,15.0,14.0,28.0,79.0,31.0,16.0,23.0,27.0,26.0,63.0,30.0,33.0
1570,0.0,10.0,1.0,7.0,12.0,5.0,62.0,15.0,11.0,2.0,3.0,4.0,8.0,14.0,9.0,6.0,16.0,34.0,43.0,18.0,20.0,59.0,23.0,26.0,45.0,19.0,25.0,50.0,27.0,21.0
1619,0.0,11.0,9.0,5.0,1.0,2.0,12.0,16.0,10.0,4.0,7.0,25.0,15.0,6.0,19.0,3.0,13.0,35.0,37.0,14.0,17.0,44.0,39.0,21.0,49.0,8.0,47.0,51.0,61.0,30.0
1668,0.0,20.0,1.0,2.0,9.0,4.0,40.0,8.0,5.0,10.0,3.0,17.0,7.0,13.0,12.0,6.0,14.0,45.0,52.0,15.0,48.0,27.0,26.0,16.0,18.0,23.0,51.0,28.0,22.0,19.0
1717,0.0,16.0,13.0,1.0,8.0,2.0,33.0,7.0,11.0,3.0,5.0,18.0,14.0,6.0,4.0,9.0,12.0,54.0,21.0,15.0,23.0,81.0,10.0,17.0,41.0,22.0,55.0,25.0,28.0,20.0
1766,1.0,12.0,3.0,0.0,6.0,10.0,27.0,19.0,9.0,5.0,4.0,13.0,8.0,14.0,11.0,23.0,2.0,63.0,54.0,22.0,26.0,45.0,17.0,24.0,20.0,25.0,18.0,90.0,15.0,33.0
1815,0.0,28.0,8.0,5.0,9.0,2.0,35.0,12.0,4.0,10.0,14.0,11.0,3.0,6.0,42.0,7.0,20.0,31.0,27.0,41.0,1.0,56.0,18.0,15.0,40.0,16.0,53.0,49.0,17.0,19.0
1864,0.0,6.0,9.0,3.0,2.0,1.0,27.0,21.0,12.0,4.0,8.0,19.0,7.0,11.0,14.0,5.0,10.0,17.0,26.0,48.0,28.0,24.0,30.0,16.0,23.0,18.0,15.0,22.0,46.0,25.0
1913,1.0,10.0,3.0,0.0,4.0,5.0,14.0,9.0,11.0,6.0,2.0,21.0,35.0,30.0,8.0,13.0,12.0,57.0,16.0,7.0,33.0,58.0,39.0,20.0,36.0,15.0,17.0,18.0,27.0,40.0
1962,3.0,0.0,9.0,2.0,12.0,7.0,4.0,5.0,13.0,17.0,14.0,1.0,22.0,24.0,36.0,32.0,6.0,8.0,19.0,50.0,21.0,31.0,79.0,28.0,16.0,29.0,23.0,80.0,11.0,54.0
2011,0.0,1.0,8.0,2.0,4.0,20.0,14.0,6.0,21.0,36.0,29.0,5.0,31.0,17.0,9.0,33.0,11.0,24.0,35.0,12.0,40.0,49.0,18.0,7.0,25.0,43.0,63.0,13.0,3.0,15.0
2060,0.0,4.0,5.0,2.0,7.0,10.0,13.0,15.0,21.0,64.0,31.0,1.0,8.0,6.0,11.0,17.0,26.0,12.0,43.0,46.0,23.0,22.0,52.0,25.0,14.0,16.0,9.0,27.0,3.0,20.0
2109,2.0,5.0,8.0,3.0,7.0,0.0,1.0,10.0,21.0,43.0,32.0,4.0,12.0,37.0,11.0,23.0,20.0,13.0,6.0,19.0,22.0,26.0,36.0,29.0,16.0,25.0,34.0,40.0,14.0,31.0
2158,0.0,4.0,12.0,1.0,3.0,2.0,5.0,7.0,34.0,36.0,10.0,14.0,8.0,40.0,24.0,11.0,16.0,13.0,18.0,35.0,55.0,26.0,29.0,9.0,31.0,46.0,15.0,27.0,25.0,51.0
2207,0.0,6.0,1.0,2.0,4.0,5.0,8.0,10.0,23.0,19.0,21.0,13.0,17.0,3.0,30.0,16.0,9.0,11.0,44.0,48.0,40.0,22.0,47.0,7.0,20.0,39.0,27.0,15.0,12.0,18.0
2256,0.0,4.0,7.0,1.0,8.0,5.0,2.0,3.0,12.0,11.0,33.0,6.0,24.0,18.0,13.0,23.0,19.0,39.0,27.0,30.0,45.0,35.0,56.0,9.0,29.0,54.0,16.0,20.0,14.0,17.0
2305,0.0,3.0,7.0,1.0,2.0,10.0,11.0,5.0,9.0,8.0,24.0,6.0,13.0,16.0,21.0,17.0,18.0,56.0,27.0,49.0,38.0,14.0,41.0,12.0,22.0,39.0,20.0,26.0,4.0,32.0
2354,0.0,1.0,5.0,6.0,4.0,16.0,2.0,7.0,23.0,51.0,8.0,13.0,12.0,15.0,42.0,41.0,14.0,27.0,17.0,29.0,26.0,20.0,40.0,24.0,25.0,19.0,21.0,22.0,3.0,55.0
2403,0.0,1.0,7.0,2.0,5.0,4.0,3.0,9.0,25.0,52.0,32.0,6.0,35.0,8.0,51.0,14.0,10.0,33.0,30.0,23.0,59.0,13.0,56.0,24.0,17.0,15.0,20.0,12.0,11.0,28.0
2452,8.0,1.0,0.0,10.0,2.0,24.0,4.0,7.0,5.0,20.0,3.0,30.0,32.0,34.0,35.0,55.0,54.0,12.0,38.0,9.0,31.0,6.0,42.0,87.0,60.0,29.0,59.0,11.0,28.0,25.0
2501,1.0,30.0,7.0,6.0,0.0,3.0,13.0,5.0,12.0,16.0,55.0,4.0,15.0,11.0,44.0,35.0,60.0,25.0,36.0,22.0,40.0,2.0,19.0,52.0,91.0,27.0,85.0,14.0,21.0,10.0
2550,3.0,0.0,9.0,6.0,25.0,2.0,11.0,1.0,8.0,7.0,28.0,12.0,21.0,59.0,17.0,62.0,55.0,31.0,4.0,23.0,36.0,13.0,24.0,89.0,75.0,38.0,22.0,19.0,5.0,18.0
2599,1.0,0.0,2.0,3.0,6.0,4.0,10.0,5.0,38.0,42.0,36.0,7.0,34.0,8.0,30.0,52.0,53.0,26.0,23.0,14.0,20.0,11.0,15.0,59.0,50.0,19.0,21.0,17.0,16.0,56.0
2648,0.0,11.0,1.0,18.0,7.0,4.0,3.0,2.0,14.0,13.0,6.0,10.0,27.0,9.0,46.0,48.0,53.0,34.0,24.0,21.0,29.0,22.0,52.0,63.0,45.0,50.0,51.0,37.0,8.0,31.0
2697,2.0,14.0,4.0,12.0,8.0,0.0,10.0,6.0,7.0,54.0,20.0,11.0,15.0,41.0,38.0,47.0,58.0,28.0,5.0,1.0,31.0,3.0,42.0,68.0,74.0,32.0,16.0,40.0,9.0,33.0
2746,0.0,8.0,3.0,2.0,1.0,5.0,11.0,18.0,19.0,41.0,13.0,17.0,31.0,21.0,7.0,45.0,33.0,15.0,23.0,10.0,58.0,20.0,40.0,85.0,39.0,36.0,42.0,16.0,6.0,37.0
2795,0.0,12.0,2.0,4.0,6.0,7.0,5.0,1.0,14.0,10.0,21.0,36.0,37.0,16.0,31.0,42.0,59.0,39.0,22.0,15.0,33.0,3.0,9.0,74.0,48.0,20.0,29.0,19.0,25.0,18.0
2844,1.0,4.0,6.0,0.0,3.0,5.0,20.0,2.0,11.0,33.0,25.0,16.0,17.0,10.0,27.0,71.0,41.0,31.0,49.0,26.0,35.0,19.0,32.0,57.0,62.0,30.0,13.0,7.0,18.0,15.0
2893,3.0,6.0,4.0,0.0,5.0,22.0,33.0,2.0,20.0,59.0,12.0,13.0,38.0,10.0,42.0,45.0,50.0,44.0,19.0,9.0,15.0,7.0,62.0,68.0,56.0,32.0,21.0,16.0,18.0,31.0
2942,1.0,0.0,5.0,21.0,7.0,14.0,20.0,9.0,3.0,8.0,11.0,10.0,18.0,44.0,24.0,22.0,17.0,78.0,6.0,47.0,4.0,43.0,27.0,25.0,12.0,28.0,91.0,16.0,13.0,74.0
2991,2.0,1.0,8.0,10.0,4.0,0.0,9.0,19.0,3.0,7.0,6.0,14.0,11.0,16.0,22.0,18.0,23.0,17.0,29.0,21.0,36.0,5.0,50.0,51.0,24.0,33.0,35.0,25.0,31.0,39.0
3040,4.0,0.0,1.0,17.0,2.0,13.0,6.0,12.0,7.0,11.0,15.0,5.0,35.0,44.0,8.0,9.0,40.0,38.0,39.0,25.0,21.0,10.0,50.0,62.0,16.0,34.0,103.0,19.0,33.0,36.0
3089,11.0,2.0,1.0,3.0,9.0,16.0,5.0,18.0,12.0,6.0,13.0,20.0,4.0,22.0,7.0,48.0,8.0,36.0,15.0,27.0,17.0,10.0,67.0,35.0,19.0,30.0,76.0,32.0,46.0,44.0
3138,8.0,1.0,5.0,2.0,0.0,6.0,14.0,7.0,12.0,3.0,9.0,17.0,36.0,28.0,16.0,23.0,11.0,54.0,22.0,69.0,18.0,15.0,50.0,32.0,13.0,43.0,66.0,46.0,56.0,31.0
3187,1.0,2.0,0.0,5.0,9.0,14.0,4.0,24.0,3.0,12.0,6.0,10.0,13.0,22.0,30.0,11.0,15.0,35.0,17.0,21.0,36.0,65.0,27.0,19.0,29.0,38.0,45.0,48.0,37.0,8.0
3236,6.0,1.0,0.0,17.0,4.0,3.0,7.0,16.0,9.0,2.0,13.0,8.0,18.0,41.0,14.0,42.0,21.0,20.0,11.0,22.0,5.0,15.0,45.0,34.0,10.0,43.0,73.0,23.0,28.0,54.0
3285,1.0,7.0,3.0,11.0,8.0,6.0,23.0,16.0,18.0,22.0,4.0,9.0,0.0,57.0,17.0,20.0,19.0,54.0,15.0,2.0,5.0,14.0,47.0,61.0,10.0,58.0,48.0,27.0,32.0,62.0
3334,1.0,3.0,0.0,8.0,10.0,13.0,4.0,20.0,2.0,5.0,15.0,7.0,12.0,46.0,30.0,21.0,9.0,42.0,14.0,41.0,33.0,22.0,49.0,57.0,16.0,28.0,19.0,39.0,35.0,23.0
3383,0.0,1.0,8.0,7.0,23.0,12.0,22.0,31.0,5.0,14.0,19.0,10.0,24.0,13.0,4.0,28.0,25.0,66.0,21.0,18.0,2.0,3.0,36.0,53.0,16.0,29.0,40.0,33.0,20.0,9.0
3432,4.0,2.0,0.0,1.0,15.0,3.0,11.0,8.0,5.0,17.0,39.0,10.0,6.0,9.0,7.0,35.0,43.0,18.0,21.0,13.0,12.0,34.0,14.0,23.0,42.0,41.0,16.0,25.0,20.0,38.0
3481,3.0,0.0,1.0,4.0,10.0,2.0,6.0,8.0,5.0,11.0,32.0,12.0,7.0,28.0,22.0,9.0,30.0,14.0,23.0,15.0,19.0,33.0,18.0,26.0,38.0,31.0,87.0,60.0,79.0,16.0
3530,2.0,3.0,1.0,4.0,13.0,0.0,5.0,9.0,7.0,26.0,51.0,36.0,15.0,24.0,6.0,25.0,34.0,18.0,48.0,8.0,11.0,12.0,14.0,22.0,23.0,19.0,29.0,35.0,42.0,31.0
3579,3.0,0.0,1.0,2.0,7.0,4.0,5.0,6.0,8.0,13.0,56.0,18.0,44.0,11.0,25.0,31.0,17.0,9.0,15.0,39.0,54.0,46.0,27.0,36.0,28.0,24.0,16.0,26.0,68.0,22.0
3628,5.0,1.0,2.0,8.0,16.0,6.0,3.0,11.0,4.0,10.0,25.0,18.0,7.0,0.0,14.0,24.0,52.0,21.0,45.0,47.0,15.0,104.0,9.0,39.0,29.0,28.0,12.0,31.0,61.0,17.0
3677,4.0,3.0,2.0,1.0,9.0,0.0,10.0,15.0,6.0,18.0,12.0,43.0,31.0,5.0,21.0,7.0,16.0,17.0,62.0,66.0,13.0,63.0,42.0,19.0,8.0,22.0,32.0,20.0,46.0,33.0
3726,5.0,0.0,2.0,3.0,4.0,1.0,10.0,16.0,7.0,14.0,18.0,8.0,23.0,13.0,15.0,17.0,60.0,11.0,57.0,21.0,42.0,47.0,25.0,30.0,49.0,9.0,45.0,35.0,71.0,22.0
3775,0.0,9.0,8.0,5.0,12.0,1.0,7.0,4.0,6.0,3.0,16.0,14.0,2.0,11.0,34.0,10.0,29.0,15.0,28.0,20.0,36.0,25.0,19.0,30.0,24.0,13.0,52.0,40.0,46.0,48.0
3824,5.0,3.0,0.0,6.0,14.0,2.0,1.0,8.0,10.0,21.0,30.0,7.0,22.0,4.0,19.0,29.0,17.0,15.0,61.0,20.0,38.0,39.0,12.0,11.0,13.0,16.0,70.0,35.0,52.0,44.0
3873,9.0,4.0,2.0,0.0,11.0,1.0,5.0,20.0,3.0,18.0,7.0,33.0,57.0,6.0,8.0,29.0,35.0,24.0,50.0,45.0,10.0,25.0,12.0,15.0,21.0,13.0,27.0,37.0,48.0,31.0
3922,1.0,0.0,9.0,25.0,10.0,13.0,29.0,5.0,22.0,36.0,18.0,8.0,4.0,2.0,3.0,6.0,28.0,11.0,12.0,14.0,33.0,59.0,15.0,53.0,19.0,26.0,7.0,60.0,93.0,38.0
3971,2.0,0.0,4.0,1.0,5.0,36.0,6.0,3.0,32.0,10.0,19.0,22.0,44.0,7.0,11.0,8.0,21.0,25.0,15.0,12.0,39.0,28.0,23.0,17.0,16.0,14.0,9.0,49.0,69.0,20.0
4020,1.0,0.0,4.0,6.0,12.0,15.0,10.0,7.0,31.0,30.0,28.0,18.0,11.0,5.0,2.0,13.0,19.0,38.0,21.0,23.0,16.0,20.0,33.0,39.0,24.0,45.0,8.0,25.0,22.0,34.0
4069,2.0,0.0,38.0,14.0,7.0,44.0,4.0,6.0,8.0,18.0,42.0,9.0,23.0,3.0,1.0,20.0,17.0,11.0,22.0,24.0,10.0,31.0,39.0,40.0,5.0,19.0,12.0,34.0,61.0,16.0
4118,7.0,0.0,5.0,10.0,35.0,13.0,3.0,2.0,41.0,12.0,25.0,4.0,19.0,1.0,6.0,14.0,31.0,22.0,17.0,28.0,11.0,33.0,27.0,45.0,29.0,30.0,21.0,54.0,91.0,9.0
4167,5.0,0.0,9.0,41.0,10.0,8.0,14.0,1.0,29.0,13.0,23.0,3.0,6.0,4.0,18.0,11.0,37.0,20.0,28.0,2.0,27.0,26.0,68.0,19.0,31.0,21.0,12.0,50.0,55.0,15.0
4216,1.0,0.0,16.0,19.0,22.0,29.0,10.0,2.0,44.0,39.0,36.0,13.0,8.0,6.0,4.0,5.0,9.0,59.0,38.0,14.0,24.0,12.0,21.0,20.0,7.0,11.0,3.0,28.0,55.0,37.0
4265,2.0,0.0,10.0,21.0,14.0,16.0,6.0,1.0,11.0,28.0,22.0,13.0,34.0,3.0,9.0,23.0,19.0,27.0,4.0,7.0,8.0,20.0,5.0,39.0,15.0,17.0,12.0,53.0,61.0,24.0
4314,8.0,1.0,2.0,17.0,4.0,9.0,16.0,7.0,13.0,27.0,12.0,18.0,20.0,0.0,3.0,11.0,15.0,22.0,6.0,25.0,5.0,28.0,38.0,19.0,33.0,37.0,30.0,29.0,48.0,10.0
4363,1.0,0.0,14.0,22.0,9.0,12.0,10.0,3.0,53.0,5.0,38.0,4.0,6.0,8.0,2.0,7.0,20.0,57.0,15.0,16.0,11.0,13.0,34.0,26.0,30.0,21.0,17.0,55.0,95.0,50.0
4412,4.0,6.0,3.0,0.0,12.0,5.0,7.0,15.0,35.0,9.0,20.0,24.0,2.0,13.0,21.0,25.0,38.0,1.0,14.0,41.0,36.0,32.0,11.0,22.0,51.0,60.0,40.0,19.0,63.0,8.0
4461,3.0,4.0,6.0,1.0,9.0,0.0,2.0,15.0,39.0,16.0,5.0,20.0,30.0,36.0,13.0,11.0,31.0,7.0,19.0,40.0,21.0,44.0,8.0,27.0,47.0,50.0,51.0,81.0,34.0,10.0
4510,0.0,6.0,4.0,5.0,7.0,3.0,13.0,25.0,32.0,8.0,12.0,9.0,2.0,18.0,19.0,14.0,44.0,1.0,21.0,37.0,10.0,35.0,11.0,24.0,60.0,28.0,52.0,30.0,33.0,38.0
4559,3.0,4.0,7.0,0.0,2.0,1.0,15.0,11.0,28.0,8.0,9.0,10.0,6.0,16.0,13.0,30.0,31.0,5.0,49.0,50.0,17.0,20.0,21.0,25.0,60.0,38.0,37.0,33.0,43.0,26.0
4608,2.0,4.0,1.0,0.0,6.0,3.0,8.0,17.0,40.0,7.0,10.0,16.0,9.0,24.0,11.0,14.0,20.0,5.0,33.0,21.0,51.0,22.0,15.0,12.0,34.0,39.0,13.0,19.0,50.0,31.0
4657,3.0,7.0,5.0,1.0,4.0,2.0,17.0,31.0,46.0,13.0,9.0,10.0,0.0,34.0,20.0,16.0,27.0,6.0,30.0,33.0,18.0,42.0,21.0,12.0,45.0,36.0,8.0,28.0,26.0,11.0
4706,3.0,1.0,11.0,6.0,18.0,0.0,4.0,15.0,70.0,8.0,7.0,32.0,14.0,29.0,31.0,20.0,22.0,2.0,9.0,26.0,5.0,24.0,10.0,12.0,38.0,33.0,16.0,21.0,61.0,23.0
4755,2.0,3.0,6.0,0.0,9.0,8.0,23.0,44.0,69.0,32.0,1.0,29.0,7.0,50.0,41.0,15.0,4.0,14.0,20.0,39.0,10.0,52.0,5.0,26.0,22.0,30.0,13.0,18.0,67.0,45.0
4804,3.0,8.0,5.0,1.0,4.0,2.0,10.0,12.0,46.0,18.0,9.0,17.0,0.0,42.0,39.0,24.0,26.0,11.0,14.0,30.0,19.0,13.0,15.0,35.0,49.0,37.0,36.0,25.0,22.0,44.0
4853,4.0,8.0,0.0,1.0,7.0,17.0,2.0,48.0,18.0,3.0,5.0,19.0,9.0,10.0,12.0,35.0,15.0,6.0,21.0,36.0,32.0,44.0,13.0,27.0,56.0,24.0,42.0,30.0,54.0,20.0
