,Bid,RAD51,Caveolin-1,Cyclin_D1,Rb,GSK3-alpha-beta_pS21_S9,GSK3_pS9,GATA3,GSK-3-BETA,MYH11,HSP70,Lck,Beclin,PRDX1,PKC-alpha,SHP-2_pY542,VEGFR2,Rictor_pT1135,PTEN,PI3K-p85,14-3-3_beta,Src_pY527,p27,Tuberin_pT1462,Smad4,PDK1,PEA15,P-Cadherin,Paxillin,PAI-1
4073,0.0,12.0,14.0,19.0,10.0,24.0,25.0,129.0,130.0,31.0,26.0,5.0,1.0,30.0,83.0,37.0,35.0,64.0,29.0,84.0,90.0,2.0,54.0,55.0,71.0,21.0,62.0,28.0,53.0,40.0
4122,27.0,6.0,14.0,10.0,5.0,22.0,23.0,129.0,7.0,9.0,135.0,2.0,95.0,76.0,81.0,0.0,48.0,66.0,1.0,11.0,28.0,73.0,24.0,45.0,69.0,60.0,61.0,52.0,18.0,42.0
4171,39.0,28.0,37.0,16.0,27.0,12.0,17.0,14.0,13.0,5.0,10.0,3.0,41.0,29.0,30.0,25.0,22.0,26.0,46.0,31.0,7.0,87.0,19.0,77.0,24.0,34.0,32.0,137.0,61.0,1.0
4220,9.0,13.0,4.0,15.0,12.0,22.0,23.0,131.0,20.0,127.0,3.0,2.0,98.0,14.0,6.0,66.0,37.0,11.0,30.0,17.0,91.0,82.0,57.0,53.0,36.0,63.0,87.0,25.0,19.0,54.0
4269,1.0,3.0,10.0,14.0,2.0,131.0,23.0,129.0,21.0,26.0,136.0,0.0,96.0,29.0,12.0,35.0,4.0,65.0,6.0,9.0,89.0,8.0,24.0,59.0,7.0,16.0,84.0,52.0,48.0,45.0
4318,115.0,0.0,21.0,16.0,7.0,160.0,159.0,134.0,12.0,18.0,6.0,10.0,5.0,46.0,42.0,29.0,2.0,27.0,25.0,24.0,8.0,86.0,19.0,3.0,30.0,57.0,23.0,135.0,59.0,60.0
4367,39.0,26.0,34.0,2.0,27.0,14.0,13.0,148.0,134.0,6.0,155.0,18.0,5.0,25.0,8.0,4.0,1.0,98.0,48.0,7.0,35.0,31.0,22.0,77.0,3.0,57.0,55.0,135.0,59.0,60.0
4416,8.0,7.0,1.0,14.0,66.0,157.0,18.0,17.0,159.0,30.0,4.0,5.0,2.0,27.0,25.0,29.0,71.0,11.0,28.0,31.0,0.0,9.0,67.0,16.0,85.0,56.0,6.0,99.0,58.0,59.0
4465,10.0,2.0,15.0,19.0,12.0,132.0,21.0,130.0,131.0,28.0,26.0,11.0,0.0,25.0,82.0,61.0,32.0,1.0,7.0,83.0,90.0,74.0,48.0,35.0,34.0,62.0,8.0,9.0,60.0,47.0
4514,5.0,14.0,4.0,18.0,2.0,131.0,6.0,136.0,130.0,1.0,9.0,26.0,30.0,78.0,20.0,33.0,37.0,67.0,73.0,86.0,28.0,83.0,52.0,31.0,38.0,62.0,23.0,55.0,45.0,44.0
4563,1.0,21.0,17.0,11.0,22.0,161.0,160.0,7.0,134.0,143.0,9.0,4.0,36.0,19.0,20.0,2.0,0.0,3.0,45.0,55.0,18.0,5.0,132.0,30.0,26.0,6.0,32.0,15.0,63.0,64.0
4612,0.0,4.0,10.0,9.0,6.0,24.0,5.0,23.0,137.0,30.0,135.0,27.0,102.0,1.0,16.0,37.0,3.0,12.0,11.0,18.0,17.0,38.0,57.0,35.0,2.0,67.0,90.0,62.0,53.0,43.0
4661,9.0,2.0,13.0,20.0,83.0,131.0,23.0,10.0,136.0,163.0,5.0,38.0,0.0,88.0,8.0,36.0,4.0,80.0,15.0,26.0,25.0,69.0,28.0,37.0,72.0,7.0,1.0,44.0,48.0,49.0
4710,2.0,0.0,9.0,151.0,6.0,7.0,133.0,130.0,131.0,90.0,24.0,1.0,97.0,17.0,16.0,30.0,29.0,68.0,26.0,8.0,10.0,31.0,4.0,60.0,32.0,89.0,88.0,54.0,51.0,46.0
4759,1.0,7.0,16.0,21.0,13.0,134.0,24.0,132.0,133.0,17.0,0.0,142.0,96.0,82.0,20.0,14.0,30.0,8.0,9.0,86.0,57.0,35.0,11.0,5.0,70.0,2.0,88.0,53.0,44.0,39.0
4808,0.0,21.0,22.0,15.0,18.0,131.0,132.0,12.0,130.0,89.0,137.0,33.0,26.0,1.0,9.0,27.0,30.0,17.0,84.0,36.0,2.0,3.0,37.0,8.0,71.0,46.0,24.0,5.0,48.0,49.0
4857,13.0,18.0,24.0,30.0,14.0,133.0,2.0,10.0,131.0,11.0,38.0,3.0,16.0,32.0,25.0,17.0,27.0,9.0,59.0,15.0,93.0,72.0,37.0,64.0,6.0,35.0,7.0,52.0,43.0,57.0
