,LARGE_INTESTINE,PANCREAS,SKIN,BREAST,LIVER,STOMACH,NERVOUS,HAEMATOPOIETIC,LUNG,OESOPHAGUS,URINARY,OVARY,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
635,0.0,1.0,3.0,2.0,16.0,6.0,7.0,4.0,10.0,8.0,9.0,5.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
684,1.0,2.0,3.0,0.0,6.0,4.0,7.0,8.0,10.0,5.0,11.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
733,1.0,2.0,0.0,3.0,5.0,6.0,7.0,4.0,9.0,8.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
782,1.0,0.0,2.0,3.0,5.0,6.0,7.0,4.0,10.0,8.0,11.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
831,1.0,0.0,2.0,5.0,3.0,6.0,7.0,4.0,8.0,10.0,20.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
880,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,11.0,10.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
929,0.0,2.0,1.0,3.0,5.0,8.0,7.0,6.0,9.0,4.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
978,0.0,2.0,1.0,3.0,4.0,8.0,7.0,5.0,6.0,10.0,11.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
1027,2.0,3.0,4.0,1.0,16.0,0.0,5.0,6.0,7.0,10.0,9.0,8.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1076,1.0,2.0,3.0,0.0,4.0,8.0,6.0,7.0,9.0,10.0,20.0,11.0,12.0,13.0,5.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1125,0.0,1.0,3.0,4.0,5.0,10.0,7.0,8.0,9.0,11.0,13.0,12.0,14.0,15.0,6.0,16.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,1.0,0.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,12.0,11.0,13.0,14.0,21.0,15.0,2.0,17.0,18.0,19.0,20.0,16.0,22.0
1223,1.0,0.0,3.0,5.0,6.0,20.0,8.0,4.0,9.0,11.0,12.0,10.0,13.0,14.0,7.0,15.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
1272,1.0,2.0,4.0,0.0,5.0,20.0,9.0,7.0,8.0,11.0,19.0,10.0,12.0,13.0,6.0,14.0,3.0,15.0,16.0,17.0,18.0,21.0,22.0
1321,0.0,1.0,3.0,5.0,16.0,8.0,4.0,7.0,9.0,11.0,12.0,10.0,13.0,14.0,6.0,15.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
1370,2.0,1.0,4.0,3.0,5.0,9.0,6.0,7.0,8.0,11.0,20.0,10.0,12.0,13.0,21.0,14.0,0.0,16.0,17.0,18.0,19.0,15.0,22.0
1419,0.0,1.0,3.0,4.0,5.0,9.0,10.0,7.0,6.0,12.0,20.0,11.0,13.0,14.0,8.0,15.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
1468,2.0,0.0,1.0,5.0,6.0,20.0,8.0,4.0,9.0,10.0,12.0,11.0,13.0,14.0,7.0,15.0,3.0,16.0,17.0,18.0,19.0,21.0,22.0
1517,0.0,2.0,5.0,1.0,3.0,4.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,14.0,7.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,1.0,2.0,3.0,0.0,5.0,20.0,8.0,4.0,7.0,11.0,10.0,9.0,12.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1615,2.0,3.0,4.0,0.0,6.0,8.0,7.0,10.0,9.0,5.0,12.0,11.0,1.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
1664,2.0,1.0,5.0,0.0,4.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,3.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,1.0,2.0,6.0,0.0,5.0,9.0,4.0,8.0,7.0,11.0,12.0,10.0,13.0,14.0,3.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,2.0,3.0,6.0,0.0,4.0,5.0,9.0,10.0,8.0,11.0,12.0,7.0,13.0,14.0,1.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1811,1.0,2.0,3.0,0.0,4.0,7.0,6.0,5.0,8.0,10.0,20.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1860,2.0,1.0,3.0,0.0,4.0,8.0,7.0,6.0,10.0,11.0,9.0,12.0,13.0,14.0,5.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1909,1.0,2.0,3.0,0.0,6.0,10.0,7.0,9.0,8.0,5.0,11.0,12.0,13.0,14.0,4.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,2.0,1.0,3.0,4.0,6.0,20.0,7.0,5.0,10.0,11.0,8.0,9.0,0.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2007,3.0,0.0,2.0,5.0,6.0,4.0,8.0,7.0,10.0,11.0,9.0,12.0,1.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2056,3.0,1.0,0.0,5.0,6.0,9.0,8.0,7.0,10.0,12.0,13.0,11.0,2.0,14.0,21.0,15.0,4.0,17.0,18.0,19.0,20.0,16.0,22.0
2105,1.0,0.0,3.0,8.0,4.0,5.0,9.0,7.0,6.0,11.0,10.0,2.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2154,2.0,0.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,12.0,11.0,1.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2203,2.0,0.0,3.0,5.0,7.0,6.0,9.0,4.0,8.0,10.0,20.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2252,4.0,0.0,3.0,7.0,8.0,5.0,9.0,6.0,10.0,13.0,11.0,12.0,2.0,14.0,21.0,15.0,1.0,17.0,18.0,19.0,20.0,16.0,22.0
2301,2.0,0.0,3.0,6.0,8.0,7.0,9.0,5.0,10.0,13.0,11.0,12.0,1.0,14.0,21.0,15.0,4.0,17.0,18.0,19.0,20.0,16.0,22.0
2350,5.0,0.0,4.0,2.0,7.0,10.0,9.0,6.0,8.0,13.0,11.0,12.0,1.0,14.0,21.0,15.0,3.0,17.0,18.0,19.0,20.0,16.0,22.0
2399,2.0,0.0,3.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0,11.0,12.0,1.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2448,0.0,1.0,2.0,5.0,8.0,4.0,10.0,6.0,9.0,7.0,11.0,12.0,13.0,14.0,21.0,15.0,3.0,17.0,18.0,19.0,20.0,16.0,22.0
2497,0.0,2.0,5.0,3.0,6.0,4.0,7.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,21.0,15.0,1.0,17.0,18.0,19.0,20.0,16.0,22.0
2546,0.0,1.0,4.0,3.0,6.0,7.0,2.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2595,0.0,1.0,3.0,2.0,5.0,6.0,7.0,4.0,10.0,9.0,8.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2644,0.0,3.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0,11.0,1.0,12.0,13.0,14.0,21.0,15.0,2.0,17.0,18.0,19.0,20.0,16.0,22.0
2693,0.0,4.0,2.0,5.0,6.0,7.0,10.0,8.0,9.0,11.0,1.0,12.0,13.0,14.0,21.0,15.0,3.0,17.0,18.0,19.0,20.0,16.0,22.0
2742,0.0,1.0,2.0,4.0,5.0,7.0,6.0,3.0,8.0,10.0,20.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2791,0.0,1.0,4.0,2.0,16.0,7.0,3.0,6.0,8.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,0.0,1.0,5.0,4.0,6.0,3.0,8.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,2.0,17.0,18.0,19.0,20.0,16.0,22.0
2889,1.0,2.0,3.0,0.0,5.0,7.0,6.0,4.0,9.0,8.0,20.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
2938,0.0,2.0,3.0,6.0,5.0,10.0,7.0,4.0,9.0,8.0,11.0,12.0,13.0,14.0,21.0,15.0,1.0,17.0,18.0,19.0,20.0,16.0,22.0
2987,3.0,2.0,4.0,5.0,6.0,0.0,9.0,8.0,10.0,7.0,20.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3036,3.0,2.0,1.0,5.0,8.0,4.0,9.0,7.0,10.0,12.0,20.0,11.0,0.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3085,1.0,0.0,3.0,4.0,7.0,2.0,9.0,5.0,10.0,11.0,20.0,6.0,12.0,13.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3134,3.0,0.0,6.0,5.0,15.0,4.0,9.0,8.0,10.0,11.0,20.0,12.0,1.0,13.0,7.0,14.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
3183,2.0,1.0,4.0,5.0,6.0,3.0,8.0,11.0,9.0,10.0,20.0,12.0,0.0,13.0,7.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3232,1.0,0.0,3.0,5.0,8.0,2.0,9.0,4.0,10.0,6.0,20.0,11.0,12.0,13.0,7.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
3281,4.0,2.0,6.0,1.0,5.0,3.0,8.0,7.0,9.0,11.0,20.0,10.0,12.0,13.0,21.0,14.0,0.0,16.0,17.0,18.0,19.0,15.0,22.0
3330,3.0,2.0,6.0,5.0,9.0,1.0,10.0,7.0,11.0,12.0,20.0,13.0,0.0,14.0,8.0,15.0,4.0,16.0,17.0,18.0,19.0,21.0,22.0
3379,3.0,2.0,6.0,5.0,8.0,4.0,10.0,9.0,11.0,13.0,20.0,12.0,0.0,14.0,7.0,15.0,1.0,16.0,17.0,18.0,19.0,21.0,22.0
3428,0.0,5.0,4.0,1.0,2.0,6.0,9.0,10.0,8.0,12.0,13.0,11.0,7.0,14.0,21.0,15.0,3.0,17.0,18.0,19.0,20.0,16.0,22.0
3477,2.0,5.0,6.0,3.0,16.0,7.0,4.0,8.0,9.0,10.0,11.0,12.0,0.0,13.0,21.0,14.0,1.0,17.0,18.0,19.0,20.0,15.0,22.0
3526,3.0,4.0,7.0,2.0,15.0,6.0,0.0,11.0,8.0,9.0,20.0,10.0,12.0,13.0,5.0,14.0,1.0,16.0,17.0,18.0,19.0,21.0,22.0
3575,4.0,3.0,6.0,0.0,16.0,5.0,2.0,9.0,8.0,7.0,10.0,11.0,12.0,13.0,21.0,14.0,1.0,17.0,18.0,19.0,20.0,15.0,22.0
3624,2.0,1.0,6.0,3.0,7.0,4.0,5.0,8.0,9.0,10.0,0.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
3673,4.0,5.0,8.0,2.0,7.0,6.0,1.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,3.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
3722,5.0,4.0,7.0,2.0,16.0,6.0,3.0,9.0,8.0,12.0,10.0,11.0,13.0,14.0,0.0,15.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,1.0,0.0,4.0,2.0,7.0,3.0,5.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,6.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,1.0,0.0,4.0,6.0,9.0,2.0,5.0,10.0,12.0,8.0,11.0,13.0,14.0,15.0,7.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,1.0,2.0,7.0,6.0,15.0,3.0,5.0,10.0,9.0,8.0,20.0,11.0,12.0,13.0,4.0,14.0,0.0,16.0,17.0,18.0,19.0,21.0,22.0
3918,1.0,3.0,2.0,5.0,7.0,0.0,6.0,9.0,8.0,11.0,20.0,10.0,12.0,13.0,21.0,14.0,4.0,16.0,17.0,18.0,19.0,15.0,22.0
3967,1.0,2.0,3.0,4.0,0.0,9.0,7.0,5.0,8.0,6.0,11.0,10.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4016,2.0,4.0,5.0,6.0,0.0,3.0,10.0,9.0,11.0,7.0,13.0,12.0,1.0,14.0,8.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,2.0,0.0,3.0,4.0,16.0,7.0,8.0,5.0,11.0,6.0,9.0,10.0,1.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,0.0,1.0,3.0,5.0,2.0,8.0,7.0,4.0,10.0,6.0,9.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4163,0.0,4.0,3.0,7.0,5.0,2.0,10.0,6.0,11.0,13.0,9.0,12.0,1.0,14.0,8.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,1.0,0.0,3.0,4.0,2.0,9.0,8.0,5.0,10.0,6.0,11.0,12.0,13.0,14.0,7.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,1.0,2.0,4.0,7.0,3.0,10.0,11.0,5.0,9.0,8.0,20.0,12.0,0.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4310,0.0,1.0,4.0,5.0,3.0,6.0,9.0,2.0,10.0,7.0,12.0,11.0,13.0,14.0,8.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,2.0,3.0,5.0,1.0,4.0,8.0,10.0,7.0,11.0,6.0,13.0,12.0,0.0,14.0,9.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,2.0,1.0,4.0,5.0,3.0,9.0,6.0,8.0,11.0,7.0,10.0,12.0,0.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4457,0.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,4.0,11.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4506,0.0,1.0,3.0,2.0,4.0,7.0,6.0,5.0,9.0,11.0,10.0,8.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4555,2.0,3.0,5.0,0.0,1.0,8.0,4.0,10.0,9.0,7.0,11.0,12.0,13.0,14.0,6.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,2.0,3.0,4.0,16.0,9.0,6.0,8.0,7.0,5.0,11.0,10.0,12.0,13.0,21.0,14.0,0.0,17.0,18.0,19.0,20.0,15.0,22.0
4653,1.0,3.0,2.0,5.0,7.0,4.0,9.0,8.0,10.0,13.0,12.0,11.0,0.0,14.0,6.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4702,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,20.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4751,2.0,1.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,12.0,20.0,11.0,0.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4800,0.0,1.0,2.0,4.0,6.0,8.0,7.0,3.0,10.0,5.0,11.0,9.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
4849,0.0,2.0,4.0,5.0,8.0,3.0,10.0,9.0,12.0,6.0,20.0,11.0,1.0,13.0,7.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4898,0.0,1.0,2.0,4.0,5.0,6.0,9.0,3.0,7.0,11.0,20.0,10.0,12.0,13.0,8.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
