,GLB1L2,ZNF853,PXDN,AGAP4,C1orf233,PPARG,TMEM101,EPSTI1,FUZ,RHOU,H2AFY2,TNFRSF1B,SPIN3,VAMP5,GPX3,SLC7A2,RP11-745O10.2,RP11-150O12.6,CDC20P1,PRTFDC1,H3F3B,PLTP,OAS1,ABCG2,RP11-685G9.4,NID1,ARID3A,SEMA3A,STRA6,H3F3C
843,2.0,14.0,3.0,37.0,0.0,1.0,15.0,17.0,99.0,5.0,32.0,13.0,30.0,19.0,507.0,6.0,7.0,9.0,20.0,2554.0,16.0,111.0,94.0,341.0,120.0,188.0,8.0,68.0,163.0,24.0
892,1.0,9.0,3.0,2.0,0.0,5.0,86.0,8.0,10.0,11.0,18.0,6.0,7.0,89.0,241.0,4.0,14.0,39.0,16.0,402.0,53.0,31.0,62.0,83.0,72.0,145.0,41.0,719.0,137.0,127.0
941,22.0,15.0,5.0,4.0,1.0,3.0,30.0,16.0,17.0,6.0,65.0,13.0,24.0,187.0,50.0,0.0,14.0,395.0,19.0,11862.0,62.0,113.0,39.0,159.0,118.0,104.0,78.0,267.0,74.0,88.0
990,0.0,2.0,1.0,16.0,19.0,4.0,23.0,47.0,89.0,11.0,24.0,17.0,155.0,10.0,18.0,9.0,316.0,364.0,161.0,8.0,67.0,347.0,256.0,20.0,88.0,15.0,168.0,162.0,185.0,51.0
1039,17.0,19.0,0.0,10.0,3.0,32.0,52.0,31.0,43.0,22.0,20.0,7.0,16.0,1.0,5.0,76.0,115.0,167.0,57.0,14.0,58.0,213.0,39.0,6.0,81.0,38.0,105.0,45.0,8.0,65.0
1088,1.0,2.0,21.0,0.0,6.0,5.0,24.0,50.0,28.0,52.0,44.0,18.0,34.0,14.0,53.0,59.0,127.0,213.0,36.0,4.0,26.0,480.0,69.0,86.0,35.0,7.0,268.0,70.0,12.0,22.0
1137,0.0,6.0,42.0,1.0,2.0,19.0,93.0,39.0,37.0,16.0,27.0,5.0,13.0,12.0,4.0,11.0,29.0,66.0,202.0,3.0,70.0,82.0,150.0,26.0,15.0,18.0,59.0,101.0,8.0,80.0
1186,7.0,1.0,30.0,4.0,0.0,9.0,25.0,129.0,200.0,24.0,57.0,19.0,55.0,65.0,44.0,5.0,3.0,285.0,1878.0,2.0,13.0,126.0,95.0,33.0,15.0,29.0,34.0,332.0,62.0,12.0
1235,1.0,2.0,5.0,0.0,12.0,3.0,32.0,6.0,124.0,35.0,88.0,20.0,70.0,63.0,34.0,45.0,36.0,104.0,14.0,19.0,426.0,271.0,11.0,30.0,81.0,21.0,277.0,230.0,24.0,393.0
1284,5.0,1.0,31.0,0.0,2.0,19.0,15.0,18.0,52.0,38.0,36.0,12.0,29.0,6.0,8.0,49.0,95.0,116.0,82.0,3.0,25.0,284.0,30.0,21.0,100.0,34.0,160.0,39.0,53.0,22.0
1333,0.0,2.0,10.0,1.0,9.0,8.0,82.0,30.0,23.0,15.0,61.0,4.0,17.0,13.0,94.0,12.0,47.0,70.0,95.0,7.0,56.0,198.0,67.0,37.0,20.0,3.0,139.0,131.0,33.0,81.0
1382,0.0,5.0,2.0,3.0,4.0,1.0,32.0,56.0,243.0,7.0,28.0,18.0,37.0,16.0,50.0,52.0,10.0,125.0,95.0,30.0,24.0,106.0,102.0,29.0,11.0,48.0,63.0,119.0,27.0,17.0
1431,1.0,0.0,2.0,3.0,4.0,11.0,43.0,28.0,17.0,25.0,84.0,52.0,7.0,24.0,5.0,6.0,89.0,174.0,38.0,40.0,37.0,110.0,16.0,10.0,12.0,32.0,178.0,135.0,57.0,29.0
1480,5.0,3.0,4.0,1.0,89.0,20.0,2.0,160.0,67.0,23.0,12.0,78.0,145.0,65.0,0.0,16.0,48.0,50.0,94.0,330.0,352.0,558.0,9.0,1328.0,180.0,37.0,319.0,70.0,15.0,172.0
1529,30.0,178.0,9.0,18.0,28.0,14.0,1.0,138.0,41.0,25.0,2.0,54.0,11.0,8.0,42.0,13.0,6.0,36.0,141.0,0.0,20.0,538.0,33.0,129.0,12.0,24.0,47.0,17.0,60.0,16.0
1578,32.0,21.0,1.0,6.0,9.0,20.0,10.0,90.0,26.0,43.0,16.0,12.0,5.0,23.0,19.0,13.0,0.0,76.0,62.0,3.0,30.0,75.0,25.0,134.0,54.0,33.0,104.0,45.0,27.0,18.0
1627,0.0,14.0,2.0,10.0,5.0,30.0,12.0,51.0,21.0,16.0,24.0,26.0,15.0,91.0,4.0,3.0,81.0,57.0,197.0,118.0,53.0,601.0,32.0,109.0,56.0,58.0,139.0,36.0,13.0,43.0
1676,4.0,3.0,0.0,35.0,10.0,22.0,1.0,216.0,6.0,25.0,15.0,130.0,44.0,24.0,2.0,5.0,27.0,56.0,376.0,17.0,9.0,122.0,145.0,37.0,114.0,79.0,29.0,18.0,92.0,11.0
1725,10.0,6.0,0.0,3.0,14.0,29.0,7.0,231.0,5.0,8.0,15.0,54.0,12.0,4.0,1.0,9.0,2.0,39.0,108.0,110.0,13.0,56.0,22.0,493.0,37.0,42.0,133.0,45.0,49.0,18.0
1774,10.0,16.0,6.0,5.0,32.0,67.0,19.0,494.0,143.0,35.0,7.0,41.0,8.0,23.0,3.0,0.0,27.0,71.0,89.0,236.0,61.0,388.0,268.0,328.0,113.0,83.0,31.0,321.0,308.0,227.0
1823,0.0,2.0,11.0,3.0,7.0,9.0,10.0,90.0,52.0,23.0,13.0,58.0,24.0,22.0,5.0,12.0,1.0,112.0,700.0,56.0,43.0,30.0,29.0,59.0,39.0,14.0,109.0,41.0,19.0,26.0
1872,4.0,26.0,1.0,0.0,7.0,153.0,2.0,114.0,23.0,29.0,54.0,33.0,27.0,32.0,3.0,10.0,40.0,80.0,98.0,11.0,39.0,38.0,605.0,19.0,65.0,20.0,50.0,118.0,21.0,47.0
1921,9.0,3.0,0.0,6.0,1.0,64.0,8.0,142.0,18.0,13.0,24.0,42.0,29.0,37.0,2.0,5.0,14.0,302.0,103.0,28.0,17.0,294.0,45.0,60.0,270.0,67.0,79.0,33.0,68.0,22.0
1970,3.0,25.0,9.0,1.0,184.0,29.0,7.0,0.0,27.0,22.0,8.0,17.0,325.0,10.0,74.0,91.0,212.0,76.0,31.0,34.0,278.0,5.0,14.0,230.0,109.0,49.0,66.0,11.0,92.0,202.0
2019,2.0,1.0,9.0,0.0,97.0,8.0,38.0,83.0,25.0,61.0,10.0,23.0,64.0,5.0,6.0,39.0,526.0,95.0,47.0,153.0,370.0,22.0,14.0,147.0,129.0,37.0,62.0,12.0,24.0,708.0
2068,2.0,4.0,0.0,5.0,59.0,15.0,12.0,8.0,10.0,27.0,11.0,9.0,167.0,24.0,73.0,53.0,1386.0,101.0,60.0,78.0,294.0,17.0,3.0,320.0,41.0,52.0,58.0,1.0,42.0,544.0
2117,1.0,2.0,20.0,0.0,222.0,3.0,9.0,14.0,5.0,13.0,21.0,67.0,990.0,110.0,79.0,100.0,1014.0,169.0,25.0,458.0,249.0,12.0,28.0,162.0,36.0,99.0,105.0,45.0,58.0,270.0
2166,15.0,1.0,0.0,2.0,358.0,19.0,10.0,132.0,31.0,27.0,7.0,41.0,227.0,11.0,8.0,209.0,686.0,73.0,17.0,12.0,93.0,90.0,9.0,1739.0,42.0,70.0,127.0,6.0,5.0,108.0
2215,1.0,0.0,96.0,2.0,98.0,122.0,46.0,21.0,7.0,23.0,8.0,6.0,78.0,36.0,30.0,44.0,80.0,70.0,13.0,24.0,242.0,19.0,42.0,171.0,47.0,220.0,60.0,11.0,15.0,247.0
2264,0.0,16.0,2.0,3.0,131.0,15.0,32.0,37.0,18.0,23.0,17.0,24.0,276.0,13.0,12.0,26.0,371.0,14.0,164.0,80.0,339.0,7.0,43.0,524.0,19.0,11.0,71.0,6.0,30.0,257.0
2313,9.0,1.0,7.0,0.0,62.0,12.0,17.0,28.0,11.0,16.0,53.0,15.0,529.0,8.0,32.0,154.0,788.0,39.0,75.0,57.0,247.0,4.0,13.0,336.0,31.0,361.0,215.0,43.0,47.0,868.0
2362,3.0,1.0,0.0,2.0,231.0,21.0,26.0,39.0,14.0,63.0,186.0,23.0,201.0,30.0,141.0,48.0,116.0,149.0,75.0,27.0,182.0,6.0,77.0,344.0,29.0,179.0,42.0,5.0,20.0,180.0
2411,2.0,6.0,15.0,13.0,44.0,1.0,3.0,17.0,4.0,56.0,71.0,24.0,659.0,8.0,26.0,88.0,48.0,126.0,11.0,23.0,223.0,7.0,12.0,172.0,288.0,137.0,68.0,9.0,52.0,284.0
2460,0.0,1.0,7.0,238.0,33.0,45.0,20.0,13.0,4.0,35.0,158.0,32.0,17.0,105.0,16.0,61.0,14.0,12.0,78.0,5.0,15.0,38.0,52.0,40.0,66.0,30.0,29.0,6.0,139.0,44.0
2509,0.0,4.0,17.0,24.0,2.0,19.0,57.0,11.0,31.0,35.0,441.0,6.0,27.0,13.0,53.0,37.0,114.0,18.0,54.0,20.0,46.0,5.0,158.0,78.0,10.0,3.0,25.0,21.0,162.0,60.0
2558,5.0,0.0,7.0,205.0,3.0,11.0,14.0,15.0,4.0,20.0,55.0,33.0,1.0,56.0,8.0,6.0,26.0,13.0,276.0,54.0,32.0,236.0,189.0,29.0,104.0,12.0,17.0,2.0,92.0,59.0
2607,0.0,4.0,8.0,1.0,5.0,3.0,62.0,6.0,2.0,18.0,102.0,16.0,36.0,21.0,12.0,119.0,22.0,32.0,20.0,19.0,60.0,46.0,97.0,156.0,72.0,11.0,56.0,24.0,13.0,45.0
2656,5.0,0.0,3.0,12.0,4.0,14.0,38.0,16.0,9.0,48.0,143.0,42.0,19.0,45.0,6.0,34.0,18.0,55.0,244.0,1.0,11.0,33.0,186.0,20.0,17.0,22.0,56.0,7.0,28.0,10.0
2705,1.0,0.0,39.0,86.0,4.0,12.0,58.0,3.0,9.0,10.0,43.0,97.0,23.0,16.0,8.0,11.0,113.0,32.0,22.0,7.0,27.0,99.0,102.0,15.0,20.0,2.0,49.0,88.0,56.0,30.0
2754,3.0,1.0,8.0,151.0,4.0,16.0,6.0,43.0,53.0,29.0,24.0,32.0,31.0,130.0,15.0,11.0,717.0,19.0,141.0,28.0,22.0,101.0,340.0,115.0,75.0,65.0,27.0,9.0,72.0,23.0
2803,1.0,2.0,15.0,116.0,55.0,38.0,138.0,27.0,29.0,20.0,12.0,33.0,8.0,87.0,0.0,3.0,30.0,7.0,17.0,13.0,22.0,217.0,106.0,80.0,91.0,35.0,21.0,11.0,28.0,24.0
2852,4.0,1.0,15.0,11.0,5.0,74.0,34.0,17.0,0.0,8.0,82.0,118.0,2.0,6.0,51.0,3.0,7.0,19.0,140.0,77.0,9.0,16.0,284.0,24.0,40.0,13.0,33.0,155.0,35.0,12.0
2901,2.0,3.0,139.0,60.0,210.0,30.0,99.0,9.0,5.0,37.0,1637.0,24.0,11.0,4.0,234.0,10.0,44.0,42.0,20.0,7.0,13.0,16.0,34.0,51.0,18.0,25.0,78.0,19.0,48.0,8.0
2950,0.0,5.0,4.0,6.0,12.0,7.0,1.0,2.0,11.0,19.0,142.0,47.0,168.0,40.0,17.0,70.0,36.0,72.0,659.0,231.0,157.0,8.0,16.0,9.0,226.0,30.0,27.0,22.0,355.0,120.0
2999,6.0,5.0,3.0,125.0,10.0,4.0,2.0,1.0,24.0,26.0,166.0,48.0,175.0,83.0,16.0,36.0,31.0,15.0,898.0,42.0,110.0,14.0,7.0,29.0,813.0,17.0,12.0,63.0,371.0,118.0
3048,2.0,4.0,13.0,0.0,163.0,8.0,10.0,1.0,45.0,60.0,88.0,14.0,309.0,29.0,31.0,2089.0,59.0,26.0,39.0,127.0,493.0,28.0,3.0,21.0,128.0,6.0,30.0,36.0,5.0,329.0
3097,1.0,98.0,3.0,4.0,24.0,12.0,6.0,2.0,60.0,101.0,13.0,8.0,291.0,742.0,16.0,46.0,23.0,37.0,238.0,19.0,71.0,195.0,9.0,49.0,398.0,21.0,36.0,50.0,47.0,39.0
3146,11.0,393.0,1.0,8.0,42.0,10.0,21.0,18.0,30.0,40.0,277.0,2.0,65.0,31.0,98.0,81.0,4.0,41.0,555.0,6.0,148.0,54.0,20.0,27.0,112.0,80.0,39.0,102.0,76.0,111.0
3195,0.0,24.0,3.0,28.0,1.0,12.0,7.0,2.0,32.0,48.0,23.0,8.0,304.0,203.0,29.0,79.0,5.0,22.0,499.0,104.0,125.0,70.0,9.0,25.0,279.0,36.0,54.0,33.0,69.0,193.0
3244,1.0,7.0,4.0,13.0,3.0,31.0,42.0,0.0,54.0,26.0,23.0,51.0,211.0,190.0,15.0,30.0,12.0,28.0,528.0,93.0,116.0,8.0,20.0,16.0,83.0,47.0,18.0,159.0,79.0,214.0
3293,0.0,20.0,1.0,11.0,28.0,7.0,4.0,2.0,18.0,45.0,75.0,23.0,105.0,6.0,35.0,92.0,42.0,87.0,190.0,46.0,133.0,24.0,27.0,25.0,48.0,34.0,41.0,50.0,101.0,152.0
3342,4.0,11.0,8.0,2.0,10.0,14.0,5.0,0.0,12.0,20.0,171.0,42.0,781.0,81.0,33.0,91.0,23.0,22.0,214.0,147.0,34.0,65.0,6.0,50.0,76.0,30.0,101.0,117.0,187.0,45.0
3391,1.0,56.0,9.0,5.0,24.0,19.0,8.0,0.0,231.0,52.0,20.0,79.0,218.0,153.0,69.0,276.0,46.0,50.0,440.0,51.0,138.0,3.0,2.0,71.0,446.0,394.0,86.0,13.0,109.0,342.0
3440,0.0,6.0,3.0,9.0,48.0,13.0,54.0,4.0,51.0,27.0,5.0,34.0,224.0,315.0,42.0,32.0,56.0,103.0,2.0,15.0,58.0,18.0,31.0,60.0,63.0,22.0,53.0,75.0,126.0,65.0
3489,15.0,2.0,19.0,0.0,9.0,1.0,24.0,48.0,45.0,4.0,10.0,3.0,36.0,125.0,220.0,92.0,120.0,28.0,8.0,195.0,106.0,78.0,411.0,417.0,156.0,54.0,43.0,226.0,5.0,171.0
3538,11.0,0.0,72.0,67.0,4.0,6.0,5.0,33.0,53.0,8.0,13.0,28.0,14.0,47.0,21.0,2.0,122.0,95.0,17.0,88.0,32.0,126.0,152.0,10.0,173.0,65.0,16.0,653.0,98.0,61.0
3587,8.0,9.0,7.0,11.0,5.0,1.0,31.0,12.0,324.0,4.0,3.0,22.0,73.0,57.0,32.0,294.0,501.0,124.0,0.0,72.0,24.0,360.0,55.0,84.0,439.0,17.0,26.0,42.0,65.0,27.0
3636,11.0,24.0,7.0,39.0,2.0,5.0,12.0,35.0,37.0,28.0,9.0,50.0,65.0,294.0,10.0,16.0,431.0,17.0,0.0,41.0,29.0,8.0,136.0,31.0,73.0,142.0,18.0,292.0,94.0,14.0
3685,0.0,3.0,174.0,4.0,8.0,2.0,37.0,10.0,46.0,14.0,63.0,16.0,17.0,184.0,6.0,42.0,73.0,104.0,1.0,110.0,45.0,29.0,39.0,36.0,211.0,18.0,35.0,91.0,24.0,67.0
3734,9.0,13.0,47.0,0.0,21.0,10.0,22.0,18.0,97.0,14.0,6.0,19.0,56.0,27.0,2.0,5.0,121.0,35.0,24.0,87.0,37.0,49.0,129.0,317.0,135.0,1.0,15.0,106.0,31.0,34.0
3783,3.0,28.0,26.0,21.0,48.0,2.0,4.0,9.0,222.0,43.0,15.0,35.0,12.0,170.0,33.0,18.0,204.0,45.0,0.0,22.0,5.0,49.0,138.0,44.0,31.0,53.0,8.0,30.0,74.0,11.0
3832,43.0,3.0,0.0,94.0,2.0,4.0,16.0,14.0,40.0,35.0,17.0,11.0,69.0,58.0,5.0,60.0,12.0,27.0,1.0,38.0,73.0,118.0,55.0,63.0,189.0,49.0,21.0,41.0,53.0,66.0
3881,10.0,11.0,12.0,15.0,31.0,29.0,9.0,3.0,132.0,91.0,26.0,98.0,6.0,59.0,2.0,22.0,40.0,49.0,0.0,24.0,17.0,267.0,111.0,41.0,284.0,35.0,18.0,86.0,74.0,13.0
3930,32.0,19.0,78.0,42.0,10.0,8.0,33.0,29.0,15.0,6.0,17.0,2.0,7.0,0.0,2424.0,186.0,39.0,26.0,37.0,11.0,118.0,22.0,123.0,337.0,3.0,67.0,9.0,13.0,28.0,141.0
3979,12.0,79.0,65.0,21.0,17.0,18.0,13.0,55.0,28.0,4.0,78.0,48.0,15.0,2.0,99.0,229.0,144.0,56.0,43.0,3.0,11.0,19.0,90.0,50.0,1.0,52.0,20.0,16.0,282.0,23.0
4028,25.0,74.0,26.0,106.0,2.0,35.0,4.0,8.0,55.0,7.0,34.0,41.0,9.0,3.0,66.0,29.0,98.0,14.0,47.0,145.0,42.0,104.0,197.0,5.0,6.0,148.0,16.0,50.0,393.0,83.0
4077,74.0,662.0,22.0,343.0,20.0,170.0,10.0,17.0,34.0,52.0,89.0,25.0,3.0,4.0,340.0,105.0,5.0,7.0,38.0,0.0,56.0,31.0,181.0,83.0,1.0,9.0,60.0,49.0,51.0,46.0
4126,16.0,25.0,49.0,256.0,8.0,34.0,15.0,32.0,38.0,51.0,26.0,19.0,6.0,3.0,97.0,114.0,5.0,14.0,40.0,1.0,23.0,9.0,91.0,243.0,4.0,86.0,28.0,7.0,18.0,90.0
4175,147.0,51.0,10.0,28.0,16.0,37.0,6.0,82.0,0.0,11.0,20.0,54.0,15.0,1.0,89.0,21.0,9.0,5.0,2.0,13.0,47.0,7.0,112.0,30.0,14.0,58.0,29.0,80.0,46.0,88.0
4224,35.0,24.0,103.0,58.0,12.0,155.0,13.0,27.0,8.0,14.0,624.0,32.0,6.0,1.0,153.0,17.0,23.0,19.0,4.0,10.0,95.0,0.0,69.0,46.0,3.0,161.0,15.0,168.0,174.0,146.0
4273,7.0,54.0,19.0,177.0,8.0,34.0,6.0,140.0,21.0,20.0,57.0,81.0,40.0,3.0,61.0,13.0,224.0,11.0,24.0,1.0,47.0,146.0,221.0,23.0,0.0,124.0,35.0,200.0,52.0,70.0
4322,16.0,12.0,6.0,296.0,45.0,19.0,1.0,35.0,15.0,13.0,322.0,7.0,26.0,4.0,583.0,62.0,37.0,5.0,18.0,11.0,78.0,33.0,248.0,29.0,2.0,197.0,50.0,144.0,426.0,205.0
4371,49.0,29.0,32.0,50.0,19.0,91.0,23.0,5.0,0.0,30.0,7.0,10.0,13.0,4.0,101.0,48.0,128.0,11.0,14.0,45.0,61.0,3.0,306.0,28.0,9.0,96.0,22.0,178.0,126.0,283.0
4420,0.0,3.0,1.0,39.0,59.0,2.0,20.0,4.0,38.0,14.0,27.0,40.0,21.0,51.0,133.0,64.0,69.0,11.0,49.0,58.0,13.0,31.0,15.0,5.0,7.0,231.0,121.0,56.0,164.0,28.0
4469,3.0,4.0,75.0,54.0,64.0,0.0,6.0,5.0,10.0,8.0,445.0,16.0,104.0,1.0,181.0,151.0,52.0,19.0,56.0,9.0,61.0,45.0,13.0,2.0,90.0,31.0,69.0,270.0,82.0,60.0
4518,1.0,0.0,14.0,35.0,40.0,6.0,19.0,8.0,9.0,17.0,22.0,72.0,7.0,26.0,122.0,108.0,25.0,30.0,3.0,80.0,21.0,15.0,86.0,2.0,5.0,175.0,49.0,59.0,371.0,132.0
4567,0.0,2.0,26.0,6.0,104.0,28.0,3.0,1.0,12.0,21.0,149.0,97.0,8.0,77.0,24.0,41.0,69.0,39.0,14.0,15.0,52.0,10.0,25.0,4.0,57.0,340.0,74.0,119.0,953.0,78.0
4616,4.0,15.0,1.0,0.0,10.0,3.0,8.0,39.0,28.0,14.0,5.0,34.0,36.0,53.0,16.0,126.0,197.0,23.0,503.0,87.0,11.0,38.0,17.0,33.0,13.0,94.0,61.0,64.0,138.0,9.0
4665,3.0,1.0,4.0,10.0,45.0,24.0,22.0,0.0,2.0,95.0,13.0,57.0,23.0,9.0,66.0,90.0,27.0,33.0,31.0,14.0,32.0,5.0,38.0,6.0,36.0,70.0,39.0,80.0,248.0,88.0
4714,2.0,0.0,6.0,7.0,101.0,1.0,10.0,19.0,5.0,8.0,12.0,16.0,76.0,13.0,35.0,382.0,614.0,9.0,125.0,465.0,143.0,87.0,23.0,26.0,65.0,294.0,271.0,214.0,140.0,62.0
4763,60.0,0.0,125.0,34.0,28.0,94.0,229.0,30.0,3.0,159.0,63.0,106.0,8.0,21.0,10.0,86.0,158.0,16.0,2.0,91.0,27.0,5.0,178.0,18.0,12.0,282.0,25.0,205.0,19.0,51.0
4812,5.0,0.0,55.0,1.0,2.0,15.0,6.0,4.0,8.0,26.0,27.0,70.0,9.0,10.0,22.0,125.0,35.0,3.0,65.0,61.0,18.0,32.0,195.0,19.0,7.0,190.0,20.0,59.0,186.0,29.0
4861,5.0,3.0,14.0,1.0,13.0,4.0,27.0,9.0,6.0,15.0,18.0,23.0,7.0,29.0,40.0,175.0,8.0,2.0,21.0,43.0,42.0,0.0,28.0,30.0,106.0,116.0,59.0,12.0,89.0,77.0
