,1-methylnicotinamide,cytidine,C16:0 LPE,uracil,pantothenate,adenosine,2-deoxycytidine,guanosine,3-phosphoglycerate,cystathionine,uridine,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,palmitoylcarnitine,valerylcarnitine,C22:6 CE,alpha-glycerophosphate,sarcosine,PEP,2-deoxyadenosine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,C34:4 PC,pyroglutamic acid,DHAP/glyceraldehyde 3P,beta-alanine,creatine,C34:2 DAG,serotonin,creatinine
1005,0.0,2.0,1.0,3.0,8.0,53.0,24.0,5.0,45.0,52.0,41.0,18.0,21.0,58.0,42.0,4.0,11.0,10.0,15.0,32.0,36.0,14.0,7.0,20.0,34.0,33.0,23.0,25.0,13.0,44.0
1054,0.0,2.0,1.0,3.0,16.0,5.0,44.0,29.0,6.0,27.0,15.0,7.0,40.0,35.0,18.0,10.0,41.0,4.0,52.0,14.0,11.0,8.0,28.0,37.0,20.0,9.0,43.0,22.0,12.0,38.0
1103,0.0,1.0,12.0,3.0,9.0,10.0,36.0,2.0,15.0,41.0,24.0,8.0,18.0,20.0,7.0,17.0,56.0,4.0,19.0,6.0,22.0,14.0,42.0,23.0,5.0,32.0,26.0,21.0,16.0,33.0
1152,1.0,2.0,0.0,5.0,4.0,8.0,24.0,7.0,26.0,18.0,12.0,16.0,36.0,30.0,44.0,47.0,14.0,6.0,54.0,13.0,17.0,19.0,37.0,55.0,22.0,10.0,20.0,3.0,40.0,39.0
1201,0.0,5.0,3.0,15.0,4.0,2.0,34.0,1.0,20.0,10.0,58.0,11.0,19.0,9.0,39.0,8.0,17.0,6.0,63.0,31.0,18.0,38.0,24.0,40.0,44.0,48.0,33.0,7.0,12.0,27.0
1250,2.0,0.0,1.0,4.0,6.0,9.0,42.0,3.0,24.0,7.0,29.0,17.0,10.0,59.0,32.0,14.0,20.0,15.0,21.0,23.0,13.0,12.0,18.0,11.0,22.0,16.0,31.0,5.0,33.0,50.0
1299,0.0,2.0,1.0,3.0,8.0,16.0,35.0,4.0,34.0,39.0,14.0,20.0,36.0,32.0,7.0,11.0,21.0,6.0,24.0,15.0,29.0,26.0,37.0,42.0,10.0,23.0,9.0,57.0,55.0,44.0
1348,1.0,2.0,0.0,5.0,14.0,6.0,42.0,10.0,16.0,22.0,15.0,49.0,4.0,17.0,18.0,33.0,38.0,7.0,28.0,46.0,24.0,20.0,11.0,48.0,39.0,21.0,30.0,25.0,37.0,41.0
1397,0.0,3.0,4.0,2.0,13.0,5.0,28.0,1.0,47.0,15.0,43.0,7.0,25.0,65.0,31.0,8.0,57.0,9.0,33.0,10.0,14.0,18.0,34.0,12.0,42.0,32.0,29.0,21.0,26.0,39.0
1446,0.0,1.0,2.0,22.0,43.0,3.0,26.0,5.0,17.0,8.0,55.0,9.0,6.0,44.0,16.0,13.0,29.0,4.0,25.0,19.0,28.0,10.0,23.0,41.0,45.0,36.0,20.0,58.0,48.0,12.0
1495,2.0,0.0,1.0,11.0,3.0,4.0,9.0,40.0,8.0,7.0,17.0,38.0,10.0,16.0,35.0,5.0,21.0,12.0,28.0,42.0,15.0,36.0,39.0,24.0,27.0,25.0,57.0,43.0,50.0,14.0
1544,1.0,0.0,9.0,4.0,7.0,66.0,5.0,33.0,15.0,8.0,10.0,38.0,19.0,6.0,17.0,22.0,13.0,2.0,3.0,26.0,43.0,24.0,39.0,48.0,27.0,20.0,25.0,29.0,11.0,14.0
1593,0.0,1.0,3.0,2.0,13.0,14.0,4.0,33.0,43.0,10.0,50.0,23.0,18.0,19.0,11.0,7.0,9.0,53.0,22.0,59.0,17.0,42.0,27.0,28.0,38.0,46.0,31.0,8.0,34.0,16.0
1642,0.0,1.0,16.0,3.0,10.0,4.0,2.0,15.0,24.0,13.0,23.0,26.0,7.0,22.0,17.0,8.0,19.0,5.0,12.0,6.0,49.0,14.0,9.0,20.0,34.0,29.0,27.0,59.0,25.0,47.0
