, VEGF, IL-1, JAK-STAT, Wnt, MAPK_only, MAPK_PI3K, TLR, PI3K_only, TGFB, TNFa, H2O2
2393,0.0,1.0,6.0,3.0,7.0,2.0,8.0,10.0,9.0,4.0,5.0
2442,4.0,0.0,2.0,1.0,5.0,6.0,10.0,9.0,7.0,3.0,8.0
2491,1.0,2.0,3.0,0.0,4.0,5.0,9.0,10.0,6.0,7.0,8.0
2540,4.0,6.0,7.0,2.0,3.0,9.0,10.0,0.0,8.0,1.0,5.0
2589,1.0,0.0,10.0,8.0,3.0,2.0,4.0,7.0,5.0,6.0,9.0
2638,5.0,7.0,10.0,1.0,3.0,2.0,8.0,6.0,4.0,0.0,9.0
2687,0.0,2.0,8.0,7.0,9.0,5.0,6.0,1.0,3.0,10.0,4.0
2736,4.0,7.0,8.0,0.0,1.0,6.0,2.0,3.0,9.0,10.0,5.0
2785,8.0,4.0,5.0,0.0,1.0,3.0,6.0,9.0,7.0,2.0,10.0
2834,0.0,2.0,5.0,9.0,1.0,6.0,7.0,8.0,3.0,10.0,4.0
2883,2.0,0.0,4.0,9.0,6.0,1.0,7.0,3.0,8.0,5.0,10.0
2932,2.0,3.0,1.0,0.0,7.0,5.0,8.0,9.0,6.0,4.0,10.0
2981,4.0,2.0,8.0,0.0,5.0,9.0,6.0,3.0,1.0,10.0,7.0
3030,5.0,6.0,7.0,1.0,3.0,8.0,4.0,0.0,10.0,9.0,2.0
3079,6.0,1.0,9.0,0.0,2.0,7.0,8.0,3.0,10.0,5.0,4.0
3128,8.0,4.0,0.0,6.0,7.0,10.0,2.0,3.0,1.0,5.0,9.0
3177,2.0,8.0,4.0,7.0,0.0,5.0,1.0,9.0,6.0,10.0,3.0
3226,1.0,0.0,5.0,4.0,2.0,6.0,7.0,3.0,8.0,9.0,10.0
3275,0.0,1.0,3.0,2.0,5.0,4.0,7.0,10.0,8.0,6.0,9.0
3324,6.0,1.0,2.0,4.0,5.0,0.0,8.0,10.0,3.0,9.0,7.0
3373,0.0,2.0,3.0,1.0,5.0,10.0,4.0,8.0,6.0,9.0,7.0
3422,10.0,6.0,2.0,0.0,3.0,7.0,1.0,8.0,4.0,5.0,9.0
3471,1.0,7.0,0.0,9.0,2.0,3.0,5.0,4.0,6.0,8.0,10.0
3520,0.0,8.0,2.0,5.0,9.0,6.0,3.0,4.0,1.0,7.0,10.0
3569,7.0,10.0,0.0,9.0,8.0,4.0,1.0,5.0,2.0,6.0,3.0
3618,5.0,3.0,0.0,8.0,6.0,4.0,7.0,9.0,1.0,10.0,2.0
3667,0.0,1.0,2.0,9.0,3.0,6.0,4.0,10.0,5.0,8.0,7.0
3716,10.0,4.0,0.0,6.0,1.0,2.0,7.0,3.0,8.0,9.0,5.0
3765,6.0,9.0,2.0,5.0,0.0,1.0,8.0,4.0,3.0,10.0,7.0
3814,7.0,10.0,1.0,3.0,4.0,0.0,5.0,8.0,6.0,2.0,9.0
3863,0.0,2.0,1.0,5.0,4.0,6.0,7.0,9.0,3.0,10.0,8.0
3912,0.0,2.0,3.0,8.0,6.0,1.0,4.0,10.0,5.0,7.0,9.0
3961,2.0,3.0,4.0,7.0,0.0,5.0,6.0,9.0,10.0,1.0,8.0
4010,7.0,1.0,4.0,8.0,10.0,0.0,2.0,5.0,3.0,6.0,9.0
4059,0.0,4.0,9.0,3.0,6.0,10.0,2.0,5.0,7.0,8.0,1.0
4108,0.0,3.0,10.0,1.0,7.0,9.0,4.0,5.0,8.0,6.0,2.0
4157,7.0,2.0,4.0,0.0,3.0,8.0,9.0,10.0,6.0,5.0,1.0
4206,0.0,5.0,6.0,9.0,3.0,1.0,2.0,7.0,4.0,8.0,10.0
4255,0.0,1.0,9.0,10.0,6.0,7.0,4.0,5.0,2.0,3.0,8.0
4304,0.0,4.0,8.0,2.0,9.0,5.0,6.0,3.0,1.0,10.0,7.0
4353,0.0,9.0,5.0,4.0,6.0,1.0,3.0,7.0,2.0,8.0,10.0
4402,4.0,1.0,6.0,10.0,8.0,0.0,7.0,5.0,2.0,3.0,9.0
4451,2.0,4.0,0.0,3.0,1.0,8.0,5.0,10.0,9.0,6.0,7.0
4500,1.0,9.0,8.0,7.0,2.0,5.0,4.0,6.0,3.0,10.0,0.0
4549,1.0,0.0,8.0,10.0,3.0,4.0,2.0,6.0,7.0,9.0,5.0
4598,1.0,9.0,6.0,4.0,2.0,3.0,0.0,7.0,8.0,10.0,5.0
4647,4.0,3.0,6.0,5.0,0.0,10.0,1.0,2.0,8.0,7.0,9.0
4696,3.0,9.0,5.0,4.0,0.0,6.0,7.0,10.0,1.0,2.0,8.0
4745,0.0,6.0,8.0,4.0,7.0,3.0,1.0,10.0,9.0,2.0,5.0
4794,4.0,2.0,6.0,1.0,7.0,8.0,0.0,9.0,10.0,3.0,5.0
4843,3.0,0.0,6.0,5.0,9.0,1.0,4.0,10.0,7.0,2.0,8.0
4892,2.0,7.0,1.0,8.0,0.0,3.0,4.0,5.0,10.0,6.0,9.0
