,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,ESPNP_DEL,PLCL1_DEL,DIAPH2_DEL,OR51A2_AMP,FLT1_MUT,GATAD2A_DEL,MAD1L1_DEL,MAML3_MUT,IKZF3_AMP,CILP2_DEL,SFI1_DEL,RNF26_DEL,SLC5A1_DEL,LCE3C_AMP,CYP4F12_DEL,YY1AP1_AMP,ABCC6_DEL,TTN_MUT,OR2T11_DEL,KAT7_AMP,LOC100288069_DEL,TAC4_AMP,C7orf72_DEL,MAST4_MUT,ADAMTS14_AMP,MGC21881_DEL,C22orf42_DEL
571,0.0,1.0,7.0,3.0,5.0,13.0,15495.0,21.0,243.0,91.0,39.0,26.0,1403.0,205.0,102.0,162.0,22.0,522.0,44.0,1215.0,10.0,6.0,759.0,63.0,14369.0,1089.0,14.0,19.0,15.0,3548.0
620,3.0,0.0,1.0,19.0,26.0,2.0,639.0,16.0,818.0,147.0,106.0,457.0,108.0,17.0,61.0,35.0,413.0,8403.0,22074.0,29.0,50.0,68.0,155.0,146.0,41.0,276.0,135.0,89.0,49.0,180.0
669,0.0,3.0,11.0,2.0,4.0,132.0,155.0,1.0,12079.0,51.0,85.0,394.0,294.0,23.0,62.0,710.0,309.0,570.0,64.0,143.0,44.0,32.0,5.0,47.0,48.0,375.0,8.0,94.0,207.0,263.0
718,0.0,1.0,2.0,27.0,4.0,6.0,124.0,3.0,10850.0,86.0,65.0,238.0,5699.0,52.0,43.0,483.0,53.0,165.0,172.0,289.0,16.0,1231.0,24.0,18647.0,31.0,174.0,12.0,235.0,62.0,116.0
767,1.0,0.0,3.0,2.0,5.0,7.0,199.0,16.0,2487.0,1084.0,31.0,18.0,5606.0,38.0,52.0,129.0,24.0,8388.0,20.0,73.0,43.0,20355.0,26.0,13.0,146.0,18887.0,985.0,17511.0,27.0,6088.0
816,1.0,0.0,5.0,2.0,4.0,98.0,8.0,31.0,10348.0,689.0,40.0,125.0,405.0,506.0,14.0,22.0,15145.0,2055.0,132.0,287.0,20.0,101.0,21.0,12.0,80.0,18881.0,13.0,54.0,424.0,6043.0
865,1.0,0.0,5.0,6.0,8.0,2.0,15546.0,70.0,1322.0,97.0,16.0,12.0,285.0,9.0,31.0,73.0,40.0,8456.0,50.0,985.0,11.0,533.0,194.0,150.0,214.0,18819.0,2441.0,77.0,115.0,488.0
914,1.0,0.0,22.0,2.0,3.0,1607.0,31.0,69.0,10898.0,63.0,17091.0,297.0,1247.0,24.0,37.0,27.0,51.0,8455.0,36.0,911.0,17.0,15.0,82.0,4.0,45.0,18798.0,47.0,23.0,78.0,5691.0
963,0.0,1.0,82.0,2.0,62.0,89.0,145.0,127.0,11771.0,11546.0,125.0,44.0,6862.0,76.0,13.0,11.0,1120.0,1414.0,473.0,81.0,366.0,386.0,69.0,18577.0,248.0,1443.0,3.0,17427.0,139.0,218.0
1012,0.0,1.0,2.0,9.0,106.0,7.0,134.0,6.0,4.0,16.0,10.0,140.0,20.0,96.0,93.0,17.0,961.0,5.0,13.0,26.0,3.0,37.0,816.0,35.0,419.0,116.0,444.0,12.0,291.0,347.0
1061,0.0,1.0,14.0,2.0,18.0,20.0,8.0,41.0,28.0,71.0,6.0,153.0,73.0,110.0,48.0,154.0,10.0,8381.0,478.0,801.0,7.0,15.0,67.0,3.0,11.0,247.0,27.0,46.0,4957.0,131.0
1110,0.0,1.0,6.0,3.0,56.0,18.0,46.0,4.0,7.0,47.0,11.0,58.0,9.0,354.0,16.0,353.0,20.0,19.0,663.0,49.0,2.0,22.0,105.0,37.0,25.0,23112.0,140.0,92.0,186.0,133.0
1159,0.0,2.0,1.0,3.0,110.0,40.0,179.0,16.0,11.0,9.0,7.0,13996.0,37.0,5349.0,15.0,91.0,10.0,242.0,3443.0,5.0,68.0,17.0,18009.0,4.0,30.0,18772.0,696.0,20.0,2127.0,845.0
1208,0.0,1.0,2.0,3.0,9.0,16.0,27.0,15.0,41.0,219.0,22.0,841.0,14.0,117.0,167.0,85.0,78.0,18.0,1303.0,4547.0,13.0,10.0,536.0,21.0,84.0,17.0,12.0,17405.0,294.0,34.0
1257,0.0,1.0,2.0,9.0,11.0,22.0,521.0,6.0,123.0,7.0,12.0,169.0,50.0,77.0,172.0,459.0,5.0,10.0,22076.0,102.0,4.0,415.0,133.0,3.0,203.0,42.0,15.0,34.0,2734.0,2862.0
1306,0.0,1.0,12.0,2.0,50.0,3.0,25.0,8.0,121.0,190.0,6.0,27.0,32.0,16.0,48.0,109.0,104.0,13.0,22060.0,33.0,42.0,88.0,3367.0,794.0,29.0,131.0,248.0,242.0,1672.0,244.0
1355,1.0,0.0,4.0,9.0,25.0,3.0,13.0,862.0,8.0,386.0,24.0,2032.0,5.0,473.0,7652.0,58.0,99.0,18.0,3104.0,28.0,152.0,2.0,18032.0,31.0,286.0,17.0,3024.0,38.0,373.0,584.0
1404,2.0,0.0,5.0,9.0,83.0,13.0,412.0,33.0,39.0,57.0,17.0,24.0,85.0,168.0,9307.0,16.0,23.0,372.0,22131.0,1096.0,1.0,3.0,267.0,22.0,86.0,1208.0,7.0,15.0,887.0,34.0
1453,3.0,0.0,1.0,2.0,8.0,149.0,904.0,5.0,58.0,31.0,48.0,61.0,86.0,54.0,73.0,23.0,10.0,2713.0,94.0,610.0,263.0,20.0,196.0,7.0,72.0,134.0,16483.0,93.0,3239.0,16.0
1502,0.0,1.0,2.0,52.0,4.0,16.0,15513.0,23.0,12.0,229.0,9.0,13999.0,5705.0,128.0,48.0,46.0,1128.0,15.0,3.0,57.0,1635.0,38.0,778.0,219.0,143.0,29.0,28.0,122.0,7.0,476.0
1551,0.0,1.0,2.0,320.0,5.0,8.0,875.0,4.0,77.0,112.0,3.0,90.0,6753.0,138.0,153.0,7.0,212.0,110.0,28.0,51.0,103.0,32.0,220.0,715.0,14418.0,119.0,423.0,184.0,45.0,80.0
1600,0.0,1.0,8.0,2.0,112.0,20.0,1206.0,11.0,51.0,10.0,15.0,32.0,91.0,18.0,221.0,13.0,137.0,46.0,5.0,4519.0,7.0,314.0,71.0,23253.0,30.0,544.0,74.0,1088.0,34.0,510.0
1649,1.0,0.0,3.0,6.0,13.0,5.0,12.0,4.0,11.0,245.0,32.0,264.0,92.0,43.0,30.0,46.0,15463.0,10.0,2.0,813.0,302.0,1369.0,773.0,102.0,778.0,18770.0,1252.0,17.0,223.0,219.0
1698,1.0,0.0,2.0,58.0,96.0,4.0,1339.0,8.0,7.0,9.0,91.0,174.0,30.0,9271.0,624.0,424.0,213.0,6.0,48.0,85.0,69.0,144.0,312.0,106.0,122.0,62.0,36.0,2324.0,105.0,309.0
1747,2.0,6.0,7.0,0.0,19.0,1.0,3.0,60.0,796.0,13.0,4.0,14057.0,4340.0,70.0,153.0,168.0,14.0,423.0,43.0,119.0,654.0,136.0,52.0,65.0,1048.0,165.0,35.0,44.0,155.0,308.0
1796,1.0,4.0,0.0,241.0,131.0,2.0,62.0,109.0,303.0,785.0,22.0,42.0,386.0,37.0,12967.0,35.0,32.0,116.0,3.0,18.0,61.0,141.0,66.0,10.0,111.0,140.0,88.0,727.0,19.0,478.0
1845,1.0,0.0,2.0,87.0,17.0,6.0,31.0,16.0,30.0,34.0,5.0,7.0,887.0,33.0,244.0,61.0,26.0,14.0,28.0,69.0,4.0,197.0,55.0,124.0,104.0,70.0,514.0,17124.0,997.0,223.0
1894,5.0,0.0,3.0,9.0,19.0,1.0,24.0,7.0,8.0,17.0,6.0,14017.0,100.0,56.0,84.0,422.0,48.0,107.0,832.0,20.0,18.0,20385.0,892.0,125.0,1248.0,37.0,39.0,17414.0,4655.0,57.0
1943,0.0,4.0,30.0,2.0,7.0,13.0,3.0,132.0,242.0,9868.0,141.0,1074.0,83.0,48.0,811.0,18.0,225.0,20.0,1.0,75.0,278.0,17.0,116.0,147.0,41.0,151.0,16484.0,81.0,12.0,1086.0
1992,13.0,0.0,67.0,1.0,2.0,3.0,17.0,32.0,37.0,9110.0,72.0,1808.0,20.0,753.0,33.0,82.0,250.0,64.0,6.0,2542.0,200.0,127.0,699.0,48.0,739.0,924.0,16507.0,17501.0,8.0,251.0
2041,3.0,4.0,2.0,0.0,39.0,5.0,19.0,228.0,15.0,216.0,3427.0,32.0,11.0,40.0,17.0,44.0,37.0,220.0,33.0,69.0,312.0,65.0,18040.0,815.0,62.0,93.0,16521.0,109.0,172.0,57.0
2090,0.0,1.0,3.0,21.0,8.0,2.0,6.0,9.0,35.0,949.0,62.0,232.0,16.0,5.0,544.0,455.0,90.0,104.0,12.0,5003.0,3493.0,20602.0,67.0,95.0,13.0,257.0,16555.0,36.0,17.0,207.0
2139,16.0,0.0,3.0,31.0,1.0,6.0,2.0,71.0,23.0,43.0,41.0,26.0,28.0,98.0,82.0,137.0,10.0,1075.0,155.0,85.0,87.0,249.0,17994.0,2490.0,699.0,20.0,762.0,653.0,9.0,46.0
2188,14.0,2.0,47.0,150.0,25.0,4.0,1.0,0.0,3.0,44.0,1240.0,249.0,86.0,42.0,80.0,22.0,16.0,256.0,3143.0,54.0,556.0,835.0,603.0,90.0,464.0,957.0,16511.0,56.0,1283.0,139.0
2237,1.0,0.0,5.0,6.0,9.0,2.0,11.0,1887.0,150.0,307.0,317.0,536.0,106.0,13.0,23.0,287.0,146.0,956.0,624.0,648.0,575.0,293.0,272.0,67.0,331.0,508.0,16500.0,66.0,4.0,22.0
2286,0.0,1.0,5.0,3.0,7.0,11.0,25.0,2.0,217.0,66.0,157.0,890.0,845.0,77.0,30.0,136.0,175.0,8381.0,613.0,3911.0,8.0,6.0,4.0,38.0,467.0,29.0,16489.0,12.0,10.0,91.0
2335,0.0,1.0,2.0,36.0,10.0,52.0,63.0,506.0,82.0,220.0,28.0,85.0,938.0,20.0,111.0,169.0,583.0,22.0,847.0,330.0,189.0,1041.0,15.0,31.0,40.0,39.0,3478.0,71.0,8.0,41.0
2384,1.0,0.0,6.0,5.0,7.0,3.0,10.0,18.0,32.0,71.0,16651.0,397.0,290.0,17.0,528.0,81.0,445.0,737.0,1448.0,779.0,17169.0,456.0,29.0,28.0,26.0,14.0,144.0,24.0,9.0,25.0
2433,0.0,4.0,136.0,3.0,10542.0,33.0,10.0,527.0,2.0,9817.0,629.0,393.0,88.0,31.0,18.0,93.0,1490.0,96.0,218.0,3324.0,161.0,2196.0,17885.0,110.0,9.0,1177.0,16477.0,11.0,49.0,125.0
2482,2.0,1.0,5.0,0.0,8.0,227.0,115.0,46.0,9.0,6.0,48.0,54.0,27.0,113.0,29.0,31.0,202.0,11.0,69.0,7.0,177.0,112.0,24.0,39.0,18.0,1464.0,49.0,184.0,196.0,95.0
2531,1.0,0.0,42.0,362.0,2.0,269.0,667.0,23.0,7.0,60.0,73.0,358.0,49.0,67.0,13.0,35.0,72.0,12.0,313.0,9.0,749.0,1980.0,5.0,1331.0,4.0,246.0,76.0,104.0,379.0,558.0
2580,5.0,0.0,3.0,4.0,2.0,93.0,6.0,14.0,160.0,12.0,499.0,176.0,56.0,38.0,33.0,68.0,53.0,60.0,381.0,23.0,120.0,65.0,17.0,18607.0,259.0,101.0,387.0,438.0,4626.0,350.0
2629,0.0,1.0,8.0,19.0,16.0,164.0,10.0,13.0,866.0,80.0,6.0,95.0,39.0,55.0,267.0,15.0,2.0,26.0,72.0,327.0,14.0,7.0,79.0,3.0,139.0,435.0,35.0,680.0,1191.0,11.0
2678,1.0,0.0,8.0,26.0,5.0,30.0,32.0,60.0,17.0,6.0,74.0,200.0,43.0,470.0,83.0,28.0,919.0,3.0,7.0,10.0,1114.0,57.0,29.0,353.0,25.0,135.0,97.0,2910.0,798.0,36.0
2727,0.0,2.0,4.0,22.0,1.0,6557.0,43.0,3.0,18.0,24.0,120.0,67.0,5.0,10078.0,50.0,136.0,820.0,26.0,77.0,6.0,1009.0,114.0,23.0,96.0,39.0,23455.0,2775.0,51.0,551.0,285.0
2776,0.0,2.0,6.0,457.0,5.0,221.0,2080.0,48.0,21.0,7.0,23.0,164.0,53.0,669.0,34.0,433.0,575.0,169.0,59.0,90.0,17154.0,20309.0,8.0,151.0,10.0,67.0,140.0,54.0,51.0,46.0
2825,0.0,1.0,4.0,2.0,3.0,53.0,125.0,225.0,48.0,215.0,1196.0,245.0,73.0,65.0,23.0,54.0,103.0,91.0,50.0,86.0,794.0,214.0,155.0,96.0,39.0,197.0,818.0,28.0,1342.0,273.0
2874,0.0,2.0,185.0,26.0,17.0,33.0,1.0,21.0,95.0,43.0,14.0,15.0,74.0,361.0,8336.0,68.0,216.0,100.0,101.0,114.0,2903.0,20440.0,7.0,18695.0,19.0,559.0,16465.0,1767.0,83.0,323.0
2923,0.0,1.0,3.0,2.0,17.0,18.0,6.0,37.0,22.0,10.0,50.0,39.0,95.0,100.0,25.0,8.0,38.0,28.0,101.0,504.0,1165.0,88.0,701.0,20.0,768.0,2335.0,16.0,112.0,341.0,2324.0
2972,2.0,1.0,0.0,4.0,67.0,12.0,3.0,5.0,61.0,8.0,20.0,676.0,196.0,763.0,465.0,195.0,121.0,17.0,142.0,291.0,136.0,2362.0,40.0,285.0,13.0,11.0,1487.0,514.0,810.0,50.0
3021,1.0,0.0,8.0,15.0,10.0,212.0,2.0,5.0,11.0,12.0,31.0,71.0,168.0,30.0,24.0,8548.0,257.0,814.0,9.0,54.0,806.0,36.0,17898.0,1821.0,14373.0,179.0,34.0,137.0,4723.0,16.0
3070,6.0,1.0,4.0,5.0,7.0,13.0,2.0,27.0,50.0,3.0,32.0,14058.0,70.0,35.0,374.0,198.0,123.0,883.0,0.0,34.0,51.0,20614.0,630.0,21.0,14463.0,1320.0,9.0,639.0,14.0,109.0
3119,1.0,0.0,51.0,2.0,20.0,10.0,3.0,5.0,58.0,9.0,167.0,108.0,331.0,122.0,7624.0,85.0,15374.0,606.0,18.0,52.0,145.0,20386.0,16.0,18654.0,41.0,134.0,24.0,313.0,1436.0,15.0
3168,36.0,0.0,6661.0,2.0,5.0,16.0,1.0,4.0,150.0,3.0,106.0,18.0,55.0,570.0,416.0,87.0,246.0,86.0,21.0,264.0,247.0,99.0,125.0,19.0,14387.0,13.0,45.0,174.0,116.0,148.0
3217,1.0,6.0,7.0,8.0,18.0,27.0,0.0,12.0,616.0,13.0,1026.0,10.0,1078.0,26.0,63.0,99.0,67.0,42.0,30.0,265.0,180.0,20339.0,21.0,444.0,144.0,199.0,32.0,506.0,4597.0,6147.0
3266,1.0,0.0,3.0,16.0,10.0,15.0,63.0,4.0,39.0,9.0,80.0,95.0,1119.0,121.0,605.0,444.0,304.0,18.0,50.0,4780.0,77.0,20385.0,18046.0,12.0,14113.0,7.0,546.0,17526.0,40.0,79.0
3315,5.0,0.0,1.0,2.0,7.0,12.0,3.0,8.0,93.0,48.0,33.0,115.0,162.0,20.0,895.0,192.0,51.0,47.0,4.0,52.0,1026.0,54.0,671.0,153.0,238.0,18783.0,67.0,17501.0,285.0,41.0
3364,1.0,0.0,8.0,19.0,21.0,3.0,23.0,7.0,17.0,34.0,44.0,11.0,6.0,14.0,626.0,74.0,36.0,61.0,2.0,65.0,52.0,1736.0,48.0,170.0,119.0,32.0,5.0,17493.0,69.0,93.0
3413,1.0,5.0,3.0,0.0,10.0,7.0,347.0,2.0,34.0,63.0,49.0,13.0,68.0,155.0,9881.0,58.0,23.0,91.0,66.0,116.0,727.0,151.0,40.0,208.0,517.0,43.0,25.0,157.0,168.0,28.0
3462,4.0,0.0,1.0,39.0,173.0,18.0,246.0,26.0,35.0,19.0,133.0,2.0,41.0,364.0,461.0,86.0,75.0,864.0,11.0,143.0,17175.0,25.0,531.0,12.0,96.0,343.0,797.0,550.0,279.0,24.0
3511,0.0,1.0,4.0,29.0,1295.0,68.0,12.0,184.0,33.0,6.0,463.0,13.0,664.0,14.0,420.0,15.0,222.0,31.0,3295.0,30.0,17130.0,11.0,1191.0,571.0,582.0,133.0,137.0,616.0,44.0,70.0
3560,1.0,0.0,4.0,7.0,5.0,69.0,2.0,43.0,11.0,6.0,115.0,425.0,1674.0,90.0,85.0,77.0,87.0,8387.0,193.0,491.0,52.0,49.0,68.0,18665.0,40.0,201.0,16509.0,2115.0,8.0,13.0
3609,0.0,1.0,10.0,9.0,3.0,5.0,18.0,808.0,30.0,4.0,16595.0,69.0,64.0,48.0,7594.0,58.0,23.0,211.0,7.0,267.0,3356.0,123.0,18003.0,44.0,14342.0,24.0,121.0,17519.0,2091.0,127.0
3658,0.0,1.0,8.0,1304.0,22.0,5.0,12.0,15.0,7.0,43.0,400.0,56.0,20787.0,158.0,9288.0,388.0,30.0,1363.0,63.0,103.0,41.0,33.0,228.0,355.0,229.0,127.0,501.0,16879.0,27.0,20568.0
3707,0.0,1.0,19.0,6.0,3.0,16.0,2.0,295.0,87.0,22.0,75.0,11.0,8.0,100.0,7620.0,39.0,38.0,99.0,25.0,187.0,212.0,7.0,18045.0,114.0,980.0,24.0,16523.0,17523.0,36.0,76.0
3756,0.0,1.0,11.0,6.0,5.0,48.0,2.0,34.0,173.0,94.0,25.0,16.0,47.0,30.0,7542.0,112.0,29.0,201.0,12.0,15.0,2806.0,61.0,134.0,10.0,1296.0,18773.0,1901.0,17520.0,628.0,46.0
3805,1.0,0.0,5.0,25.0,8.0,7.0,17.0,2.0,26.0,9.0,30.0,49.0,94.0,12.0,134.0,21.0,19.0,8446.0,14.0,217.0,300.0,2036.0,40.0,79.0,409.0,203.0,449.0,1997.0,521.0,127.0
3854,1.0,0.0,6.0,9.0,2.0,8.0,5.0,134.0,20.0,3.0,11.0,16.0,137.0,562.0,149.0,1355.0,15148.0,365.0,4.0,18.0,218.0,25.0,18009.0,18654.0,115.0,89.0,16494.0,17463.0,51.0,7491.0
3903,1.0,0.0,14.0,426.0,10.0,1812.0,32.0,15.0,86.0,22.0,77.0,109.0,106.0,8.0,212.0,173.0,47.0,120.0,118.0,16.0,93.0,20438.0,130.0,20.0,787.0,13.0,2858.0,17430.0,265.0,73.0
3952,0.0,1.0,3.0,84.0,1007.0,67.0,4.0,141.0,87.0,14.0,74.0,230.0,69.0,89.0,7525.0,102.0,15151.0,7.0,2472.0,919.0,103.0,6.0,36.0,560.0,14331.0,34.0,16484.0,37.0,2.0,95.0
4001,0.0,1.0,2.0,67.0,101.0,180.0,11.0,13.0,34.0,659.0,30.0,13999.0,50.0,19.0,7667.0,12112.0,15423.0,102.0,956.0,90.0,146.0,31.0,52.0,2055.0,141.0,134.0,119.0,1021.0,80.0,61.0
4050,1.0,2.0,0.0,129.0,9.0,111.0,15.0,80.0,69.0,885.0,42.0,51.0,31.0,10.0,1126.0,9730.0,1454.0,158.0,25.0,5.0,27.0,12.0,290.0,18889.0,289.0,1202.0,34.0,141.0,6.0,146.0
4099,0.0,1.0,2.0,35.0,13.0,3.0,9.0,208.0,12.0,57.0,43.0,34.0,25.0,97.0,304.0,352.0,1402.0,89.0,230.0,391.0,3422.0,373.0,14.0,18873.0,231.0,147.0,91.0,119.0,287.0,17.0
4148,0.0,9.0,3.0,265.0,46.0,32.0,5.0,10.0,4.0,120.0,7.0,336.0,16.0,77.0,180.0,544.0,199.0,30.0,152.0,335.0,2.0,35.0,17960.0,18882.0,285.0,68.0,192.0,45.0,11.0,153.0
4197,0.0,1.0,3.0,224.0,10602.0,4.0,2.0,55.0,19.0,112.0,10.0,20.0,35.0,621.0,710.0,12175.0,709.0,48.0,246.0,4478.0,459.0,17.0,39.0,18870.0,40.0,204.0,16521.0,17520.0,28.0,703.0
4246,1.0,0.0,30.0,10.0,459.0,4.0,3.0,6.0,19.0,106.0,21.0,1694.0,48.0,538.0,123.0,51.0,15396.0,7.0,22092.0,215.0,97.0,261.0,54.0,18641.0,91.0,186.0,283.0,119.0,35.0,318.0
4295,0.0,5.0,2.0,535.0,96.0,61.0,223.0,299.0,14.0,8343.0,64.0,53.0,35.0,136.0,450.0,12536.0,13483.0,11.0,14683.0,130.0,531.0,685.0,290.0,19999.0,289.0,76.0,256.0,1043.0,13.0,70.0
4344,0.0,15.0,1.0,44.0,48.0,8.0,7.0,16756.0,100.0,13.0,54.0,3.0,187.0,12.0,716.0,72.0,15368.0,5.0,22064.0,177.0,14.0,20352.0,255.0,18645.0,14322.0,17.0,20.0,125.0,64.0,484.0
4393,0.0,2.0,58.0,92.0,294.0,165.0,3.0,1187.0,19.0,1500.0,142.0,46.0,51.0,9218.0,744.0,12081.0,279.0,896.0,1065.0,9.0,324.0,1811.0,41.0,2154.0,274.0,26.0,16536.0,33.0,28.0,5991.0
4442,6.0,0.0,9.0,42.0,25.0,1.0,5.0,96.0,10848.0,182.0,3.0,91.0,5676.0,210.0,55.0,859.0,67.0,689.0,50.0,995.0,31.0,172.0,137.0,28.0,14348.0,75.0,16513.0,187.0,199.0,6085.0
4491,1.0,0.0,2.0,3.0,12.0,4.0,23.0,10.0,230.0,5.0,9.0,17.0,5945.0,932.0,77.0,463.0,27.0,1204.0,159.0,219.0,7.0,831.0,199.0,202.0,132.0,62.0,19.0,147.0,5169.0,529.0
4540,1.0,0.0,4.0,13.0,351.0,18.0,32.0,26.0,130.0,10.0,17.0,3.0,30.0,1060.0,68.0,12138.0,255.0,8445.0,6.0,4796.0,8.0,207.0,217.0,124.0,36.0,34.0,11.0,1934.0,88.0,6159.0
4589,2.0,0.0,4.0,1.0,96.0,171.0,47.0,21.0,371.0,11.0,14.0,12.0,368.0,604.0,15.0,66.0,29.0,204.0,58.0,101.0,7.0,10.0,843.0,8.0,108.0,162.0,32.0,49.0,25.0,5945.0
4638,0.0,1.0,2.0,5.0,86.0,17.0,35.0,797.0,124.0,2178.0,21.0,3.0,24.0,131.0,27.0,657.0,419.0,26.0,59.0,186.0,97.0,31.0,29.0,78.0,33.0,67.0,7.0,95.0,284.0,3683.0
4687,0.0,2.0,3.0,1.0,134.0,224.0,7.0,71.0,33.0,77.0,17.0,56.0,6458.0,377.0,19.0,128.0,4.0,54.0,2971.0,178.0,16.0,239.0,140.0,1634.0,90.0,18836.0,16575.0,88.0,9.0,747.0
4736,1.0,0.0,3.0,5.0,904.0,6.0,33.0,9.0,8.0,16.0,17.0,11.0,50.0,76.0,80.0,95.0,7.0,23.0,18.0,176.0,279.0,38.0,13.0,1323.0,32.0,26.0,16502.0,98.0,172.0,6790.0
4785,4.0,0.0,1.0,61.0,49.0,3.0,12.0,661.0,24.0,2.0,39.0,11.0,793.0,90.0,8271.0,16.0,6.0,20.0,224.0,48.0,18.0,340.0,1084.0,98.0,315.0,1141.0,293.0,16129.0,1248.0,126.0
4834,1.0,0.0,3.0,19.0,148.0,23.0,60.0,79.0,13.0,42.0,12.0,45.0,30.0,238.0,85.0,12106.0,586.0,201.0,337.0,15.0,29.0,246.0,100.0,159.0,11.0,126.0,17.0,17510.0,27.0,1049.0
4883,0.0,1.0,6.0,2.0,33.0,3.0,278.0,4.0,28.0,802.0,16.0,18.0,5.0,96.0,26.0,824.0,162.0,30.0,9.0,263.0,593.0,175.0,258.0,18639.0,561.0,25.0,177.0,194.0,4636.0,5919.0
