, VEGF, TLR, H2O2, IL-1, MAPK_PI3K, PI3K_only, JAK-STAT, Wnt, TGFB, TNFa, MAPK_only
2246,5.0,4.0,7.0,1.0,2.0,0.0,3.0,6.0,10.0,9.0,8.0
2295,6.0,9.0,8.0,2.0,4.0,0.0,3.0,1.0,10.0,5.0,7.0
2344,1.0,8.0,6.0,0.0,3.0,2.0,7.0,5.0,4.0,9.0,10.0
2393,3.0,4.0,0.0,2.0,1.0,7.0,10.0,5.0,8.0,6.0,9.0
2442,1.0,4.0,3.0,8.0,2.0,5.0,0.0,10.0,6.0,7.0,9.0
2491,1.0,3.0,2.0,7.0,9.0,10.0,4.0,6.0,5.0,0.0,8.0
2540,4.0,2.0,0.0,8.0,7.0,10.0,9.0,5.0,1.0,3.0,6.0
2589,2.0,3.0,5.0,9.0,7.0,1.0,10.0,4.0,0.0,8.0,6.0
2638,3.0,1.0,5.0,10.0,8.0,9.0,6.0,4.0,0.0,2.0,7.0
2687,1.0,2.0,4.0,5.0,7.0,8.0,6.0,10.0,9.0,3.0,0.0
2736,2.0,4.0,0.0,3.0,5.0,1.0,6.0,8.0,7.0,10.0,9.0
2785,1.0,4.0,2.0,6.0,7.0,0.0,3.0,10.0,5.0,9.0,8.0
2834,5.0,1.0,0.0,6.0,7.0,2.0,10.0,9.0,8.0,3.0,4.0
2883,0.0,6.0,2.0,7.0,5.0,3.0,8.0,10.0,1.0,9.0,4.0
2932,4.0,8.0,0.0,5.0,1.0,10.0,6.0,7.0,3.0,9.0,2.0
2981,4.0,0.0,1.0,5.0,9.0,10.0,6.0,2.0,8.0,7.0,3.0
3030,5.0,1.0,2.0,6.0,4.0,8.0,7.0,0.0,9.0,10.0,3.0
3079,3.0,0.0,8.0,4.0,9.0,10.0,1.0,7.0,5.0,6.0,2.0
3128,2.0,5.0,10.0,6.0,4.0,1.0,3.0,0.0,8.0,9.0,7.0
3177,1.0,4.0,0.0,2.0,3.0,10.0,9.0,5.0,7.0,8.0,6.0
3226,0.0,2.0,9.0,3.0,6.0,7.0,5.0,1.0,10.0,8.0,4.0
3275,4.0,3.0,1.0,5.0,7.0,8.0,6.0,0.0,2.0,9.0,10.0
3324,2.0,1.0,0.0,4.0,8.0,5.0,6.0,3.0,10.0,9.0,7.0
3373,2.0,0.0,9.0,3.0,5.0,1.0,10.0,7.0,6.0,8.0,4.0
3422,1.0,0.0,10.0,2.0,8.0,9.0,7.0,4.0,6.0,3.0,5.0
3471,0.0,7.0,1.0,4.0,5.0,2.0,6.0,10.0,8.0,3.0,9.0
3520,0.0,4.0,1.0,2.0,5.0,10.0,8.0,7.0,9.0,6.0,3.0
3569,0.0,2.0,6.0,3.0,1.0,9.0,4.0,10.0,7.0,5.0,8.0
3618,4.0,1.0,0.0,5.0,2.0,3.0,8.0,7.0,9.0,6.0,10.0
3667,3.0,0.0,6.0,7.0,1.0,2.0,8.0,9.0,4.0,5.0,10.0
3716,0.0,1.0,7.0,9.0,5.0,8.0,3.0,10.0,2.0,6.0,4.0
3765,1.0,3.0,4.0,5.0,0.0,6.0,9.0,7.0,2.0,10.0,8.0
3814,0.0,6.0,1.0,9.0,2.0,3.0,5.0,7.0,4.0,8.0,10.0
3863,0.0,4.0,10.0,2.0,3.0,6.0,8.0,7.0,1.0,5.0,9.0
3912,0.0,1.0,6.0,7.0,2.0,3.0,8.0,10.0,4.0,5.0,9.0
3961,9.0,4.0,3.0,6.0,8.0,0.0,10.0,2.0,5.0,1.0,7.0
4010,4.0,10.0,9.0,2.0,6.0,1.0,5.0,8.0,7.0,3.0,0.0
4059,3.0,2.0,7.0,1.0,9.0,4.0,8.0,0.0,10.0,5.0,6.0
4108,3.0,9.0,7.0,8.0,5.0,6.0,4.0,0.0,2.0,10.0,1.0
4157,1.0,4.0,3.0,6.0,0.0,8.0,10.0,5.0,9.0,2.0,7.0
4206,4.0,6.0,2.0,5.0,7.0,3.0,8.0,1.0,0.0,10.0,9.0
4255,2.0,8.0,6.0,7.0,4.0,1.0,5.0,3.0,0.0,9.0,10.0
4304,4.0,10.0,6.0,2.0,1.0,3.0,9.0,5.0,7.0,8.0,0.0
4353,3.0,5.0,10.0,4.0,2.0,1.0,9.0,8.0,6.0,7.0,0.0
4402,2.0,0.0,10.0,3.0,4.0,9.0,1.0,8.0,6.0,7.0,5.0
4451,0.0,8.0,4.0,1.0,5.0,6.0,10.0,3.0,9.0,2.0,7.0
4500,0.0,3.0,4.0,2.0,7.0,10.0,6.0,1.0,5.0,8.0,9.0
4549,0.0,1.0,2.0,5.0,7.0,8.0,10.0,4.0,9.0,3.0,6.0
4598,2.0,1.0,0.0,5.0,6.0,7.0,8.0,9.0,3.0,4.0,10.0
4647,0.0,1.0,7.0,2.0,4.0,10.0,8.0,6.0,5.0,9.0,3.0
4696,0.0,1.0,3.0,4.0,5.0,6.0,10.0,9.0,2.0,7.0,8.0
4745,1.0,9.0,8.0,0.0,2.0,5.0,6.0,10.0,7.0,4.0,3.0
4794,1.0,3.0,0.0,2.0,5.0,6.0,9.0,10.0,7.0,8.0,4.0
4843,1.0,0.0,2.0,7.0,3.0,4.0,10.0,6.0,5.0,8.0,9.0
4892,4.0,0.0,7.0,5.0,6.0,9.0,2.0,8.0,10.0,3.0,1.0
