,hsa-miR-130a,hsa-miR-323-5p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-486-3p,hsa-miR-34c-5p,hsa-miR-1978,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-548h,hsa-miR-1253,hsa-miR-424,kshv-miR-K12-5,hsa-miR-545,hsa-miR-1,hcmv-miR-US25-1,hsa-miR-151-3p,hsa-miR-342-3p,hsa-let-7a,hsa-miR-765,hsa-miR-10a,hsa-miR-148a,hsa-miR-363,hsa-miR-576-3p,hsa-miR-548b-3p,hsa-miR-605,hsa-miR-671-5p,hsa-miR-21,hsa-miR-1321,hsa-miR-1293
803,425.0,49.0,101.0,24.0,38.0,25.0,8.0,31.0,63.0,188.0,58.0,22.0,21.0,110.0,127.0,288.0,75.0,612.0,172.0,347.0,17.0,14.0,105.0,145.0,125.0,72.0,7.0,104.0,44.0,468.0
852,42.0,69.0,64.0,21.0,113.0,20.0,52.0,25.0,27.0,199.0,119.0,525.0,133.0,141.0,457.0,9.0,33.0,616.0,127.0,351.0,26.0,378.0,103.0,104.0,206.0,18.0,7.0,155.0,16.0,19.0
901,394.0,24.0,71.0,108.0,40.0,61.0,42.0,90.0,46.0,58.0,99.0,59.0,34.0,143.0,41.0,297.0,102.0,609.0,186.0,355.0,11.0,37.0,600.0,157.0,91.0,72.0,80.0,111.0,12.0,112.0
950,6.0,69.0,552.0,61.0,32.0,52.0,134.0,34.0,115.0,164.0,20.0,123.0,80.0,177.0,128.0,13.0,63.0,119.0,39.0,344.0,55.0,70.0,23.0,105.0,29.0,19.0,51.0,64.0,27.0,464.0
999,48.0,43.0,84.0,64.0,45.0,93.0,71.0,113.0,129.0,375.0,116.0,606.0,56.0,91.0,96.0,8.0,74.0,40.0,256.0,47.0,61.0,110.0,125.0,142.0,540.0,132.0,360.0,106.0,79.0,479.0
1048,3.0,55.0,10.0,48.0,59.0,35.0,20.0,50.0,44.0,126.0,33.0,521.0,95.0,99.0,30.0,153.0,82.0,86.0,0.0,39.0,454.0,374.0,68.0,100.0,58.0,75.0,12.0,102.0,394.0,467.0
1097,3.0,6.0,71.0,155.0,91.0,72.0,58.0,29.0,143.0,234.0,98.0,36.0,12.0,113.0,15.0,193.0,70.0,55.0,367.0,78.0,16.0,379.0,163.0,131.0,232.0,19.0,27.0,120.0,465.0,81.0
1146,14.0,141.0,25.0,147.0,39.0,82.0,86.0,84.0,35.0,37.0,32.0,521.0,62.0,162.0,73.0,42.0,106.0,116.0,362.0,52.0,68.0,378.0,121.0,61.0,164.0,38.0,17.0,142.0,111.0,124.0
1195,467.0,67.0,39.0,24.0,43.0,128.0,118.0,81.0,34.0,117.0,88.0,77.0,246.0,217.0,160.0,36.0,44.0,100.0,364.0,274.0,457.0,113.0,37.0,108.0,161.0,112.0,11.0,124.0,432.0,61.0
1244,126.0,144.0,15.0,55.0,26.0,65.0,102.0,133.0,47.0,560.0,25.0,89.0,107.0,568.0,317.0,284.0,100.0,21.0,103.0,157.0,91.0,31.0,434.0,61.0,32.0,263.0,29.0,154.0,119.0,95.0
1293,23.0,24.0,88.0,80.0,99.0,58.0,64.0,55.0,54.0,22.0,168.0,59.0,39.0,32.0,65.0,19.0,77.0,74.0,33.0,82.0,6.0,72.0,613.0,146.0,538.0,119.0,361.0,107.0,62.0,110.0
1342,0.0,12.0,86.0,42.0,27.0,67.0,425.0,95.0,38.0,52.0,26.0,97.0,209.0,11.0,45.0,287.0,31.0,616.0,58.0,125.0,142.0,390.0,135.0,139.0,186.0,103.0,41.0,413.0,472.0,99.0
1391,54.0,17.0,70.0,60.0,99.0,85.0,16.0,41.0,28.0,187.0,34.0,520.0,148.0,88.0,97.0,183.0,166.0,68.0,134.0,47.0,455.0,29.0,45.0,106.0,43.0,23.0,267.0,111.0,168.0,467.0
1440,434.0,57.0,89.0,77.0,106.0,82.0,56.0,110.0,35.0,231.0,92.0,528.0,279.0,59.0,74.0,299.0,28.0,61.0,240.0,27.0,100.0,399.0,124.0,155.0,48.0,79.0,66.0,151.0,432.0,123.0
1489,389.0,93.0,75.0,160.0,78.0,32.0,12.0,92.0,102.0,36.0,161.0,517.0,45.0,66.0,21.0,286.0,88.0,124.0,362.0,50.0,30.0,116.0,108.0,130.0,54.0,86.0,355.0,31.0,388.0,467.0
1538,25.0,20.0,62.0,64.0,61.0,77.0,91.0,121.0,426.0,21.0,155.0,584.0,7.0,31.0,307.0,269.0,103.0,63.0,17.0,85.0,42.0,506.0,96.0,228.0,553.0,264.0,2.0,98.0,428.0,4.0
1587,554.0,15.0,79.0,44.0,67.0,37.0,481.0,22.0,50.0,564.0,100.0,596.0,34.0,40.0,171.0,14.0,126.0,48.0,630.0,66.0,85.0,62.0,142.0,242.0,7.0,71.0,13.0,36.0,51.0,229.0
1636,457.0,116.0,100.0,26.0,60.0,131.0,395.0,38.0,40.0,379.0,25.0,64.0,133.0,71.0,5.0,316.0,23.0,88.0,77.0,158.0,285.0,87.0,69.0,83.0,117.0,138.0,79.0,143.0,47.0,54.0
1685,15.0,55.0,33.0,138.0,117.0,75.0,65.0,132.0,119.0,134.0,437.0,528.0,23.0,37.0,45.0,0.0,161.0,78.0,367.0,296.0,84.0,154.0,49.0,160.0,181.0,271.0,312.0,77.0,99.0,14.0
1734,125.0,46.0,68.0,99.0,90.0,37.0,474.0,73.0,614.0,557.0,93.0,590.0,16.0,39.0,61.0,282.0,109.0,148.0,80.0,84.0,107.0,431.0,117.0,51.0,27.0,260.0,2.0,12.0,625.0,115.0
1783,523.0,53.0,36.0,43.0,60.0,61.0,83.0,44.0,69.0,16.0,51.0,599.0,41.0,27.0,71.0,128.0,86.0,126.0,24.0,108.0,25.0,56.0,119.0,113.0,29.0,81.0,208.0,173.0,94.0,568.0
1832,479.0,33.0,58.0,52.0,42.0,112.0,410.0,91.0,123.0,51.0,163.0,522.0,12.0,84.0,6.0,293.0,79.0,43.0,237.0,145.0,26.0,379.0,80.0,149.0,187.0,125.0,41.0,156.0,90.0,473.0
1881,27.0,78.0,6.0,102.0,32.0,57.0,76.0,112.0,93.0,45.0,151.0,619.0,296.0,52.0,23.0,289.0,50.0,99.0,91.0,39.0,108.0,449.0,20.0,128.0,85.0,214.0,2.0,126.0,74.0,41.0
1930,550.0,52.0,48.0,96.0,114.0,110.0,76.0,65.0,22.0,130.0,24.0,599.0,320.0,28.0,322.0,61.0,144.0,29.0,54.0,285.0,94.0,25.0,40.0,92.0,571.0,158.0,209.0,107.0,68.0,254.0
1979,17.0,54.0,79.0,37.0,134.0,78.0,407.0,130.0,411.0,52.0,98.0,34.0,101.0,65.0,82.0,59.0,91.0,88.0,90.0,68.0,141.0,376.0,125.0,20.0,55.0,119.0,21.0,96.0,45.0,102.0
2028,18.0,178.0,63.0,103.0,83.0,67.0,49.0,87.0,467.0,228.0,53.0,88.0,110.0,7.0,89.0,185.0,47.0,56.0,365.0,132.0,80.0,384.0,76.0,154.0,90.0,14.0,37.0,409.0,12.0,19.0
2077,387.0,131.0,77.0,43.0,84.0,23.0,74.0,129.0,6.0,1.0,103.0,73.0,40.0,15.0,46.0,22.0,87.0,112.0,359.0,275.0,66.0,366.0,2.0,94.0,116.0,249.0,264.0,123.0,33.0,59.0
2126,1.0,29.0,103.0,74.0,115.0,145.0,32.0,109.0,55.0,28.0,54.0,597.0,319.0,83.0,82.0,0.0,154.0,79.0,120.0,78.0,101.0,437.0,444.0,142.0,19.0,273.0,206.0,171.0,137.0,46.0
2175,30.0,78.0,43.0,106.0,42.0,56.0,28.0,516.0,23.0,6.0,127.0,33.0,105.0,132.0,460.0,54.0,86.0,31.0,53.0,101.0,22.0,61.0,607.0,178.0,120.0,186.0,353.0,402.0,146.0,111.0
2224,475.0,46.0,26.0,24.0,69.0,61.0,54.0,518.0,104.0,74.0,106.0,21.0,32.0,55.0,29.0,1.0,96.0,127.0,6.0,157.0,119.0,389.0,108.0,132.0,107.0,191.0,9.0,411.0,20.0,483.0
2273,5.0,41.0,102.0,39.0,74.0,63.0,51.0,48.0,101.0,16.0,58.0,31.0,18.0,123.0,56.0,0.0,144.0,89.0,79.0,53.0,106.0,35.0,125.0,57.0,571.0,150.0,202.0,170.0,67.0,21.0
2322,46.0,33.0,56.0,129.0,55.0,98.0,68.0,24.0,3.0,61.0,88.0,35.0,262.0,96.0,106.0,1.0,25.0,49.0,101.0,78.0,45.0,456.0,121.0,116.0,545.0,191.0,66.0,401.0,11.0,122.0
2371,532.0,63.0,74.0,62.0,57.0,126.0,108.0,101.0,42.0,55.0,87.0,23.0,66.0,49.0,38.0,286.0,163.0,46.0,79.0,111.0,127.0,69.0,439.0,154.0,119.0,107.0,201.0,468.0,129.0,37.0
2420,2.0,37.0,75.0,15.0,76.0,131.0,415.0,519.0,33.0,58.0,47.0,9.0,120.0,367.0,50.0,274.0,55.0,151.0,368.0,101.0,458.0,398.0,607.0,154.0,107.0,219.0,364.0,406.0,126.0,19.0
2469,12.0,10.0,14.0,20.0,69.0,39.0,24.0,5.0,50.0,191.0,419.0,602.0,282.0,372.0,73.0,2.0,480.0,628.0,630.0,65.0,25.0,53.0,61.0,83.0,123.0,72.0,313.0,23.0,439.0,121.0
2518,298.0,52.0,108.0,16.0,24.0,46.0,460.0,85.0,2.0,556.0,550.0,584.0,72.0,66.0,314.0,5.0,71.0,434.0,50.0,121.0,14.0,538.0,127.0,20.0,37.0,136.0,82.0,104.0,141.0,459.0
2567,7.0,91.0,79.0,122.0,34.0,54.0,88.0,104.0,48.0,53.0,519.0,619.0,97.0,94.0,106.0,298.0,146.0,101.0,85.0,153.0,168.0,9.0,38.0,63.0,125.0,182.0,2.0,78.0,90.0,467.0
2616,41.0,27.0,120.0,43.0,65.0,42.0,410.0,33.0,22.0,218.0,20.0,520.0,78.0,101.0,460.0,354.0,150.0,610.0,89.0,67.0,456.0,44.0,48.0,178.0,31.0,74.0,306.0,12.0,479.0,470.0
2665,15.0,46.0,35.0,40.0,163.0,63.0,18.0,9.0,81.0,91.0,497.0,26.0,62.0,141.0,462.0,3.0,162.0,158.0,245.0,117.0,29.0,374.0,83.0,164.0,89.0,78.0,364.0,113.0,392.0,433.0
2714,393.0,45.0,63.0,32.0,85.0,41.0,406.0,36.0,396.0,99.0,432.0,515.0,68.0,37.0,27.0,9.0,119.0,87.0,8.0,75.0,458.0,17.0,35.0,69.0,62.0,117.0,52.0,47.0,392.0,470.0
2763,33.0,4.0,34.0,50.0,78.0,21.0,113.0,80.0,9.0,557.0,354.0,587.0,140.0,149.0,93.0,284.0,141.0,85.0,18.0,13.0,75.0,399.0,61.0,95.0,30.0,60.0,195.0,154.0,132.0,109.0
2812,531.0,45.0,41.0,14.0,33.0,80.0,51.0,66.0,522.0,567.0,72.0,120.0,98.0,95.0,326.0,32.0,118.0,403.0,171.0,158.0,85.0,595.0,62.0,124.0,39.0,83.0,211.0,129.0,87.0,560.0
2861,3.0,63.0,16.0,24.0,25.0,44.0,64.0,72.0,389.0,40.0,144.0,520.0,65.0,112.0,134.0,20.0,98.0,13.0,362.0,61.0,79.0,27.0,108.0,31.0,69.0,147.0,9.0,100.0,386.0,125.0
2910,11.0,32.0,51.0,83.0,45.0,66.0,76.0,29.0,75.0,176.0,427.0,90.0,100.0,79.0,455.0,0.0,156.0,87.0,15.0,82.0,128.0,26.0,91.0,102.0,28.0,41.0,20.0,394.0,460.0,471.0
2959,66.0,68.0,19.0,65.0,67.0,42.0,127.0,53.0,138.0,37.0,268.0,577.0,13.0,161.0,35.0,30.0,77.0,160.0,92.0,360.0,155.0,10.0,153.0,122.0,123.0,259.0,104.0,72.0,422.0,71.0
3008,0.0,52.0,66.0,60.0,114.0,40.0,24.0,579.0,101.0,49.0,160.0,91.0,29.0,102.0,319.0,11.0,117.0,126.0,156.0,140.0,89.0,95.0,436.0,31.0,136.0,279.0,12.0,13.0,531.0,85.0
3057,38.0,69.0,24.0,100.0,138.0,50.0,17.0,22.0,98.0,175.0,75.0,529.0,49.0,371.0,463.0,189.0,124.0,119.0,370.0,308.0,123.0,107.0,51.0,103.0,54.0,21.0,269.0,150.0,436.0,77.0
3106,5.0,162.0,86.0,42.0,138.0,32.0,38.0,103.0,471.0,98.0,126.0,530.0,77.0,109.0,12.0,41.0,47.0,94.0,373.0,56.0,134.0,31.0,148.0,79.0,136.0,176.0,44.0,156.0,436.0,100.0
3155,18.0,12.0,81.0,66.0,139.0,28.0,57.0,13.0,591.0,8.0,48.0,36.0,92.0,35.0,322.0,277.0,99.0,145.0,80.0,144.0,112.0,6.0,97.0,39.0,33.0,259.0,116.0,46.0,109.0,22.0
3204,3.0,89.0,23.0,96.0,37.0,54.0,109.0,136.0,73.0,5.0,16.0,76.0,320.0,165.0,324.0,290.0,103.0,104.0,59.0,120.0,32.0,434.0,111.0,143.0,80.0,43.0,206.0,31.0,610.0,33.0
3253,3.0,39.0,88.0,61.0,71.0,27.0,38.0,514.0,410.0,28.0,462.0,136.0,34.0,43.0,455.0,167.0,149.0,82.0,361.0,299.0,452.0,377.0,605.0,25.0,8.0,308.0,26.0,78.0,36.0,80.0
3302,13.0,70.0,59.0,65.0,62.0,29.0,375.0,526.0,90.0,4.0,38.0,601.0,101.0,58.0,341.0,19.0,60.0,98.0,41.0,364.0,113.0,478.0,620.0,94.0,45.0,243.0,37.0,28.0,491.0,124.0
3351,0.0,95.0,131.0,101.0,99.0,38.0,119.0,518.0,470.0,32.0,72.0,47.0,85.0,81.0,90.0,65.0,92.0,23.0,366.0,353.0,88.0,382.0,89.0,25.0,34.0,194.0,28.0,59.0,467.0,36.0
3400,0.0,129.0,18.0,127.0,74.0,23.0,86.0,44.0,468.0,42.0,107.0,36.0,7.0,166.0,157.0,4.0,128.0,141.0,368.0,119.0,458.0,381.0,102.0,139.0,70.0,200.0,85.0,94.0,432.0,29.0
3449,6.0,30.0,7.0,9.0,25.0,58.0,17.0,122.0,456.0,62.0,144.0,23.0,289.0,124.0,256.0,282.0,67.0,19.0,630.0,101.0,136.0,90.0,98.0,223.0,92.0,32.0,323.0,87.0,158.0,63.0
3498,19.0,23.0,70.0,26.0,32.0,63.0,67.0,160.0,617.0,568.0,113.0,60.0,324.0,42.0,331.0,15.0,131.0,24.0,77.0,400.0,98.0,112.0,121.0,249.0,518.0,35.0,213.0,69.0,31.0,533.0
3547,55.0,48.0,23.0,103.0,85.0,92.0,54.0,51.0,133.0,34.0,68.0,15.0,59.0,63.0,127.0,200.0,99.0,139.0,365.0,292.0,456.0,375.0,114.0,197.0,108.0,46.0,272.0,134.0,166.0,115.0
3596,21.0,19.0,14.0,65.0,51.0,72.0,41.0,35.0,529.0,17.0,105.0,117.0,316.0,125.0,99.0,54.0,108.0,26.0,18.0,56.0,328.0,512.0,71.0,234.0,39.0,42.0,200.0,88.0,556.0,34.0
3645,22.0,110.0,34.0,32.0,29.0,52.0,15.0,122.0,73.0,542.0,145.0,47.0,220.0,23.0,311.0,13.0,64.0,20.0,82.0,381.0,48.0,33.0,104.0,268.0,62.0,45.0,380.0,27.0,166.0,160.0
3694,37.0,84.0,32.0,22.0,31.0,45.0,36.0,116.0,392.0,73.0,74.0,35.0,264.0,126.0,456.0,285.0,26.0,52.0,359.0,83.0,452.0,112.0,76.0,213.0,65.0,14.0,25.0,56.0,78.0,468.0
3743,2.0,140.0,41.0,54.0,89.0,43.0,8.0,615.0,412.0,59.0,97.0,72.0,303.0,50.0,5.0,3.0,81.0,90.0,107.0,10.0,146.0,466.0,32.0,209.0,82.0,26.0,47.0,150.0,48.0,94.0
3792,10.0,75.0,152.0,41.0,57.0,16.0,29.0,17.0,118.0,235.0,107.0,32.0,255.0,25.0,356.0,324.0,40.0,54.0,74.0,76.0,135.0,39.0,598.0,153.0,24.0,89.0,363.0,69.0,47.0,462.0
3841,6.0,112.0,22.0,26.0,64.0,28.0,5.0,33.0,47.0,87.0,101.0,120.0,302.0,143.0,66.0,268.0,60.0,29.0,39.0,97.0,151.0,506.0,23.0,42.0,36.0,2.0,1.0,100.0,94.0,124.0
3890,16.0,411.0,13.0,106.0,51.0,35.0,194.0,156.0,617.0,562.0,145.0,65.0,125.0,47.0,42.0,286.0,132.0,68.0,79.0,365.0,155.0,445.0,50.0,128.0,64.0,267.0,203.0,45.0,135.0,124.0
3939,584.0,8.0,104.0,140.0,44.0,70.0,52.0,28.0,35.0,556.0,43.0,4.0,19.0,77.0,318.0,3.0,142.0,154.0,90.0,351.0,40.0,30.0,62.0,98.0,72.0,261.0,275.0,58.0,37.0,27.0
3988,24.0,60.0,8.0,9.0,627.0,61.0,39.0,102.0,13.0,559.0,111.0,22.0,25.0,79.0,319.0,3.0,91.0,98.0,63.0,355.0,117.0,399.0,46.0,92.0,42.0,50.0,176.0,110.0,35.0,141.0
4037,410.0,22.0,54.0,15.0,11.0,140.0,106.0,40.0,62.0,192.0,156.0,513.0,31.0,143.0,24.0,282.0,64.0,37.0,179.0,342.0,455.0,5.0,74.0,0.0,197.0,173.0,352.0,131.0,390.0,71.0
4086,19.0,53.0,12.0,32.0,33.0,125.0,92.0,69.0,10.0,300.0,28.0,65.0,109.0,85.0,467.0,23.0,141.0,180.0,161.0,164.0,74.0,396.0,131.0,145.0,9.0,204.0,375.0,83.0,143.0,68.0
4135,0.0,39.0,79.0,32.0,71.0,100.0,135.0,18.0,19.0,565.0,266.0,595.0,87.0,125.0,35.0,290.0,44.0,449.0,33.0,157.0,326.0,99.0,53.0,37.0,571.0,272.0,217.0,169.0,124.0,544.0
4184,474.0,57.0,26.0,129.0,69.0,110.0,81.0,23.0,94.0,38.0,86.0,566.0,182.0,127.0,98.0,17.0,112.0,59.0,16.0,52.0,72.0,387.0,90.0,13.0,537.0,193.0,358.0,61.0,472.0,66.0
4233,26.0,164.0,23.0,60.0,58.0,79.0,52.0,75.0,28.0,5.0,114.0,30.0,283.0,32.0,38.0,12.0,145.0,15.0,20.0,168.0,120.0,89.0,40.0,148.0,500.0,213.0,338.0,64.0,479.0,488.0
4282,0.0,12.0,55.0,67.0,30.0,66.0,81.0,8.0,27.0,72.0,113.0,43.0,129.0,33.0,104.0,171.0,61.0,614.0,85.0,97.0,163.0,378.0,20.0,87.0,230.0,260.0,304.0,91.0,429.0,472.0
4331,48.0,41.0,52.0,25.0,55.0,106.0,85.0,89.0,6.0,182.0,58.0,123.0,104.0,84.0,28.0,345.0,31.0,37.0,65.0,273.0,0.0,46.0,19.0,216.0,183.0,200.0,348.0,154.0,432.0,77.0
4380,4.0,21.0,33.0,34.0,51.0,76.0,411.0,103.0,37.0,246.0,437.0,527.0,134.0,173.0,462.0,182.0,53.0,156.0,94.0,80.0,11.0,378.0,136.0,98.0,245.0,17.0,179.0,45.0,396.0,470.0
4429,0.0,120.0,539.0,79.0,75.0,34.0,17.0,51.0,615.0,19.0,26.0,31.0,40.0,561.0,145.0,275.0,109.0,136.0,126.0,2.0,122.0,56.0,9.0,10.0,559.0,53.0,184.0,73.0,625.0,560.0
4478,67.0,69.0,83.0,71.0,100.0,40.0,19.0,12.0,23.0,11.0,76.0,94.0,52.0,144.0,68.0,17.0,126.0,132.0,244.0,16.0,458.0,0.0,611.0,31.0,171.0,232.0,13.0,154.0,115.0,28.0
4527,2.0,38.0,108.0,33.0,98.0,55.0,23.0,30.0,464.0,50.0,58.0,614.0,290.0,141.0,65.0,283.0,158.0,147.0,7.0,17.0,92.0,16.0,570.0,27.0,537.0,99.0,32.0,46.0,49.0,439.0
4576,7.0,126.0,48.0,156.0,77.0,14.0,41.0,55.0,28.0,12.0,52.0,43.0,311.0,19.0,101.0,279.0,124.0,120.0,58.0,20.0,22.0,24.0,63.0,33.0,141.0,258.0,192.0,97.0,536.0,226.0
4625,5.0,107.0,52.0,55.0,19.0,23.0,15.0,64.0,137.0,164.0,14.0,526.0,228.0,235.0,48.0,189.0,62.0,100.0,97.0,96.0,110.0,380.0,612.0,26.0,232.0,30.0,37.0,24.0,59.0,105.0
4674,3.0,61.0,41.0,99.0,31.0,29.0,110.0,34.0,78.0,8.0,582.0,32.0,71.0,541.0,49.0,21.0,76.0,101.0,22.0,53.0,81.0,0.0,27.0,14.0,19.0,135.0,252.0,378.0,120.0,63.0
4723,430.0,1.0,108.0,112.0,98.0,132.0,123.0,79.0,75.0,210.0,90.0,520.0,21.0,182.0,46.0,293.0,122.0,100.0,18.0,6.0,129.0,67.0,116.0,50.0,101.0,171.0,354.0,71.0,80.0,148.0
4772,395.0,65.0,138.0,52.0,88.0,32.0,11.0,41.0,71.0,61.0,45.0,73.0,274.0,364.0,69.0,48.0,117.0,110.0,366.0,137.0,457.0,58.0,606.0,19.0,120.0,163.0,362.0,406.0,34.0,16.0
4821,116.0,30.0,41.0,56.0,16.0,78.0,36.0,54.0,91.0,26.0,22.0,580.0,134.0,100.0,95.0,276.0,108.0,1.0,50.0,66.0,74.0,7.0,17.0,114.0,161.0,251.0,72.0,504.0,391.0,200.0
4870,433.0,82.0,33.0,47.0,41.0,56.0,24.0,73.0,68.0,215.0,127.0,528.0,129.0,162.0,50.0,324.0,145.0,28.0,366.0,31.0,11.0,381.0,609.0,40.0,108.0,121.0,307.0,406.0,112.0,473.0
