,OR51A2_DEL,OR51A4_DEL,NRXN1_DEL,HLA-DRB1_AMP,ACACB_MUT,HLA-DRB6_AMP,ZBTB20_AMP,USP32P2_DEL,TNK2_MUT,DST_MUT,CTNNA2_MUT,SPEN_MUT,HERC2P2_AMP,SIRPB1_AMP,CREBBP_MUT,APOBEC3A_B_DEL,ZNF705G_AMP,KIAA0125_AMP,EP300_MUT,BTNL3_DEL,BTNL8_DEL,JAK2_AMP,LRP1B_DEL,ADAM6_AMP,ACOT1_DEL,MUSK_MUT,HEATR4_DEL,MIR548AI_AMP,FHIT_DEL,FLNA_MUT
764,3.0,15.0,149.0,12.0,18.0,16.0,0.0,55.0,4.0,5.0,90.0,45.0,21.0,22.0,188.0,17.0,391.0,1.0,9.0,100.0,23.0,11.0,14.0,2.0,311.0,48.0,240.0,8.0,2477.0,28.0
813,0.0,16.0,2.0,5.0,8.0,6.0,7.0,27.0,36.0,17.0,45.0,71.0,23.0,11.0,33.0,15.0,88.0,137.0,1.0,94.0,81.0,21.0,4.0,149.0,30.0,3.0,38.0,44.0,13.0,410.0
862,22.0,56.0,57.0,0.0,14.0,1.0,25.0,2.0,6.0,28.0,26.0,142.0,21.0,4.0,18.0,29.0,7.0,33.0,10.0,24.0,5.0,15.0,3.0,39.0,27.0,11.0,34.0,12.0,354.0,31.0
911,2.0,15.0,18.0,12.0,5.0,20.0,1.0,7.0,9.0,28.0,42.0,49.0,62.0,0.0,56.0,27.0,10.0,16.0,13.0,47.0,17.0,26.0,14.0,19.0,3.0,11.0,4.0,25.0,1554.0,43.0
960,4.0,13.0,9.0,7.0,11.0,17.0,0.0,3.0,15.0,154.0,24.0,153.0,27.0,1.0,40.0,37.0,51.0,14.0,6.0,19.0,10.0,20.0,5.0,8.0,22.0,23.0,28.0,18.0,687.0,60.0
1009,0.0,2.0,4.0,18.0,3.0,34.0,10.0,64.0,23.0,17.0,9.0,19.0,1.0,6.0,59.0,25.0,27.0,16.0,47.0,136.0,215.0,14.0,29.0,11.0,7.0,13.0,8.0,50.0,532.0,12.0
1058,5.0,2.0,3.0,8.0,7.0,12.0,0.0,13.0,18.0,252.0,22.0,14.0,1.0,70.0,10.0,45.0,4.0,46.0,56.0,44.0,41.0,16.0,106.0,32.0,58.0,20.0,48.0,34.0,108.0,11.0
1107,1.0,0.0,3.0,14.0,2.0,5.0,9.0,54.0,25.0,31.0,39.0,17.0,8.0,4.0,7.0,91.0,10.0,19.0,29.0,344.0,146.0,12.0,259.0,13.0,22.0,21.0,26.0,38.0,34.0,28.0
1156,0.0,2.0,1.0,25.0,7.0,40.0,4.0,52.0,17.0,14.0,77.0,22.0,37.0,65.0,12.0,20.0,3.0,6.0,10.0,26.0,51.0,13.0,745.0,5.0,30.0,36.0,23.0,44.0,289.0,9.0
1205,0.0,1.0,2.0,7.0,6.0,11.0,5.0,16.0,13.0,47.0,21.0,9.0,3.0,4.0,14.0,933.0,10.0,8.0,26.0,46.0,43.0,12.0,145.0,17.0,24.0,49.0,23.0,42.0,133.0,15.0
