,hsa-miR-205,hsa-miR-31,hsa-miR-30c,hsa-miR-223,hsa-miR-1256,hsa-miR-449b,hsa-miR-1254,hsa-miR-27b,hsa-miR-155,hsa-miR-1913,hsa-miR-486-3p,hsa-miR-574-5p,hsa-miR-548d-3p,hsa-miR-891a,hsa-miR-541,hsa-miR-323-5p,hsa-miR-581,kshv-miR-K12-11,hsa-miR-944,ebv-miR-BART13,hsa-miR-579,hsa-miR-219-2-3p,hsa-miR-770-5p,hsa-miR-1977,hsa-miR-608,hsa-miR-136,hsa-miR-143,hsa-miR-604,hsa-miR-135a,hsa-miR-1271
556,1.0,0.0,5.0,3.0,4.0,73.0,26.0,12.0,58.0,9.0,25.0,55.0,57.0,27.0,10.0,31.0,51.0,89.0,28.0,240.0,16.0,19.0,90.0,13.0,44.0,7.0,101.0,72.0,11.0,516.0
605,1.0,0.0,13.0,3.0,5.0,8.0,42.0,14.0,4.0,20.0,32.0,10.0,26.0,23.0,27.0,25.0,60.0,33.0,18.0,22.0,55.0,11.0,49.0,24.0,29.0,46.0,6.0,288.0,34.0,35.0
654,4.0,1.0,13.0,3.0,0.0,15.0,49.0,84.0,71.0,11.0,44.0,61.0,7.0,36.0,32.0,42.0,165.0,20.0,22.0,2.0,12.0,26.0,69.0,38.0,289.0,14.0,28.0,92.0,19.0,66.0
703,0.0,1.0,4.0,3.0,12.0,8.0,54.0,99.0,6.0,13.0,9.0,106.0,90.0,29.0,16.0,7.0,79.0,2.0,11.0,59.0,30.0,28.0,26.0,15.0,286.0,24.0,69.0,72.0,23.0,47.0
752,2.0,0.0,1.0,9.0,8.0,10.0,39.0,48.0,15.0,33.0,70.0,35.0,93.0,49.0,52.0,16.0,27.0,25.0,32.0,12.0,30.0,21.0,13.0,19.0,77.0,84.0,11.0,111.0,78.0,34.0
801,1.0,0.0,8.0,3.0,2.0,20.0,66.0,95.0,21.0,22.0,26.0,70.0,37.0,12.0,10.0,7.0,42.0,19.0,17.0,23.0,82.0,5.0,13.0,9.0,46.0,48.0,31.0,260.0,16.0,64.0
850,0.0,7.0,1.0,4.0,2.0,20.0,43.0,6.0,49.0,17.0,16.0,66.0,28.0,13.0,124.0,56.0,52.0,9.0,8.0,19.0,21.0,23.0,34.0,14.0,94.0,98.0,25.0,59.0,10.0,47.0
899,0.0,2.0,14.0,3.0,9.0,89.0,17.0,59.0,15.0,7.0,113.0,21.0,58.0,20.0,73.0,40.0,49.0,6.0,66.0,22.0,16.0,50.0,302.0,32.0,110.0,64.0,344.0,288.0,8.0,61.0
948,1.0,0.0,3.0,2.0,4.0,45.0,56.0,42.0,23.0,16.0,20.0,57.0,52.0,9.0,99.0,29.0,14.0,25.0,119.0,35.0,34.0,26.0,128.0,15.0,115.0,54.0,41.0,50.0,8.0,62.0
997,0.0,1.0,2.0,3.0,20.0,9.0,5.0,17.0,6.0,7.0,13.0,24.0,14.0,16.0,12.0,28.0,4.0,34.0,81.0,41.0,35.0,8.0,50.0,42.0,52.0,377.0,104.0,72.0,47.0,19.0
1046,0.0,7.0,9.0,1.0,20.0,11.0,6.0,5.0,27.0,33.0,24.0,2.0,10.0,70.0,4.0,456.0,21.0,130.0,13.0,58.0,31.0,50.0,16.0,81.0,36.0,61.0,131.0,69.0,55.0,19.0
1095,0.0,28.0,1.0,3.0,7.0,9.0,2.0,4.0,8.0,72.0,10.0,38.0,16.0,25.0,6.0,91.0,5.0,24.0,34.0,14.0,19.0,20.0,46.0,365.0,35.0,57.0,338.0,48.0,12.0,31.0
1144,0.0,1.0,11.0,14.0,9.0,3.0,5.0,4.0,104.0,25.0,12.0,2.0,6.0,31.0,22.0,68.0,7.0,65.0,23.0,28.0,13.0,16.0,45.0,330.0,82.0,119.0,67.0,41.0,24.0,29.0
1193,0.0,23.0,5.0,6.0,9.0,1.0,10.0,8.0,19.0,73.0,17.0,30.0,7.0,26.0,12.0,91.0,25.0,4.0,57.0,62.0,85.0,367.0,29.0,22.0,13.0,67.0,39.0,69.0,21.0,16.0
1242,0.0,1.0,7.0,6.0,5.0,4.0,3.0,2.0,14.0,45.0,13.0,52.0,9.0,33.0,10.0,75.0,17.0,46.0,12.0,27.0,36.0,31.0,23.0,19.0,276.0,87.0,330.0,40.0,38.0,39.0
1291,0.0,7.0,6.0,3.0,15.0,1.0,5.0,8.0,23.0,26.0,28.0,4.0,12.0,49.0,18.0,100.0,9.0,10.0,89.0,77.0,103.0,21.0,25.0,85.0,14.0,53.0,389.0,31.0,27.0,2.0
1340,0.0,2.0,3.0,1.0,4.0,26.0,14.0,7.0,13.0,16.0,19.0,5.0,6.0,43.0,28.0,67.0,11.0,9.0,79.0,12.0,20.0,17.0,51.0,80.0,30.0,388.0,391.0,128.0,27.0,10.0
1389,0.0,5.0,11.0,1.0,10.0,2.0,24.0,12.0,33.0,15.0,18.0,8.0,6.0,27.0,3.0,31.0,9.0,98.0,41.0,104.0,191.0,19.0,17.0,40.0,60.0,22.0,369.0,62.0,52.0,7.0
1438,0.0,1.0,19.0,5.0,101.0,2.0,8.0,6.0,95.0,44.0,12.0,9.0,35.0,40.0,4.0,80.0,27.0,10.0,59.0,24.0,34.0,11.0,72.0,13.0,60.0,56.0,20.0,70.0,21.0,7.0
1487,13.0,0.0,1.0,2.0,36.0,7.0,9.0,48.0,3.0,22.0,5.0,40.0,6.0,72.0,24.0,17.0,4.0,15.0,29.0,26.0,108.0,23.0,10.0,31.0,117.0,58.0,20.0,16.0,60.0,41.0
1536,2.0,0.0,24.0,7.0,39.0,8.0,9.0,18.0,5.0,27.0,3.0,103.0,14.0,91.0,154.0,6.0,38.0,80.0,30.0,31.0,151.0,25.0,69.0,11.0,29.0,92.0,1.0,37.0,382.0,48.0
1585,7.0,0.0,3.0,5.0,26.0,1.0,8.0,2.0,19.0,38.0,17.0,9.0,4.0,20.0,6.0,13.0,53.0,39.0,90.0,15.0,132.0,31.0,40.0,21.0,18.0,42.0,14.0,286.0,107.0,70.0
1634,4.0,0.0,2.0,3.0,7.0,8.0,9.0,11.0,1.0,19.0,5.0,22.0,20.0,6.0,17.0,29.0,23.0,18.0,14.0,21.0,60.0,24.0,13.0,42.0,10.0,330.0,38.0,272.0,64.0,68.0
1683,19.0,0.0,2.0,31.0,48.0,3.0,23.0,1.0,4.0,49.0,7.0,12.0,8.0,29.0,11.0,10.0,33.0,91.0,20.0,9.0,57.0,27.0,122.0,40.0,62.0,56.0,16.0,107.0,98.0,21.0
1732,1.0,0.0,2.0,11.0,28.0,9.0,10.0,7.0,15.0,14.0,8.0,19.0,22.0,44.0,25.0,23.0,33.0,39.0,24.0,21.0,188.0,37.0,47.0,38.0,13.0,103.0,61.0,189.0,77.0,34.0
1781,2.0,0.0,4.0,22.0,9.0,11.0,6.0,5.0,7.0,31.0,3.0,25.0,29.0,57.0,64.0,1.0,12.0,59.0,28.0,32.0,140.0,14.0,114.0,82.0,24.0,425.0,45.0,288.0,97.0,60.0
1830,5.0,0.0,2.0,7.0,17.0,14.0,10.0,1.0,3.0,13.0,9.0,85.0,43.0,26.0,96.0,516.0,22.0,11.0,119.0,27.0,111.0,36.0,33.0,324.0,12.0,74.0,37.0,194.0,41.0,49.0
1879,9.0,0.0,1.0,4.0,16.0,7.0,3.0,8.0,15.0,37.0,2.0,17.0,28.0,25.0,104.0,19.0,26.0,34.0,79.0,13.0,49.0,29.0,132.0,67.0,14.0,354.0,5.0,77.0,27.0,30.0
1928,3.0,0.0,4.0,16.0,22.0,9.0,6.0,1.0,7.0,12.0,8.0,20.0,32.0,37.0,46.0,26.0,43.0,15.0,34.0,57.0,199.0,11.0,13.0,28.0,111.0,378.0,19.0,152.0,41.0,25.0
1977,2.0,1.0,7.0,8.0,3.0,12.0,9.0,0.0,30.0,4.0,118.0,6.0,115.0,15.0,24.0,83.0,43.0,55.0,35.0,18.0,89.0,106.0,5.0,50.0,27.0,13.0,26.0,47.0,46.0,22.0
2026,0.0,1.0,5.0,26.0,13.0,24.0,7.0,4.0,79.0,2.0,63.0,3.0,16.0,11.0,43.0,102.0,201.0,66.0,14.0,12.0,17.0,108.0,27.0,44.0,19.0,6.0,91.0,29.0,46.0,22.0
2075,0.0,2.0,35.0,7.0,5.0,25.0,1.0,3.0,10.0,20.0,78.0,4.0,99.0,49.0,9.0,103.0,60.0,15.0,22.0,67.0,16.0,58.0,39.0,18.0,50.0,12.0,17.0,11.0,51.0,30.0
2124,1.0,0.0,30.0,7.0,2.0,41.0,8.0,6.0,50.0,10.0,34.0,5.0,88.0,29.0,83.0,75.0,44.0,18.0,20.0,11.0,36.0,22.0,4.0,12.0,28.0,3.0,25.0,9.0,40.0,13.0
2173,5.0,1.0,17.0,23.0,2.0,3.0,8.0,0.0,29.0,16.0,458.0,6.0,21.0,18.0,202.0,477.0,43.0,38.0,36.0,83.0,14.0,39.0,12.0,75.0,45.0,13.0,46.0,4.0,78.0,28.0
2222,2.0,3.0,11.0,4.0,1.0,22.0,7.0,9.0,28.0,13.0,85.0,0.0,86.0,23.0,119.0,101.0,54.0,71.0,12.0,34.0,19.0,55.0,5.0,377.0,38.0,6.0,20.0,36.0,78.0,21.0
2271,7.0,0.0,18.0,2.0,1.0,83.0,17.0,4.0,35.0,3.0,64.0,8.0,27.0,10.0,69.0,49.0,55.0,41.0,13.0,63.0,15.0,24.0,14.0,115.0,42.0,31.0,26.0,23.0,81.0,9.0
2320,2.0,6.0,13.0,3.0,1.0,17.0,4.0,0.0,19.0,20.0,95.0,21.0,82.0,14.0,11.0,34.0,56.0,8.0,7.0,12.0,16.0,47.0,43.0,326.0,48.0,22.0,5.0,51.0,33.0,30.0
2369,1.0,6.0,2.0,14.0,0.0,16.0,3.0,13.0,114.0,11.0,443.0,4.0,34.0,15.0,82.0,102.0,31.0,44.0,10.0,76.0,39.0,357.0,17.0,48.0,53.0,18.0,54.0,7.0,87.0,5.0
2418,2.0,6.0,8.0,16.0,0.0,20.0,27.0,21.0,5.0,17.0,11.0,1.0,84.0,4.0,166.0,69.0,74.0,9.0,23.0,19.0,7.0,81.0,14.0,53.0,72.0,3.0,51.0,37.0,40.0,10.0
2467,0.0,1.0,2.0,21.0,4.0,11.0,3.0,27.0,58.0,7.0,13.0,9.0,12.0,20.0,30.0,31.0,41.0,34.0,6.0,37.0,26.0,36.0,25.0,18.0,75.0,73.0,335.0,24.0,111.0,50.0
2516,0.0,1.0,2.0,9.0,6.0,4.0,53.0,74.0,11.0,15.0,3.0,13.0,8.0,5.0,111.0,105.0,119.0,36.0,17.0,14.0,16.0,88.0,32.0,104.0,27.0,125.0,72.0,7.0,79.0,22.0
2565,15.0,0.0,3.0,5.0,1.0,21.0,19.0,22.0,35.0,25.0,52.0,58.0,8.0,33.0,48.0,23.0,114.0,43.0,44.0,16.0,14.0,45.0,32.0,10.0,60.0,28.0,342.0,9.0,71.0,428.0
2614,1.0,5.0,4.0,0.0,8.0,26.0,41.0,69.0,44.0,2.0,13.0,15.0,6.0,11.0,29.0,17.0,104.0,22.0,120.0,23.0,51.0,70.0,18.0,12.0,59.0,34.0,333.0,3.0,76.0,87.0
2663,0.0,1.0,7.0,2.0,3.0,8.0,38.0,126.0,23.0,5.0,25.0,37.0,13.0,12.0,21.0,79.0,121.0,51.0,32.0,27.0,56.0,53.0,20.0,35.0,60.0,55.0,72.0,6.0,45.0,69.0
2712,0.0,1.0,4.0,3.0,6.0,2.0,43.0,79.0,8.0,13.0,33.0,37.0,7.0,15.0,89.0,25.0,151.0,74.0,17.0,72.0,9.0,60.0,34.0,10.0,44.0,27.0,63.0,5.0,18.0,71.0
2761,4.0,1.0,2.0,0.0,7.0,24.0,10.0,42.0,29.0,3.0,20.0,15.0,12.0,11.0,54.0,45.0,23.0,50.0,30.0,5.0,36.0,37.0,64.0,68.0,39.0,91.0,53.0,13.0,58.0,362.0
2810,6.0,0.0,1.0,4.0,7.0,5.0,12.0,30.0,19.0,2.0,85.0,26.0,17.0,9.0,41.0,28.0,46.0,8.0,54.0,18.0,20.0,45.0,38.0,121.0,73.0,70.0,130.0,10.0,15.0,127.0
2859,3.0,2.0,4.0,1.0,0.0,8.0,28.0,481.0,13.0,27.0,5.0,12.0,11.0,10.0,51.0,81.0,49.0,18.0,39.0,17.0,16.0,59.0,40.0,14.0,21.0,7.0,108.0,6.0,30.0,94.0
2908,5.0,0.0,30.0,4.0,3.0,9.0,65.0,462.0,15.0,1.0,10.0,2.0,6.0,31.0,162.0,51.0,135.0,23.0,60.0,17.0,14.0,28.0,43.0,12.0,37.0,110.0,18.0,8.0,34.0,62.0
2957,0.0,2.0,3.0,9.0,7.0,8.0,10.0,16.0,12.0,11.0,15.0,13.0,20.0,14.0,4.0,17.0,1.0,45.0,26.0,60.0,90.0,48.0,32.0,356.0,31.0,329.0,22.0,93.0,36.0,94.0
3006,3.0,0.0,8.0,7.0,11.0,14.0,2.0,23.0,9.0,10.0,17.0,30.0,71.0,79.0,6.0,20.0,1.0,103.0,4.0,104.0,28.0,91.0,89.0,42.0,68.0,35.0,16.0,78.0,105.0,88.0
3055,0.0,2.0,3.0,13.0,60.0,4.0,12.0,9.0,6.0,17.0,51.0,11.0,31.0,15.0,5.0,34.0,1.0,236.0,28.0,218.0,22.0,124.0,38.0,72.0,8.0,82.0,89.0,97.0,46.0,26.0
3104,0.0,1.0,2.0,6.0,15.0,4.0,8.0,64.0,11.0,40.0,17.0,13.0,54.0,12.0,3.0,18.0,5.0,22.0,9.0,120.0,39.0,45.0,28.0,372.0,63.0,21.0,74.0,35.0,10.0,75.0
3153,0.0,2.0,3.0,26.0,8.0,6.0,7.0,11.0,10.0,59.0,96.0,13.0,9.0,16.0,4.0,475.0,1.0,64.0,58.0,213.0,33.0,76.0,57.0,63.0,19.0,35.0,380.0,54.0,34.0,45.0
3202,0.0,1.0,7.0,4.0,9.0,18.0,5.0,34.0,13.0,24.0,14.0,17.0,117.0,29.0,2.0,75.0,3.0,33.0,11.0,213.0,40.0,10.0,43.0,53.0,22.0,44.0,92.0,281.0,37.0,28.0
3251,1.0,2.0,0.0,32.0,10.0,6.0,8.0,21.0,17.0,46.0,54.0,9.0,25.0,23.0,5.0,33.0,7.0,22.0,3.0,37.0,28.0,45.0,11.0,63.0,278.0,43.0,373.0,99.0,381.0,60.0
3300,2.0,1.0,3.0,8.0,46.0,35.0,5.0,13.0,34.0,10.0,66.0,95.0,157.0,14.0,11.0,16.0,0.0,56.0,15.0,84.0,42.0,32.0,12.0,92.0,57.0,30.0,6.0,65.0,24.0,85.0
3349,1.0,4.0,6.0,9.0,7.0,5.0,10.0,27.0,8.0,17.0,18.0,20.0,38.0,14.0,0.0,15.0,2.0,238.0,3.0,215.0,61.0,58.0,26.0,23.0,83.0,95.0,388.0,45.0,22.0,47.0
3398,1.0,2.0,5.0,49.0,11.0,3.0,10.0,45.0,4.0,17.0,37.0,15.0,16.0,6.0,7.0,24.0,0.0,92.0,8.0,112.0,14.0,44.0,19.0,113.0,111.0,27.0,344.0,58.0,46.0,100.0
3447,1.0,0.0,3.0,6.0,5.0,35.0,13.0,55.0,9.0,7.0,18.0,4.0,36.0,29.0,167.0,34.0,125.0,54.0,58.0,67.0,84.0,21.0,22.0,12.0,25.0,14.0,33.0,61.0,32.0,83.0
3496,0.0,1.0,4.0,2.0,12.0,14.0,15.0,3.0,10.0,11.0,9.0,41.0,83.0,17.0,27.0,24.0,119.0,39.0,44.0,87.0,86.0,40.0,57.0,7.0,5.0,18.0,8.0,21.0,31.0,75.0
3545,2.0,1.0,3.0,8.0,7.0,44.0,11.0,16.0,12.0,13.0,6.0,15.0,18.0,64.0,62.0,52.0,77.0,233.0,92.0,74.0,181.0,56.0,43.0,40.0,4.0,14.0,28.0,5.0,25.0,60.0
3594,6.0,0.0,3.0,1.0,7.0,16.0,15.0,32.0,18.0,11.0,9.0,81.0,173.0,76.0,43.0,31.0,97.0,12.0,99.0,213.0,186.0,50.0,24.0,60.0,22.0,2.0,21.0,34.0,30.0,120.0
3643,4.0,0.0,7.0,2.0,13.0,16.0,12.0,5.0,21.0,24.0,1.0,17.0,40.0,58.0,55.0,50.0,98.0,51.0,79.0,46.0,84.0,38.0,91.0,9.0,10.0,23.0,43.0,26.0,56.0,92.0
3692,0.0,3.0,2.0,8.0,45.0,25.0,26.0,37.0,15.0,17.0,11.0,29.0,46.0,54.0,27.0,22.0,163.0,7.0,102.0,20.0,96.0,347.0,38.0,4.0,5.0,12.0,9.0,10.0,19.0,33.0
3741,3.0,0.0,1.0,4.0,15.0,9.0,10.0,59.0,76.0,22.0,40.0,16.0,17.0,75.0,29.0,58.0,86.0,33.0,19.0,67.0,72.0,81.0,47.0,13.0,5.0,2.0,45.0,11.0,78.0,21.0
3790,7.0,0.0,1.0,6.0,14.0,8.0,4.0,2.0,11.0,20.0,9.0,10.0,54.0,30.0,60.0,37.0,143.0,17.0,130.0,95.0,135.0,53.0,305.0,33.0,5.0,15.0,22.0,16.0,41.0,65.0
3839,1.0,0.0,2.0,11.0,16.0,30.0,6.0,3.0,24.0,15.0,9.0,22.0,54.0,125.0,21.0,78.0,53.0,105.0,38.0,7.0,191.0,14.0,42.0,18.0,10.0,13.0,12.0,36.0,346.0,82.0
3888,2.0,0.0,1.0,5.0,19.0,469.0,18.0,17.0,47.0,6.0,11.0,9.0,149.0,27.0,87.0,92.0,37.0,235.0,67.0,94.0,61.0,24.0,38.0,70.0,4.0,8.0,7.0,106.0,14.0,110.0
3937,3.0,1.0,0.0,5.0,8.0,7.0,11.0,19.0,16.0,6.0,2.0,76.0,151.0,45.0,53.0,24.0,13.0,229.0,74.0,209.0,12.0,58.0,80.0,368.0,34.0,52.0,20.0,40.0,42.0,389.0
3986,4.0,0.0,3.0,2.0,1.0,26.0,10.0,7.0,52.0,12.0,9.0,45.0,66.0,19.0,37.0,47.0,5.0,30.0,79.0,80.0,11.0,33.0,53.0,371.0,6.0,21.0,84.0,71.0,347.0,82.0
4035,4.0,0.0,1.0,2.0,29.0,3.0,7.0,69.0,91.0,18.0,42.0,27.0,19.0,12.0,34.0,15.0,11.0,13.0,48.0,210.0,6.0,47.0,58.0,373.0,5.0,70.0,65.0,25.0,346.0,43.0
4084,0.0,5.0,2.0,1.0,6.0,3.0,31.0,10.0,44.0,45.0,20.0,11.0,62.0,35.0,84.0,33.0,7.0,55.0,15.0,25.0,17.0,64.0,41.0,93.0,18.0,57.0,51.0,16.0,98.0,100.0
4133,7.0,1.0,2.0,19.0,0.0,46.0,6.0,11.0,47.0,3.0,5.0,17.0,42.0,36.0,58.0,13.0,12.0,66.0,32.0,65.0,30.0,39.0,38.0,365.0,55.0,62.0,25.0,16.0,73.0,57.0
4182,5.0,1.0,3.0,0.0,2.0,11.0,6.0,512.0,37.0,12.0,4.0,69.0,70.0,73.0,75.0,16.0,8.0,116.0,40.0,224.0,46.0,57.0,21.0,58.0,25.0,22.0,19.0,47.0,345.0,38.0
4231,0.0,2.0,1.0,3.0,14.0,30.0,12.0,34.0,36.0,4.0,6.0,66.0,50.0,44.0,123.0,11.0,23.0,29.0,109.0,31.0,158.0,102.0,59.0,18.0,9.0,72.0,25.0,122.0,372.0,116.0
4280,6.0,1.0,2.0,3.0,0.0,16.0,7.0,19.0,11.0,5.0,18.0,17.0,44.0,14.0,45.0,28.0,9.0,92.0,85.0,208.0,20.0,29.0,70.0,362.0,25.0,67.0,10.0,43.0,74.0,52.0
4329,4.0,0.0,1.0,19.0,3.0,5.0,9.0,2.0,68.0,13.0,16.0,17.0,178.0,60.0,26.0,12.0,37.0,59.0,86.0,14.0,22.0,51.0,71.0,21.0,10.0,338.0,75.0,25.0,23.0,69.0
4378,3.0,0.0,2.0,5.0,1.0,4.0,8.0,27.0,9.0,6.0,7.0,10.0,14.0,12.0,64.0,50.0,19.0,69.0,15.0,258.0,36.0,67.0,59.0,326.0,33.0,66.0,18.0,34.0,96.0,29.0
4427,17.0,0.0,1.0,4.0,9.0,6.0,59.0,3.0,7.0,32.0,114.0,39.0,22.0,11.0,2.0,18.0,13.0,26.0,217.0,34.0,38.0,46.0,84.0,24.0,25.0,10.0,109.0,50.0,69.0,92.0
4476,6.0,19.0,0.0,1.0,13.0,3.0,24.0,4.0,5.0,25.0,47.0,48.0,21.0,8.0,33.0,9.0,41.0,43.0,39.0,96.0,36.0,85.0,300.0,40.0,109.0,2.0,339.0,18.0,68.0,52.0
4525,2.0,0.0,4.0,13.0,10.0,27.0,59.0,1.0,5.0,12.0,20.0,90.0,40.0,11.0,6.0,7.0,14.0,97.0,38.0,107.0,183.0,45.0,24.0,9.0,150.0,3.0,117.0,41.0,98.0,77.0
4574,6.0,3.0,7.0,8.0,5.0,9.0,24.0,1.0,4.0,48.0,19.0,128.0,2.0,21.0,12.0,36.0,14.0,53.0,105.0,62.0,17.0,65.0,292.0,35.0,283.0,0.0,341.0,13.0,82.0,27.0
4623,25.0,0.0,1.0,7.0,5.0,18.0,34.0,56.0,11.0,45.0,3.0,82.0,59.0,6.0,22.0,35.0,26.0,9.0,223.0,218.0,109.0,8.0,303.0,2.0,15.0,13.0,46.0,17.0,33.0,53.0
4672,8.0,2.0,0.0,21.0,5.0,3.0,32.0,1.0,10.0,79.0,17.0,35.0,70.0,16.0,15.0,22.0,14.0,75.0,36.0,33.0,23.0,62.0,305.0,27.0,113.0,4.0,83.0,34.0,43.0,94.0
4721,22.0,1.0,2.0,3.0,11.0,8.0,5.0,10.0,19.0,52.0,69.0,67.0,25.0,4.0,24.0,89.0,41.0,13.0,56.0,39.0,92.0,31.0,100.0,7.0,46.0,15.0,76.0,20.0,58.0,27.0
4770,6.0,0.0,2.0,4.0,9.0,7.0,30.0,1.0,27.0,50.0,43.0,90.0,22.0,14.0,89.0,39.0,18.0,32.0,79.0,120.0,63.0,17.0,309.0,5.0,128.0,23.0,348.0,26.0,47.0,49.0
4819,8.0,0.0,4.0,19.0,13.0,3.0,24.0,1.0,7.0,55.0,504.0,86.0,9.0,14.0,10.0,2.0,21.0,6.0,15.0,20.0,98.0,18.0,300.0,79.0,288.0,70.0,72.0,106.0,57.0,39.0
4868,3.0,0.0,5.0,7.0,24.0,2.0,19.0,13.0,31.0,25.0,32.0,88.0,120.0,22.0,10.0,8.0,20.0,14.0,12.0,219.0,87.0,40.0,48.0,15.0,80.0,1.0,60.0,58.0,57.0,26.0
