,hsa-miR-34a,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-28-5p,hsa-miR-891a,hcmv-miR-US25-2-3p,hsa-miR-26a,hsa-miR-581,hsa-miR-597,hsa-miR-361-5p,hsa-miR-1286,hsa-miR-591,hsa-miR-654-3p,hsa-miR-601,hsa-miR-579,hsa-miR-675,hsa-miR-1206,hsa-miR-1256,hsa-miR-449c,hsa-miR-491-5p,hsa-miR-614,hsa-miR-298,hsa-miR-582-5p,hsa-miR-557,hsa-miR-513a-5p,hsa-miR-764,ebv-miR-BART5,hsa-miR-132,hsa-miR-935,hsa-miR-758
1338,0.0,3.0,43.0,7.0,15.0,14.0,17.0,19.0,6.0,12.0,5.0,54.0,11.0,13.0,16.0,1.0,8.0,2.0,18.0,37.0,31.0,103.0,24.0,47.0,29.0,35.0,21.0,39.0,4.0,56.0
1387,0.0,39.0,2.0,1.0,3.0,11.0,6.0,16.0,17.0,30.0,10.0,29.0,20.0,112.0,24.0,33.0,13.0,19.0,4.0,26.0,103.0,57.0,25.0,150.0,8.0,5.0,15.0,137.0,12.0,44.0
1436,0.0,4.0,33.0,1.0,6.0,46.0,42.0,3.0,9.0,22.0,5.0,26.0,11.0,23.0,30.0,10.0,8.0,18.0,16.0,2.0,21.0,63.0,13.0,166.0,14.0,34.0,28.0,96.0,27.0,19.0
1485,0.0,1.0,9.0,13.0,31.0,7.0,24.0,2.0,28.0,29.0,42.0,6.0,22.0,3.0,45.0,17.0,12.0,158.0,18.0,34.0,15.0,11.0,41.0,60.0,79.0,70.0,75.0,32.0,37.0,49.0
1534,1.0,5.0,2.0,14.0,15.0,0.0,9.0,4.0,20.0,10.0,11.0,13.0,25.0,8.0,16.0,31.0,7.0,47.0,3.0,77.0,45.0,120.0,43.0,55.0,149.0,125.0,24.0,36.0,21.0,48.0
1583,1.0,4.0,5.0,2.0,28.0,0.0,14.0,18.0,37.0,16.0,12.0,20.0,7.0,10.0,15.0,25.0,8.0,38.0,13.0,24.0,110.0,31.0,64.0,114.0,36.0,99.0,34.0,56.0,23.0,45.0
1632,1.0,12.0,7.0,19.0,16.0,2.0,23.0,21.0,0.0,75.0,33.0,6.0,4.0,3.0,41.0,50.0,11.0,8.0,73.0,44.0,84.0,17.0,80.0,90.0,20.0,179.0,34.0,47.0,14.0,85.0
1681,3.0,1.0,9.0,2.0,24.0,0.0,22.0,34.0,151.0,47.0,18.0,4.0,55.0,60.0,52.0,17.0,12.0,26.0,5.0,71.0,187.0,45.0,62.0,113.0,77.0,39.0,10.0,102.0,14.0,162.0
1730,4.0,0.0,2.0,17.0,11.0,3.0,35.0,9.0,8.0,115.0,39.0,56.0,79.0,7.0,57.0,23.0,42.0,22.0,12.0,109.0,146.0,13.0,14.0,95.0,25.0,89.0,78.0,1.0,50.0,74.0
1779,0.0,3.0,9.0,15.0,2.0,1.0,12.0,20.0,112.0,14.0,21.0,13.0,30.0,10.0,11.0,5.0,19.0,6.0,7.0,41.0,64.0,34.0,32.0,77.0,125.0,181.0,22.0,70.0,4.0,53.0
1828,0.0,1.0,49.0,11.0,9.0,2.0,26.0,22.0,4.0,30.0,14.0,21.0,3.0,29.0,28.0,7.0,5.0,93.0,88.0,150.0,33.0,69.0,16.0,91.0,128.0,57.0,32.0,43.0,6.0,74.0
1877,1.0,6.0,3.0,32.0,11.0,0.0,16.0,8.0,59.0,9.0,21.0,4.0,25.0,37.0,28.0,36.0,2.0,67.0,26.0,35.0,79.0,33.0,118.0,117.0,61.0,130.0,30.0,42.0,10.0,86.0
1926,1.0,13.0,36.0,6.0,5.0,0.0,2.0,10.0,17.0,12.0,16.0,8.0,11.0,49.0,61.0,18.0,7.0,70.0,4.0,28.0,20.0,3.0,149.0,57.0,38.0,46.0,26.0,21.0,45.0,40.0
1975,3.0,0.0,8.0,1.0,4.0,11.0,22.0,69.0,9.0,21.0,27.0,2.0,29.0,15.0,62.0,10.0,48.0,42.0,100.0,14.0,35.0,20.0,188.0,17.0,13.0,40.0,84.0,16.0,32.0,140.0
2024,2.0,1.0,0.0,5.0,6.0,11.0,27.0,25.0,4.0,15.0,24.0,22.0,3.0,17.0,47.0,51.0,41.0,42.0,67.0,10.0,31.0,84.0,36.0,18.0,9.0,14.0,52.0,12.0,13.0,40.0
2073,0.0,2.0,14.0,9.0,21.0,16.0,26.0,13.0,1.0,55.0,66.0,11.0,4.0,15.0,18.0,19.0,38.0,23.0,12.0,36.0,25.0,33.0,35.0,7.0,20.0,8.0,34.0,24.0,30.0,32.0
2122,0.0,1.0,9.0,2.0,12.0,6.0,33.0,127.0,3.0,44.0,31.0,16.0,7.0,5.0,56.0,10.0,24.0,22.0,23.0,14.0,13.0,36.0,35.0,43.0,4.0,48.0,15.0,11.0,17.0,27.0
2171,0.0,3.0,2.0,1.0,4.0,19.0,52.0,7.0,8.0,30.0,24.0,34.0,14.0,27.0,43.0,67.0,17.0,44.0,231.0,16.0,47.0,20.0,29.0,22.0,70.0,13.0,59.0,42.0,62.0,36.0
2220,3.0,2.0,0.0,8.0,12.0,55.0,19.0,15.0,1.0,14.0,67.0,13.0,4.0,5.0,70.0,36.0,25.0,22.0,170.0,18.0,11.0,32.0,59.0,6.0,7.0,77.0,30.0,28.0,38.0,75.0
2269,0.0,1.0,36.0,7.0,8.0,51.0,6.0,44.0,3.0,35.0,26.0,13.0,5.0,9.0,17.0,14.0,21.0,40.0,65.0,29.0,62.0,87.0,57.0,16.0,20.0,30.0,89.0,12.0,31.0,34.0
2318,4.0,0.0,10.0,1.0,9.0,49.0,34.0,27.0,14.0,26.0,46.0,19.0,2.0,6.0,30.0,22.0,16.0,5.0,96.0,35.0,24.0,79.0,21.0,13.0,39.0,18.0,82.0,81.0,38.0,154.0
2367,0.0,1.0,2.0,8.0,10.0,19.0,43.0,15.0,9.0,22.0,37.0,11.0,6.0,14.0,20.0,29.0,114.0,12.0,28.0,53.0,30.0,26.0,55.0,3.0,13.0,23.0,21.0,5.0,39.0,25.0
2416,0.0,2.0,11.0,4.0,1.0,37.0,18.0,28.0,9.0,22.0,92.0,13.0,39.0,3.0,90.0,36.0,156.0,16.0,76.0,46.0,88.0,66.0,26.0,6.0,21.0,10.0,17.0,7.0,30.0,52.0
2465,0.0,2.0,1.0,12.0,4.0,23.0,16.0,6.0,24.0,3.0,41.0,19.0,154.0,170.0,37.0,40.0,138.0,5.0,22.0,112.0,20.0,18.0,9.0,45.0,47.0,11.0,100.0,85.0,43.0,28.0
2514,0.0,2.0,1.0,5.0,8.0,15.0,40.0,14.0,93.0,63.0,25.0,50.0,43.0,94.0,12.0,74.0,24.0,13.0,18.0,457.0,11.0,29.0,37.0,9.0,164.0,3.0,71.0,211.0,4.0,82.0
2563,0.0,1.0,2.0,3.0,10.0,57.0,78.0,4.0,13.0,27.0,54.0,75.0,7.0,47.0,15.0,28.0,16.0,17.0,212.0,229.0,8.0,26.0,9.0,12.0,58.0,29.0,131.0,38.0,25.0,61.0
2612,1.0,4.0,0.0,3.0,5.0,22.0,8.0,2.0,7.0,38.0,39.0,57.0,28.0,119.0,23.0,116.0,10.0,6.0,9.0,395.0,26.0,29.0,20.0,21.0,31.0,13.0,106.0,74.0,12.0,35.0
2661,0.0,15.0,1.0,10.0,6.0,13.0,14.0,4.0,8.0,17.0,43.0,76.0,44.0,153.0,16.0,190.0,51.0,24.0,21.0,189.0,63.0,7.0,11.0,5.0,36.0,2.0,69.0,230.0,23.0,41.0
2710,1.0,44.0,0.0,3.0,4.0,20.0,25.0,2.0,26.0,16.0,8.0,30.0,74.0,43.0,56.0,66.0,11.0,13.0,33.0,272.0,39.0,5.0,24.0,14.0,41.0,7.0,71.0,104.0,15.0,46.0
2759,2.0,1.0,0.0,27.0,8.0,19.0,29.0,3.0,4.0,38.0,11.0,17.0,23.0,28.0,9.0,63.0,51.0,21.0,12.0,187.0,26.0,5.0,83.0,6.0,186.0,7.0,53.0,31.0,10.0,40.0
2808,1.0,2.0,0.0,16.0,3.0,78.0,14.0,7.0,109.0,31.0,22.0,28.0,27.0,89.0,5.0,48.0,32.0,9.0,15.0,132.0,11.0,6.0,10.0,19.0,33.0,8.0,183.0,112.0,17.0,23.0
2857,1.0,3.0,0.0,15.0,5.0,38.0,14.0,19.0,36.0,18.0,9.0,67.0,53.0,37.0,17.0,62.0,54.0,16.0,35.0,413.0,64.0,10.0,11.0,2.0,119.0,25.0,151.0,12.0,4.0,30.0
2906,0.0,2.0,1.0,27.0,23.0,22.0,36.0,4.0,25.0,46.0,125.0,52.0,50.0,58.0,18.0,64.0,42.0,3.0,70.0,220.0,26.0,5.0,17.0,7.0,72.0,8.0,108.0,29.0,41.0,12.0
2955,0.0,2.0,7.0,9.0,13.0,44.0,3.0,43.0,34.0,21.0,1.0,22.0,18.0,60.0,4.0,55.0,12.0,17.0,25.0,8.0,11.0,38.0,5.0,29.0,10.0,6.0,20.0,70.0,61.0,47.0
3004,2.0,3.0,31.0,4.0,9.0,32.0,0.0,10.0,34.0,69.0,21.0,33.0,13.0,54.0,20.0,79.0,1.0,46.0,25.0,15.0,6.0,18.0,22.0,16.0,8.0,30.0,43.0,57.0,132.0,60.0
3053,34.0,6.0,11.0,10.0,30.0,31.0,0.0,39.0,16.0,28.0,4.0,1.0,35.0,29.0,44.0,7.0,24.0,98.0,5.0,48.0,49.0,25.0,8.0,51.0,22.0,45.0,77.0,14.0,184.0,121.0
3102,0.0,2.0,7.0,3.0,4.0,46.0,5.0,11.0,17.0,31.0,28.0,13.0,14.0,26.0,18.0,57.0,1.0,102.0,74.0,16.0,19.0,9.0,43.0,42.0,24.0,8.0,48.0,40.0,84.0,23.0
3151,2.0,0.0,16.0,31.0,4.0,29.0,1.0,17.0,7.0,22.0,6.0,14.0,18.0,48.0,13.0,51.0,5.0,27.0,24.0,8.0,36.0,10.0,12.0,15.0,20.0,39.0,21.0,42.0,84.0,68.0
3200,10.0,1.0,21.0,24.0,2.0,14.0,57.0,15.0,38.0,16.0,3.0,20.0,9.0,28.0,6.0,29.0,18.0,8.0,12.0,5.0,31.0,41.0,4.0,11.0,32.0,0.0,61.0,65.0,50.0,33.0
3249,0.0,4.0,48.0,8.0,19.0,39.0,1.0,2.0,15.0,27.0,6.0,9.0,12.0,14.0,3.0,32.0,7.0,109.0,22.0,23.0,16.0,37.0,30.0,65.0,87.0,28.0,24.0,33.0,153.0,63.0
3298,1.0,0.0,13.0,6.0,5.0,71.0,2.0,4.0,23.0,44.0,7.0,25.0,9.0,16.0,10.0,41.0,3.0,132.0,37.0,14.0,20.0,29.0,12.0,27.0,66.0,22.0,103.0,28.0,100.0,49.0
3347,1.0,0.0,22.0,15.0,7.0,24.0,2.0,28.0,12.0,25.0,27.0,23.0,8.0,96.0,19.0,26.0,4.0,131.0,13.0,3.0,6.0,9.0,17.0,107.0,57.0,29.0,31.0,48.0,134.0,50.0
3396,0.0,1.0,4.0,9.0,8.0,13.0,2.0,44.0,16.0,18.0,20.0,86.0,15.0,27.0,7.0,66.0,22.0,82.0,3.0,6.0,53.0,21.0,5.0,57.0,43.0,47.0,19.0,26.0,150.0,41.0
3445,0.0,2.0,3.0,4.0,17.0,22.0,20.0,13.0,82.0,8.0,34.0,39.0,10.0,6.0,32.0,11.0,29.0,24.0,155.0,1.0,50.0,5.0,14.0,36.0,7.0,68.0,54.0,21.0,56.0,99.0
3494,11.0,0.0,2.0,10.0,12.0,3.0,24.0,34.0,78.0,6.0,23.0,14.0,27.0,18.0,61.0,16.0,63.0,20.0,39.0,1.0,28.0,60.0,4.0,151.0,35.0,7.0,84.0,56.0,132.0,22.0
3543,0.0,4.0,1.0,7.0,23.0,2.0,29.0,21.0,79.0,3.0,182.0,58.0,25.0,14.0,74.0,8.0,31.0,15.0,19.0,26.0,22.0,36.0,9.0,48.0,6.0,16.0,76.0,10.0,53.0,28.0
3592,5.0,2.0,0.0,7.0,12.0,6.0,4.0,20.0,79.0,11.0,19.0,42.0,28.0,33.0,23.0,43.0,62.0,24.0,57.0,1.0,35.0,56.0,3.0,10.0,17.0,78.0,58.0,27.0,186.0,31.0
3641,3.0,1.0,0.0,7.0,14.0,10.0,6.0,31.0,18.0,9.0,64.0,15.0,26.0,4.0,8.0,33.0,52.0,103.0,48.0,2.0,29.0,21.0,5.0,61.0,25.0,59.0,69.0,16.0,12.0,55.0
3690,6.0,2.0,0.0,4.0,11.0,20.0,17.0,56.0,40.0,15.0,80.0,92.0,14.0,9.0,54.0,7.0,37.0,36.0,42.0,1.0,148.0,3.0,25.0,61.0,10.0,21.0,71.0,19.0,44.0,12.0
3739,14.0,1.0,2.0,9.0,10.0,0.0,42.0,6.0,24.0,18.0,73.0,106.0,29.0,69.0,64.0,53.0,26.0,25.0,11.0,59.0,23.0,20.0,7.0,27.0,3.0,95.0,148.0,30.0,45.0,129.0
3788,4.0,6.0,0.0,3.0,9.0,13.0,19.0,111.0,83.0,15.0,65.0,74.0,5.0,53.0,38.0,8.0,58.0,1.0,124.0,17.0,40.0,11.0,7.0,39.0,2.0,50.0,18.0,68.0,64.0,73.0
3837,9.0,3.0,0.0,2.0,48.0,8.0,25.0,133.0,22.0,15.0,78.0,32.0,19.0,12.0,17.0,1.0,135.0,7.0,13.0,5.0,56.0,120.0,59.0,45.0,24.0,136.0,42.0,6.0,83.0,60.0
3886,3.0,1.0,4.0,15.0,17.0,0.0,28.0,18.0,13.0,33.0,21.0,24.0,2.0,12.0,16.0,10.0,61.0,14.0,5.0,6.0,39.0,36.0,9.0,22.0,20.0,32.0,38.0,8.0,158.0,43.0
3935,5.0,22.0,0.0,75.0,8.0,9.0,12.0,24.0,4.0,13.0,20.0,3.0,19.0,2.0,21.0,18.0,69.0,46.0,25.0,17.0,14.0,197.0,16.0,51.0,94.0,115.0,43.0,93.0,44.0,10.0
3984,6.0,1.0,14.0,50.0,8.0,10.0,4.0,27.0,9.0,21.0,5.0,0.0,7.0,3.0,13.0,48.0,53.0,42.0,11.0,24.0,122.0,88.0,85.0,17.0,99.0,34.0,35.0,16.0,15.0,46.0
4033,7.0,1.0,4.0,46.0,10.0,9.0,0.0,26.0,11.0,13.0,18.0,3.0,17.0,2.0,20.0,15.0,138.0,25.0,21.0,27.0,33.0,136.0,49.0,16.0,105.0,58.0,29.0,42.0,97.0,28.0
4082,2.0,15.0,0.0,25.0,13.0,18.0,4.0,3.0,21.0,8.0,9.0,1.0,14.0,7.0,26.0,16.0,34.0,17.0,125.0,135.0,55.0,54.0,184.0,10.0,37.0,68.0,65.0,19.0,119.0,36.0
4131,1.0,3.0,2.0,24.0,4.0,18.0,27.0,17.0,50.0,10.0,85.0,5.0,32.0,15.0,30.0,25.0,120.0,31.0,6.0,48.0,137.0,150.0,121.0,11.0,80.0,54.0,42.0,64.0,127.0,28.0
4180,2.0,1.0,0.0,17.0,18.0,5.0,3.0,52.0,36.0,35.0,9.0,11.0,24.0,6.0,8.0,7.0,119.0,10.0,49.0,12.0,19.0,159.0,47.0,15.0,117.0,63.0,44.0,40.0,123.0,42.0
4229,0.0,2.0,9.0,23.0,12.0,108.0,11.0,15.0,47.0,74.0,8.0,14.0,29.0,1.0,26.0,7.0,18.0,13.0,44.0,5.0,81.0,19.0,49.0,94.0,38.0,78.0,100.0,137.0,63.0,73.0
4278,3.0,4.0,16.0,18.0,6.0,7.0,1.0,81.0,35.0,14.0,31.0,2.0,53.0,30.0,67.0,9.0,73.0,38.0,15.0,29.0,52.0,146.0,23.0,28.0,33.0,75.0,70.0,120.0,65.0,72.0
4327,11.0,1.0,7.0,135.0,43.0,4.0,6.0,8.0,9.0,13.0,20.0,0.0,25.0,17.0,64.0,22.0,55.0,41.0,10.0,69.0,52.0,111.0,40.0,19.0,153.0,54.0,23.0,37.0,121.0,46.0
4376,38.0,2.0,12.0,53.0,13.0,10.0,15.0,49.0,11.0,24.0,3.0,7.0,16.0,0.0,30.0,26.0,90.0,29.0,37.0,17.0,40.0,173.0,23.0,9.0,31.0,129.0,59.0,69.0,65.0,42.0
4425,0.0,15.0,3.0,7.0,18.0,13.0,2.0,9.0,4.0,1.0,19.0,35.0,17.0,52.0,8.0,6.0,22.0,125.0,5.0,33.0,54.0,61.0,42.0,65.0,44.0,14.0,20.0,29.0,56.0,11.0
4474,2.0,9.0,0.0,5.0,38.0,19.0,3.0,28.0,8.0,6.0,20.0,11.0,26.0,10.0,36.0,4.0,54.0,51.0,15.0,30.0,63.0,23.0,69.0,33.0,14.0,22.0,29.0,21.0,118.0,34.0
4523,2.0,5.0,165.0,14.0,17.0,15.0,3.0,59.0,21.0,10.0,1.0,9.0,7.0,8.0,22.0,11.0,44.0,47.0,23.0,33.0,20.0,99.0,42.0,56.0,93.0,24.0,77.0,40.0,6.0,46.0
4572,0.0,4.0,12.0,9.0,33.0,52.0,38.0,17.0,63.0,5.0,6.0,31.0,3.0,11.0,14.0,7.0,49.0,54.0,1.0,29.0,8.0,21.0,70.0,50.0,10.0,25.0,36.0,47.0,34.0,28.0
4621,1.0,2.0,12.0,5.0,27.0,0.0,4.0,51.0,13.0,8.0,34.0,63.0,81.0,87.0,16.0,6.0,23.0,22.0,31.0,43.0,7.0,29.0,107.0,19.0,79.0,14.0,10.0,57.0,93.0,26.0
4670,1.0,19.0,18.0,15.0,72.0,6.0,5.0,7.0,0.0,13.0,23.0,4.0,12.0,20.0,22.0,2.0,62.0,33.0,10.0,104.0,31.0,56.0,103.0,36.0,14.0,47.0,42.0,3.0,152.0,29.0
4719,0.0,29.0,11.0,22.0,23.0,18.0,7.0,3.0,21.0,4.0,33.0,9.0,53.0,12.0,35.0,2.0,28.0,44.0,14.0,68.0,13.0,20.0,234.0,133.0,34.0,5.0,30.0,10.0,83.0,6.0
4768,0.0,11.0,4.0,5.0,38.0,12.0,9.0,19.0,2.0,7.0,37.0,32.0,33.0,71.0,58.0,20.0,22.0,43.0,13.0,14.0,72.0,18.0,319.0,97.0,35.0,17.0,49.0,3.0,96.0,16.0
4817,3.0,2.0,36.0,32.0,18.0,5.0,1.0,4.0,21.0,0.0,7.0,15.0,35.0,19.0,14.0,13.0,26.0,20.0,8.0,48.0,10.0,163.0,67.0,23.0,154.0,9.0,88.0,11.0,34.0,28.0
4866,5.0,6.0,0.0,22.0,59.0,18.0,4.0,9.0,23.0,2.0,16.0,8.0,12.0,30.0,7.0,3.0,21.0,108.0,1.0,43.0,10.0,29.0,32.0,81.0,39.0,70.0,52.0,25.0,46.0,24.0
