,ITGA9,ST6GALNAC5,GGT6,ZNF334,RP1-97D16.1,RPL7AP28,UCP2,BMPR1B,ILDR1,CCBL2,AC016710.1,RP11-389O22.4,TMEM98,TRIM58,RASSF9,CITED4,RP11-288H12.3,KCNIP2-AS1,C2orf54,FOXJ1,CTD-2377D24.6,MATN3,MAGEA6,AC079354.5,TBX3,RP11-44F14.2,AC090804.1,AC138623.1,CASC9,CTB-36O1.3
2262,3.0,11.0,0.0,2.0,7.0,16.0,4.0,25.0,46.0,5.0,463.0,1.0,47.0,147.0,14.0,134.0,13.0,129.0,6.0,78.0,37.0,41.0,92.0,10.0,40.0,232.0,12.0,86.0,21.0,15.0
2311,1.0,37.0,0.0,50.0,26.0,24.0,36.0,19.0,334.0,22.0,23.0,4.0,205.0,6.0,18.0,29.0,31.0,13.0,54.0,52.0,17.0,203.0,60.0,5.0,200.0,276.0,12.0,3.0,11.0,39.0
2360,6.0,1.0,0.0,25.0,5.0,3.0,18.0,26.0,70.0,15.0,114.0,37.0,104.0,22.0,12.0,30.0,29.0,24.0,8.0,332.0,23.0,35.0,67.0,17.0,225.0,78.0,28.0,34.0,11.0,57.0
2409,0.0,3.0,5.0,27.0,35.0,11.0,14.0,139.0,20.0,22.0,8.0,115.0,16.0,6.0,17.0,75.0,19.0,126.0,2.0,4.0,571.0,515.0,12.0,92.0,127.0,94.0,26.0,10.0,122.0,1.0
2458,0.0,4.0,1.0,2.0,3.0,103.0,43.0,59.0,23.0,19.0,8.0,6.0,40.0,10.0,38.0,7.0,50.0,53.0,15.0,42.0,9.0,56.0,20.0,46.0,12.0,13.0,77.0,32.0,26.0,147.0
2507,1.0,291.0,0.0,26.0,24.0,53.0,118.0,32.0,59.0,42.0,3.0,34.0,63.0,90.0,5.0,8.0,25.0,9.0,6.0,113.0,12.0,29.0,4.0,52.0,10.0,76.0,36.0,45.0,48.0,218.0
2556,27.0,2.0,0.0,5.0,8.0,50.0,1.0,7.0,29.0,36.0,55.0,39.0,209.0,119.0,12.0,6.0,40.0,18.0,15.0,19.0,23.0,4.0,24.0,149.0,11.0,88.0,68.0,25.0,51.0,357.0
2605,0.0,1.0,12.0,3.0,2.0,72.0,9.0,65.0,74.0,214.0,5.0,4.0,44.0,32.0,37.0,15.0,26.0,25.0,227.0,16.0,73.0,69.0,40.0,207.0,11.0,84.0,48.0,8.0,18.0,78.0
2654,7.0,6.0,0.0,2.0,4.0,20.0,43.0,39.0,13.0,9.0,8.0,1.0,96.0,14.0,12.0,5.0,30.0,24.0,28.0,37.0,41.0,88.0,3.0,47.0,86.0,27.0,83.0,25.0,23.0,50.0
2703,4.0,13.0,2.0,10.0,1.0,101.0,16.0,3.0,35.0,17.0,6.0,86.0,8.0,55.0,12.0,5.0,25.0,7.0,45.0,79.0,14.0,113.0,30.0,371.0,28.0,27.0,31.0,58.0,40.0,4160.0
2752,0.0,10.0,2.0,15.0,5.0,447.0,16.0,12.0,26.0,40.0,17.0,3.0,101.0,14.0,83.0,23.0,4.0,11.0,19.0,8.0,7.0,56.0,9.0,28.0,59.0,34.0,73.0,178.0,47.0,799.0
2801,1.0,7.0,0.0,14.0,33.0,84.0,36.0,21.0,106.0,6.0,18.0,5.0,71.0,22.0,8.0,177.0,26.0,4.0,46.0,31.0,10.0,51.0,45.0,429.0,16.0,318.0,133.0,91.0,13.0,110.0
2850,9.0,5.0,1.0,3.0,0.0,89.0,34.0,28.0,90.0,15.0,4.0,14.0,120.0,19.0,16.0,2.0,11.0,8.0,7.0,67.0,18.0,24.0,20.0,39.0,38.0,37.0,57.0,10.0,49.0,498.0
2899,3.0,0.0,7.0,9.0,4.0,986.0,19.0,22.0,61.0,2.0,8.0,1.0,13.0,63.0,34.0,306.0,71.0,25.0,29.0,50.0,6.0,75.0,5.0,451.0,16.0,15.0,550.0,12.0,21.0,301.0
2948,0.0,6.0,5.0,2.0,8.0,4.0,13.0,7.0,68.0,33.0,54.0,12.0,27.0,16.0,172.0,10.0,82.0,41.0,74.0,62.0,40.0,3.0,162.0,38.0,121.0,141.0,147.0,158.0,9.0,90.0
2997,21.0,2.0,1.0,8.0,144.0,3.0,4.0,0.0,16.0,20.0,166.0,69.0,7.0,43.0,14.0,65.0,45.0,110.0,34.0,107.0,35.0,24.0,28.0,27.0,499.0,378.0,168.0,412.0,310.0,58.0
3046,0.0,13.0,23.0,3.0,56.0,12.0,6.0,1.0,21.0,188.0,104.0,14.0,28.0,191.0,18.0,4.0,69.0,8.0,261.0,34.0,123.0,16.0,17.0,62.0,108.0,112.0,38.0,19.0,9.0,58.0
3095,6.0,3.0,2.0,1.0,131.0,8.0,33.0,60.0,10.0,20.0,26.0,5.0,21.0,25.0,67.0,19.0,103.0,65.0,35.0,106.0,95.0,24.0,0.0,23.0,140.0,56.0,50.0,9.0,11.0,7.0
3144,2.0,0.0,17.0,1.0,7.0,6.0,40.0,3.0,41.0,27.0,54.0,30.0,29.0,113.0,4.0,52.0,45.0,36.0,34.0,287.0,31.0,64.0,56.0,35.0,704.0,270.0,49.0,13.0,8.0,22.0
3193,0.0,1.0,9.0,4.0,42.0,5.0,15.0,11.0,16.0,19.0,13.0,2.0,6.0,22.0,23.0,3.0,111.0,328.0,34.0,92.0,50.0,149.0,7.0,211.0,91.0,404.0,240.0,18.0,14.0,64.0
3242,4.0,1.0,2.0,7.0,138.0,211.0,43.0,3.0,13.0,29.0,12.0,0.0,8.0,51.0,34.0,17.0,28.0,94.0,25.0,368.0,15.0,10.0,31.0,35.0,68.0,79.0,47.0,20.0,26.0,103.0
3291,0.0,13.0,1.0,5.0,27.0,6.0,22.0,3.0,19.0,56.0,26.0,24.0,28.0,304.0,7.0,10.0,102.0,83.0,39.0,232.0,69.0,15.0,55.0,17.0,437.0,51.0,37.0,18.0,20.0,46.0
3340,10.0,60.0,5.0,0.0,23.0,35.0,24.0,6.0,2.0,122.0,19.0,34.0,177.0,21.0,52.0,92.0,39.0,168.0,1206.0,539.0,8.0,9.0,87.0,48.0,43.0,461.0,237.0,1.0,4.0,359.0
3389,4.0,5.0,6.0,1.0,8.0,11.0,199.0,14.0,25.0,15.0,95.0,3.0,16.0,81.0,12.0,2.0,419.0,75.0,38.0,40.0,21.0,115.0,89.0,55.0,164.0,52.0,76.0,34.0,29.0,0.0
3438,10.0,30.0,1.0,16.0,2.0,0.0,35.0,65.0,13.0,25.0,27.0,41.0,174.0,4.0,137.0,15.0,8.0,26.0,6.0,84.0,235.0,49.0,53.0,12.0,123.0,22.0,20.0,3.0,231.0,33.0
3487,4.0,24.0,0.0,25.0,1.0,34.0,9.0,107.0,12.0,14.0,21.0,16.0,589.0,27.0,91.0,7.0,10.0,32.0,45.0,26.0,97.0,19.0,6.0,43.0,48.0,69.0,72.0,2.0,67.0,23.0
3536,3.0,48.0,7.0,6.0,27.0,0.0,52.0,354.0,9.0,16.0,49.0,51.0,204.0,1.0,95.0,34.0,23.0,29.0,62.0,73.0,75.0,19.0,35.0,2.0,59.0,47.0,25.0,4.0,28.0,13.0
3585,3.0,22.0,10.0,17.0,1.0,0.0,42.0,213.0,20.0,9.0,15.0,11.0,200.0,2.0,75.0,24.0,52.0,41.0,40.0,19.0,163.0,65.0,44.0,32.0,93.0,12.0,25.0,7.0,92.0,31.0
3634,1.0,20.0,11.0,0.0,9.0,3.0,15.0,339.0,21.0,16.0,62.0,8.0,157.0,10.0,129.0,4.0,19.0,40.0,74.0,48.0,174.0,13.0,46.0,2.0,66.0,53.0,18.0,24.0,33.0,97.0
3683,42.0,24.0,1.0,25.0,13.0,0.0,26.0,85.0,31.0,2.0,1172.0,36.0,76.0,705.0,34.0,152.0,10.0,51.0,6.0,50.0,229.0,17.0,18.0,3.0,128.0,52.0,186.0,183.0,681.0,55.0
3732,21.0,12.0,0.0,7.0,6.0,8.0,38.0,204.0,20.0,18.0,25.0,5.0,459.0,13.0,60.0,16.0,11.0,22.0,27.0,32.0,121.0,9.0,36.0,2.0,69.0,33.0,17.0,3.0,65.0,4.0
3781,5.0,16.0,1.0,10.0,51.0,0.0,14.0,227.0,59.0,13.0,24.0,4.0,287.0,6.0,813.0,3.0,52.0,113.0,65.0,190.0,98.0,18.0,139.0,7.0,21.0,57.0,58.0,27.0,376.0,95.0
3830,2.0,5.0,0.0,17.0,22.0,1.0,13.0,1298.0,24.0,41.0,44.0,45.0,480.0,10.0,196.0,6.0,16.0,11.0,9.0,78.0,102.0,14.0,8.0,4.0,26.0,43.0,39.0,30.0,56.0,48.0
3879,0.0,42.0,12.0,61.0,80.0,22.0,77.0,72.0,21.0,63.0,34.0,136.0,211.0,14.0,170.0,28.0,4.0,1.0,7.0,10.0,1025.0,65.0,38.0,29.0,102.0,9.0,16.0,6.0,36.0,50.0
3928,0.0,67.0,28.0,60.0,2.0,18.0,32.0,40.0,132.0,247.0,9.0,74.0,51.0,3.0,210.0,24.0,61.0,17.0,475.0,1.0,69.0,48.0,945.0,434.0,12.0,93.0,27.0,146.0,46.0,1113.0
3977,6.0,0.0,10.0,30.0,1.0,89.0,25.0,141.0,59.0,93.0,5.0,85.0,44.0,4.0,82.0,37.0,260.0,11.0,38.0,43.0,14.0,58.0,2.0,1227.0,26.0,20.0,162.0,126.0,53.0,647.0
4026,0.0,36.0,3.0,61.0,6.0,14.0,27.0,89.0,81.0,299.0,1.0,50.0,8.0,10.0,23.0,31.0,39.0,11.0,59.0,4.0,115.0,96.0,28.0,751.0,24.0,25.0,38.0,354.0,72.0,395.0
4075,1.0,2.0,19.0,56.0,0.0,99.0,16.0,35.0,81.0,42.0,7.0,23.0,5.0,3.0,198.0,49.0,101.0,22.0,90.0,4.0,14.0,130.0,18.0,6930.0,21.0,65.0,94.0,60.0,149.0,351.0
4124,0.0,3.0,17.0,22.0,1.0,78.0,20.0,23.0,54.0,59.0,5.0,117.0,7.0,12.0,32.0,43.0,101.0,9.0,133.0,6.0,18.0,102.0,49.0,8663.0,15.0,57.0,383.0,89.0,36.0,274.0
4173,2.0,1.0,11.0,36.0,0.0,28.0,17.0,91.0,47.0,106.0,16.0,25.0,6.0,9.0,198.0,14.0,80.0,21.0,52.0,4.0,12.0,33.0,15.0,4380.0,10.0,65.0,100.0,55.0,151.0,162.0
4222,1.0,11.0,4.0,51.0,2.0,253.0,49.0,20.0,247.0,17.0,76.0,70.0,58.0,38.0,104.0,313.0,152.0,3.0,24.0,5.0,44.0,183.0,40.0,9951.0,6.0,317.0,902.0,2997.0,717.0,2290.0
4271,3.0,5.0,33.0,34.0,1.0,29.0,23.0,16.0,71.0,112.0,2.0,20.0,141.0,0.0,42.0,31.0,13.0,28.0,155.0,39.0,27.0,48.0,22.0,1176.0,11.0,43.0,192.0,41.0,127.0,1774.0
4320,1.0,2.0,13.0,42.0,0.0,5.0,23.0,6.0,15.0,89.0,3.0,40.0,86.0,8.0,18.0,74.0,180.0,49.0,22.0,90.0,17.0,54.0,73.0,9359.0,26.0,28.0,157.0,287.0,241.0,299.0
4369,1.0,3.0,70.0,86.0,2.0,12.0,19.0,1365.0,55.0,93.0,0.0,20.0,31.0,7.0,269.0,8.0,85.0,28.0,128.0,4.0,66.0,37.0,24.0,3325.0,22.0,174.0,72.0,64.0,251.0,45.0
4418,0.0,43.0,18.0,26.0,58.0,1.0,241.0,9.0,45.0,40.0,2.0,11.0,4.0,3.0,13.0,14.0,124.0,161.0,69.0,16.0,196.0,72.0,28.0,158.0,56.0,139.0,39.0,20.0,121.0,5.0
4467,8.0,128.0,37.0,36.0,4.0,91.0,264.0,1.0,31.0,39.0,11.0,48.0,5.0,0.0,12.0,217.0,3.0,10.0,55.0,28.0,77.0,35.0,103.0,32.0,75.0,132.0,160.0,18.0,38.0,14.0
4516,0.0,20.0,31.0,4.0,35.0,3.0,52.0,2.0,17.0,12.0,6.0,11.0,1.0,48.0,9.0,54.0,191.0,184.0,47.0,19.0,134.0,95.0,45.0,43.0,16.0,60.0,58.0,50.0,63.0,74.0
4565,1.0,4.0,23.0,11.0,65.0,2.0,83.0,21.0,68.0,34.0,7.0,58.0,0.0,3.0,44.0,298.0,95.0,39.0,121.0,18.0,596.0,177.0,60.0,28.0,88.0,63.0,15.0,94.0,80.0,5.0
4614,0.0,42.0,41.0,3.0,36.0,9.0,219.0,60.0,83.0,5.0,53.0,12.0,1.0,2.0,315.0,144.0,90.0,18.0,132.0,4.0,1067.0,271.0,185.0,20.0,13.0,64.0,54.0,52.0,372.0,63.0
4663,1.0,81.0,23.0,16.0,3.0,0.0,28.0,6.0,48.0,61.0,29.0,162.0,9.0,233.0,8.0,167.0,26.0,10.0,142.0,4.0,283.0,38.0,190.0,75.0,15.0,47.0,11.0,1195.0,253.0,19.0
4712,1.0,4.0,13.0,7.0,15.0,2.0,38.0,10.0,19.0,20.0,6.0,31.0,0.0,5.0,11.0,9.0,58.0,33.0,8.0,16.0,150.0,49.0,63.0,64.0,28.0,36.0,30.0,73.0,288.0,3.0
4761,0.0,7.0,42.0,6.0,39.0,4.0,21.0,17.0,46.0,33.0,14.0,64.0,1.0,18.0,60.0,256.0,130.0,26.0,68.0,11.0,169.0,173.0,76.0,23.0,12.0,233.0,49.0,44.0,321.0,5.0
4810,1.0,62.0,30.0,21.0,99.0,0.0,27.0,8.0,41.0,57.0,5.0,33.0,7.0,40.0,20.0,9.0,235.0,24.0,225.0,6.0,789.0,90.0,103.0,63.0,42.0,193.0,14.0,46.0,13.0,3.0
4859,22.0,2.0,23.0,8.0,125.0,1.0,11.0,15.0,37.0,120.0,5.0,24.0,10.0,17.0,21.0,34.0,626.0,4.0,54.0,43.0,864.0,60.0,86.0,26.0,20.0,68.0,18.0,44.0,56.0,3.0
