,FAM21A_DEL,ADAM3A_DEL,ADAM5_DEL,HLA-H_DEL,EP300_MUT,RHD_DEL,LCE3C_DEL,MRGPRX1_DEL,GOLGA6L10_AMP,LOC390660_AMP,PCCB_DEL,RBFOX1_DEL,BRAF_MUT,TPTE_DEL,HLA-DRB6_AMP,PCDH15_MUT,SORD_AMP,BRAF.V600E_MUT,GSTTP1_AMP,HCG4B_DEL,MIR548AI_DEL,CES1P1_DEL,CDKN2B_DEL,GOLGA8A_DEL,GOLGA6L9_AMP,UBE2Q2P2_AMP,DMRTA1_DEL,OR51A2_DEL,RPS17L_AMP,GOLGA8DP_DEL
1058,2.0,0.0,1.0,35.0,4.0,10.0,3.0,7.0,32.0,33.0,5.0,55.0,19.0,38.0,139.0,31.0,16.0,30.0,60.0,42.0,9.0,6.0,57.0,8.0,242.0,241.0,93.0,48.0,244.0,68.0
1107,2.0,0.0,1.0,9.0,3.0,4.0,19.0,8.0,33.0,34.0,12.0,17.0,6.0,31.0,29.0,15.0,7.0,10.0,52.0,25.0,5.0,65.0,22.0,32.0,117.0,119.0,88.0,131.0,115.0,56.0
1156,0.0,4.0,5.0,27.0,1.0,22.0,2.0,6.0,19.0,18.0,7.0,42.0,20.0,33.0,71.0,13.0,55.0,60.0,10.0,92.0,17.0,68.0,14.0,23.0,76.0,79.0,91.0,8.0,77.0,34.0
1205,0.0,1.0,2.0,4.0,6.0,7.0,17.0,3.0,29.0,28.0,8.0,14.0,12.0,79.0,34.0,9.0,10.0,40.0,24.0,51.0,11.0,39.0,33.0,18.0,165.0,162.0,96.0,41.0,164.0,31.0
1254,1.0,0.0,2.0,12.0,11.0,9.0,14.0,18.0,23.0,24.0,16.0,123.0,35.0,50.0,7.0,4.0,85.0,49.0,26.0,6.0,3.0,263.0,8.0,25.0,47.0,46.0,69.0,29.0,48.0,55.0
1303,2.0,1.0,0.0,172.0,5.0,25.0,8.0,20.0,24.0,23.0,12.0,50.0,37.0,3.0,9.0,49.0,66.0,61.0,32.0,27.0,18.0,54.0,4.0,21.0,153.0,151.0,55.0,52.0,152.0,143.0
1352,3.0,1.0,2.0,11.0,17.0,5.0,46.0,14.0,38.0,39.0,42.0,8.0,0.0,82.0,97.0,13.0,15.0,7.0,65.0,22.0,4.0,155.0,6.0,16.0,272.0,273.0,87.0,64.0,271.0,25.0
1401,4.0,1.0,2.0,3.0,18.0,9.0,20.0,5.0,14.0,13.0,28.0,21.0,160.0,233.0,153.0,47.0,10.0,49.0,275.0,16.0,7.0,34.0,15.0,89.0,573.0,572.0,31.0,19.0,575.0,32.0
1450,5.0,0.0,1.0,10.0,7.0,11.0,4.0,6.0,17.0,16.0,9.0,35.0,13.0,25.0,12.0,15.0,148.0,24.0,37.0,8.0,2.0,94.0,26.0,38.0,46.0,42.0,298.0,22.0,43.0,27.0
1499,0.0,9.0,8.0,6.0,3.0,4.0,83.0,1.0,12.0,13.0,22.0,14.0,18.0,2.0,7.0,5.0,27.0,31.0,10.0,62.0,61.0,43.0,19.0,21.0,51.0,50.0,56.0,11.0,48.0,55.0
1548,0.0,2.0,3.0,1.0,6.0,10.0,9.0,4.0,22.0,23.0,21.0,7.0,43.0,5.0,11.0,14.0,1984.0,50.0,30.0,67.0,126.0,13.0,38.0,93.0,247.0,248.0,70.0,8.0,250.0,34.0
1597,0.0,3.0,5.0,1.0,2.0,10.0,6.0,9.0,49.0,48.0,25.0,23.0,7.0,8.0,16.0,4.0,81.0,17.0,12.0,14.0,26.0,45.0,95.0,32.0,264.0,266.0,53.0,22.0,268.0,74.0
1646,0.0,8.0,7.0,5.0,3.0,12.0,30.0,2.0,66.0,67.0,11.0,16.0,14.0,6.0,1.0,4.0,27.0,33.0,19.0,35.0,39.0,282.0,18.0,13.0,72.0,75.0,42.0,38.0,73.0,29.0
1695,1.0,11.0,9.0,0.0,7.0,8.0,6.0,2.0,20.0,21.0,12.0,49.0,17.0,5.0,4.0,19.0,25.0,30.0,13.0,44.0,90.0,18.0,37.0,42.0,70.0,69.0,33.0,3.0,68.0,41.0
1744,1.0,6.0,5.0,19.0,3.0,9.0,63.0,13.0,56.0,55.0,42.0,39.0,43.0,16.0,11.0,20.0,8.0,70.0,17.0,7.0,14.0,84.0,0.0,94.0,32.0,31.0,47.0,15.0,33.0,45.0
1793,3.0,6.0,7.0,0.0,9.0,58.0,27.0,16.0,24.0,23.0,14.0,215.0,55.0,2.0,1.0,13.0,563.0,26.0,29.0,4.0,5.0,83.0,12.0,1139.0,96.0,93.0,67.0,44.0,92.0,20.0
1842,0.0,6.0,4.0,2.0,37.0,53.0,47.0,1.0,17.0,16.0,14.0,12.0,18.0,5.0,10.0,9.0,177.0,19.0,34.0,8.0,7.0,3.0,100.0,15.0,259.0,263.0,29.0,28.0,262.0,33.0
1891,3.0,10.0,7.0,0.0,4.0,1.0,16.0,11.0,86.0,87.0,31.0,15.0,14.0,17.0,6.0,2.0,60.0,49.0,46.0,37.0,57.0,20.0,18.0,50.0,193.0,195.0,13.0,9.0,192.0,8.0
1940,0.0,76.0,78.0,1.0,16.0,9.0,17.0,5.0,14.0,15.0,21.0,11.0,2.0,3.0,8.0,7.0,925.0,4.0,19.0,18.0,6.0,37.0,45.0,27.0,35.0,34.0,86.0,28.0,33.0,13.0
1989,0.0,1.0,2.0,6.0,32.0,30.0,69.0,60.0,24.0,25.0,185.0,20.0,8.0,3.0,48.0,50.0,40.0,11.0,55.0,7.0,39.0,10.0,5.0,21.0,37.0,35.0,62.0,74.0,34.0,80.0
2038,1.0,5.0,6.0,36.0,15.0,53.0,17462.0,10.0,25.0,26.0,392.0,7.0,50.0,107.0,188.0,96.0,87.0,113.0,152.0,12.0,16.0,34.0,4.0,0.0,30.0,28.0,41.0,79.0,29.0,35.0
2087,1.0,3.0,2.0,4.0,49.0,42.0,1317.0,11.0,40.0,41.0,36.0,9.0,14.0,38.0,73.0,62.0,7.0,13.0,65.0,0.0,5.0,26.0,6.0,18.0,27.0,31.0,63.0,76.0,29.0,59.0
2136,2.0,0.0,1.0,5.0,46.0,58.0,85.0,24.0,42.0,43.0,83.0,66.0,41.0,6.0,63.0,91.0,9.0,30.0,55.0,4.0,23.0,77.0,3.0,38.0,27.0,28.0,39.0,130.0,26.0,120.0
2185,2.0,6.0,8.0,1.0,82.0,12.0,129.0,25.0,17.0,18.0,40.0,16.0,13.0,4.0,38.0,24.0,3.0,14.0,50.0,7.0,10.0,537.0,0.0,23.0,79.0,76.0,46.0,73.0,78.0,35.0
2234,0.0,5.0,6.0,2.0,17.0,32.0,3342.0,12.0,19.0,20.0,115.0,9.0,7.0,10.0,49.0,44.0,68.0,11.0,75.0,1.0,3.0,36.0,4.0,24.0,30.0,29.0,72.0,14.0,27.0,41.0
2283,0.0,1.0,2.0,39.0,35.0,174.0,5.0,20.0,51.0,52.0,84.0,29.0,70.0,22.0,4.0,218.0,6.0,146.0,38.0,3.0,8.0,96.0,10.0,53.0,14.0,13.0,25.0,64.0,15.0,59.0
2332,0.0,13.0,14.0,10.0,31.0,25.0,3743.0,6.0,39.0,40.0,95.0,2.0,11.0,15.0,101.0,44.0,19.0,28.0,35.0,5.0,7.0,150.0,3.0,32.0,52.0,54.0,126.0,47.0,55.0,208.0
2381,0.0,2.0,3.0,7.0,24.0,41.0,26.0,71.0,45.0,46.0,123.0,57.0,23.0,6.0,58.0,66.0,14.0,10.0,43.0,1.0,4.0,37.0,5.0,16.0,20.0,21.0,51.0,67.0,18.0,42.0
2430,0.0,6.0,7.0,3.0,61.0,9.0,1383.0,35.0,20.0,19.0,201.0,8.0,2.0,16.0,32.0,43.0,27.0,5.0,34.0,4.0,1.0,77.0,18.0,17.0,13.0,15.0,79.0,75.0,14.0,44.0
2479,1.0,35.0,41.0,2.0,7.0,15.0,3.0,16.0,6.0,5.0,12.0,21.0,9.0,4.0,43.0,8.0,0.0,11.0,20.0,97.0,209.0,33.0,113.0,73.0,28.0,31.0,48.0,17.0,30.0,34.0
2528,0.0,2.0,3.0,10.0,5.0,23.0,1.0,13.0,9.0,8.0,7.0,14.0,19.0,11.0,4.0,18.0,6.0,26.0,20.0,693.0,4649.0,57.0,124.0,52.0,40.0,42.0,64.0,12.0,41.0,111.0
2577,0.0,60.0,70.0,1.0,17.0,198.0,3.0,57.0,12.0,11.0,16.0,22.0,5.0,2.0,72.0,10.0,7.0,15.0,25.0,19.0,28.0,87.0,172.0,477.0,52.0,54.0,39.0,29.0,53.0,27.0
2626,0.0,4.0,3.0,15.0,31.0,35.0,59.0,5.0,22.0,21.0,14.0,13.0,7.0,25.0,78.0,2.0,1.0,6.0,147.0,29.0,27.0,111.0,44.0,43.0,8.0,9.0,69.0,38.0,12.0,56.0
2675,1.0,7.0,9.0,0.0,30.0,4.0,2.0,13.0,15.0,14.0,22.0,11.0,5.0,12.0,17.0,8.0,3.0,6.0,18.0,19.0,10.0,21.0,183.0,188.0,84.0,85.0,60.0,23.0,86.0,39.0
2724,0.0,12.0,15.0,2.0,3.0,6.0,5.0,100.0,14.0,13.0,17.0,11.0,1.0,8.0,25.0,4.0,21.0,7.0,87.0,138.0,84.0,44.0,83.0,175.0,59.0,56.0,105.0,16.0,57.0,23.0
2773,4.0,19.0,22.0,68.0,6.0,13.0,1.0,14.0,3.0,2.0,45.0,17.0,134.0,5.0,16.0,89.0,0.0,86.0,15.0,2623.0,21644.0,18.0,20.0,142.0,9.0,8.0,30.0,7.0,12.0,32.0
2822,0.0,20.0,27.0,1.0,10.0,41.0,2.0,23.0,22.0,21.0,19.0,16.0,36.0,3.0,238.0,6.0,7.0,25.0,43.0,30.0,12.0,5.0,35.0,28.0,51.0,53.0,57.0,14.0,55.0,81.0
2871,0.0,11.0,20.0,3.0,10.0,21.0,1.0,29.0,8.0,9.0,23.0,14.0,25.0,6.0,66.0,2.0,12.0,27.0,36.0,113.0,299.0,24.0,110.0,332.0,17.0,18.0,71.0,32.0,16.0,28.0
2920,0.0,22.0,27.0,10.0,16.0,4.0,1.0,28.0,12.0,13.0,25.0,2.0,3.0,11.0,30.0,20.0,6.0,14.0,7.0,382.0,1844.0,18.0,165.0,124.0,55.0,54.0,73.0,31.0,53.0,104.0
2969,2.0,0.0,1.0,9.0,8.0,4.0,63.0,3.0,24.0,25.0,34.0,21.0,31.0,27.0,72.0,19.0,18.0,23.0,15.0,51.0,22.0,26.0,11.0,5.0,55.0,59.0,28.0,62.0,57.0,52.0
3018,1.0,2.0,4.0,0.0,24.0,7.0,3.0,6.0,66.0,67.0,17.0,54.0,11.0,18.0,168.0,16.0,25.0,8.0,22.0,42.0,39.0,14.0,31.0,15.0,78.0,80.0,23.0,34.0,81.0,70.0
3067,2.0,0.0,1.0,4.0,12.0,5.0,10.0,15.0,45.0,44.0,52.0,21.0,8.0,13.0,56.0,20.0,27.0,7.0,19.0,9.0,3.0,38.0,18.0,32.0,63.0,62.0,29.0,202.0,64.0,46.0
3116,5.0,1.0,2.0,0.0,23.0,4.0,15.0,17.0,30.0,29.0,13.0,11.0,12.0,25.0,160.0,8.0,3.0,14.0,26.0,10.0,6.0,46.0,7.0,20.0,83.0,84.0,34.0,183.0,82.0,62.0
3165,1.0,0.0,2.0,3.0,20.0,4.0,5.0,16.0,36.0,35.0,17.0,24.0,14.0,8.0,60.0,41.0,12.0,15.0,21.0,141.0,252.0,23.0,11.0,183.0,32.0,30.0,26.0,43.0,33.0,62.0
3214,0.0,5.0,4.0,1.0,28.0,3.0,48.0,7.0,42.0,43.0,24.0,16.0,2.0,50.0,261.0,12.0,77.0,8.0,25.0,13.0,9.0,51.0,69.0,11.0,82.0,80.0,14.0,248.0,78.0,65.0
3263,2.0,1.0,0.0,5.0,9.0,3.0,4.0,17.0,29.0,28.0,18.0,37.0,6.0,16.0,59.0,22.0,15.0,7.0,8.0,48.0,71.0,19.0,13.0,35.0,51.0,53.0,12.0,63.0,52.0,86.0
3312,0.0,1.0,2.0,3.0,7.0,6.0,26.0,20.0,29.0,30.0,11.0,14.0,4.0,8.0,21.0,10.0,9.0,5.0,15.0,17.0,13.0,34.0,85.0,31.0,35.0,36.0,33.0,64.0,39.0,92.0
3361,2.0,4.0,5.0,1.0,14.0,0.0,11.0,16.0,143.0,142.0,25.0,12.0,8.0,40.0,82.0,9.0,31.0,7.0,32.0,26.0,33.0,6.0,24.0,18.0,175.0,177.0,34.0,80.0,176.0,71.0
3410,0.0,9.0,7.0,2.0,4.0,1.0,41.0,3.0,36.0,35.0,17.0,12.0,5.0,28.0,264.0,6.0,37.0,8.0,26.0,64.0,58.0,23.0,30.0,19.0,89.0,90.0,14.0,16.0,91.0,137.0
3459,4.0,7.0,8.0,0.0,46.0,9.0,31.0,1.0,15.0,14.0,101.0,3.0,2.0,208.0,12.0,185.0,6.0,25.0,22.0,28.0,39.0,91.0,2446.0,48.0,100.0,96.0,105.0,88.0,99.0,36.0
3508,2.0,0.0,1.0,3.0,39.0,14.0,4.0,9.0,12.0,11.0,7.0,36.0,8.0,13.0,10.0,50.0,322.0,57.0,42.0,60.0,78.0,290.0,223.0,683.0,26.0,24.0,29.0,48.0,28.0,15.0
3557,4.0,1.0,0.0,2.0,72.0,9.0,8.0,3.0,16.0,15.0,6.0,13.0,5.0,28.0,40.0,10.0,30.0,11.0,31.0,29.0,44.0,26.0,367.0,12.0,86.0,84.0,24.0,18.0,87.0,17.0
3606,3.0,1.0,2.0,0.0,37.0,20.0,15.0,6.0,10.0,9.0,18.0,7.0,8.0,67.0,91.0,12.0,5.0,24.0,75.0,11.0,13.0,266.0,127.0,82.0,29.0,27.0,58.0,111.0,26.0,44.0
3655,4.0,1.0,0.0,3.0,37.0,7.0,2.0,11.0,16.0,17.0,9.0,13.0,5.0,67.0,34.0,8.0,23.0,14.0,87.0,19.0,24.0,39.0,3055.0,10.0,46.0,50.0,28.0,22.0,48.0,38.0
3704,3.0,1.0,2.0,0.0,39.0,11.0,8.0,5.0,16.0,17.0,10.0,4.0,6.0,60.0,30.0,25.0,26.0,14.0,68.0,9.0,15.0,78.0,65.0,32.0,33.0,37.0,28.0,77.0,35.0,89.0
3753,3.0,0.0,2.0,1.0,10.0,8.0,16.0,5.0,15.0,14.0,40.0,7.0,4.0,25.0,9.0,21.0,37.0,13.0,60.0,6.0,12.0,36.0,159.0,53.0,75.0,76.0,34.0,31.0,72.0,39.0
3802,8.0,2.0,3.0,0.0,32.0,6.0,99.0,35.0,27.0,26.0,44.0,16.0,5.0,23.0,34.0,25.0,17.0,7.0,12698.0,4.0,1.0,94.0,667.0,66.0,72.0,69.0,97.0,50.0,71.0,24.0
3851,3.0,2.0,1.0,0.0,24.0,6.0,29.0,5.0,8.0,7.0,10.0,28.0,4.0,70.0,18.0,14.0,68.0,19.0,72.0,11.0,15.0,47.0,248.0,111.0,42.0,46.0,36.0,35.0,44.0,16.0
3900,1.0,2.0,3.0,0.0,25.0,12.0,9.0,4.0,19.0,20.0,11.0,8.0,6.0,48.0,17.0,26.0,43.0,16.0,28.0,5.0,7.0,68.0,241.0,46.0,81.0,84.0,53.0,21.0,83.0,22.0
3949,21.0,4.0,2.0,1.0,23.0,14.0,129.0,3.0,7.0,6.0,10.0,11.0,254.0,82.0,58.0,354.0,0.0,93.0,13.0,118.0,324.0,86.0,22.0,20.0,15.0,18.0,24.0,68.0,16.0,99.0
3998,1.0,9.0,12.0,0.0,25.0,378.0,30.0,7.0,5.0,4.0,28.0,10.0,43.0,27.0,59.0,82.0,3.0,20.0,21.0,2.0,11.0,33.0,29.0,141.0,14.0,16.0,22.0,117.0,13.0,44.0
4047,5.0,0.0,1.0,14.0,13.0,200.0,55.0,19.0,3.0,2.0,15.0,4.0,42.0,39.0,6.0,141.0,12.0,25.0,56.0,49.0,297.0,46.0,24.0,157.0,9.0,7.0,29.0,16.0,8.0,78.0
4096,2.0,1.0,0.0,3.0,8.0,102.0,64.0,48.0,6.0,7.0,11.0,33.0,67.0,47.0,5.0,18.0,4.0,24.0,26.0,60.0,426.0,235.0,57.0,173.0,20.0,21.0,45.0,908.0,22.0,44.0
4145,21.0,1.0,2.0,0.0,3.0,8.0,19.0,15.0,6.0,7.0,12.0,368.0,25.0,20.0,62.0,53.0,23.0,9.0,24.0,89.0,109.0,10.0,64.0,79.0,43.0,40.0,97.0,156.0,39.0,94.0
4194,8.0,1.0,2.0,0.0,16.0,103.0,168.0,35.0,7.0,6.0,15.0,14.0,4.0,120.0,25.0,11.0,3.0,5.0,234.0,13.0,22.0,55.0,150.0,56.0,64.0,67.0,73.0,107.0,66.0,12.0
4243,7.0,4.0,5.0,0.0,2.0,24.0,43.0,25.0,12.0,11.0,6.0,72.0,14.0,3.0,26.0,8.0,1.0,9.0,48.0,18.0,119.0,86.0,150.0,1025.0,52.0,50.0,158.0,207.0,51.0,32.0
4292,8.0,3.0,1.0,0.0,9.0,54.0,38.0,28.0,6.0,5.0,12.0,22.0,31.0,11.0,13.0,16.0,4.0,14.0,36.0,2.0,10.0,34.0,111.0,146.0,25.0,26.0,30.0,39.0,23.0,29.0
4341,3.0,0.0,1.0,2.0,11.0,51.0,617.0,81.0,5.0,6.0,12.0,66.0,67.0,31.0,76.0,40.0,7.0,46.0,57.0,10.0,13.0,72.0,8.0,733.0,17.0,18.0,63.0,48.0,19.0,56.0
4390,2.0,6.0,5.0,0.0,9.0,21.0,7.0,46.0,10.0,11.0,27.0,40.0,43.0,23.0,16.0,22.0,1.0,39.0,26.0,8.0,24.0,143.0,378.0,58.0,71.0,69.0,31.0,34.0,70.0,25.0
4439,6.0,9.0,10.0,30.0,7.0,19.0,0.0,22.0,14.0,15.0,12.0,85.0,117.0,20.0,8.0,38.0,33.0,123.0,11.0,37.0,147.0,13264.0,24.0,249.0,4.0,3.0,25.0,56.0,5.0,29.0
4488,3.0,1.0,0.0,4.0,5.0,33.0,2.0,13.0,14.0,15.0,16.0,92.0,221.0,73.0,11.0,45.0,12.0,48.0,49.0,17.0,119.0,137.0,61.0,41.0,20.0,21.0,9.0,57.0,18.0,34.0
4537,0.0,1.0,2.0,4.0,5.0,6.0,3.0,15.0,10.0,9.0,19.0,28.0,16.0,21.0,20.0,13.0,108.0,44.0,23.0,118.0,582.0,667.0,85.0,49.0,34.0,36.0,25.0,27.0,38.0,18.0
4586,1.0,0.0,2.0,3.0,20.0,8.0,5.0,17.0,10.0,9.0,6.0,41.0,85.0,43.0,15.0,7.0,128.0,80.0,18.0,26.0,56.0,55.0,135.0,39.0,65.0,64.0,12.0,27.0,67.0,58.0
4635,2.0,0.0,1.0,3.0,5.0,74.0,22.0,73.0,26.0,25.0,36.0,30.0,31.0,2117.0,21.0,6.0,495.0,16.0,113.0,7.0,4.0,317.0,40.0,33.0,42.0,43.0,10.0,162.0,46.0,17.0
4684,3.0,2.0,0.0,4.0,9.0,33.0,1.0,8.0,17.0,16.0,15.0,44.0,117.0,58.0,11.0,19.0,193.0,80.0,13.0,35.0,119.0,10.0,48.0,38.0,28.0,25.0,14.0,36.0,27.0,22.0
4733,3.0,0.0,1.0,9.0,4.0,20.0,7.0,11.0,14.0,13.0,71.0,57.0,116.0,59.0,6.0,114.0,8.0,84.0,10.0,65.0,246.0,47.0,100.0,40.0,21.0,24.0,16.0,29.0,23.0,44.0
4782,0.0,9.0,8.0,2.0,12.0,3.0,1.0,66.0,10.0,11.0,15.0,74.0,6.0,17.0,27.0,4.0,49.0,13.0,18.0,145.0,99.0,38.0,435.0,70.0,21.0,23.0,28.0,90.0,19.0,24.0
4831,0.0,2.0,3.0,1.0,61.0,131.0,4.0,13.0,14.0,15.0,116.0,96.0,253.0,8.0,6.0,58.0,399.0,167.0,7.0,12.0,60.0,53.0,34.0,10.0,25.0,23.0,9.0,18.0,24.0,31.0
4880,4.0,1.0,2.0,5.0,7.0,56.0,0.0,27.0,8.0,9.0,10.0,139.0,142.0,19.0,3.0,57.0,145.0,236.0,18.0,21.0,47.0,95.0,96.0,63.0,16.0,15.0,11.0,51.0,17.0,24.0
