,NAALADL2_DEL,OR51A2_DEL,FLNA_MUT,SIGLEC14_DEL,DPP6_DEL,LARGE_DEL,KRT16P2_AMP,SNTG1_DEL,MECOM_AMP,FAM66A_DEL,RMND5A_DEL,HLA-DRB6_AMP,RNF103-CHMP3_DEL,TTTY22_DEL,UGT2B17_DEL,NRXN1_DEL,HERC2P2_AMP,SIRPB1_AMP,HLA-DRB1_AMP,UPK3B_AMP,TNRC6B_MUT,PAX5_DEL,DEFA3_AMP,GSTTP2_DEL,GSTTP2_AMP,AMY2A_DEL,MYEOV_AMP,KIAA0125_AMP,ARHGEF5_AMP,NRXN3_DEL
1500,1.0,2.0,10.0,42.0,15.0,3.0,581.0,306.0,14.0,9.0,47.0,127.0,48.0,4.0,7.0,316.0,304.0,8.0,620.0,1156.0,257.0,24.0,16.0,32.0,154.0,28.0,0.0,39.0,22.0,97.0
1549,2.0,1.0,3.0,174.0,6.0,91.0,201.0,81.0,19.0,4.0,18.0,59.0,17.0,5.0,31.0,111.0,0.0,2183.0,295.0,166.0,15.0,55.0,14.0,24.0,109.0,25.0,10.0,89.0,11.0,70.0
1598,0.0,268.0,5.0,39.0,6.0,54.0,16847.0,174.0,588.0,36.0,3.0,68.0,4.0,106.0,11.0,374.0,15.0,131.0,27.0,283.0,13.0,41.0,257.0,171.0,773.0,161.0,10.0,366.0,6466.0,22.0
1647,16.0,1.0,2.0,38.0,15.0,52.0,943.0,625.0,100.0,0.0,10.0,132.0,9.0,54.0,225.0,1621.0,116.0,35.0,3110.0,142.0,31.0,30.0,26.0,4.0,782.0,42.0,33.0,32.0,7.0,18.0
1696,0.0,11.0,57.0,17.0,21.0,1.0,741.0,15.0,6.0,10.0,119.0,5.0,120.0,20.0,8.0,398.0,32.0,129.0,47.0,58.0,86.0,38.0,22.0,3.0,209.0,66.0,7.0,185.0,128.0,139.0
1745,2.0,18.0,4.0,212.0,17.0,3.0,1700.0,442.0,30.0,22.0,207.0,19.0,206.0,5.0,117.0,209.0,0.0,583.0,52.0,57.0,40.0,68.0,53.0,16.0,1873.0,119.0,13.0,26.0,11.0,41.0
1794,2.0,0.0,26.0,58.0,99.0,1.0,1664.0,84.0,9.0,12.0,79.0,16.0,80.0,15.0,10.0,399.0,4.0,51.0,48.0,1044.0,47.0,25.0,11.0,21.0,466.0,96.0,3.0,5.0,32.0,37.0
1843,1.0,0.0,2.0,328.0,48.0,11.0,316.0,348.0,105.0,3.0,262.0,445.0,263.0,6.0,124.0,166.0,161.0,18.0,3629.0,135.0,22.0,71.0,28.0,27.0,9958.0,13.0,4.0,215.0,7.0,57.0
1892,7.0,0.0,6.0,280.0,73.0,9.0,512.0,56.0,8.0,26.0,4.0,112.0,3.0,18.0,5.0,103.0,15.0,1493.0,584.0,348.0,42.0,12.0,22.0,47.0,411.0,67.0,57.0,25.0,28.0,40.0
1941,19.0,11.0,37.0,318.0,3.0,0.0,885.0,183.0,24.0,7.0,62.0,211.0,63.0,2.0,8.0,1411.0,9.0,1544.0,2003.0,285.0,17.0,21.0,246.0,13.0,2732.0,44.0,6.0,45.0,42.0,20.0
1990,7.0,1.0,13.0,5.0,0.0,6.0,12.0,34.0,11.0,44.0,102.0,42.0,101.0,8.0,222.0,24.0,48.0,4.0,55.0,78.0,17.0,268.0,15.0,144.0,88.0,41.0,18.0,366.0,10.0,38.0
2039,7.0,4.0,6.0,1.0,9.0,3.0,19.0,27.0,30.0,26.0,168.0,148.0,169.0,5.0,12.0,28.0,17.0,0.0,99.0,24.0,11.0,41.0,68.0,205.0,336.0,20.0,37.0,254.0,38.0,45.0
2088,546.0,1.0,13.0,14.0,6.0,15.0,3.0,396.0,4.0,264.0,64.0,32.0,63.0,2.0,7.0,31.0,0.0,39.0,27.0,62.0,22.0,8.0,103.0,2233.0,21.0,16.0,107.0,17.0,20.0,84.0
2137,23.0,4.0,22.0,1.0,0.0,180.0,5.0,88.0,59.0,20.0,108.0,177.0,109.0,3.0,2.0,60.0,137.0,32.0,27.0,128.0,33.0,14.0,219.0,7.0,260.0,13.0,15.0,13823.0,262.0,274.0
2186,13.0,1.0,17.0,3.0,5.0,28.0,20.0,122.0,7.0,19.0,184.0,95.0,185.0,46.0,11.0,75.0,18.0,2.0,379.0,29.0,30.0,10.0,37.0,12.0,4.0,21.0,25.0,48.0,47.0,92.0
2235,8.0,2.0,14.0,9.0,0.0,17.0,20.0,59.0,5.0,4.0,18968.0,103.0,18967.0,1.0,24.0,543.0,135.0,47.0,105.0,19.0,31.0,6.0,54.0,7.0,216.0,25.0,27.0,28.0,34.0,198.0
2284,70.0,1.0,18.0,8.0,13.0,23.0,34.0,728.0,5.0,2.0,658.0,237.0,659.0,3.0,144.0,46.0,92.0,0.0,441.0,29.0,7.0,10.0,28.0,68.0,51.0,39.0,17.0,73.0,16.0,667.0
2333,32.0,0.0,9.0,1.0,2.0,4.0,8.0,37.0,7.0,50.0,100.0,178.0,101.0,3.0,19.0,33.0,17.0,5.0,225.0,54.0,13.0,11.0,92.0,57.0,36.0,12.0,18.0,41.0,16.0,34.0
2382,3.0,1.0,10.0,4.0,0.0,8.0,6.0,19.0,9.0,35.0,1082.0,45.0,1081.0,5.0,7.0,20.0,30.0,2.0,46.0,89.0,11.0,34.0,24.0,44.0,47.0,130.0,27.0,121.0,21.0,82.0
2431,9.0,1.0,60.0,27.0,0.0,3.0,2.0,7.0,5.0,8.0,25.0,1816.0,24.0,61.0,370.0,26.0,406.0,15.0,4025.0,161.0,35.0,6.0,52.0,571.0,20.0,34.0,12.0,6716.0,69.0,92.0
2480,37.0,51.0,7.0,4.0,22.0,8.0,97.0,194.0,40.0,15.0,0.0,2.0,1.0,160.0,89.0,10.0,35.0,17.0,3.0,52.0,32.0,81.0,78.0,9962.0,14.0,27.0,21.0,92.0,31.0,67.0
2529,45.0,19.0,24.0,0.0,11.0,26.0,40.0,202.0,25.0,4.0,3.0,7.0,2.0,46.0,428.0,33.0,86.0,13.0,15.0,325.0,43.0,188.0,57.0,659.0,1.0,132.0,23.0,6.0,167.0,66.0
2578,7.0,4.0,9.0,3.0,0.0,17.0,52.0,75.0,18.0,5.0,2.0,11.0,1.0,77.0,91.0,15.0,14.0,27.0,12.0,53.0,49.0,70.0,20.0,902.0,6.0,110.0,30.0,31.0,16.0,25.0
2627,4.0,158.0,3.0,2.0,10.0,219.0,21.0,13.0,52.0,8.0,0.0,28.0,1.0,74.0,278.0,11.0,33.0,376.0,6.0,15.0,19.0,125.0,141.0,1170.0,5.0,66.0,38.0,79.0,484.0,104.0
2676,39.0,30.0,10.0,3.0,11.0,16.0,52.0,121.0,26.0,8.0,0.0,4.0,1.0,62.0,5697.0,7.0,55.0,33.0,2.0,31.0,18.0,223.0,15.0,209.0,5.0,65.0,68.0,53.0,25.0,63.0
2725,34.0,14.0,18.0,1.0,16.0,23.0,53.0,39.0,28.0,12.0,11.0,3.0,10.0,66.0,31.0,24.0,30.0,25.0,4.0,238.0,57.0,32.0,19.0,607.0,0.0,40.0,36.0,5.0,20.0,65.0
2774,0.0,15.0,5.0,3.0,21.0,31.0,2609.0,7959.0,18.0,4.0,7.0,8.0,6.0,146.0,650.0,145.0,73.0,67.0,10.0,27.0,17.0,76.0,16.0,3179.0,23.0,328.0,14.0,29.0,12.0,41.0
2823,18.0,37.0,0.0,8.0,31.0,5.0,60.0,22.0,26.0,17.0,3.0,6.0,4.0,171.0,47.0,11.0,7.0,21.0,9.0,83.0,28.0,248.0,16.0,9874.0,1.0,732.0,67.0,223.0,15.0,70.0
2872,194.0,9.0,7.0,0.0,10.0,15.0,54.0,563.0,239.0,16.0,2.0,3.0,1.0,132.0,40.0,14.0,71.0,22.0,4.0,136.0,45.0,303.0,18.0,7542.0,5.0,64.0,541.0,27.0,37.0,94.0
2921,6.0,51.0,15.0,0.0,5.0,14.0,18.0,62.0,8.0,7.0,1.0,3.0,2.0,77.0,54.0,28.0,78.0,63.0,4.0,19.0,37.0,479.0,16.0,342.0,12.0,61.0,20.0,50.0,38.0,100.0
2970,1.0,8.0,2.0,44.0,11.0,7.0,15.0,3.0,49.0,80.0,140.0,9.0,139.0,6.0,63.0,4.0,0.0,34.0,17.0,33.0,23.0,13.0,86.0,233.0,26.0,36.0,25.0,38.0,5.0,10.0
3019,7.0,0.0,1.0,33.0,73.0,12.0,19.0,3.0,15.0,932.0,40.0,2169.0,41.0,5.0,238.0,24.0,6.0,10.0,5883.0,2.0,18.0,13.0,64.0,43.0,4.0,9.0,53.0,32.0,35.0,16.0
3068,22.0,0.0,13.0,4.0,14.0,1.0,74.0,5.0,15.0,25.0,19.0,49.0,20.0,3.0,11.0,17.0,2.0,45.0,63.0,124.0,41.0,7.0,54.0,312.0,6.0,97.0,42.0,48.0,141.0,18.0
3117,0.0,3.0,19.0,16.0,10.0,14.0,17.0,1.0,18.0,58.0,39.0,80.0,38.0,4.0,36.0,31.0,23.0,21.0,413.0,20.0,32.0,13.0,63.0,5.0,35.0,30.0,26.0,89.0,62.0,24.0
3166,7.0,3.0,9.0,16.0,2.0,27.0,10.0,24.0,8.0,15.0,6.0,57.0,5.0,60.0,416.0,23.0,0.0,199.0,96.0,44.0,20.0,1.0,187.0,32.0,56.0,17.0,21.0,12.0,30.0,22.0
3215,3.0,395.0,2.0,53.0,20.0,202.0,22.0,25.0,79.0,73.0,10.0,587.0,11.0,57.0,302.0,136.0,1.0,32.0,124.0,4.0,6.0,7.0,336.0,67.0,12.0,63.0,8.0,191.0,56.0,14.0
3264,1.0,11.0,0.0,54.0,6.0,3.0,2.0,23.0,25.0,26.0,12.0,921.0,13.0,5.0,15.0,42.0,24.0,462.0,1679.0,8.0,32.0,10.0,53.0,30.0,7.0,21.0,57.0,47.0,9.0,31.0
3313,5.0,1.0,7.0,44.0,4.0,6.0,13.0,21.0,16.0,66.0,31.0,38.0,30.0,3.0,71.0,15.0,0.0,24.0,53.0,76.0,73.0,19.0,82.0,347.0,2.0,36.0,10.0,46.0,495.0,23.0
3362,26.0,10.0,16.0,56.0,0.0,7.0,5.0,11.0,4.0,561.0,93.0,174.0,92.0,23.0,2.0,40.0,1.0,319.0,268.0,13.0,39.0,19.0,63.0,37.0,12.0,9.0,167.0,69.0,33.0,79.0
3411,0.0,25.0,12.0,3.0,2.0,4.0,86.0,23.0,27.0,158.0,55.0,21.0,56.0,7.0,69.0,48.0,13.0,105.0,43.0,49.0,190.0,29.0,36.0,578.0,1.0,81.0,24.0,44.0,9.0,32.0
3460,0.0,4.0,1.0,3.0,30.0,10.0,36.0,17.0,14.0,27.0,8.0,19.0,9.0,91.0,2.0,29.0,80.0,11.0,70.0,6.0,21.0,13.0,25.0,5.0,18.0,28.0,118.0,24.0,22.0,35.0
3509,1.0,0.0,3.0,9.0,7.0,37.0,30.0,2.0,22.0,44.0,10.0,38.0,11.0,25.0,19.0,16.0,34.0,12.0,164.0,8.0,67.0,26.0,23.0,303.0,4.0,756.0,218.0,5.0,57.0,138.0
3558,7.0,1.0,10.0,2.0,25.0,4.0,365.0,88.0,9.0,292.0,23.0,11.0,22.0,16.0,0.0,107.0,90.0,12.0,59.0,8.0,47.0,17.0,52.0,254.0,104.0,50.0,180.0,20.0,179.0,33.0
3607,2.0,8.0,12.0,1.0,11.0,25.0,65.0,18.0,29.0,31.0,37.0,0.0,38.0,47.0,10.0,46.0,125.0,39.0,3.0,7.0,49.0,33.0,9.0,15.0,14.0,107.0,82.0,4.0,106.0,85.0
3656,1.0,5.0,8.0,0.0,6.0,14.0,42.0,24.0,19.0,48.0,2.0,17.0,3.0,33.0,10.0,27.0,12.0,9.0,64.0,16.0,35.0,18.0,15.0,22.0,25.0,80.0,47.0,4.0,404.0,60.0
3705,0.0,19.0,20.0,1.0,41.0,110.0,24.0,5.0,198.0,9.0,2.0,10.0,3.0,26.0,6.0,32.0,652.0,7.0,8.0,81.0,30.0,11.0,208.0,17.0,23.0,59.0,50.0,39.0,634.0,29.0
3754,0.0,4.0,9.0,1.0,13.0,63.0,20.0,12.0,10.0,28.0,7.0,3.0,6.0,107.0,17.0,33.0,8.0,82.0,38.0,11.0,24.0,30.0,32.0,83.0,2.0,36.0,72.0,16.0,43.0,31.0
3803,0.0,9.0,6.0,2.0,3.0,11.0,103.0,4.0,22.0,65.0,17.0,13.0,18.0,32.0,5.0,29.0,244.0,37.0,95.0,7.0,20.0,641.0,28.0,14.0,107.0,391.0,63.0,266.0,61.0,91.0
3852,3.0,0.0,31.0,37.0,62.0,7.0,26.0,6.0,13.0,75.0,10.0,44.0,11.0,36.0,4.0,20.0,2.0,94.0,273.0,18.0,87.0,19.0,58.0,60.0,5.0,53.0,398.0,8.0,169.0,14.0
3901,3.0,12.0,6.0,13.0,145.0,368.0,344.0,8.0,14.0,11.0,1.0,44.0,2.0,103.0,85.0,206.0,323.0,5.0,587.0,7.0,15.0,10.0,18.0,19.0,16.0,356.0,48.0,23.0,22.0,20.0
3950,2.0,1.0,5.0,0.0,21.0,4600.0,15.0,29.0,68.0,59.0,12.0,6.0,13.0,33.0,14.0,10.0,19664.0,4.0,3.0,19.0,16.0,8.0,249.0,7.0,814.0,9.0,30.0,202.0,335.0,61.0
3999,3.0,8.0,26.0,0.0,11.0,612.0,13.0,7.0,235.0,36.0,365.0,33.0,366.0,34.0,60.0,43.0,6544.0,4.0,29.0,27.0,53.0,175.0,533.0,6.0,2289.0,24.0,22.0,16.0,1025.0,86.0
4048,15.0,12.0,5.0,14.0,7.0,832.0,24.0,9.0,145.0,55.0,30.0,22.0,31.0,45.0,2.0,26.0,11660.0,56.0,3.0,47.0,44.0,28.0,484.0,4.0,51.0,27.0,46.0,52.0,1598.0,75.0
4097,3.0,102.0,9.0,11.0,23.0,19244.0,26.0,7.0,40.0,1.0,68.0,2173.0,69.0,33.0,6.0,37.0,11757.0,2931.0,214.0,20.0,43.0,2.0,49.0,4.0,45.0,52.0,77.0,103.0,565.0,64.0
4146,6.0,13.0,3.0,0.0,1.0,384.0,1968.0,90.0,45.0,309.0,34.0,1204.0,35.0,25.0,50.0,53.0,182.0,2.0,210.0,23.0,19.0,31.0,286.0,47.0,36.0,63.0,26.0,33.0,316.0,12.0
4195,2.0,7.0,3.0,1.0,42.0,272.0,11.0,25.0,23.0,12.0,237.0,50.0,238.0,41.0,71.0,19.0,609.0,47.0,6.0,34.0,37.0,9.0,169.0,0.0,17.0,14.0,26.0,24.0,479.0,97.0
4244,5.0,28.0,15.0,0.0,45.0,460.0,23.0,4.0,30.0,9.0,47.0,11.0,48.0,14.0,17.0,20.0,15724.0,88.0,1.0,95.0,25.0,7.0,67.0,16.0,13.0,38.0,35.0,19.0,417.0,65.0
4293,0.0,41.0,3.0,2.0,25.0,762.0,63.0,18.0,53.0,62.0,9.0,72.0,10.0,66.0,28.0,42.0,596.0,37.0,4.0,23.0,17.0,1.0,164.0,50.0,7.0,45.0,46.0,11.0,440.0,84.0
4342,5.0,4.0,2.0,0.0,14.0,241.0,27.0,3.0,80.0,258.0,26.0,24.0,25.0,6.0,42.0,11.0,313.0,99.0,1.0,7.0,35.0,10.0,63.0,9.0,23.0,15.0,86.0,103.0,260.0,125.0
4391,51.0,0.0,17.0,2.0,27.0,554.0,9.0,16.0,23.0,47.0,13.0,29.0,14.0,2503.0,1.0,39.0,14982.0,173.0,4.0,36.0,28.0,8.0,236.0,19.0,43.0,21.0,110.0,6.0,996.0,65.0
4440,2.0,5.0,3.0,424.0,37.0,93.0,22.0,1.0,4.0,832.0,34.0,56.0,35.0,24.0,10.0,138.0,55.0,13.0,154.0,7.0,6.0,33.0,8.0,74.0,12.0,1188.0,171.0,9.0,16.0,112.0
4489,13.0,3.0,6.0,109.0,1358.0,2.0,20.0,26.0,23.0,590.0,86.0,4.0,87.0,12.0,0.0,14.0,18.0,176.0,10.0,29.0,123.0,15.0,11.0,90.0,5.0,28.0,1089.0,40.0,52.0,35.0
4538,4.0,8.0,1.0,699.0,79.0,6.0,0.0,14.0,448.0,163.0,20.0,188.0,19.0,3.0,36.0,5.0,28.0,254.0,33.0,53.0,45.0,68.0,1717.0,17.0,23.0,102.0,96.0,46.0,712.0,82.0
4587,0.0,10.0,4.0,240.0,26.0,1.0,3.0,5.0,27.0,207.0,275.0,164.0,276.0,21.0,22.0,29.0,674.0,38.0,376.0,2.0,24.0,68.0,8.0,11.0,6.0,33.0,161.0,25.0,238.0,145.0
4636,12.0,0.0,7.0,422.0,668.0,8.0,3.0,21.0,4.0,1282.0,316.0,69.0,315.0,47.0,11.0,5.0,2.0,1.0,181.0,6.0,16.0,59.0,17.0,27.0,10.0,179.0,38.0,14.0,31.0,71.0
4685,18.0,0.0,3.0,144.0,34.0,1.0,62.0,122.0,27.0,123.0,636.0,443.0,637.0,92.0,2.0,15.0,8.0,23.0,1862.0,25.0,40.0,95.0,4.0,125.0,82.0,61.0,130.0,47.0,50.0,41.0
4734,17.0,0.0,2.0,256.0,23.0,3.0,6.0,20.0,13.0,1101.0,164.0,1.0,165.0,15.0,16.0,7.0,8.0,286.0,25.0,12.0,35.0,36.0,9.0,27.0,210.0,49.0,370.0,34.0,42.0,44.0
4783,7.0,1.0,18.0,126.0,9.0,0.0,16.0,8.0,17.0,3174.0,25.0,15.0,26.0,5.0,2.0,3.0,11.0,22.0,38.0,73.0,28.0,97.0,37.0,585.0,27.0,1138.0,139.0,6.0,34.0,21.0
4832,0.0,2.0,4.0,329.0,5.0,1.0,21.0,15.0,10.0,82.0,28.0,76.0,29.0,1582.0,19.0,6.0,14.0,7.0,160.0,12.0,32.0,114.0,23.0,308.0,41.0,102.0,219.0,937.0,59.0,11.0
4881,0.0,3.0,2.0,70.0,47.0,1.0,6.0,8.0,9.0,127.0,32.0,30.0,31.0,80.0,4.0,11.0,21.0,22.0,52.0,27.0,48.0,128.0,14.0,23.0,10.0,98.0,190.0,18.0,242.0,28.0
