,NRAS_MUT,BRAF_MUT,KRAS_MUT,XKR6_AMP,BRAF.V600E_MUT,ANKS1B_DEL,PCDH15_MUT,CDC73_AMP,DCC_DEL,DMBT1_DEL,NSFP1_AMP,KRAS.G12_13_MUT,KANK1_AMP,OR2T11_AMP,OR2T29_AMP,IMMP2L_DEL,NSF_AMP,HLA-H_DEL,MIR548AI_DEL,PDE4DIP_AMP,OR4N4_DEL,LOC728875_DEL,MLL_MUT,SORD_AMP,SLC7A5P2_DEL,SMARCA2_DEL,FRMPD2P1_AMP,MTAP_DEL,OR2T10_AMP,EYA1_DEL
1699,0.0,3.0,5.0,14633.0,48.0,80.0,52.0,43.0,61.0,117.0,143.0,79.0,46.0,194.0,92.0,142.0,60.0,83.0,81.0,40.0,19.0,7459.0,4.0,127.0,36.0,121.0,152.0,155.0,133.0,125.0
1748,1.0,6.0,15.0,18.0,13.0,63.0,45.0,23178.0,5575.0,68.0,54.0,24134.0,166.0,154.0,80.0,120.0,22107.0,77.0,150.0,61.0,171.0,91.0,16043.0,135.0,81.0,108.0,122.0,71.0,47.0,5791.0
1797,3.0,11.0,12.0,6.0,20129.0,65.0,16531.0,36.0,17.0,55.0,163.0,84.0,105.0,147.0,124.0,8581.0,60.0,83.0,155.0,66.0,112.0,101.0,7.0,121.0,49.0,11012.0,131.0,90.0,40.0,25.0
1846,1.0,2.0,8.0,11.0,9.0,91.0,16530.0,21.0,16.0,47.0,67.0,18.0,89.0,56.0,85.0,80.0,22107.0,68.0,64.0,30.0,27.0,7456.0,7.0,87.0,104.0,143.0,99.0,103.0,55.0,5787.0
1895,0.0,12.0,9.0,8.0,70.0,75.0,50.0,30.0,16.0,124.0,102.0,6.0,101.0,91.0,131.0,8584.0,99.0,122.0,89.0,40.0,119.0,7453.0,28.0,61.0,2918.0,11018.0,92.0,68.0,123.0,58.0
1944,1.0,8.0,4.0,0.0,26.0,85.0,100.0,34.0,35.0,57.0,44.0,22.0,87.0,134.0,62.0,8579.0,47.0,73.0,72.0,146.0,99.0,104.0,16041.0,52.0,108.0,114.0,80.0,70.0,16986.0,53.0
1993,2.0,8.0,5.0,7.0,78.0,11580.0,65.0,48.0,23.0,197.0,46.0,39.0,80.0,63.0,90.0,24.0,29.0,68.0,100.0,18716.0,131.0,81.0,15.0,114.0,45.0,11022.0,86.0,152.0,16972.0,109.0
2042,3.0,5.0,36.0,2.0,39.0,11578.0,16529.0,22.0,48.0,97.0,91.0,8.0,94.0,171.0,67.0,140.0,12.0,68.0,154.0,18847.0,151.0,26.0,16.0,142.0,106.0,14.0,170.0,2009.0,168.0,127.0
2091,0.0,7.0,16.0,14630.0,10.0,106.0,16531.0,23149.0,5581.0,61.0,54.0,24134.0,59.0,71.0,43.0,130.0,15.0,94.0,38.0,23.0,18.0,39.0,15996.0,108.0,2913.0,103.0,171.0,68.0,131.0,5786.0
2140,4.0,8.0,10.0,1.0,62.0,154.0,91.0,30.0,31.0,55.0,51.0,57.0,84.0,190.0,66.0,97.0,13.0,90.0,71.0,114.0,82.0,40.0,83.0,120.0,89.0,11024.0,74.0,158.0,130.0,19.0
2189,1.0,10.0,40.0,6.0,43.0,11641.0,109.0,23173.0,15.0,80.0,91.0,13.0,67.0,33.0,60.0,117.0,46.0,76.0,86.0,14.0,47.0,106.0,110.0,142.0,73.0,129.0,100.0,2074.0,157.0,154.0
2238,0.0,10.0,5.0,3.0,39.0,118.0,48.0,43.0,111.0,50.0,95.0,57.0,82.0,194.0,85.0,47.0,54.0,119.0,94.0,134.0,1275.0,92.0,6.0,77.0,140.0,11018.0,109.0,86.0,135.0,79.0
2287,2.0,7.0,5.0,9.0,20113.0,66.0,32.0,53.0,5563.0,138.0,49.0,34.0,124.0,90.0,60.0,132.0,19.0,88.0,55.0,81.0,36.0,42.0,37.0,136.0,71.0,104.0,152.0,106.0,75.0,5778.0
2336,1.0,3.0,10.0,9.0,41.0,46.0,16525.0,30.0,36.0,59.0,38.0,28.0,60.0,99.0,86.0,35.0,22104.0,67.0,90.0,18842.0,54.0,115.0,11.0,114.0,93.0,92.0,127.0,68.0,14.0,42.0
2385,3.0,8.0,16.0,4.0,30.0,75.0,113.0,18.0,5583.0,79.0,73.0,28.0,98.0,29.0,102.0,65.0,22110.0,858.0,66.0,18714.0,31.0,156.0,41.0,90.0,2918.0,11.0,134.0,163.0,184.0,36.0
2434,9.0,11.0,4.0,14625.0,23.0,34.0,54.0,71.0,10.0,25.0,61.0,47.0,31.0,124.0,69.0,84.0,38.0,128.0,98.0,18781.0,78.0,99.0,24.0,112.0,52.0,180.0,110.0,163.0,80.0,53.0
2483,1.0,8.0,12.0,14641.0,28.0,61.0,51.0,56.0,5566.0,43.0,95.0,65.0,58.0,113.0,15106.0,10.0,41.0,75.0,72.0,4.0,97.0,131.0,15992.0,156.0,64.0,124.0,175.0,2064.0,29.0,5781.0
2532,7.0,18.0,19.0,21.0,23.0,56.0,16526.0,48.0,37.0,75.0,57.0,90.0,68.0,60.0,67.0,46.0,43.0,93.0,78.0,18837.0,61.0,7450.0,16006.0,145.0,130.0,87.0,124.0,156.0,63.0,27.0
2581,6.0,14.0,9.0,3.0,15.0,42.0,17.0,23135.0,29.0,31.0,92.0,134.0,83.0,97.0,45.0,70.0,26.0,60.0,82.0,25.0,1262.0,7453.0,16006.0,139.0,89.0,11025.0,133.0,170.0,74.0,108.0
2630,2.0,3.0,9.0,6.0,12.0,63.0,131.0,23173.0,26.0,125.0,42.0,24134.0,72.0,47.0,51.0,31.0,116.0,52.0,100.0,34.0,22.0,7459.0,16009.0,147.0,120.0,11020.0,138.0,115.0,16987.0,5794.0
2679,1.0,6.0,11.0,14636.0,31.0,90.0,26.0,60.0,5568.0,58.0,56.0,24134.0,54.0,68.0,78.0,35.0,74.0,86.0,96.0,15.0,63.0,7455.0,15997.0,119.0,122.0,11016.0,134.0,146.0,129.0,128.0
2728,5.0,10.0,9.0,16.0,38.0,47.0,51.0,22.0,36.0,92.0,67.0,59.0,62.0,56.0,75.0,21.0,22105.0,53.0,111.0,18780.0,1248.0,168.0,15995.0,155.0,2934.0,84.0,182.0,142.0,16991.0,106.0
2777,3.0,15.0,7.0,14.0,44.0,60.0,18.0,70.0,38.0,92.0,47.0,30.0,83.0,82.0,85.0,57.0,22105.0,71.0,58.0,28.0,1267.0,138.0,15978.0,131.0,140.0,63.0,107.0,146.0,56.0,160.0
2826,2.0,7.0,75.0,9.0,20111.0,53.0,16526.0,23176.0,23.0,50.0,22765.0,3.0,57.0,54.0,94.0,38.0,152.0,66.0,63.0,18846.0,28.0,78.0,16007.0,87.0,2928.0,5.0,102.0,1994.0,105.0,80.0
2875,2.0,14.0,15.0,14633.0,13.0,51.0,22.0,110.0,5566.0,53.0,82.0,76.0,75.0,92.0,15108.0,20.0,9.0,64.0,153.0,31.0,78.0,7455.0,16006.0,99.0,141.0,114.0,133.0,100.0,90.0,43.0
2924,7.0,14.0,41.0,14633.0,60.0,38.0,16528.0,23173.0,17.0,125.0,67.0,1.0,36.0,93.0,15106.0,23.0,22100.0,98.0,110.0,6.0,66.0,7452.0,15994.0,152.0,97.0,83.0,131.0,111.0,184.0,48.0
2973,2.0,8.0,5.0,4.0,86.0,39.0,25.0,23176.0,83.0,102.0,103.0,51.0,59.0,55.0,117.0,183.0,22104.0,75.0,80.0,99.0,57.0,131.0,44.0,114.0,66.0,200.0,132.0,2150.0,159.0,16.0
3022,8.0,14.0,10.0,6.0,37.0,78.0,38.0,46.0,33.0,111.0,154.0,25.0,85.0,100.0,15114.0,113.0,162.0,123.0,49.0,75.0,48.0,7457.0,84.0,101.0,91.0,190.0,151.0,157.0,155.0,32.0
3071,2.0,9.0,11.0,10.0,13.0,11579.0,37.0,23180.0,20.0,95.0,66.0,113.0,51.0,67.0,125.0,70.0,22111.0,79.0,72.0,80.0,1255.0,7463.0,15984.0,77.0,41.0,159.0,92.0,193.0,130.0,5800.0
3120,1.0,9.0,4.0,6.0,32.0,11580.0,22.0,31.0,29.0,148.0,84.0,55.0,77.0,101.0,70.0,126.0,22107.0,56.0,113.0,105.0,37.0,7465.0,36.0,152.0,42.0,118.0,71.0,133.0,185.0,147.0
3169,14.0,4.0,1.0,37.0,33.0,11581.0,16538.0,23180.0,26.0,174.0,46.0,59.0,52.0,49.0,39.0,192.0,22111.0,84.0,55.0,40.0,65.0,92.0,8.0,106.0,2948.0,134.0,150.0,110.0,149.0,108.0
3218,3.0,17.0,16.0,2.0,51.0,50.0,80.0,88.0,45.0,114.0,53.0,24134.0,81.0,34.0,77.0,133.0,22096.0,109.0,96.0,59.0,82.0,105.0,15993.0,116.0,92.0,11007.0,122.0,172.0,99.0,5779.0
3267,2.0,37.0,18.0,1.0,3.0,11593.0,43.0,23149.0,76.0,126.0,94.0,27.0,109.0,40.0,161.0,80.0,22104.0,69.0,79.0,55.0,1256.0,7448.0,16009.0,61.0,90.0,165.0,125.0,156.0,128.0,5782.0
3316,1.0,4.0,19.0,3.0,85.0,11581.0,16532.0,23180.0,23.0,135.0,44.0,24134.0,120.0,77.0,80.0,170.0,22111.0,99.0,65.0,43.0,1268.0,6.0,16000.0,79.0,78.0,22.0,69.0,30.0,133.0,5796.0
3365,5.0,10.0,19.0,14637.0,34.0,51.0,40.0,33.0,193.0,150.0,57.0,24134.0,78.0,49.0,118.0,99.0,22113.0,112.0,105.0,59.0,8.0,101.0,61.0,84.0,123.0,69.0,110.0,116.0,143.0,37.0
3414,0.0,14.0,13.0,14643.0,20111.0,30.0,16545.0,23173.0,35.0,40.0,41.0,24134.0,51.0,32.0,48.0,164.0,22107.0,74.0,98.0,50.0,123.0,65.0,25.0,102.0,101.0,64.0,115.0,169.0,90.0,37.0
3463,3.0,9.0,13.0,14635.0,4.0,104.0,30.0,23175.0,5572.0,38.0,33.0,24134.0,62.0,145.0,14.0,31.0,49.0,109.0,114.0,105.0,117.0,162.0,25.0,137.0,55.0,149.0,192.0,88.0,91.0,123.0
3512,3.0,5.0,10.0,14631.0,20108.0,138.0,52.0,23182.0,112.0,58.0,44.0,73.0,83.0,159.0,29.0,18.0,87.0,47.0,76.0,69.0,100.0,86.0,16039.0,109.0,2955.0,11061.0,123.0,2137.0,186.0,90.0
3561,1.0,9.0,13.0,10.0,20129.0,61.0,16531.0,23180.0,161.0,110.0,64.0,24134.0,76.0,16989.0,15113.0,34.0,33.0,63.0,154.0,94.0,1310.0,82.0,97.0,128.0,70.0,65.0,113.0,124.0,129.0,120.0
3610,6.0,10.0,9.0,14633.0,22.0,110.0,80.0,173.0,5571.0,82.0,60.0,125.0,154.0,25.0,58.0,19.0,22107.0,109.0,99.0,59.0,31.0,108.0,16007.0,68.0,52.0,53.0,102.0,152.0,158.0,66.0
3659,1.0,9.0,12.0,13.0,20113.0,35.0,62.0,23149.0,63.0,80.0,98.0,24134.0,61.0,153.0,19.0,96.0,22105.0,52.0,57.0,58.0,34.0,7456.0,88.0,132.0,84.0,86.0,118.0,91.0,176.0,100.0
3708,0.0,11.0,15.0,6.0,22.0,90.0,45.0,41.0,5591.0,83.0,94.0,109.0,116.0,188.0,38.0,19.0,58.0,81.0,103.0,120.0,1236.0,7459.0,2.0,144.0,72.0,146.0,112.0,176.0,139.0,147.0
3757,2.0,10.0,14.0,14626.0,20109.0,68.0,62.0,23118.0,5564.0,5351.0,98.0,91.0,85.0,160.0,25.0,77.0,41.0,107.0,50.0,86.0,1422.0,7443.0,42.0,122.0,56.0,75.0,143.0,1931.0,104.0,5777.0
3806,2.0,8.0,9.0,14623.0,27.0,117.0,16544.0,23116.0,5557.0,150.0,33.0,87.0,74.0,187.0,36.0,6.0,20.0,72.0,67.0,104.0,121.0,50.0,15976.0,53.0,123.0,129.0,115.0,101.0,185.0,35.0
3855,4.0,9.0,8.0,14638.0,20115.0,59.0,73.0,37.0,128.0,80.0,54.0,24134.0,75.0,53.0,49.0,32.0,31.0,55.0,70.0,119.0,34.0,7454.0,27.0,180.0,100.0,76.0,90.0,95.0,111.0,5786.0
3904,4.0,7.0,1.0,14629.0,42.0,93.0,92.0,23182.0,5564.0,68.0,54.0,25.0,107.0,145.0,37.0,10.0,17.0,75.0,72.0,21.0,1260.0,7451.0,16040.0,156.0,90.0,109.0,146.0,97.0,170.0,51.0
3953,3.0,5.0,23.0,14632.0,46.0,90.0,82.0,35.0,101.0,48.0,64.0,30.0,99.0,78.0,57.0,33.0,22.0,40.0,120.0,26.0,1255.0,144.0,15995.0,70.0,2925.0,56.0,112.0,68.0,39.0,58.0
4002,1.0,11.0,23.0,14637.0,19.0,11573.0,139.0,30.0,5570.0,61.0,57.0,24134.0,65.0,73.0,54.0,140.0,18.0,89.0,141.0,18781.0,116.0,80.0,56.0,101.0,118.0,158.0,130.0,143.0,125.0,5785.0
4051,0.0,1.0,16.0,14629.0,20169.0,37.0,112.0,43.0,5589.0,154.0,70.0,28.0,119.0,171.0,56.0,8591.0,77.0,80.0,110.0,84.0,115.0,83.0,16014.0,69.0,2926.0,59.0,149.0,125.0,118.0,117.0
4100,0.0,5.0,15.0,14642.0,85.0,95.0,92.0,13.0,5586.0,65.0,52.0,24134.0,62.0,76.0,69.0,8580.0,24.0,147.0,121.0,82.0,134.0,81.0,16031.0,54.0,98.0,135.0,119.0,160.0,145.0,5778.0
4149,0.0,37.0,9.0,14634.0,1.0,84.0,60.0,23135.0,58.0,41.0,45.0,89.0,27.0,56.0,68.0,13.0,8.0,137.0,80.0,62.0,24.0,69.0,12.0,22886.0,81.0,52.0,159.0,63.0,148.0,5774.0
4198,0.0,2.0,10.0,14649.0,20172.0,57.0,55.0,18.0,51.0,92.0,64.0,24134.0,144.0,98.0,79.0,96.0,22092.0,109.0,69.0,22.0,1238.0,122.0,16039.0,140.0,127.0,67.0,160.0,110.0,112.0,5804.0
4247,0.0,8.0,3.0,7.0,5.0,76.0,16531.0,39.0,5573.0,36.0,104.0,20.0,80.0,139.0,19.0,32.0,89.0,98.0,92.0,54.0,176.0,90.0,16011.0,118.0,148.0,11013.0,154.0,2055.0,144.0,5786.0
4296,0.0,14.0,24.0,14640.0,20144.0,77.0,57.0,7.0,5576.0,115.0,63.0,49.0,87.0,201.0,78.0,184.0,20.0,111.0,67.0,55.0,114.0,101.0,16045.0,161.0,124.0,79.0,154.0,91.0,149.0,5792.0
4345,0.0,2.0,15.0,14639.0,20176.0,73.0,69.0,31.0,5579.0,43.0,36.0,99.0,51.0,85.0,83.0,8583.0,101.0,93.0,124.0,58.0,119.0,96.0,35.0,142.0,2916.0,143.0,163.0,126.0,63.0,5792.0
4394,5.0,9.0,6.0,14640.0,20106.0,50.0,16543.0,42.0,5631.0,25.0,23.0,79.0,13241.0,85.0,27.0,60.0,18.0,107.0,52.0,24.0,91.0,31.0,21.0,103.0,2927.0,61.0,166.0,93.0,77.0,96.0
4443,0.0,7.0,6.0,14629.0,20110.0,54.0,51.0,23121.0,5561.0,67.0,119.0,24134.0,35.0,80.0,15106.0,8.0,22100.0,767.0,74.0,100.0,102.0,7447.0,18.0,86.0,2926.0,11011.0,112.0,48.0,62.0,5775.0
4492,1.0,7.0,8.0,13.0,20115.0,58.0,65.0,23149.0,76.0,73.0,144.0,24134.0,50.0,55.0,140.0,6.0,22100.0,120.0,87.0,18846.0,1265.0,7451.0,15982.0,88.0,2937.0,118.0,119.0,74.0,152.0,110.0
4541,0.0,7.0,11.0,14635.0,36.0,76.0,34.0,23176.0,56.0,31.0,80.0,24134.0,49.0,86.0,50.0,111.0,58.0,96.0,92.0,71.0,1262.0,62.0,15982.0,147.0,100.0,11014.0,127.0,102.0,77.0,59.0
4590,0.0,8.0,4.0,15.0,20110.0,50.0,85.0,32.0,46.0,49.0,103.0,24134.0,60.0,94.0,15105.0,8574.0,22102.0,47.0,76.0,18844.0,101.0,7447.0,15977.0,43.0,95.0,163.0,143.0,112.0,18.0,5772.0
4639,2.0,9.0,11.0,4.0,31.0,33.0,44.0,23120.0,43.0,71.0,111.0,24134.0,46.0,65.0,35.0,83.0,22096.0,760.0,100.0,18837.0,78.0,107.0,15992.0,94.0,69.0,28.0,122.0,126.0,49.0,3.0
4688,0.0,3.0,10.0,13.0,20111.0,58.0,35.0,37.0,54.0,62.0,93.0,24134.0,127.0,164.0,116.0,129.0,22106.0,75.0,100.0,18846.0,1253.0,79.0,16007.0,106.0,97.0,11027.0,55.0,119.0,16988.0,5783.0
4737,0.0,11.0,10.0,14627.0,20110.0,69.0,51.0,23148.0,5562.0,37.0,75.0,24134.0,141.0,152.0,78.0,47.0,67.0,63.0,88.0,121.0,1256.0,21.0,15978.0,128.0,123.0,11009.0,73.0,116.0,90.0,71.0
4786,0.0,9.0,7.0,1.0,32.0,48.0,88.0,23135.0,5624.0,66.0,71.0,24134.0,27.0,57.0,85.0,75.0,83.0,157.0,38.0,18839.0,120.0,111.0,15979.0,76.0,123.0,11011.0,129.0,103.0,17.0,26.0
4835,1.0,4.0,6.0,5.0,20112.0,70.0,53.0,45.0,5567.0,133.0,106.0,24134.0,52.0,65.0,131.0,27.0,22103.0,124.0,82.0,43.0,67.0,20.0,15995.0,66.0,63.0,11013.0,123.0,125.0,19.0,90.0
4884,0.0,10.0,6.0,9.0,20109.0,68.0,43.0,23149.0,87.0,51.0,97.0,24134.0,44.0,53.0,60.0,8576.0,80.0,82.0,72.0,90.0,47.0,81.0,15978.0,121.0,2906.0,105.0,76.0,99.0,163.0,13.0
