,Chk1,p27_pT157,GSK-3-BETA,p21,Rb,PRDX1,HER2_pY1248,p38_pT180_Y182,JNK_pT183_Y185,GAPDH,SETD2,RAD51,p70S6K_pT389,Cyclin_D1,Beclin,Smac,eEF2K,HER2,Bcl-2,SHP-2_pY542,ETS-1,YAP_pS127,Lck,G6PD,Bax,YB-1,Annexin 1,Gab2,p27,Rb_pS807_S811
1030,15.0,0.0,16.0,1.0,2.0,27.0,7.0,26.0,48.0,4.0,13.0,18.0,37.0,8.0,3.0,9.0,45.0,12.0,54.0,6.0,20.0,19.0,17.0,63.0,86.0,23.0,43.0,57.0,36.0,93.0
1079,4.0,0.0,15.0,1.0,16.0,8.0,2.0,5.0,10.0,22.0,27.0,7.0,6.0,13.0,51.0,3.0,14.0,18.0,43.0,61.0,35.0,33.0,64.0,84.0,102.0,47.0,56.0,24.0,57.0,54.0
1128,1.0,0.0,8.0,4.0,15.0,9.0,3.0,5.0,29.0,17.0,30.0,32.0,44.0,51.0,7.0,21.0,14.0,18.0,64.0,46.0,56.0,37.0,11.0,125.0,83.0,28.0,35.0,49.0,13.0,60.0
1177,0.0,4.0,26.0,1.0,10.0,12.0,7.0,3.0,20.0,56.0,6.0,8.0,11.0,2.0,14.0,30.0,24.0,35.0,31.0,17.0,19.0,9.0,29.0,72.0,115.0,42.0,50.0,28.0,41.0,58.0
1226,1.0,0.0,22.0,9.0,5.0,23.0,4.0,2.0,14.0,15.0,18.0,25.0,35.0,6.0,8.0,12.0,38.0,13.0,57.0,49.0,36.0,16.0,30.0,54.0,65.0,11.0,29.0,19.0,31.0,73.0
1275,0.0,1.0,45.0,6.0,9.0,42.0,7.0,5.0,47.0,38.0,18.0,19.0,23.0,2.0,28.0,8.0,11.0,17.0,57.0,16.0,10.0,37.0,49.0,113.0,92.0,27.0,53.0,15.0,21.0,65.0
1324,0.0,4.0,69.0,2.0,12.0,23.0,13.0,51.0,45.0,34.0,16.0,6.0,10.0,15.0,1.0,8.0,20.0,37.0,77.0,49.0,14.0,25.0,3.0,96.0,123.0,46.0,21.0,28.0,17.0,52.0
1373,9.0,2.0,4.0,1.0,3.0,7.0,15.0,17.0,43.0,29.0,16.0,27.0,55.0,19.0,14.0,5.0,24.0,10.0,36.0,28.0,11.0,52.0,18.0,62.0,122.0,8.0,22.0,20.0,54.0,31.0
1422,2.0,1.0,25.0,0.0,3.0,41.0,5.0,9.0,15.0,34.0,35.0,7.0,65.0,4.0,13.0,10.0,29.0,18.0,70.0,52.0,38.0,37.0,42.0,98.0,50.0,53.0,47.0,16.0,14.0,22.0
1471,0.0,18.0,6.0,9.0,1.0,7.0,16.0,4.0,23.0,11.0,49.0,30.0,63.0,3.0,42.0,24.0,14.0,26.0,13.0,8.0,15.0,22.0,39.0,10.0,44.0,19.0,20.0,40.0,5.0,45.0
1520,0.0,6.0,9.0,28.0,2.0,1.0,23.0,20.0,24.0,37.0,43.0,16.0,36.0,15.0,7.0,18.0,21.0,13.0,29.0,101.0,3.0,14.0,12.0,57.0,17.0,42.0,44.0,41.0,8.0,25.0
1569,0.0,16.0,7.0,10.0,3.0,9.0,20.0,6.0,13.0,15.0,42.0,22.0,34.0,4.0,37.0,5.0,12.0,8.0,24.0,33.0,38.0,1.0,18.0,14.0,29.0,65.0,32.0,67.0,11.0,53.0
1618,0.0,3.0,5.0,6.0,1.0,25.0,41.0,11.0,23.0,13.0,34.0,4.0,63.0,2.0,21.0,10.0,19.0,24.0,12.0,32.0,38.0,7.0,14.0,33.0,46.0,50.0,26.0,55.0,8.0,31.0
1667,1.0,0.0,3.0,24.0,4.0,23.0,32.0,9.0,6.0,8.0,33.0,12.0,25.0,2.0,29.0,30.0,38.0,10.0,19.0,21.0,37.0,28.0,17.0,35.0,16.0,27.0,41.0,20.0,5.0,43.0
1716,0.0,6.0,14.0,7.0,2.0,11.0,16.0,12.0,5.0,13.0,1.0,22.0,30.0,17.0,9.0,36.0,24.0,8.0,44.0,98.0,31.0,3.0,4.0,33.0,51.0,72.0,94.0,45.0,26.0,18.0
1765,0.0,1.0,4.0,8.0,2.0,29.0,14.0,7.0,11.0,26.0,25.0,23.0,28.0,5.0,44.0,20.0,19.0,17.0,21.0,36.0,39.0,15.0,31.0,10.0,22.0,12.0,34.0,13.0,3.0,6.0
1814,4.0,3.0,8.0,0.0,5.0,6.0,24.0,1.0,23.0,7.0,62.0,26.0,45.0,11.0,10.0,22.0,9.0,16.0,15.0,18.0,28.0,2.0,27.0,12.0,29.0,35.0,36.0,44.0,14.0,42.0
1863,0.0,14.0,9.0,1.0,2.0,6.0,23.0,3.0,7.0,10.0,46.0,12.0,89.0,4.0,60.0,40.0,31.0,25.0,63.0,44.0,18.0,5.0,17.0,16.0,57.0,83.0,37.0,20.0,41.0,22.0
1912,0.0,16.0,2.0,38.0,7.0,1.0,14.0,6.0,17.0,5.0,29.0,21.0,27.0,13.0,19.0,30.0,12.0,11.0,8.0,32.0,54.0,10.0,18.0,25.0,20.0,56.0,47.0,41.0,3.0,36.0
1961,1.0,2.0,0.0,7.0,11.0,5.0,19.0,6.0,8.0,9.0,52.0,35.0,25.0,60.0,39.0,17.0,44.0,15.0,30.0,28.0,46.0,10.0,20.0,41.0,38.0,4.0,12.0,13.0,3.0,57.0
2010,2.0,3.0,0.0,7.0,8.0,5.0,22.0,10.0,59.0,6.0,11.0,12.0,55.0,35.0,77.0,49.0,27.0,26.0,46.0,43.0,20.0,41.0,4.0,9.0,30.0,29.0,1.0,34.0,63.0,64.0
2059,1.0,2.0,0.0,3.0,4.0,15.0,14.0,61.0,16.0,18.0,28.0,20.0,32.0,40.0,27.0,5.0,36.0,12.0,47.0,17.0,10.0,50.0,29.0,45.0,59.0,52.0,7.0,53.0,44.0,76.0
2108,0.0,6.0,1.0,7.0,2.0,44.0,5.0,43.0,9.0,4.0,10.0,22.0,12.0,42.0,8.0,55.0,31.0,14.0,66.0,23.0,40.0,19.0,20.0,16.0,24.0,11.0,53.0,34.0,48.0,38.0
2157,1.0,2.0,0.0,7.0,14.0,28.0,6.0,26.0,15.0,9.0,8.0,22.0,33.0,30.0,52.0,13.0,19.0,10.0,24.0,11.0,3.0,44.0,71.0,5.0,29.0,4.0,21.0,35.0,65.0,79.0
2206,0.0,2.0,1.0,12.0,4.0,19.0,6.0,9.0,47.0,7.0,17.0,15.0,44.0,23.0,39.0,13.0,61.0,22.0,57.0,53.0,66.0,20.0,10.0,60.0,67.0,43.0,3.0,26.0,31.0,40.0
2255,3.0,15.0,0.0,13.0,10.0,12.0,14.0,7.0,36.0,2.0,20.0,42.0,24.0,39.0,18.0,5.0,41.0,6.0,37.0,35.0,30.0,29.0,9.0,47.0,26.0,28.0,1.0,58.0,38.0,76.0
2304,0.0,2.0,1.0,5.0,10.0,8.0,42.0,13.0,12.0,3.0,17.0,33.0,41.0,28.0,16.0,9.0,18.0,24.0,64.0,14.0,31.0,15.0,7.0,11.0,25.0,71.0,4.0,39.0,38.0,34.0
2353,1.0,7.0,2.0,8.0,6.0,0.0,33.0,13.0,43.0,4.0,34.0,17.0,21.0,38.0,29.0,24.0,14.0,23.0,73.0,134.0,41.0,5.0,40.0,27.0,32.0,36.0,9.0,28.0,70.0,48.0
2402,0.0,3.0,6.0,5.0,18.0,37.0,11.0,10.0,23.0,30.0,14.0,7.0,31.0,42.0,15.0,25.0,52.0,77.0,47.0,1.0,33.0,19.0,51.0,8.0,26.0,12.0,2.0,4.0,36.0,39.0
2451,0.0,1.0,17.0,3.0,14.0,60.0,43.0,16.0,8.0,28.0,87.0,6.0,15.0,27.0,4.0,29.0,5.0,44.0,22.0,40.0,66.0,13.0,68.0,10.0,42.0,33.0,48.0,9.0,50.0,2.0
2500,1.0,4.0,6.0,2.0,45.0,7.0,18.0,3.0,32.0,5.0,27.0,13.0,25.0,78.0,0.0,26.0,12.0,35.0,43.0,38.0,16.0,42.0,15.0,61.0,55.0,11.0,46.0,10.0,37.0,47.0
2549,0.0,3.0,8.0,2.0,4.0,6.0,22.0,12.0,20.0,5.0,46.0,7.0,15.0,31.0,1.0,43.0,17.0,57.0,21.0,39.0,32.0,11.0,24.0,26.0,51.0,33.0,40.0,47.0,19.0,16.0
2598,0.0,2.0,1.0,7.0,41.0,13.0,20.0,11.0,6.0,9.0,42.0,30.0,19.0,69.0,3.0,16.0,23.0,66.0,24.0,26.0,47.0,10.0,28.0,5.0,18.0,32.0,14.0,22.0,48.0,4.0
2647,5.0,12.0,9.0,0.0,7.0,14.0,19.0,1.0,13.0,33.0,63.0,8.0,43.0,53.0,2.0,68.0,31.0,67.0,30.0,4.0,29.0,38.0,21.0,57.0,11.0,52.0,32.0,10.0,23.0,24.0
2696,0.0,1.0,6.0,5.0,30.0,3.0,54.0,2.0,26.0,7.0,17.0,12.0,10.0,53.0,15.0,34.0,27.0,21.0,16.0,50.0,42.0,13.0,8.0,19.0,25.0,4.0,32.0,38.0,46.0,59.0
2745,10.0,0.0,6.0,2.0,17.0,5.0,23.0,3.0,41.0,1.0,30.0,16.0,21.0,50.0,4.0,89.0,13.0,57.0,12.0,33.0,46.0,8.0,11.0,7.0,28.0,9.0,48.0,14.0,83.0,26.0
2794,2.0,5.0,0.0,6.0,8.0,14.0,12.0,1.0,9.0,3.0,36.0,30.0,13.0,41.0,4.0,40.0,20.0,55.0,49.0,82.0,23.0,50.0,18.0,15.0,39.0,7.0,25.0,16.0,11.0,34.0
2843,7.0,0.0,11.0,2.0,41.0,1.0,15.0,14.0,29.0,8.0,63.0,22.0,17.0,9.0,3.0,51.0,13.0,28.0,78.0,24.0,26.0,19.0,21.0,20.0,31.0,48.0,64.0,4.0,47.0,25.0
2892,5.0,16.0,4.0,2.0,17.0,18.0,14.0,15.0,26.0,19.0,6.0,9.0,10.0,28.0,0.0,51.0,1.0,13.0,29.0,99.0,8.0,61.0,25.0,3.0,60.0,35.0,65.0,22.0,49.0,41.0
2941,0.0,3.0,1.0,2.0,57.0,13.0,7.0,19.0,10.0,5.0,34.0,36.0,41.0,20.0,9.0,38.0,14.0,11.0,15.0,32.0,59.0,56.0,28.0,23.0,45.0,8.0,24.0,18.0,21.0,4.0
2990,0.0,1.0,5.0,3.0,9.0,11.0,4.0,35.0,8.0,30.0,14.0,39.0,2.0,23.0,58.0,27.0,10.0,6.0,24.0,19.0,32.0,65.0,46.0,53.0,15.0,20.0,55.0,47.0,22.0,12.0
3039,3.0,0.0,25.0,1.0,8.0,5.0,19.0,60.0,4.0,57.0,15.0,43.0,11.0,47.0,7.0,20.0,10.0,2.0,50.0,28.0,37.0,110.0,23.0,21.0,30.0,44.0,27.0,34.0,59.0,9.0
3088,1.0,0.0,4.0,3.0,13.0,7.0,43.0,6.0,21.0,35.0,51.0,42.0,12.0,28.0,29.0,22.0,18.0,24.0,2.0,23.0,46.0,26.0,27.0,39.0,11.0,8.0,60.0,17.0,16.0,5.0
3137,0.0,3.0,1.0,33.0,12.0,13.0,4.0,6.0,2.0,22.0,10.0,21.0,11.0,25.0,34.0,5.0,23.0,8.0,19.0,40.0,17.0,20.0,30.0,7.0,32.0,9.0,51.0,65.0,15.0,31.0
3186,5.0,0.0,2.0,10.0,9.0,6.0,27.0,35.0,3.0,25.0,14.0,32.0,23.0,11.0,21.0,22.0,7.0,8.0,15.0,1.0,56.0,42.0,13.0,18.0,24.0,4.0,39.0,54.0,20.0,36.0
3235,4.0,3.0,0.0,1.0,8.0,57.0,33.0,51.0,19.0,53.0,37.0,21.0,10.0,29.0,18.0,2.0,6.0,34.0,11.0,7.0,20.0,100.0,35.0,24.0,16.0,5.0,28.0,52.0,44.0,14.0
3284,0.0,1.0,21.0,24.0,19.0,9.0,5.0,49.0,15.0,68.0,18.0,35.0,2.0,6.0,40.0,30.0,17.0,37.0,54.0,10.0,38.0,92.0,22.0,61.0,27.0,62.0,58.0,11.0,8.0,14.0
3333,3.0,15.0,4.0,1.0,19.0,12.0,13.0,28.0,46.0,24.0,14.0,18.0,9.0,0.0,33.0,16.0,5.0,40.0,21.0,30.0,7.0,77.0,36.0,31.0,83.0,2.0,26.0,11.0,22.0,17.0
3382,0.0,2.0,8.0,5.0,16.0,21.0,19.0,38.0,40.0,49.0,11.0,7.0,3.0,25.0,36.0,20.0,1.0,46.0,17.0,29.0,6.0,39.0,14.0,9.0,35.0,22.0,28.0,44.0,27.0,32.0
3431,0.0,19.0,6.0,2.0,1.0,5.0,12.0,20.0,10.0,14.0,22.0,13.0,8.0,36.0,72.0,11.0,7.0,27.0,54.0,35.0,26.0,9.0,30.0,34.0,18.0,32.0,15.0,69.0,23.0,21.0
3480,0.0,7.0,1.0,5.0,2.0,28.0,10.0,16.0,32.0,15.0,30.0,4.0,17.0,27.0,93.0,9.0,33.0,50.0,37.0,59.0,21.0,13.0,42.0,6.0,20.0,43.0,3.0,12.0,60.0,11.0
3529,0.0,2.0,4.0,3.0,6.0,17.0,24.0,7.0,13.0,9.0,23.0,14.0,30.0,18.0,105.0,32.0,42.0,34.0,64.0,61.0,36.0,15.0,57.0,40.0,11.0,29.0,47.0,5.0,25.0,19.0
3578,24.0,6.0,1.0,0.0,5.0,47.0,15.0,35.0,8.0,2.0,40.0,10.0,44.0,32.0,59.0,4.0,36.0,55.0,28.0,26.0,33.0,23.0,68.0,37.0,29.0,53.0,3.0,48.0,43.0,16.0
3627,0.0,10.0,3.0,7.0,1.0,22.0,19.0,25.0,32.0,15.0,42.0,6.0,43.0,34.0,87.0,11.0,45.0,63.0,37.0,62.0,18.0,5.0,41.0,20.0,23.0,64.0,9.0,8.0,21.0,13.0
3676,1.0,4.0,3.0,0.0,2.0,18.0,19.0,20.0,13.0,23.0,17.0,5.0,8.0,44.0,61.0,10.0,29.0,67.0,27.0,53.0,21.0,14.0,51.0,26.0,34.0,56.0,16.0,36.0,24.0,33.0
3725,4.0,2.0,1.0,3.0,0.0,59.0,26.0,33.0,40.0,11.0,21.0,19.0,7.0,47.0,55.0,20.0,39.0,52.0,6.0,8.0,10.0,22.0,67.0,13.0,37.0,15.0,9.0,45.0,38.0,46.0
3774,0.0,1.0,16.0,4.0,6.0,17.0,22.0,14.0,18.0,24.0,12.0,8.0,23.0,61.0,56.0,27.0,52.0,80.0,33.0,2.0,9.0,43.0,71.0,21.0,20.0,76.0,3.0,13.0,10.0,38.0
3823,11.0,7.0,6.0,3.0,1.0,4.0,5.0,26.0,14.0,35.0,31.0,16.0,2.0,51.0,48.0,22.0,45.0,69.0,10.0,57.0,19.0,56.0,91.0,29.0,46.0,21.0,20.0,37.0,27.0,24.0
3872,0.0,5.0,3.0,2.0,1.0,24.0,14.0,12.0,27.0,30.0,28.0,7.0,16.0,25.0,98.0,8.0,57.0,62.0,23.0,54.0,4.0,9.0,63.0,6.0,33.0,31.0,10.0,45.0,21.0,22.0
3921,0.0,18.0,15.0,7.0,5.0,11.0,13.0,22.0,25.0,6.0,8.0,4.0,3.0,16.0,45.0,19.0,49.0,44.0,30.0,1.0,17.0,24.0,12.0,47.0,23.0,104.0,20.0,52.0,50.0,46.0
3970,0.0,10.0,23.0,3.0,4.0,15.0,27.0,11.0,6.0,30.0,16.0,25.0,1.0,8.0,12.0,21.0,20.0,44.0,7.0,2.0,9.0,41.0,32.0,63.0,75.0,13.0,31.0,48.0,49.0,51.0
4019,1.0,15.0,19.0,5.0,14.0,3.0,16.0,25.0,6.0,7.0,34.0,36.0,0.0,48.0,24.0,10.0,42.0,17.0,20.0,8.0,22.0,62.0,13.0,23.0,49.0,81.0,11.0,40.0,4.0,30.0
4068,0.0,31.0,25.0,37.0,22.0,5.0,12.0,6.0,3.0,26.0,11.0,50.0,1.0,47.0,2.0,24.0,38.0,8.0,44.0,4.0,7.0,36.0,20.0,87.0,49.0,70.0,14.0,40.0,23.0,48.0
4117,7.0,31.0,16.0,20.0,3.0,1.0,11.0,8.0,4.0,42.0,9.0,5.0,2.0,15.0,0.0,12.0,23.0,25.0,14.0,32.0,54.0,21.0,18.0,48.0,35.0,58.0,36.0,97.0,43.0,88.0
4166,0.0,6.0,5.0,11.0,70.0,48.0,19.0,25.0,8.0,16.0,50.0,13.0,3.0,1.0,15.0,34.0,12.0,2.0,24.0,32.0,31.0,7.0,20.0,68.0,9.0,33.0,55.0,54.0,23.0,14.0
4215,1.0,16.0,13.0,15.0,36.0,2.0,34.0,59.0,28.0,11.0,18.0,41.0,0.0,22.0,5.0,4.0,3.0,17.0,19.0,7.0,8.0,43.0,35.0,57.0,31.0,37.0,33.0,74.0,53.0,67.0
4264,1.0,28.0,8.0,11.0,9.0,7.0,46.0,12.0,10.0,4.0,5.0,38.0,0.0,50.0,33.0,17.0,21.0,14.0,6.0,23.0,3.0,20.0,2.0,32.0,30.0,60.0,41.0,51.0,29.0,45.0
4313,0.0,17.0,6.0,11.0,2.0,8.0,14.0,66.0,28.0,13.0,27.0,12.0,1.0,16.0,4.0,44.0,15.0,20.0,7.0,3.0,30.0,9.0,32.0,47.0,36.0,35.0,26.0,92.0,34.0,5.0
4362,0.0,12.0,16.0,1.0,33.0,2.0,4.0,5.0,7.0,37.0,6.0,24.0,42.0,14.0,3.0,17.0,53.0,11.0,8.0,10.0,27.0,9.0,30.0,43.0,52.0,85.0,38.0,31.0,19.0,64.0
4411,1.0,4.0,18.0,5.0,36.0,2.0,0.0,6.0,27.0,50.0,9.0,20.0,14.0,45.0,48.0,56.0,57.0,12.0,28.0,13.0,8.0,75.0,41.0,77.0,7.0,22.0,35.0,3.0,11.0,82.0
4460,21.0,0.0,12.0,4.0,1.0,2.0,20.0,17.0,6.0,18.0,10.0,22.0,3.0,37.0,7.0,33.0,39.0,34.0,11.0,19.0,48.0,51.0,9.0,115.0,13.0,15.0,14.0,35.0,63.0,45.0
4509,2.0,0.0,8.0,47.0,3.0,34.0,10.0,9.0,33.0,72.0,12.0,17.0,18.0,22.0,39.0,38.0,26.0,25.0,7.0,1.0,27.0,56.0,86.0,40.0,6.0,5.0,14.0,31.0,58.0,32.0
4558,3.0,1.0,6.0,10.0,7.0,2.0,8.0,17.0,21.0,26.0,9.0,19.0,34.0,0.0,29.0,30.0,72.0,13.0,31.0,4.0,25.0,49.0,36.0,16.0,5.0,35.0,23.0,12.0,46.0,33.0
4607,5.0,0.0,9.0,1.0,12.0,10.0,2.0,14.0,22.0,19.0,21.0,24.0,17.0,11.0,51.0,23.0,28.0,33.0,15.0,18.0,43.0,29.0,32.0,7.0,3.0,20.0,8.0,6.0,45.0,55.0
4656,5.0,0.0,10.0,7.0,4.0,3.0,2.0,20.0,22.0,14.0,11.0,19.0,27.0,34.0,6.0,16.0,35.0,15.0,24.0,1.0,8.0,64.0,33.0,26.0,13.0,43.0,17.0,39.0,28.0,49.0
4705,2.0,3.0,22.0,17.0,1.0,0.0,8.0,26.0,15.0,37.0,12.0,4.0,9.0,27.0,11.0,43.0,18.0,6.0,46.0,10.0,45.0,65.0,23.0,24.0,32.0,16.0,52.0,39.0,7.0,13.0
4754,2.0,3.0,1.0,42.0,0.0,6.0,7.0,14.0,22.0,61.0,8.0,36.0,60.0,30.0,28.0,44.0,31.0,26.0,27.0,16.0,10.0,78.0,29.0,53.0,4.0,9.0,11.0,13.0,40.0,54.0
4803,0.0,1.0,7.0,11.0,3.0,6.0,5.0,18.0,53.0,25.0,12.0,10.0,35.0,2.0,50.0,19.0,24.0,27.0,29.0,21.0,23.0,42.0,62.0,38.0,16.0,8.0,39.0,4.0,46.0,41.0
4852,2.0,0.0,15.0,13.0,11.0,1.0,3.0,4.0,6.0,5.0,17.0,16.0,88.0,23.0,8.0,26.0,37.0,21.0,54.0,14.0,18.0,34.0,57.0,40.0,7.0,9.0,45.0,20.0,10.0,25.0
