,HLA-DRB6_AMP,KRAS.G12_13_MUT,KIF26B_DEL,MIR4473_DEL,GLI3_MUT,AKAP12_MUT,HLA-DRB1_AMP,FGFR1_DEL,LOC283914_AMP,FBXL7_DEL,LOC146481_AMP,MIR4474_DEL,SLC2A9_DEL,OR2T5_DEL,FAM153A_DEL,ZBTB20_AMP,PLA2G4F_DEL,CSPG4_MUT,NAALADL2_AMP,DENND4C_DEL,TMEM88_DEL,SCYL2_MUT,LOC100130700_AMP,LINGO2_AMP,MYH4_DEL,HLA-DRB5_AMP,MIR3152_DEL,MCM3AP_MUT,ADAMTSL1_DEL,SCO1_DEL
522,31.0,6.0,1.0,15.0,4.0,130.0,43.0,9.0,691.0,10.0,17018.0,21116.0,128.0,313.0,584.0,107.0,18.0,423.0,47.0,19.0,11213.0,16387.0,222.0,554.0,542.0,306.0,18912.0,77.0,330.0,8156.0
571,8.0,0.0,14.0,48.0,3.0,237.0,134.0,6704.0,105.0,2.0,759.0,312.0,72.0,27.0,2050.0,220.0,361.0,16.0,440.0,132.0,42.0,443.0,15824.0,24.0,10955.0,13271.0,594.0,370.0,1796.0,268.0
620,1.0,4.0,16.0,1043.0,8.0,129.0,5.0,12.0,52.0,0.0,31.0,21189.0,48.0,67.0,808.0,1711.0,2.0,170.0,11.0,86.0,9010.0,126.0,10.0,2272.0,10652.0,139.0,1017.0,2055.0,144.0,11923.0
669,0.0,43.0,18.0,78.0,356.0,16644.0,1.0,11.0,13292.0,33.0,896.0,42.0,12255.0,2602.0,2176.0,1779.0,286.0,932.0,162.0,329.0,105.0,937.0,183.0,17693.0,369.0,120.0,18804.0,38.0,8599.0,52.0
718,47.0,357.0,413.0,20718.0,14.0,6.0,9.0,64.0,5.0,3.0,41.0,21170.0,12035.0,17.0,1879.0,12930.0,46.0,1472.0,23.0,10297.0,130.0,22.0,1478.0,0.0,659.0,13147.0,18914.0,344.0,8585.0,11554.0
767,13191.0,2.0,90.0,1.0,4.0,39.0,81.0,19.0,53.0,72.0,62.0,0.0,609.0,111.0,145.0,2270.0,8.0,114.0,89.0,6.0,866.0,70.0,109.0,286.0,673.0,523.0,9.0,25.0,11.0,120.0
816,456.0,2.0,12.0,5.0,1.0,42.0,200.0,26.0,1268.0,70.0,17009.0,112.0,147.0,27.0,2866.0,23.0,6773.0,15.0,49.0,3.0,8461.0,544.0,140.0,114.0,406.0,86.0,4.0,10.0,0.0,206.0
865,8.0,3.0,364.0,0.0,6.0,509.0,13250.0,152.0,438.0,1844.0,440.0,4.0,141.0,1163.0,20.0,12.0,396.0,16479.0,323.0,178.0,8451.0,267.0,296.0,853.0,236.0,1850.0,217.0,233.0,45.0,140.0
914,31.0,16.0,17.0,5.0,16346.0,16651.0,4.0,1.0,411.0,68.0,112.0,32.0,459.0,76.0,1872.0,27.0,35.0,1493.0,129.0,134.0,62.0,16873.0,1997.0,81.0,60.0,26.0,18806.0,203.0,8600.0,509.0
963,33.0,23.0,8.0,50.0,28.0,26.0,11.0,83.0,98.0,0.0,18067.0,105.0,164.0,12.0,2665.0,57.0,42.0,282.0,1.0,20.0,8844.0,91.0,503.0,141.0,3774.0,2144.0,31.0,21061.0,46.0,274.0
1012,39.0,21.0,174.0,73.0,16322.0,1053.0,9.0,6386.0,50.0,0.0,17128.0,21135.0,12.0,142.0,1724.0,128.0,155.0,1245.0,307.0,12221.0,182.0,16860.0,15815.0,1702.0,27.0,15076.0,18905.0,60.0,29.0,19.0
1061,142.0,1268.0,6.0,40.0,16293.0,4.0,13126.0,14.0,17.0,38.0,1.0,2.0,20.0,335.0,244.0,22.0,0.0,26.0,13762.0,9.0,155.0,11.0,8.0,17654.0,16.0,13125.0,80.0,16683.0,185.0,63.0
1110,902.0,0.0,8.0,1.0,16311.0,201.0,234.0,3.0,82.0,9.0,27.0,13.0,22.0,613.0,2312.0,36.0,275.0,200.0,38.0,12462.0,30.0,16848.0,12.0,1107.0,2.0,15059.0,610.0,1255.0,3235.0,10.0
1159,63.0,14.0,3.0,35.0,11878.0,0.0,454.0,49.0,50.0,79.0,355.0,19038.0,768.0,23.0,200.0,25.0,915.0,108.0,1873.0,96.0,70.0,16.0,450.0,688.0,235.0,698.0,5.0,13.0,1.0,24.0
1208,541.0,11.0,16.0,0.0,16324.0,25.0,612.0,118.0,6.0,1.0,36.0,21110.0,86.0,24.0,29.0,109.0,5823.0,179.0,714.0,10323.0,115.0,620.0,51.0,80.0,32.0,15068.0,18.0,301.0,30.0,31.0
1257,47.0,2.0,4.0,40.0,16449.0,7.0,308.0,44.0,0.0,298.0,5.0,17.0,381.0,9.0,11.0,10.0,15.0,39.0,37.0,745.0,257.0,261.0,58.0,324.0,6.0,232.0,34.0,524.0,8603.0,22.0
1306,13151.0,29.0,3.0,1.0,16309.0,5.0,1338.0,17.0,8.0,63.0,17115.0,44.0,123.0,509.0,12.0,25.0,24.0,52.0,527.0,130.0,39.0,30.0,13.0,19.0,141.0,13152.0,31.0,0.0,23.0,109.0
1355,649.0,1.0,338.0,40.0,16567.0,53.0,2353.0,576.0,6.0,1346.0,122.0,21168.0,17.0,14.0,4.0,663.0,16.0,16463.0,862.0,7.0,347.0,217.0,625.0,459.0,58.0,469.0,968.0,21.0,38.0,15.0
1404,13.0,359.0,74.0,2.0,16309.0,833.0,212.0,144.0,70.0,429.0,4.0,147.0,23.0,59.0,122.0,685.0,695.0,17.0,44.0,128.0,230.0,43.0,214.0,1.0,38.0,32.0,226.0,10.0,154.0,179.0
1453,137.0,1761.0,123.0,142.0,16333.0,0.0,22.0,12.0,7.0,6281.0,1.0,141.0,223.0,345.0,43.0,1464.0,3.0,214.0,60.0,420.0,321.0,192.0,2.0,17687.0,26.0,13182.0,18922.0,4.0,3365.0,21.0
1502,31.0,9.0,2.0,59.0,33.0,1.0,220.0,3.0,15.0,6890.0,146.0,46.0,21.0,56.0,2102.0,23.0,4.0,16449.0,183.0,10314.0,67.0,65.0,103.0,255.0,10880.0,13155.0,558.0,8.0,8570.0,279.0
1551,1646.0,51.0,3.0,12.0,63.0,18.0,443.0,45.0,4.0,127.0,2.0,36.0,38.0,105.0,3188.0,1414.0,25.0,17.0,222.0,6.0,126.0,211.0,52.0,199.0,14.0,1372.0,9.0,50.0,72.0,271.0
1600,21.0,3.0,12.0,19.0,40.0,10.0,148.0,6.0,86.0,6654.0,28.0,99.0,57.0,1.0,72.0,193.0,8.0,26.0,54.0,41.0,1546.0,30.0,29.0,17686.0,484.0,43.0,106.0,32.0,258.0,347.0
1649,4.0,685.0,8.0,6.0,141.0,45.0,0.0,9.0,21.0,161.0,36.0,23.0,514.0,80.0,13.0,12980.0,15.0,353.0,28.0,257.0,8481.0,839.0,38.0,69.0,529.0,1.0,63.0,123.0,8631.0,52.0
1698,0.0,5.0,34.0,105.0,3.0,21.0,119.0,23.0,76.0,6450.0,9.0,2221.0,47.0,98.0,579.0,12957.0,11.0,1.0,77.0,91.0,8.0,14.0,168.0,766.0,68.0,165.0,193.0,13.0,7.0,64.0
1747,65.0,142.0,13.0,6.0,61.0,16709.0,443.0,2.0,1.0,473.0,17052.0,78.0,7.0,32.0,6237.0,255.0,8.0,110.0,96.0,330.0,8493.0,44.0,45.0,17691.0,621.0,1335.0,238.0,3.0,2020.0,37.0
1796,342.0,1.0,29.0,28.0,0.0,114.0,1433.0,25.0,19.0,785.0,304.0,23.0,51.0,315.0,56.0,166.0,35.0,197.0,89.0,2.0,266.0,52.0,78.0,142.0,3519.0,14092.0,199.0,8.0,12.0,1962.0
1845,13216.0,1.0,10421.0,131.0,59.0,2.0,2024.0,0.0,8.0,4850.0,6.0,115.0,175.0,4385.0,24.0,1944.0,11.0,29.0,290.0,23.0,698.0,219.0,16.0,30.0,10908.0,197.0,28.0,4.0,79.0,41.0
1894,47.0,20.0,36.0,37.0,33.0,0.0,870.0,29.0,45.0,80.0,41.0,12.0,190.0,60.0,841.0,61.0,3.0,2.0,203.0,10798.0,8903.0,6912.0,123.0,26.0,3789.0,460.0,224.0,42.0,495.0,135.0
1943,1155.0,7.0,4.0,20730.0,13.0,31.0,599.0,3.0,160.0,95.0,182.0,69.0,41.0,16.0,65.0,1.0,392.0,43.0,550.0,412.0,66.0,1122.0,12.0,44.0,10867.0,13138.0,73.0,0.0,8562.0,79.0
1992,151.0,19.0,56.0,29.0,7.0,118.0,687.0,38.0,46.0,432.0,17046.0,107.0,221.0,2531.0,3140.0,22.0,102.0,99.0,259.0,36.0,52.0,0.0,220.0,276.0,21.0,13245.0,23.0,1746.0,214.0,165.0
2041,0.0,402.0,1190.0,1.0,5.0,24.0,9.0,495.0,1376.0,6.0,423.0,15.0,23.0,10972.0,116.0,2.0,67.0,34.0,10.0,102.0,111.0,17.0,1731.0,28.0,52.0,4.0,407.0,31.0,6669.0,26.0
2090,30.0,158.0,14.0,213.0,448.0,0.0,38.0,21.0,50.0,35.0,201.0,107.0,29.0,1049.0,58.0,44.0,241.0,3.0,179.0,36.0,307.0,5.0,129.0,2.0,11230.0,375.0,244.0,20.0,3483.0,8312.0
2139,0.0,1.0,328.0,10.0,2.0,2198.0,7.0,23.0,30.0,44.0,11.0,3.0,12092.0,18.0,1654.0,12978.0,149.0,1126.0,34.0,52.0,8515.0,684.0,85.0,24.0,10873.0,16.0,70.0,215.0,156.0,332.0
2188,31.0,25.0,17.0,6.0,2.0,35.0,4.0,441.0,49.0,153.0,17133.0,24.0,124.0,2389.0,808.0,84.0,6760.0,1437.0,208.0,197.0,9.0,122.0,1329.0,29.0,30.0,12.0,18796.0,366.0,55.0,36.0
2237,2.0,55.0,1.0,16.0,25.0,125.0,23.0,153.0,89.0,6.0,49.0,430.0,33.0,3616.0,171.0,0.0,7.0,705.0,20.0,109.0,551.0,67.0,27.0,29.0,10966.0,85.0,47.0,53.0,69.0,11611.0
2286,4.0,7.0,10223.0,16.0,89.0,26.0,18.0,286.0,584.0,17.0,87.0,43.0,339.0,3761.0,39.0,15.0,5097.0,48.0,245.0,1857.0,444.0,127.0,504.0,121.0,2759.0,310.0,5.0,507.0,562.0,11664.0
2335,2.0,13.0,0.0,32.0,77.0,27.0,21.0,3.0,186.0,219.0,82.0,36.0,116.0,50.0,840.0,10.0,20.0,98.0,406.0,40.0,60.0,362.0,15813.0,29.0,8.0,13203.0,38.0,44.0,952.0,348.0
2384,149.0,1.0,12.0,9.0,10.0,30.0,67.0,20.0,12853.0,5.0,40.0,79.0,141.0,42.0,469.0,51.0,25.0,48.0,36.0,17.0,143.0,21.0,258.0,95.0,571.0,32.0,61.0,205.0,29.0,203.0
2433,1.0,449.0,592.0,22.0,1178.0,7.0,3.0,382.0,40.0,16.0,65.0,537.0,77.0,346.0,88.0,26.0,42.0,16468.0,1243.0,89.0,262.0,52.0,204.0,438.0,35.0,101.0,47.0,196.0,92.0,11552.0
2482,1.0,1430.0,459.0,88.0,8925.0,5.0,0.0,46.0,610.0,19.0,17100.0,19261.0,20.0,621.0,23.0,26.0,24.0,1123.0,22.0,85.0,495.0,10832.0,616.0,144.0,3945.0,2239.0,39.0,18.0,112.0,13033.0
2531,2.0,15.0,18.0,86.0,24.0,39.0,40.0,9.0,757.0,109.0,50.0,21147.0,5.0,3079.0,34.0,12958.0,6.0,114.0,121.0,576.0,74.0,66.0,161.0,1.0,42.0,22.0,146.0,26.0,597.0,11578.0
2580,1.0,34.0,81.0,274.0,22.0,5995.0,0.0,11.0,99.0,486.0,16215.0,1310.0,4.0,323.0,6.0,212.0,20.0,10030.0,136.0,148.0,47.0,700.0,68.0,53.0,54.0,2.0,143.0,40.0,8883.0,219.0
2629,4.0,197.0,260.0,26.0,47.0,622.0,162.0,824.0,65.0,30.0,470.0,150.0,99.0,95.0,163.0,1688.0,6600.0,586.0,92.0,205.0,54.0,823.0,67.0,2.0,214.0,6.0,13.0,442.0,292.0,158.0
2678,0.0,104.0,10461.0,135.0,57.0,78.0,1.0,393.0,12835.0,2.0,17012.0,3.0,10.0,7.0,316.0,640.0,67.0,77.0,412.0,40.0,62.0,142.0,588.0,46.0,9.0,25.0,18807.0,90.0,28.0,170.0
2727,114.0,1950.0,22.0,94.0,345.0,111.0,7.0,212.0,593.0,120.0,17136.0,406.0,1.0,42.0,17.0,1313.0,119.0,69.0,530.0,525.0,14.0,862.0,694.0,11.0,296.0,36.0,18864.0,1179.0,224.0,194.0
2776,0.0,42.0,13.0,66.0,478.0,505.0,11.0,49.0,19.0,1.0,1202.0,4.0,3.0,45.0,31.0,8.0,36.0,53.0,194.0,15.0,133.0,59.0,21865.0,34.0,89.0,111.0,222.0,164.0,178.0,259.0
2825,0.0,2.0,14.0,16.0,7.0,45.0,15.0,8.0,20.0,34.0,10.0,732.0,4.0,229.0,25.0,1.0,129.0,585.0,24.0,5.0,50.0,560.0,139.0,91.0,26.0,13203.0,42.0,1181.0,37.0,218.0
2874,2.0,68.0,5.0,1.0,181.0,16644.0,711.0,696.0,60.0,8.0,376.0,40.0,24.0,132.0,27.0,12959.0,108.0,36.0,80.0,210.0,83.0,42.0,161.0,15.0,56.0,26.0,0.0,53.0,102.0,192.0
2923,1.0,92.0,11.0,20669.0,208.0,1345.0,3.0,24.0,558.0,39.0,234.0,134.0,2.0,48.0,16.0,436.0,51.0,16431.0,35.0,139.0,60.0,1284.0,15724.0,9.0,25.0,69.0,41.0,2051.0,458.0,43.0
2972,0.0,24134.0,502.0,100.0,27.0,68.0,13.0,141.0,65.0,4778.0,19.0,343.0,22.0,51.0,2183.0,1328.0,735.0,4.0,13757.0,237.0,263.0,20.0,151.0,7.0,16.0,2.0,18905.0,5.0,8554.0,194.0
3021,14.0,22.0,11556.0,19307.0,9.0,2947.0,107.0,58.0,35.0,672.0,998.0,183.0,2.0,4765.0,29.0,23.0,201.0,115.0,18388.0,10427.0,6.0,18.0,5462.0,0.0,25.0,4.0,1114.0,2444.0,908.0,158.0
3070,0.0,52.0,145.0,21.0,3.0,121.0,5.0,2.0,45.0,14.0,31.0,548.0,719.0,2748.0,105.0,120.0,42.0,350.0,13832.0,10330.0,107.0,4.0,140.0,7.0,357.0,17.0,699.0,228.0,1688.0,82.0
3119,32.0,2359.0,9.0,17.0,28.0,20.0,179.0,11.0,0.0,8.0,615.0,1331.0,131.0,398.0,220.0,33.0,35.0,10.0,13795.0,11512.0,312.0,127.0,148.0,2.0,243.0,1264.0,18927.0,24.0,610.0,62.0
3168,25.0,61.0,97.0,157.0,17.0,0.0,256.0,1.0,8.0,21.0,12.0,108.0,7.0,5.0,637.0,122.0,15.0,26.0,1854.0,603.0,10.0,47.0,22114.0,6.0,48.0,1563.0,345.0,21253.0,1126.0,237.0
3217,0.0,75.0,6.0,20736.0,56.0,12.0,10.0,1.0,11.0,254.0,15.0,523.0,129.0,28.0,35.0,12922.0,3.0,187.0,13833.0,31.0,89.0,948.0,645.0,176.0,34.0,4.0,249.0,259.0,539.0,352.0
3266,3.0,220.0,13.0,178.0,2.0,45.0,0.0,429.0,150.0,1.0,73.0,113.0,51.0,43.0,600.0,12.0,279.0,713.0,71.0,643.0,17.0,172.0,135.0,34.0,9.0,90.0,19180.0,54.0,1760.0,184.0
3315,2.0,26.0,55.0,35.0,11.0,154.0,3.0,587.0,9.0,1.0,314.0,119.0,187.0,3793.0,348.0,13.0,44.0,25.0,13781.0,825.0,51.0,37.0,34.0,8.0,24.0,6.0,719.0,151.0,70.0,281.0
3364,508.0,1869.0,18.0,1604.0,161.0,443.0,111.0,242.0,5.0,46.0,35.0,283.0,112.0,462.0,12.0,36.0,7.0,47.0,13772.0,252.0,19.0,16859.0,183.0,0.0,263.0,128.0,1267.0,237.0,1873.0,267.0
3413,22.0,140.0,5.0,330.0,399.0,8.0,734.0,36.0,80.0,66.0,17011.0,21108.0,21.0,164.0,2973.0,7.0,176.0,10.0,250.0,772.0,14.0,262.0,539.0,11.0,20.0,172.0,464.0,362.0,2037.0,19.0
3462,19.0,24134.0,10360.0,17.0,8.0,11.0,15045.0,726.0,13283.0,82.0,343.0,56.0,2184.0,223.0,38.0,12888.0,66.0,927.0,502.0,124.0,1.0,5.0,198.0,76.0,4.0,22.0,14.0,138.0,13.0,113.0
3511,2.0,24134.0,125.0,20658.0,604.0,552.0,3.0,149.0,72.0,482.0,278.0,1023.0,39.0,413.0,7.0,2252.0,1721.0,360.0,0.0,718.0,70.0,11.0,47.0,267.0,249.0,201.0,60.0,487.0,326.0,197.0
3560,3.0,24134.0,28.0,415.0,64.0,21.0,1.0,37.0,25.0,57.0,20.0,1635.0,470.0,2.0,72.0,1648.0,5849.0,8.0,13782.0,641.0,6.0,12.0,184.0,17663.0,290.0,2000.0,1209.0,312.0,549.0,196.0
3609,5.0,112.0,12019.0,79.0,9.0,803.0,3.0,528.0,60.0,6604.0,345.0,200.0,46.0,111.0,28.0,12933.0,154.0,16.0,64.0,15.0,1.0,1617.0,38.0,1422.0,1723.0,13158.0,18932.0,20.0,22.0,188.0
3658,8.0,131.0,38.0,20.0,27.0,79.0,12.0,302.0,704.0,6862.0,13.0,435.0,12274.0,82.0,2.0,12939.0,56.0,91.0,83.0,34.0,8429.0,66.0,118.0,17686.0,22.0,37.0,84.0,15.0,94.0,40.0
3707,88.0,909.0,52.0,14.0,9.0,8.0,24.0,29.0,72.0,7179.0,67.0,2.0,23.0,165.0,63.0,12987.0,6116.0,477.0,0.0,84.0,77.0,27.0,205.0,60.0,58.0,248.0,122.0,362.0,17.0,265.0
3756,1633.0,21.0,629.0,420.0,139.0,292.0,9.0,264.0,39.0,6914.0,6.0,413.0,401.0,415.0,70.0,549.0,5851.0,212.0,1.0,10314.0,49.0,62.0,31.0,17662.0,24.0,287.0,526.0,26.0,8603.0,2242.0
3805,0.0,182.0,372.0,6.0,634.0,2211.0,2.0,86.0,1307.0,5.0,1316.0,74.0,96.0,211.0,36.0,1110.0,154.0,14.0,20.0,8.0,3.0,9.0,719.0,130.0,202.0,23.0,18919.0,37.0,44.0,27.0
3854,48.0,1355.0,334.0,75.0,11.0,15.0,2226.0,5.0,14.0,1141.0,23.0,13.0,643.0,19.0,25.0,18440.0,21.0,158.0,31.0,2.0,240.0,10728.0,16.0,15963.0,263.0,260.0,19798.0,1247.0,33.0,35.0
3903,0.0,24134.0,40.0,4.0,10.0,16653.0,268.0,282.0,151.0,667.0,142.0,57.0,7.0,59.0,764.0,1150.0,109.0,921.0,49.0,3.0,62.0,1269.0,73.0,101.0,217.0,63.0,9.0,5.0,42.0,60.0
3952,5.0,20.0,87.0,7.0,491.0,304.0,83.0,281.0,148.0,3.0,69.0,0.0,12013.0,3658.0,32.0,12865.0,473.0,660.0,21.0,1.0,414.0,1478.0,15799.0,38.0,231.0,487.0,18920.0,141.0,198.0,10.0
4001,27.0,1174.0,4.0,3.0,403.0,26.0,2.0,0.0,407.0,6.0,390.0,202.0,408.0,208.0,166.0,250.0,6540.0,397.0,263.0,31.0,471.0,197.0,700.0,630.0,132.0,10.0,18.0,1893.0,8594.0,273.0
4050,2.0,15.0,1.0,82.0,473.0,4.0,0.0,25.0,35.0,4653.0,42.0,90.0,66.0,16.0,587.0,12981.0,6737.0,69.0,18.0,252.0,8497.0,48.0,9.0,68.0,70.0,130.0,7.0,1203.0,151.0,118.0
4099,333.0,11.0,23.0,0.0,611.0,24.0,13201.0,183.0,130.0,3.0,78.0,14.0,12679.0,330.0,64.0,12937.0,451.0,197.0,52.0,2.0,616.0,16903.0,13.0,60.0,153.0,308.0,10.0,1445.0,81.0,11772.0
4148,2183.0,23.0,76.0,1.0,169.0,1146.0,1158.0,6617.0,12819.0,2312.0,17143.0,75.0,1915.0,3050.0,4.0,15.0,114.0,16473.0,3.0,24.0,260.0,241.0,15823.0,68.0,10909.0,261.0,2253.0,366.0,40.0,281.0
4197,0.0,1.0,33.0,43.0,629.0,194.0,7.0,639.0,17.0,21.0,275.0,21169.0,263.0,659.0,200.0,76.0,611.0,68.0,62.0,59.0,7249.0,151.0,104.0,17697.0,490.0,10.0,245.0,953.0,20.0,340.0
4246,6.0,113.0,825.0,2.0,17.0,4.0,8.0,20.0,83.0,39.0,190.0,23.0,166.0,32.0,1.0,34.0,134.0,61.0,192.0,3.0,8565.0,1272.0,0.0,128.0,35.0,7.0,212.0,16728.0,151.0,48.0
4295,20.0,2.0,9.0,11.0,51.0,16.0,159.0,237.0,127.0,161.0,187.0,7.0,219.0,1.0,733.0,28.0,6757.0,44.0,3.0,76.0,609.0,410.0,189.0,1095.0,342.0,4.0,149.0,69.0,276.0,244.0
4344,4.0,786.0,0.0,7.0,16339.0,39.0,347.0,59.0,26.0,5.0,583.0,15.0,118.0,389.0,13.0,44.0,207.0,17.0,13788.0,122.0,239.0,58.0,244.0,17693.0,123.0,46.0,9.0,212.0,567.0,285.0
4393,13.0,172.0,20.0,3.0,1.0,17.0,79.0,22.0,84.0,12.0,9.0,68.0,10523.0,55.0,2298.0,638.0,481.0,9684.0,236.0,10742.0,292.0,161.0,11.0,36.0,45.0,37.0,7.0,15.0,28.0,181.0
4442,5.0,0.0,8.0,75.0,27.0,59.0,171.0,593.0,82.0,4.0,1756.0,19.0,1297.0,2528.0,2297.0,1880.0,126.0,96.0,244.0,10321.0,49.0,1314.0,131.0,754.0,50.0,12.0,18.0,113.0,8625.0,163.0
4491,0.0,8.0,2.0,39.0,9.0,35.0,10.0,100.0,19.0,49.0,1810.0,19262.0,3.0,4460.0,26.0,1.0,107.0,185.0,94.0,179.0,9253.0,45.0,71.0,1886.0,569.0,2426.0,118.0,271.0,146.0,386.0
4540,4.0,191.0,132.0,161.0,16473.0,25.0,363.0,197.0,62.0,33.0,83.0,2.0,7.0,52.0,58.0,1.0,1626.0,164.0,13817.0,126.0,14.0,76.0,112.0,173.0,6.0,634.0,420.0,100.0,57.0,106.0
4589,337.0,1.0,591.0,0.0,35.0,8.0,748.0,109.0,58.0,330.0,122.0,83.0,87.0,95.0,371.0,67.0,7.0,193.0,856.0,345.0,1041.0,191.0,15768.0,54.0,30.0,156.0,356.0,105.0,19.0,142.0
4638,31.0,1.0,36.0,25.0,10.0,2161.0,633.0,97.0,12.0,170.0,67.0,5.0,3.0,16.0,169.0,433.0,27.0,120.0,54.0,66.0,7.0,16839.0,309.0,497.0,142.0,204.0,57.0,618.0,13.0,108.0
4687,500.0,0.0,6.0,21.0,31.0,8.0,30.0,9.0,28.0,23.0,13.0,3.0,22.0,1.0,1742.0,257.0,19.0,16479.0,39.0,86.0,37.0,29.0,102.0,220.0,12.0,20.0,104.0,16943.0,40.0,35.0
4736,14.0,5.0,0.0,76.0,2184.0,563.0,260.0,18.0,447.0,44.0,41.0,613.0,55.0,2.0,602.0,3.0,10.0,9496.0,98.0,901.0,15.0,12915.0,1717.0,17150.0,78.0,153.0,2296.0,4245.0,528.0,70.0
4785,240.0,11.0,36.0,648.0,0.0,7.0,230.0,61.0,19.0,464.0,5.0,42.0,113.0,23.0,95.0,83.0,43.0,34.0,50.0,125.0,369.0,88.0,1.0,60.0,309.0,160.0,1462.0,140.0,491.0,310.0
4834,0.0,3.0,11.0,24.0,18.0,41.0,2.0,7346.0,303.0,160.0,55.0,8.0,11388.0,161.0,40.0,1.0,39.0,12.0,13781.0,755.0,36.0,15.0,120.0,667.0,9.0,1116.0,778.0,7.0,431.0,187.0
4883,13191.0,0.0,163.0,8.0,9.0,16653.0,1123.0,478.0,13022.0,6358.0,17033.0,33.0,679.0,6.0,12.0,146.0,6666.0,13.0,311.0,1569.0,4.0,136.0,325.0,1273.0,115.0,118.0,150.0,476.0,17.0,85.0
