,ZBTB20_AMP,GRAMD1B_DEL,MTOR_MUT,RB1_MUT,ARID1A_MUT,CRTAM_DEL,FAM149A_DEL,MRGPRF_AMP,PIK3R4_MUT,KIR2DS4_DEL,PCDHA1_DEL,IGHMBP2_AMP,DEFB127_DEL,MRGPRD_AMP,PCDHA6_DEL,USP17L2_DEL,PKNOX2_DEL,PCDHA5_DEL,PCDHA7_DEL,NAALADL2_DEL,PCDHA4_DEL,USP17L7_DEL,PCDHA10_DEL,PHF8_DEL,PCDHA2_DEL,ADAM3A_AMP,ETS1_DEL,DEFB130_DEL,ZNF705D_DEL,SGCZ_AMP
1992,4.0,2.0,27.0,17057.0,0.0,8.0,49.0,26.0,18.0,873.0,423.0,16.0,632.0,202.0,3.0,7.0,222.0,103.0,1.0,37.0,76.0,990.0,22.0,205.0,19.0,310.0,6.0,1485.0,71.0,380.0
2041,38.0,26.0,7.0,17027.0,1.0,11.0,22.0,364.0,342.0,610.0,34.0,733.0,4233.0,1368.0,3.0,111.0,11587.0,9.0,8.0,0.0,63.0,6.0,4.0,544.0,31.0,245.0,87.0,135.0,67.0,55.0
2090,1.0,30.0,14.0,285.0,2.0,100.0,20.0,282.0,41.0,515.0,62.0,147.0,1751.0,18475.0,19.0,263.0,79.0,16.0,197.0,6429.0,230.0,5.0,24.0,1119.0,367.0,34.0,8.0,1115.0,192.0,17.0
2139,0.0,20.0,95.0,70.0,7.0,13.0,25.0,51.0,72.0,812.0,5.0,14.0,3066.0,99.0,6.0,4588.0,1090.0,2.0,1.0,19.0,31.0,407.0,3.0,5273.0,4.0,134.0,169.0,6863.0,22.0,17289.0
2188,0.0,5.0,3.0,39.0,1.0,31.0,14.0,79.0,124.0,20.0,69.0,128.0,156.0,2743.0,584.0,15.0,1133.0,10.0,22.0,2957.0,1758.0,774.0,32.0,280.0,38.0,950.0,85.0,2156.0,2656.0,210.0
2237,0.0,10.0,44.0,587.0,16.0,6.0,24.0,171.0,644.0,4.0,62.0,524.0,615.0,101.0,149.0,136.0,54.0,38.0,35.0,92.0,34.0,29.0,40.0,5892.0,202.0,17698.0,37.0,31.0,25.0,610.0
2286,0.0,7.0,1.0,27.0,2.0,24.0,159.0,18431.0,8.0,276.0,61.0,213.0,5290.0,2637.0,20.0,321.0,88.0,3.0,77.0,66.0,19.0,9.0,781.0,191.0,378.0,345.0,4.0,138.0,234.0,241.0
2335,8.0,10.0,20.0,17014.0,5.0,22.0,488.0,92.0,45.0,120.0,3.0,30.0,1063.0,32.0,12.0,135.0,138.0,19.0,11.0,1.0,14.0,249.0,25.0,88.0,16.0,106.0,17.0,819.0,8668.0,86.0
2384,5.0,27.0,17.0,690.0,135.0,16.0,20.0,2829.0,6.0,10.0,25.0,573.0,2320.0,14997.0,11236.0,9.0,2030.0,515.0,24.0,46.0,117.0,2.0,314.0,23.0,297.0,32.0,12.0,182.0,4.0,18079.0
2433,0.0,12.0,84.0,16955.0,991.0,7.0,83.0,10.0,699.0,180.0,20.0,1086.0,4954.0,35.0,33.0,2520.0,134.0,41.0,63.0,2.0,157.0,930.0,31.0,969.0,42.0,814.0,2061.0,254.0,50.0,74.0
2482,0.0,24.0,13.0,10.0,1.0,19.0,78.0,119.0,16494.0,1850.0,61.0,709.0,189.0,76.0,16.0,6.0,306.0,75.0,1430.0,68.0,27.0,4.0,21.0,305.0,676.0,320.0,11.0,2056.0,326.0,2010.0
2531,0.0,27.0,89.0,51.0,2.0,43.0,887.0,21.0,36.0,4655.0,95.0,108.0,99.0,38.0,237.0,700.0,2523.0,298.0,79.0,6760.0,110.0,3197.0,48.0,862.0,12091.0,20.0,914.0,3065.0,2675.0,277.0
2580,0.0,7.0,16682.0,18.0,52.0,14.0,126.0,2322.0,77.0,339.0,130.0,15068.0,90.0,18433.0,927.0,878.0,629.0,244.0,396.0,237.0,12273.0,1148.0,12256.0,6141.0,12274.0,468.0,133.0,401.0,8471.0,334.0
2629,0.0,115.0,16724.0,27.0,48.0,562.0,7233.0,319.0,109.0,34.0,102.0,28.0,7.0,20.0,320.0,32.0,641.0,12.0,3.0,137.0,509.0,291.0,140.0,6839.0,230.0,243.0,673.0,15.0,207.0,25.0
2678,0.0,50.0,64.0,1.0,23.0,113.0,5.0,991.0,744.0,3300.0,18.0,273.0,634.0,989.0,16.0,479.0,133.0,54.0,12.0,28.0,110.0,1757.0,25.0,287.0,221.0,124.0,154.0,241.0,647.0,163.0
2727,0.0,16.0,2875.0,10.0,8.0,24.0,45.0,9.0,8556.0,2273.0,38.0,347.0,836.0,2213.0,650.0,52.0,1500.0,664.0,364.0,34.0,37.0,540.0,926.0,737.0,74.0,7.0,264.0,263.0,2772.0,66.0
2776,0.0,14.0,250.0,6.0,2.0,75.0,438.0,79.0,16528.0,591.0,273.0,101.0,351.0,41.0,157.0,943.0,8.0,185.0,232.0,35.0,136.0,806.0,174.0,1190.0,238.0,17.0,54.0,1822.0,628.0,282.0
2825,1.0,5.0,635.0,3.0,33.0,41.0,209.0,4.0,15.0,887.0,96.0,114.0,4212.0,24.0,136.0,344.0,68.0,49.0,47.0,0.0,12505.0,5029.0,1971.0,658.0,184.0,17674.0,520.0,113.0,192.0,213.0
2874,0.0,21.0,4.0,2.0,6.0,8.0,182.0,24.0,468.0,2719.0,147.0,644.0,9.0,42.0,986.0,41.0,413.0,49.0,214.0,1513.0,151.0,238.0,806.0,34.0,911.0,17654.0,2034.0,897.0,2152.0,17280.0
2923,5.0,8.0,6.0,26.0,23.0,21.0,540.0,45.0,138.0,1117.0,122.0,117.0,70.0,147.0,124.0,780.0,114.0,83.0,65.0,1.0,51.0,855.0,204.0,5962.0,50.0,35.0,247.0,4958.0,8422.0,386.0
2972,1.0,27.0,36.0,0.0,458.0,33.0,6.0,108.0,55.0,61.0,20.0,252.0,18.0,152.0,52.0,3079.0,40.0,42.0,1200.0,48.0,46.0,5061.0,2010.0,4.0,175.0,17762.0,75.0,6054.0,8513.0,238.0
3021,2621.0,1.0,90.0,6.0,60.0,31.0,20.0,15.0,141.0,399.0,79.0,796.0,57.0,30.0,39.0,358.0,21.0,51.0,430.0,232.0,33.0,19.0,201.0,47.0,221.0,29.0,183.0,166.0,34.0,92.0
3070,185.0,51.0,54.0,901.0,40.0,66.0,246.0,115.0,107.0,61.0,180.0,25.0,2953.0,459.0,78.0,4369.0,8373.0,34.0,43.0,9.0,30.0,13.0,118.0,794.0,92.0,546.0,5441.0,6511.0,954.0,202.0
3119,10.0,62.0,61.0,2.0,8.0,130.0,16.0,259.0,22.0,91.0,37.0,14.0,17.0,98.0,187.0,3001.0,562.0,1005.0,772.0,19.0,28.0,341.0,108.0,2046.0,25.0,2285.0,36.0,922.0,9.0,51.0
3168,11.0,0.0,25.0,27.0,23.0,157.0,41.0,931.0,40.0,143.0,1301.0,15293.0,43.0,18397.0,456.0,1729.0,11615.0,670.0,75.0,1696.0,182.0,2685.0,12405.0,33.0,260.0,223.0,248.0,324.0,130.0,17382.0
3217,23.0,29.0,197.0,24.0,41.0,130.0,144.0,149.0,1710.0,11.0,8.0,81.0,314.0,248.0,456.0,382.0,11579.0,51.0,49.0,145.0,309.0,3682.0,215.0,2021.0,12554.0,198.0,418.0,7184.0,8667.0,50.0
3266,8.0,175.0,202.0,76.0,235.0,315.0,48.0,463.0,593.0,44.0,41.0,125.0,136.0,2154.0,2.0,682.0,2946.0,9.0,109.0,317.0,193.0,635.0,57.0,1935.0,12272.0,56.0,1339.0,7197.0,243.0,369.0
3315,189.0,39.0,231.0,66.0,1079.0,137.0,87.0,3.0,106.0,94.0,5.0,64.0,989.0,71.0,0.0,4636.0,55.0,4.0,15.0,222.0,118.0,381.0,11.0,9.0,23.0,17786.0,5072.0,777.0,300.0,17288.0
3364,3.0,16.0,270.0,2.0,9.0,34.0,39.0,94.0,669.0,4.0,355.0,164.0,4729.0,57.0,32.0,561.0,1538.0,141.0,3034.0,236.0,12539.0,97.0,346.0,28.0,84.0,62.0,92.0,43.0,1213.0,33.0
3413,1179.0,66.0,0.0,1.0,503.0,92.0,9.0,18506.0,82.0,28.0,125.0,138.0,213.0,2436.0,182.0,3793.0,144.0,409.0,669.0,525.0,12466.0,4167.0,427.0,248.0,145.0,22.0,158.0,210.0,8654.0,17326.0
3462,0.0,48.0,5.0,98.0,2537.0,26.0,188.0,58.0,282.0,42.0,8.0,15049.0,451.0,719.0,489.0,193.0,122.0,403.0,141.0,37.0,145.0,271.0,35.0,39.0,15.0,3.0,86.0,306.0,76.0,476.0
3511,2.0,237.0,1942.0,114.0,2137.0,265.0,29.0,18490.0,17.0,6.0,91.0,2533.0,93.0,172.0,8751.0,164.0,806.0,8750.0,635.0,1468.0,52.0,8.0,454.0,9.0,118.0,980.0,7283.0,86.0,228.0,17286.0
3560,0.0,131.0,197.0,29.0,10972.0,622.0,72.0,77.0,4.0,2294.0,45.0,178.0,37.0,15408.0,18.0,595.0,32.0,1586.0,11174.0,354.0,16.0,113.0,281.0,3.0,202.0,206.0,5775.0,38.0,6.0,182.0
3609,0.0,88.0,53.0,68.0,4.0,80.0,10.0,74.0,300.0,51.0,3043.0,28.0,98.0,523.0,237.0,711.0,44.0,12267.0,192.0,174.0,12266.0,3300.0,245.0,13.0,747.0,175.0,5.0,7212.0,8463.0,17335.0
3658,1.0,60.0,0.0,870.0,17061.0,785.0,82.0,346.0,708.0,72.0,415.0,921.0,405.0,230.0,54.0,67.0,115.0,172.0,637.0,45.0,162.0,2974.0,1157.0,13.0,88.0,55.0,59.0,298.0,8437.0,193.0
3707,0.0,374.0,106.0,102.0,108.0,127.0,7080.0,19.0,57.0,4596.0,63.0,9.0,123.0,25.0,6.0,65.0,209.0,8.0,60.0,1.0,444.0,12.0,97.0,5.0,51.0,118.0,380.0,45.0,1042.0,1842.0
3756,0.0,832.0,30.0,27.0,112.0,12247.0,572.0,218.0,394.0,75.0,117.0,60.0,12.0,47.0,84.0,338.0,120.0,2.0,1211.0,313.0,274.0,138.0,12208.0,15.0,183.0,870.0,31.0,17.0,2801.0,1227.0
3805,0.0,17.0,31.0,1089.0,17032.0,98.0,297.0,18.0,990.0,88.0,643.0,23.0,27.0,18481.0,25.0,775.0,43.0,53.0,183.0,21.0,106.0,312.0,89.0,9.0,101.0,55.0,636.0,197.0,85.0,1007.0
3854,0.0,9.0,1662.0,6.0,37.0,29.0,20.0,766.0,47.0,50.0,74.0,614.0,149.0,18492.0,95.0,87.0,1671.0,12456.0,99.0,1549.0,88.0,2.0,101.0,12.0,23.0,503.0,337.0,32.0,208.0,279.0
3903,0.0,41.0,881.0,133.0,86.0,1715.0,909.0,337.0,2520.0,13.0,1.0,67.0,21.0,176.0,1316.0,3330.0,183.0,24.0,664.0,879.0,72.0,9.0,79.0,154.0,988.0,506.0,47.0,6033.0,144.0,17412.0
3952,2.0,12.0,135.0,60.0,1.0,9.0,23.0,755.0,16513.0,343.0,994.0,42.0,167.0,1137.0,800.0,13.0,492.0,2866.0,430.0,75.0,12513.0,52.0,8.0,20.0,12515.0,1413.0,64.0,93.0,46.0,17.0
4001,9.0,11.0,36.0,195.0,20.0,6.0,1.0,18434.0,16470.0,362.0,1485.0,15071.0,607.0,297.0,11823.0,3994.0,82.0,11822.0,2004.0,198.0,1201.0,726.0,1670.0,7556.0,2185.0,536.0,5442.0,6572.0,116.0,67.0
4050,25.0,14.0,15.0,7.0,55.0,43.0,7129.0,136.0,16488.0,4028.0,373.0,15098.0,5394.0,297.0,784.0,9.0,21.0,783.0,90.0,131.0,89.0,3.0,12529.0,112.0,159.0,17697.0,2849.0,10.0,324.0,1653.0
4099,6.0,9.0,16743.0,38.0,17095.0,27.0,13.0,18509.0,2085.0,76.0,31.0,15.0,6058.0,71.0,1234.0,51.0,235.0,557.0,75.0,135.0,402.0,57.0,134.0,174.0,168.0,200.0,957.0,399.0,1107.0,113.0
4148,72.0,1.0,2.0,118.0,42.0,9.0,38.0,58.0,768.0,4763.0,142.0,380.0,23.0,39.0,12331.0,4654.0,88.0,12307.0,2182.0,5290.0,851.0,1158.0,12505.0,22.0,12305.0,17685.0,456.0,214.0,54.0,31.0
4197,1.0,363.0,6.0,177.0,4.0,64.0,38.0,18519.0,97.0,71.0,442.0,2880.0,26.0,273.0,465.0,116.0,12.0,166.0,117.0,438.0,12562.0,697.0,192.0,59.0,2233.0,17684.0,400.0,234.0,8725.0,17339.0
4246,8.0,0.0,189.0,21.0,18.0,69.0,395.0,101.0,2540.0,3949.0,459.0,150.0,5377.0,367.0,2839.0,36.0,1909.0,12532.0,12533.0,7284.0,1186.0,115.0,12515.0,73.0,12531.0,52.0,1373.0,149.0,198.0,238.0
4295,3.0,8.0,105.0,16953.0,6.0,41.0,349.0,404.0,75.0,227.0,196.0,405.0,5405.0,40.0,12505.0,4.0,1951.0,674.0,166.0,1816.0,86.0,1.0,271.0,6954.0,12507.0,779.0,49.0,47.0,30.0,45.0
4344,97.0,299.0,66.0,280.0,5.0,9.0,23.0,13.0,1299.0,146.0,120.0,3.0,4754.0,51.0,107.0,14.0,27.0,45.0,605.0,5112.0,372.0,226.0,310.0,1387.0,141.0,315.0,835.0,130.0,31.0,253.0
4393,86.0,14.0,16720.0,127.0,35.0,17.0,795.0,484.0,16502.0,209.0,12517.0,87.0,275.0,20.0,234.0,0.0,19.0,37.0,12526.0,287.0,2233.0,21.0,7.0,6975.0,10.0,102.0,208.0,34.0,46.0,17310.0
4442,1.0,13.0,1772.0,17.0,19.0,5.0,7224.0,10.0,12.0,4482.0,202.0,50.0,8.0,64.0,204.0,568.0,77.0,12491.0,117.0,916.0,92.0,432.0,141.0,944.0,12492.0,0.0,5038.0,413.0,279.0,3.0
4491,0.0,205.0,22.0,27.0,128.0,216.0,19.0,137.0,233.0,4565.0,661.0,9.0,13.0,10.0,77.0,79.0,322.0,12492.0,189.0,4950.0,379.0,373.0,12493.0,78.0,12500.0,3.0,5859.0,132.0,15.0,74.0
4540,0.0,306.0,1.0,92.0,331.0,195.0,13.0,3.0,63.0,3916.0,377.0,9.0,46.0,67.0,168.0,275.0,218.0,32.0,12470.0,181.0,555.0,937.0,664.0,175.0,12469.0,30.0,2802.0,39.0,1475.0,17281.0
4589,68.0,2.0,33.0,91.0,469.0,16.0,5.0,32.0,16435.0,2975.0,690.0,61.0,5234.0,145.0,302.0,29.0,337.0,705.0,151.0,7112.0,309.0,54.0,81.0,47.0,799.0,0.0,5119.0,103.0,37.0,268.0
4638,0.0,24.0,2.0,439.0,683.0,58.0,175.0,52.0,139.0,949.0,12471.0,7.0,69.0,39.0,85.0,143.0,18.0,111.0,12483.0,17.0,178.0,4621.0,109.0,171.0,12472.0,1.0,29.0,198.0,1198.0,48.0
4687,2.0,15.0,12.0,17.0,334.0,18.0,70.0,31.0,27.0,3930.0,66.0,15320.0,43.0,98.0,79.0,49.0,11808.0,6.0,420.0,113.0,183.0,83.0,271.0,223.0,198.0,11.0,9.0,42.0,2695.0,17317.0
4736,0.0,72.0,5.0,17006.0,462.0,99.0,13.0,76.0,250.0,4348.0,4.0,104.0,156.0,74.0,17.0,157.0,376.0,9.0,41.0,7053.0,29.0,139.0,48.0,635.0,251.0,3.0,5225.0,34.0,80.0,6.0
4785,9.0,14.0,28.0,17031.0,17.0,287.0,48.0,11.0,10.0,2180.0,16.0,97.0,72.0,188.0,2.0,99.0,11577.0,220.0,3.0,5.0,75.0,70.0,380.0,84.0,42.0,1.0,19.0,184.0,910.0,6.0
4834,0.0,21.0,163.0,10.0,800.0,3.0,53.0,43.0,15.0,728.0,739.0,47.0,5357.0,52.0,158.0,55.0,26.0,625.0,12505.0,7267.0,823.0,146.0,1119.0,284.0,718.0,2.0,5.0,85.0,80.0,79.0
4883,1.0,264.0,23.0,551.0,17042.0,7.0,5.0,15.0,16475.0,491.0,10.0,0.0,72.0,36.0,17.0,53.0,8462.0,8786.0,29.0,2564.0,130.0,107.0,42.0,20.0,22.0,3.0,7269.0,298.0,9517.0,16.0
