,XXbac-BPG181B23.7,PCDHB6,PCDHB2,MICALL1,VANGL2,PTH2R,IQCA1,RNF208,RIN2,AMOT,GALNT14,S100A2,TEX15,PPP1R14C,HOXA4,UGT2B7,LDOC1,TMEM117,RP11-2B6.3,CTD-2514C3.1,SCD5,HMGA1P4,RP11-609L3.1,AKR1E2,CTB-36O1.3,KCTD21-AS1,PCDHA6,CCND2,PABPC4L,SP140L
1381,1.0,20.0,4.0,294.0,2.0,122.0,0.0,8.0,18.0,103.0,90.0,17.0,81.0,14.0,53.0,30.0,47.0,164.0,3.0,28.0,69.0,13.0,11.0,138.0,49.0,51.0,136.0,59.0,61.0,10.0
1430,2.0,108.0,62.0,124.0,5.0,19.0,16.0,15.0,33.0,250.0,142.0,66.0,28.0,8.0,36.0,22.0,40.0,50.0,3.0,461.0,175.0,9.0,110.0,824.0,159.0,54.0,215.0,116.0,109.0,26.0
1479,2.0,0.0,1.0,8.0,11.0,108.0,141.0,45.0,157.0,74.0,26.0,107.0,33.0,163.0,40.0,93.0,1095.0,48.0,119.0,174.0,37.0,66.0,142.0,19.0,6.0,38.0,20.0,3.0,121.0,28.0
1528,1.0,0.0,21.0,6.0,2.0,46.0,75.0,26.0,158.0,3.0,257.0,22.0,138.0,29.0,388.0,99.0,851.0,4.0,100.0,37.0,50.0,112.0,168.0,40.0,64.0,34.0,48.0,28.0,160.0,43.0
1577,2.0,0.0,5.0,19.0,3.0,71.0,51.0,33.0,297.0,11.0,1.0,70.0,6.0,162.0,43.0,50.0,403.0,9.0,52.0,26.0,101.0,64.0,56.0,84.0,244.0,12.0,8.0,63.0,215.0,28.0
1626,9.0,19.0,33.0,2.0,3.0,7.0,119.0,0.0,197.0,6.0,40.0,440.0,320.0,20.0,45.0,104.0,1478.0,10.0,15.0,36.0,41.0,68.0,187.0,231.0,83.0,188.0,84.0,400.0,193.0,129.0
1675,14.0,0.0,13.0,10.0,7.0,186.0,39.0,97.0,60.0,1.0,34.0,116.0,91.0,29.0,372.0,56.0,245.0,6.0,44.0,25.0,64.0,70.0,46.0,35.0,2.0,52.0,4.0,37.0,108.0,45.0
1724,6.0,0.0,2.0,4.0,1.0,60.0,119.0,69.0,29.0,8.0,17.0,65.0,54.0,1160.0,180.0,23.0,139.0,5.0,50.0,585.0,32.0,102.0,131.0,3.0,153.0,22.0,12.0,21.0,104.0,114.0
1773,3.0,0.0,4.0,9.0,1.0,50.0,93.0,24.0,221.0,2.0,36.0,107.0,1436.0,104.0,75.0,63.0,401.0,6.0,23.0,38.0,15.0,73.0,49.0,25.0,22.0,35.0,8.0,39.0,129.0,68.0
1822,5.0,0.0,4.0,24.0,6.0,80.0,152.0,7.0,211.0,31.0,1.0,10.0,32.0,55.0,76.0,50.0,109.0,15.0,44.0,3.0,12.0,101.0,28.0,2.0,59.0,43.0,53.0,85.0,205.0,63.0
1871,35.0,0.0,1.0,6.0,4.0,64.0,81.0,3.0,23.0,13.0,18.0,36.0,53.0,34.0,21.0,15.0,146.0,8.0,24.0,277.0,80.0,78.0,95.0,2.0,60.0,25.0,9.0,10.0,201.0,37.0
1920,27.0,0.0,2.0,3.0,14.0,8.0,295.0,4.0,29.0,1.0,139.0,71.0,48.0,111.0,40.0,65.0,307.0,18.0,11.0,26.0,193.0,36.0,521.0,5.0,1125.0,82.0,22.0,75.0,716.0,49.0
1969,1.0,2.0,8.0,15.0,37.0,6.0,21.0,7.0,30.0,4.0,0.0,14.0,262.0,128.0,279.0,36.0,125.0,166.0,20.0,113.0,10.0,12.0,13.0,532.0,3.0,26.0,5.0,16.0,101.0,29.0
2018,0.0,97.0,122.0,24.0,22.0,42.0,9.0,15.0,8.0,12.0,1.0,4.0,120.0,3.0,65.0,94.0,130.0,189.0,167.0,760.0,13.0,49.0,128.0,2226.0,5.0,112.0,26.0,28.0,116.0,30.0
2067,2.0,220.0,84.0,4.0,66.0,18.0,90.0,17.0,8.0,23.0,1.0,57.0,126.0,33.0,21.0,34.0,0.0,38.0,229.0,168.0,3.0,11.0,29.0,45.0,14.0,202.0,47.0,9.0,79.0,59.0
2116,0.0,7.0,6.0,2.0,287.0,67.0,31.0,62.0,8.0,42.0,14.0,26.0,105.0,131.0,114.0,426.0,25.0,58.0,21.0,788.0,3.0,1.0,13.0,464.0,10.0,66.0,16.0,15.0,23.0,312.0
2165,0.0,5.0,17.0,6.0,61.0,12.0,8.0,46.0,2.0,22.0,10.0,34.0,240.0,41.0,3.0,59.0,11.0,37.0,15.0,92.0,1.0,39.0,29.0,90.0,9.0,83.0,51.0,31.0,94.0,13.0
2214,0.0,15.0,13.0,7.0,21.0,59.0,18.0,6.0,32.0,54.0,3.0,8.0,138.0,53.0,19.0,30.0,4.0,12.0,47.0,696.0,1.0,11.0,23.0,684.0,5.0,40.0,176.0,9.0,55.0,105.0
2263,0.0,76.0,81.0,6.0,14.0,57.0,31.0,20.0,10.0,117.0,3.0,16.0,483.0,104.0,8.0,40.0,7.0,15.0,119.0,638.0,4.0,2.0,41.0,682.0,17.0,101.0,276.0,5.0,18.0,22.0
2312,0.0,8.0,1.0,2.0,5.0,51.0,62.0,6.0,21.0,7.0,3.0,25.0,42.0,112.0,69.0,96.0,17.0,28.0,74.0,883.0,12.0,22.0,35.0,987.0,18.0,82.0,9.0,76.0,202.0,29.0
2361,1.0,11.0,12.0,5.0,4.0,40.0,117.0,53.0,88.0,33.0,2.0,167.0,479.0,19.0,358.0,149.0,4051.0,6.0,843.0,2253.0,0.0,86.0,123.0,10.0,7.0,85.0,18.0,3.0,120.0,258.0
2410,3.0,22.0,82.0,11.0,73.0,26.0,0.0,129.0,14.0,25.0,12.0,9.0,91.0,20.0,197.0,84.0,204.0,15.0,38.0,315.0,34.0,8.0,69.0,2211.0,42.0,138.0,232.0,48.0,39.0,209.0
2459,36.0,34.0,10.0,45.0,82.0,6.0,5.0,81.0,0.0,33.0,16.0,80.0,32.0,38.0,4.0,17.0,66.0,27.0,9.0,3.0,280.0,31.0,124.0,1.0,342.0,23.0,1095.0,294.0,56.0,11.0
2508,28.0,0.0,2.0,10.0,161.0,5.0,4.0,49.0,13.0,23.0,117.0,27.0,45.0,57.0,92.0,12.0,418.0,34.0,3.0,25.0,257.0,48.0,61.0,1.0,663.0,33.0,165.0,1090.0,16.0,178.0
2557,17.0,6.0,1.0,42.0,68.0,5.0,2.0,108.0,21.0,215.0,70.0,281.0,275.0,47.0,273.0,277.0,1218.0,22.0,32.0,161.0,103.0,80.0,26.0,0.0,4359.0,375.0,11.0,54.0,25.0,31.0
2606,10.0,11.0,2.0,16.0,22.0,25.0,5.0,60.0,1.0,6.0,0.0,26.0,72.0,130.0,41.0,31.0,7.0,46.0,12.0,3.0,105.0,38.0,54.0,34.0,181.0,40.0,539.0,151.0,27.0,71.0
2655,42.0,14.0,87.0,25.0,3.0,4.0,69.0,6.0,34.0,1.0,0.0,77.0,23.0,48.0,29.0,18.0,24.0,66.0,7.0,2.0,37.0,5.0,117.0,108.0,357.0,80.0,122.0,367.0,47.0,20.0
2704,14.0,4.0,3.0,16.0,62.0,2.0,27.0,31.0,48.0,35.0,0.0,75.0,9.0,218.0,15.0,23.0,21.0,88.0,89.0,8.0,253.0,37.0,51.0,10.0,256.0,67.0,56.0,1353.0,17.0,72.0
2753,8.0,11.0,17.0,40.0,83.0,19.0,2.0,85.0,44.0,31.0,1.0,57.0,14.0,166.0,199.0,5.0,160.0,51.0,65.0,1675.0,236.0,48.0,252.0,23.0,342.0,56.0,382.0,63.0,68.0,137.0
2802,9.0,3.0,0.0,10.0,313.0,13.0,26.0,18.0,2.0,11.0,16.0,99.0,48.0,59.0,67.0,23.0,54.0,208.0,8.0,1.0,89.0,77.0,104.0,5.0,27.0,20.0,64.0,49.0,29.0,34.0
2851,26.0,8.0,28.0,9.0,99.0,6.0,17.0,151.0,27.0,12.0,46.0,18.0,90.0,77.0,97.0,142.0,194.0,229.0,30.0,53.0,100.0,23.0,81.0,71.0,215.0,105.0,225.0,374.0,87.0,42.0
2900,8.0,0.0,19.0,9.0,85.0,2.0,25.0,29.0,1.0,5.0,7.0,22.0,311.0,133.0,17.0,18.0,123.0,13.0,10.0,27.0,45.0,87.0,66.0,11.0,228.0,88.0,621.0,2075.0,91.0,141.0
2949,10.0,63.0,56.0,21.0,27.0,31.0,97.0,9.0,24.0,5.0,11.0,7.0,43.0,4.0,19.0,16.0,20.0,47.0,12.0,492.0,72.0,190.0,71.0,611.0,8.0,48.0,938.0,146.0,433.0,14.0
2998,37.0,86.0,155.0,9.0,12.0,0.0,228.0,3.0,7.0,13.0,60.0,16.0,209.0,8.0,15.0,22.0,2.0,14.0,10.0,4.0,80.0,89.0,53.0,193.0,105.0,1031.0,67.0,482.0,158.0,59.0
3047,4.0,13.0,3.0,11.0,43.0,5.0,80.0,21.0,18.0,1.0,49.0,0.0,24.0,146.0,62.0,59.0,6.0,78.0,65.0,16.0,541.0,93.0,23.0,382.0,118.0,36.0,117.0,140.0,191.0,110.0
3096,3.0,35.0,67.0,4.0,2.0,18.0,163.0,7.0,36.0,1.0,6.0,5.0,33.0,41.0,116.0,11.0,15.0,20.0,12.0,1044.0,34.0,106.0,140.0,164.0,24.0,77.0,157.0,9.0,187.0,202.0
3145,6.0,18.0,9.0,3.0,1.0,4.0,98.0,8.0,5.0,0.0,147.0,32.0,47.0,11.0,94.0,14.0,116.0,99.0,22.0,2.0,157.0,52.0,15.0,130.0,29.0,135.0,140.0,705.0,89.0,40.0
3194,11.0,12.0,14.0,5.0,40.0,25.0,312.0,3.0,6.0,9.0,168.0,16.0,31.0,8.0,29.0,37.0,13.0,55.0,2.0,131.0,47.0,44.0,20.0,52.0,1.0,62.0,486.0,314.0,160.0,59.0
3243,28.0,21.0,12.0,5.0,2.0,58.0,493.0,11.0,20.0,3.0,558.0,196.0,53.0,9.0,41.0,24.0,159.0,64.0,26.0,8.0,92.0,469.0,106.0,68.0,78.0,212.0,145.0,545.0,231.0,6.0
3292,17.0,24.0,35.0,8.0,1.0,4.0,175.0,0.0,10.0,56.0,402.0,9.0,42.0,26.0,97.0,2.0,105.0,87.0,19.0,103.0,33.0,13.0,11.0,349.0,23.0,85.0,610.0,417.0,225.0,61.0
3341,6.0,42.0,20.0,0.0,16.0,3.0,157.0,24.0,1.0,33.0,137.0,28.0,14.0,101.0,43.0,9.0,7.0,71.0,10.0,23.0,476.0,79.0,26.0,38.0,92.0,30.0,163.0,169.0,35.0,54.0
3390,1.0,10.0,8.0,5.0,32.0,2.0,99.0,250.0,9.0,7.0,1357.0,4.0,40.0,12.0,871.0,210.0,22.0,121.0,14.0,6.0,765.0,59.0,56.0,2112.0,135.0,171.0,23.0,939.0,76.0,55.0
3439,11.0,6.0,2.0,24.0,0.0,71.0,9.0,571.0,39.0,27.0,264.0,506.0,32.0,19.0,2337.0,1119.0,35.0,28.0,271.0,282.0,29.0,187.0,43.0,21.0,40.0,172.0,4.0,80.0,103.0,72.0
3488,2.0,4.0,32.0,66.0,7.0,68.0,33.0,685.0,61.0,127.0,26.0,105.0,14.0,71.0,339.0,92.0,16.0,21.0,164.0,18.0,23.0,81.0,10.0,79.0,226.0,60.0,3.0,12.0,31.0,167.0
3537,5.0,0.0,1.0,43.0,41.0,12.0,7.0,155.0,79.0,37.0,4.0,256.0,28.0,42.0,168.0,54.0,8.0,3.0,401.0,9.0,30.0,217.0,14.0,11.0,60.0,58.0,57.0,39.0,116.0,195.0
3586,9.0,1.0,4.0,98.0,3.0,79.0,95.0,251.0,10.0,61.0,21.0,62.0,8.0,55.0,326.0,74.0,41.0,207.0,498.0,0.0,63.0,381.0,20.0,2.0,78.0,57.0,31.0,7.0,50.0,155.0
3635,12.0,0.0,10.0,26.0,8.0,89.0,14.0,91.0,70.0,41.0,16.0,39.0,40.0,267.0,313.0,85.0,1.0,11.0,276.0,64.0,22.0,346.0,23.0,9.0,33.0,129.0,63.0,7.0,32.0,411.0
3684,1.0,5.0,51.0,27.0,11.0,12.0,18.0,131.0,28.0,170.0,80.0,50.0,151.0,171.0,1949.0,545.0,168.0,19.0,2154.0,8.0,4.0,45.0,14.0,16.0,305.0,553.0,98.0,10.0,81.0,2057.0
3733,1.0,12.0,27.0,19.0,17.0,73.0,21.0,822.0,6.0,81.0,7.0,77.0,32.0,67.0,412.0,212.0,30.0,68.0,364.0,44.0,28.0,105.0,25.0,9.0,41.0,214.0,31.0,5.0,53.0,158.0
3782,17.0,8.0,10.0,27.0,25.0,75.0,1.0,1593.0,45.0,158.0,20.0,93.0,44.0,51.0,275.0,105.0,0.0,6.0,74.0,238.0,15.0,52.0,47.0,23.0,48.0,692.0,571.0,3.0,82.0,155.0
3831,2.0,0.0,7.0,20.0,66.0,43.0,10.0,286.0,80.0,71.0,60.0,178.0,24.0,12.0,271.0,144.0,4.0,33.0,88.0,15.0,50.0,180.0,79.0,1.0,59.0,122.0,19.0,5.0,31.0,646.0
3880,1.0,3.0,21.0,6.0,8.0,154.0,2.0,132.0,37.0,86.0,54.0,83.0,18.0,35.0,424.0,82.0,95.0,26.0,117.0,134.0,36.0,126.0,81.0,12.0,55.0,101.0,5.0,11.0,22.0,1494.0
3929,0.0,1.0,12.0,14.0,6.0,21.0,24.0,81.0,18.0,31.0,225.0,46.0,20.0,3.0,2.0,84.0,8.0,52.0,13.0,71.0,518.0,23.0,51.0,10.0,307.0,50.0,4.0,44.0,32.0,26.0
3978,18.0,781.0,4.0,3.0,2.0,10.0,108.0,76.0,0.0,9.0,25.0,80.0,27.0,26.0,35.0,50.0,7.0,127.0,62.0,102.0,351.0,56.0,29.0,1.0,92.0,61.0,20.0,560.0,126.0,13.0
4027,31.0,5.0,9.0,3.0,2.0,259.0,45.0,33.0,55.0,6.0,251.0,295.0,78.0,1.0,149.0,84.0,106.0,115.0,82.0,282.0,121.0,102.0,64.0,0.0,172.0,50.0,15.0,57.0,473.0,4.0
4076,10.0,1.0,17.0,13.0,9.0,8.0,30.0,175.0,19.0,14.0,54.0,31.0,25.0,4.0,5.0,27.0,3.0,43.0,90.0,1544.0,216.0,65.0,50.0,38.0,81.0,33.0,6.0,86.0,146.0,45.0
4125,1.0,2.0,3.0,4.0,7.0,15.0,16.0,74.0,21.0,12.0,42.0,69.0,103.0,26.0,24.0,124.0,18.0,28.0,97.0,178.0,183.0,89.0,109.0,0.0,6.0,25.0,36.0,73.0,46.0,56.0
4174,0.0,7.0,21.0,18.0,1.0,19.0,43.0,78.0,32.0,48.0,191.0,34.0,31.0,178.0,40.0,26.0,16.0,30.0,151.0,981.0,279.0,93.0,122.0,2.0,79.0,25.0,14.0,33.0,172.0,108.0
4223,0.0,2.0,4.0,7.0,1.0,8.0,11.0,89.0,27.0,3.0,110.0,98.0,25.0,14.0,81.0,90.0,10.0,107.0,41.0,2163.0,614.0,36.0,57.0,23.0,144.0,16.0,9.0,58.0,300.0,73.0
4272,9.0,14.0,5.0,8.0,13.0,7.0,3.0,21.0,6.0,0.0,100.0,60.0,28.0,1.0,15.0,16.0,12.0,137.0,17.0,844.0,228.0,63.0,314.0,2.0,113.0,22.0,147.0,177.0,106.0,29.0
4321,15.0,0.0,5.0,3.0,2.0,67.0,28.0,8.0,71.0,7.0,17.0,25.0,23.0,12.0,13.0,29.0,1.0,10.0,6.0,752.0,56.0,30.0,45.0,19.0,790.0,57.0,84.0,713.0,124.0,34.0
4370,19.0,15.0,1.0,34.0,10.0,12.0,24.0,59.0,87.0,33.0,76.0,2.0,92.0,3.0,172.0,83.0,36.0,438.0,55.0,191.0,1507.0,44.0,20.0,4.0,626.0,16.0,30.0,148.0,139.0,156.0
4419,0.0,8.0,40.0,25.0,124.0,1.0,222.0,5.0,30.0,102.0,11.0,17.0,13.0,46.0,88.0,58.0,436.0,175.0,62.0,2.0,33.0,6.0,21.0,116.0,7.0,56.0,24.0,111.0,57.0,75.0
4468,7.0,2.0,3.0,28.0,38.0,0.0,19.0,295.0,26.0,126.0,13.0,16.0,5.0,52.0,125.0,33.0,32.0,73.0,54.0,71.0,641.0,51.0,90.0,1.0,226.0,24.0,21.0,9.0,35.0,294.0
4517,3.0,0.0,1.0,10.0,99.0,2.0,18.0,142.0,421.0,573.0,12.0,31.0,38.0,28.0,25.0,148.0,1268.0,35.0,229.0,79.0,36.0,43.0,122.0,64.0,4.0,13.0,75.0,7.0,11.0,77.0
4566,5.0,0.0,14.0,25.0,198.0,1.0,13.0,31.0,153.0,148.0,41.0,21.0,40.0,43.0,169.0,7.0,6.0,11.0,98.0,26.0,218.0,10.0,34.0,72.0,8.0,3.0,75.0,76.0,20.0,197.0
4615,2.0,3.0,4.0,46.0,308.0,0.0,20.0,16.0,257.0,95.0,9.0,28.0,8.0,19.0,35.0,43.0,38.0,29.0,134.0,11.0,117.0,6.0,26.0,125.0,7.0,5.0,13.0,276.0,17.0,161.0
4664,11.0,82.0,28.0,68.0,153.0,0.0,55.0,80.0,61.0,147.0,9.0,10.0,7.0,12.0,48.0,47.0,92.0,51.0,22.0,1.0,959.0,4.0,87.0,98.0,20.0,62.0,524.0,36.0,18.0,224.0
4713,2.0,1.0,42.0,17.0,336.0,0.0,33.0,10.0,260.0,81.0,9.0,8.0,3.0,52.0,60.0,29.0,20.0,19.0,125.0,92.0,171.0,45.0,71.0,36.0,131.0,7.0,13.0,27.0,4.0,812.0
4762,18.0,4.0,59.0,55.0,246.0,7.0,89.0,109.0,146.0,136.0,57.0,15.0,19.0,46.0,48.0,32.0,9.0,167.0,67.0,0.0,107.0,17.0,51.0,21.0,2.0,23.0,93.0,71.0,29.0,72.0
4811,6.0,4.0,2.0,25.0,34.0,0.0,15.0,68.0,58.0,344.0,88.0,40.0,1.0,75.0,171.0,97.0,27.0,16.0,85.0,62.0,298.0,41.0,20.0,39.0,3.0,13.0,12.0,81.0,7.0,288.0
4860,4.0,3.0,2.0,68.0,99.0,0.0,32.0,15.0,57.0,33.0,40.0,8.0,63.0,35.0,313.0,72.0,22.0,44.0,46.0,1.0,507.0,6.0,16.0,65.0,9.0,12.0,14.0,135.0,29.0,361.0
