,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-548b-5p,hsa-miR-584,hsa-miR-1908,hsa-miR-1976,hsa-miR-190,ebv-miR-BART13,hsa-miR-1271,hsa-miR-143,hsa-miR-1227,hsa-miR-668,hsa-miR-150,hsa-miR-384,hsa-miR-1285,hsa-miR-606,hsa-miR-550,hsa-miR-1233,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-628-5p,hsa-miR-1977,hsa-miR-423-3p,hsa-miR-330-3p,hsa-miR-148a,hsa-miR-1256,ebv-miR-BART20-5p,hsv1-miR-H7,hsa-miR-1321,hsa-miR-548q,hsa-miR-491-3p
1045,2.0,61.0,0.0,17.0,12.0,7.0,1.0,25.0,11.0,8.0,40.0,36.0,44.0,81.0,9.0,50.0,3.0,24.0,32.0,18.0,13.0,34.0,62.0,225.0,51.0,33.0,126.0,29.0,135.0,72.0
1094,0.0,16.0,6.0,5.0,1.0,19.0,15.0,110.0,9.0,2.0,3.0,85.0,21.0,29.0,7.0,48.0,43.0,13.0,46.0,80.0,27.0,33.0,10.0,57.0,26.0,18.0,117.0,62.0,186.0,39.0
1143,0.0,52.0,1.0,2.0,6.0,33.0,10.0,9.0,4.0,44.0,7.0,45.0,20.0,26.0,12.0,40.0,36.0,5.0,35.0,176.0,31.0,8.0,16.0,47.0,80.0,19.0,69.0,73.0,46.0,13.0
1192,0.0,12.0,7.0,20.0,3.0,2.0,17.0,18.0,1.0,27.0,5.0,9.0,31.0,16.0,8.0,14.0,252.0,65.0,29.0,34.0,42.0,22.0,38.0,43.0,145.0,11.0,59.0,32.0,88.0,13.0
1241,2.0,23.0,0.0,6.0,17.0,27.0,1.0,7.0,30.0,11.0,12.0,123.0,42.0,105.0,22.0,48.0,177.0,103.0,96.0,55.0,130.0,15.0,36.0,16.0,10.0,24.0,89.0,19.0,78.0,9.0
1290,0.0,26.0,1.0,36.0,37.0,2.0,23.0,19.0,16.0,10.0,3.0,56.0,66.0,27.0,8.0,81.0,78.0,39.0,51.0,11.0,12.0,6.0,45.0,5.0,7.0,17.0,140.0,31.0,42.0,43.0
1339,3.0,6.0,1.0,2.0,13.0,10.0,0.0,25.0,16.0,83.0,8.0,26.0,28.0,50.0,11.0,30.0,54.0,24.0,12.0,76.0,51.0,9.0,38.0,89.0,17.0,103.0,75.0,37.0,49.0,43.0
1388,0.0,1.0,5.0,9.0,4.0,12.0,2.0,16.0,8.0,33.0,31.0,17.0,18.0,108.0,32.0,7.0,27.0,39.0,54.0,43.0,50.0,37.0,44.0,48.0,3.0,99.0,331.0,135.0,216.0,6.0
1437,2.0,9.0,3.0,8.0,4.0,26.0,0.0,13.0,1.0,5.0,7.0,23.0,29.0,44.0,11.0,10.0,18.0,71.0,73.0,24.0,14.0,27.0,48.0,33.0,67.0,16.0,140.0,41.0,134.0,39.0
1486,0.0,4.0,1.0,3.0,7.0,8.0,2.0,13.0,27.0,25.0,6.0,19.0,15.0,9.0,23.0,12.0,28.0,11.0,31.0,16.0,5.0,32.0,75.0,58.0,17.0,33.0,51.0,41.0,14.0,36.0
1535,0.0,21.0,3.0,5.0,14.0,31.0,2.0,28.0,16.0,19.0,22.0,27.0,23.0,8.0,10.0,24.0,17.0,1.0,18.0,30.0,6.0,37.0,49.0,4.0,86.0,89.0,7.0,55.0,9.0,45.0
1584,0.0,14.0,34.0,1.0,47.0,24.0,49.0,26.0,28.0,20.0,3.0,78.0,17.0,16.0,59.0,22.0,4.0,18.0,63.0,21.0,38.0,152.0,71.0,7.0,12.0,52.0,43.0,131.0,8.0,2.0
1633,0.0,1.0,7.0,3.0,8.0,16.0,10.0,78.0,19.0,13.0,6.0,70.0,29.0,2.0,32.0,5.0,53.0,45.0,51.0,14.0,11.0,28.0,54.0,112.0,27.0,9.0,58.0,23.0,46.0,73.0
1682,1.0,4.0,14.0,6.0,20.0,57.0,7.0,11.0,15.0,18.0,0.0,29.0,26.0,16.0,17.0,38.0,3.0,10.0,56.0,12.0,9.0,92.0,62.0,2.0,8.0,13.0,33.0,43.0,21.0,44.0
1731,1.0,15.0,6.0,5.0,8.0,7.0,0.0,28.0,14.0,38.0,4.0,22.0,34.0,2.0,53.0,32.0,39.0,49.0,26.0,17.0,18.0,29.0,80.0,12.0,23.0,75.0,41.0,13.0,10.0,91.0
1780,9.0,7.0,1.0,6.0,99.0,19.0,18.0,37.0,24.0,4.0,57.0,29.0,17.0,13.0,10.0,30.0,101.0,16.0,51.0,0.0,5.0,72.0,15.0,8.0,3.0,36.0,40.0,48.0,2.0,20.0
1829,3.0,0.0,45.0,12.0,7.0,34.0,2.0,16.0,5.0,53.0,17.0,1.0,24.0,6.0,70.0,20.0,13.0,178.0,37.0,19.0,42.0,31.0,43.0,4.0,15.0,10.0,28.0,8.0,79.0,33.0
1878,0.0,1.0,28.0,8.0,39.0,25.0,7.0,24.0,10.0,3.0,4.0,40.0,21.0,6.0,56.0,155.0,48.0,62.0,77.0,5.0,2.0,34.0,38.0,20.0,11.0,22.0,9.0,53.0,26.0,83.0
1927,0.0,5.0,12.0,3.0,31.0,23.0,2.0,11.0,35.0,4.0,15.0,107.0,56.0,40.0,37.0,14.0,1.0,20.0,71.0,29.0,76.0,58.0,54.0,38.0,36.0,7.0,26.0,22.0,9.0,13.0
1976,0.0,33.0,18.0,4.0,39.0,2.0,15.0,43.0,83.0,38.0,29.0,17.0,82.0,11.0,7.0,171.0,101.0,195.0,58.0,12.0,5.0,10.0,24.0,14.0,6.0,47.0,16.0,40.0,88.0,53.0
2025,1.0,6.0,10.0,3.0,17.0,2.0,0.0,11.0,33.0,41.0,40.0,4.0,15.0,24.0,25.0,12.0,26.0,56.0,20.0,16.0,7.0,38.0,29.0,9.0,70.0,94.0,23.0,54.0,43.0,61.0
2074,0.0,2.0,27.0,1.0,7.0,4.0,5.0,11.0,42.0,180.0,49.0,3.0,24.0,56.0,9.0,53.0,28.0,73.0,12.0,63.0,70.0,6.0,19.0,129.0,23.0,120.0,47.0,100.0,8.0,76.0
2123,7.0,25.0,4.0,9.0,14.0,6.0,0.0,2.0,10.0,29.0,19.0,1.0,27.0,18.0,24.0,34.0,121.0,72.0,15.0,33.0,83.0,26.0,12.0,22.0,62.0,372.0,32.0,59.0,85.0,123.0
2172,0.0,6.0,28.0,2.0,3.0,4.0,61.0,55.0,30.0,73.0,66.0,5.0,11.0,35.0,13.0,51.0,16.0,173.0,54.0,50.0,62.0,26.0,9.0,69.0,1.0,18.0,100.0,37.0,98.0,67.0
2221,5.0,0.0,17.0,9.0,18.0,11.0,12.0,16.0,24.0,21.0,110.0,2.0,35.0,3.0,31.0,75.0,7.0,8.0,26.0,14.0,154.0,25.0,23.0,1.0,151.0,129.0,72.0,103.0,28.0,164.0
2270,0.0,4.0,54.0,9.0,3.0,6.0,1.0,8.0,11.0,12.0,13.0,7.0,23.0,57.0,28.0,15.0,14.0,19.0,30.0,60.0,18.0,49.0,36.0,74.0,38.0,145.0,20.0,128.0,129.0,63.0
2319,4.0,1.0,9.0,13.0,2.0,8.0,7.0,22.0,41.0,10.0,29.0,0.0,34.0,26.0,23.0,37.0,14.0,25.0,46.0,79.0,31.0,33.0,11.0,32.0,28.0,118.0,19.0,44.0,48.0,130.0
2368,1.0,19.0,14.0,0.0,5.0,13.0,4.0,2.0,3.0,28.0,20.0,12.0,39.0,6.0,17.0,68.0,29.0,27.0,23.0,34.0,84.0,22.0,36.0,10.0,93.0,76.0,18.0,72.0,11.0,160.0
2417,0.0,12.0,1.0,6.0,25.0,3.0,2.0,16.0,9.0,11.0,115.0,8.0,35.0,32.0,28.0,68.0,24.0,14.0,4.0,42.0,5.0,23.0,29.0,60.0,59.0,348.0,15.0,107.0,33.0,92.0
2466,0.0,41.0,61.0,2.0,27.0,110.0,17.0,8.0,1.0,16.0,33.0,11.0,107.0,6.0,35.0,42.0,83.0,21.0,85.0,5.0,52.0,3.0,10.0,4.0,23.0,43.0,12.0,28.0,9.0,14.0
2515,0.0,34.0,16.0,12.0,42.0,117.0,2.0,33.0,11.0,4.0,47.0,19.0,50.0,72.0,127.0,26.0,7.0,3.0,51.0,5.0,23.0,13.0,8.0,1.0,10.0,25.0,9.0,36.0,15.0,6.0
2564,1.0,33.0,31.0,2.0,19.0,114.0,30.0,66.0,15.0,32.0,20.0,44.0,45.0,115.0,53.0,26.0,5.0,10.0,74.0,4.0,35.0,24.0,6.0,0.0,38.0,36.0,9.0,21.0,8.0,17.0
2613,0.0,21.0,7.0,2.0,47.0,89.0,16.0,49.0,30.0,6.0,71.0,23.0,48.0,15.0,52.0,51.0,37.0,3.0,46.0,4.0,43.0,10.0,38.0,1.0,27.0,40.0,22.0,28.0,53.0,19.0
2662,1.0,4.0,16.0,0.0,10.0,75.0,25.0,66.0,35.0,61.0,32.0,50.0,74.0,13.0,24.0,71.0,20.0,8.0,21.0,46.0,90.0,2.0,14.0,3.0,36.0,89.0,142.0,141.0,15.0,19.0
2711,4.0,42.0,51.0,2.0,34.0,88.0,11.0,90.0,16.0,9.0,22.0,15.0,52.0,14.0,65.0,113.0,3.0,1.0,8.0,25.0,26.0,10.0,5.0,0.0,110.0,91.0,13.0,7.0,31.0,19.0
2760,0.0,64.0,15.0,1.0,20.0,53.0,34.0,139.0,17.0,8.0,29.0,31.0,51.0,14.0,42.0,11.0,2.0,5.0,25.0,6.0,44.0,21.0,32.0,3.0,50.0,102.0,18.0,9.0,13.0,10.0
2809,0.0,36.0,20.0,1.0,10.0,35.0,7.0,25.0,23.0,4.0,58.0,17.0,64.0,28.0,43.0,12.0,5.0,11.0,50.0,6.0,47.0,3.0,53.0,2.0,39.0,29.0,15.0,37.0,31.0,57.0
2858,0.0,119.0,34.0,2.0,59.0,33.0,12.0,52.0,32.0,4.0,41.0,24.0,68.0,7.0,30.0,13.0,18.0,6.0,19.0,9.0,14.0,21.0,10.0,1.0,105.0,51.0,16.0,66.0,3.0,5.0
2907,0.0,16.0,31.0,13.0,11.0,55.0,3.0,92.0,14.0,4.0,34.0,10.0,64.0,28.0,27.0,19.0,8.0,24.0,33.0,25.0,66.0,5.0,37.0,2.0,102.0,15.0,20.0,23.0,174.0,18.0
2956,0.0,1.0,2.0,17.0,7.0,3.0,18.0,9.0,5.0,68.0,90.0,10.0,14.0,284.0,19.0,25.0,37.0,321.0,183.0,13.0,21.0,31.0,42.0,81.0,4.0,22.0,49.0,35.0,58.0,75.0
3005,1.0,8.0,0.0,64.0,14.0,2.0,134.0,27.0,23.0,4.0,20.0,231.0,17.0,181.0,9.0,25.0,90.0,68.0,61.0,7.0,78.0,22.0,51.0,5.0,34.0,11.0,29.0,6.0,99.0,92.0
3054,0.0,8.0,3.0,28.0,13.0,1.0,10.0,7.0,19.0,9.0,53.0,33.0,22.0,175.0,98.0,42.0,206.0,246.0,160.0,5.0,56.0,27.0,49.0,89.0,25.0,2.0,15.0,4.0,101.0,18.0
3103,0.0,10.0,2.0,11.0,6.0,4.0,43.0,47.0,5.0,116.0,21.0,95.0,13.0,246.0,57.0,15.0,49.0,180.0,20.0,19.0,27.0,8.0,38.0,131.0,25.0,24.0,32.0,3.0,52.0,40.0
3152,0.0,4.0,3.0,5.0,17.0,22.0,7.0,61.0,9.0,32.0,71.0,30.0,25.0,55.0,13.0,105.0,28.0,155.0,141.0,2.0,76.0,33.0,12.0,90.0,14.0,1.0,64.0,15.0,189.0,120.0
3201,0.0,11.0,1.0,3.0,13.0,8.0,5.0,9.0,7.0,59.0,33.0,201.0,10.0,249.0,27.0,103.0,15.0,95.0,63.0,22.0,35.0,58.0,21.0,85.0,19.0,2.0,29.0,16.0,195.0,66.0
3250,0.0,30.0,1.0,57.0,5.0,25.0,17.0,38.0,2.0,93.0,69.0,21.0,32.0,200.0,8.0,56.0,74.0,144.0,31.0,18.0,13.0,15.0,79.0,126.0,9.0,14.0,10.0,4.0,132.0,73.0
3299,0.0,19.0,2.0,45.0,31.0,3.0,39.0,21.0,11.0,47.0,34.0,10.0,38.0,141.0,23.0,66.0,87.0,225.0,42.0,8.0,12.0,26.0,16.0,7.0,17.0,4.0,6.0,5.0,110.0,54.0
3348,1.0,21.0,0.0,30.0,20.0,23.0,11.0,14.0,10.0,71.0,69.0,32.0,22.0,233.0,39.0,3.0,209.0,147.0,64.0,2.0,73.0,42.0,49.0,61.0,8.0,5.0,43.0,7.0,96.0,33.0
3397,0.0,9.0,2.0,35.0,14.0,8.0,12.0,7.0,4.0,39.0,126.0,139.0,19.0,247.0,33.0,44.0,10.0,73.0,149.0,6.0,79.0,83.0,128.0,62.0,1.0,24.0,26.0,5.0,57.0,51.0
3446,1.0,5.0,0.0,10.0,12.0,16.0,11.0,3.0,2.0,6.0,71.0,27.0,18.0,8.0,15.0,13.0,55.0,4.0,14.0,20.0,35.0,22.0,23.0,24.0,85.0,30.0,28.0,145.0,26.0,87.0
3495,0.0,5.0,2.0,1.0,7.0,12.0,19.0,11.0,13.0,26.0,59.0,21.0,16.0,51.0,45.0,9.0,78.0,119.0,8.0,35.0,20.0,15.0,94.0,149.0,128.0,213.0,27.0,129.0,3.0,14.0
3544,1.0,6.0,2.0,25.0,16.0,9.0,14.0,8.0,5.0,10.0,23.0,38.0,15.0,77.0,89.0,4.0,47.0,3.0,7.0,26.0,21.0,35.0,30.0,36.0,140.0,105.0,64.0,84.0,18.0,39.0
3593,0.0,2.0,6.0,12.0,5.0,4.0,19.0,1.0,10.0,9.0,18.0,16.0,24.0,13.0,34.0,20.0,26.0,8.0,17.0,71.0,3.0,52.0,118.0,51.0,79.0,63.0,46.0,37.0,11.0,54.0
3642,0.0,5.0,2.0,3.0,54.0,11.0,13.0,7.0,8.0,48.0,30.0,9.0,69.0,4.0,14.0,24.0,20.0,58.0,18.0,28.0,10.0,44.0,81.0,61.0,180.0,50.0,15.0,43.0,34.0,104.0
3691,0.0,1.0,2.0,41.0,9.0,12.0,15.0,4.0,3.0,13.0,83.0,22.0,16.0,30.0,58.0,7.0,37.0,31.0,6.0,56.0,28.0,48.0,121.0,53.0,17.0,79.0,102.0,70.0,8.0,90.0
3740,0.0,5.0,1.0,12.0,18.0,13.0,2.0,3.0,8.0,56.0,65.0,11.0,10.0,51.0,48.0,6.0,46.0,15.0,14.0,29.0,17.0,50.0,43.0,20.0,184.0,200.0,75.0,54.0,28.0,24.0
3789,0.0,2.0,4.0,6.0,3.0,7.0,16.0,1.0,18.0,42.0,39.0,20.0,11.0,60.0,53.0,8.0,17.0,5.0,28.0,54.0,69.0,41.0,93.0,14.0,80.0,225.0,35.0,34.0,21.0,57.0
3838,0.0,3.0,2.0,22.0,19.0,15.0,18.0,6.0,1.0,26.0,42.0,163.0,7.0,25.0,11.0,20.0,13.0,5.0,10.0,104.0,12.0,48.0,151.0,49.0,113.0,71.0,45.0,138.0,17.0,84.0
3887,0.0,3.0,2.0,10.0,7.0,29.0,6.0,1.0,11.0,4.0,61.0,24.0,26.0,27.0,31.0,13.0,17.0,8.0,16.0,37.0,55.0,15.0,60.0,48.0,310.0,132.0,34.0,50.0,5.0,19.0
3936,0.0,4.0,2.0,1.0,19.0,16.0,20.0,39.0,37.0,8.0,14.0,18.0,32.0,24.0,22.0,66.0,23.0,78.0,7.0,68.0,44.0,11.0,117.0,12.0,17.0,38.0,88.0,21.0,6.0,3.0
3985,4.0,0.0,6.0,1.0,3.0,7.0,53.0,96.0,49.0,16.0,5.0,51.0,15.0,31.0,80.0,90.0,10.0,12.0,59.0,165.0,18.0,8.0,20.0,40.0,61.0,14.0,114.0,19.0,142.0,78.0
4034,1.0,8.0,15.0,2.0,43.0,28.0,39.0,41.0,24.0,27.0,3.0,29.0,50.0,33.0,52.0,198.0,70.0,116.0,40.0,56.0,5.0,7.0,31.0,12.0,61.0,60.0,77.0,10.0,16.0,13.0
4083,0.0,3.0,7.0,2.0,29.0,32.0,6.0,26.0,39.0,19.0,9.0,1.0,34.0,18.0,63.0,186.0,66.0,23.0,22.0,54.0,49.0,17.0,88.0,103.0,65.0,13.0,25.0,27.0,8.0,30.0
4132,1.0,0.0,7.0,4.0,76.0,23.0,20.0,17.0,8.0,36.0,38.0,2.0,39.0,13.0,6.0,183.0,22.0,193.0,15.0,131.0,58.0,42.0,11.0,162.0,3.0,5.0,92.0,67.0,16.0,12.0
4181,0.0,5.0,4.0,25.0,33.0,17.0,22.0,14.0,23.0,6.0,2.0,47.0,26.0,18.0,13.0,44.0,30.0,12.0,10.0,126.0,51.0,43.0,27.0,1.0,59.0,82.0,56.0,28.0,24.0,3.0
4230,1.0,2.0,0.0,41.0,15.0,10.0,4.0,12.0,56.0,5.0,7.0,3.0,36.0,66.0,9.0,99.0,44.0,64.0,17.0,54.0,62.0,30.0,33.0,51.0,73.0,11.0,98.0,42.0,48.0,19.0
4279,0.0,2.0,1.0,5.0,35.0,34.0,10.0,16.0,36.0,7.0,28.0,6.0,65.0,11.0,9.0,81.0,95.0,184.0,3.0,56.0,14.0,17.0,20.0,41.0,27.0,64.0,46.0,110.0,4.0,15.0
4328,1.0,2.0,4.0,0.0,11.0,13.0,21.0,20.0,36.0,10.0,18.0,3.0,47.0,5.0,38.0,134.0,42.0,19.0,34.0,69.0,29.0,17.0,23.0,98.0,30.0,22.0,53.0,14.0,16.0,6.0
4377,1.0,2.0,3.0,0.0,11.0,7.0,8.0,10.0,18.0,21.0,6.0,4.0,28.0,12.0,65.0,91.0,61.0,41.0,13.0,94.0,98.0,9.0,24.0,57.0,43.0,44.0,93.0,5.0,17.0,30.0
4426,0.0,1.0,3.0,8.0,11.0,63.0,9.0,78.0,33.0,22.0,10.0,50.0,27.0,13.0,12.0,14.0,41.0,65.0,16.0,36.0,158.0,18.0,7.0,4.0,44.0,15.0,189.0,39.0,468.0,67.0
4475,0.0,3.0,51.0,60.0,6.0,7.0,20.0,22.0,40.0,1.0,14.0,41.0,13.0,25.0,18.0,19.0,132.0,50.0,42.0,8.0,46.0,21.0,5.0,2.0,45.0,11.0,37.0,72.0,294.0,99.0
4524,0.0,5.0,9.0,10.0,21.0,13.0,49.0,101.0,66.0,4.0,16.0,30.0,70.0,7.0,25.0,35.0,24.0,14.0,62.0,2.0,26.0,46.0,15.0,1.0,118.0,6.0,38.0,19.0,324.0,131.0
4573,1.0,12.0,8.0,16.0,4.0,11.0,63.0,41.0,55.0,0.0,13.0,52.0,24.0,15.0,2.0,34.0,137.0,59.0,10.0,5.0,36.0,31.0,9.0,7.0,58.0,82.0,28.0,35.0,223.0,124.0
4622,0.0,10.0,2.0,9.0,5.0,8.0,36.0,67.0,23.0,19.0,6.0,125.0,16.0,14.0,1.0,13.0,21.0,3.0,77.0,66.0,70.0,7.0,26.0,18.0,94.0,30.0,59.0,65.0,273.0,34.0
4671,1.0,2.0,12.0,8.0,3.0,4.0,23.0,33.0,17.0,18.0,7.0,20.0,31.0,9.0,16.0,22.0,50.0,10.0,39.0,27.0,123.0,5.0,28.0,0.0,69.0,54.0,35.0,6.0,272.0,68.0
4720,0.0,3.0,29.0,20.0,5.0,4.0,11.0,7.0,17.0,37.0,71.0,47.0,22.0,6.0,19.0,49.0,13.0,1.0,127.0,45.0,203.0,9.0,38.0,8.0,77.0,35.0,40.0,18.0,136.0,105.0
4769,0.0,4.0,3.0,26.0,1.0,12.0,35.0,136.0,49.0,5.0,6.0,32.0,30.0,10.0,18.0,41.0,84.0,2.0,13.0,17.0,25.0,11.0,8.0,20.0,129.0,16.0,37.0,27.0,283.0,83.0
4818,0.0,5.0,1.0,10.0,2.0,7.0,66.0,11.0,49.0,4.0,20.0,32.0,34.0,3.0,12.0,14.0,124.0,50.0,24.0,8.0,54.0,35.0,19.0,6.0,53.0,46.0,21.0,17.0,125.0,223.0
4867,0.0,7.0,5.0,14.0,2.0,1.0,39.0,56.0,15.0,17.0,10.0,45.0,23.0,4.0,3.0,16.0,54.0,21.0,84.0,13.0,66.0,32.0,9.0,25.0,109.0,8.0,30.0,18.0,171.0,69.0
