,VAV1,Raptor,Transglutaminase,Akt_pS473,G6PD,PDK1,Chk1_pS345,4E-BP1,FRA1,Claudin-7,Chk1,Cyclin_B1,Stathmin,Rictor_pT1135,Chk2,HER3,Bax,VHL,Lck,N-Cadherin,ACC_pS79,YAP_pS127,IRS1,Heregulin,Cyclin_D1,p62 Lck ligand,Gab2,Paxillin,PEA15,SF2
1377,3.0,21.0,28.0,11.0,48.0,23.0,103.0,16.0,26.0,37.0,20.0,0.0,120.0,90.0,162.0,63.0,56.0,49.0,58.0,1.0,52.0,30.0,39.0,35.0,10.0,82.0,141.0,59.0,72.0,107.0
1426,1.0,29.0,56.0,19.0,0.0,163.0,27.0,26.0,91.0,24.0,13.0,5.0,36.0,6.0,2.0,31.0,49.0,66.0,41.0,54.0,67.0,95.0,68.0,141.0,155.0,8.0,147.0,51.0,80.0,58.0
1475,5.0,20.0,0.0,54.0,42.0,15.0,9.0,76.0,61.0,108.0,2.0,50.0,126.0,18.0,44.0,26.0,150.0,13.0,90.0,91.0,33.0,101.0,12.0,55.0,57.0,25.0,17.0,70.0,72.0,30.0
1524,0.0,67.0,37.0,112.0,9.0,47.0,62.0,68.0,64.0,50.0,32.0,144.0,107.0,74.0,18.0,41.0,72.0,19.0,54.0,55.0,71.0,15.0,87.0,33.0,142.0,31.0,12.0,156.0,56.0,46.0
1573,0.0,37.0,71.0,17.0,6.0,32.0,119.0,39.0,155.0,19.0,14.0,123.0,42.0,139.0,122.0,70.0,55.0,135.0,31.0,16.0,74.0,38.0,50.0,69.0,34.0,89.0,92.0,143.0,86.0,18.0
1622,0.0,22.0,29.0,8.0,145.0,35.0,163.0,134.0,20.0,23.0,14.0,151.0,38.0,34.0,62.0,24.0,46.0,21.0,72.0,15.0,60.0,9.0,13.0,90.0,3.0,94.0,91.0,7.0,42.0,123.0
1671,0.0,74.0,10.0,45.0,30.0,1.0,62.0,15.0,116.0,13.0,72.0,142.0,26.0,160.0,138.0,46.0,84.0,22.0,24.0,122.0,50.0,53.0,49.0,54.0,18.0,56.0,11.0,89.0,65.0,38.0
1720,1.0,83.0,19.0,34.0,14.0,13.0,76.0,33.0,53.0,29.0,22.0,0.0,7.0,39.0,150.0,84.0,37.0,140.0,9.0,66.0,40.0,10.0,23.0,64.0,4.0,137.0,141.0,101.0,49.0,159.0
1769,38.0,25.0,5.0,18.0,141.0,117.0,8.0,50.0,29.0,95.0,12.0,9.0,30.0,21.0,7.0,52.0,63.0,42.0,51.0,68.0,83.0,2.0,14.0,67.0,65.0,23.0,59.0,153.0,87.0,46.0
1818,0.0,19.0,36.0,17.0,53.0,43.0,11.0,121.0,28.0,15.0,26.0,142.0,8.0,162.0,1.0,37.0,39.0,79.0,30.0,44.0,65.0,76.0,101.0,34.0,10.0,70.0,22.0,140.0,64.0,27.0
1867,0.0,123.0,32.0,48.0,14.0,31.0,69.0,54.0,19.0,20.0,4.0,5.0,25.0,43.0,59.0,35.0,41.0,26.0,10.0,82.0,71.0,7.0,53.0,44.0,9.0,79.0,101.0,144.0,58.0,30.0
1916,0.0,35.0,9.0,46.0,5.0,49.0,93.0,21.0,54.0,62.0,29.0,102.0,106.0,72.0,152.0,27.0,52.0,36.0,67.0,18.0,39.0,48.0,34.0,53.0,8.0,42.0,40.0,16.0,38.0,65.0
1965,0.0,80.0,28.0,30.0,8.0,97.0,75.0,36.0,88.0,27.0,51.0,143.0,128.0,5.0,70.0,45.0,40.0,37.0,59.0,25.0,41.0,34.0,52.0,14.0,66.0,76.0,138.0,72.0,17.0,68.0
2014,3.0,4.0,8.0,37.0,39.0,92.0,6.0,46.0,33.0,40.0,30.0,5.0,21.0,160.0,2.0,58.0,73.0,23.0,48.0,70.0,65.0,42.0,69.0,61.0,105.0,50.0,137.0,57.0,26.0,79.0
2063,0.0,6.0,13.0,31.0,47.0,4.0,41.0,22.0,65.0,35.0,8.0,2.0,45.0,3.0,95.0,34.0,139.0,52.0,42.0,23.0,58.0,72.0,89.0,159.0,110.0,33.0,162.0,32.0,64.0,46.0
2112,3.0,11.0,29.0,21.0,20.0,68.0,70.0,4.0,91.0,40.0,12.0,144.0,88.0,104.0,19.0,49.0,43.0,10.0,98.0,87.0,56.0,5.0,136.0,46.0,141.0,147.0,63.0,51.0,30.0,24.0
2161,2.0,8.0,10.0,21.0,9.0,19.0,6.0,1.0,17.0,45.0,66.0,163.0,26.0,0.0,43.0,56.0,76.0,36.0,27.0,113.0,22.0,103.0,57.0,106.0,139.0,69.0,78.0,14.0,65.0,3.0
2210,0.0,3.0,129.0,22.0,50.0,38.0,53.0,45.0,19.0,32.0,72.0,17.0,60.0,9.0,48.0,99.0,115.0,7.0,93.0,13.0,52.0,62.0,41.0,142.0,145.0,81.0,91.0,25.0,31.0,92.0
2259,1.0,43.0,18.0,20.0,5.0,155.0,52.0,21.0,3.0,94.0,31.0,46.0,11.0,125.0,22.0,69.0,53.0,4.0,40.0,37.0,61.0,7.0,76.0,54.0,24.0,79.0,87.0,28.0,17.0,35.0
2308,0.0,36.0,3.0,20.0,43.0,121.0,23.0,45.0,19.0,94.0,38.0,125.0,134.0,61.0,131.0,80.0,41.0,64.0,78.0,143.0,46.0,26.0,40.0,150.0,119.0,57.0,74.0,17.0,72.0,7.0
2357,0.0,54.0,11.0,22.0,6.0,153.0,27.0,46.0,32.0,25.0,41.0,1.0,124.0,48.0,104.0,68.0,33.0,39.0,74.0,14.0,42.0,113.0,137.0,134.0,62.0,159.0,67.0,16.0,38.0,88.0
2406,2.0,3.0,5.0,24.0,31.0,151.0,4.0,121.0,35.0,6.0,71.0,105.0,33.0,14.0,64.0,44.0,34.0,17.0,30.0,144.0,12.0,18.0,93.0,55.0,100.0,8.0,99.0,13.0,23.0,102.0
2455,49.0,57.0,13.0,26.0,0.0,37.0,24.0,47.0,63.0,55.0,69.0,7.0,9.0,46.0,16.0,5.0,32.0,6.0,12.0,10.0,27.0,90.0,87.0,80.0,111.0,73.0,22.0,52.0,20.0,8.0
2504,29.0,9.0,104.0,15.0,0.0,112.0,133.0,116.0,154.0,35.0,79.0,22.0,125.0,118.0,86.0,7.0,67.0,43.0,23.0,34.0,70.0,114.0,77.0,136.0,152.0,30.0,18.0,12.0,89.0,103.0
2553,99.0,44.0,43.0,20.0,7.0,0.0,6.0,124.0,142.0,9.0,28.0,79.0,65.0,41.0,42.0,18.0,37.0,26.0,50.0,46.0,73.0,45.0,72.0,80.0,47.0,55.0,10.0,35.0,17.0,16.0
2602,54.0,38.0,7.0,23.0,10.0,22.0,4.0,45.0,65.0,18.0,89.0,159.0,66.0,163.0,1.0,30.0,16.0,15.0,120.0,106.0,69.0,113.0,53.0,35.0,107.0,105.0,2.0,88.0,55.0,11.0
2651,124.0,44.0,10.0,30.0,149.0,15.0,4.0,131.0,20.0,19.0,79.0,154.0,48.0,2.0,9.0,25.0,66.0,6.0,50.0,142.0,52.0,115.0,97.0,100.0,153.0,38.0,12.0,24.0,41.0,54.0
2700,8.0,75.0,21.0,10.0,1.0,2.0,0.0,37.0,150.0,70.0,63.0,133.0,99.0,58.0,128.0,13.0,54.0,34.0,30.0,15.0,50.0,82.0,51.0,74.0,84.0,40.0,46.0,47.0,64.0,81.0
2749,25.0,34.0,61.0,18.0,12.0,5.0,3.0,24.0,70.0,14.0,82.0,134.0,0.0,162.0,22.0,49.0,58.0,97.0,52.0,63.0,89.0,45.0,13.0,50.0,33.0,48.0,1.0,39.0,75.0,87.0
2798,118.0,64.0,23.0,1.0,161.0,24.0,129.0,33.0,56.0,36.0,18.0,128.0,0.0,79.0,22.0,4.0,37.0,45.0,19.0,27.0,35.0,115.0,34.0,26.0,39.0,151.0,11.0,31.0,62.0,16.0
2847,50.0,41.0,123.0,128.0,0.0,47.0,20.0,49.0,91.0,31.0,83.0,158.0,14.0,34.0,12.0,13.0,155.0,28.0,43.0,66.0,33.0,35.0,2.0,56.0,159.0,30.0,7.0,51.0,26.0,61.0
2896,117.0,57.0,21.0,1.0,0.0,100.0,7.0,115.0,11.0,50.0,91.0,154.0,28.0,112.0,26.0,8.0,39.0,56.0,14.0,75.0,45.0,114.0,24.0,9.0,68.0,30.0,36.0,17.0,42.0,103.0
2945,0.0,1.0,21.0,130.0,153.0,46.0,38.0,61.0,35.0,18.0,7.0,4.0,16.0,136.0,14.0,52.0,22.0,8.0,12.0,109.0,56.0,101.0,19.0,60.0,62.0,69.0,86.0,143.0,45.0,106.0
2994,0.0,8.0,1.0,108.0,99.0,33.0,20.0,43.0,146.0,15.0,3.0,152.0,12.0,2.0,79.0,41.0,46.0,64.0,74.0,143.0,32.0,53.0,10.0,14.0,154.0,40.0,107.0,71.0,73.0,69.0
3043,0.0,1.0,129.0,42.0,9.0,96.0,90.0,35.0,17.0,78.0,28.0,158.0,76.0,64.0,92.0,56.0,12.0,21.0,80.0,77.0,15.0,110.0,18.0,52.0,157.0,58.0,151.0,48.0,45.0,113.0
3092,2.0,6.0,9.0,16.0,7.0,11.0,108.0,63.0,48.0,14.0,43.0,1.0,44.0,159.0,21.0,61.0,5.0,136.0,15.0,88.0,55.0,65.0,30.0,42.0,115.0,81.0,155.0,68.0,71.0,95.0
3141,0.0,4.0,11.0,9.0,88.0,69.0,55.0,8.0,25.0,23.0,37.0,1.0,75.0,160.0,85.0,19.0,28.0,76.0,27.0,30.0,98.0,121.0,18.0,26.0,100.0,115.0,87.0,116.0,40.0,64.0
3190,0.0,8.0,13.0,15.0,49.0,148.0,39.0,58.0,33.0,40.0,3.0,18.0,19.0,4.0,43.0,35.0,42.0,1.0,32.0,57.0,89.0,71.0,99.0,34.0,136.0,151.0,127.0,44.0,60.0,92.0
3239,0.0,7.0,20.0,11.0,4.0,145.0,64.0,43.0,63.0,14.0,26.0,76.0,44.0,92.0,151.0,24.0,22.0,66.0,83.0,105.0,58.0,3.0,57.0,34.0,68.0,29.0,38.0,46.0,47.0,62.0
3288,0.0,1.0,125.0,23.0,3.0,155.0,37.0,33.0,36.0,8.0,17.0,118.0,12.0,42.0,10.0,30.0,35.0,69.0,73.0,6.0,45.0,4.0,67.0,28.0,7.0,149.0,153.0,65.0,44.0,18.0
3337,2.0,3.0,16.0,18.0,43.0,14.0,148.0,119.0,157.0,19.0,41.0,4.0,7.0,6.0,20.0,62.0,58.0,65.0,79.0,31.0,51.0,114.0,101.0,1.0,8.0,53.0,67.0,90.0,66.0,15.0
3386,1.0,5.0,23.0,28.0,103.0,105.0,133.0,4.0,67.0,43.0,16.0,3.0,7.0,2.0,108.0,24.0,47.0,117.0,65.0,30.0,21.0,18.0,119.0,12.0,126.0,68.0,49.0,59.0,41.0,92.0
3435,1.0,4.0,29.0,99.0,147.0,5.0,106.0,134.0,18.0,38.0,43.0,0.0,15.0,96.0,64.0,95.0,73.0,11.0,28.0,94.0,49.0,105.0,20.0,109.0,17.0,75.0,22.0,50.0,44.0,56.0
3484,3.0,17.0,28.0,47.0,31.0,12.0,145.0,36.0,73.0,22.0,23.0,6.0,60.0,42.0,96.0,35.0,27.0,19.0,39.0,86.0,92.0,13.0,15.0,84.0,115.0,101.0,156.0,50.0,57.0,121.0
3533,1.0,13.0,29.0,24.0,133.0,3.0,30.0,20.0,17.0,8.0,93.0,11.0,18.0,0.0,65.0,23.0,38.0,26.0,42.0,16.0,40.0,36.0,7.0,69.0,21.0,52.0,135.0,22.0,112.0,35.0
3582,16.0,8.0,43.0,1.0,6.0,147.0,110.0,67.0,153.0,4.0,164.0,59.0,75.0,74.0,64.0,146.0,26.0,46.0,55.0,9.0,20.0,29.0,0.0,15.0,32.0,58.0,3.0,2.0,38.0,49.0
3631,5.0,21.0,19.0,98.0,137.0,13.0,30.0,74.0,52.0,79.0,142.0,0.0,25.0,17.0,8.0,105.0,84.0,14.0,34.0,32.0,55.0,69.0,104.0,24.0,33.0,65.0,139.0,50.0,78.0,161.0
3680,11.0,6.0,24.0,15.0,63.0,0.0,10.0,76.0,20.0,19.0,17.0,2.0,28.0,75.0,30.0,36.0,50.0,116.0,14.0,103.0,41.0,83.0,16.0,31.0,22.0,104.0,9.0,43.0,60.0,18.0
3729,53.0,34.0,12.0,15.0,37.0,0.0,18.0,2.0,7.0,14.0,139.0,6.0,21.0,8.0,36.0,63.0,80.0,89.0,25.0,72.0,55.0,23.0,101.0,78.0,90.0,56.0,54.0,162.0,112.0,141.0
3778,3.0,40.0,132.0,136.0,32.0,2.0,7.0,52.0,14.0,94.0,99.0,0.0,16.0,1.0,25.0,51.0,22.0,70.0,39.0,55.0,66.0,85.0,17.0,23.0,65.0,154.0,11.0,102.0,59.0,92.0
3827,6.0,8.0,13.0,77.0,146.0,1.0,5.0,45.0,21.0,28.0,103.0,17.0,62.0,9.0,4.0,29.0,52.0,121.0,27.0,87.0,78.0,118.0,137.0,35.0,2.0,88.0,12.0,44.0,85.0,18.0
3876,1.0,59.0,126.0,66.0,3.0,152.0,22.0,19.0,16.0,89.0,114.0,9.0,7.0,23.0,104.0,42.0,26.0,97.0,60.0,72.0,57.0,79.0,95.0,50.0,54.0,38.0,4.0,49.0,65.0,69.0
3925,0.0,5.0,22.0,97.0,21.0,149.0,153.0,121.0,53.0,81.0,8.0,67.0,134.0,1.0,32.0,52.0,38.0,60.0,17.0,95.0,23.0,82.0,69.0,65.0,12.0,56.0,33.0,35.0,47.0,14.0
3974,0.0,3.0,75.0,34.0,19.0,163.0,13.0,17.0,151.0,54.0,28.0,105.0,99.0,14.0,69.0,49.0,76.0,51.0,12.0,47.0,24.0,52.0,41.0,143.0,111.0,32.0,20.0,35.0,72.0,91.0
4023,0.0,14.0,17.0,58.0,16.0,32.0,44.0,45.0,64.0,94.0,10.0,105.0,11.0,35.0,25.0,30.0,33.0,3.0,7.0,15.0,23.0,12.0,135.0,67.0,9.0,1.0,6.0,2.0,29.0,72.0
4072,1.0,5.0,2.0,35.0,34.0,4.0,55.0,64.0,27.0,15.0,160.0,154.0,125.0,43.0,53.0,48.0,16.0,29.0,50.0,31.0,44.0,84.0,32.0,80.0,18.0,73.0,42.0,6.0,67.0,12.0
4121,4.0,2.0,11.0,69.0,16.0,147.0,19.0,79.0,8.0,49.0,14.0,126.0,99.0,39.0,30.0,45.0,13.0,28.0,64.0,18.0,25.0,54.0,37.0,63.0,5.0,36.0,27.0,164.0,46.0,83.0
4170,0.0,39.0,22.0,50.0,3.0,19.0,51.0,32.0,12.0,54.0,130.0,1.0,120.0,75.0,65.0,71.0,76.0,133.0,66.0,103.0,40.0,106.0,10.0,109.0,58.0,84.0,15.0,64.0,63.0,24.0
4219,0.0,4.0,20.0,15.0,105.0,9.0,103.0,31.0,22.0,28.0,8.0,155.0,72.0,5.0,159.0,26.0,34.0,62.0,27.0,92.0,48.0,57.0,24.0,65.0,14.0,23.0,1.0,38.0,44.0,78.0
4268,2.0,22.0,15.0,11.0,3.0,103.0,19.0,35.0,36.0,109.0,14.0,0.0,25.0,1.0,159.0,58.0,33.0,85.0,44.0,75.0,23.0,69.0,65.0,34.0,20.0,31.0,12.0,144.0,53.0,62.0
4317,0.0,2.0,81.0,58.0,26.0,8.0,102.0,31.0,25.0,85.0,13.0,1.0,67.0,108.0,160.0,27.0,32.0,5.0,50.0,53.0,48.0,52.0,69.0,90.0,23.0,40.0,11.0,74.0,39.0,15.0
4366,2.0,5.0,16.0,47.0,0.0,151.0,39.0,41.0,6.0,84.0,10.0,153.0,122.0,18.0,88.0,45.0,29.0,119.0,74.0,15.0,22.0,113.0,55.0,72.0,38.0,30.0,52.0,13.0,35.0,81.0
4415,1.0,27.0,31.0,43.0,66.0,4.0,18.0,32.0,62.0,56.0,87.0,2.0,0.0,16.0,3.0,40.0,48.0,41.0,25.0,34.0,52.0,46.0,102.0,19.0,94.0,45.0,5.0,37.0,58.0,30.0
4464,0.0,58.0,3.0,68.0,26.0,1.0,22.0,43.0,109.0,35.0,87.0,62.0,19.0,63.0,46.0,16.0,20.0,49.0,90.0,31.0,56.0,33.0,7.0,92.0,91.0,79.0,29.0,2.0,88.0,9.0
4513,0.0,47.0,24.0,20.0,70.0,4.0,50.0,29.0,53.0,7.0,67.0,6.0,21.0,23.0,36.0,74.0,48.0,11.0,66.0,40.0,57.0,14.0,81.0,26.0,3.0,43.0,87.0,46.0,39.0,35.0
4562,0.0,17.0,124.0,7.0,37.0,18.0,24.0,25.0,78.0,20.0,61.0,1.0,132.0,70.0,159.0,31.0,41.0,27.0,84.0,6.0,88.0,45.0,89.0,47.0,46.0,60.0,64.0,144.0,66.0,26.0
4611,1.0,58.0,39.0,26.0,74.0,18.0,13.0,24.0,2.0,56.0,64.0,163.0,126.0,22.0,151.0,55.0,95.0,59.0,96.0,33.0,32.0,51.0,140.0,50.0,42.0,148.0,67.0,57.0,93.0,101.0
4660,2.0,10.0,8.0,28.0,26.0,0.0,111.0,18.0,29.0,17.0,72.0,7.0,54.0,107.0,24.0,62.0,27.0,34.0,31.0,4.0,44.0,37.0,113.0,73.0,138.0,63.0,41.0,9.0,74.0,50.0
4709,1.0,38.0,110.0,18.0,40.0,8.0,25.0,103.0,108.0,0.0,98.0,13.0,12.0,69.0,5.0,28.0,106.0,77.0,51.0,21.0,76.0,42.0,56.0,48.0,116.0,143.0,164.0,45.0,100.0,57.0
4758,0.0,53.0,50.0,18.0,15.0,128.0,58.0,45.0,49.0,7.0,28.0,138.0,63.0,39.0,137.0,20.0,55.0,94.0,43.0,8.0,25.0,40.0,100.0,59.0,139.0,3.0,141.0,154.0,95.0,91.0
4807,0.0,20.0,22.0,23.0,30.0,24.0,10.0,9.0,108.0,32.0,73.0,1.0,46.0,11.0,3.0,87.0,26.0,51.0,44.0,145.0,37.0,57.0,29.0,66.0,126.0,93.0,7.0,35.0,58.0,107.0
4856,16.0,102.0,122.0,10.0,34.0,150.0,27.0,5.0,36.0,65.0,55.0,14.0,1.0,24.0,153.0,32.0,22.0,49.0,3.0,12.0,57.0,53.0,63.0,76.0,152.0,19.0,98.0,0.0,50.0,89.0
