,uracil,inositol,1-methylnicotinamide,2-deoxycytidine,pantothenate,N-carbamoyl-beta-alanine,GABA,2-deoxyadenosine,sarcosine,oxalate,niacinamide,C18:0 LPC,putrescine,palmitoylcarnitine,carnitine,C16:0 LPE,C56:5 TAG,C18:0 LPE,C20:4 CE,C22:6 CE,DHAP/glyceraldehyde 3P,alpha-glycerophosphate,C36:4 PC-B,C34:4 PC,C34:2 DAG,beta-alanine,C36:1 DAG,C22:6 LPE,dCMP,taurodeoxycholate
713,3.0,0.0,44.0,32.0,6.0,5.0,22.0,1.0,10.0,7.0,15.0,9.0,20.0,11.0,19.0,37.0,13.0,41.0,27.0,26.0,30.0,25.0,33.0,39.0,40.0,42.0,29.0,35.0,49.0,2.0
762,2.0,4.0,6.0,12.0,31.0,8.0,20.0,29.0,42.0,53.0,64.0,33.0,35.0,16.0,34.0,30.0,3.0,5.0,40.0,24.0,10.0,23.0,26.0,22.0,0.0,7.0,37.0,41.0,47.0,1.0
811,1.0,0.0,19.0,8.0,31.0,61.0,60.0,5.0,42.0,4.0,62.0,15.0,37.0,13.0,36.0,11.0,20.0,33.0,38.0,24.0,25.0,45.0,6.0,35.0,7.0,34.0,2.0,39.0,9.0,27.0
860,5.0,18.0,9.0,6.0,1.0,10.0,0.0,29.0,20.0,53.0,12.0,2.0,4.0,39.0,42.0,31.0,11.0,30.0,7.0,23.0,24.0,22.0,26.0,28.0,36.0,21.0,37.0,33.0,48.0,27.0
909,24.0,12.0,22.0,15.0,26.0,19.0,4.0,1.0,20.0,10.0,23.0,13.0,17.0,21.0,3.0,35.0,18.0,39.0,33.0,2.0,31.0,34.0,30.0,40.0,32.0,14.0,41.0,8.0,49.0,54.0
958,4.0,1.0,40.0,7.0,29.0,13.0,2.0,0.0,34.0,54.0,8.0,20.0,39.0,33.0,16.0,30.0,6.0,26.0,22.0,11.0,23.0,12.0,24.0,35.0,37.0,36.0,38.0,27.0,48.0,25.0
1007,28.0,18.0,29.0,7.0,2.0,6.0,11.0,0.0,34.0,5.0,8.0,13.0,4.0,14.0,17.0,19.0,62.0,21.0,1.0,12.0,24.0,27.0,10.0,23.0,25.0,35.0,26.0,9.0,45.0,53.0
1056,30.0,12.0,10.0,18.0,4.0,6.0,16.0,0.0,3.0,27.0,63.0,29.0,19.0,35.0,14.0,11.0,17.0,28.0,37.0,38.0,1.0,23.0,2.0,8.0,24.0,26.0,7.0,25.0,45.0,53.0
1105,26.0,1.0,2.0,4.0,6.0,9.0,17.0,3.0,14.0,31.0,0.0,15.0,37.0,18.0,36.0,7.0,60.0,13.0,11.0,12.0,23.0,21.0,29.0,30.0,25.0,35.0,24.0,32.0,10.0,28.0
1154,8.0,25.0,3.0,29.0,9.0,2.0,63.0,10.0,24.0,33.0,35.0,1.0,5.0,23.0,19.0,28.0,15.0,40.0,41.0,16.0,21.0,13.0,12.0,34.0,26.0,7.0,18.0,31.0,47.0,55.0
1203,35.0,21.0,2.0,37.0,33.0,16.0,60.0,23.0,9.0,32.0,17.0,11.0,5.0,8.0,18.0,29.0,14.0,22.0,0.0,3.0,48.0,24.0,40.0,43.0,28.0,12.0,6.0,7.0,26.0,52.0
1252,61.0,0.0,8.0,2.0,4.0,14.0,11.0,1.0,23.0,49.0,7.0,24.0,48.0,22.0,47.0,10.0,13.0,20.0,15.0,12.0,3.0,28.0,16.0,25.0,44.0,38.0,45.0,19.0,42.0,6.0
1301,8.0,21.0,3.0,10.0,27.0,5.0,30.0,54.0,2.0,28.0,4.0,1.0,41.0,36.0,16.0,14.0,31.0,18.0,11.0,13.0,49.0,20.0,25.0,39.0,37.0,38.0,34.0,40.0,48.0,24.0
1350,4.0,3.0,11.0,2.0,0.0,5.0,60.0,25.0,1.0,29.0,16.0,9.0,34.0,6.0,33.0,15.0,61.0,18.0,37.0,21.0,7.0,20.0,8.0,27.0,30.0,39.0,31.0,19.0,24.0,50.0
1399,1.0,56.0,4.0,6.0,22.0,17.0,12.0,0.0,8.0,23.0,11.0,9.0,36.0,15.0,37.0,27.0,62.0,32.0,31.0,35.0,5.0,25.0,26.0,24.0,40.0,16.0,2.0,21.0,29.0,53.0
1448,7.0,0.0,4.0,10.0,2.0,14.0,19.0,1.0,16.0,28.0,17.0,29.0,30.0,15.0,38.0,26.0,18.0,34.0,36.0,37.0,3.0,42.0,11.0,23.0,22.0,5.0,12.0,24.0,46.0,9.0
1497,24.0,3.0,9.0,7.0,5.0,11.0,21.0,1.0,17.0,6.0,10.0,13.0,36.0,41.0,14.0,2.0,63.0,23.0,0.0,29.0,8.0,27.0,31.0,38.0,42.0,4.0,30.0,28.0,32.0,55.0
1546,50.0,56.0,15.0,26.0,6.0,4.0,8.0,29.0,18.0,7.0,0.0,32.0,14.0,34.0,13.0,1.0,16.0,22.0,11.0,37.0,2.0,28.0,36.0,35.0,25.0,19.0,3.0,24.0,44.0,53.0
1595,24.0,5.0,28.0,32.0,26.0,17.0,29.0,23.0,3.0,8.0,1.0,2.0,14.0,20.0,34.0,27.0,61.0,33.0,15.0,31.0,12.0,42.0,11.0,36.0,22.0,25.0,10.0,18.0,45.0,6.0
1644,30.0,18.0,20.0,8.0,3.0,15.0,11.0,41.0,17.0,0.0,1.0,9.0,21.0,38.0,12.0,2.0,13.0,31.0,10.0,26.0,4.0,24.0,34.0,33.0,36.0,6.0,27.0,32.0,46.0,5.0
1693,1.0,22.0,0.0,2.0,9.0,16.0,14.0,65.0,8.0,31.0,17.0,38.0,37.0,21.0,18.0,24.0,60.0,26.0,5.0,4.0,33.0,3.0,42.0,40.0,36.0,6.0,30.0,41.0,32.0,53.0
1742,65.0,30.0,7.0,8.0,9.0,3.0,2.0,6.0,39.0,0.0,4.0,20.0,16.0,38.0,17.0,21.0,11.0,22.0,1.0,46.0,34.0,45.0,23.0,42.0,24.0,19.0,44.0,41.0,47.0,33.0
1791,51.0,18.0,3.0,31.0,23.0,11.0,22.0,25.0,35.0,9.0,63.0,12.0,14.0,8.0,15.0,0.0,32.0,10.0,1.0,29.0,28.0,30.0,2.0,37.0,6.0,7.0,5.0,24.0,44.0,52.0
1840,4.0,15.0,11.0,7.0,5.0,13.0,16.0,65.0,2.0,6.0,18.0,40.0,8.0,19.0,34.0,20.0,21.0,42.0,10.0,25.0,31.0,46.0,37.0,39.0,33.0,3.0,9.0,36.0,28.0,52.0
1889,0.0,17.0,11.0,8.0,32.0,15.0,13.0,4.0,2.0,31.0,1.0,12.0,40.0,37.0,7.0,30.0,62.0,28.0,24.0,22.0,46.0,43.0,34.0,9.0,36.0,5.0,10.0,3.0,25.0,29.0
1938,23.0,0.0,9.0,14.0,6.0,2.0,21.0,13.0,35.0,7.0,5.0,45.0,46.0,34.0,38.0,20.0,65.0,10.0,1.0,44.0,36.0,24.0,11.0,41.0,42.0,18.0,43.0,40.0,30.0,52.0
1987,1.0,22.0,0.0,6.0,2.0,11.0,7.0,31.0,38.0,5.0,21.0,3.0,13.0,16.0,41.0,34.0,12.0,32.0,40.0,25.0,8.0,45.0,36.0,29.0,37.0,28.0,39.0,30.0,9.0,4.0
2036,33.0,1.0,7.0,0.0,6.0,17.0,2.0,5.0,19.0,35.0,25.0,9.0,50.0,12.0,24.0,21.0,4.0,48.0,14.0,47.0,10.0,29.0,44.0,11.0,15.0,39.0,46.0,16.0,37.0,30.0
2085,4.0,10.0,15.0,0.0,1.0,2.0,60.0,65.0,14.0,6.0,62.0,7.0,12.0,13.0,11.0,30.0,20.0,39.0,9.0,25.0,3.0,44.0,40.0,28.0,32.0,5.0,33.0,38.0,34.0,22.0
2134,2.0,25.0,3.0,1.0,8.0,15.0,59.0,0.0,21.0,30.0,14.0,6.0,37.0,20.0,17.0,7.0,60.0,31.0,12.0,26.0,11.0,16.0,38.0,23.0,29.0,40.0,34.0,32.0,28.0,10.0
2183,5.0,22.0,4.0,9.0,0.0,7.0,15.0,2.0,11.0,27.0,17.0,23.0,38.0,12.0,13.0,3.0,16.0,28.0,34.0,30.0,6.0,29.0,37.0,32.0,35.0,10.0,41.0,31.0,36.0,1.0
2232,0.0,6.0,14.0,24.0,7.0,17.0,5.0,9.0,35.0,29.0,18.0,3.0,15.0,19.0,16.0,26.0,32.0,27.0,10.0,34.0,2.0,44.0,28.0,13.0,25.0,38.0,37.0,30.0,11.0,54.0
2281,1.0,28.0,15.0,3.0,8.0,55.0,4.0,24.0,38.0,31.0,12.0,6.0,7.0,17.0,57.0,19.0,11.0,2.0,22.0,23.0,5.0,27.0,43.0,20.0,21.0,39.0,45.0,40.0,33.0,0.0
2330,2.0,4.0,8.0,7.0,6.0,19.0,20.0,0.0,14.0,25.0,3.0,5.0,13.0,41.0,38.0,1.0,11.0,26.0,29.0,9.0,35.0,27.0,32.0,37.0,42.0,15.0,34.0,30.0,33.0,31.0
2379,1.0,5.0,14.0,0.0,2.0,4.0,59.0,65.0,36.0,7.0,3.0,34.0,18.0,21.0,19.0,27.0,60.0,29.0,26.0,17.0,32.0,16.0,40.0,6.0,10.0,41.0,30.0,31.0,11.0,9.0
2428,2.0,1.0,7.0,20.0,9.0,64.0,13.0,22.0,39.0,25.0,17.0,21.0,41.0,12.0,36.0,23.0,16.0,38.0,27.0,33.0,3.0,24.0,42.0,37.0,4.0,40.0,28.0,26.0,31.0,29.0
2477,2.0,20.0,12.0,1.0,9.0,33.0,6.0,4.0,8.0,26.0,10.0,14.0,40.0,37.0,21.0,18.0,60.0,3.0,17.0,25.0,47.0,32.0,7.0,28.0,31.0,13.0,35.0,39.0,46.0,0.0
2526,0.0,15.0,4.0,26.0,9.0,7.0,16.0,6.0,17.0,2.0,22.0,40.0,1.0,10.0,29.0,34.0,61.0,5.0,38.0,14.0,11.0,43.0,36.0,8.0,37.0,32.0,25.0,35.0,3.0,54.0
2575,51.0,54.0,0.0,14.0,3.0,12.0,20.0,33.0,2.0,49.0,62.0,1.0,16.0,19.0,4.0,24.0,15.0,34.0,32.0,30.0,9.0,42.0,7.0,5.0,38.0,28.0,29.0,27.0,10.0,6.0
2624,28.0,57.0,3.0,1.0,11.0,0.0,9.0,33.0,8.0,31.0,63.0,21.0,42.0,41.0,15.0,27.0,14.0,5.0,37.0,30.0,36.0,26.0,23.0,32.0,7.0,38.0,39.0,10.0,4.0,24.0
2673,2.0,55.0,0.0,1.0,11.0,18.0,12.0,65.0,13.0,10.0,19.0,17.0,21.0,39.0,20.0,24.0,60.0,3.0,31.0,34.0,5.0,46.0,38.0,30.0,36.0,41.0,42.0,27.0,4.0,26.0
2722,18.0,6.0,0.0,3.0,29.0,33.0,15.0,21.0,12.0,4.0,62.0,1.0,35.0,37.0,34.0,39.0,10.0,7.0,9.0,42.0,24.0,20.0,5.0,30.0,28.0,11.0,41.0,40.0,23.0,2.0
2771,32.0,27.0,6.0,1.0,13.0,3.0,22.0,24.0,14.0,29.0,62.0,10.0,18.0,2.0,17.0,33.0,9.0,11.0,37.0,38.0,5.0,43.0,8.0,35.0,26.0,0.0,36.0,34.0,4.0,52.0
2820,54.0,5.0,3.0,2.0,7.0,9.0,12.0,18.0,8.0,51.0,13.0,25.0,19.0,37.0,4.0,1.0,11.0,26.0,33.0,6.0,45.0,23.0,29.0,28.0,30.0,24.0,34.0,35.0,31.0,57.0
2869,3.0,55.0,9.0,1.0,5.0,12.0,16.0,0.0,13.0,6.0,19.0,25.0,14.0,23.0,20.0,24.0,15.0,2.0,10.0,26.0,46.0,11.0,7.0,40.0,28.0,30.0,37.0,35.0,8.0,52.0
2918,1.0,13.0,2.0,0.0,19.0,62.0,59.0,8.0,9.0,5.0,63.0,35.0,11.0,34.0,12.0,4.0,60.0,3.0,37.0,38.0,23.0,28.0,14.0,6.0,22.0,15.0,25.0,36.0,24.0,52.0
2967,0.0,1.0,16.0,27.0,31.0,13.0,6.0,30.0,42.0,4.0,61.0,37.0,38.0,2.0,15.0,32.0,60.0,5.0,23.0,9.0,49.0,45.0,26.0,28.0,25.0,39.0,8.0,10.0,48.0,56.0
3016,3.0,4.0,5.0,18.0,26.0,1.0,62.0,6.0,20.0,11.0,7.0,33.0,14.0,36.0,19.0,2.0,17.0,9.0,8.0,0.0,28.0,23.0,38.0,31.0,32.0,30.0,27.0,34.0,44.0,52.0
3065,0.0,8.0,1.0,6.0,3.0,14.0,11.0,31.0,37.0,32.0,16.0,33.0,34.0,30.0,19.0,2.0,21.0,7.0,38.0,10.0,27.0,44.0,29.0,4.0,28.0,36.0,9.0,40.0,26.0,23.0
3114,50.0,54.0,18.0,7.0,1.0,0.0,17.0,13.0,16.0,2.0,12.0,23.0,34.0,4.0,19.0,6.0,62.0,27.0,11.0,25.0,9.0,24.0,32.0,8.0,14.0,21.0,10.0,38.0,44.0,52.0
3163,7.0,0.0,2.0,29.0,8.0,4.0,19.0,10.0,38.0,9.0,3.0,1.0,39.0,25.0,20.0,5.0,18.0,6.0,12.0,41.0,13.0,15.0,34.0,32.0,11.0,37.0,31.0,26.0,30.0,55.0
3212,7.0,12.0,17.0,16.0,0.0,9.0,14.0,61.0,34.0,30.0,55.0,5.0,13.0,27.0,26.0,2.0,52.0,6.0,1.0,25.0,10.0,45.0,11.0,22.0,23.0,35.0,24.0,21.0,32.0,62.0
3261,1.0,9.0,0.0,2.0,7.0,5.0,16.0,19.0,14.0,3.0,57.0,15.0,45.0,8.0,37.0,4.0,55.0,10.0,42.0,21.0,28.0,43.0,18.0,11.0,40.0,34.0,12.0,38.0,25.0,29.0
3310,34.0,4.0,16.0,12.0,1.0,9.0,11.0,19.0,37.0,31.0,62.0,43.0,14.0,10.0,40.0,0.0,60.0,27.0,2.0,42.0,25.0,8.0,30.0,5.0,3.0,36.0,26.0,44.0,48.0,7.0
3359,33.0,1.0,26.0,16.0,32.0,0.0,4.0,3.0,5.0,2.0,17.0,21.0,13.0,20.0,47.0,6.0,15.0,7.0,25.0,12.0,9.0,30.0,42.0,23.0,11.0,36.0,24.0,22.0,10.0,62.0
3408,20.0,0.0,7.0,36.0,4.0,16.0,10.0,6.0,14.0,23.0,18.0,41.0,2.0,13.0,40.0,3.0,12.0,1.0,9.0,17.0,8.0,30.0,38.0,5.0,39.0,34.0,31.0,37.0,24.0,51.0
3457,4.0,0.0,14.0,9.0,3.0,62.0,12.0,22.0,37.0,5.0,8.0,28.0,15.0,6.0,38.0,1.0,18.0,25.0,33.0,2.0,32.0,11.0,29.0,21.0,30.0,35.0,31.0,27.0,24.0,52.0
3506,6.0,57.0,31.0,3.0,1.0,14.0,18.0,23.0,41.0,2.0,19.0,33.0,42.0,39.0,5.0,4.0,17.0,34.0,25.0,0.0,11.0,24.0,27.0,32.0,36.0,15.0,26.0,7.0,48.0,55.0
3555,9.0,8.0,32.0,5.0,10.0,6.0,28.0,1.0,35.0,3.0,24.0,36.0,16.0,0.0,33.0,18.0,62.0,37.0,29.0,13.0,45.0,42.0,2.0,25.0,15.0,4.0,12.0,14.0,44.0,54.0
3604,33.0,0.0,19.0,22.0,2.0,15.0,14.0,23.0,39.0,3.0,16.0,10.0,38.0,12.0,7.0,1.0,21.0,30.0,25.0,4.0,49.0,24.0,6.0,8.0,28.0,40.0,26.0,36.0,27.0,9.0
3653,34.0,21.0,18.0,5.0,32.0,16.0,8.0,3.0,11.0,2.0,17.0,30.0,15.0,9.0,14.0,1.0,61.0,37.0,0.0,6.0,47.0,4.0,27.0,28.0,26.0,10.0,38.0,31.0,46.0,55.0
3702,0.0,8.0,10.0,2.0,1.0,7.0,15.0,23.0,40.0,5.0,14.0,41.0,13.0,20.0,43.0,4.0,21.0,32.0,9.0,24.0,26.0,46.0,12.0,36.0,38.0,6.0,39.0,31.0,49.0,56.0
3751,3.0,13.0,8.0,29.0,1.0,4.0,32.0,16.0,10.0,2.0,62.0,34.0,31.0,9.0,14.0,0.0,5.0,20.0,28.0,38.0,46.0,30.0,6.0,35.0,36.0,11.0,37.0,22.0,26.0,52.0
3800,24.0,3.0,12.0,6.0,5.0,10.0,59.0,22.0,4.0,0.0,17.0,39.0,9.0,15.0,40.0,31.0,60.0,25.0,11.0,26.0,33.0,44.0,1.0,27.0,37.0,19.0,30.0,38.0,34.0,53.0
3849,26.0,1.0,41.0,8.0,6.0,13.0,62.0,54.0,22.0,3.0,15.0,35.0,36.0,21.0,16.0,24.0,14.0,40.0,9.0,0.0,28.0,10.0,12.0,37.0,34.0,4.0,2.0,27.0,47.0,53.0
3898,51.0,5.0,19.0,8.0,11.0,4.0,16.0,65.0,40.0,10.0,62.0,13.0,18.0,14.0,17.0,3.0,60.0,33.0,26.0,24.0,6.0,44.0,29.0,0.0,30.0,7.0,38.0,39.0,46.0,22.0
3947,53.0,7.0,5.0,21.0,8.0,2.0,3.0,28.0,15.0,4.0,12.0,39.0,17.0,37.0,6.0,9.0,22.0,41.0,20.0,35.0,25.0,18.0,33.0,42.0,38.0,34.0,29.0,26.0,48.0,23.0
3996,1.0,5.0,10.0,17.0,32.0,0.0,12.0,35.0,6.0,31.0,63.0,9.0,19.0,13.0,3.0,8.0,14.0,22.0,2.0,38.0,47.0,43.0,25.0,7.0,23.0,18.0,11.0,30.0,24.0,52.0
4045,1.0,5.0,0.0,41.0,30.0,6.0,60.0,22.0,13.0,27.0,63.0,20.0,17.0,15.0,35.0,29.0,61.0,38.0,24.0,39.0,46.0,3.0,2.0,12.0,25.0,37.0,8.0,36.0,7.0,21.0
4094,1.0,0.0,16.0,29.0,33.0,14.0,60.0,27.0,19.0,9.0,15.0,39.0,3.0,34.0,37.0,21.0,61.0,5.0,2.0,41.0,25.0,23.0,36.0,28.0,38.0,35.0,7.0,30.0,6.0,22.0
4143,5.0,4.0,17.0,20.0,33.0,0.0,19.0,18.0,9.0,7.0,14.0,8.0,15.0,11.0,40.0,37.0,60.0,1.0,10.0,42.0,26.0,47.0,27.0,3.0,41.0,43.0,36.0,16.0,25.0,22.0
4192,2.0,14.0,5.0,18.0,23.0,4.0,59.0,19.0,10.0,11.0,62.0,12.0,7.0,15.0,39.0,1.0,60.0,22.0,0.0,33.0,30.0,24.0,3.0,9.0,35.0,37.0,29.0,25.0,6.0,51.0
4241,3.0,4.0,1.0,17.0,32.0,12.0,19.0,10.0,6.0,31.0,13.0,2.0,20.0,38.0,7.0,33.0,62.0,5.0,0.0,40.0,45.0,23.0,22.0,8.0,27.0,39.0,26.0,34.0,25.0,54.0
4290,3.0,11.0,1.0,31.0,33.0,9.0,21.0,37.0,20.0,52.0,12.0,7.0,10.0,19.0,14.0,4.0,62.0,42.0,0.0,25.0,8.0,24.0,32.0,6.0,30.0,41.0,28.0,5.0,27.0,23.0
4339,0.0,22.0,1.0,24.0,13.0,17.0,61.0,40.0,8.0,12.0,18.0,11.0,14.0,21.0,39.0,31.0,16.0,29.0,5.0,38.0,45.0,25.0,36.0,10.0,26.0,4.0,7.0,30.0,6.0,23.0
4388,34.0,0.0,3.0,35.0,32.0,9.0,62.0,54.0,15.0,52.0,10.0,8.0,7.0,14.0,5.0,33.0,19.0,2.0,23.0,41.0,25.0,45.0,27.0,30.0,39.0,38.0,40.0,29.0,24.0,65.0
4437,4.0,3.0,18.0,37.0,5.0,14.0,19.0,0.0,8.0,32.0,60.0,9.0,42.0,11.0,17.0,13.0,58.0,22.0,1.0,24.0,27.0,23.0,39.0,6.0,29.0,2.0,25.0,31.0,26.0,28.0
4486,7.0,30.0,14.0,10.0,28.0,4.0,18.0,45.0,24.0,53.0,3.0,5.0,40.0,19.0,43.0,0.0,17.0,27.0,22.0,38.0,29.0,16.0,26.0,41.0,39.0,21.0,36.0,9.0,48.0,34.0
4535,33.0,3.0,1.0,35.0,10.0,0.0,23.0,4.0,22.0,2.0,45.0,25.0,16.0,5.0,36.0,37.0,63.0,9.0,26.0,42.0,29.0,46.0,7.0,8.0,39.0,24.0,27.0,43.0,28.0,56.0
4584,30.0,22.0,6.0,0.0,11.0,5.0,2.0,12.0,21.0,52.0,1.0,32.0,42.0,23.0,17.0,10.0,62.0,13.0,41.0,36.0,16.0,14.0,33.0,28.0,27.0,37.0,38.0,19.0,15.0,7.0
4633,0.0,3.0,17.0,4.0,8.0,1.0,15.0,20.0,5.0,29.0,62.0,28.0,38.0,2.0,16.0,30.0,60.0,9.0,37.0,39.0,6.0,23.0,26.0,27.0,25.0,43.0,22.0,42.0,48.0,55.0
4682,55.0,1.0,0.0,16.0,31.0,2.0,7.0,17.0,34.0,52.0,64.0,32.0,40.0,21.0,10.0,8.0,4.0,9.0,39.0,23.0,26.0,22.0,30.0,35.0,28.0,33.0,27.0,36.0,25.0,58.0
4731,5.0,2.0,10.0,9.0,6.0,12.0,0.0,40.0,14.0,52.0,62.0,27.0,35.0,8.0,34.0,24.0,60.0,26.0,33.0,32.0,47.0,1.0,39.0,29.0,11.0,17.0,30.0,36.0,46.0,4.0
4780,30.0,53.0,0.0,9.0,4.0,14.0,1.0,3.0,18.0,6.0,13.0,7.0,56.0,10.0,2.0,20.0,54.0,21.0,43.0,44.0,8.0,29.0,22.0,40.0,23.0,19.0,42.0,39.0,32.0,57.0
4829,55.0,0.0,3.0,22.0,28.0,11.0,2.0,1.0,4.0,6.0,12.0,20.0,21.0,17.0,15.0,29.0,63.0,7.0,35.0,33.0,9.0,26.0,31.0,42.0,10.0,41.0,36.0,37.0,49.0,23.0
4878,0.0,1.0,4.0,19.0,7.0,10.0,28.0,27.0,5.0,3.0,17.0,24.0,22.0,33.0,66.0,38.0,21.0,6.0,11.0,46.0,13.0,12.0,25.0,41.0,43.0,23.0,26.0,40.0,8.0,59.0
