,PDLIM4,NDN,CTD-2231H16.1,MEIS3P1,BHLHE41,FBXL7,TWIST2,CASC9,RP11-12D24.6,NUP210,ACOT1,GGT6,UCHL1,PCDHB17,GLB1L2,UNC5B,RP11-834C11.4,PRKCQ-AS1,BMPR1B,RP11-745O10.2,CP,LINC00839,GDPD5,ZNF215,DACH1,LXN,ACOT2,ADM,ATP6V0D2,MRC2
1037,4.0,0.0,2.0,5.0,12.0,13.0,32.0,7.0,11.0,9.0,6.0,3.0,157.0,212.0,1.0,19.0,25.0,35.0,134.0,87.0,21.0,86.0,20.0,233.0,76.0,145.0,8.0,92.0,29.0,30.0
1086,1.0,2.0,5.0,6.0,11.0,67.0,10.0,0.0,7.0,26.0,65.0,3.0,38.0,27.0,4.0,18.0,135.0,60.0,91.0,52.0,176.0,21.0,71.0,74.0,50.0,1324.0,28.0,145.0,86.0,22.0
1135,1.0,0.0,8.0,9.0,4.0,35.0,25.0,20.0,21.0,55.0,5.0,46.0,307.0,45.0,2.0,39.0,67.0,12.0,97.0,13.0,38.0,14.0,15.0,3.0,54.0,84.0,18.0,33.0,82.0,165.0
1184,1.0,0.0,7.0,6.0,11.0,147.0,10.0,3.0,12.0,39.0,13.0,4.0,8.0,132.0,5.0,16.0,48.0,66.0,68.0,9.0,20.0,52.0,17.0,15.0,148.0,403.0,14.0,29.0,47.0,21.0
1233,6.0,10.0,36.0,1.0,21.0,110.0,4.0,0.0,717.0,69.0,8.0,5.0,25.0,1720.0,3.0,9.0,39.0,119.0,203.0,2.0,31.0,17.0,48.0,13.0,422.0,56.0,32.0,7.0,20.0,12.0
1282,5.0,0.0,1.0,4.0,6.0,30.0,2.0,7.0,9.0,37.0,16.0,3.0,10.0,67.0,28.0,22.0,73.0,83.0,1170.0,8.0,20.0,147.0,92.0,45.0,116.0,87.0,15.0,43.0,78.0,113.0
1331,1.0,0.0,2.0,3.0,30.0,32.0,7.0,23.0,5.0,22.0,13.0,24.0,4.0,107.0,6.0,11.0,91.0,20.0,26.0,10.0,33.0,119.0,166.0,14.0,93.0,111.0,18.0,19.0,61.0,21.0
1380,2.0,10.0,12.0,9.0,1.0,7.0,21.0,0.0,4.0,19.0,8.0,16.0,74.0,340.0,5.0,35.0,3.0,236.0,23.0,14.0,33.0,6.0,62.0,53.0,48.0,148.0,15.0,84.0,872.0,76.0
1429,1.0,27.0,0.0,15.0,12.0,49.0,3.0,8.0,4.0,18.0,13.0,5.0,11.0,147.0,19.0,17.0,16.0,53.0,45.0,59.0,2.0,43.0,40.0,9.0,31.0,382.0,14.0,25.0,87.0,66.0
1478,1.0,3.0,0.0,10.0,7.0,5.0,15.0,125.0,6.0,2.0,24.0,20.0,60.0,9.0,67.0,32.0,8.0,39.0,64.0,87.0,13.0,4.0,12.0,475.0,40.0,42.0,49.0,35.0,332.0,71.0
1527,0.0,3.0,1.0,17.0,14.0,16.0,46.0,9.0,2.0,8.0,63.0,62.0,274.0,22.0,446.0,55.0,34.0,12.0,11.0,15.0,43.0,72.0,7.0,158.0,112.0,166.0,123.0,52.0,83.0,29.0
1576,2.0,0.0,1.0,4.0,6.0,23.0,17.0,42.0,10.0,5.0,32.0,25.0,37.0,8.0,132.0,26.0,16.0,78.0,22.0,19.0,3.0,11.0,9.0,45.0,48.0,298.0,36.0,27.0,499.0,51.0
1625,0.0,5.0,1.0,8.0,3.0,23.0,12.0,54.0,15.0,13.0,124.0,34.0,187.0,2.0,58.0,7.0,70.0,19.0,42.0,21.0,24.0,11.0,16.0,118.0,38.0,6.0,81.0,90.0,749.0,35.0
1674,1.0,32.0,0.0,2.0,5.0,10.0,9.0,82.0,3.0,4.0,11.0,188.0,20.0,8.0,27.0,15.0,83.0,21.0,17.0,16.0,23.0,98.0,7.0,70.0,25.0,93.0,22.0,75.0,238.0,135.0
1723,1.0,4.0,0.0,23.0,57.0,12.0,14.0,1297.0,33.0,3.0,78.0,92.0,349.0,2.0,174.0,169.0,40.0,35.0,213.0,104.0,1829.0,46.0,123.0,7.0,677.0,24.0,91.0,19.0,85.0,237.0
1772,0.0,12.0,1.0,6.0,23.0,52.0,2.0,40.0,146.0,5.0,33.0,14.0,32.0,654.0,162.0,29.0,15.0,8.0,17.0,9.0,3.0,84.0,25.0,39.0,59.0,41.0,54.0,13.0,1209.0,56.0
1821,0.0,13.0,3.0,2.0,6.0,14.0,38.0,26.0,5.0,1.0,84.0,42.0,19.0,4.0,41.0,27.0,120.0,78.0,46.0,24.0,175.0,34.0,10.0,75.0,16.0,23.0,62.0,111.0,747.0,143.0
1870,3.0,6.0,1.0,33.0,21.0,26.0,13.0,9.0,0.0,4.0,8.0,98.0,155.0,29.0,238.0,135.0,19.0,36.0,14.0,171.0,11.0,62.0,48.0,73.0,20.0,943.0,93.0,59.0,981.0,266.0
1919,0.0,6.0,1.0,9.0,7.0,8.0,89.0,78.0,3.0,5.0,44.0,40.0,716.0,2.0,116.0,16.0,92.0,13.0,12.0,36.0,10.0,27.0,21.0,4.0,24.0,374.0,60.0,29.0,228.0,32.0
1968,2.0,3.0,0.0,18.0,1.0,7.0,8.0,67.0,25.0,321.0,53.0,114.0,236.0,14.0,6.0,5.0,35.0,40.0,11.0,22.0,84.0,19.0,4.0,83.0,16.0,12.0,68.0,119.0,20.0,33.0
2017,7.0,0.0,5.0,96.0,2.0,8.0,4.0,9.0,115.0,53.0,37.0,28.0,539.0,6.0,55.0,1.0,47.0,38.0,11.0,165.0,46.0,25.0,3.0,233.0,19.0,44.0,93.0,52.0,10.0,15.0
2066,1.0,0.0,5.0,20.0,4.0,2.0,42.0,38.0,18.0,272.0,33.0,8.0,6069.0,24.0,21.0,6.0,13.0,17.0,31.0,164.0,50.0,37.0,10.0,25.0,29.0,9.0,85.0,26.0,14.0,41.0
2115,0.0,1.0,3.0,77.0,37.0,5.0,42.0,363.0,80.0,6.0,27.0,18.0,2873.0,28.0,10.0,2.0,85.0,40.0,34.0,160.0,61.0,15.0,87.0,9.0,39.0,11.0,476.0,145.0,51.0,46.0
2164,2.0,16.0,7.0,23.0,0.0,1.0,14.0,92.0,15.0,19.0,8.0,12.0,3241.0,27.0,83.0,4.0,6.0,54.0,25.0,11.0,3.0,5.0,17.0,111.0,9.0,22.0,157.0,161.0,10.0,61.0
2213,0.0,2.0,1.0,8.0,4.0,3.0,6.0,39.0,17.0,89.0,10.0,12.0,169.0,22.0,24.0,9.0,23.0,56.0,15.0,119.0,76.0,11.0,5.0,30.0,16.0,171.0,276.0,143.0,7.0,18.0
2262,0.0,1.0,2.0,9.0,3.0,6.0,13.0,5.0,207.0,28.0,163.0,19.0,102.0,4.0,32.0,18.0,17.0,171.0,31.0,10.0,425.0,27.0,7.0,56.0,25.0,189.0,402.0,63.0,75.0,22.0
2311,2.0,0.0,1.0,18.0,8.0,4.0,11.0,721.0,22.0,77.0,14.0,37.0,497.0,23.0,13.0,3.0,38.0,29.0,44.0,81.0,95.0,7.0,5.0,84.0,25.0,116.0,104.0,40.0,24.0,16.0
2360,0.0,7.0,2.0,17.0,8.0,13.0,27.0,16.0,15.0,279.0,54.0,5.0,979.0,3.0,10.0,12.0,368.0,35.0,94.0,20.0,63.0,59.0,28.0,14.0,46.0,11.0,88.0,9.0,19.0,34.0
2409,0.0,1.0,16.0,57.0,12.0,9.0,25.0,99.0,335.0,42.0,48.0,5.0,20.0,109.0,11.0,4.0,13.0,68.0,73.0,307.0,18.0,64.0,30.0,115.0,43.0,19.0,605.0,34.0,78.0,27.0
2458,0.0,1.0,5.0,22.0,3.0,13.0,58.0,33.0,43.0,14.0,88.0,29.0,4.0,15.0,2.0,72.0,11.0,96.0,30.0,61.0,89.0,39.0,19.0,18.0,9.0,26.0,81.0,120.0,57.0,168.0
2507,0.0,1.0,88.0,5.0,3.0,12.0,30.0,38.0,14.0,2.0,22.0,31.0,6.0,4.0,13.0,75.0,35.0,112.0,317.0,101.0,746.0,33.0,78.0,9.0,7.0,233.0,802.0,355.0,11.0,337.0
2556,0.0,1.0,4.0,3.0,8.0,9.0,16.0,13.0,40.0,10.0,75.0,26.0,14.0,17.0,15.0,138.0,57.0,125.0,24.0,123.0,21.0,115.0,76.0,7.0,30.0,6.0,256.0,812.0,20.0,380.0
2605,0.0,1.0,13.0,30.0,7.0,6.0,31.0,4.0,9.0,8.0,11.0,5.0,24.0,17.0,2.0,194.0,16.0,132.0,77.0,55.0,79.0,29.0,22.0,43.0,19.0,205.0,90.0,26.0,721.0,215.0
2654,0.0,1.0,31.0,6.0,2.0,9.0,110.0,77.0,14.0,12.0,30.0,212.0,72.0,8.0,13.0,33.0,39.0,61.0,36.0,148.0,178.0,22.0,48.0,41.0,4.0,15.0,74.0,122.0,75.0,470.0
2703,0.0,1.0,18.0,2.0,11.0,5.0,150.0,10.0,23.0,4.0,21.0,12.0,94.0,38.0,29.0,66.0,15.0,16.0,7.0,19.0,35.0,111.0,1136.0,209.0,20.0,52.0,86.0,442.0,318.0,345.0
2752,0.0,1.0,199.0,32.0,12.0,6.0,19.0,4.0,858.0,10.0,18.0,8.0,295.0,64.0,17.0,28.0,7.0,243.0,23.0,558.0,113.0,68.0,27.0,855.0,42.0,3.0,111.0,263.0,13.0,100.0
2801,0.0,1.0,8.0,7.0,2.0,3.0,117.0,39.0,66.0,19.0,36.0,4.0,442.0,5.0,29.0,37.0,30.0,136.0,115.0,60.0,939.0,222.0,140.0,152.0,11.0,67.0,76.0,54.0,31.0,109.0
2850,0.0,1.0,15.0,11.0,5.0,7.0,301.0,21.0,16.0,18.0,23.0,13.0,197.0,3.0,10.0,75.0,24.0,26.0,54.0,108.0,35.0,215.0,34.0,58.0,9.0,37.0,142.0,33.0,27.0,112.0
2899,0.0,1.0,421.0,18.0,9.0,13.0,25.0,2.0,15.0,20.0,99.0,19.0,10.0,6.0,52.0,166.0,37.0,159.0,17.0,57.0,247.0,94.0,293.0,27.0,22.0,164.0,369.0,21.0,214.0,138.0
2948,0.0,10.0,2.0,14.0,5.0,1.0,30.0,19.0,8.0,3.0,6.0,17.0,18.0,4.0,7.0,204.0,48.0,50.0,68.0,188.0,211.0,147.0,83.0,458.0,13.0,57.0,26.0,155.0,97.0,15.0
2997,8.0,28.0,0.0,80.0,7.0,2.0,6.0,46.0,3.0,11.0,9.0,12.0,1.0,5.0,67.0,86.0,22.0,23.0,717.0,327.0,27.0,126.0,49.0,259.0,60.0,238.0,77.0,72.0,808.0,47.0
3046,0.0,42.0,1.0,6.0,7.0,8.0,34.0,39.0,10.0,3.0,5.0,17.0,2.0,50.0,9.0,88.0,18.0,4.0,146.0,25.0,27.0,212.0,134.0,373.0,79.0,11.0,35.0,209.0,54.0,74.0
3095,1.0,41.0,0.0,13.0,9.0,6.0,48.0,7.0,4.0,3.0,29.0,5.0,2.0,8.0,18.0,34.0,67.0,21.0,137.0,260.0,27.0,14.0,132.0,323.0,22.0,10.0,86.0,98.0,210.0,50.0
3144,11.0,26.0,8.0,251.0,6.0,12.0,23.0,40.0,880.0,5.0,4.0,3.0,74.0,0.0,54.0,121.0,477.0,90.0,56.0,242.0,61.0,47.0,36.0,433.0,147.0,223.0,31.0,41.0,9.0,15.0
3193,1.0,34.0,3.0,23.0,13.0,5.0,32.0,19.0,121.0,2.0,22.0,14.0,0.0,46.0,26.0,41.0,36.0,30.0,70.0,129.0,9.0,20.0,8.0,287.0,61.0,212.0,275.0,100.0,247.0,7.0
3242,5.0,1.0,4.0,8.0,3.0,0.0,45.0,14.0,48.0,2.0,7.0,10.0,6.0,37.0,20.0,187.0,15.0,13.0,50.0,317.0,43.0,42.0,30.0,338.0,66.0,22.0,25.0,28.0,81.0,51.0
3291,0.0,4.0,1.0,17.0,3.0,20.0,62.0,26.0,28.0,7.0,2.0,179.0,25.0,43.0,9.0,36.0,38.0,27.0,11.0,176.0,14.0,34.0,90.0,264.0,51.0,10.0,8.0,59.0,134.0,29.0
3340,3.0,7.0,1.0,79.0,0.0,10.0,29.0,14.0,5.0,4.0,2.0,26.0,12.0,47.0,8.0,53.0,17.0,122.0,51.0,1010.0,15.0,24.0,21.0,1220.0,18.0,28.0,20.0,210.0,156.0,32.0
3389,5.0,29.0,0.0,118.0,205.0,2.0,10.0,221.0,7.0,1.0,14.0,74.0,3.0,4.0,37.0,160.0,39.0,6.0,68.0,647.0,154.0,267.0,42.0,1616.0,44.0,77.0,132.0,16.0,20.0,75.0
3438,13.0,9.0,0.0,27.0,10.0,11.0,8.0,7.0,96.0,24.0,177.0,5.0,1.0,3.0,533.0,74.0,472.0,170.0,28.0,392.0,2.0,193.0,46.0,4.0,48.0,395.0,725.0,21.0,129.0,19.0
3487,5.0,54.0,0.0,14.0,1.0,8.0,3.0,2.0,61.0,257.0,20.0,50.0,56.0,29.0,55.0,26.0,7.0,134.0,6.0,81.0,13.0,4.0,39.0,115.0,41.0,21.0,27.0,10.0,375.0,15.0
3536,12.0,4.0,2.0,63.0,275.0,22.0,3.0,7.0,27.0,6.0,25.0,10.0,51.0,5.0,243.0,67.0,19.0,43.0,87.0,34.0,9.0,118.0,69.0,17.0,251.0,222.0,54.0,0.0,59.0,75.0
3585,5.0,6.0,2.0,3.0,9.0,4.0,7.0,1.0,161.0,13.0,154.0,0.0,150.0,18.0,111.0,30.0,19.0,20.0,15.0,27.0,28.0,320.0,17.0,336.0,45.0,1880.0,103.0,16.0,41.0,24.0
3634,5.0,2.0,0.0,16.0,13.0,8.0,3.0,1.0,17.0,25.0,7.0,45.0,30.0,42.0,502.0,315.0,6.0,56.0,12.0,50.0,10.0,29.0,9.0,52.0,28.0,3157.0,46.0,4.0,32.0,85.0
3683,2.0,7.0,0.0,11.0,8.0,10.0,5.0,1.0,53.0,22.0,14.0,35.0,45.0,37.0,238.0,23.0,34.0,16.0,26.0,6.0,3.0,52.0,29.0,24.0,481.0,18.0,21.0,4.0,32.0,51.0
3732,6.0,44.0,0.0,25.0,3.0,1.0,8.0,15.0,20.0,43.0,14.0,32.0,203.0,4.0,374.0,34.0,33.0,5.0,27.0,138.0,16.0,187.0,30.0,9.0,29.0,22.0,17.0,24.0,85.0,101.0
3781,21.0,14.0,3.0,0.0,31.0,70.0,7.0,2.0,281.0,38.0,41.0,4.0,16.0,52.0,90.0,42.0,8.0,17.0,22.0,111.0,1.0,756.0,74.0,78.0,82.0,47.0,58.0,5.0,65.0,62.0
3830,4.0,2.0,6.0,3.0,28.0,38.0,5.0,0.0,25.0,30.0,56.0,1.0,36.0,37.0,198.0,10.0,22.0,44.0,19.0,21.0,9.0,29.0,340.0,47.0,76.0,35.0,33.0,12.0,283.0,62.0
3879,5.0,6.0,0.0,3.0,17.0,29.0,4.0,2.0,11.0,20.0,16.0,7.0,49.0,113.0,219.0,28.0,15.0,21.0,1.0,63.0,13.0,53.0,67.0,84.0,52.0,34.0,31.0,9.0,65.0,66.0
3928,0.0,1.0,3.0,5.0,48.0,106.0,31.0,16.0,8.0,42.0,75.0,13.0,4.0,43.0,7.0,10.0,20.0,17.0,12.0,41.0,69.0,6.0,141.0,21.0,45.0,32.0,9.0,88.0,178.0,99.0
3977,0.0,1.0,6.0,3.0,9.0,43.0,32.0,4.0,56.0,29.0,10.0,8.0,5.0,2068.0,139.0,20.0,2.0,42.0,11.0,18.0,19.0,40.0,130.0,188.0,52.0,63.0,46.0,158.0,88.0,41.0
4026,2.0,1.0,0.0,44.0,10.0,27.0,9.0,7.0,58.0,87.0,25.0,15.0,89.0,18.0,177.0,14.0,12.0,3.0,4.0,60.0,98.0,370.0,13.0,115.0,41.0,53.0,11.0,401.0,156.0,68.0
4075,0.0,1.0,2.0,7.0,14.0,98.0,4.0,11.0,19.0,30.0,75.0,55.0,3.0,17.0,15.0,5.0,52.0,13.0,43.0,8.0,361.0,69.0,78.0,6.0,53.0,41.0,44.0,534.0,38.0,31.0
4124,0.0,1.0,2.0,5.0,16.0,196.0,29.0,6.0,32.0,22.0,78.0,20.0,12.0,19.0,17.0,3.0,74.0,7.0,37.0,4.0,69.0,100.0,121.0,27.0,65.0,139.0,26.0,60.0,239.0,35.0
4173,0.0,1.0,8.0,6.0,9.0,14.0,11.0,57.0,62.0,13.0,41.0,326.0,2.0,70.0,174.0,7.0,59.0,26.0,12.0,3.0,74.0,49.0,107.0,4.0,211.0,24.0,30.0,45.0,46.0,33.0
4222,0.0,2.0,4.0,3.0,26.0,35.0,10.0,8.0,61.0,7.0,286.0,27.0,1.0,18.0,68.0,24.0,28.0,12.0,17.0,16.0,477.0,593.0,233.0,20.0,39.0,423.0,424.0,122.0,60.0,23.0
4271,1.0,0.0,2.0,4.0,10.0,38.0,11.0,3.0,36.0,8.0,73.0,67.0,5.0,15.0,22.0,24.0,29.0,12.0,6.0,7.0,28.0,87.0,37.0,9.0,52.0,34.0,39.0,72.0,218.0,17.0
4320,1.0,0.0,2.0,3.0,5.0,22.0,4.0,8.0,69.0,26.0,17.0,14.0,20.0,72.0,77.0,23.0,13.0,12.0,7.0,10.0,89.0,139.0,79.0,28.0,112.0,44.0,36.0,282.0,29.0,42.0
4369,0.0,2.0,1.0,5.0,6.0,27.0,8.0,4.0,11.0,32.0,9.0,7.0,3.0,1061.0,14.0,12.0,28.0,10.0,169.0,21.0,34.0,655.0,206.0,109.0,48.0,95.0,30.0,211.0,57.0,24.0
4418,0.0,1.0,3.0,4.0,2.0,8.0,12.0,74.0,5.0,60.0,7.0,216.0,17.0,64.0,29.0,28.0,23.0,24.0,56.0,41.0,91.0,6.0,51.0,93.0,57.0,36.0,21.0,131.0,9.0,229.0
4467,0.0,6.0,2.0,1.0,3.0,9.0,5.0,56.0,4.0,55.0,19.0,261.0,13.0,24.0,18.0,10.0,38.0,7.0,100.0,15.0,88.0,8.0,114.0,97.0,62.0,11.0,20.0,147.0,12.0,125.0
4516,2.0,0.0,4.0,7.0,1.0,3.0,36.0,11.0,8.0,27.0,9.0,215.0,63.0,18.0,15.0,25.0,47.0,31.0,13.0,52.0,41.0,5.0,87.0,84.0,37.0,133.0,20.0,407.0,33.0,193.0
4565,8.0,4.0,56.0,5.0,2.0,1.0,99.0,126.0,20.0,45.0,22.0,33.0,681.0,632.0,7.0,38.0,13.0,17.0,91.0,12.0,0.0,3.0,73.0,284.0,100.0,16.0,121.0,268.0,26.0,328.0
4614,6.0,0.0,5.0,15.0,1.0,4.0,11.0,19.0,10.0,44.0,45.0,166.0,3.0,27.0,31.0,8.0,18.0,35.0,22.0,220.0,12.0,21.0,38.0,163.0,52.0,17.0,29.0,299.0,49.0,243.0
4663,1.0,2.0,5.0,0.0,3.0,4.0,30.0,84.0,9.0,18.0,10.0,258.0,27.0,56.0,14.0,36.0,15.0,33.0,31.0,8.0,26.0,7.0,34.0,649.0,43.0,12.0,40.0,180.0,13.0,68.0
4712,1.0,0.0,14.0,2.0,9.0,6.0,123.0,5.0,4.0,32.0,642.0,228.0,7.0,27.0,10.0,18.0,103.0,26.0,47.0,13.0,21.0,12.0,416.0,24.0,42.0,8.0,402.0,412.0,885.0,215.0
4761,1.0,0.0,8.0,2.0,3.0,6.0,45.0,74.0,4.0,21.0,41.0,165.0,104.0,42.0,26.0,31.0,18.0,24.0,28.0,32.0,5.0,7.0,36.0,29.0,33.0,10.0,61.0,88.0,19.0,484.0
4810,3.0,0.0,6.0,4.0,11.0,18.0,13.0,9.0,1.0,69.0,14.0,163.0,582.0,92.0,5.0,55.0,31.0,12.0,22.0,42.0,32.0,7.0,21.0,374.0,37.0,47.0,23.0,174.0,29.0,235.0
4859,0.0,1.0,12.0,2.0,4.0,5.0,16.0,36.0,25.0,10.0,27.0,72.0,22.0,3.0,13.0,59.0,103.0,42.0,142.0,9.0,44.0,21.0,429.0,133.0,61.0,6.0,29.0,233.0,17.0,116.0
