,GPX3,ADORA1,LINC00942,NDN,GPX1P1,SYTL1,PRKCH,RP11-390F4.3,FAM110C,NLRP2,CORO2A,DSG2,AIF1L,SULF2,RP11-560J1.2,SCEL,CTD-2354A18.1,RNF224,PSAT1P3,RP11-47I22.1,DHRS4-AS1,RTKN2,MPP7,MYEOV,ZNF853,MBOAT1,PHLDA3,C18orf25,HMGA1P4,KCNK1
3291,1.0,0.0,72.0,3.0,15.0,22.0,31.0,9.0,10.0,5.0,277.0,62.0,4.0,26.0,21.0,38.0,2.0,12.0,644.0,37.0,379.0,41.0,20.0,7.0,181.0,288.0,186.0,39.0,97.0,29.0
3340,0.0,1.0,8.0,3.0,502.0,25.0,27.0,2.0,16.0,4.0,141.0,32.0,6.0,5.0,9.0,67.0,13.0,19.0,26.0,53.0,237.0,82.0,18.0,66.0,64.0,36.0,268.0,15.0,93.0,12.0
3389,0.0,1.0,9.0,7.0,19.0,27.0,99.0,2.0,39.0,3.0,21.0,82.0,4.0,11.0,8.0,62.0,5.0,31.0,12.0,167.0,133.0,101.0,10.0,41.0,1020.0,126.0,368.0,22.0,42.0,33.0
3438,3.0,28.0,4.0,40.0,541.0,8.0,62.0,20.0,41.0,22.0,11.0,123.0,35.0,122.0,1.0,0.0,100.0,96.0,30.0,71.0,25.0,426.0,7.0,27.0,38.0,10.0,179.0,34.0,6.0,203.0
3487,0.0,2.0,1.0,13.0,63.0,3.0,10.0,19.0,60.0,12.0,54.0,18.0,53.0,15.0,6.0,5.0,45.0,76.0,27.0,59.0,7.0,533.0,50.0,14.0,105.0,17.0,9.0,25.0,29.0,144.0
3536,0.0,5.0,53.0,11.0,74.0,1.0,8.0,2.0,7.0,4.0,24.0,28.0,89.0,103.0,6.0,17.0,78.0,79.0,29.0,21.0,31.0,437.0,26.0,115.0,84.0,20.0,9.0,23.0,37.0,19.0
3585,0.0,1.0,2.0,7.0,18.0,6.0,9.0,30.0,3.0,4.0,125.0,10.0,63.0,21.0,8.0,5.0,76.0,111.0,22.0,12.0,20.0,378.0,231.0,39.0,26.0,17.0,11.0,23.0,62.0,117.0
3634,1.0,3.0,0.0,93.0,7.0,6.0,31.0,11.0,30.0,4.0,32.0,5.0,35.0,121.0,10.0,17.0,38.0,42.0,12.0,48.0,22.0,168.0,66.0,19.0,176.0,8.0,9.0,14.0,23.0,102.0
3683,0.0,2.0,1.0,19.0,14.0,5.0,81.0,22.0,9.0,3.0,7.0,11.0,66.0,206.0,13.0,4.0,195.0,46.0,12.0,89.0,37.0,47.0,21.0,72.0,45.0,17.0,8.0,25.0,10.0,404.0
3732,2.0,3.0,0.0,12.0,6.0,10.0,22.0,9.0,5.0,510.0,48.0,39.0,114.0,11.0,32.0,68.0,14.0,146.0,21.0,262.0,25.0,270.0,20.0,29.0,567.0,34.0,15.0,220.0,73.0,45.0
3781,0.0,3.0,2.0,434.0,8.0,24.0,48.0,96.0,10.0,1.0,30.0,17.0,184.0,16.0,13.0,7.0,25.0,46.0,141.0,87.0,4.0,189.0,29.0,11.0,146.0,54.0,23.0,53.0,40.0,113.0
3830,1.0,3.0,8.0,0.0,294.0,29.0,20.0,23.0,15.0,152.0,7.0,13.0,70.0,18.0,2.0,17.0,124.0,82.0,153.0,21.0,19.0,59.0,24.0,11.0,166.0,16.0,210.0,36.0,123.0,199.0
3879,0.0,4.0,2.0,9.0,7.0,3.0,10.0,15.0,1.0,6.0,30.0,13.0,28.0,184.0,12.0,24.0,167.0,209.0,11.0,27.0,21.0,457.0,116.0,76.0,92.0,46.0,19.0,26.0,41.0,149.0
3928,0.0,3.0,4.0,16.0,22.0,10.0,11.0,1.0,91.0,20.0,1316.0,478.0,5.0,2.0,57.0,8.0,87.0,13.0,65.0,29.0,102.0,54.0,40.0,7.0,587.0,153.0,286.0,163.0,164.0,86.0
3977,0.0,2.0,59.0,182.0,1.0,11.0,4.0,286.0,6.0,19.0,229.0,596.0,5.0,27.0,15.0,7.0,21.0,22.0,368.0,20.0,65.0,54.0,26.0,41.0,88.0,104.0,58.0,127.0,39.0,149.0
4026,0.0,1.0,2.0,9.0,11.0,20.0,28.0,7.0,48.0,13.0,126.0,131.0,22.0,3.0,62.0,34.0,78.0,30.0,98.0,47.0,25.0,96.0,33.0,4.0,111.0,67.0,120.0,71.0,23.0,51.0
4075,0.0,6.0,4.0,12.0,8.0,28.0,5.0,2.0,129.0,60.0,168.0,114.0,121.0,1.0,26.0,69.0,158.0,108.0,35.0,9.0,40.0,173.0,49.0,3.0,43.0,30.0,175.0,284.0,96.0,169.0
4124,0.0,1.0,2.0,37.0,3.0,14.0,9.0,231.0,114.0,6.0,318.0,416.0,7.0,4.0,60.0,46.0,47.0,15.0,58.0,18.0,70.0,33.0,59.0,20.0,22.0,65.0,123.0,81.0,53.0,21.0
4173,0.0,4.0,15.0,16.0,11.0,3.0,2.0,28.0,22.0,5.0,531.0,201.0,9.0,1.0,12.0,49.0,88.0,85.0,67.0,14.0,45.0,96.0,55.0,8.0,53.0,83.0,78.0,256.0,84.0,71.0
4222,0.0,6.0,13.0,50.0,2.0,5.0,12.0,7.0,264.0,1.0,251.0,68.0,11.0,3.0,33.0,41.0,32.0,18.0,55.0,58.0,65.0,21.0,195.0,70.0,46.0,345.0,312.0,30.0,23.0,199.0
4271,0.0,2.0,4.0,118.0,3.0,7.0,344.0,5.0,21.0,10.0,23.0,211.0,29.0,1.0,182.0,235.0,45.0,18.0,40.0,469.0,8.0,121.0,70.0,6.0,158.0,289.0,300.0,60.0,530.0,25.0
4320,0.0,1.0,25.0,12.0,3.0,4.0,6.0,11.0,112.0,47.0,395.0,1061.0,10.0,30.0,250.0,9.0,118.0,13.0,91.0,36.0,83.0,78.0,20.0,33.0,17.0,140.0,35.0,216.0,111.0,54.0
4369,1.0,6.0,22.0,385.0,43.0,2.0,4.0,10.0,5.0,39.0,49.0,618.0,7.0,9.0,12.0,71.0,8511.0,188.0,60.0,29.0,231.0,104.0,184.0,111.0,413.0,25.0,151.0,103.0,30.0,65.0
4418,3.0,10.0,23.0,1.0,0.0,59.0,17.0,2.0,7.0,6.0,16.0,89.0,327.0,14.0,22.0,8.0,4.0,46.0,26.0,27.0,170.0,20.0,90.0,130.0,36.0,456.0,481.0,45.0,34.0,24.0
4467,0.0,7.0,47.0,1.0,2.0,91.0,12.0,13.0,3.0,365.0,30.0,24.0,8.0,5.0,84.0,27.0,31.0,167.0,22.0,11.0,101.0,6.0,288.0,207.0,15.0,1271.0,528.0,217.0,119.0,53.0
4516,0.0,4.0,32.0,1.0,140.0,181.0,217.0,11.0,27.0,134.0,2.0,61.0,59.0,10.0,17.0,35.0,13.0,149.0,34.0,88.0,85.0,16.0,212.0,284.0,24.0,67.0,550.0,162.0,179.0,66.0
4565,4.0,17.0,394.0,2.0,10.0,30.0,12.0,48.0,6.0,1.0,8.0,130.0,73.0,18.0,13.0,16.0,11.0,104.0,163.0,19.0,91.0,0.0,32.0,1220.0,20.0,186.0,66.0,28.0,61.0,56.0
4614,1.0,7.0,85.0,2.0,0.0,10.0,23.0,232.0,21.0,24.0,6.0,35.0,113.0,9.0,16.0,110.0,109.0,111.0,18.0,106.0,107.0,5.0,119.0,651.0,87.0,36.0,44.0,68.0,70.0,93.0
4663,0.0,8.0,43.0,4.0,7.0,38.0,51.0,14.0,33.0,28.0,9.0,50.0,84.0,3.0,19.0,10.0,5.0,100.0,12.0,56.0,39.0,17.0,62.0,35.0,87.0,404.0,289.0,110.0,21.0,30.0
4712,0.0,27.0,54.0,1.0,12.0,24.0,63.0,23.0,5.0,122.0,4.0,39.0,188.0,21.0,155.0,2.0,26.0,130.0,30.0,48.0,180.0,9.0,119.0,961.0,3.0,58.0,451.0,92.0,70.0,45.0
4761,0.0,8.0,31.0,1.0,2.0,38.0,47.0,41.0,25.0,7.0,26.0,56.0,74.0,10.0,16.0,27.0,4.0,73.0,46.0,60.0,180.0,3.0,211.0,316.0,12.0,631.0,470.0,21.0,71.0,37.0
4810,0.0,34.0,48.0,3.0,15.0,5.0,262.0,21.0,7.0,13.0,4.0,17.0,155.0,23.0,84.0,127.0,1.0,180.0,2.0,252.0,78.0,40.0,181.0,886.0,10.0,440.0,132.0,75.0,46.0,16.0
4859,2.0,7.0,73.0,0.0,8.0,42.0,68.0,5.0,22.0,1.0,28.0,27.0,62.0,224.0,36.0,33.0,17.0,119.0,32.0,87.0,135.0,3.0,75.0,995.0,30.0,682.0,177.0,11.0,58.0,51.0
