,XBP1,beta-Catenin,Chk1_pS345,HER3,alpha-Catenin,Claudin-7,Chk2,VEGFR2,VAV1,SF2,MSH6,Src_pY416,Bcl-xL,AMPK_alpha,Transglutaminase,PEA15,BRCA2,Chk1,P-Cadherin,YAP_pS127,Lck,RAD51,C-Raf(BD610151),c-Myc,Stathmin,PAI-1,Smad4,Bap1 c-4,eEF2,Rb
637,1.0,7.0,3.0,0.0,2.0,15.0,9.0,5.0,6.0,28.0,4.0,26.0,48.0,24.0,11.0,13.0,31.0,36.0,8.0,46.0,34.0,38.0,12.0,117.0,51.0,18.0,25.0,50.0,16.0,65.0
686,0.0,37.0,3.0,2.0,1.0,5.0,13.0,6.0,21.0,30.0,8.0,31.0,35.0,16.0,34.0,18.0,14.0,36.0,10.0,23.0,55.0,11.0,19.0,104.0,29.0,50.0,51.0,43.0,7.0,17.0
735,7.0,13.0,2.0,1.0,0.0,4.0,20.0,3.0,8.0,88.0,15.0,5.0,36.0,6.0,26.0,9.0,14.0,59.0,25.0,10.0,11.0,154.0,19.0,30.0,35.0,28.0,82.0,143.0,12.0,18.0
784,3.0,2.0,1.0,0.0,4.0,7.0,11.0,70.0,5.0,37.0,6.0,13.0,20.0,41.0,22.0,35.0,53.0,34.0,66.0,18.0,12.0,32.0,27.0,65.0,112.0,48.0,14.0,8.0,15.0,29.0
833,0.0,3.0,4.0,9.0,1.0,18.0,11.0,6.0,12.0,49.0,5.0,30.0,27.0,17.0,21.0,7.0,33.0,70.0,79.0,47.0,28.0,19.0,15.0,22.0,95.0,25.0,147.0,44.0,8.0,71.0
882,5.0,2.0,6.0,3.0,1.0,4.0,22.0,0.0,10.0,14.0,11.0,9.0,19.0,16.0,30.0,13.0,23.0,133.0,20.0,18.0,15.0,88.0,21.0,86.0,60.0,82.0,42.0,44.0,7.0,28.0
931,0.0,3.0,4.0,1.0,16.0,7.0,8.0,6.0,21.0,5.0,45.0,19.0,13.0,31.0,2.0,68.0,17.0,109.0,30.0,58.0,24.0,84.0,10.0,64.0,49.0,11.0,42.0,65.0,9.0,29.0
980,14.0,0.0,3.0,5.0,10.0,2.0,12.0,7.0,9.0,15.0,42.0,43.0,13.0,20.0,11.0,24.0,26.0,4.0,16.0,21.0,17.0,55.0,69.0,54.0,1.0,75.0,6.0,38.0,25.0,86.0
1029,0.0,2.0,8.0,1.0,13.0,7.0,3.0,14.0,19.0,65.0,22.0,85.0,25.0,17.0,12.0,37.0,11.0,9.0,26.0,36.0,48.0,31.0,6.0,42.0,20.0,97.0,15.0,89.0,77.0,40.0
1078,0.0,2.0,5.0,8.0,11.0,15.0,12.0,4.0,18.0,57.0,19.0,25.0,34.0,27.0,1.0,14.0,6.0,23.0,61.0,3.0,21.0,22.0,44.0,74.0,20.0,55.0,9.0,72.0,31.0,59.0
1127,0.0,2.0,1.0,14.0,8.0,3.0,20.0,7.0,4.0,28.0,25.0,58.0,13.0,6.0,35.0,24.0,12.0,5.0,75.0,36.0,129.0,16.0,69.0,71.0,41.0,19.0,9.0,11.0,44.0,26.0
1176,0.0,10.0,2.0,13.0,3.0,1.0,9.0,12.0,26.0,5.0,20.0,72.0,16.0,14.0,55.0,17.0,7.0,15.0,25.0,63.0,29.0,41.0,94.0,79.0,52.0,18.0,8.0,102.0,44.0,104.0
1225,3.0,8.0,6.0,15.0,7.0,0.0,31.0,1.0,4.0,10.0,61.0,32.0,2.0,12.0,13.0,19.0,34.0,17.0,16.0,88.0,28.0,5.0,22.0,33.0,39.0,56.0,9.0,20.0,29.0,76.0
1274,0.0,10.0,13.0,21.0,6.0,2.0,48.0,1.0,14.0,11.0,161.0,19.0,5.0,57.0,3.0,69.0,18.0,9.0,25.0,26.0,28.0,8.0,40.0,17.0,44.0,38.0,12.0,121.0,75.0,37.0
1323,0.0,6.0,15.0,41.0,2.0,1.0,13.0,8.0,12.0,38.0,30.0,70.0,4.0,22.0,39.0,58.0,19.0,43.0,28.0,23.0,150.0,5.0,33.0,31.0,11.0,127.0,3.0,72.0,49.0,42.0
1372,1.0,2.0,11.0,25.0,12.0,8.0,43.0,0.0,14.0,19.0,85.0,22.0,10.0,59.0,6.0,32.0,13.0,3.0,31.0,38.0,102.0,7.0,4.0,52.0,56.0,30.0,16.0,20.0,34.0,88.0
1421,0.0,18.0,15.0,47.0,8.0,17.0,10.0,20.0,9.0,4.0,16.0,6.0,3.0,37.0,1.0,14.0,28.0,65.0,43.0,39.0,25.0,11.0,32.0,27.0,99.0,55.0,2.0,151.0,118.0,35.0
1470,0.0,10.0,45.0,8.0,4.0,14.0,9.0,17.0,30.0,2.0,12.0,11.0,1.0,5.0,24.0,53.0,15.0,62.0,134.0,54.0,60.0,43.0,21.0,105.0,51.0,23.0,72.0,151.0,76.0,39.0
1519,0.0,9.0,74.0,1.0,57.0,6.0,11.0,14.0,4.0,3.0,41.0,29.0,8.0,23.0,18.0,27.0,5.0,24.0,13.0,12.0,77.0,44.0,2.0,32.0,33.0,42.0,68.0,145.0,66.0,28.0
1568,0.0,19.0,42.0,6.0,44.0,11.0,2.0,17.0,8.0,1.0,31.0,16.0,10.0,3.0,94.0,14.0,27.0,24.0,69.0,4.0,62.0,40.0,12.0,47.0,36.0,43.0,133.0,20.0,38.0,25.0
1617,0.0,1.0,19.0,2.0,3.0,18.0,10.0,34.0,22.0,4.0,36.0,13.0,5.0,9.0,50.0,15.0,23.0,57.0,11.0,16.0,33.0,70.0,32.0,76.0,31.0,58.0,52.0,156.0,21.0,17.0
1666,0.0,2.0,21.0,5.0,1.0,36.0,16.0,9.0,3.0,11.0,45.0,6.0,20.0,22.0,84.0,33.0,7.0,15.0,25.0,17.0,39.0,95.0,29.0,31.0,72.0,41.0,163.0,32.0,34.0,54.0
1715,0.0,4.0,10.0,14.0,1.0,11.0,6.0,2.0,15.0,8.0,134.0,19.0,16.0,24.0,21.0,57.0,27.0,5.0,25.0,12.0,74.0,92.0,38.0,83.0,23.0,93.0,124.0,53.0,35.0,52.0
1764,0.0,16.0,26.0,3.0,2.0,33.0,8.0,34.0,58.0,11.0,42.0,55.0,1.0,35.0,15.0,12.0,23.0,7.0,69.0,10.0,68.0,25.0,44.0,85.0,160.0,9.0,30.0,40.0,105.0,50.0
1813,0.0,2.0,11.0,18.0,3.0,17.0,4.0,15.0,12.0,5.0,20.0,10.0,14.0,26.0,1.0,8.0,37.0,9.0,64.0,6.0,38.0,43.0,125.0,34.0,24.0,7.0,39.0,19.0,159.0,36.0
1862,0.0,1.0,4.0,16.0,2.0,6.0,40.0,10.0,25.0,65.0,32.0,37.0,9.0,12.0,15.0,27.0,8.0,22.0,11.0,5.0,45.0,33.0,126.0,13.0,29.0,17.0,52.0,28.0,43.0,74.0
1911,0.0,22.0,6.0,4.0,5.0,3.0,18.0,16.0,9.0,10.0,26.0,31.0,13.0,23.0,25.0,51.0,2.0,57.0,44.0,1.0,8.0,53.0,37.0,52.0,19.0,21.0,62.0,46.0,20.0,100.0
1960,0.0,8.0,3.0,1.0,63.0,2.0,15.0,32.0,38.0,19.0,72.0,7.0,6.0,99.0,14.0,33.0,93.0,21.0,23.0,91.0,48.0,30.0,52.0,17.0,13.0,5.0,43.0,65.0,25.0,100.0
2009,0.0,13.0,3.0,9.0,37.0,1.0,157.0,11.0,35.0,26.0,14.0,2.0,8.0,53.0,27.0,24.0,15.0,6.0,4.0,75.0,31.0,34.0,62.0,16.0,17.0,10.0,23.0,30.0,47.0,44.0
2058,0.0,5.0,6.0,1.0,89.0,4.0,9.0,8.0,16.0,28.0,27.0,2.0,35.0,26.0,14.0,111.0,22.0,21.0,91.0,19.0,29.0,90.0,123.0,31.0,18.0,3.0,34.0,13.0,25.0,53.0
2107,0.0,2.0,58.0,4.0,12.0,1.0,3.0,7.0,24.0,9.0,8.0,6.0,25.0,14.0,50.0,13.0,22.0,48.0,52.0,19.0,5.0,99.0,41.0,21.0,20.0,18.0,17.0,32.0,100.0,36.0
2156,0.0,2.0,20.0,1.0,5.0,3.0,10.0,46.0,17.0,19.0,28.0,4.0,33.0,45.0,12.0,32.0,63.0,57.0,13.0,6.0,25.0,39.0,38.0,27.0,22.0,7.0,16.0,24.0,58.0,50.0
2205,0.0,7.0,17.0,5.0,61.0,2.0,4.0,20.0,14.0,43.0,3.0,1.0,8.0,15.0,135.0,6.0,18.0,9.0,53.0,41.0,25.0,35.0,16.0,121.0,23.0,19.0,83.0,13.0,64.0,33.0
2254,0.0,4.0,3.0,1.0,25.0,7.0,2.0,36.0,5.0,23.0,8.0,13.0,12.0,20.0,55.0,46.0,17.0,10.0,11.0,18.0,6.0,51.0,27.0,58.0,44.0,24.0,37.0,54.0,22.0,93.0
2303,4.0,1.0,2.0,3.0,39.0,0.0,6.0,31.0,32.0,11.0,40.0,8.0,26.0,15.0,88.0,34.0,9.0,14.0,18.0,24.0,50.0,16.0,10.0,36.0,27.0,17.0,20.0,64.0,19.0,57.0
2352,0.0,2.0,16.0,4.0,7.0,1.0,12.0,11.0,32.0,18.0,87.0,24.0,29.0,28.0,57.0,15.0,9.0,34.0,66.0,51.0,40.0,3.0,6.0,49.0,5.0,14.0,69.0,105.0,71.0,33.0
2401,0.0,1.0,2.0,9.0,81.0,8.0,14.0,34.0,27.0,3.0,54.0,4.0,28.0,19.0,89.0,16.0,11.0,30.0,71.0,15.0,48.0,49.0,26.0,39.0,33.0,37.0,82.0,13.0,45.0,35.0
2450,0.0,4.0,9.0,1.0,7.0,34.0,50.0,8.0,15.0,13.0,25.0,145.0,48.0,23.0,2.0,45.0,56.0,5.0,58.0,31.0,19.0,22.0,26.0,80.0,73.0,69.0,3.0,17.0,39.0,20.0
2499,0.0,3.0,2.0,16.0,1.0,106.0,6.0,12.0,4.0,15.0,35.0,47.0,23.0,39.0,36.0,10.0,41.0,5.0,60.0,14.0,77.0,21.0,85.0,89.0,20.0,141.0,9.0,11.0,92.0,13.0
2548,0.0,1.0,3.0,7.0,2.0,18.0,8.0,10.0,6.0,33.0,12.0,150.0,13.0,48.0,125.0,26.0,22.0,5.0,43.0,27.0,112.0,42.0,20.0,25.0,23.0,95.0,11.0,32.0,9.0,17.0
2597,2.0,3.0,0.0,30.0,1.0,18.0,4.0,74.0,7.0,72.0,8.0,36.0,56.0,78.0,28.0,75.0,44.0,10.0,21.0,19.0,5.0,6.0,53.0,39.0,29.0,24.0,16.0,14.0,27.0,37.0
2646,0.0,2.0,1.0,16.0,3.0,11.0,4.0,24.0,21.0,49.0,5.0,98.0,58.0,131.0,86.0,7.0,29.0,42.0,96.0,43.0,30.0,17.0,10.0,32.0,40.0,129.0,31.0,18.0,63.0,20.0
2695,0.0,3.0,1.0,46.0,6.0,32.0,5.0,112.0,2.0,47.0,12.0,24.0,20.0,33.0,136.0,15.0,21.0,11.0,69.0,31.0,71.0,18.0,50.0,9.0,42.0,106.0,65.0,28.0,92.0,27.0
2744,0.0,3.0,1.0,9.0,2.0,20.0,6.0,34.0,12.0,32.0,7.0,69.0,39.0,46.0,23.0,10.0,4.0,37.0,36.0,54.0,30.0,13.0,17.0,11.0,44.0,75.0,16.0,15.0,31.0,22.0
2793,0.0,21.0,1.0,5.0,8.0,19.0,6.0,13.0,3.0,23.0,7.0,57.0,2.0,32.0,66.0,15.0,40.0,29.0,46.0,18.0,4.0,12.0,14.0,26.0,44.0,138.0,16.0,50.0,41.0,34.0
2842,0.0,3.0,2.0,13.0,1.0,20.0,11.0,22.0,4.0,23.0,8.0,107.0,18.0,5.0,6.0,9.0,14.0,37.0,32.0,72.0,49.0,48.0,21.0,29.0,25.0,110.0,19.0,10.0,53.0,34.0
2891,0.0,21.0,1.0,25.0,2.0,16.0,3.0,13.0,5.0,48.0,4.0,53.0,78.0,11.0,27.0,6.0,47.0,17.0,55.0,65.0,10.0,40.0,26.0,14.0,115.0,107.0,93.0,39.0,19.0,82.0
2940,2.0,10.0,15.0,8.0,5.0,3.0,0.0,6.0,13.0,14.0,108.0,12.0,7.0,19.0,1.0,9.0,16.0,25.0,36.0,21.0,64.0,37.0,38.0,31.0,41.0,49.0,29.0,104.0,27.0,57.0
2989,0.0,1.0,9.0,10.0,12.0,2.0,6.0,4.0,20.0,15.0,52.0,24.0,8.0,11.0,3.0,78.0,25.0,23.0,45.0,53.0,86.0,54.0,30.0,22.0,18.0,72.0,70.0,65.0,39.0,63.0
3038,0.0,4.0,30.0,1.0,8.0,5.0,3.0,24.0,2.0,21.0,18.0,28.0,13.0,6.0,10.0,14.0,20.0,39.0,23.0,12.0,84.0,22.0,57.0,7.0,75.0,97.0,85.0,55.0,41.0,98.0
3087,2.0,3.0,26.0,13.0,10.0,11.0,1.0,4.0,15.0,6.0,28.0,68.0,14.0,12.0,0.0,18.0,25.0,21.0,8.0,24.0,31.0,41.0,81.0,7.0,20.0,163.0,53.0,35.0,19.0,82.0
3136,0.0,5.0,6.0,14.0,16.0,1.0,7.0,18.0,10.0,4.0,138.0,13.0,35.0,3.0,2.0,20.0,15.0,45.0,11.0,76.0,31.0,28.0,59.0,12.0,23.0,39.0,99.0,29.0,58.0,67.0
3185,1.0,2.0,14.0,3.0,39.0,10.0,7.0,11.0,6.0,8.0,119.0,4.0,17.0,5.0,0.0,34.0,26.0,9.0,24.0,52.0,35.0,29.0,37.0,25.0,30.0,12.0,89.0,42.0,47.0,59.0
3234,0.0,1.0,57.0,4.0,7.0,2.0,15.0,5.0,9.0,10.0,70.0,17.0,3.0,11.0,13.0,43.0,111.0,16.0,14.0,29.0,32.0,26.0,35.0,6.0,41.0,120.0,34.0,113.0,33.0,102.0
3283,0.0,1.0,8.0,6.0,10.0,2.0,3.0,27.0,9.0,11.0,61.0,5.0,15.0,12.0,4.0,94.0,24.0,120.0,19.0,17.0,14.0,104.0,98.0,13.0,25.0,34.0,20.0,28.0,37.0,48.0
3332,0.0,4.0,10.0,17.0,7.0,1.0,9.0,96.0,5.0,20.0,33.0,6.0,8.0,43.0,2.0,51.0,104.0,14.0,21.0,34.0,3.0,11.0,129.0,16.0,31.0,57.0,37.0,45.0,29.0,61.0
3381,0.0,3.0,5.0,4.0,29.0,1.0,18.0,19.0,13.0,25.0,28.0,10.0,21.0,11.0,2.0,12.0,7.0,22.0,80.0,24.0,6.0,9.0,63.0,26.0,101.0,8.0,114.0,31.0,17.0,46.0
3430,0.0,5.0,13.0,14.0,39.0,6.0,10.0,16.0,27.0,2.0,44.0,23.0,8.0,11.0,100.0,18.0,47.0,82.0,12.0,51.0,9.0,22.0,32.0,4.0,3.0,91.0,41.0,1.0,37.0,19.0
3479,1.0,23.0,9.0,2.0,14.0,3.0,6.0,34.0,16.0,4.0,0.0,12.0,31.0,13.0,32.0,88.0,40.0,15.0,36.0,25.0,11.0,21.0,10.0,22.0,35.0,19.0,63.0,8.0,48.0,61.0
3528,0.0,21.0,3.0,4.0,2.0,7.0,11.0,34.0,42.0,9.0,12.0,1.0,5.0,8.0,50.0,13.0,92.0,27.0,56.0,40.0,25.0,22.0,16.0,89.0,18.0,54.0,15.0,28.0,96.0,110.0
3577,0.0,70.0,2.0,3.0,1.0,13.0,4.0,117.0,10.0,15.0,9.0,6.0,7.0,12.0,89.0,32.0,54.0,48.0,21.0,11.0,14.0,8.0,35.0,37.0,22.0,31.0,141.0,20.0,112.0,16.0
3626,0.0,25.0,16.0,13.0,39.0,3.0,54.0,11.0,10.0,15.0,9.0,6.0,4.0,98.0,46.0,34.0,117.0,29.0,26.0,21.0,12.0,1.0,8.0,17.0,53.0,142.0,27.0,7.0,55.0,38.0
3675,0.0,24.0,19.0,1.0,18.0,4.0,48.0,6.0,28.0,13.0,2.0,10.0,27.0,35.0,7.0,39.0,83.0,17.0,14.0,134.0,21.0,11.0,29.0,22.0,16.0,80.0,33.0,20.0,84.0,76.0
3724,0.0,27.0,6.0,1.0,19.0,2.0,89.0,21.0,24.0,8.0,17.0,39.0,7.0,5.0,12.0,68.0,38.0,54.0,28.0,25.0,4.0,10.0,93.0,15.0,33.0,63.0,23.0,3.0,44.0,18.0
3773,1.0,10.0,6.0,2.0,21.0,11.0,46.0,23.0,4.0,15.0,31.0,0.0,8.0,3.0,24.0,47.0,53.0,79.0,59.0,13.0,9.0,35.0,70.0,56.0,19.0,129.0,14.0,5.0,65.0,17.0
3822,0.0,2.0,6.0,1.0,7.0,3.0,11.0,30.0,19.0,28.0,24.0,9.0,8.0,10.0,71.0,32.0,23.0,43.0,69.0,114.0,13.0,4.0,97.0,20.0,31.0,63.0,49.0,5.0,34.0,38.0
3871,0.0,3.0,18.0,2.0,6.0,10.0,30.0,36.0,8.0,60.0,29.0,4.0,24.0,35.0,26.0,155.0,51.0,14.0,1.0,33.0,5.0,25.0,52.0,53.0,19.0,49.0,38.0,7.0,22.0,16.0
3920,2.0,22.0,16.0,4.0,21.0,25.0,1.0,11.0,26.0,0.0,12.0,35.0,19.0,57.0,32.0,5.0,24.0,42.0,10.0,13.0,6.0,117.0,142.0,64.0,28.0,45.0,14.0,48.0,29.0,69.0
3969,0.0,6.0,15.0,11.0,26.0,55.0,7.0,10.0,18.0,8.0,2.0,37.0,22.0,69.0,39.0,21.0,19.0,17.0,30.0,14.0,4.0,12.0,77.0,129.0,45.0,60.0,59.0,16.0,9.0,20.0
4018,6.0,14.0,27.0,18.0,8.0,20.0,1.0,30.0,4.0,10.0,5.0,15.0,7.0,13.0,96.0,3.0,82.0,91.0,19.0,11.0,2.0,29.0,122.0,47.0,40.0,22.0,56.0,23.0,58.0,43.0
4067,0.0,6.0,17.0,49.0,31.0,18.0,3.0,4.0,15.0,7.0,5.0,16.0,60.0,13.0,40.0,62.0,38.0,84.0,8.0,41.0,1.0,68.0,36.0,86.0,64.0,14.0,93.0,11.0,10.0,30.0
4116,0.0,42.0,11.0,6.0,46.0,13.0,4.0,15.0,16.0,3.0,1.0,27.0,12.0,58.0,70.0,22.0,18.0,43.0,24.0,32.0,9.0,103.0,34.0,99.0,5.0,10.0,7.0,53.0,29.0,45.0
4165,5.0,22.0,12.0,1.0,19.0,24.0,2.0,18.0,27.0,3.0,6.0,16.0,33.0,30.0,26.0,7.0,78.0,91.0,9.0,55.0,8.0,143.0,42.0,43.0,21.0,10.0,20.0,62.0,15.0,25.0
4214,1.0,5.0,10.0,2.0,7.0,11.0,0.0,9.0,22.0,13.0,6.0,33.0,37.0,32.0,47.0,29.0,57.0,77.0,16.0,15.0,24.0,134.0,78.0,23.0,35.0,68.0,4.0,106.0,63.0,40.0
4263,23.0,13.0,5.0,3.0,16.0,62.0,0.0,7.0,6.0,17.0,4.0,21.0,35.0,106.0,116.0,83.0,69.0,136.0,27.0,71.0,9.0,137.0,38.0,30.0,18.0,10.0,8.0,55.0,37.0,19.0
4312,2.0,56.0,4.0,5.0,1.0,7.0,6.0,0.0,10.0,3.0,22.0,19.0,18.0,62.0,49.0,17.0,26.0,43.0,20.0,33.0,15.0,101.0,24.0,92.0,12.0,29.0,13.0,8.0,9.0,32.0
4361,5.0,12.0,1.0,2.0,15.0,53.0,0.0,4.0,24.0,20.0,6.0,3.0,57.0,35.0,17.0,34.0,18.0,32.0,88.0,23.0,8.0,30.0,26.0,79.0,21.0,27.0,54.0,36.0,7.0,52.0
4410,0.0,5.0,2.0,27.0,15.0,3.0,20.0,1.0,9.0,17.0,7.0,32.0,49.0,24.0,14.0,16.0,19.0,10.0,33.0,25.0,106.0,4.0,12.0,18.0,135.0,8.0,72.0,6.0,21.0,52.0
4459,0.0,23.0,6.0,59.0,26.0,16.0,50.0,4.0,3.0,19.0,49.0,14.0,5.0,1.0,21.0,11.0,68.0,24.0,41.0,52.0,7.0,2.0,13.0,18.0,8.0,66.0,70.0,12.0,27.0,20.0
4508,0.0,9.0,1.0,8.0,6.0,7.0,30.0,14.0,31.0,12.0,19.0,68.0,20.0,21.0,4.0,50.0,15.0,10.0,33.0,18.0,32.0,5.0,27.0,3.0,86.0,2.0,43.0,78.0,89.0,29.0
4557,0.0,7.0,1.0,20.0,4.0,3.0,14.0,8.0,18.0,13.0,19.0,83.0,110.0,16.0,2.0,35.0,32.0,30.0,23.0,25.0,44.0,5.0,12.0,6.0,147.0,43.0,22.0,29.0,26.0,11.0
4606,0.0,4.0,1.0,12.0,5.0,7.0,2.0,6.0,9.0,23.0,3.0,48.0,49.0,22.0,17.0,10.0,39.0,25.0,101.0,26.0,75.0,79.0,32.0,8.0,18.0,50.0,67.0,14.0,13.0,15.0
4655,0.0,8.0,1.0,9.0,4.0,3.0,74.0,2.0,6.0,17.0,19.0,69.0,51.0,22.0,13.0,93.0,70.0,10.0,23.0,20.0,35.0,18.0,118.0,15.0,50.0,38.0,86.0,11.0,41.0,105.0
4704,0.0,7.0,6.0,9.0,1.0,3.0,4.0,20.0,25.0,26.0,56.0,19.0,16.0,12.0,2.0,121.0,15.0,64.0,71.0,111.0,32.0,36.0,88.0,10.0,113.0,8.0,29.0,23.0,21.0,30.0
4753,0.0,3.0,5.0,1.0,6.0,2.0,25.0,9.0,4.0,23.0,21.0,14.0,20.0,61.0,46.0,54.0,38.0,18.0,40.0,12.0,31.0,30.0,32.0,7.0,41.0,17.0,24.0,8.0,35.0,37.0
4802,0.0,1.0,17.0,15.0,20.0,4.0,25.0,6.0,2.0,56.0,39.0,13.0,10.0,38.0,5.0,28.0,42.0,30.0,34.0,24.0,41.0,14.0,66.0,21.0,11.0,7.0,8.0,12.0,26.0,100.0
4851,0.0,2.0,4.0,25.0,58.0,3.0,13.0,5.0,71.0,9.0,10.0,11.0,34.0,15.0,18.0,56.0,8.0,35.0,26.0,17.0,1.0,7.0,69.0,27.0,21.0,29.0,23.0,14.0,33.0,12.0
