,hsa-miR-363,hsa-miR-328,hsa-miR-371-3p,hsa-miR-218,hsa-miR-579,hsa-miR-516a-5p,hsa-miR-608,hsa-miR-9,hsa-miR-551a,hsa-miR-488,hsa-miR-30c,ebv-miR-BART19-5p,hsa-miR-638,hsv1-miR-H8,hsa-let-7e,hsa-miR-147,hsa-miR-2113,hsa-miR-30a,hsa-miR-342-3p,hsa-miR-582-5p,hsa-miR-641,hsa-miR-219-5p,hsa-miR-450a,hsa-miR-1271,ebv-miR-BART6-5p,hsa-miR-1287,hsa-miR-324-3p,hsa-miR-323-5p,hsa-miR-885-3p,hsa-miR-885-5p
847,0.0,1.0,58.0,2.0,5.0,133.0,93.0,65.0,226.0,4.0,17.0,73.0,71.0,6.0,193.0,165.0,10.0,41.0,55.0,68.0,107.0,7.0,22.0,18.0,160.0,95.0,23.0,43.0,184.0,63.0
896,0.0,7.0,33.0,1.0,17.0,14.0,21.0,92.0,108.0,23.0,29.0,65.0,295.0,253.0,521.0,123.0,20.0,243.0,288.0,2.0,22.0,86.0,367.0,67.0,83.0,601.0,200.0,6.0,373.0,28.0
945,0.0,3.0,49.0,2.0,13.0,10.0,38.0,197.0,6.0,15.0,81.0,12.0,18.0,239.0,23.0,77.0,35.0,89.0,40.0,7.0,372.0,357.0,154.0,5.0,74.0,216.0,124.0,59.0,619.0,47.0
994,1.0,46.0,177.0,4.0,11.0,5.0,3.0,33.0,52.0,83.0,104.0,0.0,246.0,23.0,2.0,132.0,528.0,81.0,17.0,8.0,51.0,27.0,6.0,76.0,127.0,282.0,14.0,79.0,25.0,290.0
1043,11.0,1.0,162.0,37.0,64.0,3.0,83.0,9.0,103.0,20.0,226.0,19.0,541.0,165.0,5.0,16.0,25.0,577.0,10.0,58.0,75.0,0.0,65.0,48.0,232.0,333.0,13.0,290.0,28.0,355.0
1092,2.0,0.0,38.0,18.0,6.0,35.0,25.0,40.0,84.0,16.0,128.0,47.0,396.0,444.0,15.0,21.0,598.0,345.0,3.0,198.0,4.0,42.0,120.0,17.0,125.0,167.0,7.0,78.0,14.0,59.0
1141,0.0,9.0,83.0,3.0,141.0,46.0,12.0,37.0,415.0,14.0,99.0,28.0,381.0,1.0,81.0,42.0,23.0,303.0,144.0,7.0,49.0,55.0,209.0,41.0,164.0,377.0,6.0,34.0,67.0,426.0
1190,0.0,3.0,5.0,1.0,9.0,14.0,4.0,13.0,87.0,8.0,48.0,10.0,568.0,72.0,152.0,12.0,82.0,92.0,11.0,88.0,23.0,62.0,111.0,246.0,561.0,186.0,2.0,24.0,60.0,178.0
1239,0.0,78.0,25.0,85.0,68.0,103.0,6.0,28.0,39.0,27.0,531.0,282.0,34.0,547.0,8.0,14.0,453.0,308.0,5.0,91.0,101.0,4.0,29.0,243.0,92.0,202.0,1.0,35.0,58.0,221.0
1288,0.0,26.0,88.0,5.0,11.0,4.0,1.0,6.0,68.0,82.0,76.0,252.0,176.0,9.0,2.0,113.0,351.0,580.0,233.0,73.0,116.0,45.0,16.0,8.0,244.0,576.0,10.0,12.0,13.0,85.0
1337,1.0,3.0,0.0,29.0,260.0,25.0,7.0,4.0,141.0,2.0,44.0,14.0,41.0,11.0,17.0,272.0,153.0,562.0,5.0,36.0,230.0,26.0,69.0,104.0,399.0,604.0,72.0,9.0,202.0,53.0
1386,0.0,59.0,30.0,4.0,45.0,6.0,157.0,2.0,78.0,1.0,402.0,40.0,46.0,14.0,61.0,167.0,126.0,108.0,189.0,8.0,47.0,24.0,67.0,368.0,9.0,109.0,145.0,57.0,171.0,5.0
1435,0.0,1.0,69.0,9.0,45.0,13.0,7.0,6.0,603.0,32.0,93.0,183.0,281.0,40.0,15.0,31.0,360.0,121.0,561.0,351.0,394.0,3.0,159.0,8.0,30.0,24.0,476.0,109.0,59.0,10.0
1484,0.0,1.0,3.0,6.0,21.0,9.0,109.0,7.0,4.0,377.0,104.0,231.0,96.0,116.0,31.0,8.0,54.0,492.0,139.0,162.0,559.0,175.0,86.0,366.0,2.0,71.0,5.0,168.0,368.0,229.0
1533,77.0,5.0,0.0,6.0,1.0,21.0,9.0,155.0,7.0,338.0,27.0,80.0,25.0,3.0,17.0,10.0,412.0,171.0,8.0,108.0,57.0,133.0,341.0,98.0,16.0,519.0,24.0,74.0,416.0,14.0
1582,2.0,1.0,0.0,6.0,576.0,10.0,22.0,112.0,3.0,39.0,235.0,7.0,208.0,165.0,166.0,13.0,81.0,71.0,91.0,118.0,355.0,59.0,245.0,5.0,11.0,63.0,279.0,480.0,284.0,202.0
1631,0.0,2.0,5.0,1.0,10.0,7.0,65.0,18.0,16.0,240.0,130.0,31.0,322.0,207.0,43.0,70.0,48.0,215.0,101.0,47.0,19.0,64.0,35.0,8.0,38.0,230.0,3.0,589.0,206.0,22.0
1680,4.0,2.0,3.0,0.0,13.0,47.0,84.0,14.0,1.0,10.0,52.0,87.0,213.0,304.0,97.0,19.0,34.0,490.0,6.0,27.0,44.0,68.0,127.0,22.0,5.0,215.0,11.0,150.0,308.0,211.0
1729,2.0,0.0,1.0,8.0,32.0,6.0,83.0,24.0,4.0,9.0,18.0,14.0,469.0,288.0,20.0,38.0,11.0,188.0,523.0,286.0,94.0,178.0,149.0,15.0,10.0,374.0,52.0,269.0,191.0,467.0
1778,15.0,1.0,0.0,13.0,2.0,227.0,16.0,3.0,25.0,5.0,90.0,43.0,61.0,155.0,99.0,9.0,27.0,8.0,428.0,31.0,71.0,367.0,572.0,21.0,46.0,92.0,23.0,277.0,79.0,244.0
1827,2.0,1.0,0.0,4.0,8.0,28.0,6.0,71.0,101.0,12.0,296.0,7.0,68.0,53.0,5.0,24.0,344.0,3.0,367.0,57.0,128.0,90.0,514.0,189.0,25.0,15.0,262.0,185.0,98.0,575.0
1876,3.0,8.0,0.0,21.0,2.0,392.0,39.0,14.0,4.0,525.0,232.0,1.0,160.0,32.0,12.0,13.0,82.0,6.0,58.0,9.0,76.0,307.0,139.0,215.0,267.0,28.0,327.0,192.0,86.0,520.0
1925,3.0,4.0,0.0,20.0,1.0,120.0,60.0,21.0,277.0,484.0,102.0,501.0,410.0,15.0,13.0,2.0,518.0,80.0,58.0,10.0,93.0,89.0,76.0,54.0,77.0,6.0,28.0,433.0,84.0,266.0
1974,0.0,1.0,4.0,24.0,67.0,350.0,50.0,35.0,2.0,66.0,9.0,55.0,62.0,209.0,42.0,419.0,215.0,19.0,33.0,38.0,59.0,85.0,13.0,56.0,208.0,22.0,34.0,45.0,621.0,104.0
2023,0.0,2.0,3.0,6.0,20.0,254.0,216.0,1.0,7.0,184.0,15.0,11.0,57.0,9.0,155.0,76.0,266.0,65.0,38.0,130.0,4.0,442.0,26.0,115.0,301.0,492.0,5.0,12.0,45.0,37.0
2072,0.0,10.0,1.0,27.0,98.0,18.0,87.0,7.0,5.0,21.0,2.0,11.0,19.0,118.0,161.0,398.0,85.0,26.0,49.0,300.0,15.0,77.0,486.0,39.0,60.0,311.0,8.0,37.0,42.0,13.0
2121,0.0,1.0,56.0,45.0,7.0,44.0,186.0,23.0,65.0,6.0,2.0,4.0,5.0,361.0,514.0,19.0,334.0,14.0,51.0,322.0,27.0,49.0,10.0,62.0,80.0,32.0,207.0,3.0,46.0,40.0
2170,0.0,1.0,15.0,19.0,107.0,37.0,527.0,8.0,578.0,4.0,2.0,359.0,47.0,18.0,519.0,64.0,245.0,9.0,28.0,128.0,44.0,288.0,5.0,164.0,69.0,66.0,10.0,3.0,369.0,51.0
2219,2.0,10.0,3.0,43.0,12.0,31.0,1.0,15.0,16.0,11.0,6.0,42.0,0.0,29.0,211.0,22.0,411.0,55.0,109.0,244.0,74.0,17.0,383.0,175.0,102.0,73.0,330.0,40.0,86.0,336.0
2268,1.0,0.0,65.0,19.0,100.0,4.0,27.0,8.0,68.0,2.0,13.0,17.0,3.0,9.0,175.0,12.0,523.0,10.0,14.0,149.0,7.0,5.0,47.0,51.0,22.0,102.0,24.0,21.0,29.0,150.0
2317,0.0,2.0,11.0,19.0,12.0,5.0,92.0,62.0,144.0,1.0,20.0,41.0,36.0,42.0,14.0,158.0,44.0,4.0,121.0,577.0,30.0,71.0,75.0,267.0,58.0,493.0,15.0,3.0,80.0,116.0
2366,0.0,1.0,112.0,2.0,360.0,31.0,134.0,16.0,34.0,12.0,6.0,17.0,63.0,14.0,8.0,52.0,20.0,22.0,274.0,73.0,46.0,70.0,19.0,4.0,62.0,47.0,258.0,166.0,107.0,128.0
2415,3.0,4.0,0.0,1.0,7.0,26.0,131.0,15.0,140.0,24.0,11.0,74.0,5.0,91.0,8.0,55.0,160.0,12.0,35.0,34.0,2.0,13.0,124.0,56.0,589.0,384.0,392.0,50.0,84.0,47.0
2464,0.0,7.0,1.0,4.0,6.0,103.0,12.0,322.0,83.0,24.0,279.0,17.0,143.0,116.0,37.0,9.0,278.0,144.0,22.0,431.0,349.0,40.0,5.0,23.0,33.0,52.0,45.0,81.0,333.0,513.0
2513,0.0,96.0,1.0,12.0,7.0,447.0,11.0,544.0,32.0,13.0,33.0,326.0,66.0,113.0,61.0,48.0,6.0,219.0,24.0,98.0,575.0,192.0,5.0,196.0,530.0,16.0,233.0,20.0,257.0,49.0
2562,3.0,6.0,0.0,2.0,1.0,423.0,17.0,174.0,4.0,193.0,207.0,60.0,275.0,171.0,18.0,5.0,104.0,277.0,46.0,59.0,54.0,314.0,22.0,7.0,117.0,13.0,196.0,454.0,255.0,118.0
2611,11.0,1.0,0.0,2.0,4.0,7.0,13.0,140.0,70.0,8.0,6.0,74.0,49.0,121.0,10.0,51.0,255.0,76.0,92.0,17.0,48.0,44.0,15.0,3.0,9.0,153.0,293.0,102.0,134.0,168.0
2660,5.0,10.0,0.0,3.0,16.0,14.0,23.0,6.0,356.0,21.0,13.0,25.0,188.0,355.0,273.0,478.0,18.0,161.0,22.0,2.0,56.0,61.0,9.0,119.0,322.0,30.0,15.0,257.0,579.0,116.0
2709,5.0,3.0,0.0,2.0,59.0,25.0,12.0,128.0,43.0,593.0,57.0,24.0,79.0,556.0,203.0,54.0,32.0,114.0,17.0,7.0,15.0,26.0,20.0,6.0,1.0,13.0,136.0,65.0,400.0,51.0
2758,2.0,3.0,0.0,1.0,111.0,28.0,8.0,626.0,155.0,33.0,64.0,52.0,26.0,215.0,74.0,21.0,29.0,105.0,110.0,5.0,323.0,45.0,7.0,4.0,9.0,32.0,120.0,190.0,104.0,31.0
2807,2.0,0.0,16.0,3.0,66.0,5.0,56.0,81.0,628.0,7.0,46.0,18.0,35.0,438.0,240.0,8.0,39.0,31.0,112.0,4.0,387.0,486.0,30.0,1.0,99.0,63.0,19.0,26.0,469.0,84.0
2856,0.0,1.0,2.0,4.0,330.0,306.0,3.0,229.0,473.0,10.0,28.0,41.0,19.0,81.0,128.0,49.0,34.0,45.0,414.0,115.0,502.0,191.0,8.0,17.0,15.0,97.0,31.0,7.0,233.0,64.0
2905,0.0,1.0,3.0,2.0,318.0,328.0,360.0,217.0,310.0,21.0,91.0,51.0,6.0,124.0,257.0,136.0,287.0,118.0,16.0,11.0,306.0,460.0,9.0,72.0,7.0,49.0,45.0,4.0,316.0,207.0
2954,4.0,5.0,2.0,36.0,1.0,17.0,8.0,32.0,0.0,34.0,20.0,19.0,155.0,10.0,44.0,104.0,109.0,14.0,43.0,63.0,6.0,21.0,254.0,161.0,56.0,28.0,341.0,88.0,25.0,112.0
3003,0.0,28.0,232.0,14.0,11.0,23.0,270.0,6.0,41.0,30.0,17.0,25.0,154.0,5.0,200.0,97.0,8.0,7.0,143.0,251.0,359.0,9.0,36.0,33.0,44.0,310.0,138.0,123.0,42.0,76.0
3052,0.0,2.0,155.0,4.0,13.0,63.0,7.0,119.0,27.0,46.0,109.0,5.0,30.0,10.0,82.0,69.0,16.0,8.0,535.0,128.0,17.0,20.0,23.0,12.0,22.0,449.0,45.0,419.0,71.0,32.0
3101,1.0,137.0,2.0,8.0,19.0,3.0,532.0,13.0,0.0,102.0,10.0,5.0,11.0,6.0,104.0,30.0,9.0,88.0,16.0,136.0,36.0,298.0,90.0,112.0,186.0,237.0,188.0,263.0,607.0,46.0
3150,0.0,25.0,2.0,1.0,51.0,279.0,27.0,39.0,20.0,101.0,5.0,89.0,46.0,4.0,3.0,64.0,11.0,7.0,599.0,58.0,60.0,134.0,346.0,9.0,556.0,10.0,523.0,108.0,76.0,6.0
3199,0.0,9.0,6.0,1.0,53.0,65.0,71.0,5.0,323.0,117.0,352.0,46.0,31.0,12.0,56.0,264.0,14.0,111.0,75.0,25.0,535.0,55.0,131.0,601.0,30.0,35.0,81.0,223.0,44.0,77.0
3248,0.0,1.0,4.0,39.0,13.0,26.0,95.0,100.0,260.0,109.0,48.0,6.0,512.0,21.0,50.0,97.0,18.0,12.0,24.0,584.0,262.0,69.0,8.0,61.0,104.0,261.0,169.0,295.0,457.0,146.0
3297,9.0,2.0,0.0,8.0,3.0,192.0,50.0,23.0,234.0,140.0,41.0,18.0,21.0,6.0,38.0,173.0,28.0,31.0,52.0,35.0,17.0,160.0,1.0,230.0,246.0,7.0,33.0,253.0,65.0,108.0
3346,0.0,2.0,4.0,101.0,13.0,5.0,29.0,8.0,14.0,16.0,18.0,303.0,49.0,3.0,39.0,44.0,48.0,12.0,416.0,475.0,325.0,514.0,15.0,45.0,239.0,112.0,615.0,273.0,139.0,503.0
3395,0.0,34.0,20.0,105.0,55.0,7.0,3.0,79.0,110.0,6.0,8.0,37.0,15.0,1.0,26.0,16.0,38.0,77.0,229.0,144.0,56.0,222.0,418.0,49.0,186.0,540.0,85.0,10.0,61.0,205.0
3444,4.0,0.0,1.0,8.0,6.0,15.0,386.0,20.0,2.0,612.0,270.0,28.0,3.0,155.0,96.0,379.0,91.0,173.0,9.0,18.0,13.0,35.0,17.0,19.0,458.0,129.0,124.0,115.0,21.0,12.0
3493,459.0,9.0,61.0,2.0,3.0,6.0,125.0,14.0,166.0,83.0,71.0,117.0,28.0,1.0,56.0,289.0,7.0,225.0,16.0,25.0,340.0,195.0,80.0,41.0,22.0,148.0,88.0,99.0,242.0,34.0
3542,2.0,13.0,5.0,7.0,1.0,0.0,82.0,12.0,4.0,24.0,465.0,318.0,6.0,39.0,226.0,371.0,103.0,11.0,9.0,15.0,66.0,179.0,21.0,120.0,224.0,344.0,174.0,122.0,45.0,497.0
3591,38.0,2.0,32.0,0.0,9.0,5.0,23.0,19.0,1.0,294.0,20.0,4.0,3.0,240.0,150.0,8.0,67.0,284.0,69.0,6.0,519.0,71.0,102.0,81.0,276.0,22.0,586.0,136.0,57.0,30.0
3640,3.0,2.0,12.0,0.0,1.0,8.0,336.0,4.0,28.0,93.0,11.0,34.0,7.0,43.0,9.0,257.0,14.0,57.0,49.0,58.0,15.0,433.0,22.0,297.0,78.0,101.0,20.0,216.0,165.0,90.0
3689,13.0,5.0,1.0,0.0,3.0,14.0,48.0,2.0,7.0,35.0,58.0,183.0,25.0,490.0,564.0,76.0,214.0,9.0,224.0,30.0,21.0,136.0,29.0,230.0,91.0,113.0,16.0,579.0,53.0,47.0
3738,10.0,0.0,4.0,1.0,3.0,2.0,178.0,19.0,5.0,28.0,25.0,143.0,33.0,69.0,319.0,6.0,47.0,439.0,26.0,321.0,8.0,90.0,17.0,14.0,30.0,190.0,16.0,159.0,39.0,297.0
3787,13.0,0.0,1.0,2.0,7.0,9.0,6.0,15.0,16.0,48.0,12.0,39.0,8.0,227.0,399.0,11.0,22.0,472.0,23.0,105.0,44.0,170.0,312.0,78.0,113.0,120.0,125.0,473.0,156.0,187.0
3836,5.0,61.0,7.0,9.0,1.0,4.0,86.0,6.0,2.0,274.0,24.0,475.0,39.0,293.0,37.0,11.0,78.0,41.0,77.0,21.0,0.0,54.0,10.0,84.0,356.0,82.0,22.0,229.0,118.0,532.0
3885,1.0,4.0,37.0,3.0,44.0,11.0,9.0,0.0,7.0,10.0,222.0,127.0,13.0,115.0,544.0,56.0,67.0,41.0,12.0,130.0,6.0,38.0,92.0,327.0,28.0,518.0,64.0,565.0,119.0,514.0
3934,2.0,39.0,22.0,21.0,58.0,40.0,4.0,26.0,0.0,43.0,1.0,11.0,6.0,277.0,38.0,7.0,25.0,208.0,35.0,27.0,5.0,30.0,131.0,516.0,130.0,53.0,522.0,41.0,489.0,32.0
3983,0.0,37.0,12.0,34.0,27.0,1.0,2.0,113.0,85.0,40.0,11.0,3.0,4.0,31.0,28.0,222.0,136.0,29.0,10.0,6.0,5.0,45.0,100.0,596.0,19.0,54.0,36.0,49.0,63.0,21.0
4032,0.0,38.0,5.0,8.0,114.0,16.0,1.0,367.0,6.0,138.0,11.0,30.0,3.0,74.0,12.0,41.0,58.0,14.0,44.0,2.0,4.0,15.0,531.0,166.0,27.0,193.0,28.0,7.0,243.0,31.0
4081,1.0,8.0,6.0,7.0,89.0,3.0,0.0,162.0,39.0,269.0,13.0,22.0,2.0,33.0,11.0,35.0,10.0,5.0,31.0,17.0,12.0,71.0,73.0,141.0,503.0,258.0,18.0,4.0,75.0,145.0
4130,4.0,6.0,15.0,41.0,26.0,0.0,45.0,76.0,58.0,25.0,54.0,213.0,1.0,30.0,223.0,3.0,22.0,51.0,17.0,5.0,2.0,157.0,117.0,101.0,75.0,136.0,80.0,8.0,162.0,423.0
4179,0.0,72.0,23.0,6.0,38.0,2.0,8.0,339.0,13.0,15.0,11.0,48.0,4.0,7.0,5.0,32.0,9.0,22.0,1.0,130.0,21.0,399.0,547.0,14.0,101.0,71.0,159.0,60.0,63.0,261.0
4228,1.0,18.0,10.0,27.0,64.0,29.0,201.0,298.0,54.0,213.0,8.0,85.0,19.0,16.0,45.0,2.0,285.0,113.0,0.0,23.0,7.0,66.0,47.0,3.0,86.0,4.0,56.0,15.0,68.0,238.0
4277,1.0,5.0,10.0,13.0,45.0,9.0,37.0,276.0,4.0,24.0,6.0,107.0,8.0,42.0,26.0,2.0,17.0,34.0,0.0,12.0,81.0,30.0,58.0,149.0,39.0,185.0,418.0,293.0,161.0,215.0
4326,2.0,0.0,11.0,36.0,35.0,5.0,1.0,59.0,3.0,277.0,9.0,105.0,66.0,49.0,91.0,4.0,439.0,54.0,58.0,16.0,214.0,19.0,6.0,274.0,270.0,26.0,47.0,603.0,38.0,61.0
4375,0.0,1.0,9.0,3.0,45.0,541.0,2.0,163.0,15.0,52.0,7.0,213.0,131.0,4.0,10.0,97.0,345.0,30.0,63.0,363.0,251.0,70.0,17.0,99.0,339.0,22.0,31.0,8.0,508.0,90.0
4424,0.0,2.0,46.0,1.0,6.0,15.0,14.0,64.0,13.0,350.0,36.0,47.0,4.0,55.0,7.0,11.0,222.0,80.0,552.0,290.0,330.0,32.0,37.0,22.0,184.0,3.0,92.0,128.0,133.0,354.0
4473,0.0,9.0,3.0,11.0,242.0,23.0,1.0,68.0,6.0,61.0,460.0,8.0,4.0,204.0,66.0,52.0,70.0,95.0,165.0,185.0,55.0,10.0,115.0,15.0,20.0,39.0,12.0,431.0,7.0,180.0
4522,0.0,2.0,16.0,1.0,14.0,10.0,3.0,35.0,7.0,89.0,84.0,280.0,161.0,315.0,55.0,9.0,23.0,6.0,15.0,376.0,457.0,31.0,172.0,189.0,53.0,37.0,179.0,158.0,107.0,28.0
4571,0.0,3.0,2.0,1.0,261.0,20.0,34.0,572.0,5.0,33.0,78.0,50.0,96.0,210.0,57.0,243.0,171.0,519.0,92.0,375.0,19.0,10.0,70.0,241.0,8.0,4.0,42.0,463.0,51.0,264.0
4620,0.0,110.0,2.0,1.0,6.0,371.0,5.0,149.0,61.0,21.0,109.0,47.0,458.0,305.0,28.0,53.0,312.0,40.0,143.0,48.0,523.0,22.0,77.0,250.0,30.0,7.0,66.0,132.0,25.0,56.0
4669,0.0,10.0,4.0,1.0,9.0,184.0,31.0,21.0,13.0,85.0,242.0,53.0,48.0,127.0,12.0,208.0,17.0,22.0,77.0,124.0,132.0,18.0,150.0,64.0,16.0,8.0,487.0,216.0,19.0,40.0
4718,0.0,1.0,10.0,2.0,36.0,71.0,4.0,67.0,496.0,192.0,273.0,84.0,22.0,43.0,27.0,286.0,109.0,45.0,23.0,16.0,105.0,224.0,561.0,25.0,8.0,189.0,563.0,52.0,3.0,35.0
4767,1.0,3.0,0.0,2.0,20.0,510.0,4.0,264.0,6.0,50.0,5.0,28.0,8.0,13.0,96.0,439.0,491.0,11.0,15.0,45.0,296.0,22.0,47.0,210.0,57.0,74.0,12.0,54.0,83.0,37.0
4816,119.0,25.0,0.0,2.0,162.0,205.0,4.0,41.0,7.0,30.0,250.0,107.0,42.0,8.0,12.0,109.0,179.0,54.0,172.0,53.0,13.0,1.0,88.0,67.0,325.0,33.0,82.0,125.0,74.0,9.0
4865,9.0,6.0,0.0,3.0,21.0,187.0,8.0,11.0,126.0,149.0,23.0,16.0,30.0,5.0,10.0,49.0,232.0,4.0,215.0,174.0,69.0,37.0,286.0,56.0,536.0,14.0,83.0,219.0,191.0,132.0
