,TNK2_MUT,DST_MUT,GRB7_AMP,ACACB_MUT,APBA1_AMP,ERBB2_AMP,ZFP14_DEL,MIR4728_AMP,PGAP3_AMP,DEFT1P_DEL,DEFT1P2_DEL,CNTLN_DEL,PPFIA1_AMP,OR2T27_DEL,STARD3_AMP,BRAF.V600E_MUT,CTNNA2_MUT,JAK2_AMP,CCND1_AMP,BMPR2_MUT,ETS1_DEL,OR51A4_DEL,OR51A2_DEL,FADD_AMP,MIR548K_AMP,MTRNR2L6_DEL,TCAP_AMP,CT45A2_DEL,EPHA8_MUT,MYEOV_AMP
2772,58.0,229.0,13527.0,165.0,76.0,48.0,11769.0,1399.0,2272.0,337.0,104.0,10463.0,89.0,68.0,244.0,20123.0,213.0,15110.0,21895.0,35.0,338.0,764.0,3812.0,19470.0,15963.0,1569.0,291.0,7357.0,12.0,193.0
2821,1.0,2390.0,16.0,716.0,2.0,117.0,0.0,302.0,19807.0,101.0,20.0,77.0,1307.0,1291.0,17859.0,14.0,305.0,262.0,758.0,16906.0,68.0,38.0,1450.0,19536.0,15964.0,79.0,19369.0,125.0,191.0,13028.0
2870,16.0,113.0,44.0,13.0,13354.0,22.0,15.0,2008.0,43.0,6915.0,18610.0,10611.0,19413.0,1562.0,17850.0,20122.0,1453.0,2.0,80.0,79.0,520.0,3938.0,49.0,2067.0,608.0,639.0,1159.0,8318.0,16688.0,618.0
2919,149.0,626.0,13480.0,16438.0,13262.0,921.0,42.0,102.0,9.0,4759.0,19064.0,10459.0,19372.0,3954.0,17772.0,2452.0,565.0,221.0,21886.0,5.0,61.0,4011.0,57.0,19451.0,15823.0,1361.0,18.0,85.0,16620.0,12999.0
2968,21.0,1487.0,13551.0,0.0,2083.0,13736.0,12793.0,49.0,19866.0,5596.0,18618.0,1.0,115.0,3021.0,17866.0,2651.0,24.0,15102.0,21411.0,16920.0,1891.0,3002.0,1437.0,116.0,127.0,1781.0,19401.0,8554.0,2529.0,882.0
3017,40.0,1.0,7.0,0.0,214.0,16.0,345.0,1452.0,427.0,36.0,18611.0,15.0,62.0,417.0,17844.0,46.0,16596.0,14989.0,21419.0,38.0,17.0,4439.0,4438.0,2346.0,2566.0,18860.0,19399.0,8552.0,9.0,407.0
3066,57.0,5.0,2.0,420.0,19.0,1473.0,859.0,16228.0,19752.0,0.0,62.0,446.0,19422.0,87.0,17838.0,20123.0,88.0,14980.0,1994.0,16909.0,1314.0,2365.0,12.0,163.0,63.0,1095.0,19370.0,196.0,16625.0,38.0
3115,16608.0,1.0,0.0,462.0,13338.0,36.0,12551.0,16268.0,603.0,519.0,917.0,19.0,19433.0,188.0,2684.0,616.0,40.0,14991.0,21479.0,504.0,10.0,68.0,301.0,1074.0,24.0,2157.0,1989.0,294.0,16581.0,1546.0
3164,23.0,1.0,28.0,0.0,25.0,78.0,334.0,812.0,94.0,1273.0,236.0,21.0,19434.0,22.0,280.0,75.0,4.0,20.0,42.0,52.0,969.0,48.0,1131.0,19487.0,1886.0,2422.0,1115.0,8516.0,737.0,12992.0
3213,244.0,0.0,1.0,4.0,2.0,597.0,12514.0,16190.0,229.0,3.0,19056.0,84.0,175.0,19.0,36.0,53.0,129.0,47.0,1395.0,101.0,7.0,4220.0,932.0,19480.0,15936.0,18857.0,19529.0,8528.0,1027.0,237.0
3262,8.0,2.0,7.0,556.0,3.0,13822.0,12572.0,16276.0,19764.0,0.0,6.0,76.0,19443.0,111.0,5.0,21079.0,35.0,14.0,1492.0,10.0,5648.0,4249.0,247.0,19517.0,788.0,1178.0,19394.0,1525.0,16591.0,719.0
3311,23.0,2.0,137.0,190.0,154.0,13691.0,5.0,242.0,19812.0,8.0,1417.0,4.0,713.0,3278.0,17834.0,12.0,55.0,127.0,21897.0,736.0,7.0,3256.0,163.0,62.0,178.0,381.0,111.0,174.0,16540.0,2628.0
3360,0.0,129.0,3.0,679.0,31.0,94.0,11645.0,1.0,19869.0,7.0,19184.0,48.0,154.0,76.0,17859.0,623.0,1020.0,89.0,55.0,69.0,53.0,979.0,83.0,50.0,2347.0,336.0,5.0,228.0,16686.0,27.0
3409,18.0,0.0,13512.0,44.0,14.0,1274.0,1104.0,16208.0,452.0,21.0,407.0,85.0,23428.0,59.0,17837.0,20131.0,182.0,2.0,877.0,1677.0,48.0,30.0,1.0,53.0,589.0,18885.0,95.0,167.0,651.0,69.0
3458,74.0,5.0,1.0,4.0,220.0,13803.0,319.0,10.0,17.0,211.0,7.0,85.0,59.0,41.0,0.0,2309.0,16561.0,15052.0,6.0,16948.0,5067.0,2021.0,3187.0,19546.0,110.0,18918.0,19404.0,63.0,16700.0,525.0
