,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,THYROID,PANCREAS,AERODIGESTIVE,BILIARY,URINARY,KIDNEY,SOFT_TISSUE,SALIVARY,PLEURA,OESOPHAGUS,PROSTATE,ENDOMETRIUM,BREAST,BONE,LIVER,OVARY,NERVOUS,LUNG
974,0.0,3.0,4.0,7.0,1.0,5.0,2.0,12.0,8.0,6.0,9.0,10.0,11.0,13.0,20.0,22.0,21.0,15.0,16.0,17.0,18.0,19.0,14.0
1023,0.0,5.0,3.0,1.0,2.0,8.0,4.0,11.0,6.0,20.0,7.0,9.0,10.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,13.0,19.0,22.0
1072,4.0,5.0,2.0,0.0,1.0,11.0,3.0,6.0,7.0,8.0,10.0,12.0,13.0,14.0,15.0,22.0,19.0,18.0,20.0,21.0,9.0,17.0,16.0
1121,3.0,7.0,0.0,4.0,1.0,10.0,2.0,8.0,6.0,19.0,9.0,5.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,17.0,18.0,13.0
1170,3.0,4.0,1.0,16.0,0.0,8.0,2.0,5.0,6.0,19.0,7.0,9.0,10.0,11.0,12.0,22.0,20.0,13.0,15.0,21.0,17.0,18.0,14.0
1219,12.0,4.0,1.0,0.0,3.0,10.0,2.0,5.0,9.0,19.0,11.0,13.0,8.0,6.0,21.0,7.0,15.0,16.0,14.0,20.0,17.0,18.0,22.0
1268,3.0,4.0,1.0,5.0,0.0,10.0,2.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,22.0,19.0,18.0,20.0,21.0,16.0,17.0,15.0
1317,3.0,6.0,0.0,15.0,1.0,8.0,2.0,4.0,5.0,18.0,7.0,9.0,10.0,11.0,12.0,14.0,19.0,13.0,21.0,22.0,16.0,17.0,20.0
1366,5.0,6.0,0.0,3.0,4.0,10.0,1.0,2.0,9.0,12.0,11.0,13.0,8.0,18.0,15.0,22.0,14.0,19.0,17.0,16.0,20.0,21.0,7.0
1415,4.0,5.0,0.0,1.0,2.0,9.0,3.0,6.0,7.0,21.0,8.0,10.0,11.0,12.0,13.0,22.0,18.0,14.0,19.0,16.0,17.0,20.0,15.0
1464,7.0,0.0,3.0,1.0,2.0,9.0,4.0,5.0,6.0,20.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,13.0,19.0,22.0
1513,0.0,4.0,5.0,1.0,3.0,2.0,6.0,7.0,8.0,9.0,10.0,19.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,13.0,20.0,22.0
1562,7.0,5.0,0.0,1.0,3.0,2.0,4.0,10.0,6.0,8.0,9.0,17.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,18.0,19.0,13.0
1611,0.0,1.0,4.0,9.0,3.0,2.0,5.0,7.0,8.0,6.0,10.0,18.0,11.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
