,phosphocreatine,GABA,pantothenate,urate,homocysteine,serine,C18:0 LPE,serotonin,niacinamide,beta-alanine,C16:0 LPE,C18:0 LPC,alpha-glycerophosphocholine,C56:5 TAG,creatine,creatinine,C36:4 PC-B,C22:6 CE,2-deoxyadenosine,N-carbamoyl-beta-alanine,alpha-glycerophosphate,asparagine,3-phosphoglycerate,PEP,taurodeoxycholate,uridine,oxalate,malondialdehyde,valerylcarnitine,1-methylnicotinamide
1693,0.0,3.0,31.0,4.0,25.0,24.0,11.0,55.0,59.0,37.0,47.0,8.0,60.0,58.0,18.0,19.0,15.0,10.0,20.0,16.0,27.0,21.0,1.0,33.0,2.0,56.0,30.0,64.0,22.0,66.0
1742,0.0,4.0,27.0,32.0,24.0,37.0,9.0,16.0,59.0,35.0,38.0,36.0,21.0,56.0,61.0,20.0,10.0,11.0,62.0,58.0,26.0,7.0,1.0,5.0,3.0,30.0,6.0,64.0,33.0,49.0
1791,0.0,13.0,24.0,21.0,1.0,6.0,38.0,59.0,63.0,9.0,5.0,42.0,4.0,60.0,26.0,44.0,12.0,3.0,54.0,62.0,45.0,7.0,43.0,23.0,10.0,30.0,25.0,16.0,36.0,34.0
1840,2.0,3.0,7.0,6.0,8.0,4.0,16.0,53.0,18.0,35.0,14.0,36.0,17.0,55.0,15.0,60.0,9.0,23.0,61.0,58.0,1.0,5.0,25.0,26.0,28.0,29.0,32.0,0.0,11.0,49.0
1889,0.0,4.0,2.0,6.0,3.0,1.0,18.0,51.0,14.0,26.0,22.0,10.0,17.0,53.0,20.0,21.0,16.0,9.0,61.0,13.0,30.0,7.0,28.0,33.0,5.0,57.0,31.0,52.0,11.0,64.0
1938,0.0,12.0,29.0,6.0,26.0,64.0,4.0,11.0,56.0,42.0,5.0,41.0,14.0,54.0,59.0,15.0,21.0,23.0,62.0,13.0,2.0,25.0,10.0,9.0,30.0,57.0,28.0,1.0,38.0,16.0
1987,0.0,5.0,56.0,3.0,2.0,10.0,1.0,20.0,57.0,35.0,18.0,36.0,9.0,6.0,59.0,13.0,19.0,43.0,23.0,8.0,25.0,12.0,24.0,7.0,50.0,53.0,30.0,47.0,17.0,15.0
2036,1.0,14.0,10.0,27.0,2.0,55.0,4.0,59.0,8.0,7.0,5.0,17.0,21.0,9.0,46.0,63.0,3.0,43.0,30.0,32.0,40.0,20.0,66.0,50.0,25.0,26.0,48.0,54.0,33.0,65.0
2085,0.0,5.0,1.0,4.0,7.0,13.0,9.0,17.0,57.0,10.0,46.0,3.0,58.0,55.0,15.0,61.0,16.0,19.0,63.0,56.0,45.0,20.0,22.0,28.0,24.0,25.0,30.0,50.0,11.0,21.0
2134,0.0,5.0,29.0,4.0,26.0,10.0,11.0,21.0,17.0,43.0,40.0,15.0,56.0,19.0,58.0,24.0,13.0,20.0,61.0,6.0,14.0,7.0,25.0,55.0,32.0,3.0,31.0,49.0,46.0,66.0
2183,0.0,7.0,32.0,1.0,24.0,2.0,44.0,10.0,12.0,5.0,20.0,47.0,22.0,65.0,23.0,14.0,4.0,21.0,16.0,64.0,37.0,8.0,13.0,34.0,36.0,35.0,31.0,3.0,50.0,18.0
2232,0.0,53.0,32.0,1.0,2.0,31.0,4.0,52.0,25.0,6.0,16.0,5.0,56.0,27.0,13.0,22.0,3.0,46.0,20.0,7.0,15.0,9.0,28.0,34.0,33.0,60.0,10.0,55.0,19.0,64.0
2281,6.0,0.0,3.0,7.0,5.0,8.0,1.0,13.0,24.0,19.0,16.0,44.0,18.0,2.0,20.0,25.0,15.0,47.0,11.0,17.0,36.0,28.0,26.0,32.0,33.0,55.0,29.0,27.0,48.0,10.0
2330,4.0,3.0,47.0,5.0,2.0,22.0,9.0,16.0,13.0,18.0,28.0,38.0,66.0,60.0,44.0,11.0,0.0,8.0,23.0,62.0,37.0,19.0,10.0,48.0,24.0,51.0,29.0,21.0,15.0,12.0
2379,4.0,9.0,27.0,5.0,11.0,3.0,7.0,53.0,58.0,8.0,16.0,36.0,22.0,55.0,66.0,20.0,6.0,13.0,62.0,23.0,14.0,31.0,1.0,29.0,28.0,0.0,44.0,10.0,33.0,47.0
2428,2.0,12.0,25.0,21.0,46.0,58.0,8.0,10.0,3.0,1.0,20.0,5.0,62.0,14.0,4.0,22.0,7.0,0.0,30.0,18.0,34.0,13.0,38.0,24.0,55.0,35.0,26.0,57.0,44.0,65.0
2477,25.0,10.0,1.0,28.0,0.0,8.0,11.0,18.0,59.0,13.0,3.0,39.0,17.0,56.0,16.0,2.0,5.0,44.0,64.0,58.0,9.0,20.0,21.0,55.0,49.0,29.0,23.0,4.0,6.0,14.0
2526,1.0,13.0,5.0,4.0,0.0,2.0,8.0,26.0,16.0,6.0,11.0,12.0,17.0,54.0,59.0,25.0,20.0,9.0,61.0,56.0,28.0,30.0,27.0,62.0,33.0,58.0,63.0,3.0,24.0,22.0
2575,9.0,5.0,2.0,27.0,26.0,1.0,0.0,12.0,56.0,6.0,10.0,8.0,7.0,54.0,14.0,18.0,11.0,23.0,60.0,15.0,28.0,64.0,17.0,33.0,29.0,32.0,48.0,4.0,40.0,3.0
2624,3.0,11.0,9.0,2.0,0.0,7.0,25.0,5.0,16.0,31.0,24.0,21.0,19.0,62.0,29.0,30.0,6.0,20.0,44.0,14.0,18.0,17.0,43.0,23.0,56.0,12.0,8.0,1.0,36.0,32.0
2673,32.0,15.0,1.0,11.0,0.0,27.0,4.0,53.0,16.0,19.0,6.0,20.0,65.0,54.0,8.0,2.0,21.0,23.0,61.0,12.0,29.0,30.0,26.0,59.0,7.0,56.0,35.0,3.0,9.0,10.0
2722,1.0,11.0,6.0,3.0,0.0,33.0,39.0,10.0,58.0,19.0,21.0,20.0,59.0,12.0,13.0,14.0,42.0,45.0,16.0,57.0,29.0,24.0,66.0,5.0,27.0,51.0,55.0,26.0,18.0,4.0
2771,4.0,12.0,2.0,7.0,3.0,24.0,5.0,11.0,57.0,19.0,0.0,46.0,58.0,23.0,16.0,10.0,44.0,22.0,62.0,56.0,26.0,13.0,25.0,30.0,27.0,51.0,55.0,32.0,6.0,48.0
2820,48.0,18.0,2.0,1.0,4.0,14.0,11.0,3.0,16.0,15.0,10.0,37.0,6.0,55.0,9.0,7.0,30.0,21.0,63.0,17.0,29.0,49.0,23.0,26.0,0.0,5.0,57.0,12.0,22.0,8.0
2869,1.0,6.0,3.0,2.0,28.0,63.0,7.0,64.0,12.0,23.0,8.0,9.0,13.0,10.0,15.0,59.0,42.0,5.0,26.0,11.0,48.0,29.0,16.0,35.0,34.0,61.0,4.0,31.0,65.0,20.0
2918,28.0,58.0,8.0,1.0,9.0,5.0,0.0,3.0,15.0,18.0,6.0,20.0,60.0,17.0,12.0,2.0,37.0,25.0,63.0,59.0,11.0,24.0,45.0,34.0,53.0,7.0,36.0,26.0,13.0,44.0
2967,8.0,9.0,53.0,34.0,15.0,58.0,33.0,3.0,7.0,38.0,24.0,12.0,62.0,16.0,63.0,19.0,35.0,5.0,20.0,18.0,4.0,13.0,46.0,10.0,56.0,1.0,30.0,11.0,39.0,45.0
3016,11.0,2.0,3.0,5.0,45.0,12.0,39.0,1.0,17.0,36.0,34.0,37.0,62.0,21.0,6.0,4.0,13.0,42.0,64.0,61.0,0.0,57.0,33.0,7.0,28.0,22.0,8.0,20.0,30.0,38.0
3065,25.0,11.0,0.0,53.0,13.0,49.0,6.0,2.0,12.0,17.0,18.0,45.0,8.0,54.0,9.0,1.0,20.0,44.0,21.0,57.0,27.0,50.0,66.0,33.0,26.0,28.0,60.0,3.0,35.0,48.0
3114,49.0,4.0,10.0,27.0,12.0,22.0,2.0,14.0,57.0,19.0,3.0,9.0,58.0,54.0,11.0,61.0,1.0,6.0,21.0,15.0,0.0,18.0,66.0,25.0,53.0,28.0,5.0,45.0,42.0,65.0
3163,0.0,3.0,2.0,32.0,21.0,1.0,5.0,12.0,17.0,4.0,31.0,9.0,11.0,13.0,62.0,63.0,34.0,24.0,45.0,16.0,23.0,15.0,44.0,30.0,22.0,55.0,29.0,58.0,8.0,19.0
3212,5.0,15.0,33.0,6.0,27.0,1.0,14.0,4.0,18.0,25.0,10.0,11.0,63.0,61.0,20.0,22.0,12.0,38.0,23.0,17.0,9.0,8.0,26.0,62.0,35.0,52.0,0.0,2.0,51.0,56.0
3261,10.0,3.0,0.0,4.0,5.0,8.0,7.0,22.0,2.0,36.0,1.0,37.0,65.0,20.0,25.0,59.0,14.0,44.0,61.0,55.0,13.0,32.0,66.0,30.0,29.0,31.0,27.0,9.0,33.0,17.0
3310,3.0,5.0,0.0,32.0,26.0,29.0,22.0,4.0,14.0,19.0,2.0,20.0,24.0,12.0,7.0,6.0,23.0,47.0,56.0,61.0,45.0,25.0,9.0,8.0,30.0,31.0,36.0,27.0,18.0,17.0
3359,26.0,6.0,2.0,1.0,24.0,14.0,40.0,5.0,16.0,17.0,9.0,38.0,15.0,18.0,59.0,13.0,22.0,46.0,12.0,58.0,29.0,3.0,23.0,55.0,4.0,28.0,25.0,0.0,41.0,11.0
3408,0.0,10.0,1.0,32.0,44.0,55.0,31.0,14.0,19.0,17.0,2.0,18.0,61.0,59.0,63.0,64.0,8.0,3.0,27.0,60.0,6.0,5.0,23.0,51.0,24.0,4.0,29.0,21.0,15.0,13.0
3457,4.0,3.0,2.0,6.0,9.0,0.0,10.0,51.0,7.0,42.0,20.0,13.0,19.0,53.0,59.0,18.0,21.0,41.0,16.0,55.0,11.0,15.0,26.0,28.0,54.0,5.0,61.0,48.0,12.0,66.0
3506,1.0,53.0,10.0,29.0,3.0,0.0,4.0,7.0,6.0,17.0,16.0,36.0,57.0,24.0,27.0,22.0,14.0,45.0,21.0,55.0,15.0,51.0,66.0,9.0,2.0,48.0,11.0,31.0,46.0,64.0
3555,30.0,21.0,34.0,32.0,2.0,12.0,47.0,22.0,55.0,10.0,0.0,16.0,18.0,53.0,6.0,65.0,11.0,46.0,60.0,19.0,29.0,15.0,26.0,5.0,4.0,31.0,7.0,28.0,48.0,49.0
3604,23.0,1.0,0.0,6.0,4.0,2.0,38.0,13.0,20.0,39.0,45.0,42.0,8.0,62.0,14.0,63.0,30.0,41.0,19.0,9.0,24.0,59.0,46.0,3.0,33.0,5.0,53.0,58.0,11.0,22.0
3653,10.0,8.0,11.0,50.0,3.0,1.0,45.0,57.0,7.0,38.0,23.0,39.0,6.0,21.0,46.0,17.0,31.0,34.0,5.0,59.0,0.0,9.0,66.0,2.0,30.0,32.0,14.0,52.0,16.0,25.0
