, JAK-STAT, PI3K_only, TLR, MAPK_only, TGFB, Wnt, TNFa, IL-1, VEGF, H2O2, MAPK_PI3K
1116,0.0,1.0,3.0,2.0,4.0,5.0,7.0,9.0,6.0,8.0,10.0
1165,0.0,1.0,4.0,3.0,5.0,6.0,7.0,2.0,8.0,9.0,10.0
1214,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
1263,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
1312,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
1361,0.0,1.0,2.0,5.0,6.0,3.0,7.0,4.0,8.0,10.0,9.0
1410,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
1459,0.0,1.0,2.0,4.0,5.0,6.0,7.0,3.0,8.0,9.0,10.0
1508,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
1557,0.0,1.0,3.0,4.0,5.0,2.0,7.0,8.0,6.0,10.0,9.0
1606,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
1655,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,10.0,9.0
1704,0.0,1.0,2.0,3.0,4.0,5.0,7.0,10.0,6.0,8.0,9.0
1753,0.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
1802,0.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
1851,0.0,1.0,3.0,2.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
1900,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
1949,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
1998,0.0,1.0,2.0,6.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0
2047,0.0,1.0,2.0,4.0,3.0,5.0,7.0,6.0,10.0,9.0,8.0
2096,0.0,1.0,2.0,4.0,3.0,6.0,5.0,7.0,8.0,9.0,10.0
2145,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0
2194,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0
2243,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2292,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2341,0.0,1.0,2.0,6.0,3.0,5.0,4.0,7.0,8.0,9.0,10.0
2390,0.0,1.0,2.0,7.0,3.0,5.0,4.0,6.0,8.0,9.0,10.0
2439,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0
2488,0.0,1.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,9.0,10.0
2537,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
2586,0.0,1.0,3.0,6.0,4.0,5.0,7.0,2.0,8.0,9.0,10.0
2635,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2684,0.0,1.0,3.0,2.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0
2733,0.0,1.0,3.0,4.0,5.0,2.0,6.0,8.0,9.0,7.0,10.0
2782,0.0,1.0,4.0,3.0,2.0,5.0,6.0,7.0,8.0,10.0,9.0
2831,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0
2880,0.0,1.0,3.0,5.0,2.0,4.0,7.0,6.0,8.0,9.0,10.0
2929,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,10.0,8.0,9.0
2978,0.0,1.0,2.0,6.0,7.0,5.0,3.0,8.0,4.0,9.0,10.0
3027,0.0,1.0,2.0,7.0,3.0,5.0,4.0,8.0,6.0,9.0,10.0
3076,0.0,1.0,2.0,7.0,3.0,6.0,4.0,8.0,5.0,9.0,10.0
3125,0.0,1.0,2.0,8.0,5.0,3.0,6.0,4.0,7.0,9.0,10.0
3174,0.0,1.0,3.0,4.0,5.0,2.0,7.0,8.0,6.0,9.0,10.0
3223,0.0,1.0,2.0,8.0,4.0,6.0,7.0,3.0,5.0,9.0,10.0
3272,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,10.0,9.0
3321,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
3370,0.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,7.0,9.0,10.0
3419,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
3468,0.0,1.0,2.0,8.0,3.0,4.0,7.0,5.0,6.0,10.0,9.0
3517,0.0,1.0,3.0,7.0,2.0,4.0,8.0,5.0,6.0,10.0,9.0
3566,0.0,1.0,3.0,6.0,4.0,2.0,9.0,5.0,7.0,10.0,8.0
3615,0.0,1.0,2.0,6.0,3.0,4.0,7.0,5.0,8.0,10.0,9.0
3664,0.0,1.0,2.0,5.0,3.0,4.0,9.0,6.0,7.0,8.0,10.0
3713,0.0,1.0,2.0,6.0,3.0,4.0,7.0,5.0,8.0,9.0,10.0
3762,0.0,1.0,2.0,6.0,3.0,4.0,10.0,5.0,7.0,9.0,8.0
3811,0.0,1.0,2.0,5.0,3.0,4.0,8.0,6.0,7.0,9.0,10.0
3860,0.0,1.0,2.0,6.0,3.0,4.0,7.0,5.0,8.0,10.0,9.0
3909,0.0,1.0,3.0,5.0,2.0,4.0,10.0,6.0,7.0,8.0,9.0
3958,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4007,0.0,1.0,3.0,7.0,4.0,2.0,5.0,6.0,8.0,9.0,10.0
4056,0.0,1.0,2.0,6.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0
4105,0.0,1.0,2.0,5.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0
4154,0.0,1.0,2.0,7.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0
4203,0.0,1.0,2.0,7.0,3.0,4.0,6.0,8.0,5.0,9.0,10.0
4252,0.0,1.0,2.0,7.0,3.0,4.0,6.0,5.0,8.0,9.0,10.0
4301,0.0,1.0,2.0,6.0,4.0,3.0,5.0,7.0,8.0,10.0,9.0
4350,0.0,2.0,1.0,5.0,4.0,3.0,6.0,7.0,9.0,8.0,10.0
4399,0.0,1.0,2.0,6.0,4.0,5.0,7.0,3.0,8.0,10.0,9.0
4448,0.0,1.0,2.0,6.0,3.0,5.0,4.0,7.0,8.0,10.0,9.0
4497,0.0,1.0,4.0,3.0,2.0,5.0,7.0,8.0,6.0,9.0,10.0
4546,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
4595,0.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0
4644,0.0,1.0,3.0,2.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
4693,0.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
4742,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0
4791,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,7.0,10.0,9.0
4840,0.0,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,10.0,9.0
4889,0.0,1.0,2.0,6.0,3.0,5.0,4.0,9.0,7.0,8.0,10.0
