,OESOPHAGUS,KIDNEY,AERODIGESTIVE,PROSTATE,THYROID,PANCREAS,ENDOMETRIUM,PLEURA,SALIVARY,STOMACH,GANGLIA,LARGE_INTESTINE,OVARY,URINARY,LUNG,BONE,SOFT_TISSUE,HAEMATOPOIETIC,BILIARY,NERVOUS,BREAST,LIVER,SKIN
779,6.0,1.0,5.0,2.0,8.0,0.0,3.0,4.0,9.0,7.0,11.0,14.0,12.0,13.0,19.0,10.0,16.0,15.0,18.0,20.0,17.0,21.0,22.0
828,2.0,1.0,6.0,9.0,5.0,0.0,3.0,4.0,8.0,7.0,11.0,12.0,13.0,15.0,17.0,10.0,14.0,16.0,18.0,20.0,19.0,21.0,22.0
877,2.0,1.0,5.0,3.0,4.0,0.0,9.0,6.0,8.0,10.0,7.0,11.0,12.0,18.0,14.0,13.0,16.0,15.0,17.0,20.0,19.0,21.0,22.0
926,1.0,2.0,4.0,7.0,3.0,0.0,6.0,5.0,11.0,8.0,12.0,10.0,9.0,14.0,16.0,13.0,17.0,15.0,18.0,19.0,20.0,21.0,22.0
975,1.0,0.0,8.0,3.0,6.0,2.0,5.0,4.0,7.0,12.0,11.0,9.0,13.0,10.0,16.0,14.0,20.0,15.0,17.0,18.0,19.0,21.0,22.0
1024,1.0,3.0,0.0,2.0,4.0,6.0,5.0,9.0,7.0,8.0,10.0,11.0,12.0,15.0,13.0,16.0,14.0,19.0,18.0,17.0,20.0,21.0,22.0
1073,1.0,0.0,3.0,2.0,8.0,4.0,5.0,10.0,9.0,6.0,7.0,12.0,11.0,21.0,15.0,14.0,13.0,19.0,16.0,17.0,18.0,20.0,22.0
1122,0.0,1.0,8.0,2.0,3.0,4.0,7.0,10.0,9.0,5.0,6.0,11.0,12.0,15.0,13.0,16.0,14.0,18.0,17.0,19.0,20.0,21.0,22.0
1171,2.0,0.0,1.0,3.0,4.0,5.0,8.0,10.0,9.0,6.0,7.0,11.0,12.0,18.0,13.0,15.0,14.0,19.0,16.0,20.0,17.0,21.0,22.0
1220,3.0,1.0,2.0,6.0,7.0,5.0,4.0,8.0,12.0,9.0,0.0,10.0,11.0,21.0,14.0,13.0,15.0,17.0,16.0,19.0,18.0,20.0,22.0
1269,0.0,1.0,2.0,3.0,4.0,6.0,5.0,8.0,7.0,10.0,9.0,11.0,12.0,15.0,13.0,16.0,14.0,19.0,17.0,18.0,20.0,21.0,22.0
1318,6.0,1.0,2.0,4.0,5.0,3.0,0.0,9.0,8.0,10.0,7.0,12.0,11.0,18.0,13.0,16.0,15.0,19.0,17.0,14.0,20.0,21.0,22.0
1367,3.0,1.0,2.0,4.0,5.0,0.0,9.0,8.0,7.0,10.0,6.0,11.0,12.0,20.0,13.0,14.0,15.0,17.0,16.0,18.0,21.0,19.0,22.0
1416,1.0,3.0,0.0,7.0,4.0,2.0,5.0,9.0,8.0,10.0,6.0,11.0,13.0,21.0,15.0,17.0,16.0,19.0,18.0,14.0,12.0,20.0,22.0
1465,1.0,3.0,0.0,2.0,4.0,6.0,5.0,9.0,8.0,11.0,7.0,10.0,12.0,16.0,13.0,20.0,14.0,18.0,15.0,19.0,17.0,21.0,22.0
1514,1.0,0.0,3.0,7.0,2.0,6.0,5.0,4.0,8.0,9.0,11.0,12.0,13.0,10.0,15.0,16.0,17.0,14.0,18.0,19.0,21.0,20.0,22.0
1563,0.0,1.0,2.0,3.0,4.0,9.0,7.0,5.0,8.0,10.0,11.0,14.0,12.0,6.0,16.0,13.0,17.0,19.0,18.0,15.0,20.0,21.0,22.0
1612,1.0,0.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0,9.0,12.0,13.0,10.0,11.0,14.0,16.0,17.0,15.0,18.0,21.0,20.0,19.0,22.0
1661,2.0,0.0,1.0,4.0,5.0,3.0,7.0,6.0,9.0,10.0,11.0,19.0,12.0,8.0,13.0,15.0,16.0,14.0,17.0,18.0,20.0,21.0,22.0
1710,2.0,0.0,1.0,3.0,4.0,8.0,7.0,5.0,12.0,6.0,10.0,13.0,14.0,9.0,15.0,17.0,11.0,16.0,18.0,20.0,19.0,21.0,22.0
1759,4.0,0.0,1.0,2.0,7.0,10.0,5.0,3.0,8.0,6.0,9.0,13.0,11.0,12.0,14.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
1808,0.0,8.0,1.0,2.0,3.0,6.0,5.0,4.0,9.0,10.0,7.0,13.0,12.0,11.0,17.0,19.0,16.0,14.0,15.0,18.0,21.0,20.0,22.0
1857,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,12.0,15.0,10.0,13.0,14.0,17.0,18.0,16.0,11.0,20.0,19.0,21.0,22.0
1906,2.0,3.0,1.0,8.0,4.0,7.0,0.0,5.0,9.0,6.0,10.0,13.0,11.0,12.0,15.0,16.0,17.0,14.0,18.0,19.0,21.0,20.0,22.0
1955,2.0,0.0,1.0,4.0,5.0,3.0,6.0,8.0,7.0,9.0,10.0,12.0,11.0,14.0,15.0,13.0,17.0,16.0,18.0,20.0,21.0,19.0,22.0
2004,6.0,2.0,1.0,3.0,4.0,7.0,8.0,5.0,11.0,9.0,0.0,12.0,14.0,13.0,15.0,19.0,16.0,17.0,10.0,18.0,20.0,21.0,22.0
2053,0.0,1.0,2.0,4.0,5.0,3.0,6.0,8.0,7.0,10.0,9.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0,18.0,19.0,21.0,20.0,22.0
2102,0.0,2.0,4.0,1.0,3.0,6.0,8.0,5.0,10.0,12.0,7.0,13.0,14.0,11.0,15.0,17.0,9.0,16.0,18.0,19.0,20.0,21.0,22.0
2151,0.0,1.0,2.0,3.0,4.0,6.0,9.0,5.0,10.0,7.0,8.0,12.0,15.0,11.0,13.0,16.0,17.0,18.0,19.0,14.0,20.0,21.0,22.0
2200,0.0,4.0,1.0,3.0,7.0,2.0,6.0,5.0,8.0,9.0,12.0,11.0,10.0,13.0,15.0,14.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
2249,2.0,0.0,1.0,3.0,4.0,5.0,8.0,10.0,9.0,6.0,7.0,12.0,19.0,13.0,14.0,11.0,15.0,17.0,16.0,18.0,20.0,21.0,22.0
2298,2.0,0.0,1.0,3.0,4.0,6.0,9.0,5.0,8.0,11.0,7.0,12.0,19.0,10.0,14.0,15.0,16.0,13.0,18.0,17.0,21.0,20.0,22.0
2347,0.0,1.0,7.0,3.0,4.0,2.0,10.0,5.0,8.0,9.0,6.0,11.0,19.0,14.0,15.0,12.0,16.0,13.0,18.0,17.0,21.0,20.0,22.0
2396,1.0,3.0,2.0,10.0,9.0,0.0,6.0,4.0,8.0,5.0,7.0,11.0,13.0,12.0,18.0,15.0,16.0,20.0,17.0,14.0,19.0,21.0,22.0
2445,0.0,2.0,1.0,8.0,3.0,5.0,7.0,4.0,9.0,10.0,6.0,13.0,14.0,12.0,11.0,19.0,17.0,16.0,18.0,15.0,20.0,21.0,22.0
2494,0.0,1.0,2.0,6.0,7.0,5.0,4.0,3.0,8.0,9.0,11.0,13.0,15.0,10.0,17.0,19.0,12.0,18.0,16.0,14.0,20.0,21.0,22.0
2543,2.0,0.0,1.0,7.0,8.0,5.0,4.0,3.0,9.0,6.0,13.0,10.0,11.0,15.0,16.0,14.0,12.0,18.0,17.0,19.0,20.0,21.0,22.0
2592,0.0,2.0,8.0,7.0,6.0,4.0,3.0,1.0,5.0,9.0,13.0,10.0,15.0,14.0,19.0,16.0,12.0,11.0,18.0,17.0,21.0,20.0,22.0
2641,5.0,1.0,0.0,7.0,10.0,4.0,3.0,2.0,6.0,9.0,12.0,8.0,15.0,13.0,17.0,18.0,11.0,14.0,19.0,16.0,20.0,21.0,22.0
2690,3.0,1.0,0.0,6.0,7.0,5.0,4.0,2.0,8.0,9.0,14.0,10.0,11.0,15.0,19.0,16.0,13.0,17.0,12.0,18.0,20.0,21.0,22.0
2739,0.0,1.0,2.0,6.0,7.0,5.0,4.0,3.0,8.0,10.0,11.0,9.0,15.0,12.0,16.0,14.0,17.0,13.0,18.0,19.0,20.0,21.0,22.0
2788,2.0,1.0,0.0,8.0,5.0,3.0,4.0,7.0,6.0,9.0,17.0,10.0,13.0,12.0,20.0,16.0,11.0,14.0,18.0,15.0,19.0,21.0,22.0
2837,0.0,1.0,3.0,8.0,9.0,4.0,5.0,2.0,6.0,13.0,11.0,10.0,12.0,14.0,18.0,16.0,7.0,15.0,17.0,19.0,20.0,21.0,22.0
2886,3.0,2.0,1.0,9.0,7.0,8.0,0.0,5.0,6.0,4.0,11.0,12.0,14.0,13.0,18.0,19.0,10.0,15.0,17.0,16.0,20.0,21.0,22.0
2935,1.0,2.0,0.0,7.0,5.0,3.0,4.0,6.0,11.0,8.0,16.0,10.0,13.0,15.0,19.0,9.0,12.0,17.0,18.0,14.0,20.0,21.0,22.0
2984,0.0,2.0,1.0,7.0,3.0,6.0,5.0,4.0,8.0,9.0,12.0,15.0,11.0,14.0,17.0,13.0,16.0,18.0,10.0,20.0,21.0,19.0,22.0
3033,0.0,7.0,1.0,6.0,2.0,4.0,5.0,3.0,8.0,9.0,12.0,15.0,13.0,18.0,16.0,17.0,11.0,19.0,10.0,14.0,20.0,21.0,22.0
3082,0.0,3.0,2.0,7.0,4.0,1.0,6.0,5.0,12.0,8.0,9.0,14.0,10.0,13.0,17.0,15.0,16.0,18.0,11.0,19.0,20.0,21.0,22.0
3131,0.0,2.0,1.0,7.0,3.0,6.0,5.0,4.0,8.0,9.0,10.0,12.0,14.0,13.0,17.0,15.0,16.0,18.0,11.0,20.0,19.0,21.0,22.0
3180,0.0,3.0,2.0,8.0,4.0,6.0,1.0,5.0,9.0,10.0,7.0,15.0,12.0,17.0,18.0,14.0,13.0,16.0,11.0,20.0,19.0,21.0,22.0
3229,0.0,2.0,1.0,8.0,3.0,6.0,4.0,10.0,9.0,5.0,7.0,14.0,13.0,12.0,18.0,15.0,16.0,17.0,11.0,20.0,19.0,21.0,22.0
3278,0.0,7.0,1.0,6.0,8.0,5.0,3.0,2.0,9.0,4.0,12.0,15.0,10.0,13.0,18.0,16.0,20.0,14.0,11.0,17.0,19.0,21.0,22.0
3327,0.0,2.0,1.0,11.0,3.0,6.0,5.0,4.0,7.0,8.0,9.0,15.0,14.0,10.0,18.0,19.0,16.0,13.0,12.0,17.0,20.0,21.0,22.0
3376,0.0,2.0,1.0,6.0,7.0,5.0,4.0,3.0,8.0,9.0,11.0,19.0,14.0,10.0,16.0,20.0,15.0,17.0,12.0,13.0,18.0,21.0,22.0
3425,0.0,2.0,1.0,6.0,3.0,5.0,9.0,4.0,7.0,8.0,10.0,15.0,14.0,13.0,16.0,12.0,17.0,19.0,11.0,20.0,18.0,21.0,22.0
3474,2.0,0.0,1.0,3.0,7.0,8.0,6.0,4.0,13.0,5.0,9.0,12.0,11.0,10.0,16.0,14.0,17.0,19.0,18.0,15.0,20.0,21.0,22.0
3523,2.0,0.0,1.0,4.0,7.0,9.0,6.0,5.0,12.0,3.0,10.0,13.0,8.0,11.0,15.0,16.0,17.0,14.0,18.0,19.0,20.0,21.0,22.0
3572,3.0,0.0,1.0,4.0,8.0,7.0,6.0,5.0,12.0,2.0,11.0,13.0,9.0,10.0,20.0,14.0,17.0,18.0,19.0,15.0,21.0,16.0,22.0
3621,2.0,1.0,5.0,4.0,8.0,6.0,7.0,3.0,12.0,0.0,10.0,9.0,11.0,13.0,19.0,17.0,16.0,14.0,18.0,15.0,20.0,21.0,22.0
3670,3.0,1.0,2.0,4.0,7.0,5.0,6.0,8.0,12.0,0.0,9.0,13.0,11.0,10.0,14.0,20.0,17.0,15.0,18.0,16.0,19.0,21.0,22.0
3719,3.0,6.0,2.0,8.0,7.0,5.0,0.0,4.0,11.0,1.0,9.0,13.0,12.0,10.0,17.0,16.0,20.0,15.0,18.0,14.0,19.0,21.0,22.0
3768,0.0,1.0,3.0,7.0,11.0,5.0,6.0,4.0,12.0,2.0,13.0,8.0,10.0,9.0,16.0,15.0,17.0,18.0,19.0,14.0,20.0,21.0,22.0
3817,2.0,1.0,4.0,3.0,7.0,10.0,6.0,5.0,13.0,0.0,12.0,8.0,9.0,11.0,16.0,14.0,15.0,19.0,17.0,18.0,21.0,20.0,22.0
3866,3.0,2.0,1.0,4.0,6.0,8.0,5.0,7.0,11.0,0.0,9.0,15.0,12.0,14.0,19.0,17.0,13.0,18.0,10.0,16.0,20.0,21.0,22.0
3915,2.0,5.0,1.0,3.0,9.0,6.0,7.0,4.0,11.0,0.0,10.0,12.0,14.0,8.0,20.0,16.0,13.0,19.0,17.0,15.0,18.0,21.0,22.0
3964,0.0,1.0,6.0,2.0,3.0,8.0,5.0,4.0,7.0,9.0,12.0,11.0,13.0,10.0,14.0,20.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
4013,0.0,2.0,6.0,1.0,3.0,8.0,5.0,4.0,7.0,11.0,14.0,9.0,13.0,10.0,15.0,16.0,18.0,17.0,12.0,19.0,21.0,20.0,22.0
4062,1.0,0.0,5.0,3.0,8.0,10.0,6.0,4.0,9.0,7.0,14.0,2.0,12.0,11.0,18.0,13.0,21.0,16.0,17.0,20.0,15.0,19.0,22.0
4111,0.0,1.0,3.0,7.0,2.0,9.0,5.0,4.0,8.0,6.0,17.0,10.0,12.0,11.0,15.0,14.0,16.0,13.0,18.0,21.0,19.0,20.0,22.0
4160,2.0,1.0,5.0,3.0,4.0,8.0,0.0,10.0,6.0,7.0,14.0,9.0,11.0,13.0,15.0,16.0,12.0,19.0,17.0,20.0,18.0,21.0,22.0
4209,0.0,2.0,4.0,1.0,3.0,8.0,6.0,5.0,9.0,7.0,13.0,10.0,12.0,11.0,14.0,16.0,17.0,15.0,18.0,21.0,19.0,20.0,22.0
4258,1.0,0.0,3.0,6.0,2.0,5.0,10.0,4.0,7.0,12.0,9.0,8.0,13.0,11.0,14.0,16.0,17.0,15.0,18.0,20.0,19.0,21.0,22.0
4307,1.0,0.0,4.0,2.0,3.0,6.0,7.0,5.0,8.0,9.0,12.0,11.0,14.0,10.0,15.0,13.0,17.0,16.0,18.0,20.0,19.0,21.0,22.0
4356,0.0,2.0,4.0,1.0,3.0,7.0,6.0,5.0,10.0,8.0,16.0,12.0,9.0,11.0,13.0,20.0,15.0,17.0,18.0,14.0,19.0,21.0,22.0
4405,1.0,0.0,4.0,2.0,7.0,9.0,5.0,3.0,8.0,11.0,10.0,13.0,12.0,6.0,17.0,15.0,14.0,18.0,19.0,20.0,16.0,21.0,22.0
4454,5.0,2.0,7.0,1.0,3.0,6.0,0.0,4.0,8.0,11.0,12.0,10.0,9.0,15.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4503,1.0,2.0,0.0,6.0,3.0,5.0,10.0,4.0,7.0,8.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,19.0,22.0
4552,5.0,2.0,0.0,1.0,3.0,6.0,7.0,4.0,8.0,9.0,10.0,11.0,13.0,12.0,14.0,16.0,17.0,18.0,19.0,15.0,21.0,20.0,22.0
4601,0.0,5.0,3.0,1.0,2.0,10.0,8.0,4.0,6.0,12.0,11.0,7.0,9.0,13.0,14.0,15.0,16.0,17.0,19.0,18.0,21.0,20.0,22.0
4650,6.0,2.0,0.0,1.0,3.0,10.0,8.0,4.0,9.0,5.0,7.0,11.0,13.0,12.0,15.0,19.0,14.0,18.0,16.0,17.0,21.0,20.0,22.0
4699,6.0,3.0,0.0,2.0,4.0,1.0,8.0,5.0,9.0,7.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
4748,6.0,3.0,0.0,2.0,4.0,1.0,9.0,5.0,11.0,7.0,14.0,8.0,10.0,13.0,15.0,12.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
4797,1.0,3.0,0.0,2.0,12.0,5.0,6.0,4.0,7.0,8.0,10.0,9.0,11.0,13.0,16.0,14.0,19.0,15.0,17.0,18.0,20.0,21.0,22.0
4846,0.0,2.0,1.0,7.0,3.0,4.0,6.0,9.0,8.0,10.0,5.0,11.0,12.0,13.0,16.0,15.0,14.0,18.0,17.0,20.0,21.0,19.0,22.0
4895,0.0,6.0,1.0,2.0,3.0,5.0,4.0,8.0,7.0,10.0,11.0,9.0,12.0,14.0,16.0,15.0,17.0,19.0,13.0,18.0,21.0,20.0,22.0
