,TP53_MUT,WNK1_MUT,KANK1_AMP,GALNT13_DEL,PRB1_AMP,PKHD1_MUT,EP300_MUT,DPP6_DEL,ZNF705G_AMP,RPTOR_AMP,SLC7A5P2_DEL,NBPF4_DEL,OR2L13_MUT,GRIN2B_MUT,UGT2B28_DEL,CWF19L2_DEL,CSMD3_MUT,TTN_MUT,FAM106CP_AMP,PCCB_DEL,CCDC144A_AMP,CCND2_DEL,RSU1_DEL,APOBEC3B_DEL,USP32P1_AMP,LOC100271836_DEL,PTPRD_DEL,NRAS_MUT,APOBEC3A_B_DEL,NIN_MUT
1158,6.0,5.0,0.0,4.0,10.0,19.0,55.0,36.0,9.0,31.0,28.0,7.0,26.0,40.0,70.0,27.0,384.0,18.0,363.0,21.0,364.0,11.0,37.0,480.0,647.0,97.0,68.0,48.0,98.0,34.0
1207,0.0,4.0,1.0,6.0,5.0,10.0,20.0,19.0,8.0,9.0,14.0,29.0,15.0,16.0,109.0,71.0,198.0,98.0,23.0,80.0,22.0,7.0,34.0,100.0,26.0,68.0,202.0,25.0,27.0,11.0
1256,0.0,8.0,9.0,49.0,22.0,13.0,41.0,2.0,40.0,23.0,232.0,36.0,10.0,24.0,162.0,15.0,15645.0,85.0,38.0,300.0,37.0,51.0,112.0,2643.0,39.0,1214.0,224.0,479.0,525.0,11.0
1305,0.0,3.0,22.0,21.0,10.0,5.0,49.0,17.0,4.0,13.0,6.0,72.0,15.0,33.0,1182.0,502.0,215.0,57.0,34.0,16.0,35.0,42.0,73.0,237.0,43.0,24.0,118.0,212.0,80.0,18.0
1354,0.0,5.0,8.0,4.0,7.0,52.0,9.0,1.0,2.0,46.0,22.0,53.0,6.0,85.0,94.0,12.0,18.0,542.0,51.0,15.0,50.0,281.0,28.0,1576.0,47.0,31.0,70.0,152.0,362.0,13.0
1403,0.0,3.0,2.0,10.0,8.0,17.0,61.0,7.0,78.0,6.0,34.0,18.0,9.0,20.0,1337.0,15.0,36.0,39.0,77.0,5.0,76.0,88.0,37.0,48.0,108.0,103.0,140.0,19.0,38.0,14.0
1452,1.0,6.0,0.0,8.0,15.0,27.0,4.0,2702.0,3.0,30.0,51.0,7.0,9.0,49.0,86.0,312.0,767.0,12.0,123.0,14.0,124.0,28.0,19.0,455.0,199.0,160.0,39.0,55.0,78.0,43.0
1501,0.0,7.0,8.0,4.0,6.0,1.0,18.0,63.0,14.0,2.0,19.0,16.0,23.0,12.0,172.0,889.0,39.0,5.0,367.0,167.0,368.0,100.0,173.0,79.0,2276.0,57.0,73.0,135.0,160.0,481.0
1550,0.0,44.0,27.0,1.0,9.0,284.0,4.0,258.0,85.0,6.0,35.0,14.0,11.0,45.0,34.0,48.0,8.0,12.0,832.0,109.0,831.0,120.0,235.0,33.0,17296.0,126.0,87.0,16.0,74.0,354.0
1599,0.0,3.0,81.0,1.0,22.0,25.0,2.0,24.0,10.0,4.0,20.0,33.0,14.0,41.0,617.0,84.0,18.0,5.0,7.0,108.0,8.0,76.0,118.0,77.0,28.0,53.0,9.0,56.0,267.0,39.0
1648,3.0,1.0,24.0,23.0,16.0,2.0,11.0,210.0,12.0,5.0,89.0,6.0,9.0,10.0,363.0,514.0,81.0,79.0,15.0,39.0,14.0,50.0,780.0,42.0,44.0,516.0,96.0,58.0,211.0,28.0
1697,0.0,5.0,12.0,1.0,7.0,10.0,16.0,6.0,3.0,11.0,186.0,26.0,15.0,46.0,504.0,35.0,150.0,207.0,32.0,1174.0,33.0,48.0,179.0,23.0,111.0,187.0,9.0,45.0,75.0,123.0
1746,0.0,7.0,1.0,6.0,8.0,23.0,4.0,73.0,2.0,3.0,10.0,40.0,399.0,21.0,287.0,42.0,53.0,78.0,66.0,43.0,65.0,32.0,813.0,22.0,234.0,37.0,35.0,169.0,44.0,71.0
1795,3.0,41.0,39.0,1.0,12.0,14.0,16.0,28.0,8.0,2.0,13.0,22.0,10.0,75.0,53.0,56.0,11.0,333.0,152.0,160.0,151.0,60.0,634.0,15.0,620.0,33.0,54.0,55.0,34.0,154.0
1844,0.0,4.0,33.0,1.0,10.0,3.0,5.0,2.0,203.0,19.0,285.0,12.0,29.0,7.0,10183.0,44.0,21.0,50.0,26.0,30.0,25.0,276.0,560.0,18.0,81.0,1657.0,100.0,35.0,79.0,96.0
1893,0.0,3.0,5.0,1.0,15.0,4.0,2.0,36.0,14.0,24.0,10.0,12.0,34.0,56.0,10174.0,57.0,23.0,27.0,6.0,33.0,8.0,39.0,266.0,13.0,7.0,28.0,60.0,104.0,9.0,22.0
1942,0.0,12.0,42.0,1.0,7.0,24.0,11.0,20.0,52.0,5.0,26.0,8.0,22.0,28.0,241.0,39.0,3.0,181.0,36.0,31.0,35.0,214.0,342.0,189.0,111.0,65.0,13.0,43.0,540.0,49.0
1991,0.0,2.0,53.0,58.0,21.0,1.0,14.0,3.0,6.0,10.0,36.0,4.0,43.0,45.0,44.0,271.0,41.0,9.0,2068.0,163.0,2069.0,30.0,51.0,173.0,455.0,104.0,5.0,696.0,192.0,12.0
2040,0.0,11.0,4.0,16.0,8.0,3.0,53.0,6.0,17.0,91.0,216.0,175.0,51.0,46.0,61.0,96.0,52.0,14.0,148.0,99.0,147.0,248.0,754.0,177.0,156.0,1375.0,361.0,1376.0,240.0,12.0
2089,0.0,2.0,5.0,13.0,32.0,1.0,6.0,3.0,4.0,23.0,67.0,26.0,262.0,107.0,11.0,15.0,8.0,12.0,31.0,128.0,30.0,36.0,110.0,130.0,48.0,87.0,120.0,146.0,102.0,21.0
2138,0.0,6.0,4.0,104.0,11.0,2.0,13.0,218.0,7.0,8.0,5.0,3.0,12.0,122.0,36.0,216.0,44.0,1.0,89.0,33.0,88.0,27.0,99.0,75.0,259.0,19.0,37.0,282.0,57.0,32.0
2187,0.0,3.0,2.0,39.0,21.0,5.0,6.0,1.0,11.0,198.0,12.0,7.0,28.0,15.0,16.0,193.0,8.0,49.0,913.0,60.0,912.0,25.0,79.0,374.0,1353.0,27.0,534.0,378.0,500.0,24.0
2236,0.0,10.0,14.0,32.0,5.0,1.0,3.0,8.0,4.0,113.0,12.0,6.0,16.0,11.0,85.0,22.0,269.0,730.0,39.0,702.0,38.0,44.0,241.0,141.0,50.0,30.0,348.0,664.0,186.0,31.0
2285,0.0,2.0,424.0,16.0,6.0,1.0,3.0,4.0,5.0,32.0,48.0,7.0,30.0,35.0,66.0,107.0,36.0,13.0,53.0,184.0,54.0,44.0,247.0,34.0,85.0,212.0,14.0,681.0,45.0,28.0
2334,0.0,1.0,6.0,27.0,17.0,2.0,8.0,9.0,3.0,10.0,11.0,7.0,71.0,47.0,19.0,187.0,88.0,4.0,94.0,114.0,95.0,67.0,149.0,189.0,111.0,62.0,2742.0,241.0,851.0,99.0
2383,0.0,3.0,2.0,12.0,22.0,1.0,8.0,4.0,34.0,38.0,14.0,10.0,39.0,55.0,560.0,44.0,21.0,6.0,260.0,70.0,261.0,79.0,128.0,213.0,280.0,99.0,724.0,151.0,174.0,57.0
2432,0.0,3.0,7.0,20.0,11.0,1.0,8.0,27.0,2.0,108.0,36.0,100.0,203.0,21.0,4.0,47.0,30.0,242.0,806.0,46.0,805.0,362.0,57.0,1973.0,626.0,210.0,3961.0,531.0,1065.0,58.0
2481,0.0,2.0,10.0,9.0,3.0,1.0,20.0,7.0,13.0,52.0,4.0,5.0,162.0,33.0,22.0,140.0,25.0,8.0,36.0,34.0,35.0,53.0,29.0,111.0,51.0,6.0,84.0,93.0,145.0,135.0
2530,6.0,1.0,5.0,0.0,4.0,3.0,10.0,2.0,15.0,24.0,21.0,45.0,23.0,27.0,22.0,96.0,26.0,283.0,32.0,11.0,33.0,169.0,28.0,122.0,43.0,20.0,67.0,35.0,800.0,88.0
2579,7.0,0.0,184.0,9.0,16.0,3.0,2.0,1.0,25.0,15.0,5.0,17.0,19.0,12.0,238.0,36.0,411.0,22.0,691.0,46.0,690.0,44.0,319.0,616.0,181.0,6.0,14.0,18.0,1337.0,34.0
2628,2.0,1.0,8.0,4.0,10.0,12.0,17.0,0.0,3.0,87.0,20.0,16.0,15.0,91.0,106.0,177.0,19.0,5.0,14.0,176.0,13.0,11.0,38.0,141.0,23.0,28.0,6.0,18.0,149.0,89.0
2677,1.0,4.0,2.0,6.0,8.0,5.0,3.0,0.0,32.0,16.0,7.0,13.0,11.0,15.0,29.0,77.0,19.0,31.0,78.0,109.0,79.0,12.0,45.0,174.0,280.0,9.0,90.0,14.0,270.0,67.0
2726,9.0,0.0,78.0,3.0,5.0,16.0,1.0,24.0,29.0,4.0,6.0,25.0,12.0,34.0,393.0,52.0,11.0,82.0,64.0,118.0,63.0,30.0,69.0,411.0,73.0,7.0,2.0,90.0,975.0,77.0
2775,3.0,0.0,31.0,8.0,13.0,9.0,21.0,1.0,5.0,22.0,2.0,51.0,27.0,6.0,18.0,70.0,32.0,533.0,35.0,25.0,34.0,37.0,58.0,174.0,44.0,7.0,314.0,64.0,356.0,48.0
2824,2.0,5.0,10.0,1.0,12.0,11.0,23.0,3.0,8.0,27.0,9.0,6.0,34.0,32.0,19.0,41.0,33.0,18.0,31.0,64.0,30.0,46.0,139.0,9064.0,38.0,13.0,224.0,48.0,18835.0,86.0
2873,3.0,1.0,7.0,9.0,36.0,13.0,4.0,0.0,37.0,12.0,35.0,8.0,29.0,39.0,2.0,38.0,5.0,54.0,586.0,41.0,585.0,106.0,61.0,30.0,939.0,52.0,115.0,14.0,60.0,109.0
2922,0.0,2.0,1.0,8.0,15.0,35.0,3.0,4.0,17.0,25.0,6.0,9.0,30.0,117.0,38.0,188.0,45.0,13.0,43.0,18.0,44.0,27.0,14.0,77.0,55.0,7.0,22.0,28.0,61.0,106.0
2971,3.0,2.0,0.0,13.0,5.0,7.0,10.0,8.0,17.0,18.0,3288.0,34.0,6.0,145.0,22.0,57.0,40.0,15770.0,32.0,404.0,33.0,42.0,104.0,12.0,35.0,18345.0,1.0,44.0,14.0,16.0
3020,6.0,0.0,7.0,10.0,23.0,1.0,29.0,4.0,3.0,12.0,705.0,137.0,9.0,32.0,176.0,16.0,85.0,717.0,368.0,326.0,367.0,33.0,46.0,48.0,476.0,17538.0,78.0,13.0,39.0,27.0
3069,0.0,2.0,6.0,5.0,1.0,18.0,76.0,22.0,7.0,4.0,121.0,16.0,17.0,99.0,98.0,200.0,132.0,15901.0,210.0,276.0,211.0,13.0,60.0,12.0,189.0,787.0,3.0,26.0,8.0,21.0
3118,4.0,10.0,0.0,9.0,2.0,3.0,20.0,7.0,1.0,8.0,77.0,85.0,6.0,22.0,5.0,72.0,45.0,20419.0,88.0,719.0,87.0,35.0,213.0,15.0,91.0,131.0,18.0,11.0,25.0,69.0
3167,1.0,0.0,2.0,28.0,38.0,11.0,13.0,3.0,94.0,25.0,3908.0,17.0,108.0,42.0,148.0,49.0,31.0,19694.0,395.0,114.0,394.0,24.0,111.0,20.0,339.0,17322.0,7.0,47.0,23.0,22.0
3216,0.0,2.0,1.0,185.0,8.0,48.0,13.0,11.0,45.0,15.0,193.0,7.0,5.0,72.0,6.0,150.0,1058.0,14863.0,905.0,149.0,904.0,26.0,54.0,43.0,940.0,1250.0,83.0,32.0,49.0,75.0
3265,0.0,1.0,3.0,6.0,4.0,2.0,26.0,22.0,9.0,24.0,2006.0,50.0,31.0,7.0,5.0,19.0,25.0,652.0,170.0,60.0,169.0,21.0,48.0,44.0,171.0,16733.0,10.0,34.0,20.0,18.0
3314,1.0,0.0,74.0,31.0,10.0,2.0,38.0,3.0,9.0,13.0,300.0,294.0,5.0,22.0,6.0,75.0,4.0,15969.0,17.0,259.0,18.0,70.0,29.0,25.0,15.0,2758.0,8.0,23.0,55.0,103.0
3363,2.0,0.0,238.0,21.0,7.0,8.0,1.0,75.0,6.0,12.0,136.0,42.0,10.0,15.0,39.0,26.0,99.0,283.0,38.0,9777.0,37.0,17.0,43.0,29.0,18.0,713.0,5.0,64.0,30.0,9.0
3412,0.0,2.0,4.0,28.0,7.0,1.0,15.0,9.0,5.0,29.0,2833.0,12.0,13.0,18.0,10.0,2218.0,30.0,927.0,182.0,146.0,183.0,21.0,20.0,43.0,854.0,17634.0,6.0,23.0,34.0,17.0
3461,0.0,23.0,2.0,1.0,12.0,31.0,11.0,47.0,3.0,15.0,7.0,10.0,18.0,42.0,22.0,35.0,17.0,6.0,37.0,51.0,38.0,58.0,21.0,39.0,41.0,25.0,49.0,30.0,40.0,36.0
3510,0.0,4.0,1.0,8.0,9.0,11.0,13.0,2.0,3.0,19.0,14.0,31.0,27.0,66.0,12.0,5.0,45.0,20.0,95.0,26.0,94.0,159.0,10.0,36.0,109.0,39.0,125.0,97.0,86.0,133.0
3559,1.0,10.0,0.0,20.0,13.0,83.0,11.0,14.0,5.0,6.0,9.0,15.0,21.0,28.0,27.0,18.0,36.0,3.0,94.0,31.0,95.0,132.0,23.0,2.0,33.0,25.0,53.0,24.0,4.0,29.0
3608,0.0,9.0,1.0,33.0,4.0,55.0,5.0,3.0,16.0,25.0,30.0,12.0,7.0,21.0,36.0,6.0,2793.0,2.0,60.0,42.0,59.0,160.0,44.0,72.0,84.0,208.0,344.0,82.0,29.0,212.0
3657,0.0,3.0,1.0,18.0,5.0,17.0,2.0,1622.0,167.0,9.0,16.0,68.0,10.0,11.0,153.0,95.0,117.0,8.0,30.0,32.0,29.0,49.0,15.0,99.0,31.0,54.0,4.0,1829.0,145.0,19.0
3706,1.0,26.0,0.0,5.0,4.0,16.0,10.0,1284.0,3.0,15.0,144.0,19.0,43.0,7.0,12.0,33.0,17.0,2.0,195.0,18.0,196.0,106.0,20.0,6.0,272.0,1117.0,270.0,22.0,9.0,54.0
3755,1.0,23.0,0.0,32.0,92.0,38.0,55.0,28.0,2.0,90.0,26.0,19.0,64.0,17.0,27.0,10.0,976.0,8.0,292.0,12.0,291.0,40.0,15.0,87.0,356.0,31.0,11138.0,34.0,113.0,16.0
3804,1.0,33.0,0.0,11.0,5.0,233.0,8.0,20.0,12.0,4.0,16.0,7.0,10.0,25.0,29.0,13.0,156.0,2.0,30.0,14.0,31.0,440.0,38.0,94.0,89.0,45.0,197.0,235.0,173.0,208.0
3853,0.0,41.0,2.0,10.0,14.0,3.0,1336.0,2215.0,8.0,9.0,17.0,62.0,25.0,47.0,12.0,18.0,21.0,1.0,5.0,29.0,4.0,63.0,13.0,7.0,6.0,50.0,26.0,54.0,11.0,96.0
3902,0.0,11.0,1.0,13.0,7.0,8.0,3.0,21.0,16.0,50.0,2.0,33.0,47.0,9.0,53.0,26.0,609.0,6.0,107.0,4.0,106.0,159.0,111.0,18.0,102.0,20.0,19.0,186.0,15.0,46.0
3951,0.0,33.0,1.0,8.0,7.0,27.0,35.0,31.0,231.0,11.0,29.0,24.0,23.0,28.0,4.0,137.0,21.0,12.0,3.0,69.0,2.0,41.0,14.0,9.0,5.0,61.0,6.0,67.0,15.0,476.0
4000,0.0,21.0,6.0,2.0,22.0,38.0,20.0,26.0,206.0,23.0,18.0,24.0,36.0,41.0,10.0,73.0,11.0,5.0,8.0,33.0,9.0,25.0,19.0,1.0,34.0,17.0,4.0,43.0,3.0,340.0
4049,0.0,69.0,52.0,1.0,10.0,44.0,91.0,30.0,654.0,29.0,16.0,9.0,21.0,109.0,5.0,62.0,3.0,35.0,11.0,38.0,12.0,40.0,22.0,6.0,20.0,33.0,56.0,7.0,4.0,566.0
4098,0.0,15.0,24.0,4.0,11.0,102.0,14.0,7.0,32.0,46.0,289.0,10.0,44.0,66.0,25.0,33.0,59.0,950.0,1.0,71.0,2.0,31.0,12.0,17.0,3.0,1039.0,65.0,60.0,23.0,365.0
4147,0.0,11.0,3.0,1.0,18.0,267.0,16.0,53.0,19.0,13.0,90.0,27.0,60.0,23.0,24.0,35.0,10.0,4.0,15.0,30.0,14.0,48.0,26.0,33.0,17.0,238.0,22.0,42.0,46.0,164.0
4196,0.0,106.0,44.0,8.0,11.0,31.0,46.0,16.0,283.0,48.0,14.0,33.0,50.0,38.0,7.0,660.0,17.0,21.0,3.0,41.0,2.0,101.0,96.0,32.0,4.0,40.0,5.0,273.0,49.0,451.0
4245,0.0,9.0,3.0,1.0,38.0,14.0,5.0,26.0,40.0,2.0,53.0,8.0,33.0,35.0,80.0,32.0,20.0,30.0,6.0,12.0,7.0,106.0,13.0,21.0,10.0,111.0,24.0,23.0,36.0,295.0
4294,0.0,35.0,1.0,42.0,10.0,20.0,23.0,149.0,55.0,11.0,142.0,15.0,22.0,138.0,14.0,73.0,762.0,243.0,3.0,17.0,2.0,21.0,12.0,38.0,4.0,683.0,51.0,64.0,16.0,301.0
4343,0.0,65.0,4.0,2.0,9.0,120.0,23.0,29.0,134.0,28.0,6.0,5.0,61.0,42.0,24.0,12.0,108.0,98.0,14.0,22.0,13.0,26.0,8.0,11.0,19.0,10.0,60.0,44.0,20.0,477.0
4392,0.0,16.0,5.0,3.0,10.0,90.0,169.0,15.0,17.0,56.0,19.0,36.0,27.0,78.0,11.0,21.0,35.0,129.0,9.0,63.0,8.0,107.0,20.0,1.0,2.0,52.0,79.0,14.0,4.0,334.0
4441,0.0,43.0,13021.0,7.0,5.0,3.0,10.0,160.0,16.0,9.0,2.0,485.0,76.0,21.0,20.0,1.0,881.0,33.0,50.0,32.0,51.0,211.0,12.0,307.0,48.0,6.0,392.0,24.0,442.0,198.0
4490,0.0,11.0,13085.0,17.0,16.0,4.0,78.0,6911.0,47.0,5.0,20.0,4963.0,6.0,94.0,2.0,22.0,15685.0,15995.0,15.0,183.0,14.0,99.0,38.0,1309.0,12.0,74.0,7.0,322.0,18080.0,54.0
4539,2.0,1.0,943.0,14.0,15.0,0.0,47.0,223.0,155.0,37.0,9.0,265.0,215.0,26.0,5.0,3.0,114.0,923.0,83.0,38.0,84.0,36.0,8.0,7.0,20.0,27.0,529.0,51.0,6.0,46.0
4588,0.0,19.0,16531.0,7.0,11.0,5.0,212.0,341.0,13.0,1.0,4.0,1239.0,16.0,22.0,47.0,2.0,30.0,359.0,39.0,124.0,38.0,83.0,18.0,436.0,26.0,10.0,50.0,20.0,431.0,477.0
4637,0.0,18.0,16067.0,8.0,15.0,5.0,44.0,19.0,152.0,10.0,9.0,210.0,1.0,6.0,29.0,7.0,54.0,19589.0,22.0,43.0,23.0,482.0,121.0,930.0,21.0,40.0,38.0,51.0,1573.0,183.0
4686,0.0,2.0,12990.0,7.0,3.0,1.0,29.0,8.0,734.0,125.0,17.0,109.0,15.0,18.0,14.0,6.0,1527.0,831.0,12.0,198.0,13.0,367.0,66.0,116.0,9.0,21.0,216.0,54.0,137.0,317.0
4735,0.0,42.0,1355.0,38.0,2.0,3.0,12.0,5563.0,25.0,28.0,9.0,259.0,8.0,27.0,23.0,192.0,546.0,19923.0,14.0,288.0,15.0,37.0,22.0,352.0,13.0,26.0,41.0,33.0,264.0,80.0
4784,0.0,7.0,771.0,12.0,26.0,4.0,154.0,212.0,25.0,88.0,1.0,71.0,43.0,10.0,17.0,82.0,76.0,28.0,62.0,55.0,63.0,40.0,37.0,694.0,50.0,8.0,29.0,102.0,865.0,96.0
4833,0.0,6.0,13190.0,3.0,4.0,1.0,59.0,718.0,296.0,36.0,10.0,1415.0,62.0,21.0,11.0,38.0,71.0,398.0,17.0,22.0,18.0,261.0,24.0,878.0,63.0,27.0,717.0,76.0,1116.0,250.0
4882,0.0,38.0,106.0,5.0,26.0,1.0,7.0,319.0,35.0,13.0,12.0,1060.0,23.0,153.0,83.0,6.0,105.0,165.0,66.0,27.0,67.0,257.0,40.0,11.0,71.0,39.0,167.0,62.0,10.0,906.0
