,ELF3,WASL,AGAP2,DOCK1,HGF,PERP,PPIC,CARD8,ORC1,TTC31,KIF2A,S100A16,NTN4,C3orf52,TFAP2A,TRGV5P,C16orf54,HCFC1,COBLL1,B4GALNT4,ST6GALNAC2,HELB,ITPRIPL1,CXCL16,SLC39A7,STARD13,LINC00511,SAMSN1,BCAM,JRK
2118,10.0,2.0,26.0,6.0,137.0,15.0,21.0,76.0,4.0,25.0,47.0,35.0,131.0,12890.0,102.0,22098.0,218.0,103.0,13275.0,68.0,16.0,2235.0,136.0,53.0,23.0,37.0,69.0,43.0,7843.0,71.0
2167,13.0,2.0,14.0,0.0,55.0,6.0,4.0,43.0,34.0,1.0,9.0,40.0,179.0,145.0,137.0,59.0,22.0,37.0,172.0,30.0,47.0,86.0,16963.0,24.0,23.0,18.0,16.0,61.0,7811.0,95.0
2216,1.0,2.0,12.0,5.0,95.0,4.0,11.0,70.0,25.0,13.0,10.0,38.0,163.0,12898.0,34.0,26.0,20.0,58.0,43.0,22.0,60.0,42.0,3.0,65.0,16.0,0.0,77.0,69.0,1420.0,7.0
2265,519.0,26.0,14.0,67.0,6.0,22.0,16.0,95.0,15465.0,32.0,7.0,81.0,607.0,143.0,23.0,71.0,65.0,8964.0,47.0,0.0,110.0,200.0,62.0,11001.0,44.0,3.0,123.0,132.0,7840.0,105.0
2314,0.0,3.0,16.0,107.0,150.0,12.0,21.0,7900.0,9.0,23.0,57.0,11.0,313.0,312.0,78.0,48.0,10745.0,62.0,73.0,46.0,5.0,254.0,17015.0,58.0,20.0,27.0,43.0,110.0,7814.0,25.0
2363,0.0,1.0,3.0,5.0,45.0,18.0,19.0,30.0,42.0,17.0,8.0,25.0,63.0,160.0,44.0,23.0,52.0,8942.0,20.0,24.0,11836.0,69.0,62.0,28.0,6.0,13.0,51.0,56.0,1455.0,164.0
2412,0.0,17.0,25.0,6.0,11.0,13.0,18.0,61.0,26.0,24.0,20.0,12.0,59.0,300.0,74.0,30.0,27.0,29.0,48.0,19691.0,32.0,28.0,111.0,57.0,36.0,1.0,16.0,60.0,43.0,21.0
2461,3.0,21.0,17.0,107.0,22573.0,7.0,16.0,11.0,47.0,22.0,15.0,26.0,68.0,13.0,35.0,62.0,33.0,36.0,1.0,72.0,9.0,40.0,4.0,28.0,48.0,6979.0,116.0,7481.0,7805.0,2.0
2510,0.0,20.0,8.0,122.0,64.0,4.0,19.0,14.0,211.0,10.0,23.0,31.0,47.0,9.0,58.0,49.0,66.0,54.0,15.0,989.0,11827.0,12.0,1.0,39.0,21052.0,5.0,12081.0,7701.0,22.0,45.0
2559,0.0,23.0,9.0,73.0,128.0,10.0,19.0,3.0,43.0,4.0,22.0,40.0,51.0,37.0,20809.0,129.0,34.0,85.0,106.0,332.0,71.0,257.0,6.0,61.0,21023.0,12.0,39.0,7493.0,41.0,16.0
2608,0.0,38.0,2.0,14.0,1.0,10.0,32.0,60.0,57.0,11.0,6.0,51.0,20.0,13.0,25.0,88.0,41.0,102.0,135.0,19682.0,166.0,21.0,18.0,2748.0,61.0,276.0,160.0,7517.0,16.0,79.0
2657,0.0,24.0,6.0,7.0,135.0,9.0,20.0,14.0,31.0,5.0,26.0,28.0,8.0,4.0,23.0,66.0,44.0,21.0,49.0,19721.0,35.0,59.0,92.0,78.0,21045.0,3.0,76.0,1612.0,1.0,83.0
2706,12.0,0.0,15.0,19695.0,1.0,11.0,19.0,4.0,34.0,9.0,1453.0,46.0,35.0,17.0,74.0,30.0,75.0,6.0,28.0,19681.0,73.0,32.0,76.0,60.0,21095.0,69.0,129.0,1057.0,14.0,17973.0
2755,1.0,28.0,3.0,5.0,20.0,6.0,11.0,82.0,18.0,34.0,10.0,8.0,35.0,25.0,44.0,94.0,15.0,33.0,32.0,19734.0,89.0,151.0,9.0,10901.0,21047.0,0.0,98.0,132.0,14.0,17972.0
2804,7.0,45.0,16.0,118.0,0.0,1.0,20.0,13.0,12.0,119.0,14.0,50.0,26.0,24.0,48.0,92.0,49.0,42.0,59.0,19675.0,25.0,36.0,64.0,2840.0,21100.0,5872.0,12174.0,7519.0,34.0,1851.0
2853,0.0,31.0,13.0,7.0,19.0,1.0,8.0,16.0,27.0,36.0,899.0,14.0,50.0,57.0,33.0,72.0,69.0,21.0,5.0,19677.0,3.0,56.0,86.0,15.0,1809.0,5827.0,35.0,7584.0,23.0,125.0
2902,0.0,24.0,1.0,7.0,16.0,2.0,9.0,11.0,195.0,40.0,22.0,34.0,27.0,3.0,55.0,97.0,126.0,51.0,13211.0,966.0,151.0,59.0,16988.0,2770.0,39.0,5848.0,65.0,1304.0,5.0,23.0
2951,12.0,7.0,4.0,1.0,3.0,10.0,13.0,55.0,15.0,78.0,37.0,41.0,22.0,5.0,56.0,23.0,33.0,50.0,52.0,25.0,16.0,5566.0,9.0,60.0,21081.0,0.0,12081.0,58.0,109.0,144.0
3000,0.0,7.0,4.0,3.0,1.0,27.0,20.0,17.0,30.0,17265.0,23.0,57.0,42.0,46.0,66.0,10.0,33.0,65.0,37.0,9.0,29.0,107.0,16.0,35.0,21087.0,6.0,38.0,24.0,56.0,112.0
3049,0.0,7.0,1.0,5.0,2.0,18.0,13.0,54.0,14.0,17236.0,4.0,16.0,43.0,51.0,12.0,28.0,41.0,59.0,13264.0,9.0,87.0,6576.0,8.0,25.0,58.0,29.0,53.0,80.0,709.0,204.0
3098,0.0,6.0,1.0,4.0,10.0,16.0,19.0,37.0,17.0,35.0,2.0,64.0,26.0,50.0,98.0,29.0,27.0,115.0,184.0,19671.0,470.0,122.0,12.0,47.0,21092.0,202.0,31.0,8717.0,8.0,44.0
3147,0.0,2.0,10.0,6.0,5.0,20.0,8.0,38.0,48.0,12.0,3.0,75.0,64.0,24.0,7.0,51.0,26.0,34.0,251.0,56.0,65.0,5276.0,95.0,88.0,1904.0,44.0,22.0,119.0,7793.0,17986.0
3196,1.0,2.0,7.0,3.0,12.0,17.0,9.0,52.0,32.0,100.0,0.0,54.0,37.0,69.0,1145.0,29.0,27.0,102.0,20.0,35.0,14.0,1176.0,5.0,96.0,21030.0,6.0,53.0,7470.0,7796.0,769.0
3245,1.0,12.0,5.0,2.0,50.0,8.0,13.0,14.0,11.0,17255.0,20.0,33.0,27.0,28.0,45.0,49.0,35.0,85.0,21.0,17.0,76.0,55.0,46.0,6.0,21050.0,0.0,61.0,77.0,558.0,17967.0
3294,0.0,2.0,5.0,1.0,7.0,16.0,20.0,9.0,64.0,16737.0,24.0,36.0,35.0,33.0,414.0,40.0,37.0,56.0,346.0,26.0,68.0,18.0,3.0,45.0,1356.0,12.0,54.0,43.0,12077.0,107.0
3343,8.0,6.0,3.0,2.0,0.0,12.0,15.0,19.0,1.0,188.0,9.0,48.0,20.0,21.0,42.0,36.0,18.0,55.0,607.0,46.0,73.0,7.0,16950.0,88.0,87.0,52.0,38.0,97.0,241.0,25.0
3392,17.0,3.0,4.0,2.0,0.0,6.0,9.0,11.0,26.0,17231.0,35.0,51.0,46.0,31.0,41.0,14.0,24.0,69.0,13171.0,61.0,11859.0,6546.0,1.0,20.0,21047.0,240.0,40.0,8.0,7729.0,202.0
3441,1.0,2.0,18.0,68.0,15.0,0.0,14.0,7.0,74.0,183.0,56.0,27.0,102.0,115.0,66.0,32.0,59.0,3.0,621.0,44.0,90.0,55.0,12.0,34.0,40.0,159.0,80.0,11795.0,37.0,142.0
3490,0.0,15.0,5.0,165.0,69.0,9.0,18.0,4.0,95.0,17215.0,43.0,71.0,261.0,52.0,74.0,12.0,25.0,53.0,13.0,19678.0,2.0,117.0,10.0,45.0,56.0,7.0,121.0,7698.0,21.0,29.0
3539,0.0,6.0,9.0,3.0,1.0,5.0,39.0,21.0,12.0,84.0,7.0,44.0,428.0,62.0,17.0,56.0,52.0,71.0,113.0,40.0,103.0,76.0,22.0,36.0,92.0,5829.0,204.0,7475.0,7780.0,85.0
3588,0.0,9.0,19.0,15.0,11.0,8.0,44.0,1.0,74.0,104.0,54.0,21.0,35.0,14.0,20811.0,61.0,138.0,28.0,75.0,19779.0,69.0,52.0,7.0,33.0,67.0,5851.0,167.0,7707.0,17.0,84.0
3637,109.0,17.0,1.0,3.0,125.0,19.0,50.0,39.0,348.0,564.0,87.0,15600.0,38.0,133.0,80.0,65.0,61.0,135.0,13199.0,32.0,110.0,12.0,1477.0,46.0,107.0,281.0,12081.0,7522.0,100.0,29.0
3686,0.0,4.0,13.0,7.0,2.0,14.0,29.0,43.0,16.0,57.0,71.0,51.0,30.0,5.0,34.0,6.0,66.0,35.0,83.0,19685.0,36.0,7044.0,20.0,74.0,17.0,64.0,106.0,88.0,44.0,109.0
3735,0.0,18.0,4.0,1.0,6.0,10.0,37.0,43.0,69.0,99.0,28.0,29.0,183.0,24.0,20808.0,13.0,129.0,76.0,13220.0,49.0,14.0,32.0,79.0,31.0,81.0,30.0,64.0,7479.0,542.0,17973.0
3784,1.0,5.0,0.0,8.0,32.0,10.0,52.0,9.0,29.0,50.0,22.0,66.0,40.0,201.0,20809.0,41.0,7.0,39.0,6.0,19.0,24.0,26.0,16938.0,63.0,60.0,5848.0,127.0,7692.0,7848.0,299.0
3833,0.0,15.0,7.0,1.0,36.0,3.0,19.0,8.0,54.0,100.0,52.0,35.0,2.0,82.0,1253.0,72.0,73.0,24.0,1519.0,19676.0,124.0,53.0,26.0,25.0,21025.0,9.0,12074.0,7493.0,18.0,21.0
3882,25.0,3.0,19.0,2.0,0.0,8.0,27.0,13.0,42.0,18.0,64.0,29.0,96.0,28.0,6.0,49.0,149.0,9.0,10.0,19790.0,61.0,22.0,1.0,40.0,7.0,24.0,121.0,101.0,14.0,184.0
3931,513.0,15.0,3.0,5.0,25.0,8.0,11.0,37.0,39.0,16.0,74.0,40.0,7436.0,50.0,7.0,54.0,12.0,106.0,79.0,23.0,131.0,63.0,72.0,4378.0,21.0,7595.0,110.0,35.0,547.0,1574.0
3980,0.0,20.0,2.0,57.0,44.0,6.0,9.0,1.0,49.0,7.0,21691.0,27.0,87.0,5.0,11.0,29.0,37.0,12.0,67.0,31.0,123.0,28.0,21.0,33.0,26.0,6073.0,94.0,79.0,7797.0,98.0
4029,27.0,21.0,6.0,30.0,0.0,29.0,11.0,12.0,135.0,2.0,25.0,64.0,7.0,113.0,35.0,66.0,120.0,34.0,143.0,45.0,80.0,5255.0,82.0,49.0,4.0,6908.0,12135.0,15.0,7832.0,147.0
4078,208.0,7.0,2.0,0.0,5.0,18.0,12.0,20.0,25.0,24.0,21653.0,16.0,32.0,90.0,13.0,88.0,54.0,1.0,204.0,31.0,29.0,121.0,6.0,130.0,14.0,5861.0,12160.0,96.0,7870.0,26.0
4127,2.0,5.0,4.0,103.0,1.0,6.0,9.0,11.0,12.0,25.0,10.0,37.0,2345.0,28.0,0.0,36.0,10731.0,49.0,13276.0,40.0,76.0,285.0,15.0,47.0,48.0,316.0,104.0,120.0,1643.0,55.0
4176,66.0,9.0,1.0,54.0,0.0,13.0,20.0,16.0,88.0,11.0,144.0,27.0,1323.0,22.0,8.0,60.0,110.0,56.0,44.0,42.0,126.0,52.0,16949.0,68.0,48.0,5149.0,11903.0,102.0,7845.0,3.0
4225,1.0,2.0,6.0,36.0,0.0,7.0,11.0,30.0,34.0,4.0,28.0,37.0,94.0,26.0,5.0,74.0,35.0,73.0,47.0,3.0,45.0,49.0,86.0,83.0,20.0,78.0,12100.0,75.0,133.0,24.0
4274,14.0,5.0,4.0,1.0,0.0,12.0,21.0,8.0,20.0,22.0,21618.0,26.0,24.0,16.0,29.0,80.0,111.0,50.0,2.0,19663.0,15.0,36.0,99.0,67.0,31.0,253.0,12103.0,79.0,34.0,144.0
4323,0.0,23.0,11.0,105.0,16.0,12.0,27.0,7867.0,51.0,8.0,10.0,22.0,44.0,6.0,1.0,50.0,9.0,17.0,13240.0,19734.0,128.0,74.0,20.0,55.0,21049.0,155.0,13.0,45.0,37.0,143.0
4372,1.0,25.0,6.0,4.0,0.0,29.0,15.0,33.0,302.0,7.0,21620.0,92.0,71.0,10.0,75.0,106.0,14.0,58.0,13242.0,19676.0,61.0,22.0,73.0,10962.0,74.0,525.0,115.0,23.0,18.0,2.0
4421,91.0,30.0,14.0,10.0,77.0,16.0,8.0,7.0,43.0,2.0,21612.0,15601.0,54.0,12986.0,36.0,40.0,57.0,8914.0,39.0,19687.0,24.0,135.0,114.0,19.0,50.0,5821.0,128.0,7492.0,4.0,676.0
4470,9.0,1.0,0.0,6.0,24.0,10.0,8.0,18.0,91.0,3.0,448.0,36.0,86.0,144.0,38.0,26.0,64.0,90.0,17.0,19733.0,21.0,41.0,4.0,19.0,872.0,76.0,82.0,95.0,15.0,14.0
4519,49.0,5.0,9.0,10.0,0.0,6.0,20.0,12.0,106.0,11.0,1.0,15573.0,8.0,12978.0,7.0,24.0,34.0,124.0,2.0,23.0,43.0,18.0,3.0,37.0,55.0,6861.0,70.0,60.0,7883.0,175.0
4568,2.0,8.0,7.0,6.0,1.0,20.0,30.0,48.0,79.0,16594.0,15265.0,43.0,19.0,36.0,9.0,34.0,88.0,77.0,100.0,19682.0,0.0,45.0,17.0,38.0,5.0,164.0,10439.0,97.0,25.0,55.0
4617,5.0,0.0,12.0,4.0,157.0,13.0,7.0,8.0,87.0,11.0,110.0,41.0,42.0,366.0,10.0,21.0,73.0,86.0,54.0,19682.0,14.0,40.0,85.0,44.0,27.0,492.0,74.0,7530.0,15.0,18018.0
4666,0.0,2.0,10.0,5.0,151.0,14.0,13.0,25.0,76.0,9.0,21400.0,34.0,38.0,12948.0,1.0,8.0,19.0,105.0,17.0,26.0,15.0,6474.0,117.0,42.0,30.0,5762.0,66.0,20.0,1997.0,277.0
4715,17.0,4.0,8.0,12.0,0.0,9.0,23.0,44.0,177.0,58.0,353.0,87.0,7054.0,12847.0,42.0,19.0,178.0,51.0,1524.0,19788.0,1.0,56.0,16972.0,104.0,21025.0,496.0,12069.0,55.0,18.0,1076.0
4764,0.0,7.0,19.0,94.0,162.0,14.0,22.0,41.0,201.0,6.0,47.0,80.0,57.0,171.0,17.0,33.0,46.0,8.0,339.0,19806.0,21.0,50.0,12.0,60.0,21015.0,5788.0,109.0,2131.0,1.0,38.0
4813,27.0,22.0,12.0,9.0,0.0,35.0,11.0,17.0,45.0,51.0,143.0,47.0,194.0,13001.0,7.0,26.0,5.0,208.0,6.0,42.0,2.0,106.0,91.0,8.0,1097.0,506.0,132.0,153.0,502.0,20.0
4862,76.0,1.0,4.0,3.0,22.0,5.0,10.0,7.0,43.0,48.0,1414.0,50.0,18.0,12817.0,13.0,19.0,60.0,56.0,34.0,19773.0,0.0,9.0,14.0,57.0,21085.0,1185.0,40.0,85.0,26.0,229.0
